	Decent hotel at a decent price	This hotel is older with large rooms. You get a kitchen in the suite, so if you are a with a family that is a great addition (eat inside). If you need the space and want a low cost hotel, this is a great option.	
Aug 31 2009 	Fantastic value in the heart of Manhattan	We stayed in the Eastgate for 7 nights in August. As others have said before the rooms are enormous ( I think larger than the two bedroomed wimpey house that was our first home ). I travelled with my husband and two teenaged sons and we had a two bedroom suite. This meant that anyone suffering from Jetlag could go and sit in the sitting room whilst others slept. It was cool ( in a very hot and humid NY ), very clean, and quiet. The rooms could be a bit smarter, but the carpet in ours looked brand new ( certainly less than a month old ), and the bathrooms were well cleaned each day, and the sheets changed every other day.We used the laundry room in the basement that has 6 washing machines and four dryers – so we could leave with all our clothes clean.The location in mid town is great, just in the area that tourists think of when they think of New York. We had 7 day passes for the subway/buses and we became expert at catching the uptown/downtown busses at each end of the block. The buses are clean, and air conditioned, and the stops have the schedules, and the buses are on time.We asked a question of reception the first day, and they gave us bogus advice ( recommending a taxi to go to somewhere 3 blocks away ) – so we used tripadvisor from then on. Apart from that , the Eastgate was perfect. We got a $200 a night deal which included internet, and the value we got for that price could not be beaten.Also check out the Mexican restaurant Singuel on 3rd avenue and 40th – the best meal we had in 16 nights in the US. We went on the last night – and wished we could have gone again.	
Aug 28 2009 	Good place for visiting New York but needs to be renovated !	Rooms are spacious and calm (for New York !). But we spent two hours to clean it by ourselves, because it was very dirty. All the hotel deserves renovation.	
Aug 24 2009	new york new york you got to love it	we stayed at the eastgate hotel in new york and the rooms are small but nice the price is good but be very careful i recived the bill after my stay and paid with my charge . when i returen home i recived a call that we went over our limit on our charge card .i called the bank and it turns out that the hotel put in a charge higher than what the bill stated . you would think that the bill which stated paid by visa was what was sent to the bank . well i guess after you leave they must spin a wheel and see what they will charge after you check out im not happy with what they did .	
Aug 24 2009 	Excellent Hotel Great Value and Location Cannot Fault	This was our first trip to New York and the hotel was great for what we needed. Its in a great location, 5 min walk from Grand Central Station where the subway will get you anywhere. Only 10 min walk will also get you to time square.The room was very clean, with the maid making up the room and changing the bedding and towels every day. The hotel staff were very helpfull and answered any questions we had. The hotel could not be better for the price.Only thing id say against is if you need internet it is available but its now $14 for 24 hours.	
Aug 21 2009 	Great value great location	For our 5 day stay in NYC we were looking for an affordable room in the city and I stumbled upon the Eastgate Towers.After reading the reviews on tripadvisor, we booked a room for about $120/night.On arrival, the staff was friendly, explained that the restaurant was closed for remoddeling and gave us some tips for nearby places to eat.Checkin was fast and friendly.The room was very big, had a nice little kitchenette (microwave, fridge, coffemaker and stove) and - most importantly - was clean. The room decor was a little dated, as mentioned by other reviewers, but that didn't bother us at all.Hotel staff was helpful and friendly during our stay.The location is great - some restaurants, shops &amp; deli's are located just around the corner. Grand Central, also has the nearest metro, is a 5-10 minute walk.Concluding: great place to stay if you're looking for an affordable room on a great location in New York - would stay there again next time.If	
Aug 20 2009 	A huge appartment of 110 m2 / 1200 ft2	Our family of 4 stayed in this great appartment hotel (I think it was a junior suite). We had a large livingroom, a large bedroom, a bathroom and a kitchen. What more can you ask for? After walking around in New York all day we had lots of room for the four of us to relax. The deli was just around the corner, so we filled up our fridge and watched lots of baseball in the evening. We just loved the hotel! and New York :-)	
Aug 6 2009 	Great place to stay!	We stayed at Eastgate for 7 nights. We booked that hotel because of the positive reviews on Trip Advisor. As most reviewers have mentioned, the décor is a little dated, but the rooms are very big, and clean. The bed was very comfortable, and the bedding clean and fresh. The kitchen is a great bonus, especially the coffee pot after a big night out! It was also great to be able to use the laundry. The hotel is very conveniently located, a very cheap cab ride from Times Square (we’re not that young – we didn’t want to walk). The diner on the corner at 3rd Ave was great for breakfast. We did not need much help from the staff, but Betsy was very helpful when booking our trip to Niagara. We’d definitely stay at Eastgate again, especially since the rates are so good.	
Jul 28 2009 	Great Location and Value.	I booked our reservation online after I saw a Web special offer for $149/night from the hotel. Wow, where else can you get such a good hotel deal in NYC? Of course I checked through all the reviews on TA about the hotel, and even with mostly positive reviews, I still had a bit of apprenhension. The hotel is conveniently located near Grand Central Terminal and subway stations. The area is bustling with plenty of shops for shopping. My friend and I booked a 1-bedroom with 2 Qn beds suite. The suite is spacious (think of it as a one-bedroom apartment as it was before it was converted into a hotel). It even has a half-bath off the dining area. We had more space than we know what to do with. The kitchen area was equipped with coffee pot and the essential dishes and wares. The furnishings were a bit dated and worn. But the bed was very comfortable. Most importantly, the suite was clean (which is very important to me).The service was fine but perfunctory but didn't bother us since we only needed to check-in and out.I'd definitely stay there again if they keep offering such good deal.	
Jul 24 2009 	Great Value huge rooms!	Thoroughly enjoyed my stay at the Eastgate Tower! Our room was very spacious with a full kitchen which was helpful and saved us a lot of money on things like Breakfasts and snacks. The rooms were clean but slightly dated. The maid service was every day and they were very friendly and unintrusive. Furthermore, the location was great - very central but still quiet enough to sleep soundly! Also some great restaurants in the surrounding areas which are of better value and quality compared to more central restaurants.	
Jul 17 2009 	Huge Rooms Great Prices	I stayed at the hotel for 3 nights last week. I thought it was a very good deal for the size of the rooms. We stayed in a 2 bedroom/2baths. The decor was a little outdated but nothing too bad. It was a great location too. We walked to Times Square several times. Grand Central is a short walk too. That was great. I thought all the employees I dealt with were very kind. It was a great stay.	
Jul 16 2009 	STAY AWAY!	The hotel is run down, location is good, staff was very unprofessional, and they charged me 500 USD instead of 149 USD pr night, the rate that was confirmed when I booked. When I conplained they said they where sorry,and it was an obvious mistake, but that they couldn't do anything about it. Never ever stay at this hotel...	
Jul 1 2009 	Good hotel location big rooms!	Our family of 4 stayed here last week. I was a little nervous after we went to check in and as of 3:30, our room still wasn't ready. They had given late check-out to the people before us, well, that's fine if you don't have someone waiting. We arrived at 10:45, had a very early flight, they checked our luggage and we went to explore. We came back at 2:30, and room still wasn't ready, checked again at 3pm and they said another 1/2 hour. My husband was not happy. I had told them we needed a non smoking floor as my one daughters has allergies. We had booked a 1 bedroom suite, and they upgraded us to a 2 bedroom/2 bath suite! Well, this made up for the wait. They also made sure they cleaned very well knowing about her allergies. I loved my pillow, slept like a rock every night, maybe that was because we were out all day!! It was so nice to have the 2 bathrooms with 2 teenage daughters, they loved having their own beds in their own room! There is a McDonald's, Dunkin Donuts, grocery store and drug store right on the corner. Nice to have a fridge and microwave for leftovers, which there were plenty of. All the restaurants we went to we brought something home. I know this hotel doesn't have a huge lobby, restaurant or bar area, but the large rooms and location make up for it. We weren't there much anyway. I don't usually like to eat in hotel restaurants anyway. We liked that it was away from Times Square, about a 15-20 min walk for us, but not too far from a walk to the subway. I would definitely stay here again!	
Jun 29 2009 	Will be staying again	Was doubted when first booked, but was so very happy with location and value for $$$. We will be staying there again for sure. First time visitors to the US from Australia. I had big expectations and all were met...except for flight...(dont fly united)...the Eastgate was exceptional and I honestley couldn't fault them on a thing. Could walk anywhere and staff were fantastic. My first trip to the US, so was very weary, but would stay here again for sure and have already give them A ++++ service to travellers heading over !!!!	
Jun 28 2009 	Convenient for family of 5	We loved the 2 bed rooms and privacy of 2 bath rooms.Suite is very big, even for 5 of us. Only thing, there are only 3 comfy seats to watch TV. The suite can really do with another couch.Cost for wireless internet is a rip off but fortunately there are other free wireless networks that you can receive.Price pretty expensive, but hey, this is New York. No hidden costs upon check out.Convenient location &amp; we felt safe walking around in the evening.	
Jun 26 2009 	Shabby. Welrdly Detached Staff.	OK, I check these reviews all the time, and it often strikes me that certain people are just complainers. Now I'm going to sound like one, and that's not my usual style. I picked the hotel because of the good rate, especaily for a suite. I had stayed at the Affinia Gardens in March and loved it. (Same chain.) At this hotel: check-in was weird. They never cited the agreed-upon rate or the number of days of the stay. I asked for a room on an upper floor. They assigned me to a smoking floor without telling me that. The room itself smelled like stale smoke. The furniture was shabby. We wound up leaving a little early -- the night before the morning of our scheduled check-out. when I called down to tell them that, they told me they would not be able to show me a printed bill or statement at night -- which means I never saw my room rate -- not at check-in or check-out!I thought the maid service was sloppy. (Smudgy, streaky toilet rim when I checked in.) Then there's the little things: in this day and age when people travel with laptops and other equipment, you really have GOT to offer those little in-room safes. Not here. I also really hate having to pay for internet service every day, call down, get a new password every day, etc. And those of us who like to fall asleep to quiet, gentle music really appreciate having an iPod docking station or at least a CD player at bedside. Not here.OK, I sound really whiny.	
Jun 25 2009 	Excellent hotel for our family of five.	We traveled to New York with our three teenagers and found a two-bedroom suite at the Eastgate Towers to be an excellent alternative to getting two rooms at a standard hotel. We got a very good price online. As noted in other reviews, the decor is a bit dated and the furniture a bit worn but our suite was very clean and huge, larger than most two bedroom apartments on Manhattan. The upholstered furniture was in good shape. It was great to have a kitchen with a refrigerator for our milk and juice, a coffeemaker, microwave and a toaster. We did not use the oven or stove. We really like the Murray Hill neighborhood as it is quiet and has a residential feel. We were literally all over Manhattan and even in Brooklyn and used buses on Second, Third and 42nd (M104 and M42) as well as the subway in and out of Grand Central. (Get the unlimited rides MetroCard and learn to use both bus and subway and you will save your feet and legs.) Nearby Frontier Diner and Daniel's Bagels provided basic meal support when we were in the neighborhood. We had a little interaction with the staff. Some seemed more friendly and helpful than others. The hotel charges for internet use.	
Jun 25 2009 	Don't stay here - dirty room unhelpful/unpleasant staff	Don't do it!We were staying here to welcome some family for a celebration so checked in before they arrived. As per other reviews and photos, we expected the hotel to be outdated in terms of decor but this was fine, though the Hotel's website photos weren't what we were given.We stayed in a Junior Suite and the good aspect is that the size of the room is very big for just the two of us which was nice as I know other hotel rooms can be quite small. What wasn't fine was the uncleanliness. The carpet needed a good vacuuming, it was full of dust everywhere, walls unfinished around aircon unit and worst still....... HAIRS in the bathroom and on the shower wall that DID NOT BELONG TO US!!We quickly asked at reception to change rooms and were told there was nothing else available so could not move us, and they didn't even offer to re-clean the room. Their attitude was of complete disinterest.Some of our family stayed in a 1 bedroom suite which was a little cleaner than ours but the sofa bed which they needed to use was very torn and filthy. They asked for it to be changed, were told it couldn't be, so we suggested they swapped it with ours as we didn't need to use ours, and the staff member didn't even offer to swap these for us so we had to bring down ours in the lift from another floor then take theirs back to our room!! Not very helpful/attentive.Also, on arrival we were told that their restaurant was closed so had to take any meals we required in our room.We cancelled our booking with the hotel on the same day and transferred to a different location the following day.	
Jun 22 2009 	Great room. Great service. Great location. Great trip!	I read reviews before booking and was still a bit apprehensive. I had no need to be. My stay was great. The room was gigantic (relative to other NYC hotel rooms for the same price). It was like our little apartment in the city. The room was clean, comfortable and spacious. We felt like we got quite the deal for what we paid. The hotel is close to bus and subway stops, but it's also within walking distance of the theater distract and 5th Avenue. We felt safe any time of day that we were coming or going.There wasn't much need for us to interact with the staff, just general checking in and out, but when I did have questions, they were all helpful and kind. Plus, they let us store our bags there after check-out since our flight didn't leave until late, and we had more sight-seeing we wanted to do.So great. I had a great experience and would recommend this hotel to anyone going to the city for a first-time or return trip.	
Jun 15 2009 	too good to be true and it was	what a revelation. I do not think you could find such fantastic accomodation in New york for the price. it had everything you needed and even staff who wanted to help. ideal for visting the sights.for breakfast try Scottys only a block away.	
Jun 12 2009 	Simply Awesome	After reviewing a lot of hotels in New York, we came across this one. It didn't seem correct, the rates we got in the location, and we heard from everyone that New York is expensive with small rooms. NOT the case here.We were pleasantly surprised to find that our room was nice and large, with kitchenette and fridge, stove, everything you need if you want to stay in. It was great. Also had king size bed and tv. The shower was good, and bathroom clean. It is nice and quiet, situated very close to a grocery store and a short walk to Grand Central. We actually walked to Times Square as well, which is only about 15 minutes away by foot.It is a great base to tour Manhattan, and we were incredibly happy that this hotel met more than our expectations, and thanks to everyone who had posted reviews and swayed us to book this hotel, it was well worth it.	
Jun 6 2009 	Excellent value especially good for family with young children	Excellent location for our short trip, especially with a 12 and 10 year old who don't like walking! close too small convenience stores and cafe/restaurants. Using subway was easy as it is not too far away from Grand Central station thus making it easy to get to tourist attractions. Staff were helpful especially the irish doorman (apologies if this is wrong title). Good facillities within room especially easy for catering for breakfast. Would stay again, hopefully for a longer vacation.	
Jun 3 2009 	Outstanding family stay	We were after an appartment rather a Hotel room as we were travelling with three young children (4,3 and 1). After some searcing we found this place at some VERY good rates, even the staff were surprised. The rooms were spacious, (stayed in the Junior Suite) even with a crib. All facilities were clean and kitchenete was excellent. Plenty of Dining options for families close by, MacDonalds, Pizza Shop and Convienence store all within 200yds. Hotel resturant was closed due to being refurbished but didn't posse a problem. As per above plenty of other options close by. Pharmacy within 300yds.	
Jun 1 2009 	one word: Amazing	I read the reviews and thought to myself, &quot;it better be as good as these people say.&quot; Well guess what - it was. Big rooms, working A/C unit, secure, quiet, great staff. I am so happy with my choice. Great location, great rate... what else can i say? Eastgate I highly, highly recommend.	
May 24 2009 	Convenient for those on a budget lovely staff	Stayed for 5 nights recently in a large room. It's great to have own cooking facilities, fridge, microwave, gas hob; with pots, crockery and cutlery provided. The decor is not the most up-to-date, and some of the cupboards could do with a spring clean, but overall this is a great hotel for those who want to explore Manhattan. Grand Central is very close by so it's easy to hop on a train elsewhere too. For people who don't want to eat out morning noon and night, this hotel is great. My mother - on her first trip to the US - was impressed with the staff; they offered to post her letters, held our luggage for a couple of hours at no extra charge before we left for the airport, and generally were genuinely friendly.	
May 21 2009 	Ticks All The Boxes	Have stayed in hotels in New York which are notoriously small so was intrigued when this option came up. We were upgraded to a King size suite on 20th floor - room was huge!!! Bed really comfy and very clean. Furnishings were a bit tired but fine, kitchen area was impressive with coffee maker (supplies always replenished), toaster, microwave and full cooker. Fridge freezer which was brilliant for keeping our beers and water nicely chilled!!! Also has iron and ironing board and more than ample storage space.Bathroom was bright and good shower with plentiful hot water.Pleasant staff, great location with diners, restaurants and deli's in abundance close by. Good selection of bars close by, and a short walk to Grand Central for subway.Two of our party were moved to the 25th floor on the last night due to a leak in their bathroom on 5th floor .................. Huge 2 bedroomed 2 bathroom apartment!!! One bedroom has 2 queens and the other has one king, also has large dining area, living area and larger ktichen. I would definitely give this a try next time - it really was huge	
May 21 2009 	Good accomodation in a nice location.	Ironically the first thing I have to say is that there is fantastic food available from the Frontier diner, just 50 or so meters on East 39th street, out the door to the left. So breakfast was good but always out, this was because once again the hotel restaurant was under refurbishment. Why the hotels don't mention this before we book always annoys me.My second observation was that the staff are poorly informed when it comes to local advice. We received a lot of incorrect information and there was plenty of contradictions from various members of staff on reception, watch out for this. The location is very central and good, about 20 mins walk to the Empire State Building.Bathroom was nice and clean, it was small but quite functional.Room was okay, nice and quiet. The bed was very comfortable or maybe I was just so tired from the pace of New York! Cleaners were spot on, towels done etc. The internet was very expensive here.Shuttle bus runs from airport or a taxi is $50 flat rate.Did the bus vip tour 48 hour pass. Found it poor and very tying (afterall you had paid for it) actually, would say it was of limited use if exploring NY as I could have travelled around far better on my own with public transport.	
May 18 2009 	It couldn’t have been a nicer and warmer ‘welcome’.	After the Shelburne Murray Hill Hotel turned us away, when we arrived after 12 hours of travelling and they realized only then, that I had asked for a smoking room, but told me ‘there are no smoking rooms in this hotel’ (see separate review for this hotel), they called The Eastgate and asked, if they could accommodate us.Donna, the manager in charge, could not have been more understanding and helpful.She did not even bother with all of the paperwork, just made sure that we got up to our room as quickly as possible and even called, when we had settled in to ask if everything was ok, or if we needed anything.The smoking rooms are on the 3rd floor, no view, but the room was large,clean and nicely furnished, with a separate sitting area and a desk. There are 3 built-in closets, enough room for two people.The bathroom was small, but of sufficient size and very clean.We had fresh bed linens every other day and the room was sparkling clean. The bed was very comfortable.The room had a little kitchen and there are good supermarkets right around the corner.The non-smoking rooms are just great - some with separate living rooms and when you're on a high floor, there is even a view.When you get there, don’t let the lobby fool you, it is small (but who needs a large lobby).It is a very affordable place in a convenient location and is quiet, even when you’re facing the front with 39th Street right outside your window.The subway is on 42nd street and that is an acceptable walk. Hertz Rental car is on the next block.I am a frequent traveller and service is very important to me. People like Donna make you feel right at home ! Thanks again and I will be back !!	
May 16 2009 	Great place to stay in NYC	If you read all the reviews they all say the same thing, great location &amp; dated decor and they are right, but what a gem. My family with friend ( 3 adults and 2 young children) stayed @ the Eastgate Apartments in June 08 and all we really wanted was a good location , close to public transport and attractions at an affordable price. We booked a 2 bedroom apartment and I must say it huge, as it was originally and residential block . Every box was ticked for what we were looking for in NYC. Decor is dated , lifts are slow but staff are fantastic and location is probably best value on Manhattan for tourists. We are planning a trip back to NYC in the next 12 months and will booking EGT again.	
