	Excellent Midtown Location - Great Value	Neighborhood is nothing much, but it's a great location to get to everything, and near Penn Station and Bolt/Megabus stops. Very new and clean. We were there on a Saturday night so noise wasn't a factor, but based on the printed notices in the room, the &quot;white noise&quot; generator in the room, etc. it could be a problem, especially garbage trucks, on a weekday morning - I'd ask for a high floor if you were staying on any night but Saturday. Staff is extremely pleasant and helpful. Rooms of a very decent size for NYC. Restaurant with bar on the premises (for dinner and possibly lunch - no breakfast). Continental breakfast of average quality included in room rate.	
Oct 15 2009 	Nice Hotel	Our room was very small, but very clean and comfortable. The T'V did not work properly and the air conditioner was a little wierd and would switch over to heat for no reason and then go back to cold. but for the amount of time we spent in the room we really didn't care. the staff we very friendly. I would recomend this hotel, it is close to just about everything but not in the middle of all the lights and noise either.	
Oct 14 2009 	Clean Modern Friendly Staff	Stayed at the Wyndham recently in a room with 2 double beds. Rooms are definitely on the smaller side but was modern, clean and reasonably priced. Free continental breakfast was included with our package which was a nice perk. Hotel is conveniently located 1/2 block from 8th and 1 1/2 blocks to Penn St. Subway. Decent Italian restaurant 2 blocks north on 9th Ave (opposite side of street). Reception staff was wonderful - Victoria was very accomodating with an early check-in. Only complaint would be the wait for the elevators - 2 for visitors to use (plus a lot of service staff use them) that are both quite small and slow moving based on frequent stops.	
Oct 14 2009 	Very noisy - road noise and air conditioning	I'm not a particularly light sleeper but was kept awake for hours by noise from the street below. I was given a room on the seventh floor at the front of the hotel and I can honestly say it was the noisiest hotel I've ever stayed in. There seemed to be trucks collecting ruubbish starting at around 11pm and going on ALL through the night until 4/5am. The windows provide little sound proofing - really need to sort out the problem. The air conditioing was also extremely noisy and seemed to be either really cold or not on at all.Why didn't I ask to move rooms? Quite simply this was the final leg of a three week holiday in USA and this was our 8th hotel. Think we'd reached the point where we couldn't be bothered to pack and unpack all our things again. If this hadn't been the case I would have demanded to move or would have moved hotels - it really was that bad.Check in had also been very rushed - unlike in other hotels where we were given a choice of room to stay in. In hindside almost seems like they try to palm off the noisy rooms and hope you don't complain/ask to move.The room was very small but not a big issue as only really went back to the room to sleep (or try to as the case was!) Bed was nice and comfortable. Bathroom was decent size and nice shower (although shower leaked onto floor badly).Wait for lifts was annoying - only 2 for c.30 floors is not enough.Staff at breakfast and bellhops were friendly and helpful.Location was ok not the best. Ok in terms of being pretty central to Times Square and subways but no decent restaurants in immediate vicinity.Would I stay here again - no as I wouldn't risk getting a noisy room.	
Oct 13 2009 	A gem in the middle of Manhattan!	You don't have to spend a fortune for a really nice, centrally located Manhattan hotel with this Wyndham Garden Hotel. We got a great deal online with an extended Continental breakfast. The hotel is only nine months old so everything is brand new. The rooms are on the small side, but they are immaculate and the beds are really great. Our bathroom was very large. Everyone couldn't have been nicer or more helpful from the reception desk, to the bellhops and the Food &amp; Beverage Manager at breakfast. We only had two minor complaints. There are twenty something floors but only two elevators, which made for long waits a couple of times. Also, they had a small TV on in each elevator, which we found quite annoying. Doesn't anyone like to have some silence once in a while anymore? Overall though, we were really happy with this hotel and would definitely return.	
Oct 12 2009 	Great Choice!!	My daughter and I stayed 4 nights at the Wyndham, we were completely satisfied and would recommend this hotel to others. We found everything to be wonderful. Room decor was wonderful. Walk in shower was great! Location was convenient close to subways, etc. We booked through Travelzoo with a great rate. The continental breakfast was very good. The best thing about this hotel was the staff....everyone was friendly and extremely helpful. You will not regret choosing the Wyndham.	
Oct 12 2009 	great hotel	great hotel, very good location not far from times square, 10 minutes walkthe room was very small for 3 passangers but it was ok, comfortabel beds,bathroomstaff very friendly and helpful	
Oct 11 2009 	A Decent Hotel Great Location But Between Two Noisy Streets	This was my second stay at this hotel in the past year. The hotel is a newer hotel, but it was already showing wear and tear as compared to my first visit. There was a black stain on the carpet by the bed and the light switch in the bathroom did not work correctly. The air conditioner was somewhat loud and could not be turned off even though the weather outside was mild. The shower door sealed very poorly and allowed significant amounts of water to leak onto the bathroom floor. Other wise, the room was in good condition and reasonably clean.The sheets and pillows were of good quality and clean, but the fitted bottom sheet kept coming loose exposing the mattress and mattress pad.This hotel was full on both my visits. It seems that the hotel uses Travel Zoo deals to keep it full. This results in some good values, but the hotel services seem a little stretched by the crowd.The rooms was small, but adequate for two people. Couples with children will be cramped in a standard room.The hotel is located between two very busy streets with heavy truck traffic all night long. During my first visit, it seemed like a noisy garbage truck was parked out front for hours. At the time of my second visit, metal plates had been placed on the street in back of the hotel resulting in a large bang every time a truck ran over one of the plates.The noise is not the fault of the hotel, but more care should have been taken in soundproofing the rooms from street noise.On my first visit. I asked the room clerk for a quiet room. She appeared to be listening, but placed me in a room just above the street. Even with earplugs, my sleep was interrupted many times. The next morning I asked for another room and was placed on a higher floor in the back. Much better.Essentially, the same thing, with the same clerk, happened on my second visit. This time, I went back down immediately and asked for another room. Another clerk gave me a more satisfactory room. If noises bother you, you will not be satisfied in one of the front rooms right over the street. The hotel must know how noisy these rooms are and resists moving you if you are assigned one.The hotel is only a couple blocks from Penn Station which makes it very easy to get to. It is within easy walking distance of many tourists attractions, including Times Square and the Theater District. Overall, this hotel is twice as expensive and half as nice as a good Residence Inn, but I suspect it is about as good as you can do in New York City for the price. For that reason, I recommend it.	
Oct 10 2009 	Great hotel	If you're looking for a hotel, stay at the Wyndham Garden! We got a good deal on Travel Zoo. The hotel was clean, bed absolutely comfortable, staff friendly and helpful, and the location was pretty close to the subway station. Times Square was a short 10 minute walk. A recommendation to try is the Italian restaurant, Carbone which is only a short distance from the hotel. The pizza and pasta were both delicious and they have a good selection of Italian wines.	
Oct 9 2009 	Room for 2 in the bathroom!	Newish, very clean, very friendly staff, very comfy beds.	
Oct 8 2009	Fabulous!	This was my first time in New York and finding a reasonably priced hotel, that is also nice, roomy, clean, etc. is not so easy. But I found this particular hotel, with a special on Travelzoo and my mom and I could not be happier. The room was beautiful! Yes, is was a bit small, but the space was utilized well. The beds were beyond comfortable! Had some of the best rest I've had in a long time. With the special, we were given complimentary continental breakfast, which was absolutely delicious. We also were given welcome drink tickets that we used on the 10th floor terrace bar. It was so great!! If I ever go back to New York, this is where I will stay. I recommend it to anyone who is planning a trip there.	
Oct 8 2009 	Good Clean Comfortable and Central NYC hotel	My family (mom, dad plus two kids aged 10 and 13) spent five nights in one room at the Wyndham Gardens Hotel in Sept 09. It was our first family city break and the kids first trip to the US from the UK. We booked it because of the consistent high rating (usually) 5.0 on Trip Advisor. We found it great too. The two twin beds in the room were big enough for us all and so comfortable that we even looked forward to returning to them every evening after a hard day's touring the city. The hotel prides itself on the comfort of its beds and rightly so. The room was relatively compact with four of us in it but the shower room was relatively spacious and both rooms were kept very clean and well stocked for the four of us (eg: always sufficient towels and toiletries which made things hassle free). We were at the back of the hotel, the view wasn't great but it was quiet. The hotel is central, the area didn't appear as bad as some reviewers have suggested and is usefully close to 9th Avenue which houses a wide range of small family run restaurants (just turn right instead of left as you exit the hotel). The staff were helpful but not intrusive, the hotel has a useful 'home' policy in which it can provide you with stuff you may have forgotten or were unable to bring (including laptops). A great base for a city break, would happily return and recommend it wholeheartedly. Enjoy!	
Oct 8 2009 	Pleasant comfortable and clean.	Aside from the smiling accomodating staff, the rooms were lovely and very comfortable. I was surprised by the size of the bathrooms. Much larger than most of the hotels where I've stayed. The view was beautiful day and night. Overall it was a very pleasant stay and I will not hesitate to stay here again (and again).	
Oct 5 2009 	Great Location very close to subways or walking everywhere.	So convenient to Central Park, Maceys, Times Square and so much more. Rooms are very small, clean, but big windows. Restaurant had very good food. Service was so friendly and welcoming. We booked this online through Travelzoo and got an amazing deal for New York hotel prices! If you don't spend much time in your room, except to sleep, the room size is not so important and the price is.	
Oct 5 2009 	Great all around! Rooms service 	We had 3 rooms and all were clean, comfortable and well located. The queen room had plenty of space for 2 adults and furnishings and decorating was modern &amp; new. The beds were very comfortable. I was impressed by the GREAT customer service as well. What a treat to stay at the Wyndham Garden Hotel Times Square South. The continental breakfast was ample &amp; fresh too and you could pay extra for more items as well. We wanted to check out the 10th Floor Terrace for drinks &amp; tapas, but weather had forced it's closure during our stay. Next time we will. We will DEFINITELY return for another stay in NYC.	
Oct 3 2009 	Great hotel	Stayed at the Wyndham Garden for 11 nights in September. Found a deal on Travelzoo for $179.00 a night which included a continental breakfast. The hotel staff was very friendly and helpful and the breakfast was filling. Some guests have commented on the neighborhood expressing concerns about safety. However my husband and I felt safe at night in the area. On 9th are tons of restaurants within walking distance and you can also easily walk to Times Square. The hotel is two blocks from a subway stop making transportation simple to use. Yes the room is on the small side, but we found we could easily store our belongings. The bathroom was good size and the shower was wonderful. We were on the 17th floor and did not hear any traffic noise. The bed was very comfortable and maid service was very good (always providing enough towels and toiletry items). Would definitely stay here again.CourtneyWhittier,CA	
Oct 2 2009 	If your looking for great Hospitality in NYC!!	You need to stay here. We had reservations at the Gem Hotel in Midtown, only a few blocks away. As soon as we walked into the Gem Hotel there was total attitude for the front desk clerk so we immediately checked out and walked down the street a few blocks to the Wyndham Garden - Times Square South. The moment we walked in we were greeted by the bell man and the front desk, the whole staff was beyond friendly the entire stay. We found out that the rate was exactly the same as the GEM and to our happy surprise after checking out the room I can tell you that it everything was much nicer and up to date. Very comfortable beds, nice view from the 26th floor, a nice little restaurant in the lobby floor, free continental breakfast &amp; cocktail coupons. I loved staying here, they turned my almost ruined trip to New York into a great comfortable time. I will definitely come back and stay with them. You will not be disappointed.	
