	Rooms are small but overall it was a great hotel - I'd stay here again!	I would highly recommend this hotel - not only is it in a fantastic spot in Manhattan (walking distance to 5th Ave and the subway etc) but it's neat, tidy and a decent price.Our room had 2 single beds inside, I must admit it was much smaller than I expected, but it didn't bother us one bit - we're in New York, if you're going to spend extended amounts of time in your room, then you're crazy! So the tiny room suited us because all we did in there was sleep. It was clean and comfortable and was within our budget ($1000 for 5 nights - booked on expedia).I highly recommend this hotel and would definitely stay here again.	
Nov 1 2009 	We loved our stay at the 30:30 clean rooms central location pleasant helpful staff. Would absolutely book again.	My husband and I have just returned from our stay in NYC, we travelled there on 24th October for our Central Park wedding, had some reservations about the hotel because the reviews were inconsistent. Some excellent and some very poor. I loved the quiet location of the hotel, away from the madness of Times Square where some of our family and friends were staying, but well within walking distance of everywhere we wanted to visit. We were allocated a small room on the 12th floor initially (1218) , which was more than adequate, but I asked for a move just after our wedding for a room with a street view, we got room 704 and it was fab, spacious, overlooking 30th street, and with a view of the Empire State Building, albeit just the top, but hey, a view's a view! The staff couldn't have been nicer, the rooms we saw were very clean, as were all the communal areas, if you're booking this hotel, you should take the rating into account, if you're looking for something akin to the Waldorf Astoria then you're in the wrong place. The florist attached to the hotel did the flowers for our wedding, the crooked knife across the road was fantastic value for dinner and drinks, I used the hairdresser right across from the hotel to blow dry my hair for the wedding - everything I needed was right on the doorstep, fantastic!	
Oct 28 2009 	This hotel is well below average	The room i stayed in had so little space, the (single) bed had about 2 ft around two sides and the other two were up against the wall. The wet room shower had no shelving to hold toilet articles, and the wardrobe was miniscule.The experience was depressing and a huge disappointment considering the amount levied for a night's stay was USD 243.My colleagues' room was not clean and there were peanuts on the floor from the previous occupant.Try to avoid this hotel.	
Oct 27 2009 	Great hotel great price great location.	I stayed at hotel Thirty Thirty for 4 nights. I travelled with a friend and 2 teenagers. This hotel is great and I would definitely stay there again.I was so worried after reading previous reviews, but i can say there was nothing wrong with the hotel.Because of the great location we were able to shop, drop off and shop again!!We had a double double room, which was a spacious room with 2 double beds. The bathroom was very modern. The room was clean and decor ok, not amazing just basic, but what more do you need for a 4 day trip. Trendy reception area.The toilet was blocked around 3.00am in the morning and within 5 mins someone came to our room to rectify the problem. The hotel staff at the reception, and concierge were plesant and extremly helpful. The only thing is the restaurant in the hotel is a little pricey $5 for a 1 liter bottle of water.	
Oct 26 2009 	Nightmare in Midtown	Arrived late evening. Reception looked promising and almost boutique. Had booked a standard room at USD 209 a night. The room was awful. One third was taken up by a corridor behind the bathroom leading into the bedroom which was just big enough from the bed. The room smelt so bad that I didn't even bother venturing further. Receptionist agreed to upgrade me to a larger room. The room was sizable but decor was tired with some wallpaper coming away from the wall. Two televisions, one missing part of its front. Sofa looked dirty and floor had remnants of cashew nuts which had been dropped by a previous occupant. Floor was uneven whilst wardrobe, bedside table and other occassional furniture neither matched nor was in good condition. Bathroom was highspot with modern tiles and decent walk in shower but, even after washing, a few minutes in the dirty bedroom made me feel unclean. Nether cheap nor cheerful. Not a hotel to which I will ever return.	
Oct 26 2009 	Great hotel - Ignore the negative reviews	After winning the hotel on Priceline, I was a bit worried about my stay after reading the negative reviews on Tripadvisor. Luckily the hotel was much better than expected. I can’t comment on the regular rooms as we were upgraded to a deluxe room since there were no non-smoking, king-bed rooms available on the night we arrived. However, the upgraded room was excellent, very spacious for a NYC hotel. Everything was clean and comfortable, albeit a bit dated. There was no in-room safe. The bathroom was possibly the highlight of the room, very clean, stylish and modern.The location was convenient, near several subway stations (nearest was 28 St and Park Ave for the 6 Line, also 28 St and Broadway for the R and W) and is only a short walk to several restaurants, 24-hour pharmacies, and the Empire State Building. Essentially anywhere in Midtown Manhattan is within walking distance (i.e. a ~20 minute walk). I had very limited dealings with the staff, so I can’t comment on them beyond saying that I found the service adequate. All in all, our stay was trouble-free with nothing to complain about. I booked through Priceline so the price was excellent. At their regular rates, there are better hotels though.	
Oct 25 2009 	clean friendly and excellent location	We travelled to New York with friends for a 50th birthday celebration. Having already booked the hotel and then reading some of the reviews just before we travelled we were slightly worried to say the least. When we arrived we were pleasantly surprised and more than happy with our choice of hotel. Our friends who were celebrating their 50th birthdays had their room upgraged and the staff were very friendly and helpful. Also the rooms were very clean and comfortable. The hotel is in an excellent location for site seeing and we would definitely stay there again.	
Oct 21 2009 	A great hotel with great staff	We just got back from our first trip ever to New York. We stayed at Thirty Thirty at the recommendation of friends. We were apprehensive a bit after reading some of the reviews on here. Were they ever wrong! The hotel was lovely as were the rooms and the staff. The rooms were spotless and the housekeepers always pleasant. Everyone was so friendly throughout the hotel and they were always willing to help with a smile. They was even a manager in the lobby at check out who went out of his way to inquire about our stay and to offer help and asked if we needed assistance with anything, even though we were checking out!! We would highly recommend this hotel to anyone, especially if they want a conveniently located hotel to all the sites and shopping. We will definitely return.	
Oct 20 2009 	Great price. Great value	In NYC, with this price, is impossible to find something better than Thirty Thirty Hotel.Clean, in Midtown, with every comfort. It was a great surprise.If I'd need I'd come back.Just one problem: no free internet wireless connection.	
Oct 13 2009 	Excellent location	We have just returned from a 4 night stay in the Thirty Thirty and were impressed by the hotel especially as there have been some questionable reviews on here.We were upgraded on check-in to a superior room. The room was big enough for us and our suitcases. It was basic but clean. The only negative being some noisy fans outside the window (we were in a room at the back of the building). Also, the staff were helpful with any questions we had.The best thing about the hotel is the location. It is within walking distance of the Empire State Building, Macys and Times Square. It was perfect as a base for our trip and I would recommend it to anyone on a budget looking for a New York hotel. Going for a cheaper hotel meant we had more spending money for shopping!	
Oct 13 2009 	Good Hotel	Only a few minutes walk from the Empire State Building and Macy's. Good hotel, nice sized rooms, clean rooms and very helpful service. Didn't eat at the hotel.	
Oct 12 2009 	I definetily recommend...	Me and my brother stayed at Thirty Thirty for 2 days on our first trip to NY. We booked through Orbitz which gave us a standard room but only guaranteed a Queen bed, although brothers we definetily preferred separate beds and one call to the hotel got our needs accommodated. Great location, center of Manhatan, close to subway and easy to move anywhere. Room was very clean and comfortable.	
Oct 12 2009 	Incredible room and Value 4 Manhattan	I stayed here at the beginning of September and was very surprised at the value and location of this hotel. Large, clean room.	
Oct 11 2009 	Great location nice hotel	The hotel is close to Grand Central Station and has good access to public transport. The rooms aren't very big and we good stuck with a room which smelt of smoke although we specifically requested a non-smoking room. Nevertheless we had a great time in NYC.	
Oct 10 2009 	Good location bad service	The good thing: it is indeed very close to Empire State Building, Times Square is within walking distance etc, and the nightlife bars are great. On the downside, the room (single) was the smallest room I've ever been in (and being often in Paris I know that rooms there can be rather small, too): and the staff was quite unfriendly. Couldn't find my luggage, charged me for internet access (the freaking room had space only for a bed, no desk to even put a laptop on!). The worst thing was the combined toilet-bathroom-shower: Imagine a room about 2 m², where one corner holds an toilet seat, the other holds a tiny tiny sink that is about the size of my hand, and the shower is - the whole room: there is a drain at the bottom of the floor, you just shower right there. Great way to start the day, I tell you!	
Oct 9 2009 	I want to go back to Hotel 30 30 now please!!	I spent ages looking for a nice hotel in New York and my boyfriend kept suggesting this place as he had stayed before but i wasn't to keen until we got a great deal on an junior executive suite and couldn't say no! The room was modern, clean and had lots of room. The bed was so comfortable it was hard to get up sometimes. The bathroom was a good size with a large walk in shower. It was also really quiet, once in our room we didn't hear any noise.The location was great, only a few blocks from the Empire State building, bars and the most important thing - shops!!! I would def go back here again!!	
Oct 8 2009 	No frills but good clean room to use for sleeping and showering.	My wife and I spent 3 nights here on our first trip to NYC as tourists. We didn't want to spend too much money, so this hotel was perfect. Don't expect much as far as service and spaciousness. The room was small and had a window unit AC, but it was clean and served it's purpose. It wasn't a great hotel but it was adequate, clean and safe. We would stay here again because of the location and price.	
Oct 7 2009 	The 4 things you need to know about this hotel	Ok, lets cut to the chase- there are 3 things you need to know about this hotel that are deciding factors. Please read the whole critique because the 3 aren't disqualifiers for everyone- you decide they are. I just stayed at this hotel for 4 nights &amp; was very skeptical of the star rating (3-star hotel), but NYC can be so expensive, I ran with a 3-star. I traveled with a friend, so we had 2 beds in a room. Here is what you need to know: 1.) Rooms are small 2.) the A/C unit is built into the window (no issue there) but when its on, it sounds like a 747 (if noise is an issue, sleep with it off) 3.) only place to put the TV is up about 9 ft from the floor, so when you're lying on your bed, you're looking up. 4.) the beds were small- dont know? Queens? They felt like singles. I kept thinking I was going to fall out- I'm used to Cal Kings. 5.) I'm mentioning this because I tend to check online the day before I leave (I hate checking in at the airport)- main gripe was the cost to print out a boarding pass- it took 30 seconds, ending up costing me $6 since the printer ran out of paper, so it would cost you $3, which its only $3, but that is just plain dumb (give us the convenience!!!) Now- was the hotel quiet? Yes. Never once heard anyone, nor did anyone wake me up. The hotel staff was amazingly polite and courteous and even helped me with finding locations I wanted to go. Cleaniness of the hotel was top notch- maid service extremely well. The bathroom is enormous. The location was perfect- close to everything- really probably the best location and right in the middle of it. A stone's throw from good bars and excellent restuarant. So location is probably one of the best in Manhattan. Would I stay there again? Definitely. I got a great deal on Priceline and it was a steal compared to the $400+ rooms I was seeing. I'd rather spend my $ elsewhere and this was the place where I would.	
Oct 7 2009 	Everything i was looking for in a quick trip very professional and great service!	I loved the hotel, I would recommend it to anyone coming to see the sights of NYC. THe staff was very professional and accomidating, the location of the hotel is in the middle of everything, lots do do. I think it it took 4 minutes from the Empire State building. It was a blast staying there, everyone made it seem like they were there to show you a great time!!	
Oct 6 2009 	Good deal	My husband and I booked this hotel based on recommendations from friends. After reading some fo the reviews after booking I was extremely worried. Overall it was a very good experience. Our room was small but clean and the hotel was extremely convenient both for walking and for taking the subway! Hotel front desk staff were not overly friendly especially since I made numerous trips to reception to have my room key reactivated. Our room was considered to be superior. Which I foudn rather amusing as it was not special in any way. Overall it was a great price and great location. I would recommend this hotel to other budget conscious travellers.	
Oct 6 2009 	kicked out of room when hotel overbooked themselves!	I was on a business trip with two colleagues and the trip was for two nights. After our first night, the hotel called to say they had overbooked themselves, a large group was coming in, and at least one of us would need to vacate our room. The hotel did nothing to help us find alternate lodging. When we got back to our rooms, our bags had basically been packed for us, and the rooms were ready for new guests. They ended up putting two of us in a room with two twin beds (that were hard as concrete) and then did nothing to compensate us for their horrible screw up and handling of the situation.	
Oct 5 2009 	Not bad for the price...	After searching and searching and SEARCHING for the lowest rate for a decent hotel in NYC, I found this one and decided to stay there. The location wasn't that great, but depending on where you're planning to go in NYC and if you don't mind walking a lot, then it should be ok. It's about 2 blocks away from the nearest subway too, which isn't that bad. Room was really small, which is normal for NYC, but what was surprising was the size of the bathroom (really big for a bathroom)! Pretty much the same size of the room! The only thing that bothered me was that the room constantly smelled like food (oniony-smell) probably from the restaurant downstairs or one of the restaurants on the street.If you want to use the internet in your room, it costs about $14/day and it's not wireless FYI. Overall, if you don't care about the size of the room or the location, then this is a great hotel for a low price.	
Oct 4 2009 	fab!!!	a little weary about staying there after reading reviews but it was lovely and v. clean and staff on reception v.nice and friendly. only 1 small complaint 1 of the door was v. rude but apart from that will be back!! oh check out the crooked knive across road .	
Sep 29 2009 	great base	wasn't looking forward to this at all after reading the reviews, but it was great very clean staff were very helpful . Central location and the bar restaurant , the crooked knife, directly opposite was a welcoming place after a long day visiting the attractions. I would recommend this hotel.	
Sep 28 2009 	as a person that has travelled to many cities worldwide this was by far the best	Myself and my 12 year old son arrived at the thirty thirty hotel for a week long stay and we were greeted with the utmost respect and professionalism after a long flight from London.Whilst there we stayed in a suite which was both very comfortable and kept immensley clean on a day to day basis, the hotel's ammenties were superb as were the staff. The thirty thirty hotel is actually based in the centre of Manhattan which is very close to all the top tourist attractions such as Times Square, Central Park,the Statue of Liberty to name a few but unbeliveably the Empire State Building is at the end of the street from the hotel, no more than a 30 second walk. I would recommend this hotel to both family and buisness needs as we gathered very early on that Wall street and the Buiness distict are only a very short distance too. The food, breakfast lunch and dinner were also excellent and the restaurant staff were also impecable. HIGHLY RECOMMENED!!!!	
Sep 27 2009 	what a little cracker	had read many reviews on this site prior to my trip to New York and was a little anxious about what to expect. well i would like to say i had a fab time in NYC and the hotel was a wee gem. The room was big, spotless and even had a view of the empire state building. The beds were soooo comfy and i got great sleep the full five nights i was there. Seconds from leaving the hotel you are in the heart of everything. The reastaurant/bar attached to the hotel does amazing breakfasts, was too busy shopping to come back for dinner but would fully recommend. The staff were very helpful and answered all my quieries. So if you are going and you are considering this hotel i would say go for it....which leaves you more money for shopping. LOLWhen returning to NYC i will defo use this hotel again.	
Sep 24 2009 	First class accomodation!	Stayed at the Hotel Thirty Thirty for four nights on a girly trip to New York. Excellent accomodation, two blocks away from the Empire state building and central location. If we went again we would probably stay near Time Square as it was a bit of a walk each day. This hotel was a great three star accomodation and would def stay here again. Big rooms and an even larger shower. Our toliet over flowed once and staff were in our room a couple of minutes later sorting out the problem. Great service. A tip for anyone who has never been to New York before as we were all NYC virgins - we would reccomend buying a bus tour ticket for 48 hours as it was cheaper than paying out for taxis or other froms of transport. Spent one day doing the downtown loop then the night bus, then the following day doing the uptown loop for the musuems. Overall we really enjoyed our short break in the big apple and are looking forward to our next trip!	
Sep 24 2009 	Second great experience in less than 3 months.	I stayed at the Hotel Thirty Thirty for the second time on 3 months and my experience was great both time. I found the satff to be incredibly helpful, the rooms to be very nice and connecting Restaurant a real plus and convenience.I would recommend to anyone , anytime.	
Sep 23 2009 	Good location but small old room	Let me start with saying that it's not really bad it's just not really good. The hotel has a good location, not far from subway, empire state building and not really a bad walk to Times Square. The only real problem was the room. It was small, old and smelly. I was traveling by myself so I got a petit room. The website warns you that the room is small but you can't imagine what small is until you get there. There was one twin bed pushed in the corner. The room had a smell to it like animals or something. The TV was real old and the A/C worked but was loud. Basically the room was just old. The bathroom was one open area with a tiny sink mounted in one corner with a pull out mirror. A curtain came down the middle of the room to create a shower and the toilet was in there with you. There were lots of strange stains on the ceiling and the tile looked old and dirty. I'm not real picky about places to stay and I guess there was nothing really wrong. I just left thinking that I never wanted to stay there again. Of course the other bigger rooms may be better or nicer.	
Sep 22 2009 	Thirty Thirty Hotel is/was the nicest place I've ever stayed in 40 years of traveling:	To All NY Tourist or Business Travelers:My name is G.D. McCamey, and I am so excited about writing about 30-30 Hotel. Obviously my stay with the Hotel was perfect. My wife and I enjoyed some of the superior treatment we've ever received. First, management was fantastic, really enjoyable men/women to talk to and share any needs or fears you have at being in NY for the first time. I cannot describe how helpful management was, and not to leave out all the other employees who were super nice, for the sake of a better word. Let me say, I had my fears about being in Ny for the first time, but after several hours at 30-30, I felt like I was home, actually, safer. The staff gave me a room with a tub and shower as I was having some surgery and needed to soak in warm water for 30 minutes each day of our 8 day stay. The bathrooms were very nice, and the beds comfortable, quite and comfortable. To my surprise there was a safe in the closet where I was able to keep my money, and some medication for after the surgery. Little safes I could put my things in and install the combination that my wife and I were the only ones who knew it. That one feature was worth staying at 30-30, but there was more. Elevators, and several eating places across the street, in 30-30 was a nice restaurant. However, since my wife and I would be there 8 days, we needed a place for quick less expensive meals, and we found that place 1/2 block from Hotel Thirty Thirty's front door. A nice deli run by Italian family that made delicious lunches for less then $10. for both of us. Now in NY, where cigarettes cost over $10./ pack, those were inexpensive and delicious means. The problem I had was my wife kept asking me to finish her mean as it was too much for her to finish. All my life I've been told you have to be careful in NY, for it's a dangerous place. Let me say this last thing. I went down to smoke at 1:30am., 3:30am. and again at about 5am. as the surgery kept me awake with a bit of pain. I found I enjoyed standing at the door of the Hotel so much I was going down just to see the people walk by. I felt so safe that my wife and I walked from 30-30 to the doctor's office, from 30th. to 69th., leaving at dark and walking feeling as safe as if I were back in Arkansas. However, transportation is no problem at 30-30, for a taxi arrives at the door with no less then 2 or 3 minutes all day and night. There are buses, or the subway nearby. I loved the location of 30-30 Hotel. Now, this I want to say, for before we left we read some of the peoples comments who say they had stayed at 30-30 in the past, and they had some negative points in them. I was kinda worried, but let me assure you, I'm 65, I'm particular and very honest, I'm not saying anything here that is not true. I found nothing, nada,, nothing negative to say about my stay at Thirty Thirty Hotel. Even the gym for guest of 30-30 treated us special. I could not work out, but my wife did, and I was treated like royalty while I waited for her. You are right in the middle of everything, we walked to at least 10 places that tourist would want to see, and remember, I had a double surgery and was still able to walk to see the sites with no problems. The price was surprisingly inexpensive for a Hotel of that quality. Oh, I told you I felt safe and I did, but even though the whole area appears safe, there was always a member of management, or an employee at the door as well as a doorman. We decided they stayed there just to make sure their guest would have no problems, directions, ect. I told management I was coming back to NY as soon as possible, for I enjoyed it so much. Chinatown, the harbor, Statue of Liberty and we just happened to be at 'Ground Zero' for a Sept. 6, special service and memorial for those lost on 9/11. It was a special moment for both of us. If you are a country person as I am, and have never been to NY, experience it. It will be well worth your time. Make your stay at Thirty Thirty Hotel too, you'll be glad you did. God bless!	
Sep 22 2009 	** MICE RESIDE HERE ***	When we arrived our first impressions were it was clean, the room was lovely and spaceous and it was in a really good location. We spent only one night there but were very shocked to discover they had mice. We went out and on our return we were horrified to find mice had eaten into some confectionery which had been left in one of our bags. I SAW THE MICE RAN ACROSS THE ROOM and called receptionist to complain about this in the hope they would give us another room. The receptionist didn't seem to care. She told me they were fully book hence could not offer us another room. The only thing she could do was send the porter up to have a look.Yes, the porter came up about 5mins later with his dustpan and brush asking &quot;Where is it&quot; We explained it appeared it had gone out via under the door. He did not seem in the least bit surprised there were mice running around! He then left. I assume he thought we had captured this vermin and were holding onto for him. We were disappointed as no one bothered to contact us to apologise for what had happened. We checked out the following day but left our luggage in storage, how silly of us. After we collected our luggage, we were shocked to find mice had now bitten through one of our bags and had tried to nibble at the cover of a plastic container containing chocolates within the bag. We feel the hotel needs to improve it's customer service. I was unimpressed with the way we were treated by this hotel, would never stay there again and would like to make anyone staying there aware of our experience as we would hate for others to have their holiday ruined by this. I would like to say one thing though, that is it's a lovely builing and it's in a lovely location	
Sep 22 2009 	disappointing	room was cramped - the bathroom door hit the bed on opening! Disappointed as no coffee/tea making facilities.Surprised to see the trash being dragged thro the bar to the street in the evening.But good locality for getting around and decent bar round the corner.	
Sep 21 2009 	Great Place	I stayed at Thirty Thirty in early June, it was a great value for the room we ordered, and the service was fantastic. Would definitely stay there again if I'm back in the area.	
Sep 18 2009 	beautiful building great service	The hotel was beautiful, and I really felt that the hotel staff cared about my needs. When I needed to make dinner reservations they were happy to help me and they always recommended restaurants with great food. I will definitly be back to 30/30.	
Sep 16 2009 	Excellent value friendly service in midtown Manhattan	I had to extend my visit to New York last May after a traffic accident in which I was knocked down by a car in Brooklyn. Fortunately, I was able to get an excellent rate at Thirty Thirty that included breakfast. My petite single room on the 12th floor had everything I needed, and the windows facing south and east gave great light and views. I also appreciated the hotel's pet-friendly policy because I could have my daughter's cat as a companion while she was out of town one weekend. I had previously stayed at Thirty Thirty and recommended it to friends who came to the city last December. I'll be back myself in October '09 and probably again at Christmas..	
