	Good choice for group of 3-5 people	I wish there was a 3.5 option in overall ratings for this hotel. 4 seems too high, but 3 too low.This hotel is very much as OP's have described. I found it to be a very good value. Pros:Very large rooms which are also VERY clean, lots of closet space, light-blocking window shades, good beds with good quality linens, very friendly multi-lingual staff, good location (altho I personally prefer the west side as it is easier to get around), excellent access to computers and printers- I think there may have been 8 stations- WIFI fast and dependable. Cons:We really could have used another bath or half-bath (3 women and 1 man), Breakfast was not much- yogurt, cottage cheese, coffee, juice, some rather dried out pastries..probably one of the worst &quot;continental breakfasts&quot; anywhere.Noise- the street noise did not bother me too much, but both daughters and husband commented on it. Oldest daughter said to me, &quot;mom, this is the noisiest place we've stayed in NY&quot;. Not sure why this is a problem as the street in front is not really a busy street, but there did seem to be a great deal of honking at all hours. If you think this might annoy you, ask for a room that does not face the street.We tried 'Mint&quot;, the eating establishment connected to the hotel- not impressed.My husband, our two 20-something daugthers, and myself were visiting NYC and I was looking for a way to avoid 2 hotel rooms at $275 - $325/night for each room for the weekend after Thanksgiving.The San Carlos had a suite with 2 queens in the bedroom and a pullout sleeper in the LR, along with a small &quot;kitchenette&quot; (microwave, sink, refrigerator and utensils) for $300/night. The reviews here on TA were favorable, so I booked it for 3 nights.Thanks to other members for their helpful reviews of this hotel. Very accurate reviews!Saved us hundreds of dollars over 2 separate rooms without sacrificing too much in the way of comfort and space.	
Aug 16 2009 	A fabulous home away from home	We were staying at the Affinia 50 which is directly across the street and moved here on the second day of our one week stay in New York City. We were very happy with the change. The lobby is lovely and tastefully decorated. It was always calm and quiet. The staff were warm and welcoming. The rooms were tastefully decorated with lovely linens, furniture and had a relaxing feel. It always felt great to return every day from a long day of playing tourist. Our stay included a continental breakfast which was simple but nice. A newspaper awaited by the door every weekday morning. We would highly recommend this hotel and would gladly return on our next trip back to the Big Apple.	
Aug 14 2009 	"Above Average" NYC accomodation; location; value: overall 3.75	We planned to go into the city for a long weekend with two friends and didn't want to spend a fortune on just eating, partying, and the sites. We were all happy with our choice. We needed a room that could hold us in 3 seperate beds. The San Marcos offers a two QUEEN bedded suite with a pull out sofa which was a perfect sleeping set up for this trip without having to get two rooms. The room and common areas are very nice for a 3 star. This smaller property is a 3.5 and could be higher except that it is more an apartment rental than a large full service hotel. The service is VERY GOOD, it's just limited to the basics. Concierge, front desk, doormen, maid service, maintenance were all very helpful and friendly. The hotel does not offer room service or a bar ( except for the one restaurant that we didn't need to use ). It does however offer 24 hour front desk and doormen, internet, and a small cardio gym, InnCom, flatscreens and usual inroom amens. The room and common areas are up to date, pretty well maintained, and clean. The rate for our room was reasonable for 3 nights, 4 people, at 1048.US. The website for the San Marcos matches what we found and we were pleased with our stay. Am leaving the 4's on this review because you should be happy with this 3 star level hotel.	
Jul 18 2009 	Best hotel experience we've ever had in NYC	Traveled with my friend and our 2 teens. The staff was so friendly, welcoming and helpful in every possible way. The room was large, immaculate and comfortable. The beds were amazing and it included a nice continental breakfast. We felt cosseted and pampered. I have often traveled with my husband on business to more well known, fancy chain hotels and never felt so welcomed or well cared for. I am telling all of my friends about this place and plan to make it our regular stop for travels to New York City. Check their own website for any offered specials.	
Jul 5 2009 	A very comfortable and relaxing time spent.	My stay at the San Carlos is not my first. I have always have had an excellent time, from the time you come in, you are treated like royalty. The staff, not enough can be said about the staff, so respectful. The owner of the San Carlos should be very proud of the employees they hire. He must have very high standards! There is nothing but good things that I can say about this fantastic hotel in the middle of everything! I am so happy I have chosen the San Carlos. Sincerely, Anna A.	
Jun 23 2009 	Perfect Stay At The San Carlos	Our best friends suggested San Carlos and they were right! Everything was perfect starting with my telephone reservation. Desk team was fantastic throughout , helpful and service with a smile. We were initially greeted by Gabriel who said &quot;we've been expecting you&quot; and showed our 10 yr. old son a clever little magic trick which made us feel welcome. Cleanest hotel room I've ever seen-the housekeeper even moved a small table into the bathroom when she noticed we needed more counter space. Doormen and Bellmen were great. Very pleasant and even arranged parking for a family member who came to visit. Continental breakfast was convenient, more than enough and selections were presented well. Business Center is a bonus. Outstanding location. Our experience was superior and the San Carlos will be our hotel of choice for future trips to NYC!!	
Jun 13 2009 	Wonderful stay at the San Carlos	We stayed at the San Carlos, 4 girls in a 1 bedroom suite on the 3rd floor. We thoroughly enjoyed our stay. The room was clean and big enough for us girls and all of our stuff. The staff was great especially all of the Bellman that were working during our stay. They were very helpful in getting Taxi's, directions and even umbrellas.. One thing though, if you are on the lower floors facing 50th, you will hear alot of traffic noise (fire engine sirens, trash trucks etc.) That will not stop us though from staying there again.	
May 14 2009 	quiet reasonably-priced great location	Quiet, peaceful, heck of a location, roomy by New York standards.The walls appear to be a little thicker than the standard. Which means that the BOOM from closing doors is mitigated.	
May 1 2009 	Nice Hotel/Great Location	My husband and I stayed at the San Carlos for a combination business/leisure trip. I was there for 4 nights and my husband for 6. Before our arrival we called to request a front facing room and when my husband checked in they had upgraded him to a lovely, large room with a sofa, two comfortable chairs and a small kitchen area. It was a very nice surprise.We have stayed at this hotel before and once again everyone on the staff was very friendly and accommodating. The location is terrific, on 50th Street near 3rd Avenue, convenient to subways, buses and within walking distance of many things the city has to offer. The area has many restaurants serving any type of food you might want. One of our favorites is Sip-Sak, a Turkish restaurant on 2nd Avenue. I have only minor complaints about the San Carlos. As other Trip Advisor reviewers have mentioned, the continental breakfast is not very good. It would be much better if they offered cereal and yogurts in addition to breads and pastries. The other is that the hair dryer provided is too small and doesn't have enough power. I would definitely recommend the San Carlos and hope to stay there again the next time we are in New York City.	
Apr 27 2009 	Big rooms great location friendly staff	We arrived at the Bedford Hotel and found out we were being moved to the San Carlos -- really glad we were. Friendly front desk staff set us up in a quite large room (especially by Manhattan standards), very clean, comfortable, etc. A few issues: hair dryer did not work, one electrical outlet was dead, first set of keys didn't open the door -- all minor stuff, just annoying. The location at 50th and 3rd couldn't be much easier, 5-minute walk to Rockefeller, 10-15 minute walk to Broadway, Central Park, Grand Central. Thumbs up from me.	
Apr 13 2009 	Wonderful gem hotel in mid Manhattan!	This intimate little hotel is truly a gem. Last time we visited NYC we stayed at the Marriott across from the Waldorf. WHAT a difference! San Carlos is spotlessly clean, spacious, quiet and well appointed. The microwave, fridge and dishes and cutlery for 2 were fantastic. The beds were comfy and warm. We thoroughly enjoyed our visit and will most definitely return to this location again and again. The front desk staff, concierge and the maid service were stellar. EVERY consideration was no trouble. The door staff and the breakfast servers bent over backwards for us. This place was a total find out of the CAA handbook and we heartily recommend it.	
Mar 3 2009 	A lovely home in New York	Just up from the Rockafella Plaza near the Waldorf Astoria Is The San Carlos. Its not big but what it lacks in size it makes up for every other way. The staff are great, breakfast really nice, the room is clean and pleasant and the location is fabulous and well within walking distance of Times Square and the big stores. We really enjoyed our stay here and will be coming again. A great find!	
Jan 20 2009 	great hotel	We chose this hotel because some friends had already been there and told us it was great. Tehy were absolutely right.The staff is really nice. The guy that helps you with your luggage got us tickets for a concert which was impossible to get weeks before.The room was really big and clean, although the view was not so nice. But the good thing was the silence.Everyday we could check teh email, the access was free and only twice we had to wait for a couple of minutes to use one of the computers.Breakfast was bagles, pastry and bread, juice, coffee or tea. But it was free.We would definetly repeat.	
Jan 14 2009	San Carlos	Having just returned from New York first time visitor to the city, have to say it, ill Be Back, Yes the hotel San Carlos and all its staff were a dream come true, read the reviews on this hotel prior to departure, and i can fully recommend it to any one visiting the Big Apple.The Location was great, the reception staff doormen in fact all staff could not have been more helpful, if and when i go back, this is where i will stay, and this hotel i would recommend to any one visiting New York. We traveled in a party of 3 my wife and daughter, we had a smoking room,that i requested, which are becoming rare in this day and age, the room was great beds great, facilities in room, great, amenities in hotel were also top notch, they area was safe as is New York and i mean that, they area has shops restaurants very close by not far to walk for main attractions, or grab a taxi which the door staff can arrange and cheap. What more can i say apart from well done San Carlos you made our trip from Scotland an experience that we will never forget, warm friendly people you are a credit to the hotel and New Yorkers Will see you in the future thats a promise.	
Jan 10 2009 	handy hotel in a central location	We stayed here for 4 nights on route from New Zealand to Ft Lauderdale where we were picking up a cruise.We choose this hotel becasue of its location and good sized rooms and the fact they served complimentary continental breakfast. For us, this was the most expensive hotel we stayed in on our trip because of our weak NZ dollar-( a hotel charging the same rate in NZ would give you a entire suite with harbour views, balcony and a full buffet breakfast.) I digress!We arrived at night and check in was smooth.The room was quite big for a Manhattan hotel and nicely appointed. We had heaps of floor space to put out suitcases and purchases. The hotel itself is in a great spot- handy to the subway station one block up and the Rockefeller centre and 5th Ave shops.As some of the other reviews have stated the continental breakfast was poor and let this hotel down. The plastic plates, paper cups and plastic cutlery made this hotel seem cheap.It is not hard to put on a simple but nice breakfast. Also all the disposable cutlery and plates etc is not really good for the environment- especially in light of the global drive to go green. Surely some proper knives and forks and china plates and a dishwasher would be more environmentally friendly??Suggestion for breakfast food:bowls of fruit freshchoice of 3 stewed/canned fruit with a choice of cereals/muesli and yougurtsa good selection of bread to make toast- some pastriesplatters of sliced cheese, tomatoes, hamselcetion of spreads eg jams, peanut butter, marmiteteas and coffeeThis is easy and cost effective.We choose to go to Pret a Manger for breakfast after expericencing the first morning's food on offer!Other than the breakfast we really enjoyed our stay here, the complimentary use of the computers on level 2 was excellent.We would probably stay here again if the breakfast improved.	
Dec 12 2008 	Very nice hotel - EXTRA LARGE suites!	I recently stayed at the San Carlos for the 1st time after reading the Trip Advisor reviews. The experience was excellent. I booked an Executive Suite and it was HUGE - over 400 square feet. It had a kitchenette (microwave &amp; fridge), a living area with a sleeper sofa and a separate (but open) sleeping area. The employees were all very friendly and helpful. The complimentary breakfast was full of fresh pastries and hot coffee, tea and OJ. The computer lounge on the 2nd floor was a nice feature. My room was on the 11th floor and faced 50th. It was definitely noisy, but it's NYC!I have stayed at The Library on my last few visits and while the vibe there is definitely cooler, I will most likely choose the San Carlos again for the room size alone.	
Dec 2 2008	Great Staff great room and would recommend	We arrived using Supershuttle at San Carlos Hotel and right away we knew we were going to be looked after. The porter helped us with our bags, the staff were full of holiday cheer and answered my constant questions.The room had 2 queen beds and a small bathroom. It was well decorated and enough space for all our purchases!! There was a turn-down service but we never had enough chocolates left on our pillows!! Also for some strange reason our bin was never emptied, but as we were in the room for such a little time it did not bother us.The breakfast was basic but it was included and filled us up till lunch, croissants, muffins yoghurt, orange juice, tea, coffee and various small danish pastries. The breakfast area is not huge so you may have to wait for a table.The staff answered all the questions and we had some great nights sleep due to being in a quiet room. We would recommend this hotel. I have stayed in NYC five times and this has definitely been the friendliest of all the hotels. Oh there was also free internet access on the second floor which meant we could book our seats for our flights home and check emails.	
Nov 30 2008 	Swear by the San Carlos Hotel!	My husband and I checked into the San Carlos after staying four nights at the Hotel Elysee. We preferred the San Carlos hands down. Our 7th floor suite was spacious, clean, and well appointed. The hotel staff was exceptionally welcoming and made us feel like we were family. The location is excellent--1/2 block east of the Waldorf Astoria and very close to the subway, restaurants and shopping. We passed on the breakfast and instead enjoyed the nearby ldiners that locals frequent. We had a great time at the San Carlos and wished that we had spent our entire week there. The owner also introduced himself and was absolutely delightful. We can't wait to return!	
Oct 24 2008 	Decent Hotel but a few too many problems	My spouse and I arrived at the San Carlos on a Wed night for a 2-night stay. We checked in and were told we &quot;were upgraded to a better room&quot;, whatever that meant - but we were pleased. We arrived on the 4th floor and immediately all you could smell was stale smoke. We overlooked this assuming our room would be fine, but it too also smelled badly of stale smoke. I thought rooms in NYC were non-smoking, but apparently I was wrong given the air purifier functioning in our room, as well as an ashtray in the top drawer of the nightsand. After trying to deal with it for about an hour, we finally we down and asked for a new room. We were told the bell captain would be right up to move us. After 20 minutes of packing, and still no bell captain, I finally went downstairs asked for our keys to our new room, and headed back up sans the bell captain to help us. My spouse and I relocated to what was promised to be a &quot;comparable room&quot; on the 6th floor. Unfortunately we got downgraded from a King to a Queen, and also had a handicapped room with a disgusting tile bathroom floor with visible dirt in the cracks. To make matters worse, I opened the toilet and found someone else's waste there - unflushed! I flushed once, and quickly realized the issue, it was clogged. Immediately water started running over the top and on to the floor - so we called the front desk. Staff showed up with a wet/dry vac and got rid of the water, but not the feeling in the back of our head that we would now be using a bathroom where fecies had spilled over and on to the floor. One of the perks was that after about 10 minutes after this fiasco we did receive a platter of wine and other snacks as an apology from the hotel. Other positive notes of the hotel included the location, free wireless, and a second floor business center/lounge area with 6 working computers. In hotels much larger than the San Carlos, I have seen just one or two computers that the hotel expects all guests to share. It wa a welcome sight to see the 6 options available.In short, we had a bad experience that kept our stay from being really enjoyable. I hope it was a one time issue and just bad luck.	
Oct 19 2008 	A Great Manhatten hotel	I loved everything about this hotel, the breakfast, the staff, the location, and the cleanliness of our room. It was nice to have amenities as a coffee pot, microwave, and iron. On the second floor there are even computers for the guest to use. It was great to be able to check-in for my air flight and print my boarding passes ahead of time. For a New York hotel it was a pleasure, although costly. I would highly recommend this hotel.	
Oct 19 2008 	Perfect Location for a Wonderful New York City Experience	Perfect location for a wonderful New York City experience. The hotel staff was friendly and helpful. They made us feel comfortable so that it was easier to enjoy our trip. Our room was spacious and the furnishings seemed new. The room was very clean when we arrived and then maintained that way during our stay. The continental breakfast was convenient. There was even hot milk for our coffee, just the way we like it. All of our requests were cheerfully handled by a hotel staff that clearly enjoys working at the San Carlos.We will definitely stay again and will recommend the San Carlos to our friends.	
Oct 17 2008 	A bit of a shaky start but overall a comfortable and relaxing boutique hotel	My husband and I arrived on a Sunday afternoon (after 3 pm). I don't recall seeing a doorman/doorwoman to greet us (not a biggie) at the time. We had no problems with check-in, though we did detect a bit of a &quot;stuffy&quot; attitude from one of the front desk clerks. Not sure what that was all about. That was the only time we experienced any attitude. The other times we communicated with the front desk, whether in person or on the phone, we had no problems. I guess everyone has a bad day.We got our keys and settled into our room on the fourth floor. The room size was decent, I must say (I heard some hotel rooms are really small in NYC; we reserved a room with a king-size bed). OK, there were some, how do I put this, &quot;housekeeping&quot; issues that needed to be addressed. I will preface the following by saying this: I'm kind of &quot;anal retentive&quot; when it comes to bath towels, bathrobes, etc. There were some dark stains on the rug (perhaps a carpet cleaning would do the trick). Also, when I got into bed that evening, our bed sheet had a rip in it. When I was hanging up some of my clothes in the closet, there were two San Carlos hotel bathrobes hanging up that clearly needed to be thrown out. They had stains on them and were ripped. Finally, the next morning when I went to get into the shower, I found one of the towels had a bar of soap stuck to it. Ew! I called housekeeping, and someone promptly brought me fresh, warm towels to replace all of the ones that were in our room. Before we left to go sight-seeing that morning, I left a couple of notes, asking for new bathrobes to use (I wound up not using them, but thought perhaps the next guests might want ones that weren't nasty) as well as a bed sheet that wasn't torn. When we got back that evening, not only were my requests honored, we were given extra Aveda amenities and mints on our pillows. Well done!The bed was VERY comfortable and the shower was great! We slept like a rock (room was pretty quiet). Loved the Aveda products! I didn't realize they make mouthwash, too.The complimentary breakfast was pretty good (OK, so they didn't have a hot breakfast, but muffins, pastries, yogurt, cottage cheese, bagels, fruit, juice and coffee..what more do you want?!). There was one morning we didn't make breakfast; we wound up going to the Morningstar Tavern for breakfast (as well as a couple of other meals...their menu is enormous, and the prices are fairly reasonable). The hotel is also conveniently located near the subway and lots of attractions. When it was time to leave, Luis, the bellman/doorman, was very helpful. He helped with our luggage and hailed us a cab to Penn Station.	
Sep 14 2008 	Expensive Pleasures	It's not easy finding a good hotel in New York City that fits the budget - so we splurged a bit for our couple of nights in New York.Check In isn't until 3pm and we had arrived there earlier in the day. The staff were helpful and held our bags while we went sight seeing. The hotel is located right near Rockefeller Center and a 15 minute walk to Times Square. We had a room on a higher floor to reduce the noise levels which made it easier to sleep at night.We had a suite, since a couple of friends were joining us the second night in the city. There was a King size bed and also a fold out bed from the sofa. Service was great, in particular, when we ordered take-out and had it delivered to our room (very late at night too), the service manager accompanied the delivery man to our room, to make sure we were safe. Little things like that made us feel more comfortable with our stay.The room also came with robes...not an unusual thing but it's always a nice perk. The furnishings were modern and comfortable &amp; if you request, you can have a dvd player bought to your room and they'll set it up for you.It was a nice place, but then, you get what you pay for...	
Aug 11 2008 	Good business hotel apart from the breakfast	A colleague booked me into the San Carlos for a 3 day business trip to NY. I welcomed the quick check-in, great location, large room, and efficient service. My room was nice, but by no means cheap. Overall, I was impressed, until breakfast, that is. The hotel serves an appalling &quot;continental&quot; breakfast. I was staying in a lovely room in what I thought was a smart hotel, yet when it came to breakfast about 40 guests were cramped into a windowless room which served the most awful pastries I have ever had (a colleague verified this!), with not enough seats and terrible plastic plates and cups, yuk, what a shame.I would probably try one of the other hotels on the same street next time, or if I stay in the San Carlos I'd skip breakfast. I think management should review the breakfast situtation as it is so poor I don't think offering it does the hotel any favours.	
Aug 10 2008 	Good Location-Great Hotel	Great location, nice two room suite with good facilities.Helpful staff, very basic continental breakfast	
Aug 5 2008 	Great Experience	We had a great time in New York. The San Carlos was a great place to come back to after long days of sight seeing and shopping. The staff could not have been more courteous. It was a pleasant surprise to be greeted by name and to receive prompt and gracious service.	
Aug 4 2008 	Sorry but only average	We (family of 3 with an 18 year old daughter) stayed in San Carlos in July 2008. Chose it because of a special deal that gave 3rd night free for a 3 day suite booking and of course because of the positive views here in the Tripadvisor. However, I must say San Carlos didn't meet the high expectations set by those positive views. It is a very typical boutique hotel that there are even 5 in the 50 meter radius from the hotel (in fact stayed at Affinia50 opposite San Carlos last year and preferred it more). San Carlos is not bad but there is nothing really special for the price you are paying. Yes, there is a complimentary continental breakfast included but it is in a windowless corner room and with a very limited offering that can be beaten by any basic 2 star airport hotel. Maybe the worst disappointment was for the service. It wasn't overly friendly and you had to ask for everything rather than the service being offered. It was also disappointing that during the first day the receptionist was selling us a helicopter tour and his only reason was &quot;You should really do it because we get a commission for it. You should help us make our living&quot;. I hate it when the service people see customers being there just to make their living rather than them being there making the customer happy. Left a really bad taste about the whole place which was a shame. Won't be back.	
Jul 29 2008 	Average experience	The location of the hotel was fantastic, near a metro station in Middletown East. We were from a walking distance of the UN, Time Square, Rockerfeller Center, Empire State Building, 5th Avenue, etc.The room we got was not great. We were on the first floor and we had view on the ventilation exit. So, no direct light in the room. Beside that, the room was big for New York standards.The breakfast was not great. Just a few toast and some pastries, but these were not tasty.The good point is that the hotel has a free Wifi access and free computers with internet connections.	
Jul 12 2008 	great hotel	This was our sixth time in NY, but our first time at the San Carlos. As we were four adults travelling, we took advantage of the third night free offer on suites at the San Carlos which gave us quite a saving over two separate rooms. The suite we had was great with a very large sitting room. The staff at the hotel were very friendly and accommodating and the free breakfast was a bonus. Being British it would have been good to have had a kettle or similar in the room, but apart from that we have no complaints at all and we had a great stay at the San Carlos. The location was very good and within easy walking distance of many attractions and the Hop on Hop off bus stopped just around the corner. We forgot to ask for a high room, so there was some noise at night - but this was our fault for not thinking about it in advance. Fortunately we were so tired that it didn't make much difference. The air conditioning, by the way, was excellent - climate controlled and very efficient as well as quiet, compared to some others we have experienced in New York. I would highly recommend this hotel.	
Jun 28 2008 	Lovely hotel great deal	A lovely hotel in a great location. I fell in love with the shower -- super-hot water and powerful shower head made me feel like I'd had a spa treatment every time I took a shower! The hotel was really pretty quiet, too.I didn't much care for the continental breakfast, as the pickings were slim and some of the pastries seemed stale. But if they could just make that one little improvement, I'd call this hotel perfect.	
Jun 21 2008 	Ride 'The Beast'!!!!!!!!!!!!!	Stayed 5 nights here at end of May, could not fault the hotel in any way. After reading previous reviews on Tripadvisor we upgraded our room to an executive suite, which was well worth it. Some commented on the tiredness of the rooms but we have to disagree as ours was really nice. We were on 6th floor so could hardly hear any noise from streets below. Huge queen bed. double sofa bed for kids, 3 armchairs, 2 big wardrobes, iron and board, safe, minibar, tv. Also had a small kitchen area with fridge, microwave, utensils etc.. and breakfast bar. All the staff were extremely polite and helpful.Did not have the complimentary breakfast so can't comment on that. Went to Morning Star Diner most mornings, 2 mins from hotel, for an excellent start to the day, fantastic place and good value. We bought New york passes before traveling which saves time and money. Weather ideal at this time of year for sightseeing. Our kids are 14 and 8 and one of their best things was 'THE BEAST', its a 30 minute speedboat ride leaving from pier 83 where the Circle Line criuses operate. You get WET, very WET, and thats mostly from the crazy guys who run it! They have Supersoaker water guns and water balloons, and play LOUD music, its madness! They take you around statue of Liberty, so you do get a bit of culture!!!!	
May 26 2008 	Nice deal! Would stay again.	My husband, daughter and I stayed at the San Carlos for 4 days, 3 nights. Got a deal on a 1 bedroom suite with sofabed. We paid for 2 nights and got 3rd night free. Hotel was attractive and staff was friendly. We stayed on the 3rd floor so we had a slight problem with outside noise at night.	
May 18 2008 	Best Choice I Could Have Made!	I've been to NYC many times but never stayed the night- read many reviews and San Carlos Hotel was the only one which had great reviews on TripAdvisor. Hotel lived up to every expectation! Clean room, large, we got a free upgrade to an executive suite. Staff was wonderful and humorous- they even advised me that the miny bar was a rip off and to get my goodies somewhere else! Great suggestions for restaurants and they gave us stop by stop instructions for how to get everywhere we wanted to go on the subway. Absolutely the best hotel in this price range, and from the other reviews, better than most that are more expensive. Stay here for a wonderful trip with it's central location (1 block from 6 train which is 1 stop from Grand Central) and only a $7 cab fare from Times Square.	
