	Is asking for a fish at a Kimpton that difficult a request???	First off the positive...a very short walk from Grand Central Station. Upon entering 70 Park Avenue I didn't get that &quot;Kimpton&quot; scent that all Kimptons have (sorry but I think Kimpton properties have a distinct fresh scent). The lobby and check-in area were very cramped and I felt claustophobic. Being a dog lover and purposesly staying at Kimptons because they are pet friendly, I found it odd that when I asked the front desk person if there were any dogs there that he didn't know and had to ask the front door man? As we were checking in I requested that a fish be brought to our room. Six hours later, still no fish, I placed phone call and was transferred to a manager's voicemail, where I politely left a message that we had requested a fish and would like one brought to our room which was on Wednesday. Upon check-out on Friday we never saw any fin friends in Room 709, which by the way I would never stay in again. This room was located right near the elevator and by a door that was used constantly by housekeeping staff and when opened or closed made it sound as if someone was knocking on our door. Apparently this hotel does not have housekeeping closets for storage. The whole three days we were there lined up in the hall right outside our room were various carts of towels, etc. The television in our room had serious malfunctions. We set the temperature in our room to 65, but it was a consistent 75?? We never used room service because I do not think any breakfast averaging $24 is worth it. The Silverleaf lounge did offer the customary Kimpton Happy Hour $5 drinks from 5-7 p.m. nightly. We were told there was live music in the lounge, but didn't hear it as it didn't start at the time it was advertized to. I do love Kimpton hotels, but will definitely stay at one of the other ones in NYC next time we are there.	
Sep 24 2009 	Good hotel in a quiet area	A nice, cosy hotel. walking distance to city center. The beds are big and great! The bathrooms however are a bit small.	
Sep 24 2009 	think again	this is a well situated hotel in which we had two different rooms for two recent stays within a few days of each other.The bathroom in one room was so difficult to enter,you almost had to be a contortionist.My real complaint was the fact that I received and paid two separate bills which were charged to my credit card ,but when I received my card account there was an item for several dollars charged the day we left.There were absolutely no extras to account for this,and onemailing the manager of the hotel as to the reason for this he or she failed to reply.Not the sort of treatment one expects at a so-called boutique hotel as they describe themselves	
Sep 21 2009 	Very nice - but noisy air conditioner on the next building at the side	Good value for money and included breakfast - great location !	
Sep 21 2009 	Comfortable 	My friend and I stayed here for 3 nights to celebrate a &quot;girlfriends birthday weekend in NYC&quot; and was pleasantly surprised that this hotel was so lovely. We had a &quot;double double&quot; room on a high floor facing the quiet back courtyard. The room was light &amp; airy, with very confortable beds, which had down conforters and luxurious linens. The bathroom was a little small, but quite adequate, very clean, with quality amenities. The location was a short 2-3 block walk to the airport bus at Grand Central, and a few blocks to shopping and the Empire State Building. The wine reception every afternoon at 5PM in the lobby, allowed the guests to meet each other in a nice friendly atmosphere. The staff couldn't have been more accommodating and friendly, giving directions and recommendations for restaurants, and events in the city. The breakfast buffet was great. We took advantage of the special that added $1 to the room rate for the continental breakfast, which was perfect. The coffee, juice, cereal, yogurt, selection of rolls &amp; bagels, hard-boiled eggs, and fresh fruit salad couldn't have been better. They also had available for an extra charge, hot breakfasts with eggs, meat, etc.I will definately be back!	
Sep 18 2009 	Best Service in NYC	We returned to New York for our wedding anniversary and were welcomed to 70 Park Avenue with a bottle of champagne from the management. Our room was spacious and clean and we had a view of the Empire State Building from our window. The bed was huge and really comfortable. Bathroom was also a good size for NYC and the L'Occitane toiletries are a really nice touch. Location is good and just a couple of minutes walk from Grand Central. Nothing was too much trouble for the staff in the hotel, we forgot our blackberry charger and within 5 minutes the concierge had located one and sent it up to the room. Would highly recommend.	
Sep 14 2009 	Swanky!	I only stayed at this hotel for one evening but was VERY pleasantly surprised by the experience. I have unpleasantly surprised at some hotels in New York City but this was certainly the exception to the rule. The room was one of the nicest I have ever stayed in. The room was spacious, the bed was very comfortable and very well decorated. There's a large TV and a pleasant room design. This hotel also has a bar (with food) that was a nice surprise. It's within easy walking distance to Grand Central and it's a snap to get a taxi, even in the early morning hours. This was also a great deal and the cheapest place I found on short notice. I've almost paid as much to stay that places that were FAR inferior. I would love to stay here again.	
Sep 11 2009 	Great boutique hotel in the heart of Midtown	I stayed at 70 Park Avenue Hotel for six nights while I was in town for the US Open. This was my first time staying at this hotel, as well as my first trip New York City. I had a fantastic time in the City and loved everything about this hotel. The location is ideal.......only four blocks from Grand Central and walking distance to several sights, shops, and restaurants. Every single employee of the staff were friendly beyond expectations. Sophia (front desk) always greeted me by my name and made me feel welcomed. Christopher (concierge) was also very friendly and helpful. The doormen and housekeeping were very friendly too.....always saying hello with a smile whenever I passed by them. The rooms are small, but standard size for New York. And I found the room to be rather quaint, relaxing, and quiet. This will definitely be my hotel of choice next time I visit New York City.	
Sep 8 2009 	Small space but recommended	I have stayed at this location on multiple occasions for work travel, and each experience has been positive. This is a nice location very close to Grand Central Station and within walking distance of many resturants. I personally love the wine 'happy' hour that is offered in the late afternoon. It is great to walk in from a long day at work or travel and be offered a glass of wine to relax and welcome you to the hotel. I have not eaten at the resturant, but I have had a few glasses of wine with friends, and the staff is always very nice and willing to meet your every need. I would highly recommed this hotel for work or leisure, especially if traveling without children.	
Sep 4 2009 	standard hotel / fantastic service	We stayed here for three nights at the start of our honeymoon.We arrived at 1am after a nightmare trip from the uk after our travel agent thomas cook did their best to ruin our honeymoon to find a fairly standard hotel in a good location for tourists with friendly staff. On the second morning we asked at reception if we had any messages as our transfer fron the airport had not arrived and we forced to pay for cab.The receptionist said that there had been no messages but that she would contact the shuttle company to find out what had happened The pre-paid vouchers we had been given by thomas cook did not have the actual shuttle company name on them so the receptionist Googled what was on the vouchers and rang the first three companies on the search when they could not help she then rang thomas cook in the uk to find out what was going on. After putting her on hold for several minutes they then told her it was our fault for not phoning the shuttle company when we arrived at JFK.Showing customer care that was so lacking at thomas cook she told them not to be so stupid as she was not able to find the firm to contact the shuttle company even with access to Google.She then demanded to know the name of the shuttle company so she could find out what went wrong. On completion of that call she rang the shuttle company and was told that they knew nothing about our trip.She told them that that was not good enough and that we needed a return transfer to JFK the next morning and that she was going to stay on the line until they sorted that out with thomas cook which she did and 10mins later we had the transfer that thomas cook should have sorted out. In all this lady spent almost hour and made five phone calls sorting out a problem that was nothing to do with her or her hotel because she understands the meaning of the words customer service in a way that thomas cook would not know where to start and thats why I will be going back to this hotel but will never spend another penny with thomas cook. HINT (looking after customers is cheaper than advertising for new ones) The other staff were also helpful they got us into a fantastic steak house that was packed with an hours notice and when we got back to our room we found a bottle of cava on ice chocs and a congratulations card from the staff . Just to complete the service next morning when the shuttle was ten min late picking us up the staff noticed this and without being asked rang to ask why their guests were being kept waiting. Service is what makes or breaks a trip and thats why I'll be gioing back to this hotel	
Aug 25 2009 	Good location but thats it DISAPPOINTING	My wife and i chose this hotel because we have had great experiences in the past with Kimpton Hotels (DC &amp; Vancouver). The location was conveniently located close to Grand Central but other than that, theres not much else in the area. The bad: my wife and i went to breakfast at the Silverleaf Tavern and the hostess was too busy to acknowledge us, so we sat ourselves. When she finally came over to greet us, she asked us if we had the &quot;discount vouchers for breakfast&quot;. I assumed it something to do with being an &quot;IN TOUCH&quot; member with that plus I also received an envelope on arrival. So i inquired if i was suppose to receive that from the front desk during check in, she said &quot;yes&quot; and directed me to the front desk. when i inquired about it @ the front desk, the girl was rude and unattentive. instead of explaining to me that the breakfast voucher option was a prepaid choice during booking, she rudely denied me a voucher with no explanation. we were hungry so it stayed for breakfast anyways. service was terrible and the &quot;buffet&quot; was limited with very few options. the server never came to refresh my coffee or offer us a refill on OJ. To my surprise the bill was $64+ a 18% gratuity was added. RIDICULOUS!!!!!!! The rooms were small and lacked lighting. I've stayed in dozens of hotels in Manhattan and i expect the rooms to be smaller but when you chose Kimpton Hotels, you expect a certain standard. This hotel does not meet the expectations of Kimpton name. Wine reception: was served a dirty glass twice. one had lipstick on it still.Checkout was slow and unorganized and door attendants were unhelpful with our bags.I doubt i'll return.	
Aug 25 2009 	Five star service!	I just came back from a 4 night stay at the 70 Park avenue hotel. I always have the best time when I am in New York and my hotel stays are very important to me. I love staying in hotels! This was my first time at this particular one. I will list the pros and the cons about this establishment.PROS:*The service: This hotel gets a 5 star for the service it offers its clients. The employees go out of their way to make your stay enjoyable. Everyone is professional and courteous. The concierge even called me to ask me if she could do something for me. They have a wine reception from 5 to 6 in the lobby where they offer you a complimentary glass of wine. This is a nice way to meet other guests. *The location: You are next door to Grand Central terminal, subways, buses. It is very central.*Peacefulness: It is a hotel that caters to an older clientele so you don't hear yelling in the hallways at 3 AM from partygoers. I enjoyed that because I go to bed early so I can enjoy a full day in the city. I did not hear a single thing from the other rooms even though they were occupied. I appreciated that very much.*Kimpton loyalty program: You get some perks if you enroll in their loyalty program. You get free wifi in your room.....15$ from the minibar....free nights after eligible stays...CONS:*The rooms: This hotel has definitely seen better days. It was designed many years ago and it shows. It is very traditional. I was assigned a room that is a queen room but I know what a queen bed is and this was not one! It was a double bed. I thought the room would have been bigger. SInce I was alone, it was more than fine but a couple would find it a bit too snuggly. You have an armoire for your clothes but no drawers for your underwear and such. You have to put them at the bottom of the armoire. Paint was peeling off the bathroom ceiling, there is no fan in it and the door could use a coat of paint. These are all minor things that can irritate the hell out of you if you paid 300$. Since I got an excellent rate, 159$ per night even though the hotel was full, I did not complain. That said, I would go back because of the service and the location. Like I said, this hotel gives a 5 star service and I commend them for that. I stayed at other hotels more luxurious than this one but where I would not go back because I thought the service was next to non-existent. Paint you can put on but great service is hard to find.	
Aug 20 2009 	Incredible stay at 70 Park Ave!	Wonderful Boutique hotel in NYC!This review is LONG overdue. We stayed here for a whirlwind weekend visit in February 2008, in celebration of my boyfriend's birthday. (And to see Eddie Izzard at the Union Sq Theater!). It was my boyfriend's first trip to NYC, and it was very memorable.We had a beautiful corner room on the 17th floor, with views of both the Empire State Building and Park Ave. The concierge, Jennifer, was amazing. She helped to make our stay completely unforgettable. She really went the extra mile to make our trip special. I can't thank her enough!We had an issue with the plumbing in the bathroom upon our arrival, and maintenance arrived within 15 mins from when we alerted the front desk to the problem. Prompt service!The bed was comfortable... and the slippers, and robes were a lovely touch. All in all, we were very pleased with our stay. We would love to stay there again during an upcoming trip to NYC, but have been unable to find any rooms in our price range for January 2010. I don't know if things have changed there since our visit in Feb. 2008, but unfortunately the prices certainly have.	
Aug 18 2009 	Very disappointing!	My husband &amp; I have stayed at Kimpton hotels in Washington DC, and loved them! That's why we decided to try this hotel for a spontaneous trip into NYC for a few days. The room was very old, very small and very dingy. The bathroom was so tiny that no human being could sit on the toilet in the conventional way. And we were shocked that we did not have the YES cable channel. We couldn't watch the end of the Yankee game when we returned to our room after dinner.	
Aug 17 2009 	Wow- not what I expected at all. Two thumbs WAY down.	My fiance and I have stayed at other Kimpton hotels (In NYC, we have stayed at the Muse and the service was impeccable), but 70 Park Ave is not up to par. Things that were a major inconvenience:1. The air conditioner in our room was not as cool as we anticipated. Apparently, it is on some sort of wireless system and it shuts off if there is no movement in the room. To be fair, someone did come to change the air filter, but it was still mediocre. 2. The concierge gave us instructions to catch a train that did not run on the weekends. We waited for 45 minutes in a sweltering subway station, missed plans with friends we were meeting, and remained off-track the entire day.3. There are no free ice cream bars. I know this seems petty, but if you are advertising it on 50 signs throughout the hotel, someone should run up the street to Duane Reed and get a pack to keep on hand, for integrity's sake.4. I asked for an extra sheet for our room (which was tiny, cramped and not at all like the photograph). I waited an hour and called back a second time requesting it..5. I asked for a fan. They sent up a rickety fan that did not work properly. I ended up buying a travel fan and using that..Overall, the location was the only good thing. I was really disappointed with the hotel. It felt like I was at a Red Roof Inn, not a Kimpton hotel. I will probably be spending my money at a Hilton from now on.Good Luck!	
Aug 10 2009 	This was our anniversary and sadly...the hotel put a damper on it....	I am loyal to Kimpton hotels, having had very positive experiences in other cities, so I expected the same when booking this hotel for an overnight stay to celebrate my anniversary. When we arrived at the hotel to check in, no one was there to greet us at the curb. We waited for a bit for someone to come out to take our car and no one came. Eventually we drove around, found a parking lot, parked our car, and walked to the hotel with our bags. When we got to the desk to check in, the first thing we were told was that we were going to have to be moved to another hotel because they had overbooked at this hotel. I was clearly upset at this, and then out of nowhere, we were told that someone just cancelled, and we were handed a key to a room. The room we got was tiny, which would have been fine, except the tv was broken. Given that we had planned this night to celebrate our anniversary, we were looking to at least relax and enjoy our day and night. I can certainly say that the hotel portion of our stay was the opposite of relaxing and enjoyable, and that was due to how the check in process was handled from the moment we walked in to the hotel. In addition, we received little help from doormen, etc. We hailed all of our own cabs, as no one offered to help us, and we witnessed doormen texting and paying little attention to guests.  The experience would not have been so bad if it hadn't started so badly. I think it terribly inappropriate to overbook your hotel and then try to ship people off somewhere else because you made a mistake. That is the opposite of good customer service. It makes the customer feel unwanted. I would not stay there again and I would not recommend the hotel to anyone else.	
Aug 9 2009 	if it wasnt for the free parking would try something else	our first night we checked into a room on the 2nd floor and all we could hear was a loud humming coming from outside the window but couldn't look out because they were covered with plastic privacy paper. It was the a/c unit for the hotel next door. We called the desk but they said they were completely booked and couldn't move us until tomm. Next day moved us to smaller room and there was a gap at the bottom of the door and it was very loud from the hall. we were lying in bed and could hear every conversation going on. It was clean, good location for subway use, took forever to get our car from valet. We have friends who recommended the hotel and stayed few weeks earlier and loved it and it was very quiet for them so may be hit or miss. the concierge was very good and friendly, front desk staff so so.	
Aug 3 2009 	A Great Place to Stay 	I stayed at 70 Park Ave. Hotel for 4 nights. The staff throughout the hotel were friendly, and responsive to my needs. They made my trip a very memorable one. My room was clean, well cared for and easy to access. The evening wine social was extremely nice and very good after a day of work and lots of walking. A great wat to unwind. I would highly recommend this hotel to anyone staying in NYC who wants a 4-5 star hotel with a rating of 4.0 or better out of 5 in survey responses. Thank you 70 Park Ave Hotel staff for such a great stay!	
Aug 2 2009 	Another Nice Stay	I stayed here a year ago and liked it very much. During my last two trips to New York, the rooms were not in my price range, but I was able to get a wonderful rate through an on-line promotion, and was very happy to be back again for four nights last week. Staff was very accommodating (special thanks to José at the front desk who extended my stay for two more nights at the same rate). The room, though not large, had everything I could ask for (except for a bit too much noise from a loud generator motor or something outside my window). The staff is friendly and professional with all the little things that so many hotels seem to overlook (concierge actually knows the area, wake-up calls were delivered on-time, wireless internet worked, I sent a file from my laptop in my room to the front desk and they printed it and delivered it to my room right away, etc...) Wireless internet is free if you join the Kimpton In-Touch program. In-Touch members also get a &quot;raid the mini-bar&quot; coupon. Nice extra touches in the room like posh robes and large umbrellas to use during your stay. The hotel feels very clean. The lobby is pleasant. I also appreciate Kimpton's eco-friendly policies and will choose a Kimpton hotel for that reason alone when it is affordable.	
Jul 28 2009 	A nice little midtown treasure	I go to NYC about once a month for brief business trips. I feel comfortable navigating the city so I don't really care where in Manhattan I stay in terms of location but want to get the best price on a 4 or 5 star hotel. I go for clean and safe which is not easy to find in NYC in anything below a 4 star rated hotel.I chose this hotel because I had a promotional code from Kimpton and the price was under $200 a night. This is a small little place. If you are going for atmosphere in the lobby or a great street, this is not really the right thing. The room was clean and luxurious. The bed was comfortable. The room had a huge flat screen television. My room was on the 7th floor and faced Park Avenue and was actually quite noisy. Other than that, it was a great, clean, nice place to stay. The staff was very friendly. The location is great, a couple of blocks down the street from Grand Central. I would definitely stay there again.	
Jul 22 2009 	Excellent hotel - great stay!	We have just stayed at 70 park avenue and found the hotel to be in a fantastic location with lovely staff and lots of nice little touches. This was our first time in the US and this hotel certainly made us feel very welcome. The wine reception each evening was lovely and greatly appreciated after a day out and about in the busy city. The location is great for sightseeing with bus routes and subway stations just a few minutes walk away - we hardly used them though as the weather was nice so we walked almost everywhere. This is a great place to stay and we would visit again.	
Jul 20 2009 	Nice hotel with great staff	I have stayed in several Kimpton properties, and have enjoyed each one. This one is no exception. I took my daughter here to see some shows, and enjoy NYC for her birthday weekend. This is absolutely the smallest Kimpton hotel room I have stayed in, but for NYC, it was a well-above average room. And we were upgraded to a king sized room. But for the price we paid (in Manhattan!), the value absolutely cannot be beat.The staff is commendable, especially their &quot;do-everything&quot; doorman Santiago. We were very impressed with his service -- actually saw him run down to the end of the block to help a family getting out of a cab and carry their bags back to the hotel. He helped us with restaurant recommendations and directions several times. The reservation had our room rate wrong, and it was promptly fixed by the front desk without the slightest fuss. Since they had the room ready, we were allowed to check in before check-in time, again, no fuss there.The location is great if you want to be a 15 minute walk from the bustling Times Square, but don't want the crowds and hectic nature of that place. It's also only 4 blocks from Grand Central, and less than 10 minute walk from Empire State Building (which we could clearly see out of our room window, an added bonus). Quick bites in the morning (delis for bagels, McDonald's, etc.) are all within 2 blocks.Nice things:1) SOOOO comfortable bed2) Nice flat panel TV3) Wine reception4) Computers at concierge table for guest use.5) Prompt and fast housekeeping (our room was fully serviced by lunchtime)There were a couple of disappointments, all minor1) Bathrooms tiny but quite stylish.2) Windows need better soundproofing3) Room service must get ice (even with ice buckets in rooms).4) Lack of much children's programming on TV (no Nick or Disney!!! Yikes). Might not matter for you depending on your situation. We weren't in the room much, so no big deal.5) Room service menu priced beyond all comprehension (that's OK, I never order it anyway)	
Jul 17 2009 	Great hotel - location service cleanliness	Five of us stayed at 70 Park Ave recently and were not disappointed with the hotel in anyway. Two of us shared one of the larger King rooms which have a lot more space than the smallest ones. So, if you plan to stay in the hotel for long periods of time, I recommend a larger room. The concierge was very helpful with lunch recommendations, the staff was very courteuous, and the bartender delivered some awesome cocktails.	
Jul 13 2009 	A great gem right down the street from Grand Central	Stayed here with friends on a weekend trip to NYC to catch a show and some nightlife. i've stayed in a lot of different hotels in the city and this is now my hotel of choice. Can't beat the location, the lobby is beautiful, the staff is very friendly (make sure to sign up for the Kimpton InTouch program if you are not already a member- you get free snacks and stuff.) The wine reception is very cool, the tv and other tech gadgetry is up to date and top notch, and the beauty products provided in the bathrooms are high quality. I love this place. It represents an EXCELLENT value. We are going back aug 1 for another broadway weekend excursion and I hope the trip will be just as lovely.	
Jul 13 2009 	A perfect Anniversary Weekend at 70 Park Ave.	My husband &amp; I decided on a trip to NYC w/o kids for our anniversary. After scouring many different hotel sites I had narrowed it down to 2 and 70 Park had a deal I couldn't refuse.Location: Central to midtown and an easy cab or subway ride to the east village/nolita &amp; the Lower east side. We found it to be an extremely safe and mellow area on the weekend. If you are coming into Grand Central it is 3 short blocks to stroll no cab necessary.Lobby:Small but nicely furnished &amp; very boutique-y. Bellman was very friendly and there were computers by the concierge that could be used. Iced lemon water, apples and the New York Times were available to guests.Wine Reception: What a pleasant event. Every evening a wine reception is held - and as it was summer we had delicious white sangria &amp; another cabernet sauvignon to choose from. A nice way to kick off the evening before heading out to dinner. (the bar also had a seriously good happy hour with $5.00 cocktails and discounted nibbles post-wine reception)Room: We had reserved a King Premier room and were graciously upgraded. We had a great view , the bathroom was GORGEOUS with a jacuzzi tub and a separate tiled shower stall. We had absolutely no issues with street noise and we were facing Park Ave. The bed was as good if not better than the Westin Heavenly Bed or the beds at the W. Tons of pillows which I love. Bath amenities were plentiful and there were many nice touches like evening turn-down, pillow chocolates and very plush robes. Rooms were not small but on par with typical NYC hotels. Huge HD TV too.Staff: Everyone we encountered was very helpful &amp; friendly and many wished us a happy anniversary. Summary: We loved it and will return - the location is perfect for us and we enjoyed the more personal yet upscale feel of this Klimpton property. Note: Halls and public areas are very well lit and if I was a solo female business traveler I would feel safe here.	
Jul 1 2009 	70 Park Ave Hotel- Beautiful Hotel Incredible Service	I always stay at 70 Park Ave Hotel when I travel to NY on business (or for any reason). The hotel is immaculate, the location is fantastic, the service is impeccable and the staff will take care of your every need. I always feel comfortable and- most importantly- at home when I come here. The hotel cares about every guest and every detail. A refreshing change from Hyatt, Marriott, Westin and other chains.	
Jun 26 2009 	Great location but unfriendly staff and poor plumbing.	$60 per night for parking with NO in/out privilege. About $300 per night for our room, which was about as good as I could find in Manhattan, that seemed like a nice place. The lobby had stained carpet and the apples in the bowl had rotten spots...not too attractive when you first walk in. Although it is an old building, the room furnishings were nice. Nice linens. However, the plumbing needs updated. Drain in tub didn't work, and it took forever for them to send someone up to fix it, but he didn't have the part, so he substituted something else. Very low water pressure. They never did anything about it.Staff, including manager, was not friendly at all. Since the plumbing never got fixed the entire 3 days we were there, they reluctanly took off one day of parking, after I almost begged. They tried to charge us for an extra day of parking, anyway, so the manager was convinced he'd given us 2 free days. We tried explaining that we weren't there 3 full days, yet he wanted to charge us for 4 days.Great location. You can see the front of Grand Central Station when you walk out of the hotel and look left.	
