	Clean and friendly	I arrived in New York by train and the hotel is located only a couple blocks from Penn Station, so the location was convenient. The price was reasonable for staying in the city. The room was clean (always my top priority).The front desk staff was very friendly. Breakfast was included with the room and included a buffet with cereal, fruit, bread, pastries, coffee, eggs, etc. It was busy during the breakfast rush, but I had no problem finding a table. The wireless was free and worked great in my room.My only complaint is the noise level in the room. I could hear everything in the hallway. My neighbor was in and out of her room all night and I could hear the door open and slam shut every time.	
Aug 13 2009 	Don't leave anything valuable in your room!	I thought I was being smart by hiding my jewellery in a small jar with my makeup bag, but even then it went missing! (When I think of how much snooping was no doubt done thrugh my stuff it makes me nausous!) I didn't file a report with the New York poice while there, big mistake. And the hotel has not responded to my phone calls and email. Without these reports I can't claim the $500. loss with my insurance company, There are no safes in the rooms, so I would strongly recommend that you leave your good jewellery at home!	
Aug 6 2009 	Perfect Hotel!!!!	We couldnt have picked a better hotel! It was close to everything. The front desk was helpful also. The rooms were awesome clean the beds were very comfortable! Timesuware is in walking distance the Empire State buikding is 2 blocks away. The boarding area for the double decker bus's is only 5 blocks away, the hotel also has free internet in the Lobby with 3 computers and a great breakfast its also 1 block away from a GREAT chinese restraunt called Home on 8th you must go there!!! Stay at this hotel you wont be disappointed!!!!!!	
Aug 4 2009 	Couldn't have asked for more!	This hotel was perfect for what I was after. The location is superb, within walking distance to everything. The staff are friendly and courteous and the cleanliness is exceptional. Nice big comfortable bed and a great shower (my 2 key criteria to a good hotel room!). The breakfast is great - make sure you get there early though to avoid the stampede! The free internet is a huge plus and the gym is really well equipped with nice new cardio equipment! I shopped around so much before I booked my accommodation and I'm so glad I settled with this one. You can't beat the value for money for this hotel in New York City	
Aug 3 2009 	Great location hotel amenities fine.	I stayed here with my girlfriend and another couple for a long weekend trip to NYC. We weren't planning on hanging around the room very much, so the fact that the room itself is quite small wasn't a big deal for us. The 4 of us managed to fit in comfortably, though we are close. No complaints about the the hotel save that the elevator is slow, everything worked out fine, there were two places to park next door, (the one not associated with the hotel gave a better rate, $25/day I believe), there was light breakfast available on the main floor (though there are many better options available nearby) and it's very centrally located in a good neighborhood. I would stay here again. Good for what we needed it for.	
Jul 31 2009 	New York City bargin	The first few days of our trip we stayed in Times Square which was fun but very busy and very expensive. We moved over to this place which is still walking distance to everything. It was a bargin. We got a rate of $139/night which includes free internet, hot breakfast. The rooms were bigger than our Times Square up market hotel, and the service was probably better. Rooms were clean, breakfast was good..... Would recommend it and I would definitely stay here again. Some reviews talked about it being noisy and yes, you can hear the doors shutting but again our one we paid a lot more for we could hear the people next to us VIVIDLY. I think it is just the small NYC hotel rooms. It is basic but for NYC this is a fine.	
Jul 29 2009 	Good for the Money	This was our 3rd trip to New York mainly to see the Yankees in the new stadium. This was the cheapest place we have stayed in NY and for the price this was an excellent choice. The furnishings were updated and the bathroom was nice. Good air conditioner (fan runs all the time which is nice to drown out sounds). Provided free breakfast but be prepared for crowds and limited seating. Very close proximity to a subway station and Penn Station. I felt very safe walking around outside as well. Very helpful concierage who helped us get a taxi when we checked out (didn't expect that type of service at this hotel). There were a few negatives listed below but overall this was an excellent place for the economical visit to NY (if there is such a thing). Negatives included:1. very small rooms and bathrooms (we knew this before we went but still surprises you at how they get 2 double beds in the room).2. Hall noises were loud. Our room was next to the stairwell door and everytime someone used that door we could hear the door slam in our room. Not so great when you're trying to rest or sleep.3. Never had our wash clothes replaced. Ended up using hand towels by the end of our 3 night stay. Requested wash clothes at the front desk and they said they would send some up but I never saw them.4. SLOW ELEVATORS AND SMALL ELEVATORS. Very annoying.5. Limited seating at the breakfast area and very crowded. You kind of have to battle for the food but it's better than spending $$ and finding breakfast in NY.In spite of the negatives, I would definitely go here again and I recommend the Pizza Suprema on 8th Ave next to Madison Square Garden for a good slice of NY pizza.	
Jul 29 2009 	No clue on how to operate a hotel	The hotel is new and clean. Beyond that you can expect nothing. They overbooked the hotel and had no room for our reservation upon arrival. They first gave us a room, somewhat dirty and without pillows, next to the only ice machine in the hotel. After further complints we got another room. This room was fine except that they forgot the towels and did clean the room for two out of four days. They then claimed our reservation was one day short and made us pay extra fees. We never had the lobby breakfast as it was always packed with tables occupied completely. In short, they built a good hotel but they have not a clue how to operate it.	
Jul 28 2009 	Outstanding Staff Clean and a Good Breakfast	We just stayed here this last week, very affordable hotel, very clean with very friendly staff. The staff was extremely helpful, we were travelling with a baby and they made us feel very welcome. The breakfast is also good, elevators take time in the morning but try to stay on a high floor so when they get to you they are empty. They have only one ice machine, no microwave or fridge in the room but they have a common on the main floor which can be used at anytime. This is probably the best holiday-inn I've ever stayed at and usually we never stay at these hotels but I was very pleasantly surprised by the friendliness of the staff and the cleanliness of the rooms. I would most definitely recommend it - it is close to all train station and close to shopping, and the rest.	
Jul 24 2009 	2 Tips use stairs 	Location-Great, Cleaning Staff-Great, but the breakfast is like something out of a pig farm! We stayed here for 3 days and it was really to get sleep, as we were sight seeing all day. The days we stayed, the lifts stopped at every floor up and down, and on checkout it took us 43 mins to get in a lift. we were used to using the stairs, but with all the luggage we couldnt. One of the lifts had a family group in it and they would not get out of the lift, they just kept going up and down for the whole time???? When we complained the counter staff said they were customers like anyone else and if they wanted to stay in the lift then the staff were not going to stop them. This was not taken well by the growing numbers waiting to check out. Overall the stay was fine, but the staff need to be a bit more sympathetic to the majority of their customers well being than to one family.	
Jul 21 2009 	Great value and good location	Located close to the city centre, Holiday Inn Express Madison Square Garden, offers a good location for a tourist visit to New York. The rooms are on the small side but clean and tidy with decent linen.Breakfast for Priority Club members can be served in room, but unfortunately only very basic items can be delivered (not even bread is included!). The breakfast though served in the busy area next to reception is more than satisfying for a budget hotel.No major complaints at all, well recommended!	
Jul 12 2009 	Can't beat the value of this hotel in NYC	My husband and I have traveled to NYC several times, and have stayed at a wide range of places, from the W, to the Novetel, Affinia and a tiny little scary place somewhere in Times Square. For the value, you can't beat the price and cleanliness of the Holiday Inn Express Madison Square Garden. It's just steps away from the subway - and in easy walking distance to Times Square/Broadway. I have not stayed in a room with a cleaner bathroom in NYC, period. The rooms are small, but again for less than $150 a night, in NYC, it's an incredible value (free high speed internet! - and 3 computers in the lobby for guests to use for free). Also - the morning breakfast (just wish the hours were longer) is unbeatable as far as selection - more than just cold cereal and bagels, the breakfast included mini omelets and hot sausage patties as well as cinnamon rolls. If you are trying to save money for other things like shopping and great restaurants in NYC (L'Artusi in the West Village!) then stay at this hotel! Oh - and they even let us keep our bags locked up for over 6 hours AFTER our check-out time!	
Jul 11 2009 	You get what you pay for!	My family wanted to stay in NYC after a cruise vacation. I searched for affordable/clean/reliable accommodations. This hotel served the purpose. However, you do get what you pay for. I've been in bathrooms larger than our room. It was almost comical trying to navigate luggage around the room. If you have very little luggage, go for it. We had four people, three suitcases and four carry-ons and utilized the top of the armoire and every other available space. Thank goodness we really just needed to sleep. On a positive note, the breakfast bar is very nice. In addition, they have a nice seating area in front of the hotel. It was nice to sit out there and enjoy the summer mornings and evenings. This hotel seems to be in a fairly nice/safe area. It is within walking distance to the Empire State Building and Madison Square Garden. If you do the Grayline Hop on - Hop off tours, you can hop off about 5 blocks from the hotel. Beware...ask if your room is in the back, facing the alley. I listened to the thump thump thump of a club to fall asleep. Thank goodness I am not a light sleeper. Sound proofing was not a priority when building this hotel and I hope I woke my neighbor with the slamming of my door.  Overall, if you are traveling on a budget, this will do.	
Jul 7 2009 	Perfect stay	I stayed there for the 4th July holiday and it was my second at this hotel. My brother and me had a lovely stay right from the beginning! We had a lovely and clean room on the 5th floor facing the front entrance. There was no problem sleeping at night, even with the little noise of the closing room doors. Breakfast was really good with a lot of choices! As it is complentary you cannot ask for more! The free wifi is perfect to check your Emails or even look for some directions! I am sure we are going to stay at this hotel the next time we'll go to NYC! For us there is no reason to stay at any other hotel in the city!	
Jul 3 2009 	Good Choice for those on a budget	I stayed in this hotel over Saint Patricks Day weekend. I got a great rate on Travelzoo. The Hotel is within an easy walk of Penn Central and is a good choice for those coming into the city by train. Their are two subways near the hotel and while it is not in one of the most stellar of neighborhoods, we felt safe walking back to our room at night. The hotel features your standard Holiday Inn express breakfast which was kept stocked. There was helpful staff who could book events for you. Rooms were tiny, but they were clean. The Hotel is in buisness area so their were few restaurants or other types of amentities close by, but plenty within a moderate walk or a subway stop away. Had a good stay in a great city and would stay again given a good deal.	
Jun 29 2009 	Two Sleepless Nights	We arrived on Saturday night and our room was on the back side of the hotel, apparently across from a club. The music boomed until about 5 in the morning. On Sunday night, there was no music. I was asleep and the front desk called at 11:30. He told me they were working on the cable. He said the TV, internet, and phones would not work until 6 a.m. He told me to leave the phone off the hook until 6:00 a.m.When I checked in, they gave me a number to call to have breakfast items delivered to the room (we are Priority Platinum members). Both days no one answered the number. I just received a message saying that the mailbox was full.The people at the front desk were nice and so was the maid who fixed our roll away bed. The room was small, but I expected that after reading others reviews. The hotel was clean and the breakfast was good, crowded by good. If they put you in a handcapped room be careful of the inside of the bathroom door. The door closes hard and fast. There is a low towel hook. The door slammed on me and the hook bruised my arm. As other people said, the doors slam a lot. The hotel is about a five minute walk to restaurants and shopping, like Macy's. It is close to Penn Station. If you are not used to taking subways, Penn station is not an easy station to start with as it has several lines.We had free wifi easy to set up.	
Jun 22 2009 	Very nice Hotel centrally located clean room great breakfast.	Stayed at the Hotel for three nights over the Father's Day weekend. Even though the property was very crowded, the staff did a great job of keeping the breakfast well stocked. This is a nice property. We will return to this hotel.	
Jun 18 2009 	Great location very nice staff	It was our first time in NYC, and we were very pleased. I spoke with the staff for advice many times, and they were extremely friendly and helpful. Especially compared with the hotel we had to change to for our last evening. Rooms are small, but I think that is typical. Breakfast was good, but again breakfast room was too small for number of people there, especially since it was raining and exterior tables were off limits. Subway was just around corner, and I guess the discount parking was convenient. AGain, they offered a discount, and we paid half of what we paid when we changed hotels. Would definitely stay again. Jeremie was particularly helpful	
Jun 17 2009 	very good location	I stayed here for one night on business. The location is excellent, just less than a 5 min walk from Penn station, yet very quiet. Rooms were good and clean, and I appreciated the free wifi and breakfast (not as elaborate as you have in luxury hotels, but very good).This hotel gives you an excellent location, good rooms, at a decent price.	
Jun 11 2009 	Hit and Miss	We had reserved a non-smoking 2 double bed room for 3 days, all pre-paid on my credit card weeks prior to our trip. Upon arrival at the hotel, we found out the only room available was a smoking room with king size bed. THey had overbooked. We slept 4 people on a king size bed that night! They did not even have any extra blankets to provide us, nor were they very apologetic about the situation. Upon speaking to the manager the next day, we were told that the room type is only a 'request' and is not guaranteed, and there was no compensation b/c the king size bed room is the same price as 2 double beds. All of it sounded pretty unreasonable to me, and I had already prepaid the whole amount, but we let it go so as not to ruin our vacation.The next day they switched us to a 2 double bed room. As we were getting ready for bed that night, there was a knock on the door. My mom went over to the peep hole and saw 3 men standing on the other side. She was about to open the door when to our surprise the door began to open. They had a key to the room! The door was opened halfway before the man saw my mom standing there, he said 'sorry' and hastly shut the door. We were pretty freaked out. We talked to the front desk and they were concerned as well, after calling around they found that some workers had been instructed to enter to 'clean the room' by mistake. What hotel does housekeeping at night? it was already past midnight at that time, we could have been sleeping and 3 strange men were coming into our room. I shudder at the thought.The key cards kept on malfunctioning and we had to get them reset at the front desk multiple times. Probably we put them too near our credit cards or what not, I heard that older key card systems are sensitive that way, but it was quite annoying. The other 2 hotels we stayed at during our trip did not have this problem.Pros about this hotel:1)cheap2)good location, convienent and good shops/food closeby, safe, close to subway3)breakfast included and tea and water available all day4) a couple parking garages right next door at a reasonable price (for NYC)5)Clean and updated rooms and bath. not very big but it is NYC.6)internet cafe and workout room in the basement was niceYou get what you pay for, take a chance if you will. This hotel is hit and miss.	
Jun 10 2009 	awesome hotel to stay at	my friend and i were going to nyc for spring break and didn't book our hotel until literally right before we left. it was more than we wanted to pay for a hotel, but we decided in the end that it was worth it. our room was very clean, there was a complimentary breakfast in the morning that was kindof crowded but had a nice selection. the employees were friendly, and they had hot tea and coffee in the lobby all hours of the day. it is also very conveniently located with tons of attractions and penn station nearby if you want to commute further. would definitely recommend this hotel to anyone traveling to nyc!	
Jun 3 2009 	Convenient Location	This hotel is conveniently located and only 2 blocks from the subway. We never felt unsafe walking back to the hotel from the subway because the area is vibrant. This is a newly built structure so everything is modern and clean. We got an excellent rate and we stayed for 4 nights. The first night was a disappointment because the room was near the stairway and all night the doors open &amp; shut which kept us awake. We asked to have the room changed the next morning and Indira(?) at the front desk was kind enough to arrange for us. We had no noise problem with the new room and we slept very well on a comfortable king bed. A decent hot and cold continental breakfast was included but at times the dinning area is crowded -maybe because of March Break? All in all a very pleasant stay.	
May 15 2009 	Good location for exploring New York	We found this a good value hotel and a great location for exploring New York. The rooms are small but when you are in a city like this you spend very little time in your room anyway. That said they are clean and the bed is comfortable. The only complaint we would have is breakfast. While there was a good selection to choose form the breakfast room was just to small for the amount of people there and it became a bit chaotic there.	
May 10 2009 	great value great location nice hotel	Nothing outstanding about the rooms, small but the location, value, breakfast, NYC....all made it a great choice.The staff are top notch, some of the best I have met.Location is everything here and you are right in mid town Manhattan, two blocks from the Garden. Great Breakfast too!!	
May 10 2009 	QUITE GOOD IN NYC	Excellent locationVery quiet room, nice beds,but as mentionned in previous posts,a bit too small for a family of 4..Good HousekeepingCool bathroom with tub, but very bad hairdryerNice and helpful staffGreat breakfast, but be down there before 8 AM, otherwise, you will have to stand in line and queue for a while until a table gets available...	
May 9 2009 	Great hotel for the money	We paid $110 USD a night for 9 nights and found the hotel to be great. It was about a 2/3 minute walk to 28th street subway which was 2 stops to time square. Hotel room was very small which is expected for New York. Very quiet street which was good as halfway between 7th and 8th avenue. Free breakfast was good but got very crowded best to head down early. Breakfast consisted of hot cinnamon rolls, bagels, muffins, coffee, juice, cereal, fruit, yoghurt. Small but good gym which had 2 x treadmills, 1 x bike and free weights. 3 x computers offering free internet.	
May 5 2009 	Greate hotel near everything in New York City	Good hotel near Madison Square Garden, Penn Station and all kind of places.Greate room, greate people that work in the hotel.It could be small for more than 4 people with lot of baggae.	
May 4 2009 	Not Usually a Fan of Holiday Inns Pleasantly Surprised	For the second time within the last several months, I have stayed at a Holiday Inn property, not generally my lodging of choice, and I have been pleasantly surprised and pleased with my stay. The staff was very courteous and equally accommodating. Our room was immaculately clean, and the entire hotel seemed to be clean and well-maintained. The room was a bit small with a view of another building, as we've often experienced in New York, but it was well equipped and comfortable. There was a nice whirlpool bath that opened up to the guest area, all of the plumbing fixtures worked properly (no leaks, no clogged drains), the towels were soft and absorbent, the mattress was very comfortable, and the ventilation system worked well. There was a recycling bin in the room, but I would have liked to have seen energy-saving lighting.There are some shortcomings to the property, but not enough to detract from my rating. Other reviewers have mentioned the noisy guest room doors, and this is true. If guests are not careful, the doors will slam loudly, echoing down the hall. Loud guests who engage in conversation in the hallway can also be disturbing, but this only occurred once during the night. The breakfast area is a bit too small for the size of the hotel, but I asked another couple if we could join them, and we enjoyed a pleasant breakfast conversation. The food selection at breakfast was okay, but could have been better. (For example, if the bananas are not ripe, don't put them out.)Probably the biggest shortcoming with the property is the fact that the validated parking garage is about half a mile away. (Really!) Depending upon the weather, a guest's ability to walk the distance, or other factors, this could be a problem. It certainly is not convenient. On the flip side, the validated parking reduced our fee from over $40.00 (for one night) to the hotel's $24.00 rate.I have pointed out the property's shortcomings and minor complaints, but let me once again emphasize that we were overall pleased with our stay, particularly the cleanliness of the property and the courtesy of the staff.	
Apr 27 2009 	Life in the fast lane	This hotel was chosen for two reasons...Broadway show and proximity.The hotel is .9 mile away and a great walk. Driving to New York is hell and getting to this hotel by car was an adventure in itself. The hotel is great in terms of its amenities but they really should have a contract next door. Not wanting to park and drive anymore, I ended up parking next door at which the guy told me $25 overnight. You can almost tell when a guy is lying just to make a living. To me, that was okay. I did end up paying $38 the next day but that $13 extra was worth not driving a street over and 5 blocks away on rush hour traffic, walking, and doing it again the next day.As for the hotel, eat breakfast early. The place was so full of people that I just ate outside where there are chairs and tables despite the cool weather. There are only 3 or 4 computers down the basement and needed the printer to print my boarding passes. The room was cramped with 2 adults 2 seniors and a child but was worth the $130 special which equates to $26/person. With the free breakfast, this hotel was a deal. Our walk at 12midnight felt safe and did not feel threatened in any way. A street performer actually sang &quot;bring your baby home&quot; on our way to the hotel.	
Apr 24 2009 	Friendly staff clean rooms and in a great location.	ProsStaff were friendly and helpful.Hotel was smart and clean inside.Room was a good size room and was clean and tidy. King size bed was very comfortable.Breakfast was busy but people were always moving on. Not a huge selection of food but there was something for everyone.Luggage claim was very handy if you have a late flight as check out is 12.Easy walking distance to attractions.ConsYou can hear the room doors bang if there's inconsiderate (or drunk!) people about so take earplugs if you are a light sleeper. Was there 5 nights but only one of these where we were awoken throughout the night by the doors. Think the hotel should advise guests to close the doors with a little more care but it would not put me off going back at all.	
Apr 21 2009 	Great place to stay great location but room doors make so much noise!	We stayed on 12th floor here for 3 nights last week, great complimentary breakfast (cinnamon buns to die for!) although very busy at times as it is quite a small area to sit but we took breakfast to our room instead. We were at the front of the building above street but with window closed at night didn't hear a thing! Amazing view of Empire State from window, wireless internet was brilliant. The only thing I have to say is that the room doors are very poorly designed, they make such a noise when closing them, even when trying to shut them quietly as to not disturb other guests. Most of the guests in our neighbouring rooms just let them slam which when you are fast asleep at 3am sounds like an explosion! Not the noise you want to hear! Other than that a great stay!	
Apr 20 2009 	If again in NY It is my only Choice!	I chose this hotel based on TripAdvisor reviews and I cannot say how happy I am from this decision. The location is great, The staff are great especially their supervisors called Gary and ????;So helpful and welcoming. The breakfast eas the best on its range. It has every thing you need for a good hotel , unbeleivably great location near major atractions and metro stations.The only weak point is that 2 lifts are not enough for a 12 storey building.	
Apr 19 2009 	Nice choice	Good location only a few blocks from Penn Station. Comfortable hotel with very helpful desk staff. Quiet, clean, nice room for NYC	
Apr 12 2009 	Surprise surprise - a NYC hotel that’s nearly value for money!	We recently enjoyed a 4 night stay and were very pleasantly surprised at the high standard of this hotel. Features such as complimentary breakfast (although best to eat before 8am to avoid the rush!) and internet were the icing on the cake!We had requested a quiet, high floor room and although we were initially allocated a low level room at check-in, our prompting soon had this altered. Our room was modern, comfortable and well-equipped. If only the door had offered better insulation from corridor noise it would have been perfect! Location wise, the hotel was great!We found its central positioning enabled a realistic walk to many attractions, although the subway or taxis were never far away! As far as eating goes, we enjoyed fantastic Japanese and Greek food in the immediate area. Next time we’re in NYC, we know where we’ll be staying!	
