	Excellent location everything else was so-so	We stayed there for 7 nights - in 2 different rooms. Both rooms were noisy in the morning and you can hear people talking loudly and slamming doors. The second room we had was just next to the rooms where they were renovating which may explain the noise - not sure about the first room. The staff were mostly ok except for this grumpy lady in her 30s who was awfully unhelpful. They provide lockers at $2 per usage if you need to leave your bags at the hotel after check-out. The first room we had was very small but the second was slightly bigger and newer. The selling point for this hotel is its location at 31st &amp; Broadway which is 2min walk from Macy's and 1min walk from the subway which is just 1 stop from Times Square. Me and my wife were there on Thanksgiving and we could catch the parade literally just around the corner. Yes, if you need a cab, get one off the street for one yourself, as the reception charges a ridiculous price. Room comes with free Wi-Fi internet access and LCD tv with HD channels.	
Oct 9 2009 	The easiest hotel I have ever stayed in.	I have been to many hotels and this was the easiest to get around. It is close to everywhere. The rooms where great and the service was fantastic.I loved how I could walk to Broadway and many restaurants.	
Oct 9 2009 	very good value	I really liked this hotel. The room was lovely, and the bathroom was huge for a NYC hotel room bathroom! Bigger than my bathroom at home. The bed was extremely comfortable and the hotel itself was very quiet, although there was a construction site nearby that started clanking away at 7am. I thought the free coffee and hot chocolate was a nice touch, although I never took advantage of it. There are washers and dryers in the back of the first floor for those on longer stays. They also have storage lockers for your luggage after you check out, which was a little strange, as most hotels will hold your luggage for free until you're ready to actually leave.The only real complaint I had was at check-in. There were two people at reception, the woman was helping someone, so I went to the man's window. Well, he was apparently VERY busy flipping idly through the reservations, because he totally ignored me. When the woman finished up checking in the other people, she chirped &quot;I can help you here!&quot; I'm glad she was there, who knows how long I would've stood there before that guy lowered himself to actually do his job. Other than that bad first impression, the hotel was very nice and a great value for the money.	
Oct 8 2009 	New York on a budget	I stayed in this hotel for a week and it was a great experience. The hotel is located near everything: Times Square, Penn Station, Broadway, May's. It is easy to go from there to anywhere! The room was small but it had everything I needed and it was clean; the bed was comfortable (I did not miss my bed!). The service was very good and the staff were nice and friendly.Also, since I booked with many months in advance I got a great price!	
Oct 8 2009	Theater Trip to New York CIty	We stayed at the Herald Square Hotel, and it was VERY nice. The people were helpful, the room was clean and adequate, and the decor was beautiful. It was not far from the Theater District, and it was very reasonably priced. We saw Billy Elliot and Phantom of the Opera and they were superb. We had seen Phantom before, but we never tire of it, and we had seats directly under the chandelier. Billy Elliot was one of the best shows I have ever seen. Our seats were in the &quot;peanut gallery&quot;, but we could see everything just fine. The way the sets were done was quite intriguing. We saw Trent Kowalik as Billy, and he was an amazing dancer and actor, and the boy who played Michael (David Bologna?) was very cute and funny. We ate at the Metro Cafe, which has a wide variety of food and is very reasonably priced. We also visited Madame Tussaud's Wax Museum. Although some of the figures were not very good likenesses, many of them were, and it was a lot of fun. We were intrigued by the chairs, tables and benches set up in the middle of Times Square. All in all we had a great time - it was just too short.	
Oct 3 2009 	Way overhyped; really not that great	We booked based on all the rave reviews on Trip Advisor and Yelp. Our room was nothing like the photos on the website. It wasn't one of the renovated rooms and was really tired. We didn't have a flat screen TV; we had an old fashioned bulky 14&quot; TV. The bathroom was tiny and the bathtub was like something out of a horror film; it was discoloured and deeply marked in several places and there was a rubber matt glued in the tub covering up god only knows what. The bathtub was long overdue for replacement; it was disgusting. There was an extremely strong bleach smell in the bathroom when we checked in; at least they cleaned it. The worst part was their rule about one pass key card per room. We were three friends (which we stated when we reserved back in August) and we were forced to share one pass card for the entire 6 days. The stafff refused to let us have another pass card for our room so it was extremely inconvenient and a big hassle. By the way, we are responsible adults in our late 30's and 40's not partying teenagers. The manager and manageress were very rude about this matter. We were very disappointed with the dinginess of our tired room based on the images presented on their website. Also the free coffee was only available between 7 am and 10 am and then from 3 pm to 7 pm. So if you wanted to grab a coffee between 10 am and 12 pm, you were out of luck. Also it was out of order a few times during the times it was supposed to be available. In summarizing, a good location but the room was not nice and was noisy even with the wooden shutters. Bed was comfortable. Our room phone didn't work properly either and a friend in a nearby hotel was unable to contact us during our stay as calls could not be transferred to our room. It was like being back in the 1940s. It was just OK; wouldn't stay again, didn't really have any of the charm the website conjures up.	
Sep 29 2009 	Perfect for travellers looking for great value for money.	I'm writing this very belatedly, because I am amazed this hotel isn't rated more highly. After being completely shocked at the high prices for accommodation in NYC, a friend recommended TripAdvisor to me and I then spent a lot of time researching hotels in NYC. Coming from Australia, we had a lot of travelling to do, and needed to be mindful of what we spent on hotel rooms along the way. What I was looking for was &quot;clean&quot;, &quot;comfortable&quot;, &quot;safe&quot; and hopefully with rooms not the size of shoe boxes.We arrived into NYC late at night, and as I had booked the hotel on line at a great price (at the time, 3 years ago, US$99 for the room) I kept wondering if the hotel might be too good to be true. It wasn't. We loved our room (2 double beds), a small but adequate bathroom - with heaps of fluffy towels provided - and plenty of room for our luggage. It was great standing at our window at night just watching New Yorkers going about their lives.Each morning, my husband would go to a convenience store around the corner to buy yogurt, then fruit from a vendor on the corner and then bring back coffee from the lobby area for our breakfast. We made use of the free ice, and used the internet and the laundry in the building. We loved the quaint posters on the walls, and enjoyed the building's history. It's position in NYC was very central, but just a little way away from Times Square, which suited us.And Penn Station was just a few, easily walkable, blocks away.For those people who don't wish to stay in 5 or 4 star hotels (or whose budget doesn't allow it) you can't go past this hotel. For all you backpackers and holiday makers, check out this hotel's website, you might get a bargain like we did in 2006.	
Sep 29 2009 	Good hotel...Good location	Hotel is absolutely fine..Room was spacious, clean and quiet, even for the first floor..Staff were helpful and courteous..Fairly easy to walk east and west and used subway for north/south trips..Just one thing to be aware of...Room advertised at $249 per night..After adding the FOUR different taxes, that became $289 per night	
Sep 26 2009 	Very good budget hotel	We stayed four nights at this hotel. Our renewed room was very nice: excellent and beautifull bathroom; very confortable queen beb; free wi-fi; safety box; hairdryer; work desk; cable tv; everything clean and working properly. The coffee machine and chocolates at the lobby were very usefull. The negative points are of minimal importance, if any: there is no room service, but we never use that anyway in any hotel, so no problem for us. No minibar, but an ice machine at lobby. Small reception, but we didn't go to NYC to stay at a hotel reception. No restaurant, but a plenty of restaurants nearby.Of note: we stayed one night at the more expensive Sheraton, and our room at the Herald Square was much better than at that hotel.If you want luxury (and paying for that) look for other hotels, but if you look for a simple and nice hotel just to have a good sleep at night after a day full of activities, this is a really very good one.	
Sep 24 2009 	awesome beds monica and ayleena ..stars	Fantastic location right next to Empire State Building,easy access to whole of manhattan,1st room was a lil dissapointing ,lil tired looking but the bed was amazing ,spent 4 days here then 6 with family and last two days back at hotell,2nd room was fantastic totally refurbished ,amazing bed again,wonderful decor ,lovely towells,the two staff i dealt with were wonderful ,Monica and Ayleena ,try to get these girls if you can ,friendly ,accomadating and professional.all in all I would use this hotel again but I would make sure I book the new room which was awesome,slight noise from air con and outside but nothing to moan about,no view to speak of but hey I was in NY...hoping to be back next june /july ,thanks Herald Square for a lovely visit ..kisses J ,xxxx	
Sep 23 2009 	Superb location really clean and nice!	I stayed at this hotel 4 nights in September with my partner. I chose the hotel based on reviews on TripAdvisor and I have to say that it was a great choice. The hotel is just off 5th Avenue, our room on 8th floor was clean and very cozy and all staff were helpful. We have booked about one month in advance and got excellent rate too. I really recommend!	
Sep 22 2009 	Comfortable basic great location!	I stayed at the Herald Square Hotel for 8 nights in September 2009. I was travelling alone and had a small room to myself with an en suite bathroom and a double bed. It is a basic hotel, but very comfortable and clean. My bed was very big and the bathroom was spotless. My view was terrible - an airshaft, but I was only there to sleep and shower so a view was not a priority to me. My room had a flatscreen TV with lots of channels including HBO. This was good for nights I was tired and wanted to stay in and also for checking the weather in the morning as my airshaft view gave me no clue! The staff were friendly, I had no problems with them. There was high speed internet available at $1 per 5 minutes which I used a couple of times without any problems. I was told by staff that there were hot drinks available in the lobby, but I never used this facility, but I often saw people sat in the seating area around the drinks machine. The location of the hotel was probably the best thing, right in the heart of midtown, a few blocks from the Empire State Building and Madison Square Gardens. Perfect if you need to pop back to drop off your shopping bags or get changed for dinner without wasting too much time. Also very near to a few subway stops, which I used often. If I had any complaints it would be that there seemed to be some building work going on in some rooms near me and a few mornings I heard loud banging and various other noises. This wasn't a major problem for me as I got up early most days, but some would find it irritating. Maybe check your room is not near any building if you feel this would bother you. Overall, I enjoyed my stay, it was expensive to me, worked out about £100 per night including tax, but I think for New York and for what you are getting (eg. comfy, clean, great location) that is a bargain!	
Sep 17 2009 	Central location simple rooms	We just returned from our NYC vacation. The Herald Square was a very practical and affordable option and well worth the money. It was a great location to the subway and Herald Square as well as a walkable distance to Times Square and the Theater District. The front desk staff was very friendly at check in and helpful. We had a queen room that was not one of the remodeled ones and it was clean and tastefully decorated. Our room was one the 4th floor and in the back so it was quiet. The room itself was not large but that was okay as we were not in New York for a leisurely hotel stay, but to explore this great city and simply have a nice place to sleep. The bed was very comfortable. The bathroom was small to say the least but it was clean. The shower also had good pressure which can sometimes be a trouble in older hotels.The only negative I would say is that we slept in one day and didn't want maid service and left a do not disturb card on the door. We came back after a long day of touring to find our room cleaned. It wasn't bad that it was cleaned but we had flown in late the night before and our stuff was everywhere so we just wanted to settle a bit before a cleaning. Plus, we don't like to waste water and energy by having our room cleaned everyday. I was slightly perturbed that the staff disregarded the do no disturb sign and cleaned anyway.Also, we enjoyed the complimentary coffee, tea, and chocolates in the lobby. Free Wi-fi as well which we used and really appreciated.	
Sep 11 2009 	Good price. No frills not even shampoo.	The lobby is scary - I felt like I had stepped into a hotel in Eastern Europe during the Cold War. The hotel staff sits frighteningly behind glass, like at a cheap motel. The front desk staff was efficient, if a bit cold. They did answer any questions I had, but definitely, they work under the &quot;no frills&quot; policy also. The elevator is slow, though it works fine.I was on the fifth floor. Hallways are maybe 4' wide, but didn't mind - that's part of the NY charm. The room, which the woman at the front desk described as an &quot;upgrade&quot; was as bare bones as bare bones come. I have no idea what other reviewers are talking about when they describe wonderful rooms or granite countertops. The main room had 2 full size beds - which were great - VERY comfortable. Otherwise, basic old green carpet, and an old laminate shelf ran along the other wall holding the TV. No alarm clock, no waste bin, no desk, no closet door, no mirror. Bathroom was basic - one sink. Generally clean except for a few odd hairs. Tub/shower was happily very clean. No shampoo, no conditioner, so make sure to bring your own. Since I only slept there and was out and about most of the time, it was just fine for me, but if you're looking for any luxury at all, or trying to impress somebody (family, honeymoon, romance), I would not recommend here. If you're young, on a budget, spending minimal time at hte hotel, then it's just fine.$2 lockers in the lobby let you store your bags on the day you check out if you're not immediately running to the airport. I used them on my last day - very convenient, though I'm accumosted to hotels holding your bags for free. Oh well. Maybe they can use my $2 and buy some shampoo and lessons in customer service for the staff.Oh, and no doorman or concierge, so have fun wandering out to 5th Ave to flag down your own taxi.	
Sep 11 2009 	Friendly Staff and Great Price	I stayed at this hotel in July with a couple of friends based on a recommendation that I received. From what my friend told me, I expected great service, free coffee and a nice room: my expectations were met. Definitely will be staying here again.	
Aug 24 2009 	great location staff very rude	in the heart of Manhattan (area Koreatown) in a walking distance and close to everything. It's good budget choice, but the service at the reception was terrible; staff was rude, unsmiling, not helpful and seemed to give off the impression that they were only there for the paycheck.I worked for years in the tourism and i cannot even imagine behaviouring that way!the room was small, but clean and functional, though it was a non renovated room; comfortable mattress, flat screen TV. it's very very noisy from the street, 24 hrs a day, even in the night )	
Aug 9 2009 	Pot Luck	Booked a New Queen room two months prior to stay. Arrived late evening and were sent to an old musty room with a bathroom in what can only be described as a cupboard at the side which stank. Went straight back down to reception but were told that it was the only room available and they would see what they could do in the morning. The following morning I went back down to reception. I was given the key to the only refurbished room available. A tiny room on the ground floor, at the back of the hotel with the view of a wall and a workers cradle. Reception told us that the room given to us on our first night was an &quot;up grade&quot; and that they DO NOT GUARANTEE THAT YOU WILL GET THE ROOM YOU HAVE BOOKED.The choice therefore was a large smelly room with a tiny smelly bathroom, or a tiny clean refurbished room where we were unable to have the shutters (both outside and inside) open as there were workmen right outside the window. We chose the latter.That said, the room was clean, the bed was comfortable. The bathroom was small but clean and bright; however, showers were a nightmare as the water temperature was totally random. There was no other way to wash your hair, so you had to grin and bear it.The location was good very near to restaurants and subway station.Previous reviewers thankfully found a different hotel to the one we experienced; however, it would seem to us that it is pot luck whether you get a nice room or not.	
Aug 8 2009 	Good option for family travel in NYC	The hotel is very nice and clean, and it is a very good option for budget travelers. This is very good, considering the reviews for other hotels in NYC, where people found rats, cockroaches, etc.You can have breakfast at the hotel, because there is free coffee, hot chocolate, tea, etc. at the lobby in the morning and in the afternoon.The location is good, with subway one block away, and also very close to times square.There are plenty of places to eat for reasonable prices.The rooms are very good, big and clean. The bathroom was OK, but the only problem is that the shower did not work properly. It was impossible to mix the hot and cold water. We solved this by taking baths, which is relaxing, but takes longer time.	
Aug 3 2009 	Great	It was an great experience, excellent locations, staff is nice, I would stay again for sureAndreia-Rio Claro-Brazil	
Aug 3 2009 	great design clean hotel! Best value for money!	Perfect Located in the centre of Manhattan, near to subway stations and at a safe area. The rooms were very clean, the bathroom too, newly decorated, but with a little bit rude personel.	
Jul 28 2009 	Beautiful!	I stayed at the Herald Square Hotel with my boyfriend who had never been to New York before. The room was beautiful and romantic. The high ceilings and gorgeous marble bathroom were shocking to us, who, as budget travelers, were not accustomed to anything like that. Also, it was cool that the building had a lot of history to it! Korea Town was GREAT to have next door. We went out for a $30 meal and were given SO much delicious food. Amazing! I would definitely stay again, but make sure to ask for the New Rooms!	
Jul 28 2009 	Lovely hotel - bargain price great location	Recommended by a friend, this is a great hotel in a great location. Friendly reception, nice and spacious with free self serve coffee in lobby. room plenty big enough for family of 4 (2 Queen beds). Empire state building literally round the corner, short walk to Penn station for trains to NJ, and Times Square not far either. Slight problem with the loo on first night was sorted immediately. Very clean. Would definitely stay here again.Fantastic breakfast at the nearby Cosmic Cafe. Highly recommended!	
Jul 26 2009 	Best value in NYC	I can't really add anything more to the reviews already given on Trip Advisor - great location, very clean, polite staff, great value for money. This is a budget hotel so do not go there if you are expecting room service or a huge penthouse suite!A little tip for you - if you are arriving/departing from JFK don't waste your time and money on a taxi or a shuttle bus, particularly if you arrive during the rush hour otherwise you will get stuck in traffic. It is much less hassle to take the Air Train from the airport ($5) followed by the Long Island Rail Road (LIRR) to Penn Station (approx $4). Penn Station is only a couple of blocks walk from the hotel.It's also a good idea to check various websites for the best price before booking. Try the hotel's own website (easy to find via google), Expedia and Booking dot com.	
Jul 23 2009	Great location 	Herald Square Hotel located in the center of Manhattan has an excellent location, very close to a subway station. The bathroom was very clean and large, nicely decorated. The room was also nice. Good choice for both business and leisure travelers.	
Jul 23 2009 	Fab location great hotel	Just back from New York, hotel was very good.. Very clean and very central. Empire State building is just around the corner, Times Square about 10 minute walk.We had a queen room with a bathroom. Room was good size, bed very comfy, you need it after walking around NY all day. Our room was on the ground floor, it had a small window looking out onto the fire escape, but we were told that if we wanted we could be moved. It didn't bother us as we were in the room only to sleep. Hotel is perfect for a holiday in NY!	
Jul 18 2009 	WONDERFUL PLACE TO STAY	In June and July 2009 my daughter and I stayed at the Herald Squre Hotel. Both times were great, but the July stay, we arrived early and the front desk upgraded our room with no extra charge so we could go ahead and rest awhile. The room was so much nicer than the room we were to get and the service was excellent in a city where that is sometimes questionable. This hotel is n the middle of everything, so it is a great play to stay for such an affordable price. Thank you so much and on our next trip we will definately stay at the Hearld Square Hotel.	
Jul 11 2009 	A Fantastic Little Gem!	When I am in Paris, I stay in the 6eme arrondissement and surround myself in a neighborhood rich with Bohemian Parisian artistic culture that provides a quaint feel. When I travel to New York City, I look for the same quaint feel but I want the New York City vibe and culture. We all know how expensive the city that never sleeps can be and how much there is to see and do. So when I stay in this great metropolis, I want to be able to access New York City but on a respectable budget. And I always seem to find myself at the same location, The Herald Square Hotel. What a fantastic little gem! The accommodations are outstanding, the staff is welcoming, the location is superb (only a few blocks from Penn Station and the subway) and if I really get lazy and don't want to head too far but I feel like taking in some New York energy, there is a trendy and very New York type of restaurant-cafe next-door. On my next trip up to New York City, I will stay at the same location. I highly recommend it!	
Jul 8 2009 	Great option in expensive NY	I chose this hotel because of it's rave reviews on tripadvisor and i'm glad i did so. The hotel has a great location, the staff is nice, the rooms are really big, with great matress, and clean bathrooms. There's also complementary drinks and cookies on the looby. All in all, for the price you pay, it's a great option.	
Jun 28 2009 	Location classy and a great value!	We loved our stay in NYC as a result of this hotel. Location is excellent. We could walk to Broadway and to the Amtrak station (a few blocks away). It's a real neighborhood with juice bars, and hole-in-the-wall breakfast places, amazing pizza &amp; salad places. It rained hard while we were there, and we were directed to a street vendor who stands at a certain corner selling umbrellas whenever it rains! We got two for $9. I got a different look at NYC this time--a community in action sort of look.Staff is friendly and professional. Downstairs automatic coffee machine is amazingly versatile. Laundry room is v. efficient. There is one computer downstairs, but the place has wireless. There's an Indian place that serves lunch, a Dunken Donuts/Subway fast food place (yes, they are together!) as well as a high end chocolate and wine restaurant next door; there's also a whole neighborhood of fancy Korean restaurants around the corner. We saw lots of German tourists in our hotel this time. Made conversations fun.Did I mention the place is lovely in a tasteful and determinedly non-chain hotel kind of way? We got sick the second day there and just wanted to stay in our rooms and nest, which we did. It was v. comforting to have the drugstore, and an acupuncturist (at the Pacific College of Oriental Medicine on Broadway), and juice stand so close.We would stay there again anytime we're in NYC. No wonder this place won their city's award for best hotel value.	
Jun 25 2009 	Great Location... good value	We stayed here for 4 nights in March as part of a bigger US holiday.Great location, but the rooms (or ours at least) are a big small. The place is clean though and within walking distance of everything you need in New York.Definitely recommended for budget travellers.	
Jun 22 2009 	Fabulous	I love this hotel. I've stayed here at least 5 times. It's clean, neat and inexpensive and super well located. Also next door to a fabulous Wine and Chocolate Bar where they serve a 20 layer crepe with fresh whipped cream between each layer until midnight outside under the NY City Stars!!!	
Jun 19 2009 	very nice experiance	The Hotel was nice and the location was great for our first time in New York. The Staff was extremely helpful and wonderful to help with any Questions we had. the rooms were very clean and comfortable. I will stay here on our next trip to New York and would recommend you to stay here. The rates were very reasonable.Gary and Juliet Moore Tiffin, Iowa	
Jun 19 2009 	A gem of a budget hotel in midtown Manhattan!	Me and my girlfriend stayed for 5 nights at this great little hotel, which is situated in an area of Manhattan commonly referred to as Koreatown. Staying here you are within walking distance to most of midtown with it's many tourist attractions and shopping meccas, most notably Macy's and Empire State Building - if you're into that sort of thing - and the subway is just around the corner, opening up the rest of NYC for you to explore. There are also plenty of places to eat in the vicinity - ranging from cheap street vendors to fine dining - which is convenient as the hotel does not provide breakfast (or any other food for that matter). The room we stayed in (new large queen bedroom) was a nice size, with a lovely bathroom, a huge, comfortable bed almost requiring a step-ladder to get on top of, an intentionally doorless closet containing a large digital safe, an iron and an ironing board, a large desk with a mirror, and a somewhat noisy air-con device in a corner below the window. There was not much of a view out the window (a few dour looking brown brick buildings with windows displaying ill-kept and half-abandoned offices and storage spaces), but if you are anything like me and my girlfriend you would certainly not be in NYC to sit in your hotel room and look out the window. The room was cleaned well on a daily basis, and we always found a fresh supply of towels provided when we returned from our daily/nightly excursions. During our stay we were always met with a friendly and polite attitude from staff, and they were helpful on the few occasions when we needed their assistance. Checking in and out was a quick and easy process, and the rates are very reasonable considering the location of the hotel and the standard of the rooms (just over $920.00 for five nights). All in all, a great place to stay if you're planning to visit The Big Apple.	
Jun 16 2009 	Great Hotel - Great Location	We recently stayed here 3 nights and I have absolutely nothing negative to say about this hotel. The front desk was helpful, the room was clean and quiet, the price was great, it was located near the subway stops. Downstairs there were washers/dryers, soft drink machine and an ice machine. Off from the lobby were tables/chairs for the complimentary coffee/tea/hot chocolate.It was everything good you hope your hotel will be. An added bonus was that we were able to check in early, a welcome surprise we had not anticipated. We had fully expected to store our luggage in their lockers, which we did on the morning we checked out and stayed in the city the rest of the day and picked up our luggage late that afternoon. When you check in, pick up a brochure of the history of the hotel, it is very interesting. I hope to go back to NYC one day and the first thing I will do before I go is make my reservation at the Herald Square Hotel!	
