	value/location/clean	This hotel is for those looking for location,price,and cleanliness, not 5 star. This hotel was on central park west, 2 blocks from a subway, basic but clean, helpful staff, fuzzy tv reception, private bath, requested room with a balcony and overlooking central park, got both. Paid with tax $134 in nyc november. I saw hostels with shared bathrooms for that price.	
May 29 2009 	Nice hotel to stay	A friend and I stayed at this hotel in mid-May. The room was small but functional. We got clean sheets &amp; towels everyday. We did not have a view on the park but that was okey. Reading the reviews about the noise at night got me a bit worried but we did not have any problems. No noise whatsoever. Staff was friendly &amp; helpful. The room could use some new paint though.The nearest subway is on 103rd street, maybe a 3 minute walk. I'd stay there again.	
May 23 2009 	A little bit of peace in a big busy city	The hotel is situated right opposite Central Park. For a fabulous introduction to NYC we walked the length of the park and into the city. If the hotel had been closer we'd have missed half the park, it's so big. Within a 3 minute walk you can jump on the Subway for a 10 minute ride to Times Square, or practically right outside the hotel you can catch a bus and from there you can get anyway at all on Manhatten Island for $2 - and it really helps you get your bearings and see places. We got the bus everywhere and really enjoyed seeing the various parts of the city that'd we'd have missed from the subway. The hotel location is great. Just a short, easy ride into the city and all the major attractions yet sufficiently far away to be able to get a quiet night's sleep. A taxi home at night was very reasonably priced, but the night-bus was equally ok, just took slightly longer. Some reviews state the hotel and being in Harlem which conjures up some pretty negative feelings - don't worry! This hotel and surroundings felt very safe, there is a cafe a 2 min walk up the road which serves fab sandwiches, snacks and breakfasts and is a fantastic place to sit with real New-Yorkers and get a feel for the place - cheap internet access here too. The hotel reception desk, stairwell and lift seem a little small and tired, but the rooms are great. Small, yes. But big enough to unpack and leave your stuff considering that pretty much all you'll be doing there is sleep and wash. The bed was huge - I didn't even know my husband was sharing it with me! It was also very comfy and perfect for a good night's sleep after being on your feet all day. The bathroom was good - clean and everything in good working order with some lovely complimentary toilettries. In the basement you can get snacks, canned drinks and hot drinks from vending machines as well as internet access. We ordered pizza one night and Dominoes delivered right to the room - fantastic when you're exhausted!We stayed in the Astor on the Park for 7 nights, and both agree we would definitely stay there again. For 500 quid each including flights it was a bargain of a holiday and the hotel far exceeded our expectations - especially after we'd read some of the reviews!We were actually on our honeymoon, and whilst it wasn't chocolates on the pillow or rose-petal baths for two, it was a fabulous base from which to explore the city and we'd made a conscious decision to save our pennies for the sight-seeing. I would have no hesitation in recommending this hotel for the budget-conscious traveller.	
May 22 2009 	Probably the best value for money in Manhattan	For a hotel located in Manhattan, the Astor on the Park provides good value for the money. I stayed there for three nights with my girlfriend and we had no real problems. Our room was small but functional: I’d say the size is on par with what you’d expect with a basic European pension. The room, the bedding, and the bathroom were all spotlessly clean, and I was quite impressed with the selection of free toiletries they provided. My only complaint is that the soundproofing between the rooms is not quite up to par. There was a group of rather rambunctious college kids staying down the hall from us on the first night of our stay, and their obnoxious behaviour kept us up well into the night until we both resorted to earplugs. I’m happy to report that we didn’t have any problems in the noise department on our second and third nights -- even though I’m quite a light sleeper and often resort to earplugs at home. A great deal at $99 a night double occupancy -- I don’t think you can do better anywhere else in Manhattan!	
May 17 2009 	Spend a bit more 	I stayed at this hotel which at the time was listed as 3 star, I would say it is probably a 1 or 2 star. Although it was clean, that's pretty much all I could say for it. The noisy pipes kept me up ALL night, I seriously have not slept so badly in all my life and I live in Central London so I am used to noise, but repetitive banging that ranges in tempo and times is like being in a torture chamber. The room size is small but that didn't bother me, but it got really hot, there is an air conditioning unit, but it is very noisy and level with my side of the bed, as soon as you turned it off it was boiling hot again. The staff weren't particuarly friendly or un-friendly, they were mostly indifferent. When I complained about the noise, they said they couldn't do anything about it. I didn't feel too comfortable in this hotel and was glad that I was on the 7th floor, I can't say it was unsafe but it didn't seem that anyone would know who was a visitor in this hotel and who wasn't, as the reception is in the corner away from the entrance and the stairs and lift are directly in front. The lift was broke for about 3 days of our 7 day trip which meant going up and down the narrowest staircase you have ever seen. This was particuarly frustrating when we had our luggage as we had to wait for about 45 minutes just so we could get in the lift when there was nobody in it, luckily we gave ourselves enough time to get to the airport. It's a long walk from Times Square, but not unbearable, we pretty much travelled by the subway during the day and got a taxi back at night. In hindsight, it probably would have worked out the same price if we had booked a hotel closer to the centre, because we would have saved on taxi fares and we probably would have done more evening activities. There isn't much around in terms of restaurants and places to eat breakfast etc.. We had to wait to get into the centre. If you are expecting a 1 star hotel you will be pleasantly surprised, if you are expecting a 3 star you will be bitterly dissappointed. My advice is spend a little more and stay closer to the centre, you'll probably find it will be the same price overall.	
May 17 2009 	A balanced review	Having booked the hotel on the spur of the moment I was a little concerned by some of the critical reviews that I read. I am pleased to say that my concern was unnecessary and we thoroughly enjoyed the stay.Firstly the staff were very friendly,helpfuland professional even when faced with my dopey questions all of which were answered quickly. The decor of the hotel is far from plush which might concern those to whom this is important however personally I found it to be clean and tidy. Our room was adequate in size and comfortable certainly larger than I expected having read some reviews .There isn't much closet space however we were content to operate out of suitcases which worked very well.The bathroom was a decent size and well cleaned (as was room ) every day.We also had a good view of Central Park just over the road. The hotel has subway which is very good 2 blocks away however if you are the type that prefers walking out the hotel door into the main city/nightlife then this hotel is probably a little to far out for you .There are some shops, cafes (which deliver to hotel and decent menu in hotel room) however you have a decent walk or short taxi ride to livelier areas in the evening . I would recommend the walk in the park opposite however as it is very scenic	
May 13 2009 	what can i say	my husband booked this trip to new york as a surprise for me and i must admit after reading the reviews on the hotel i was not looking forward to it at all. However, on the day we arrived it was very hot, the arrogant taxi driver who had picked us up from the airport had dropped us two blocks away from the hotel and after lugging heavy cases i was very hot by the time we got there. We checked in and went to our room and i was pleasantly surprised. The air con was on and room was lovely and cool. The room was clean and beds clean and very comfortable, i have never slept so well...lol The bathroom was spotless as was the room, there was plenty of space too. We were on the fourth floor and had a lovely view of central park from our window. The tv reception was not brilliant but we were not there to watch tv. The staff were very pleasant and helpful at all times and the one problem we had was dealt with within 5 minutes. As for the lift its not that small i have stayed in 4star hotels with smaller lifts. All in all we had a fantastic time so please dont let bad reviews put you off. Theres two subways close by both within walking distance. The only complaint i have is i did not like going under the lincoln tunnel, all the fumes from the traffic was bad. We had a lovely driver at the end of our stay who on the way back to the airport took us over the bridge instead and avoided the tunnel. We had a brilliant week and would stay there again	
Apr 24 2009 	Good for the money	This hotel is very good for the money; it is a BUDGET hotel, but saying that the bathroom and free toiletries were very good!! now some tips for this hotel:1) you have two subways stations very close to you: 103rd and 110th street: both go on the B train! use them, the walk from central park to times square is quite long - very nice but long!2) for a shower pull the bath tap nossel (??) down when thewater is on and the shower works! thats how we got it to work :D3) In the lobby to the hotel there are stairs right beside the front door; down there are computers, vending machines and a phone card machine.I hope this helps, it is a good clean hotel, we did not have one problem and any issues with the heating are fixed especially in room 712. We did not have problem with noise; i am a light sleeper and I was only woken up once by funny noises coming from the pipes and managed to go back to sleep within 10 mins.Hope you enjoy this and dont worry about all the bad reviews, it is not quite as bad a hostel!	
Apr 23 2009 	Cheap and Cheerful	Just spent 3 nights at this hotel and it is very very basic, but cheap. My daughter and I had a room overlooking the park, but the windows were so dirty you couldn't see much. My friend and her daughter had a really crummy room with no natural sunlight. The beds were comfortable and the shower good. The complimentary toiletries smelt really good. The subway is very close and it takes approx 10 minutes to get into Times Square. The one redeeming feature is that the staff are really so very friendly and helpful.	
Apr 15 2009 	If you're looking for something cheap it's perfect	Myself and 3 friends stayed there for 4 nights at the end of Feb. We were aged between 23-25 and weren't fussy. We were only looking for somewhere to sleep and leave our bags. After reading the reviews I wasn't looking forward to it. When we got there we were pleasantly surprised. The room were tiny but clean and warm and the bathroom was nice.The bed was fairly small too but very comfortable. We asked on the second night for a smoking room and we came home to find they had moved everything for us - great. The lift was very slow &amp; I nearly gave myself a coronary climbing to the top floor. The radiators did bang very bad a night but we copped on after the first night and turned them off going to bed &amp; on in the morning which worked, the room was always warm.It was about a 10-15 min taxi ride from Times Square but we got the sub way which is only a 2 min walk away. It looks out over Central Park but unfortunately our room we changed to didn't have a view. We left the hotel every morning around 8 &amp; didn't come back til late so it suited us. If you want somewhere cheap it's perfect. Next time I will try to get closer to the Times Sq etc if I can afford it.I would not recommend to for someone who is going to spend all their time in the room, and i definitely wouldn't recommend it to someone snobby or fussy.	
Apr 6 2009 	This place should be shut down!	Do NOT stay here! Any positive review cannot be legitimate. I made the mistake of using an awful opaque site (Lastminutetravel) and thought I was getting a three star. Sure enough this place lived up to its 1-star class as listed here. So much was wrong I'm not sure where to start. The room was lime green with florescent lighting that made the place feel like a prison waiting room. Repairs had been done to the walls and ceiling, yet they had not repainted. There was NO HEAT! I asked about it and all they could offer was an extra blanket. From other reviews below, their lack of heating is a permanent situation. The cable TV was on the fritz. Only three channels came thru clearly. The bathroom had a nasty odor, probably from the mildew. There was an ironing board, but no iron. I requested one and they gave me a corroded iron that left a copper stain on the tissue I wiped against it. It would have ruined my shirt had I used it. The bed was extremely hard and uncomfortable. The tiny elevator must be powered by a hamster wheel as it takes forever to move from floor to floor. There's a view of the park... BUT the windows are so filthy you can barely tell. Oh, and you'll have to listen to the people in the bathroom next door when they do their bizness cuz the walls aren't sound-absorbing in the slightest.The Astor on the Park is the place to recommend to your enemies. Seriously, I cannot stress enough that this place is worse than setting up a tent in Central Park. And please be wary of using opaque sites when booking in NYC. (I just checked out of the place two hours ago and I'm so upset by my experience that I had to write this immediately to blow off some steam.)	
Feb 27 2009 	a cheap and basic hotel	the rooms are small but comfy enough because you are mostly outside. In the middle of the night we've heard some loude noise from the heating en it was very disturbing. The night after, we've shut our heating off so we could sleep, but we've asked for an portable heating in the room and we did get it. the staff is friendly and helpfull.i will recomend this hotel for people who are just sleeping in the hotel and are willing to live back to basics for a couple off days.	
Feb 19 2009 	Worst hotel I have ever stayed in	We stayed in this hotel in Dec 2008 although we booked for 7 nights we only stayed 1 The room was very small and the bathroom had a pipe running from floor to ceiling one of our party caught hold of this whilst climbing out of the bath and got a nasty burn, the bed linen and towels appeared to be clean but the carpet was very dusty when we complained to staff they laughed at us and said 'it is New York' the corridors and stairwells are grimey and very narrow and their is only one lift for staff and guests, the air conditioning could not be adjusted and the room was extremely hot, this hotel should be reclassified as a hostel and to anyone thinking of staying here I would say don't.	
Jan 25 2009 	Unpleasant Experience	This hotel has one elevator for all of their guests and one night while we were there the elevator broke down while we were in it. Also, they had no ice machine so basically we had make do without ice. There are no local places to eat other than a small cafe a few blokes down and an Exon station. Don't even think about cable because they only get a few select channels and wireless internet is not even possible. The hotel staff is not very helpful at all and we never got clean towels for the entire three days we were there. The maids left their cleaning supplies in the hall ways all weekend long and never moved them, there were times we had to walk around the cleaning supplies in order to get down the hall way. The one and only elevator they have you share with the staff so half of our trip we spent trying to get on the elevator with a cleaning cart or another guest's luggage. Many times we had to just offer to take the stairs simply because there was no way to get into the elevator. The one elevator they have is extremely small and we barely could fit four people in it. The hotel is located near Central Park, and it is a long ways from the actual main sight seeing attractions you probably would want to see. We took many cabs and subways to get where we wanted to go. They still use metal keys which hardly opened the doors without twisting and turning the key in all sorts of different directions to get into your room. Sometimes it took minutes to get into your room due to their keys. When we first checked in they had given us the wrong key to our room and we had to go back and fourth from upstairs to downstairs to get it straighten out. Whenever we asked the front desk a question, they never had a answer that helped and they seemed like they never wanted to help. They have one drink machine in the whole hotel and it is located in the basement and once again NO ICE MACHINE!!! In order to log onto the internet you had to go to the basement and use their internet service... which you ahve to pay for. The view from our window was basically a bunch of windows to other rooms and we bascially a had abad view of some naked guy that was reading a book. We misplaced our key on the last day due to the fact that it is a small key that they give you to your room and they charged us $50.00 for the misplaced key..... a key that they paid a few dollars to go and make a copy of after we left I am sure. All together this hotel is not the place that you would want to stay simply because they do not care about their guests having a pleasant stay	
Jan 25 2009 	Astor on the Park - the good and the bad	The hotel is up near 128th Street, quite a few stops up from say 51st where it all happens! That said ,it's an easy journey on the subway and the view from our window was a snowy park - beautiful! Our room was painted in lime green (so you didn't need a hangover in the morning - that's for sure!) and tiny for the two double beds they put in there (for the three of us - two adults and grown up son) which left no room even for a chest of drawers! Nothing in the bathroom next to the sink to put your stuff on but - hey - it was relatively cheap for a hotel within easy reach of downtown Manhattan. There was internet connection but that was definitely not cheap. Worst thing was that for two of the four days we stayed, the lift stopped working. We were on the 8th floor and the only way down was a narrow, marble stepped staircase with NO handrail - pretty treacherous when hauling down three heavy suitcases! However, all in all it served us ok - doorman was friendly and helpful. Certainly have stayed in much better hotels but for the price and location - not too bad providing you have a sense of humour (oh, and adventure!!)	
