	perfectly acceptable	We stayed here on our return from Canada and Boston, having spent a week at the Hotel 17 a few weeks before. This hotel has a more modern decor and was quite adequate. It was in a good location for us; we could walk down to the shows we wanted to see, but we missed the area around Union Square - we preferred the vibe there.Our room became stifliingly hot every night. We had a thermometer with us and it was 35 degrees celsius at 3am the first night. We tried to open a window, but the window fell out of its tracks and took a lot of effort to replace. We commented to the desk staff who said it was because the air conditioning was linked to outside temps. Every night it became unbearably hot and we were sweating - confusing given it was 5 degrees outside. Apart from that the service was friendly, and they kept our bags both before and after we checked out for a few hours. It was ok and if this is the area you are looking to stay in, you could do worse.	
Sep 1 2009 	Not quite as advertised....	Great location; within a few minutes walk of Central Park and Times Square. Also very near to the Subway, a Diner on corner and Irish Pub opposite !Room (Junior suite) was nice apart from a nasty looking stain on the bathroom floor. They were the &quot;good&quot; points. Now onto the not so good :(1) Hotel advertised as having 24 hour coffee. No such thing BUT I did find out on my last day that there's a vending machine on the lower floor for water and soft drinks etc. I assume its not free.2) I had 2 Tv's, neither of which could be watched as the picture was so bad. Asked several times about this and was told it was due to the weather! Eventually got looked into and problem found but not repaired during my stay.3) Internet access? I tried this and no luck. When complaining was asked if I had walked around the hotel trying to get a signal. Like I am going to do that. I eventually called the IT people who found out that there was no internet going to the hotel. Again, not fixed during my stay.For the price they need to get these things up and running properly and a coffee machine somewhere would be a great idea. (in room would be even better).any questions feel free to emailPS I loved NYC	
Aug 7 2009 	a honest room	We spent a week in the hotel.The room and the bathroon were clean. Larger than the mildford plaza room. Staff was ok. If you don´t want to spend time in the hotel and stay in a good located place this is the one. Don´t spect a view.	
Jul 23 2009 	Not what was promised	Booked was Standard Room, window looked into a wall - so far so okay.Cleanliness was poor - see foto.Safe was not fixed, a burglar can simply take it with him ... in fact there was no safe safe available, see foto.Promises were not fullfilled:Expedia after the visit: ... &quot;Extras: Der Kaffeeraum dieses Midtown Hotels ist originell eingerichtet .... Hier gibt es kostenlosen Kaffee rund um die Uhr,...&quot;http://www.nychotels.com/: from July 23, 2009:...&quot;... sip an espresso... our complimentary capucciono bar is a welcome oasis for every travelller. - THERE is NO such bar yet (staff said, it is closed for more than 6 months now!)A/C was loud. When stopped, there was a high noise level coming from the window caused by other A/Cs nearby.Summarized: a little disappointment.	
May 24 2009 	Good Basic Accomodations	We had a bunch of rooms booked for a group of guys for a night in the city. The room was clean and small. Flat screen TV with local channels. If you are looking for a fancy hotel with room service, etc..., this isn't it. Not really a room to &quot;hang out&quot; in but you are in New York, plenty to do elsewhere. bed was comfy. Nice pub (McGee's) right across the street. Adjacent to a parking garage. Walking distance to Times Square and a lot of other stuff. I was skeptical about this hotel after reading some of the reviews but it turned out nice.	
May 12 2009 	Great Hotel - Great Location	As a concerned traveller, was delighted to find that this hotel was better than the previous reviewers explained. We spent a week in NYC and as most people would be, spent most of the time out of the room. So all we were hoping for was a clean room.The room was very spacious and the pics on their website do it no justice, it is no frills hotel but we got a great deal of $120 per night + tax and were very happy with the standard, especially the air conditioning as it was unusually warm for April. Jessica on the front desk was able to organise tickets to a sporting event for us and had the tickets delivered to our room as she wasnt there. Great location only 5 blocks(5 mins walk) to both central park in one direction and times square in the other - TV afficionados note that the Late show with David Letterman is only one block away. The newstand on the corner of the block is great for phone cards etc, guy was very helpful...All in all, great value for money hotel and good service, even though the only drawback is the fact that some rooms face the alley, but thats good for sleeping as you get minimal traffic noise.	
May 10 2009 	First Class Hotel	Took short trip with my wife to New York City. May 7-9th 2009. I browsed on line and found the Moderne Hotel at a cost of $158 per night. We arrived at 130pm with check in listed at 300pm. The young lady at the front was very pleasant who welcomed us. When asking if was to early to check in, she checked and found she had rooms available to accompany are early arrival. I had paid earlier on line so check in was quite fast.To are pleasant surprised she said she could up grade us to a Jr. Suite because the hotel elevator was having a minor repair but would be up and running in 1/2 hour. We were early so it wasn't a problem. The porter took are luggage up to our room which was on the third flor using the stairs. We left for lunch and upon return the elevator was back on line.When we opened are room door we were again pleasantly surprised by the quite large living room area and tv room (flat screen ). The bedroom had a king bed with another tv (flat screen) in the room. The bedrom had two glass doors that divided the two rooms. The bathroom was bigger than the normal bathroom you usally get in New York City Hotels.Maid service was excellant.The Modern is one building off Broadway on 55th Street. Easy walking to Central Park or down to Time Square.I would recommend the Moderne to anybody and will now be my first choice when we return to New York which we do twice each summer.	
May 4 2009	Would Return	The staff was very nice. The room and bathroom were clean. The room was small but bigger than my last Paris hotel room. The price and location were great. I would return.	
Apr 26 2009 	Right price right location	We booked this hotel for a three night stay at the beginning of April, We were looking for a hotel in what we hoped would be a central location as this was our first visit to New York. The hotel was fine as we had also prebooked the hop on hop off tourist bus service for our time in NY, only a short walk to pick up / drop off stops and ideal for walking to broadway theatres, times square, St Pats etc.We booked 3 nights for the two of us and it was supposed to cost 430 pounds(310 dollars at the time of booking) when we got home we were only charged 210 pounds, 70 quid per night absolute bargain.The free breakfast was not provided and the coffee machine was broken for the duration of our stay.We asked the receptionist to arrange a private car service for when we were leaving, we were quoted 40 dollars ended up paying 55, probably the driver taking advantage of tourists rather than hotel mis quoting - lesson learned.Room was small as we had expected, very basic and view was a brick wall. There were building works in front of the building but never heard any noise or caused any inconvenience. Hotel is probably similar to a travelodge type of accomodation, 2 star, no fascilitiesWould I stay again ? yes but only if cheaper than other similar hotels	
Mar 27 2009 	Not reccomendet	All people working in that hotel was impolite and not helpfull. Internet connection was not free and wifi signal was crap. I had to bed so my room would be cleaned at 15:00. DONT WASTE YOUR MONEY.	
Mar 20 2009 	The worst hotel I've stayed in my whole entire life.	I freaked out reading the past review which wrote &quot;Do not stay here&quot;, after I had already booked this hotel. But it was right. It was far from what we saw on their hotel website. Here are what we saw; - receptionists were impolite, - room with broken window (taped to cover), showing good view of the neighboring bldgs' brick wall, - big construction in front, loud noise, - bathroom is the filthiest (MOULDS EVERYWHERE, showerheads are black with mould), - delonghi moveable heaters located in the room because the heater doesn't work, - doors are thin and you can see the light coming in from the corridor because the door is not well sized, - 8th floor where we stayed had a big construction taken place with a HUGE hole in the ceiling covered and taped, - no extra toilet papers were given unless we had to leave a msg to the roomkeeping every time, - big construction in front of the bldg causing great noise, etc...Most of the reviews had said that the location is good, and sure, it's good for the theater goers, but trust us, for what you pay for this hotel, there are something else around this area which will make your stay more enjoyable.	
Feb 17 2009 	Do not stay here	Upon arrival to the hotel, we were advised by the front desk clerk that some rooms had flooded and were uninhabitable. We were re-booked at their sister hotel The Bentley on the other side of the city, so far out of the way. No-one bothered to call us to let us know prior to arrival. The lobby was so dirty and shady that I was glad we were staying elsewhere even though it was a huge inconvenience. I can't even imagine how gross the rooms must be.	
Dec 29 2008 	Well located a solid choice for the Theatre District	This is the second time I have stayed at the Moderne and find it be a solid choice. Let's be clear though, this is a small 37 room no frills hotel. If you are a uptight, high maintenance traveller that needs the amenities of a bigger hotel, the Moderne may not be for you.First of all the hotel is very located on 55th and Broadway. We saw two shows during our stay and was able to walk to theatre within 10 minutes for both. There were innumerable dining options within the vicinity. The hotel presents well from the outside and has a relatively well appointed lobby and sitting area. The front desk was always helpful and well mannered during our visit.The rooms are well appointed and see that hotel upgraded to LCD TV's since my last visit. The room highlight is the bed, it's very comfortable with high threadcount sheets. The bathroom is small but adequate and had hot water with good shower water pressure. The minuses with the room are essentially no window (it faces a brick wall) this drove my significant other a bit crazy - no natural light. The other minus are the walls are somewhat thin. Doors slamming down the hallway and convos in other rooms can be faintly heard. I should add the hotel offers a nice coffee and tea service that is free on the 2nd floor. A computer with printer is available for a fee but was out of order during our visit.Rates can vary greatly with the Moderne. We paid $175/night for two nights from December 26-28. If you can get this hotel for $200 or less--this makes it one of the best values you can get in that part of town. If the price is right, I would not hesitate staying at the Moderne again.	
Dec 12 2008 	Thanksgiving Stay	This is a good hotel. If you want to go to the theatre or nearby sites, it's centrally located without all the hubbub of crowds. I booked this hotel because I wanted to be close to Macy's Thanksgiving Day parade route and this hotel is feet from Broadway. The overall hotel is small but quaint in NY terms. I found the room to be comfortable and clean. Actually, it was bigger and cleaner than an inn I recently stayed in Key West. The Moderne also offers free coffee and tea on the 2nd floor and if we wanted, we could have watched the parade from here as there are floor to ceiling windows to watch nearby NY go by. I found the staff helpful. There is a parking garage right next door , which is very convenient. You will also get a parking discount if you're staying at the hotel (must get your ticket validated by hotel). I would definitely stay here again.	
Nov 22 2008 	Wonderful minimalistic hotel--Perfect location	Less than one block off of Broadway. Close to shopping, Close to Times Square, Safe area. Friendly helpful front desk staff. Rooms very modern. Great paintings in the room. Bathrooms funky and neat showers. Beds low to the ground and I slept wonderfully. Rooms somewhat small but I was traveling by myself and I appreciated the simplicity of the rooms, minimal design, and absolutely the great location. No breakfast included. Cost to get to hotel from airport LGA was $16 and then to take a town car by myself back to the airport was $45 (the hotel staff arranged this). Perfect location. Great price. Safe area.	
Oct 26 2008	Loved the Moderne Hotel	++ : Very well located : near Time Square and subway station. Very convenient !Very good mattress, clean roomVery good japanese restaurant just nearby : 'EAST' !-- : relatively small room but ok for european standards, a bit noisy in the morning but also as many other hotels (Novotel in NY is also noisy according to friends)We did not want a room giving on the street, so view on a wall (50 cm from the window ..)A bit expensive (around 250$) but as many other hotels in the areaOverall, we appreciated	
Sep 20 2008 	Terrible hotel with poor management	I stayed in the Moderne in September 2008 and WOULD NOT RECOMMEND THIS HOTEL TO ANYONE. I booked and paid for a double bedroom at the Moderne online, and telephoned the hotel 2 days prior to my stay to ensure that they had received my booking. On arrival at the Moderne we were informed that THERE WERE NO ROOMS AVAILABLE. The receptionist stated that our booking had been transferred to the “Ameritania Hotel”. I was told that there was no manager to discuss the matter with and that nothing further could be done. I followed my instructions and checked into the “Ameritania Hotel”. Our room smelt of stale smoke, it was so small that we could not wheel our luggage in, and it was filthy.The next day I went back to the Moderne to complain and was told that the manager was not available to speak to me and the receptionist suggested that I call the hotel manager as he was unlikely to call me.I have felt compelled to write this review as I would not want anyone else to be cheated by the Moderne. There are plenty of alternatives in New York and I would not consider either the Moderne or the Ameritania Hotel to anyone even as a last resort.Nadia from London	
Sep 8 2008 	Great place	When you go to NY, who cares about the room? This place is clean, and the staff is friendly. I'm talking about every shift. They have no ice, and my buddy and I, who were here for the all star game, called them several times, and they delivered happily. The only bummer was that the elevator broke, but the building is only about 6 or 7 stories. I booked a king bed room on orbitz, and when I got there, the hotel staff also gladly moved us to a room with two doubles.We didn't spend much time here, except to sleep. The location is great. It's not a hotel for families, and it's not for a big romantic getaway to the big apple. But if you are hitting up the town for a weekend with a buddy, I'd reccomend this place. By the way, the pub across the street is great, stumbling distance to the hotel. I'd definitely stay here. It's worth the 150 bucks a night we paid. You can't usually sniff that price so close to Broadway and times square.	
Aug 31 2008 	fantastic	We have just returned from a weeks stay at the moderne hotel, a couple of times since booking {about 12 months ago} i was going to change the hotel because of the reviews, i am so glad i did not. The location is fantastic, the room was small, but very clean, if you are going to be spending a lot of time in your room then this hotel is not for you, saying that why would you anyway its new york, this hotel is a great base to sleep. We will stay there again, no thinking of changing hotel next time.	
Aug 17 2008 	Brilliant hotel	After spending countless hours each night after work trying to find a reasonable hotel within our budget (our first two nights in New York was the start of a 3-4 month trip around America) I finally found The Moderne.Not only were the descriptions of the location of the hotel impressive but so was the decor.I read the reviews and as the majority of them, especially the most recent ones, were good I decided to bite the bullet and book up.We got a good price for the two nights stay at The Moderne and when we arrived were definitely impressed with everything about the hotel. The room was a good size and decoration was just like the pictures - very trendy! The reception staff were very pleasant too.The hotel is just around the corner from Central Park, Times Square and Broadway and we walked about 15-20 mins to the Empire State Building. The location is perfect.We could not fault the hotel for location, friendliness, decoration, and cleanliness and would not only recommend to others but would also come back for a further stay.	
Aug 1 2008 	FANTASTIC!!	The Moderne truly is a wonderful hotel!! We just arrived home from a two-week stay in New York City, and this wonderful hotel was our base for the entire stay! Our room, though not large by any means, was comfortable and lovely! The staff was always helpful, efficient, AND warm and friendly! We felt completely at ease and at home there. Thank you, everyone! The location of the Moderne is nearly perfect, only minutes from Central Park in one direction, and Times Square in the other. Fifth Avenue is only threee block away. We walked everywhere! Before we booked our hotel, we read all the reviews, and noticed that The Moderne was not necessarily for older travelers, but we're in our late fifties, and it was perfect for us! If you are looking for a place that is that just-right blend of privacy, cleanlienss, security, and personality, this is the place for you! Thank you, Moderne! Our trip to New York City was certainly enhanced by you! We hope to see you again soon!	
Jun 18 2008 	Ideal for a City Break	You really pay for the location when you stay at The Moderne. It's bang in the centre of New York which means that everything is in reasonable walking distance. With that in mind I can honestly say the only taxi's we hopped in, were those that took us from and to the airport.Dont get me wrong, it's hardly 5* luxury, but who need's the that when on a city break, it suits as a place to lay your head overnight, and as such it ticks all boxes. Clean, comfortable and you never see the staff, they sneak in and clean when your out leaving your room tidy and welcoming.Should I return to New York on a city break - I wouldn't hesitate in booking up again with the Moderne, however, should that return to New York be a longer stay, then I would look for something with a little more of the comfort factor.ENJOY!!	
May 14 2008 	Killer location good value overall great!	Very small, clean, true boutique (34 rooms) in midtown. Location really cannot be better especially for the price. Very friendly staff, efficient service, very clean room and overall good experience.Room has all standard amenities (full-size ironing board, iron, blow dryer, safe, wood hangers, flat-screen tv, closet with door, CD alarm clock, good bathroom amenities, desk lamp, etc) and I had a large window which allowed for natural lighting.Old &quot;bones&quot; but I found that to add character...esp because paint, tile, carpet, etc. were all very clean and new feeling. I would stay here again without a second thought.My wifi signal was strong and great, which is KEY for me. One negative was not enough electrical outlets in the room - had to rotate out my cell charger and laptop...they might think about adding a larger power strip or adding new outlets to rooms. Most people need at least 2-3 for cell, camera, laptop, etc.Plan ahead for food and drinks because there is no restaurant or room service, but the location is so good there is much to choose from within walking distance. Probably too small for a family or a group, but for a single or couple leisure or business traveler, I would certainly recommend. Location, location, location.	
Mar 14 2008 	Mixed Moderne	I just stayed at this shabby but clean and comfortable hotel for three nights. Good location. The staff were professional, attentive and competent. I've stayed in far more expensive places with far less pleasant staff. That being said, some serious remodeling and upkeep work is needed. Peeling paint on the exterior was a tip-off to the hallway: it looks like the ceiling is being held together with brown paper and duct tape. A little scary. The room was about $200...pricey at this time of year, considering the condition.	
Jan 14 2008 	Fantastic Location	The Moderne hotel is a wonderful find. The location is brilliant, very central and right round the corner from Time Square. The room was very clean, huge bed which was nice too. The guestrooms have everything you need, not too big not too small and very reasonably priced too.The (free) coffee room on the 1st floor was made good use of everyday. Staff are also very friendly and helpful.One downfall is that there was alot of static in the rooms - nylon carpet i expect but friends say this is the case in even the most expensive NYC hotels so there is not alot you can do about that i guess.All in all a great place to stay in NYC, highly recommended for those on a budget.	
Jan 8 2008	Great location Big thumbs up.	A great little hotel in a great location. Only minutes from central park and on the door step of Times Square, Broadway and 5th Ave. Room size was adequate for our needs and I would say it is really suited for younger couples without children looking for a simple but classy room with all the necessary amenities. Service was fine, nothing to boast as we were based on a room only, but staff are polite and helpful. The chill out come internet cafe offered free coffee/tea which is always good and was well received during our visit.Overall I would recommend this hotel for its location and simple style that works well for shoppers and young couples. Older travellers or those with children should consider a larger hotel.Big thumbs up.	
Jan 6 2008	great location	we are three ladies in our fifties we went to nyc for our xmas shopping and could not have wish for a better location it was perfect walking distant from all the best shops, central park and times square are a few minutes walk. the room was very comfy plenty of room for three of us, we found all the staff very helpful and friendly, 24hr ,tea and coffee lounge was great , mcgees pub opposite hotel is also very friendly and you can get hot food there until 2am. we will be going back to nyc in october 2008 and will be booking at the morderne hotel again	
Jan 2 2008 	Do Not Consider	Although I read many reviews on Trip Advisor, I usually do not write reviews of hotels. However in this case, I feel compelled to warn you of what you are actually getting. My main warning is: You will be fooled by pictures you find of the hotel on the internet and the hotel website.Our first room was absolutely disgusting. The non-smoking room was unbearable. It smelled of cigarrette smoke and lysol spray. The AC/Heating unit was in bad shape with paint peeling off. The AC unit did not work...and I needed it. The hotel kept the rooms too hot, and you really can't control the temp with your room unit. I stayed in late December and I had to sleep with the window open, and all I could think about is how many cockroaches I must be letting in and out. We stayed one night in the room and we had to move rooms due to the smoke.Our second room was just as bad despite the room didn't smell like smoke. The Heat/AC unit did not work, and neither did a separate AC window unit. I'm not sure if it would have mattered because the black-out curtain in front of the window also wraps around the Heat/AC unit and window, so you are isolating your room from the temperature control. The units are very good noise makers. The walls in The Moderne are paper thin. You can hear people walking through the halls and the doors slam shut.Bathroom: In our first room, the toilet was up against the wall, and they had the tioliet paper dispenser on the wall too. I am not kidding when I say that you had to sit on the tiolet at an angle due to the configuration. In our second room, the tiolet was moved closer to the shower, so this was not a problem. I did not like the shower because of the glass wall design. It puts water all over the bathroom floor.If available, you can request a mini-frig to be brought to the room. This was quite hilarious. The mini-frig could not have been manufactured after the 1970's. It was old, disgusting, and should be embarassing to the hotel.The beds: My complaint about the beds is that they are designed to be really low to the ground. Just a matress, no box spring. I wouldn't say that the beds were uncomfortable.The Lobby: The lobby is not quaint. It is small. You cannot sit in it. You could not arrange for people to meet you in it. You can walk up to a 1 person desk to check-in, and then you can walk out of the lobby. That's it.Outside: The images of The Moderne from the outside that you might find on the internet are out-dated. The sign looked in bad condition (sut) and wasn't lit. You could barely see the entrance. Your likely expression when you walk up to it for the first time will be &quot;What the hell?!&quot;Location: Honestly, the location is really not that great. It is on the edge of where you want to be, but not close. It is a good 13 or so blocks to time square, yet it's too close to mess with the subway. You can definitely tell you are leaving the safety of numbers when you are walking to The Moderne at night.The Good: I liked McGee's irish bar across the street.Bottom Line: If you are a guy planning a trip for your special someone, don't go cheap and stay at The Moderne. Upgrade to some other hotel, unless you want to hear about it for forever and you like making excuses.	
Dec 11 2007	cant complain it is what it says!...recommended	As my title states The Moderne hotel is exactly as it describes on the website...if you couple that up with the reviews then it is accurate. We like our smaller boutique style hotels where you always get a little bit extra service. Plus points...lovely area for complimentary coffee and tea available 24/7 with internet usage and books....really nice touch. Location...unbeatable...for the price this is just simply a top notch location...easy walk to park, time square, restaurants etc...if you have never been to NY before then this is the place to stay on a budget. Downsides, yes rooms are small...ok tiny...who cares! your in NY and not a country house! I can see people have made comments about rats etc and i think they were unfortunate. It is a city hotel with a couple of floors...its possible...i mean a rat isnt going to get in the lift at the Waldorf and go up 20 floors so that is a safer bet maybe! I wanted a cheap hotel but not a compomise on location ...so we get just that! it was nice, tidy, excellent staff...all helpful and pleasant...the decor is as it looks on website...yes its a bit garish and cheap looking. Love dining out so recommendations for Restaurants ..the italian (basement level) a couple of doors down...food fabulous...Del Frisco Steak House 6th avenue..wonderful steak, vibrant atmosphere..a little pricey but the wine list is extraudinarily huge!!!!..also cant recall the name but in central park there is a restaurant on a small boating lake...be prepared to wait, food amazing and in summer..perfectI would recommend this place for cheap budget trip where your main priority is location!	
Dec 10 2007 	Not "Moderne" at all	I was staying at this hotel on business for the night. I checked in and looked around the lobby thinking that it was kind of quaint. Once I checked in with the concierge, I waited for a good 5 minutes for the 1 and only elevator to take me to my room on the 6th floor. My room was directly next to the elevator causing a noisy night. The room itself was quite large--bedroom, sitting room/office, and full bathroom. The decor definitely left something to the imagination. The TV and the furniture were old, the heat was not nearly as hot as I needed, and the one picture of Marilyn Monroe (repeated several times throughout the room) is just not considered art to me. It was a little awkward not having a shower curtain or a glass door that closed (it was a sheet of tall unmoveable glass) and there were no electrical outlets in the bathroom. The paint was chipping all over the room and it was just not worth the $400/night that my company paid. I have stayed in many &quot;quaint&quot; NYC boutique hotels and this is definitely not one I will visit again anytime soon. The location is just about the only thing that this hotel has going for it.	
Nov 19 2007 	Horrible Hotel from top to bottom	We visited the hotel in October liking the location and photos we saw in teNeues. Upon return I contacted the general manager via U.S. mail to express my concerns and then forwarded an e-mail to ascertain why there was no response giving indication that I would share my experience with future traveller if not responded to. Having not been contacted in over a month is a perfect indication on the poor service and care you can expect from a filthy and disgusting hotel. I am going to insert the letter here that was sent to the hotel.October 22, 2007Mr. George G. Dfouni, CEOAmsterdam Hospitality Group Hotel230 W. 54th St.New York, New York 10019Re: Moderne HotelDear Mr. DfouniWe just returned from an east coast trip and among other hotels, had an opportunity to stay two nights at your Moderne Hotel on October 15th and 16th. I am a Los Angeles architect and had seen the property published in “Cool Hotels, America”, by teNeues in 2004. The pictures were beautiful, giving us high hopes for a great experience.In our guestroom was a rating card for various categories ranging from Excellent to Poor. I feel compelled to share our opinions with you as some categories may not apply and a more graphic description may be more accurate. Please note that I am extremely busy and do not make a habit of writing letters of this topic.We were met in the modest lobby and taken to room 802 by the bellman. The path from the elevator through the dimly lit and dark corridor was depressing. The paint was peeling off the walls, light fixtures loosely attached and the ceiling contained tape to hold the brown butcher paper over apparently some sort of construction project. The public carpets areas were stained, and housekeeping materials and cleaning supplies were on full public display that should have been in a closet. (These were never moved during our stay). Our room was incredibly unsatisfying, in fact we felt like we were in a youth hostel. Here is the list of items worth noting:• The blinds were broken• The room incredibly dark and dimly lit• No TV reception, fuzzy at best with a remote control that did not work• The telephone had a constant yellow flashing “message” light, even though there was no message. It would not go away. Also the buttons were broken• The bathroom was so small and the toilet paper dispensor placed, that you had to sit sideways on the toilet• The bath towels were frayedI could continue and say with confidence that there was no attention to guest comfort whatsoever, no attention to detail, and no question by staff regarding the quality of accommodations to guests. It was an incredibly awful and dreadfully depressing experience.I would not write this letter except that I feel totally blown away and ripped off in that this experience cost me $612.00. I would appreciate some method of compensation on your end as your hotel certainly under exceeded even the most modest of expectations.Thank you in advance for your consideration.Sincerely,If you ever even think of visiting this hotel it should be out of complete desparation knowing that this place is a total dump.	
Oct 31 2007 	Gem in the city	We stayed in this hotel last winter and found it a gem in the city. There was always a fresh supply of coffee on offer in the breakfast room (open 24 hours a day) and the staff were very friendly and helpful. The room was very nicely decorated and classy with a contemporary feel to it. The black out curtains were put to good use for a nice lie in!We found this hotel ideally located for shopping trips in Manhattan-although a little pricey but would recommend it to anyone wanting to be out there in the big bad apple where the city never sleeps!	
