	Location Location Location	Great location great service the most comfortable bed ever. I stayed at the hotel for 2 nights in August and it is a great hotel. The staff are all very helpful and attentive. I dined in the restaurant for dinner and breakfast and could not fault it on either occasion. I would recommend this hotel to any of my family and friends.	
Sep 17 2009	Good not great	Hotel is centrally located yet removed enough to avoid the midtown crowds. Check in was a breeze and in less than 5 min we were up in our room. Rooms here are hit or miss and range from the very tiny to the enormous. Rooms are stylish and functional with nice amenities. The only blemish in the otherwise spotless room was a giant marker stain on one of the walls, unacceptable not only in a five star property but in any property whatsoever, but after so many hours of travel we decided to ignore this fact and not switch rooms. Service is excellent and you are always greeted with a smile. After our first night there I recieved an email from the manager cheching up on our stay, and five mins after checking out i recieved another email with a satisfaction survey... They try to keep up on all aspects of good service. The hotel itself was quite tranquil if you consider that the MTV VMAs, Fashion Week and the US Open had all but taken over every other inch of the city. Concierge service was good, but we only asked for directions to restaurants, not recommendations.Overall one of the best bets on CPS, cheaper than the Plaza, Ritz and MO, and waaay better that the Park Lane.	
Sep 17 2009 	Despite the wonderful location the hotel service could not have possibly been worse.	The location could not have been better, but the rest of the hotel performance could not have been worse. Construction woke us at 7am every morning. We were repeatedly left without towels in the bathroom and ended up drying off with wash cloths. The cleaning staff took our bedspread and blankets; we had to call to have them returned. Room service was an hour and a half late. One night, they came to turn down the bed at 9:30pm and repeatedly rang the door bell until we answered...awaking us from a sound asleep. They incorrectly charged us on internet and mini bar purchases. At the front desk, they were always polite and apologetic, but never really did anything to help the situation.	
Sep 12 2009 	Very nice hotel with a great location.	Location is excellent. Hotel is clean and nice. Staff was friendly and helpful. The only complaint I have is that for $400 a night, can't they give you free internet service? I mean, if you stay at a Holiday Inn in Indiana you can get free service, why not at an upscale, expensive New York city hotel. The only reason I complain so much is because we had intended on facebooking pics of our trip to our family and friends and wound up not because I wasn't going to pay the extra. Maybe it's nit-picking by me. It's not the $25 as much as it is the principle of it. It starts to feel like everyone in the city is nickle and diming you to death already and that's just something that irritated me.	
Sep 8 2009 	Fabulous!!!	What a lovely hotel and such a great location. The room was spotless and all the staff were lovely. The bed was so comfy. If you turn left out of hotel and left again around the corner and keep walking straight down you will come to Carneigies Deli - highly reccommended. Turn right and you will see FAO Swartz. Straight over the road of hotel there is stop for Greyline Tours. If you have time you should go on it ad tour the fabulous city.	
Sep 7 2009 	Wonderful Find on Central Park	My wife and I stayed at the Jumeirah Essex House for a night over Labor Day weekend. We were immediately impressed with the hotel and its location on Central Park South. The hotel was clean, the rooms were large (for NYC standards), and the hotel staff was overly friendly and professional. I'm not sure that we would pay the going rate for the room; we found the hotel through a discount broker, making the price paid worth the stay.	
Sep 7 2009 	WOW	We just returned from a 4 day visit to New York City- We had 8 people in our group. We visit New York City every Labor Day weekend and usually stay at the Waldorf Towers. This year we decided to try somewhere new- and we are sure glad we did! What a Hotel. the service was wonderful. The Rooms- I stayed in the Manahtten Suite- was fantastic- clean, neat, great size- terrific bed- beautiful views of the city and the park. many windows! The staff was so nice- always greeted us and welcomed us back to the hotel. The concierge was so helpful- the subway is right up the street- the park right accross the street. It was perfect! We found a new home! The spa was great- the staff there also very nice! The hotel and the entire experince was a perfect 10!	
Sep 7 2009 	NOT a 5 Star Hotel - Falls short on all fronts.	Our first room had the worst plumbing I have ever seen. When we turned on the shower there was almost no pressure as the water continued to leak from the tub faucet as well as both the hand and fixed shower heads. The shower head was loose so it shook when the water came out and the tub didn't drain so I was standing in ankle deep water after about three minutes while the shower just sort of leaked on me. We called to complain and were told there was no other room that we could be given until the next night. They sent up maintenance and he said that many of the bathrooms had the same problem but he hadn't seen it quite that bad in other rooms. He said it couldn't be fixed and that it would involve taking the whole shower and bath apart to even try to fix it. He spoke to the manager and they put us in another room, which had miraculously come available. There were other minordisappointments in the first room as well. The iPod connection cable was missing from the technology kit that they put in the rooms, the menu on the TV didn't respond to the remote - if you pressed the up button it would just start flying through the menu (not scrolling item by item) so you couldn't select the item you wanted.Our new room is not a whole lot better. The bathroom is like something out of a cheap motel. The tub is chipped (the tub in the first room was chipped too!) and the shower pressure is pretty poor. The shower curtain is not long enough to stay in the tub, so the floor gets soaked. There is a vent over the shower so when you shower you have ice cold air blowing on you. The toilet keeps running because the flush mechanism doesn't spring back up after it's pressed down. The knobs on the sink appear broken - they don't line up and as soon as you turn them on there is a forceful stream of water that hits the back of the very poorly designed sink so that it splashes out and all over the back of the vanity and mirror - and our toiletries which we put on the vanity. The way the sink is designed, you have to reach into the basin to push a spring-loaded stopper to fill and drain the sink, which means that you have to reach into a sink of hot, dirty water after shaving to drain the water out. The way the faucet is designed, the water runs down the back of the sink so when you brush your teeth you end up with spit-out tooth paste on the stopper that you then have to rinse away with a glass of water because the water doesn't flow over the middle of the sink. You also can't fill the iron because the sides of the sink are too high and the iron doesn't fit under the faucet.Also, the technology in the rooms doesn't work well at all. They lighting and &quot;moods&quot; are controlled by the touch screens on the phone. The screens don't really respond, so to dim the lights you have to keep tapping repeatedly on each icon until it finally responds to the command. We tried using the &quot;moods&quot; on the TV which is a cool idea - it dims the lights and gives you a choice of music to set the mood in the room accordingly. There is only 1 mood...classical...and it doesn't dim all the lights in the room. You can hook your ipod or computer up to the room to play music, but instead of putting speakers in the room they have the music playing through the TV - the sound quality is awful! There is also an alarm clock with an ipod doc that has better sound quality than the TV, but it kept shorting out and restarting my ipod, so we ended up just dimming the lights manually and putting a classical album on through the speakers of the computer. It's like they had great ideas for the hotel and ran out of money implementing them. The lights and moods through a touch panel is a great idea, but it's like they skimped on the server so it doesn't respond to the commands. The little touches are missing that you would expect from a hotel of this type. They have greeters at the elevators (for security, I know) but they don't have anyone opening the doors to the hotel - even when we checked in with our luggage or came back with big shopping bags, we had to open the doors from the street to the lobby ourselves. There is no turn down service, etc. Personally, I would prefer to stay in a hotel that has a functional bathroom and lights (at TV and alarm clock) that work without all the complicated unresponsive menus than to have automatic footlights under the night tables and a computerised &quot;do not disturb&quot; sign. I think they've put way too much emphasis on style (flashy technology and a grand lobby) and not a whole lot on functionality and substance. The beds are very comfortable and the room is clean, but you can say the same about most hotels in NYC that are much cheaper. Of course, the location is excellent, but I don't think I'd stay again. For the price we paid, which was well below the rack rate, it was fine, but I hate to think that there are people who saved up to stay here at full price on a dream NY holiday...if that were me I would be very disappointed and I probably would have tried to go elsewhere.	
Sep 2 2009 	love this place	I lived in NYC for 17 years and this is the only hotel I stay in. Location, location, location -- in addiction to comfort and class. Next time, I want to try the champagne tasting.	
Aug 26 2009	Perfect location for a wedding	We first went to New York two years ago for my 21st birthday and thought it was an amazing place, so when we were planning our wedding we decided that it would be the perfect place for us.We stayed at the Jumeirah Essex House on Central Park. The hotel was beautiful and the staff were very friendly and helpful. The room was lovely with a fantastic view right over the park.Our wedding was organised by Ultimate Weddings USA and the whole process was very easy and stress free. We were given a wedding co-ordinator who organised everything over the phone/email and made us feel quite ay ease. She did everything she could to accomodate our needs and requests. Initially I was quite nervous about not actually being there to organise it personally, but I now realise there was nothing to worry about!Our wedding was held at Central Park and the wedding reception at the Porterhouse restaurant. Our wedding co-ordinator was very nice and easy to talk to. The hair and make up lady they arranged did a wonderful job and the photographer took some lovely photos. The restaurant that was arranged was fantastic and the cake was exactly what I wanted.The thing that I loved most about the wedding location was the romantic feel to it. When we walked through the park the locals were very friendly and offering congratulations. After the ceremony when walking to our reception (only a couple of blocks from our hotel) it was a fantastic feeling to walk through the city in my wedding dress!I would recommend this kind of wedding if you want to do something stress free (except for organising the relatives!) and you don't like the idea of a beach wedding.	
Aug 24 2009 	Great location and comfy rooms	You can’t beat the location, it is right across form Central Park and the carriage rides are waiting for you right across the street. The rooms are very nice, fluffy beds and nice bathrooms. I thoroughly enjoyed my visit to this hotel; my husband booked it for our second wedding anniversary. However, I will probably not be back - unless there is some huge event in my life to celebrate that will justify me spending that kind of money on a hotel again.	
Aug 22 2009 	Nice location good price expensive food spotty service	We stayed at Essex House for 4 nights - Manhattan side of the hotel, so although next to the Central Park, no view of the park itself. Junior suite is spacious, bed comfortable, wireless internet non-existent (so if you're traveling on business, this one sucks).Concierge is spotty at best (ie sent us to a closed restaurant, seemed to be not interested in even offering to call them up and make a reservation or just check if they're open).Booked through AMEX, so we had two breakfasts included - which does not mean *really* two breakfasts - rather a $61 USD daily credit towards breakfast, which does not cover two buffet breakfasts @ $35 each, plus tax and tip. So, &quot;breakfast included&quot; does not mean quite included.Recommend to take a short walk South on 7th or 6th ave. (aka Avenue of the Americas) - plenty of small breakfast shops, where family of 4 can have breakfast for about $40-60 with no problem. Particularly pleasant is Lou's Cafe on the corner of 6th and 53rd - if you're into outdoor, cafe-style, but very urban style.All in all, not bad, but far from what I expected from Jumeirah... they still need to learn from Fairmont or St.Regis or Four Seasons or....	
Aug 19 2009 	Great Location and Service in NYC	I cannot say enough great things about this hotel. Prior to staying at the Essex House, I have stayed at the Sofitel, The Palace and The Empire. My stay at the Essex House was on par with or exceeded my stay at the Palace and blew the other hotels away. The people that work there are warm and helpful. They checked on us several times during our stay and all seemed genuinely happy to be there which is rare these days in the hospitality industry. We stayed in one of the suites, which was perfect for travel with 2 young children. The room had 1.5 bathrooms, a bedroom with a large flat screen TV and a separate living room with sofa bed, another television and desk. We were on the 37th floor and heard no outside noise. The location is great, directly accross from Central Park, convenient to Columbus Circle or 5th Avenue. This will definitely be my top hotel of choice when I return to NYC.	
Aug 15 2009 	One of the most affordable hotels on Central Park	A comfortable stay for our last evening in New York. The location is second to none-- directly across from Central Park. There are very few hotels that can claim this location, and this is certainly one of the more affordable among them.The rooms were larger than I expected, which was a lovely surprise. Nicely decorated and thoughtfully laid out, with lots of desk space for the business traveler. The lobby was very pretty, more so that I could see from the photos.Their restaurant was the real stand out. The South Gate restaurant was phenomenal. The food was imaginative. beautifully presented and delicious. The waiter was an absolute gem. I wish I had thought to ask his name, because he should really be commended. We had a gift certificate for our meal, so I expected that the service may not be at the level a paying client might have. Pleasingly, I was completely wrong. The service was very quick, efficient and personable (as you can see from my other reviews, personable service gets high marks with me). If only that same level of service had carried over to the hotel. The concierge was fine for the quick question we had, but the front desk/bell staff were less than helpful. A package was supposed to be left for me at the front desk. When I inquired after it, they had no idea what I was talking about. Instead of taking the initiative to try to help me track it down, they sent me to the concierge, who also didn't have it, who then sent me to the bell desk to ask. I would have been much more impressed had the first person simply said &quot;I don't have it, but let me help find it&quot; rather than saying &quot;Go ask over there. Now try over there&quot;.Also, at check out a lovely woman from the hotel helped us with our bags out to the car. Once out there, one of the bellmen came over and actually argued with her in front of us about who should be carrying the bags and whose job it was. I found that a little off-putting. Yes, it may be your job to carry the bags, but if you weren't there to help with them in the first place, be glad someone took the initiative and did it rather than fussing about it.All in all, I would certainly return to the Essex House. I loved the hotel, with the exception of that small niggle on service.	
Aug 14 2009 	Excellent stay best service in NYC	I have done a ton of business travel in New York over the years and have never found a hotel that really has set itself apart. Essex did it for me. I think I've stayed in dozens of hotels some with adequate services, others mediocre. With Essex, I loved the service they were unusual in their graciousness. Location on central park south was perfect. Rooms were very nice. Room service was really great. I have now found the place where I will always try to stay in the future. I have to include one small nit--my colleague was traveling with me and they gave him a room that unfortunately was exposed to construction noise starting at really early hour in the morning. They did move him right away.	
Aug 3 2009 	Bad service	The service at the hotel is null and huge disappointment compared to Jumeirah legacy and services in Dubai (Emirates Towers) and London (Carlton Tower). the service lacked efficiency and detail-orientation. Too bad for Jumeirah...	
Jul 20 2009 	Very impressed	I have noticed some of the reviews for this hotel weren't as good as i thought they should be so here are my thoughts. A great location. A beautiful room and very spacious. The bedroom was lacking in atmosphere but it ticked all the boxes for comfort. We didn't use the restaurant as it was way too pricey for us but I would recommend the Thomas Keller deli for breakfast which is only a 5 minute walk away. Recommended for location and comfort.	
Jul 19 2009 	far too complacent trading on Jumeirah reputation but falling short of Jumeirah standard	find somewhere less pretentious and more welcoming ........... should be easy on the budget to stay at Essex House	
Jul 15 2009 	should be rated way higher	This is a great hotel in an unbeatable location - right across from the middle of central park. We've now stayed twice and love it. The staff is incredibly friendly, the bar makes great drinks and is a great place to plan or end the day. The beds are incredibly comfy and covered with immaculate white linens, and the rooms are spacious. The only criticisms are no fan in the bathroom and no coffee maker. They even have a well-equipt workout room with water, fruit, ice, and the New York Times is free everyday. If you can stay on a good deal, like we have, it is a top 10 hotel in nyc	
Jun 29 2009 	Beautiful hotel in great location	We unfortunately arrived right at check-in (3 p.m.) and it was very very slow. The staff was friendly, though, and I think the issue was because a few people had problems with their rooms (room type they wanted not available, etc.).Our room was on the 8th floor and had no view. It was stylishly decorated and spacious, especially by NYC standards. There were motion-sensor lights under the bedside tables, which became rather annoying pretty quickly. One didn't seem to be working properly and never turned off so we just unplugged it. This feature is much more convenient in the bathroom. I loved the full-length mirror inside the closet; wish more hotels had these. The rate for our room itself was pretty reasonable, but parking is outrageous at $65/day. There are plenty of much cheaper garages within walking distance. There was also a $15/day fee for wi-fi access which is a bit steep... and room service prices were ridiculous. Again, there are plenty of nice restaurants in the area with much more reasonable prices.	
Jun 25 2009 	weak wifi	Charged fifteen dollars for room internet access yet signal was too weak to use. Eventually had to go to Starbucks over the road to check my emails. Sounds like a minor point but this is an expensive, prime site hotel catering for the business community. I had a lof of work to do so this was a real handicap. Also charged eighteen dollars for tepid, room-service cocoa. I know it's not hotel's fault but noisy construction work outside window made it difficult to work. Rest of hotel fine.	
Jun 17 2009 	Fantastic Hotel	We came to New York with friends to get married at the end of May. The hotel location is second to none directly opposite Central Park and close to 5th Avenue and Broadway. We were upgraded to a central park suite and it was larger than some apartments i have been in. Very comfortable bed and furnishings and a superb view from the 33rd floor. The staff are very friendly and will bend over backwards to help you. My tip would be to use the 24hour deli on 58th street just down from the back door of the hotel for coffee, Breakfast and snacks as the hotel breakfast seem very expensive for what you get.	
Jun 11 2009 	Wonderful	A very nice luxury hotel. Pricey but really great location across the street from central park and close to Columbus Circle (which has a delicious Jamba Juice). Everyone had a good time. Only minus was how stuffy the employees were. A snobby type attitude.	
Jun 8 2009 	expensive but good location	we were a young family and had a suite, room service was very exensive and slowna glass of warm milk for the children was £13 and came after 1 hr, and a cappucino £18!!, good job theres 24 hr starbuck was nearby, Great location to central park and 5th, and smart clean rooms, concierge was helpful loaned us a stroller and the doormen were brilliant.	
Jun 2 2009 	loved the re vamped modern look	We stayed for 5 days and had booked 2 suites overlooking central park. The rooms have been re furbished delightfully. My son loved the phone panel which could control all the lights and ac and everything! It was all very hi-tech!! We chose rooms on the 3rd floor and that made us feel closer to the park and felt very homely. The concierge was very efficient and helpful- we booked restaurants and cars through him. The south gate restaurant was very good, though we only had breakfast there. Room service is not great and the waiters need some lessons on how to smile and be warm! Overall, a great experience! I would not want to stay in any other hotel in new york!!	
Jun 2 2009	Amazing rooms and spa	Besides the fab location. On central park and you can walk across to columbus circle and fiffth avenue .The spa services are a definite reccommend. Something as absic as nails they do beautifully and facials are a must.we were there in peak of winter but had a good time with the indoor gym and spa besides easy access to all spots	
May 31 2009 	Location location clean	Our family booked four rooms for 4 nights, including a large suite. Service was good. The breakfast was brought to the room promptly and was excellent. The valet busted his buns hailing a taxi every time we needed one, though the waits were sometimes quite long. The NY Times was waiting outside our door each morning. The rooms were clean, but somewhat cramped and small. There were sufficient easily accessible electrical outlets for laptops. The refrigerator was packed with items we did not want such that there was no room for leftovers. So we moved some of the items out of the frig, to make room for leftovers, and were charged for those items because they had been moved. This issue was rectified by a simple complaint and our account credited. I cannot comment on the hotel restaurants because we did not eat there. Overall, the stay was acceptable, especially considering the prime location on Central Park.	
May 19 2009 	A great stay - eventually!	This is a very famous hotel. I was keen to stay there. I booked the trip to NYC (my first) as a birthday surprise for my partner. I decided that we would spend money on a good hotel. I wasn't disappointed. The hotel is in a fantastic location, overlooking Central Park. We had a room on the 35 floor with a view that could not have been more spectacular. The service in most areas of the hotel was exceptional, if not a little aloof. My review uses the word eventually because of a dissappointment on the first day. I had booked a park view room at no small expense. When we checked in we were given a room on the 5th floor. At this height you cannot even see over the tree line. Not what I expected. I told the front desk that this was unacceptable and after a bit of to-ing and fro-ing they gave me the higher room. The only other issue I had was room cleanliness. The room was clean but. Not as clean as I would expect. There was dust on the surfaces that was never removed to a point that I could write my name in it. The management dealt with my complaints very efficiently and with great humility. I would not hesitate to recommend this hotel to anyone. It was a great first NYC hotel and I will return.	
May 3 2009 	One of the Best NYC hotels	On my yearly spring trip to New York City, I decided to splurge and stay at the Essex House. I love staying on Central Park South for the convenience and was able to find a somewhat discounted rate for this hotel. In any respect, NYC hotel prices aside this hotel was fabulous. Rooms were immaculate, which unfortunately is sometimes an issue issue with even high end NYC hotels, much more so than in other cities. Decor modern and updated with a fabulous bathroom - which is my test for a wonderul hotel experience. I will return to this hotel, it lives up to its reputation.	
May 2 2009 	Sloppy service nothing special charged for items not received	My husband and I booked one night here for our anniversary. When I made the reservation I requested a bottle of champagne in the room on check-in. Of course when we got to the hotel (on-time I might add) our room was not ready and they did not have the requested wine available. We had to leave pretty quickly after arriving since we had early dinner reservations and a show, and on our way out I asked that the champagne be cancelled. Naturally, when we got back to our room later that night, what was waiting but a warm bottle of unopened champagne and a mushy-looking cheese platter. We called immediately and asked that it be taken away and that we not be charged for it, and we were assured that this would be taken care of. When I got my bill from American Express later that month, the charge was still on there. American Express could not resolve the issue, the hotel refused to remove it. I am still pissed since I am looking at a copy of the receipt and it is clear that someone else signed the slip since my name is spelled wrong. The hotel has gone way down in quality since the sale to the Jumeirah group and I will never stay here again.	
Apr 29 2009 	Friendly staff centrally located good sized room.	The staff at Jumeriah were very conscientious in meeting our needs (double bed, quiet room) and went out of their way to show us several rooms before we made our decision.We booked ahead two or three weeks, so we were able to secure a fair rate for NYC given the location and hotel rating. Had we booked at the last minute, the rate was easily twice what we paid.The room was quite a nice size that accommodated two good sized beds, a desk, chaise lounge and a decent sized bathroom. Everything was done relatively tastefully (marble bath, one piece toilet, down comforter, low voltage lighting, flat screen television), but I'm a bit of a stickler for detail and that's why I'm not able to provide an absolute glowing review. In my opinion, the quality of the renovations wasn't the greatest (sloppy workmanship within the room) the bath sink didn't drain well and some housekeeping issues (there was caked on dirt in the corners of the bathroom in addition to a bit of dust). I suspect they would have switched our room or asked housekeeping to clean more thoroughly if I brought it to their attention, but I was on the go so I didn't get my undies in a bundle this time. Typically I would have said something, but I let it slide. I didn't take advantage of the bar or spa, but that's available if you're so inclined. The entrance to the bar looked quite nice from the lobby, but I just didn't have time to sneak in.I'd consider going back if I could get a decent rate. Of course, if money wasn't an issue I'd look at other options.	
Apr 28 2009 	Served my needs very well. Nothing stolen.	Stayed here, last minute, for two nights to attend a funeral. Booked flight+hotel via American Express, less than $800 for air and two nights from Nashville. On less than two days' notice. This was less than airfare alone had I booked separately. (Check out Amex, y'all, for packages.) When I asked, the front desk upgraded me from a queen to a king room at no extra cost. Room was typical NYC size, not big, but clean and modern with built-in everything. Bathroom had one of those goofy salad-bowl sinks, translucent salmon colored! Whatever! Flat screen TV was enormous. Bed was fresh and supercomfortable. Wifi cost $ and was not a full-strength connection, though functional. My 11th floor room overlooked 58th street and a full-out construction site at the ground level. A lower floor might have been a bummer--trucks and backhoes all day long. (But quiet at night.) I put my laptop, camera, and iPod inside the room safe, punched in my own little secret code, and nobody stole anything while I was out all day long, for two days. I'm sorry that people have had things stolen, but I don't understand why people leave valuables out when a hotel provides a safe.Room service is RIDICULOUSLY overpriced: a $19 Mediterranean salad netted out at $37 after all the extra delivery/service charges. I would have eaten the oatmeal soaps if I'd been paying attention better.I'm not crazy about the Central Park South location--the horses across the street make me kind of sad, waiting so patiently with their carriages. Lovely to have the park right there, however. There are quieter streets, which I prefer. But for this trip, this hotel was completely satisfactory.	
Apr 28 2009 	Best quality and location vs price ratio in NYC	I am sorry to hear all the robberies reports, since i spent recently 5 nights there with my wife and all in all had a very good experience. Location is undoubtedly the best in NYC, close to every attraction or trendy spots except perhaps Battery Park area. Staff attitude was very good, wich in New York is like saying outstanding, (with the exception of a rude doorman, everyone else did a good to excellent job when we needed) restaurant and Bar are Michelin star quality, rooms are very nice for the rate they ask and the lobby area is also great.I am a frequent traveler and i use to stay at 5 and 4 star Hotels very often, and i could agree this Hotel is probably not a 5 star, but indeed is a very good 4.5 star, but then the rates they charge are not 5 star rates either, so for that kind of location and rooms you can not find anything close in terms of dayly rate. Definitely i found it to be a very good Hotel regardless of the rates, but if we put the rates into the equation, then i should say this Hotel is a must if you don t want to spend more than 350 usd a night.	
Apr 13 2009 	Perfect Midtown West Hotel	I've historically stayed at a different hotel each time I visit NYC (Four Seasons, New York Palace, Sofitel, Plaza, Parker Meridien, Blakely, etc.), but the last two times I've stayed at the Essex House and will continue to do so in the future. In fact, I have a reservation for my family and I to stay again next month. Last month my wife and I stayed in an Essex Suite and my kids stayed in an Essex Double, and both rooms were excellent! The double was huge by NYC standards and the Essex Suite was absolutely enormous (all four of us could easily have fit in it). I stayed in a basic king sized room at the Essex House about a year ago and that room was smaller than our double but still an incredible room. The rooms are extremely tasteful and clean with new furnishings, comfortable beds, an incredible array of gadgets in the room, marble bathrooms, high end toiletries, etc. Also, the rooms are extremely quiet (other than some muffled traffic noise outside). My only complaint was that the cost of breakfast in the restaurant was a bit steep. However, the great thing about this area of town is that there are multiple reasonably priced restaurants just a couple of blocks away. We usually stay at a Ritz or Four Seasons in most cities but those hotels are priced out of our range in New York. The Essex House is an excellent alternative.	
Apr 4 2009 	Do not stay here if you value your possesions!!	We were really looking forward to staying here, but within a day my wife had some of her jewelry stolen by the room maid and the hotel management weren't that bothered about it. The local Police department said they get reports all the time of thefts from rooms in this hotel.The jewelry wasn't that valuable - just a few hundred dollars - but was of sentimental value and the best the hotel could do was get their insurers to write to us to say 'get lost'.We won't be going back.	
Mar 28 2009 	Just Perfect	My husband &amp; I stayed at the Jumeriah hotel last year. Can not say enough about the hotel staff, location, decor etc. We were upgraded to a Park view room upon arrival. Arrived very early in the morning and were checked-in straight away. I have stayed at seven different hotels in New York over recent years and none compare to the Jumeriah. If you are celebrating a special event or just want to splurge on a bit of luxury this is definitely a place worth considering. Hint - when we stayed the hotel car would take you to any destination within a certain mileage for free - ask at the front desk. If there were any improvements I'd say the rooms could have been slightly larger (for a luxury hotel )- but then again, it is New York!	
