	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Jul 18 2009 	Charming hotel with good location!	I like the single room since it is comfortable and trendy. Good food and wine in the bar restaurant!	
Jun 1 2009 	Good location	Mid-town location was good and within easy walking distance of Central Park, 5th Avenue and various other sites plus a number of Subway stations for going further afield. We stayed in a superior king room which I thought was a pretty good size and we were not bothered by any noise at night. The free tea and coffee facility was quite useful however we didn't use the bar or the restaurant so can't comment on them. We didn't find the hotel staff particularly friendly or helpful but they were fairly efficient and this was not such a big deal.	
May 22 2009 	Great Accomodations Perfect Location.	A friend and I ended up booking a room through Hotwire and got the Shoreham for a great price. Room was small, compared to the chain hotels I've stayed in, in my past 3 trips to NYC but the room, the location and the service were well worth more than we paid! They wouldn't/couldn't upgrade us because of the price we paid through Hotwire, but the room, with 1 Queen size bed, had more than enough space for the 2 of us to be able to maneuver around each other and all our luggage. Our room faced the back of another building, but you don't go to New York to get a room with a view and honestly, this was the quietest room I've ever stayed in, in NYC. We did not hear any obnoxious honking or emergency sirens at all, which is a rarity in New York.Our first night, there was no hot water in the shower, but upon reporting it to the front desk the next day, they had it remedied while we were out for the afternoon. Simple clean rooms, stylish lobby and lounge area and great amenities... would definitely stay there again!	
May 22 2009 	Great Location small rooms	The shoreham is a very stylish hotel. The rooms are small but is really clean.	
May 18 2009 	Chic hotel but pricey	I stayed in Nov 2007, for 3 nights. I got a suite with sitting area and bedroom. The accommodations were excellent, but the bathroom was ridiculously small. Desk service was non-existent. This place believes it caters to celebrities, so if you want prompt attention, you may need to wear shades and act like a prima donna. Otherwise, location was great. For better value for the money, stay uptown in the Upper West Side.	
Apr 1 2009 	Perfect Hotel	We stayed at the Shoreham Hotel for 7 nights and we can say with no doubt this hotel turned out to be a very good choice for accomodation in New York at a very good price (in comparison to other hotels of the neighborhood which were much more expensive). The hotel was very centrally located on 55th str (which is surprisingly a rather quiet street) next to MoMA, 5th avenue, Central Park and close to Rockefeller Center. There were also 2 nearby subway stations. There were also many nearby cheap places for quick and good food (self-serviced delicatessen bars etc)The decoration of hotel's lobby and the decoration of our room was minimal and stylish with simplicity and no exaggeration.The room was quiet and large, extremely clean, with 2 double extra-comfortable beds, nice and simple bathroom, a plasma TV and a radio/CD player. We were given a complimentary glass of champagne upon check-in, we also had everyday unlimited complimentary capuccino and espresso all day long, plus complimentary press everyday at our door (the New York Times &amp; the weekly TimeOut New York magazine). There was also free wifi / internet (2 pc available for the guests + printer). There was also a gym but we never used it. The staff was polite and smiling. Upon check-out (12 noon) we had our luggage kept for a few hours at no extra cost. When we came back to the hotel to pick up our luggage, the hotel staff immediately helped us finding a taxi to JFK airport . Overall a very good hotel experience! Definitely recommended!	
Mar 25 2009 	as long as you don't spend much time in room place is great	my 12 yr old son and i spent a couple nights there on a weekend. our room thursday was literally as small as a room can be, and still have a queen size bed. we were pretty sure the bathroom was bigger than the bedroom. and the &quot;window&quot; looked out into a ventilation shaft. but we checked out fri morn (other commitments fri nite) and came back to the shoreham saturday. i guess they weren't busy, because we got a free upgrade to a huge suite. the staff was very helpful and friendly. we got our room thru an online deal ($159) so i didn't expect the best room, but the suite was a nice surprise. the location is ideal--you're right in the middle of the theatre/times square area	
Jan 3 2009 	Perfect location	We were upgraded to the Penthouse room, with a very nice balcony, no street noise at all, a fantastic massage-armchair, and two big flat screen.. it was a fantastic experience.The hotel is located at few steps away from the MoMa, few block from The Rockfeller Center, and in a very strategic position to visit NY. Aveda shampoo, nice staff, design elements in the little lobby were the cherry on the cake.I really recommend this hotel!	
Dec 19 2008	Price Surprize at arrival	I reserved an Air France flight Paris-New York and a hotel through lastminute.com. I was clear in my order that I needed a room with two beds as I was traveling with my young son of 14. I paid the flight and the reservation : 2400 euros, not so cheap. When I arrived, the attendant said he never heard of this request and I had to pay 100 dollars for each of the four nights, 400 dollars.How nice.The attendant said I had to order through the hotel websight.So, NEVER reserve the Shoreham through another website, like Expedia or, like me, Lastminute.com (my mistake).The hotel is ok, but nothing remarquable.Hervé Le Tellier	
Nov 15 2008 	Nice hotel - but tiny rooms.	This a lovely hotel - contemporary and very chic. The staff were very welcoming and the service was great. Good buffet breakfast served in the bar. The location was also great. The room I had was lovely but....it was the smallest room I have even seen in a hotel - even by new york standards. I could barely get between the end of the bed and the wardrobe (which was more like a cupboard). Really nice hotel - but I was climbing the walls after a few minutes in the room. Everything else was great - if you're there for shopping/siteseeing etc and not likely to be spending time in your room, it's perfect.	
Oct 21 2008 	Keep looking there is better for equal or less	I stayed here for 1 night to attend a conference at the St. Regis. The room was on the second floor overlooking the air shaft and the HVAC duct work. Tiny room, but the bed which took up the whole room wasn't bad. Modern design, grey/muted color scheme with glass walled bath room. There are better hotels in NYC for the price and depending on what you are in NY to do there are better locations.	
Oct 9 2008 	Great Location Great Hotel!	We booked on line with expedia and got a great discount for booking our flight at the same time. We booked it based on location and the reviews at the time. Mostly because we wanted to have an Boutique expereince with out paying boutique prices.It was better than we expected and we've the decor. I'm pretty sure that they upgraded our room to a bigger room.I would definately recommend The Shoreham to friends. I think the next time we go back we want to stay in a different area of the city but otherwise we would go back!!!	
Sep 24 2008 	Great location	I stayed at the Shoreham in Aug/Sept for one week. It is the perfect location for everything you want to do in the city, especially shopping! I was there with a friend and the room had plenty of space - was a bit worried with the small room reviews I had read. Only downside - the staff, don't expect them to help you find restaurants or give you any tips at all really. Will be going back	
Sep 23 2008 	Great place	I stayed here with my husband for some nights last week.We really enjoyed our stay, it was our first time in NY and this Hotel is in a great place we were at a walking distance from lots of interesting places, such as: MOMA, Central Park, Rockfeller, Times Square, Broadway, 5th avenue, and so on.The rooms are small it is true! Our room was the one with the queen bed wich is the smaller in the hotel, but th less expensive too. The rooms a small but we are in NY, the city that never sleeps, we don't want to spend much time in the room!!!The staff was great they were realy nice and helped us making reservations in some restaurants. The coffe machine is really great and handy, because you can use it at any time. There are 2 computer with free internet acess anda a printer, which is great if you want to check your email ou something else.This is a boutique hotel and that is why it has a funky mood, you have to be in the same mood to be in a hotel like this.We haven't brought a plug convertor for USA plugs and teh hotel lend us one.The bathroom is small but tha shower is huge, 2 people ca bath at the same time.Our room was really quiet, and you can´t ear anything, what is great because the hotel was fully booked.every mornig we had the news paper at our door. and new magazines during the week such as &quot;time out - NY&quot;I recomend this hotel for funky people and for first timers in NY that want to be in a great location , but not in the middle of the crowd (i'm going to tell everybody not to stay in times square because it is to much noise and people ate every hour of the day and night)	
Sep 16 2008 	Overpriced and Many Flaws	This hotel was recommended to me by a business colleague. He has probably never stayed there. The first room I got was so small I went back to reception and handed them the key saying that unless I got a bigger room, I would move. Ended up in Room 201 which is larger but still very modest for $500 per night.Air conditioning was of the 1950s variety; stainless steel sink was so small as to be virtually useless and there was no hot water. TV had about 15 channels and ESPN was not working for the entire 3 days. The restaurant is noisy and has lousy food. The wireless internet never worked (I went round the corner to Starbucks for internet connection). On the positive, the staff were nice and seemed to realize they were in a joke of a hotel. Plus it is a great location. But for that money, avoid the place.	
Sep 3 2008 	Absolutely loved the Shoreham!	I was going to NYC with a few friends to celebrate a birthday. We decided to stay at the Shoreham. It was an excellent experience. We shared two rooms with queen beds. You have to know that this hotel is constituted of two separate building next to each other, joined by the lobby/reception area. Each of us had a room in each section. The room are very similar but here is what is different: One is much larger, but the design is somewhat regular compare to the other. Bathroom in this one was extremely small. On the othe hand, the other room had an exquisite design but the size was rather small. Bathroom was very big and beautiful. Both room were very nice, thinking that this is NYC, where rooms are usually very small with little to no bathroom... These two rooms were very very nice for NYC and for the price paid, this was very good. There are no ice machine on the floor that can wake you up. Just call room service and ice will be there in a few minutes. Forgot to ask for extra glasses, those will be ther in minutes as well. They offer both a bruch/buffet breakfast and a menu breakfast. My friends and I each took the brunch and the &quot;a la carte&quot; breakfast. For the price in NYC, these breakfast were enormous and very good (and I'm picky on food).One thing not to miss is their coffee/espresso machine near the lobby: free coffe, and really good one too (also tea and warm water)I loved the Shoreham and will book there again next time in NYC.	
Aug 18 2008 	what a horrible hotel!!	I recently stayed at the Shoreham hotel for business. Normally I stay at The Dream hotel, but they were sold out. I should have listened to the hotels they suggested!!I got to the Shoreham at 430p to check in and the Front Desk Agent couldnt find my reservation. I advised them I had a confirmation number, but was told that the hotel was sold out and that my name wasnt in the system. I asked to speak with the manager and was advised that he was in a meeting.Finally after arguing with the agent, he finally agreed to look up the confirmation number. The agent who took my reservation mispelled my last name!! Then the rude agent told me that the room wasnt ready and would have housekeeping work on it ASAP. I took the redeye to NY, worked all day and all I wanted to do is sleep. I had to sit in the lobby for 45 minutes until the room was ready. I wasnt offered a free drink or any apologizes.Upon entering the room, it was so small. I wasnt able to sleep with all the noise from outside!! It sounded like the window was open yet there was no windows. I called to the front desk to see if I could change my room &amp; was told no the hotel was sold out.The food in the bar area and room service was horrible. I had to wait 30 minutes for breakfast. My eggs were cold and the room service waiter was so rude!! Complaining that I only tipped him $3!!I called my travel agent and thankfully she was able to move me out of the hotel, the next day!!I would never suggest anyone staying at this hotel. Its a dump, the staff is rude and not worth $25 per night!!	
Aug 3 2008 	Would stay again	My husband and I stayed at the Shoreham for 3 nights. We were quite pleased with the hotel. The hotel is very modern looking. The carpet in the hallway looks very clean. The room itself looked clean and there was ample space to move around as when reading some reviews I got a bit scared that it would be too small. The shower was good. I did not have any problems with the water temperature as I read in another review. The hotel was pretty quiet which we liked. We never saw anyone on our floor and were mostly by ourselves in the elevator. The cappacino station on the 1st floor was our favourite part. You can get hot chocolate, latte, coffee, tea, etc. It helped in the morning to wake us up when we were rushing to get our day going. We just grabbed something to drink for our morning walk to whereever and it tied us down until we got something to eat.The first night I found the noise from the street quite loud and seemed as if the window was opened although there were no windows, but the rest of the nights I slept find, probably because we were so dead tired.We didn't get bathrobes in our room - Superior Queen. I thought our room didn't get it but I just read now that we should have gotten them. And the housekeeper was inconsistent with the towels she brought. First time, there was no bath mat, then next she didn't replace one face cloth then next night we got 0 face clothes. But it wasn't a big deal or else I would have asked for more. I would recommend this hotel definitely. This is our first time at a boutique hotel and loved it. IT would be nice to try others. But that cappicino station was AWESOME&gt; and a nice treat.	
Jul 18 2008 	Not great value	I spent an entire week at the Shoreham while in NYC for business. The hotel did charge my credit card IN ADVANCE for the full amount of my stay, meaning the cost of 7 nights was billed one day before my arrival. This can be of particular annoyance if your credit card is maxed out after that. My complaint was not actually rejected, with the manager denying the advance charge.Room service was fine. However, minibar was never actually restocked during my 6 day stay. Only after having left it was noticed that the guest who was in the room before me had drank a bottle of wine and put it back in the minibar empty.At least this item was taken off my bill after my complaint.The problem seems to be that too many business people need to come to NYC, able to pay $500 a night and accepting sub-standard service and a dark and small room.	
Jun 1 2008	A clean modern boutique hotel with great service	I stayed in the Deluxe Luxury Queen room on the 4th floor, and it was a dream - spacious, modern and clean. When we walked into the room, we were greeted with 3 pieces of fresh chocolates on a designed plate (not just pre-wrapped chocolate) along with a handwritten note from the hotel manager, which was a nice touch. Also, since we were celebrating my friend's birthday, I called ahead to request that a small card with a particular inscription be left in the room upon our arrival, and this was nicely done. I requested the same of 60 Thompson in Soho, but their reply was that they were a boutique hotel and couldn't do it.The bathroom was luxurious, with 3 shower heads, although for the 3 days we stayed, we always had variable-temperature water. It would go from hot to cold to lukewarm back to hot - all very quickly so as not to scald or freeze, but the water temperature never stayed constant. At first I thought this was from other guests flushing toilets, but that doesn't explain the range of temperatures nor the frequency of change.Also, with all 3 shower heads on simultaneously, the drain rate was not fast enough and water began to accumulate and rise in the shower.Shortly after arriving we went to The Bar for an afternoon cappucino pick-me-up, and when we returned to the room, we had turn down service and 2 brownies on our bedside! Housekeeping was always quick to respond to our needs (ice and extra sheets).The free internet on the lobby floor came in handy when we wanted to confirm subway directions to the Brooklyn Museum - 2 computer stations with 1 printer, although the printer was out of service.The elevators were small, but there were 2 and each fit 3 people with 3 suitcases comfortably, and they were never overcrowded, which was nice for a boutique. Also helpful were the displays on each floor letting you know where the elevator was (sometimes the little things make a big difference).The midtown location is very convenient. When we went out for dinner Friday night though, it took 5 minutes for the bellman to hail us a cab - not many came down the way.Overall, a clean, modern boutique hotel with great service.	
May 29 2008 	Always lovely and dependable	The Shoreham is a smaller property hotel in a great midtown location. We always stay here when in NYC because it's convenient and accessible. The rooms have the minimal and soft white color design. The rooms have a calm and serene feeling. It's really quite a challenge to make all this work in midtown but The Shoreham succeeeds. The front desk staff is very helpful (no attitude) and the housekeepers are quick and efficient with your room.	
May 28 2008	Funky hotel in a great NYC location!	My stay here was great. We found the room spacious and clean and the staff were so helpful and friendly. There is free internet, gym use and a cappuccino machine 24/7. Also, the beds and pillows were the best I've ever slept on in a hotel. The hotel itself is trendy and modern and in a fabulous location that is close to Central Park and Times Square. Highly recommended!	
May 24 2008	Very disappointing	The first room they gave me had one or two cockroaches waiting, and it was dirty, so I was changed to another one that was smaller and without a bath. The room themselves are all very small and uncomfortable. The main light of the entrance of the room was not working and was never replaced during my stay. The view was to to a brick wall two meters away. In the room itself the only table was filled with a nice Bose sound system and a huge TV set. That is: no place to work in your own room, no place to write or anything else but sleep and watch TV. The hotel itself is pure design, but very unpractical. The worst was whay they called &quot;Business center&quot;. They have wifi in the rooms, but I called before to find out where there was a place to check the internet so I could leave my laptop at home. &quot;Of course&quot;, they said, very proudly. Actually all they had were two computers in the hallway that separated the elevators from the gym, with a lot of people wanting to use them and ugly pop music blasting from the loudspeakers. Besides, the connection always broke and the printer's cartridge had no ink and was never replaced during my 10 day stay. You must have a lot of nerve to call two computers a &quot;Business center&quot;. All this in a very eexpensive hotel, with much better alternatives available at the same price. Suming it up: design, unconfortability, bad service and cockroaches. Don't go there.	
Apr 28 2008 	Four nights at The Shoreham	This was my 6th time to New York City and we were there with another couple who had never been before. The Shoreham is a very modern and trendy hotel with beautiful decor and a comfortable bed. The location is terrific, just blocks from 4 subway stops and an easy walk to various hot spots.The free coffee bar and New York times is a great touch and we hear that they offer a free fitness center...we wouldn't really know about that.I stay at a different hotel everytime I go to NYC. And, while I have a lot of good things to say about this hotel, I must add that it was my least favorite of all of my experiences. I am of the theory that a traveller spends very little time in their hotel room in New York City so size isn't an issue. However, the size of these rooms are to the point of inconvenienve and discomfort. You are bound to get a smaller room when you book a boutique hotel but the rooms at the Shoreham are so, so small. You really have to maneuver just to get around the side of the bed and, if you have more than one large bag, there are very few options.The bar is beautiful but very high priced, there is a great pub just about 6 doors east on 55th.So far the best hotel I have stayed at is the Hyatt Grand Central and if you want a boutique style hotel, check out The Benjamin.If you are alone and want a trendy room in a good location book The Shoreham, the people are friendly and the place is very nice. If your party is larger than one then look elsewhere.	
Apr 27 2008 	Excellent Location	We stayed at the Shoreham for three nights in April 2008. The location of the hotel was excellent, on W 55th between 5th and 6th ave. However, the room was very small, like most in NYC. Our room seemed even smaller, due to the small window with a view of the fire escape/alley. Little if any light even at mid-day. The room was very clean, and was cleaned promptly by staff upon our departure each day. The complementary coffee/tea/and hot cocoa machine was nice in the Am and after a long day. We weren't offered champagne upon check in, like advertised, and like the couple checking in before us.....this was disappointing. The positives did out weigh the negatives as we did get a good deal on this room via hotwire, but we would likely stay at a larger near by hotel during our next trip.	
Apr 24 2008 	Nice stay at Shoreham	I was in Shoreham with my daughter recently. The hotel is in excellent location and tastefully decorated. Front dest people were very warm and helpful especially Debora and Laura (I don't know whether I spelled their name right). Highly recommended. Love to go back.	
Apr 10 2008 	Guaranteed Return Guest - Loved My Stay at the Shoreham	This is the first review I've ever written about a hotel. Traveling to New York was an experience but what made it even better was staying at the Shoreham. It's a nice, modern and friendly place to stay in the heart of Midtown Manhattan. Everything is within walking distance (Time Square, Central Park, Rockerfeller Center, MoMa, Broadway Shows, Restaurants, Shopping, etc.). I loved the fact that it was located off a quiet street which allowed us to sleep the whole night. There was even a liquor store conveniently located around the corner from the hotel. The staff was very helpful and frinedly. The rooms were unlike any other place I've stayed in...there was a massage chair, huge walk-in shower, comfortable bed and most importantly clean/modern. My husband and I will be going back in May/June and plan on staying here for both of our trips. I can't say enough good things about this hotel.	
Apr 2 2008 	Loved the Shoreham!	What a great, chic hotel. I loved the spa suite. The room and bed were very comfortable, the furnishings and color scheme were quite cool, and the location directly in midtown between 5th and 6th Avenues was perfect. You couldn't ask for more centrally located!	
Mar 20 2008	Short but great stay!	Had a one night visit to NYC and was very pleased with the clean, soothing atmoshpere at Shoreham. Would recommend to anyone!	
Mar 3 2008 	Loved it!	I really liked this hotel. I had to book a hotel for a last minute meeting that was scheduled and decided that I was tired of the usual suspects - major hotel chains - and booked the Shoreham - figured what did I have to lose with a one night stay. I was surprised at the comments concerning lack of personal touch and service. I was suprised to check my vm at work to find that they had left me a message the day of my arrivial welcoming me and looking forward to my stay. Check in was a breeze and was offered a glass of champagne or water upon arrival. Room was of typical size for New York - on the small size - but thoughtfully laid out and spotless. Loved the ijoy chair! Bed was extremely comfortable. Aveda amenities in the bathroom which was quite roomy. The self serve espresso machine and free wifi rock. Decor is very modern so would not for those who like flowers and dust ruffles. Great location and wonderful service!	
Jan 22 2008 	Loved The Shoreham	Nice little hotel tucked away from on W. 55th street...very close to Madison Ave, Central Park, Broadway Shows and Rockafeller Center! Its a great Mid-town location so you can get to anywhere uptown or downtown. You are only a short cab ride or subway ride from everything. I liked how the building didn't scream &quot;HOTEL&quot; the setting is more like a chic mid-rise NYC condo! I loved it! The hotel was quiet very clean...my room was sleek contemporary and very comfortable...loved the 45 inch plasma tv! and the 24hr expresso bar Loved it! The room was small but hey thats NY baby. It was a lot of style but in a very cozy end inviting setting. Perfect for a couples weekend in the city or a girls/ boy get-a-way or shopping trip. When I return to NYC which will probally be this summer I will definitely return to the Shoreham!	
Jan 4 2008 	Too much design!	I thought I'd try the Shoreham as a change from my usual hotel in NYC. It's in a good location on a relatively quiet street and the decor is impressive if an acquired taste. The designers took an old hotel and gave it a great makeover but they were quite constrained by what they had to work with. The lobby is very strange, very unobtrusive from the street, nice idea but it was a mess and the very low ceiling is just weird. My room was small and there is very little soundproofing so I could hear the conversations from next door. There's a flat screen TV and a massage chair but the room was generally quite uncomfortable and very very dark as the only window looked out onto a &quot;light&quot; well but needed the blind closed for privacy. The bathroom is stainless(!) steel which looks trendy but a bit industrial. Opposite the toilet was a huge frosted glass window with no blind. I felt very uneasy as I am sure with the light on people in nearby rooms would see enough detail through the glass to be embarrassing! The bathroom was very cold indeed. There was almost no storage space so my case had to stay open on the floor throughout my stay, making the room feel even smaller. Overall, the hotel is very trendy and OK for a short stay but you wouldn't want to spend too much time in the room. The most annoying thing was the lift - the lift call button is on a pillar in the middle of the lobby away from the lifts themselves causing a certain degree of confusion and disorientation.	
Dec 27 2007 	Wonderful - couldn't ask for more	This hotel is magnificent. Beautiful decor, very friendly staff. Reserved a single Queen, but when I arrived with my son asked for a double bed and they upgraded us at no charge to a Penthouse room. We had a wonderful first time experience in NY sightseeing as well as me working at my office in NY. Very informative on where to go and what to do. Always courteous and helpful. I highly recommend this hotel. The beds were extremely comfortable. WiFi reception excellent. New movies at no additional charge. Within walking distance to many attractions.	
Dec 23 2007	Nice Hotel Awful Service	I arrived at 1am after a delayed flight and it took over 30 minutes to check in, despite there being only one person in front of me in the queue and two people working at the reception desk.I was then told that I would have to change rooms for my second night which I refused to do. I was then told I would have to pay extra to stay in the same room despite having my booking print out with me. In the end I did not pay a different rate.Predictably, my electronic room key did not work and I had to drag my bags downstairs again.The room itself was, however, fabulous. In fact there were two bedrooms in my suite with plasma screen TVs in each. There was also a living room with another one. Each bedroom was nicely decorated and full of gadgets! The bathroom had a great shower with several jets. There was also a nice bath and plenty of space beside the basin and was very clean. My suite also had a little study as well and internet connection was good. All in all, the hotel room was outstanding and large for Manhatten. Location is also great. Of course, you pay for this as I think my room was around $600 a night.	
Dec 21 2007 	No personal touch	We booked through expedia a room with a view, I called a week before flying to ny to make sure everything was ok. Upon arriving to the hotel we saw about 15 people waiting at the lobby, so we simply went to the modernish restaurant they have facing the street and had a late lunch. The doorman took care of our bags and after about an hour of having lunch we approached the front desk to check in. The first issue that came up was our credit card not being read by their system, then our room was not ready even though it was 4pm and check in time is advertised as 3pm. Then, once the very cold concierge gave us our room keys, our bellman helped us to our room, which upon arriving to it was not clean. We went back to the lobby with the bellman to sort this out and we found ourselves caught in the very uncomfortable position of listening to a manager talking down to one of the front desk people. The bellman tried to get this manager's attention but enough time had already gone by and enough had been said that made me and my girlfriend realize that there is no personal touch in this hotel whatsoever. Once the manager realized we were waiting, he turned on this strange smile and directed us to another person at the front desk. The lady who finally helped us get into a clean room was very quick and efficient, though we realized that the level of stress at this lobby was making us very uncomfortable. We have been very lucky to travel around the world and we have always left tips for employees, specially for maids, but after running into these uncomfortable situations, we decided to write a review online so that hopefully true honest sincere service does become a reality. Not only so that other people do not have to run into uncomfortable situations, but also because service starts with respect, something that this manager evidently does not have towards his employees.To make a long story short, messy and delayed check in, strange behavior at the lobby, good restaurant, good drinks, good location. Still, we would not recommend this hotel to a friend.	
Nov 26 2007 	Had a great stay	Three of us stayed for 7 nights over Thanksgiving week at the deluxe 2 queens room. The room was very big, but the bathroom was small. The room faced another building so we couldn't open the shades, but that wasn't a big deal. The room was hot even though it was very cold outside, so we had to turn the AC on from time to time (I'm glad the AC worked, or we would have been miserably hot). The location is excellent, just half a block from 5th Ave. The staff was friendly and the two computers in the lobby were very convenient to use. We felt that paying $16 for a continental breakfast at the hotel was way expensive for what you got, so we just went to Cafe Europa a block and a half away. There are other choices of places to eat nearby as well.We would definitely stay there again.	
