	A very trendy and cool hotel right in the heart on Manhatten.	The hotel is in excellent location, just a couple of blocks away from Broadway (Time Square)I choose this hotel because of the cool pictures on their website. Altough it was not as cool as on the website, the hotel still is very modern and stylish.As I just used the hotel to sleep, I can only give my opinions regarding my room and my impressions. I did not use any of the their facilities and also did not have the chance to experience either the restaurant and bar.The room I booked was a standard room. It was very clean and stylish, but a little small for my taste.The bathroom is pretty decent and provides branded toiletries from L'Occitaine.As I almost never were in the hotel I cannot express myself to much about the staff. But the guy that brought my bags to my room was very friendly and helpful. The same guy escorted me when I departed. So, my only interaction with the staff was basically just him.As I mentioned earlier the location is just excellent, you can reach anywhere in NY midtown by foot. There is also an undergorund station just outside the hotel's entrance.In my opinion the hotel is most suitable for younger crowd (18-30)Overall I enjoyed my stay at the Dream.	
Oct 6 2009 	Great location and roof bar	This hotel is placed in the heart of Manhatten with a great bar on the roof, but try and get a room at least 3 floors from the top because it gets noisy at night.Great value for money and very trendy rooms with excellent interior decorations.The young receptionist we encountered was not very helpfull, but the rest of the staff was great.	
Oct 5 2009 	Hotel for Under 30 Clubbers	My wife and I stayed there this past weekend. The positive ends with the location. This hotel has 2 clubs; one on the lobby level and one in the penthouse. Room doors slam all night long with the club set going up and down to the party scene. If you under 30 and in NYC to party, this is the hotel for you. If you plan on sleeping at night the Dream is a Nightmare.	
Sep 18 2009 	Great hotel!	I stayed here for 3 nights this month, after reading some negative reviews i was a little worried, but should not have been. On arrival the staff at the front desk were lovey, they upgraded me to a larger room with 2 beds (room 507) which was really nice. The hotel lobby is amazing with a massive tropical fish tank as a centre piece, it really looks totally different from other hotels. The room itself was lovely. The beds were so comfortable it was actually like sleeping on a cloud! The bathroom was great too and complimentary toiletries from L'occitane were a nice touch. Unlike other reviews I have read I heard no noise at all, and had no problems with the lifts either. The lobby can get fairly busy with people waiting for lifts to the bar but it isnt enough to bother you.The concierge was also great, really helpful and very polite, as were all the staff.I would highly recommend this hotel to anyone wanting to stay somewhere with some personality and not just another chain hotel!	
Sep 4 2009 	Don't stay here	Rooms are small, noisy and air conditioning does not work very well. I stayed in two rooms because after the first night my first room was ransacked and several valuables were stolen. Not a good place to stay if you're on business. Concierge and other staff is run by kids who seem like they want to be on the roof top bar or anywhere other than where they should be to help. With all the people coming in and out of the hotel to go to the rooftop bar your room isn't safe.	
Aug 28 2009 	Great location great hotel	I stayed at the Dream for five nights, having booked through Priceline (@ $100 per night). The room was a decent size, but then I was travelling alone. New York City hotel rooms are small in any case, and this was just fine. It was clean, quiet (my room looked out on rooftops of shops on 7th Avenue) and wonderfully located with the subway on the doorstep, Times Square a 10 minute walk, and Central Park a couple of blocks away.There was also free wireless internet service in the lobby (although not in the room).The only downside was that the lift could be slow at times - but otherwise it was fine.Staff were friendly and helpful.	
Aug 27 2009 	My bedroom closet is bigger than the room I had at Dream	I enjoyed the stay at this hip property. Overall worked out fine, with a caveat for room size - my bedroom closet is indeed bigger :)	
Aug 20 2009 	Better than expected......	My teenaged daughter &amp; I booked 5 nights at Dream through Priceline. After doing so, I became concerned after reading the reviews - especially about bed size. Sharing a double bed may be a little close for comfort unless its a newlywed couple! I requested through email a different room configuration, (2 twins or a queen sized bed) and they would only do so for more cash - which sort of peeved me off. Anyhow, we thought we would tough it out and give it a try.Our first impression of the hotel was the friendly staff, which is always nice after a long day of travelling and delayed flights etc. We were given room 109 - which made me wonder if we were getting the &quot;Priceline Punishment&quot;. I had read reviews about the street noise and noise from the main floor night club and wondered if this would be a nightmare.Turns out - we didn't hear a thing - other than a garbage truck one morning. The room was very quiet, however if any staff are reading this - room 109 has a very big running toilet problem - after flushing, it just keeps going....and going....The beds are very comfortable - and we were tired every day after a long day of sightseeing and walking - so we surprised ourselves by our ability to adapt to the small bed.The rooms are tiny - but we were rarely there, so that didn't matter.We did not ask to have our towels cleaned every day - but they did them anyway. The location is outstanding - out of the crowded, tacky, over priced Times Square area by only a few blocks - very close to Central Park, Columbas Circle and the Carnegie Deli.We ate dinner at the Serafina twice and enjoyed it immensely.Our 5 night experience was positive afterall.	
Aug 17 2009 	Just OK for couples	We had booked on Hotwire (which we will never do again), we didn't know we were booking a &quot;boutique&quot; hotel. We were spending 3 nights with our 15 year old daughter and her 15 year old cousin. This is located in a very good, central spot in Manhattan - very convenient. The rooms are very clean, but extremely small, which usually doesn't bother us, but this was ridiculously small. Our room had a view of another wall, no sunlight ever entered the room. The bed was very comfortable, we had a double bed which took up the entire room. There was literally no room to walk around or put your luggage. The lighting was so dim, I felt like I was in a cave or a cell.We needed to use a printer to print boarding passes, and found there was no business center to do so. The concierge was pleasant, but could not accomodate us, as the printers were not working at all, and the technician was working on the problem. I thought this was very odd, for a hotel of this class to not be able to accomodate this request.The lobby is not impressive and the staff was the same. Not rude, but just disinterested and not helpful.The hotel would be fine for a young couple, just looking for a bed to sleep in. Definitely not good for children or teens. Hotwire labeled this as a 3.5 star - I would not rate it that high.	
Aug 13 2009 	the Dream was almost Great	A spotlessly clean hotel in the middle of Manhattan. Two blocks south of Central Park near Carnegie Hall. Times Square is less than 10 blocks south. We got a great rate on Hotwire which gives it a 31/2 star rating, a little high perhaps but very good value. . We stayed 4 nites and could have used another small dresser. What the room lacked in size it made up for in quality The beds and linens are good quality and are very comfortable, Ours was a double and a queen mattress would have been appreciated.There is a mini bar and safe in the room. The bathroom is small but well stocked. There is a large HD television on the wall but an analogue converter so the picture quality could have been much better. In addition a digital HD converter allows the hotel to keep you updated and to sell additional PPV services.they comped us a couple of drinks on arrival and then a breakfast when the A/C acted up on the first nite. The staff were all helpful and courteous. The rooftop bar was a fun, but expensive place. This is a boutique hotel with an understated Buddhist motif. It has a bluish white palate throughout the hotel. A large Buddhist sculpture at the back of the lobby provides a restful, quiet place to relax. I understand that there is a spa at the hotel but did not see it. In the room a bible provides insight into the religion. Although I read a little and learned a little I did not achieve Enlightenment. That takes a lifetime.I'm writing this review more as a critique for the owners who are obviously trying very hard to make this a great hotel. i would not hesitate to recommend it.	
Aug 10 2009 	Sweet Dreams at the Dream	I stayed at the DREAM hotel in New York for two nights and highly recommend it. It's not always easy to find a decent hotel that isn't overly expensive. Dream is in a good location, it has a friendly staff, the rooms are clean and comfortable, check in and check out were quick, and overall I'd say it's a great value in NYC. I used Hotels.com to make the reservation and went with their small room as I was by myself. It wasn't big but it was clean, comfortable and had everything I needed e.g. iron, ironing board, hair dryer and all the little bottles of shampoo etc. The A/C worked great and I had absolutely no issues and I felt safe. Give it a try, I think you'll be pleased.	
Aug 10 2009 	Excellent Experience	I was skeptical to stay here at first, because of all the mixed reviews. But with a great deal on Priceline I just couldn't say no. The hotel staff was extremely courteous and happy to share their knowledge of the city. The roofdeck and lobby bars were cool, but expensive (it's NYC get used to it). The room was small, but large enough to stay in for a few nights without getting freaked out. Overall this trip was great, and if you want to stay in the perfect location (directly in between Times Square and Central Park) then stay at the Dream. You have my reccomendation.	
Aug 7 2009 	Accessible hip	We recently held a meeting at the Dream for some clients and they were incredibly easy to deal with. When the cab pulled up and I saw a bunch of hipsters smoking outside, I was a little worried, but all my fears of having to deal with a lot of attitude were unfounded. You can tell this is an older hotel with a recent facelift, but they've focused on comfort and convenience. The bed was amazing, with a fluffy duvet on a pillowtop mattress. Yes, the room was small, but it's New York. The staff is exceedingly friendly and energetic, if a bit green. We loved the 2 story fishtank in the lobby. Warning: don't stay here if you can't tolerate incense. Also, Internet access is wireless only, which caused a problem for one member of our party.	
Aug 1 2009 	Boutique chich but pricey	Stayed her after a few days work in NY in Dec 08 - great location couple of blocks from Central Park and times square. chich bar - very NY and rooms were cute but VERY small ......................... so if you want a hotel for a base only to see the sights then you could pay a third of hte price and probably get a bigger room but more blocks back in manhattan. ideal for sight seeing.reception efficient and polite, very clean nice big red rosey apples on your pillow and fab french tioletries, but the bathroom ... no bath just shower/sink/loo no bigger than my home downstairs loobar upstairs played good music with dj - pricey drinks cira us$10 per jd and coke ...................... and lots of freaky dancers! but good atmosphere ................... recommend if you can afford £300 per night and you liek a bit of ambience ............... and somethign a bit different ............. as I say ideal location.	
Aug 1 2009 	Ideal Location	I too got this hotel stay from Priceline and was very concerned after reading all the reviews prior to coming for our stay. The location of this hotel is very ideal. We never had to take a taxi or subway the whole time we were here because we were within blocks of Times Square and Central Park. Make sure you park in a parking garage that has an agreement with the hotel in order to get their $25 daily rate. We could have sworn the bell hop told us that we could park in the garage up the street and the front desk even put a sticker on our parking garage ticket. However, the next morning when we went to get our car the gentleman at the garage said they didn't have an agreement with the hotel and we had to pay $37 instead. We knew we wouldn't get a very large room or bed from the posts we had read so we had already prepared ourselves. We did get a handicapped room on the 9th floor which was a little larger, we were told, and was rather quiet. The beds are really comfortable. Our bathroom wasn't the cleanest. There was hair on the floor and I did see a few small insects of some sort. We really liked their sample of shower gel. Oh and they have robes for you to wear while you are there. Also we received 2 complimentary beverage coupons from their bar when we checked in. Just a little bonus...always nice! We never had to wait very long for the elevators. Everyone was very nice to us the whole time we were there. I think alot of it has to do with what you go there expecting....I felt that I definitely got what I paid for. There are hotels that you can pay 4 times what I paid and still not get all your looking for so I feel we definitely got a bargain and I would definitely go back!with spending what I did and getting as much as I did out of it. I would definitely go back!	
Jul 31 2009 	Great Location No Problems	Front Dest allowed me to check in early. I really appreciated that, as I wanted to rest up befora a function at Lincoln Center, which is walking distance. Had fun at Italian restaurant on first floor. Met nice locals who gave me advice about getting around, and where to go. The club on the top floor was not a good place for singles. Music was very loud, and no way to strike up a conversation. Carnagie Deli around the corner. This was my first stay over in NYC, so can't compare to other hotels. I imagine most rooms are small. More important to be clean, and well located.	
Jul 26 2009 	Pleasantly Surprised	First time I've stayed here. And I'm always a little leary of the cool NYC hotel.The elevators are small and old. Considering that I would suggest staying on the 1st floor ---- although its really the 2nd floor. Why? So that after you've taken luggage up, you can use the stairs and bypass the elevators until check out.Beds are incredible. Bathroom nice and livable. Not big by any means, but no complaints here. 42&quot; plasma on the wall, adequate space around one side of the bed.Didn't eat here --- but then its NYC, why would I?Blue neon affect lighting and a 65 degree temperature room greeted me. NICE.I'll be back.	
Jul 26 2009	Most comfortable bed I've ever slept in	I just returned from a weekend trip to NY. I was traveling with my son and his girlfriend. We booked our room on priceline and was quite suprised at the room we got. The Dream hotel is in a perfect location. We were able to convienantly travel around the city from here. We were given a room on the 10th floor with 2 double beds. It was a large room by NY standards. The bedding was white and the softest I've ever slept in. The room was emaculant. I don't think I've ever stayed in a cleaner hotel room. We all slept very well. The room was so quiet that it was hard to believe you were in the city that never sleeps. The staff was excellent and very accomidatingI will absolutely stay here again	
Jul 24 2009 	Don't stay here... your room could be a closet!	Stayed two miserable nights at the Dream.... Our room HAD to be the smallest in the hotel -- literally 20&quot; of walking room around the bed (we measured). We asked to be moved to something at least a little larger, and they would only accommodate us with a 90 dollar a night additional charge. Room doors don't block out any noise. We heard every word and every step (even flip flops flapping) of anyone in the hallway within 10 rooms of ours. There's a nightclub on the ground floor, so folks were going to their rooms at 3 and 4 AM, and we knew it! (Not to mention the boom boom noise emanating from the floor below.)Don't believe the photos. The lobby is fine, and so is the location, but the room we got was absolutely unacceptable. The fitness center was not open during posted open hours. Room Service is from nearby hotel and has limited very expensive choices (even for NYC).	
Jul 20 2009 	Rude and unaccommodating staff noisy aging slow elevators cheap decor and impractical furnishings.	I waited 10 minutes for an elevator when I arrived. The staff were rude and unhelpful.I was traveling with my mother, and they would not provide a room with two beds. They explicitly indicated that because I reserved on Priceline, I could only have a room with one double bed (not even a queen!). At first, I was told no other rooms were available--even though I checked in at 3:00 (maids were barely finished cleaning). After repeated inquiries, they finally admitted a room with two beds was available. But it would cost $90 more. Since our stay was short, we decided to stay in our original room. But they had no cots! And the room didn't even have an arm chair. The dim lighting didn't hide the cheap decor. Noise was awful. The room was so noisy I could barely fall asleep.	
Jul 17 2009 	Good location funky hotel staff not so good	We stayed in the Dream Hotel for a birthday trip about 18 months ago. The hotel is a few blocks from Times Square so a good location, and just far enough off to not be too noisy and busy. The room was of an adequate size and clean, smart design with crisp whites and silver furniture. Turndown service included a weather report and fruit which was a nice touch, and the toiletries in the bathroom were of a good quality. VERY COMFY BED!! There was strange lighting which took us a while to work out how to turn off, it was blue! Also the bath was not full size which was a bit frustrating if you wanted to have a relax after a long day in the city. The hotel is funky, with a pretty exclusive bar on the rooftop, and a smart restaurant on the ground floor. We didn't use either during our stay. The main downside is the service. My boyfriend had ordered a bottle of champagne as a surprise for our birthday the following day - the surprise was ruined as when we arrived it was already there, not even chilled. We had it on our birthday and asked for an ice bucket - twice - what we got was one of their plastic bedroom bins with ice in. Then we realised when drinking that the bottle was actually sparkling wine. When we enquired we were told &quot;that's what champagne is in the States&quot; I don't think so!! They billed us for champagne and it was a real struggle to sort it out before we left. But a decent hotel with an interesting atmosphere.	
Jul 17 2009 	Really Noise	I stay in this hotel for 8 days... The room is really small, and the bathroom is really really old e poor. I stay in the 3Th Floor, and the noise is unbearable... there was a big AC machine close to the windows.Is you stay there make sure you are above 7th floor.	
Jul 13 2009 	Dreamy	Went to NYC for a show, romantic weekend and to celebrate our birthdays. At check in we were upgraded to a suite. Two bathrooms, large bedroom and &quot;living room&quot;. Corner room with great views. Bed was wonderful ! Apples on our pillows were a nice touch in the Big Apple! Blue lights were fun and different. The aquarium in the lobby was amazing! Enjoyed the rooftop bar very much. Yana was a great little waitress and Heather, events manager, was very nice. Who would have thought you could get a $2 hamburger or hot dog in NYC at a roof top bar??? Or have comped drinks??? Featured drink made with cucumber &amp; TyKu was very refreshing and light for a warm afternoon before going to dinner &amp; show. We stayed on the 8th floor and the bar was quite busy Saturday night as evidenced by the line for the elevators (one reserved for hotel guests only so this was not a problem) and noise was not an issue. Location was very good, Central Park, restaurants, theater all close by - short walk or short taxi ride. Front desk and bellman very helpful and friendly. All in all a wonderful place to stay in the city and would return.	
Jun 28 2009 	Better than expected	Based on the rather mixed reviews on Tripadvisor and other forums I have been quite sceptical about this hotel, but as we made a good deal through our travel agent, we hoped for the best - and find it better than expected. Lucky us, we get a &quot;larger&quot; room in the 9th floor on the backside of the hotel which means no street noise and no sound from the bar and the rooftop, which is a good place with a nice view in the evening. Comfortable queen bed, solid bathroom, space to store our luggage (incl. a wheelchair), good flatscreen and Bose radio - nothing to complain about. The blue lighting of the room - well...if you liked Miami Vice 20 years ago, you might find this enjoyable. Friendly and quick responding doormen and reception crew (had a little issue with the safe which took only 10 min between first call and problem solving). In addition, they warned us about the sensible sensor of the minibar which might lead to charges even without taking anything - nice move.Onsite Italian restaurant Serafina is ok-ish. Downsides? Not that many - except the wireless fee, which is ridiculous these days when you get access anywhere else for free.If you like Central Park, Columbus Circle and the uptown museums like the NAD, this place is to be recommend if you get a good deal. If not, check for some of the standard tourist hotels in midtown which are a better bargain.	
Jun 28 2009 	Chic "downtown" feel in midtown	Stayed here for one night with friends for my 40th birthday. Hotel was clean, staff was friendly and attentive. The decor is modern and sophisticated. Bathrooms are small but clean and updated. We had 3 rooms and everyone loved the beds - super comfortable. Because we only stayed for one night we didn't require a lot of storage however if you are staying for more than one night you may find that there isn't enough dresser space. All in all, a great birthday!	
Jun 19 2009 	This Dream can turn into a nightmare	This is a very trendy hotel with serious flaws. First of all, the staff treats you like you are bothering them. When we checked in we were told we had the best room in the hotel (we are i-prefer members). They forgot to tell us that the room was right below the night club, which is on the top floor of the hotel. The bass boomed so loudly in our room until 1-2 AM every single night that we couldn't sleep. One night one of the hotel managers reluctantly called up to the club and they agreed to turn the bass down (but that was after I made 3 calls to the front desk). The next night another manager crossly told me &quot;the club is a separate business, I can't do anything. You should have changed your room (we had one of the bigger rooms in the hotel and we were not about to go into one of the closet sized rooms that seem to populate most of the hotel).” I told her that if they wanted to pack up our things and move us we would, and she just blew me off. No &quot;I'm sorry,&quot; no apology, no nothing. That was the overall attitude of everyone in the hotel (except for one front desk person) any time we asked for anything, even to be connected to room service (they connected us to their restaurant instead). They constantly brought the wrong newspaper, they forgot to clean our room one day, the lighted mirror in the bathroom didn't light, and the door to the terrace we had wouldn't lock. Even a maid acted angry toward us because we weren't out of the room for her to clean by 11 AM one day during our stay. The phrases &quot;customer service&quot; and &quot;service with a smile&quot; are mostly unknown here. if you're young, hip, bring earplugs, and like dealing with rude people you'll love this hotel. If you're a seasoned traveler who has experienced really good hotels and service you might want to stay away from this one.	
Jun 18 2009 	A Dream come true!	This trip was a birthday present for my husband , and it was a dream for me , this hotel is a dream come true , the room is amazing , service amazing , staff excellent... i must thank all the staff for helping on the surprise i made for my husband ...i defenatly recommendthis hotel to a friend or famaly , actualy i already did it...	
Jun 13 2009 	Cool place good location	The location of this hotel is quite good: you are very close to Central Park and Columbus Circus, right next to a subway station with fast trains to Down Town and Time Square is not far either for the newest shows in town.Staff is young and friendly. The room service quite different, they focus on Pizza, which is a nice change and it probably reflects the fact that rather young people would stay in this hotel. The lobby reminds almost of a night club, with an aquarium right in the middle. The whole hotel is quite dark too. There are 2 bars, perfect for &quot;a last one&quot; before going to bed. The rooms are rather small, but comfortable - and after all, you are not in New York to spend much time in your hotel room. The room rates for ok too, so good value for money here!	
Jun 1 2009 	Stay away	I just don't understand the other reviews on this place. I've stayed in hotels in NYC for 20 years, easily over a dozen different places, and I can't remember one this bad. The hotel employees were not especially the issue; some were great and others obviously had no direction or initiative. It was the building and it was mainly form over function. The A/C units in each room, and I had five rooms, were all individual units and were entirely enclosed within each room--they were loud. We all opened our windows and had to turn off the A/C. Luckily the evenings were cool. And there was no full length mirror in any room. Furthermore, for families please be forwarnd that there is erotic art on the walls and statues in the hallways. It's by no means obscene, however, it's specific and from what I could see is advertising this hotel as a sex hotel for couples and very short stays. We were all there for four nights and the price was right with priceline, however, I would never chose this on my own.	
May 29 2009 	A real dream much more than could be expected	This was the most pleasant stay in a New York hotel in more than 15 years of yearly visits, far better than its place in the popularity index would suggest. There is something there for everyone, on every type of stay. So much has been said about it that I shall restrict myself to a few pointers. If you come for more than four days or are on a New York stopover in a long journey, you must take the largest room available, otherwise there is not enough room to store your luggage. You can ask for the minibar to be emptied; this gives you a fridge for your needs. Also, if the very soft mattress is too soft you can ask room service to remove the top layer; what remains is a firm mattress still very comfortable. The hotel provides breakfast, however if you like to start lightly in the morning, on Broadway there is a Starbuck's just a few steps away, many guests do carry trays to their rooms. More nourishing fare is available at the Café Europa, two blocks up Seventh Avenue, right opposite Carnegie Hall. And for daily snacks in the room, there is a supermarket on the corner of 57th Street and Broadway. Read what other correspondents have said about the noise, but if you like the clubbing and dancing scene there is plenty of action on the roof during weekends, with careful screening and ID checking by security guards downstairs to prevent minors and undesirables from entering. For relaxation there is a Spa based mainly on ancient Indian remedies. So we wish all of you as good a time as we had. - Amosh, Jerusalem	
May 24 2009 	Totally Dreamy	What a beautiful, sexy hotel! From the minute you walk in you know you are some place special. The staff is over the top friendly and helpful. The rooms are amazing, we had a suite and it was huge by Manhattan standards. The ethereal glow of the place made for very sweet dreams. I highly recommend this hotel for a special time in NY. If you are looking for something unique, look no further.	
May 24 2009 	A bargain in the right location with a great staff and a very nice hotel	The Dream Hotel is on the corner of 55th and Broadway. It has a restaurant with street side dinning on Broadway. The address is 210 West 55th. From here you are a short walk to 5th Avenue shopping or Time Square madness.There is a bar on the 14th floor as well as rooftop deck with a great view that gets pretty lively and a club like lounge off the lobby that heats up late. Beer at any of the three was $8.Every staff member I encountered was friendly, helpful and sincere. The hotel is well kept, clean, modern and everything worked. I had the smallest room available. There was a large LCD TV and a built-in desk. WiFi is $10 per day and worked reliably. This is a well renovated older building and as such the rooms are small. The bathrooms are very small. If you are looking for a large room and spacious bath look elsewhere. I thought the rate was very fair for a hotel of this caliber in this location. I stayed during a holiday weekend. The rate for Friday was $229 plus tax and Saturday was $259.The spa was great. I had a very good Ayurvedic massage.	
May 19 2009 	Small (SMALL) rooms and lots of NOISE!	Pretty hotel in nice location, but rooms are very small and the windows do not keep the noise out of the rooms. I stayed in 2 rooms, first room on 5th floor had LOUD turbine noise from the AC system on the ground floor. They moved me to the &quot;quiet&quot; side on the 4th floor but I still heard the turbine plus new noises from the ground floor and the bar on the 14th floor. I don't mind small rooms in NY as I work in NY about 15 times a year, but these rooms are smaller than most other hotels, you can barely walk around the bed.One positive is Serafina restaurant off lobby. Excellent breakfast (not cheap but outstanding) and maybe the best pizza outside Naples.	
May 17 2009 	Loved the Dream!	I spent 3 nights at The Dream hotel. I got a fantastic deal through price-line ($120/night) but was worried about the negative reviews. Here are some random observations and thoughts.I arrived in NY at 11 am and called to see if I could check in early. They said they were full but I could drop off my luggage and pre-register. I didn't end up doing that but got there at 2:30 and was able to check in then. I had leis shipped for a graduation I was attending and they were delivered before I arrived. I asked if there was a refrigerator I could use overnight. The woman at the desk said there was a minibar in the room, and that they could empty that for me so I could have room for the leis. I thought that was great.The room was very small. It was fine for just me but If my husband were with me, it would have been too small. The bed was a full size, there was a dresser with two drawers and a small refrigerator, a closet (with iron and ironing board), and a small desk with an outlet on top! Loved that convenience. The bathroom was also small (maybe tiny!) with a half tub.The TV is a flat screen mounted to the wall. There was about 24 inches between the end of the bed and the wall. I peeked in a few other rooms in passing and I'm pretty confident mine was the smallest. The bed is tall enough that I was able to slide my suitcase under it to save space.There was no view, just a building. There was a privacy blind that did bring in some natural light. I think the lighting was a bit dark. The bathroom had a magnified mirror but still, the light wasn't very good.The bed was heaven. That alone will make be go back! It had a feather top pad and fluffy pillows with a soft comforter. Loved it!!Service was outstanding! I forgot toothpaste and they brought some up right away. I started my period early and wasn't prepared. I called down and supplies were delivered. I wanted a glass of wine and the two bars were super crowded and LOUD and a gentleman at the desk got a glass for me and I was able to drink it in the lobby while talking on the phone. The housekeepers were very nice. I'm not sure if it was because I was expecting rudeness, but the service was just superb. Plus they emptied the minibar.The hotel is very trendy and has a few popular clubs but even though I am pushing 50, It wasn't obnoxious. This hotel would be perfect for young people who party!The location was fantastic. Wireless internet is about $10/day. Next time I visit NYC I hoe to take my children so I don't think I would stay here unless they have suites but If I happen to visit again, I would stay here. The bed was a dream!!	
