	Charged over 108 USD for a phone call!	Unfortunately i had a relative pass away and urgently needed to use the phone to call home. I did - there was no information or due warning regarding the potential extortion price of one phone call. One 12 minute call and i could have stayed in a better hotel for night.When i asked to speak to the manager he was no avaliable and would not be avaliable tomorrow either. I walked out upset with yet another crampy hotel service.The way i was spoken to was a joke, i walked out and vowed to write a review to inform everybody else of my wrong doing... i should have brought a phone card, but at a urgent matter arose i thought best to deal with the situation at hand.I would tell this manager, you cant charge this price, without due information avaliable on hand, as was the price listed in all the other US hotels, i stayed in..	
Sep 20 2009 	Perfect for students on a budget not wanting hostels!	I've just returned from a ten day stay at Hotel 31. I had a two bed twin room with a view of the Empire State Building, which is mere blocks away. Our bedrooms were small, but immaculate and the bed was suprisingly firm and comfortable! I normally find hotel beds impossible to sleep in, but for a budget hotel I was incredibly suprised. We had aircon, though noisy, you won't notice it as you'll be so tired from your days out in NYC you'll drop off to sleep quite easily!We had a television, sink, mirrors, good lighting, blind, desk, and storage in our room. The shared bathroom was better than expected! Perfectly clean, and a choice of two! A bit of a fiddle to figure out how to use the shower, but it was always strong and powerful! We were also in walking distance of almost everything! We quite happily walked down to Soho and back, and up to Central Park and back, perhaps not for everyone, but walking around is the best way to see New York. We ate breakfast every morning at the cafe on the corner of Park Ave and 31st Street, and were always welcomed with open arms there by the lovely staff. There's also a charming restuarant next door to the hotel, serving delicious pastas and pizzas! **I couldn't fault Hotel 31, espeically at it's price and it's fantastic location. I've stayed up near Times Square before, I'm a city girl, but the noise was too much at times. The Gramercy Park/Murray Hill area was perfect, full of bars and restaurants. The subway was just around the corner, and taxis always stopped for me.	
Sep 13 2009 	Definately worth recommending !	This place is within walking distance to 5th Ave, Times Square etc. It was perfectly clean, well kept, bedroom was fairly small but definately big enough for us to sleep in and have all our stuff sprawled around - perfectly funcational. Room was cleaned every day, new towels etc. TV, radio, air con, toiletries, hairdryer provided. We discovered towards the end of the stay that they have a supply of ice down on the ground floor for those hot summer days aswell ! It was so nice and quiet - not what I'd have expected from a midtown hotel - we even had a view of the Empire State building from the bathroom ! Don't expect to have long baths though - bath was very small, but didn't matter for us. We stayed 7 nights and had no probs at all. Good value for money	
Sep 6 2009 	Great value on a budget. Charming and overwhelmingly adequate.	Looking to save some money on a weekend trip with a friend, we booked a two-twin room with shared bath. For the traveler who spends minimal time in the hotel and doesn't require all the amenities, this was a steal. The shared baths were incredibly clean, and always available. Only issue was that hot water was low on supply after 10AM. Room was adequate, with a good (though loud) air conditioner. I might recommend packing your own pillow-case, as the inevitable city hotel odors and allergens might interfere with an otherwise great sleep.Great location, close to subway and restaurants, walkable to Village or Midtown. Highly recommended for a quaint NYC experience.	
Sep 1 2009 	Great little budget offering in a good NYC spot.	Like many previous reviewers, can't really fault this place. Booked as a way of allowing ourselves a bit more to spend when out and about in NYC, no bad thing given the myriad opportunities there are to part with your dollars in the City! Clean and comfortable room, with old noisy, but working air-con unit. Very helpful staff, and spotlessly clean shared bathrooms, which was our main concern before visit. If you can live without luxury without wanting to rough it, I think its a great choice and a great location in a great City!	
Aug 30 2009 	Great Little Hotel-Great Location!	We stayed here for a few nights last year arriving on Thanksgiving Day. The hotel is very traditional New York style. The staff were extremely friendly and helpful upon arrival. The room was old fashioned with all different coloured wall paper and furnishings but very charming and comfortable. We had a problem with our heating as the (antique!) radiator was leaking and was either boiling or cold and hot steam was coming out of it, the maintenance man soon dealt with it for us. Although the bathrooms were shared I never once saw another person using the one closest to our room, it was always free and always immaculate and clean. The best thing about the hotel is the price considering the fantastic location. It is extremely close to the empire state building and lots of shops (perfect for the black Friday madness!) and plenty of restaurants.	
Aug 25 2009 	Hotel 31 was OK but the cab driver they arranged :/	I generally enjoyed my stay in Hotel 31. It was very close to the Empire States and there was a subway station nearby and I saw many Japanese restaurants around. Actually it is not that important, because you're at the heart of Manhattan, you can go wherever you want very easily either by walk or by metro.The rooms were OK, but very small. I had a lot of bags and stuff, maybe that was the reason I found the rooms small. We didn't have a bathroom inside the room. But there are 2 shared bathrooms in our corridor and every time I found one available. In the rooms, there were a TV, sink, mirror, towels, air conditioner-which is noisy and pretty old-, bedside tables and a chair etc. I didn't see any roaches or bugs. Everything was clean and proper. Bathrooms were also clean. The general atmosphere was very nice. The hotel has a cinematographic and film noir style look which I liked very much.The only thing that I can complain about was the cab driver the receptionist arranged for me to go to JFK airport. It was not a usual yellow cab. The driver asked me more than we spoke with the receptionist. Actually the price that the receptionist asked was already higher than the yellow cabs and at the end we paid extra extra more than the normal price.I was treated as a tourist in a bad way which bothered me of course. I really didn't like it. For the next time in NYC, Hotel 31 won't be at the top of my list only because of this.If you stay at this hotel, and need a cab, make sure how much you pay both with the receptionist and the driver.	
Aug 23 2009 	Great clean and close to Times Square!	This hotel is a bargin, we loved it! The rooms aren't too small, we have stayed it alot smaller. The room was clean and the shared bathroom was not a problem at all, they clean it alot during the day and night, always felt very clean and never had to wait to use it. We wanted to stay longer but they were booked out! Only downside would be not internet and there was not natural light in our room so felt like night all the time.	
Aug 18 2009 	Best budget hotel in New York	I went to New York over Christmas on a budget and did a lot of research on budget hotels around central New York. There seemed a lack of decent budget hotels in a good location; however, Hotel 31 seemed the best of the bunch.My expectation were very low, however, I was pleasantly surprised when I saw our room. I was a decent size for NY, where rooms are really small. The room I stayed in had a comfortable double bed, desk, wardrobe, drawers, sink and mirror and still had plenty of room to walk around in. Perfect. The rooms were a bit dated, but to be honest it was in a good way - as in it added to the personality of the hotel - it was like being in 60/70's New York - again in a good way! =] . The rooms were very clean.As a buget hotel it had shared toilets and showers which I was a little worried about. I shouldn't have been as these were checked and cleaned constantly and were always spotless.The hotel is also in a fantastic location and is a brilliant central spot to see all the sights.The hotel is a no frills hotel, a budget hotel, but it has a lot of charm and is an excellent choice for those on a tight budget.	
Jul 28 2009 	Excellent hotel very clean staff helpful!	Anyone who moans about this hotel, pay extra and get ripped off somewhere else!! We arrived at this hotel with mixed reviews but from start to finish we received nothing but a friendly service and the cleanest rooms and bathrooms ever. Can't wait to go back and would recommend this hotel to anyone!	
Jul 24 2009 	Basic simple but efficent	If you don't want to spend alot on accomodations and your looking a for a decent, clean, very basic, place to sleep then I would recommend this hotel. My cousin and I stayed in a room with a double bed and a shared bathroom. They kept the place very clean, I thought the shared bathroom might be a problem, but whenever I tried to use it, it was always free and very clean. Great location; walking distance to Grand Central and Time Square, one block away from the #6 subway line. All in all, I was very satisified.	
Jul 22 2009	Clean with great location	Hotel 31 has a great location for its price. The room and bathroom were truly clean and the housekeeping staff very polite. Our room was very small but we could manage. The only &quot;under average&quot; is due to lack of service at Reception: the personnel did not know the surroundings of the hotel at all, or what's happening. Otherwise they were very friendly, nothing to complain about it. Just to let you know: there is a very good cafe/diner with internet connection some 3 blocks to the west along 31st Street and then turn to the right on Madison Avenue; enclosed a photo.	
Jul 20 2009 	nothing is for free you get what you have paid for	Consno wireless, dark rooms, the slowest lift in the world... 8 floors in 5 minutes... frustrating in the rush tourist hoursProsthe location is good and the hotel is cheap and clean, that's all folks :)You think someone is ready to give anything for free? You are in Manhattan baby.... I would suggest to spend some more dollars and get a better hotel but, if you can't... this is affordable.Ciao	
Jul 18 2009 	Unique	I cant imagine I could ever have a more memorable week in a hotel. Indeed it is clean , small and no waits for shared bathrooms. Our bed was small and hard and the sheet so thread bare you could see the navy blue and flowered pattern of the mattress through it. However!!!! NYC is the best city in the world..... and Hotel 31 only added to the memorable time we had in the big apple. We had a basin in our room, a tv we watched the historic welcoming of a new president. Best pizza (and Upper Crust in Boston) on the corner!!! Madison Square Garden on the same road. Check out 'Apple Greeters' to on the things to do list. Get a local to show you the real NYC.	
Jul 13 2009 	Price can not be beaten pretty good hotel too	Stayed for 2 nights, shared bathroom (x2 on our floor) was always clean and always one was free. Price is great, location in mid town is good as well.No bed bugs, no complaints at all. Plenty of places to eat nearby from cheap (dunkin donuts etc) to some nicer places.	
Jun 22 2009 	Good value mid	If you are after a good value mid-range hotel that has just the key essentials but is well located in manhattan, then this is a good option. Not the best option for an extended stay in real comfort but well suited to a few days of touring NY. Our room was small but always very clean and included the key essentials. Shared bathroom down the hallway was also very clean and almost never busy. Good eating options nearby including japanese &amp; cheap pizza place immediately adjacent, plus plenty of other good options within 500 metres. Subway 2 blocks away and Empire State Building within a few blocks and partial views of it from our room. Staff were always helpful and responsive with our needs. Would stay here again without hesitation.	
Jun 21 2009 	Great value for Manhattan	Stayed there three times already because there is no other hotel with this combination of location and value for the money. Rooms are small, but functional (bed, chair, sink, TV, small desk/drawer, no real closet). Shared baths are cleaned several times a day. Subway station is one block away. Grocery, restaurants close by on Lexington Ave.	
Jun 15 2009 	Great value for Manhattan	I was very worried about staying here and almost rebooked due to the stories of bed bugs. I was very pleasantly surprised by the stay. The hotel is very small and I think that as Americans we have become accustomed to sprawling hotels with many areas to relax an so forth. This is a very old building and built for a purpose - to sleep; therefore, the lobby is very tiny and so is the elevator. There are no frills what so ever, but it was not a problem with me.  I personally would rather spend my money on dinner, shows or shopping than pay for over priced hotels in the same area. The location is great. 11 short blocks from Grand Central Station and about 1 1/2 blocks to the nearest Subway station. Not sure how many blocks away it is but, from one of the bathroom windows, you could see the Empire State Building. It was illuminated in yellow, blue and green on our visit. There is a great little Sushi restaurant right next door plus a pizza restaurant on the other side with outdoor dining. The wrapped around the corner is a nice little Italian restaurant and a BBQ place across the street (Lexington Ave). One block up is 3rd Ave and we saw several bars/pubs, restaurants.  The bathrooms are very tiny and our room was too but I think the sizes vary. Everything was clean and did not have to wait for the bathrooms. I'm happy to report NO bedbugs. However; I did find a large cockroach in the bathtub one night but I've seen cockroaches at expensive hotels before too. ADVICE: I would recommend bringing your own towels as they give you two and are very thin. Also, they only give you 2 pillows for a queen bed so if you like to hug a pillow at night, you might want to bring your own. I never called down but they may have supplied us with one.  Also, they offer a car service to the hotel for $55 USD but it only cost $25 USD to LaGuardia at 5:30 Sunday morning. Could be as much ast $30 with more traffic. Never a problem catching a cab out front of hotel either-not even at 5:00 in the morning.  If you don't want to spend hundreds of dollars on a namebrand over-priced hotel and don't care about the amenities, book this hotel. It was a great pleasure to find this place. I cannot wait to go back to NY and I will definitely stay here again. For $93 USD a night, you just cannot beat it.  If you have any questions, I would be happy to help. Just send me an email.	
Jun 9 2009 	Would stay again! Perfect!	We stayed 3 nights in this hotel. When we came into the room, we were happy about it. Because of the bed bug stories, I fist checked the matrass for any signs, luckily there were none. The shared bathrooms were always very clean and we never had to stand in line. The location is also perfect. I would choose this hotel again for my next stay in manhattan!The only complaint comes from my boyfriend: the tv channels were sometimes badly received. But if that's the only thing... you're not watching tv when you are in Manhattan!Also the employees were very friendly and helpful.Have fun in Manhattan!Sandy and Rens	
Jun 6 2009 	Excellent budget hotel.	We spent 5 nights here and were a little worried what we would get. We had opted for shared bathroom to save some money. We were pleasantly surprised by the room. Not as small as we had expected in fact the one we had was quite spacious. The shared bathroom was spotlessly clean and was always available when we wanted it. Hotel location excellent , walked everywhere. Will stay here next time we are in NYC.	
Jun 2 2009 	Great hotel for the money	When i booked this hotel, i did not expect a lot, it was realy cheap 119 cnd per night. I was realy supprised. The room was super clean and so was the shared w.c. For sure the elevator was realy small, you feeled a bit squezed in the small corridor and it's in desparate need for a major decorating investment but, who realy cares? The location is great and we were able to bring our lugages early in the morning and i left them there late at night the day we were leaving. (no extra fees)so if you are looking for something pratical, close to everything and clean, don't hesitate.	
May 30 2009 	Disappointing	Location was great, but service was not. Asked for a wake up call, which never arrived and caused me to miss my bus to Boston. Hallways felt cramped and how can a hotel in New York City not carry CNBC on their televisions?	
May 27 2009 	Good location.. that´s about it..	I stayed here for 4 nights and my first impression was good. A clean hotel and good location. We booked a double room with shared bathroom and there were two bathrooms in the hallway. Bathrooms were clean and got cleaned every day. The room was ok size, with a TV, Air con and sink. The room felt very old but ok for a budget hotel. On the second day I saw a cockroach in the first bathroom and got really disgusted, and after that they seemed to pop up everywhere - I even found a huge one in the bed!!Overall if it wasnt for the cockroaches I would say this hotel is ok, if you are on a budget. But I would never stay here again.	
May 26 2009	Bedbugs and terrible customer service	My mother and I stayed at Hotel 31 for 3 nights in late April 2009. We are easygoing travellers who often stay at hostels or other basic accommodations - we're aware of the high cost of hotels in NYC, and were expecting nothing more than clean and reasonably maintained accommodations. After the first night, however, we decided we had to request a new room because of the peeling wallpaper, bent venetian blinds, dirty-feeling carpet, and poor lighting. We were moved to a new room the next night. This room was in somewhat better repair, although still quite dingy, and we were ok with it. However, when my mom woke up the next morning she had, much to our disgust, been bitten by a bedbug - there was blood on her nightie and a bite on her skin. I actually managed to capture the engorged bedbug that was crawling on her sheets and stick it to a post-it note, which I gave to the hotel manager the next morning. (It was definitely a bedbug - I have researched the subject for my work as a poverty lawyer in Vancouver.) The manager took the sample bug and said he would get an exterminator in right away and move us to yet another room. He also said that it was important to deal with this because he didn't want it getting on the internet. We were then moved to a very nicely renovated and decorated room on a different floor, totally different in character from either of the two other rooms, which had been quite dark and dingy with poor lighting. However, in this room the telephone was not working - I checked at the front desk and they confirmed that yes, the phone was broken and there was nothing they could/would do about it. Their solution was to give my mother the keys to our original room 4 floors up (the one with broken blinds and peeling wallpaper) so that she could use the phone to call home. The day before we checked out, we indicated we were unhappy with our experience and wanted to speak to a manager before paying our bill. No manager was present during the last 24 hours of our stay and no-one we spoke to seemed to show any concern about the various problems we had been having. So when we checked out we didn't sign for the bill and asked that they not charge our credit card until a manager had called us. We even left a note indicating they were not authorized to charge the card until they had called us, and giving our phone number. Foolishly we did not block the credit card, and it was charged anyway and no-one ever called us! Apart from the risk of being exposed to bedbugs, this is shocking business practice and I would discourage anyone from giving this hotel their custom.	
May 22 2009 	Bed Bugs and Management Without a Clue about Customer Service	We spent three nights in this hotel, in a different room each night, because .... first night room was not, as advertised, recently renovated (see IrishMike's review); second night, bed bugs bit me ----- we took one blood-filled, squashed bug to the front desk, who called in fumigators; third night, the room's phone didn't work &amp; we were told there were plenty of phone booths around the corner. Could we get the managers to talk reasonably about this? No way. I called them from when I returned, but couldn't get anyone to return my calls. It was as if they were the angry customers, out of control, verbally abusive, denying there were bed bugs, and deaf to their customers' reasonable request for some adjustment to the bill. I've never heard anyone in the service/hospitality business speak so rudely to customers. They haven't a clue about customer service.	
May 11 2009 	Great value for your money!	Great location and service in this hotel. The rooms are small, but they are clean. Just a block away from the Chrysler Building, and you can also see the Empire State Building from your window! I would recommend this hotel to backpackers, young couples, singles and people who generally want value for money!	
Apr 13 2009 	central cheap clean and safe what more do you want!!!	great hotel!!we checked in on 4th April with no problems we booked via hostel bookers for $880 for four nights two rooms for a family of six,one on suite one shared bathroom, I was waiting for a problem because it was so cheap but it was wonderful! My husband is a wheelchair user and they kindly stored the wheelchair for us every night to save taking it to our room the staff were friendly ,we have stayed at an upper class place in the city and the doormen had their hand out for tips every time we went in our out so it was nice not having to pay tips constantly.There is so much in walking distance Empire state,times square,top of the rock Macys I could go on and on! I also loved the cafe on the corner called Guy and Gallard they did a great cheap breakfast the kids loved Wendys for massive burgers . Our room was spacious with a clean bathroom safe and a coffee machine and lcd tv also a great view ,my sons room was a small room but it was clean and the bathroom was right next door. When I go back to the wonderful city of New York I will look at hotel 31 again	
Mar 23 2009 	Cracking Value for Manhattan	My girlfriend and I stayed in Hotel 31 for seven nights in March 2009 during a week-long holiday in New York. When searching for accommodation we were looking for something at a good price and preferably in a good location. We looked at hostels initially but then found this hotel at a great price (£60 a night for a double room) and in an amazing location on E31st, just three blocks from the Empire State Building and a block and a half from a subway stop on the green line. On arrival we checked in immediately and found our room to be a reasonable size, with a double bed, wardrobe, sink, hairdryer and couple of bedside units. The room had a dated feel to it, with lots of dark wood and old-fashioned wallpaper, but it was very clean (and to be honest we didn't mind the decor in the slightest - it added to the experience). There was a large single window in the room, overlooking a narrow alleyway and a brick wall, but you don't go to New York to look out the window!Bathroom facilities were shared, down the hall, but were immaculately clean. During the week we never had to wait to use them once. The room was also very quiet, and although we were aware of other people on the floor there was hardly any room noise from adjoining rooms or the hallway. Location, as noted above, was great. We were easy walking distance to the Empire State Building and no distance at all from a subway stop. The area around the hotel had plenty of restaurants (try 2nd Avenue Deli on E33rd), convenience stores, a post office, ATMs and internet cafes. There's also a great diner (the Murray Hill diner) a few blocks away that does a breakfast menu at a good price. All in all, the hotel is an absolute bargain, given the location. However, for the avoidance of any doubt, it is worth saying that if you are used to staying in major hotel chains then this will not meet your expectations. On the other hand, if you are used to hostels and small hotels in big cities, or if you just want a safe, clean place to sleep while in New York without paying the earth for it, then you could do a lot worse than Hotel 31. I would stay here again and I would recommend this place to anyone.	
Mar 13 2009	great location	Stayed at this hotel for 5 nights in february. Excellent place. Ok i agree the wallpapers were old and didnt match the bedcovers bue who cares???Had a really good stay except it was a bit cold coz there was like 1cm freezing air coming in between the AC and the window...got a cold but appart from that, great value	
Mar 9 2009 	Location and price	Stayed at Hotel 31 for three nights recently, room and bathroom though not modern decor were spotless, front desk extremely helpful, it's location is fantastic and after a long day at the attractions and shops it was great to pop to the little italian on the corner or the chinese next door. I would certainly stay here again, ours was room 515 and it was spacious with a double and single bed, coffee machine, tv and hair dryer	
Mar 2 2009	Great price great location	I affectionally call this place the &quot;Funkytown Hotel.&quot; It's OLD, not updated at all. There was a little peeling wallpaper in my room, and except for a few rooms, the bathroom is down the hall. That said, it's economical, safe, quiet and clean. That's a hard combination to find in NYC. There's no internet connection, and the TV (and the room) is small, but it's a block and a half from the subway. At 31st and Lexington the location is great, and you can spend that extra money on NYC itself. If you're going to socialize in your room this isn't the place for you, but it's great if all you need is a safe bed to sleep in.	
Feb 24 2009 	The best start	We loved Hotel 31! It's a not too expensive hotel in the expensive part of Manhattan. We started our honeymoon through the USA at this hotel. Hotel 31 is clean, quiet, the shared bathroom was very clean., staff is very nice and helpfull. And you even have a hairdryer and stuff in your room!!! a 2 minute walk to the subway, Starbucks around the corner, as well as other places to eat or drink. O yeah, defenitely will come back here!	
Feb 20 2009 	You get what you pay for - and then some	We booked two rooms with shared bathrooms for three nights starting February 13, 2009. We arrived very early in the morning and thankfully our rooms were ready for us. The front desk clerk was very helpful and answered all of our questions before handing us our keys. Based on the price I was paying for each room ($74 a night CAN plus taxes) my expectations were low even though most of the reviews I read on this forum had been positive. Both rooms were clean and the bathroom was right next door. I was concerned that the bathroom traffic would keep us awake, but it was not an issue. Each room had a sink which is what you often receive when travelling in Britain. Both rooms had a very small television and one room had a small safe. The view from both rooms was non-existent – a brick wall and a very, very narrow alley.Unfortunately, both rooms were overheated. When we asked if it was possible to lower the temperature we were told to open our windows and the heat would turn off. Not an ideal or efficient solution, but it worked and we were able to have a good night’s rest. The bed was a reasonable size and was comfortable and the linens were changed every day. The bathrooms were clean and we did not have to wait. One afternoon someone made an absolute mess of the bathroom (don’t ask, it was horrible). The dirty bathroom was not the fault of the hotel but an unthoughtful fellow traveler. I reported this to the front desk and they promptly cleaned the bathroom and it remained clean for the rest of our stay. I did have to wait 15 minutes for hot water one morning, but this was not a hardship and did not recur for the duration of our stay.During our stay we received excellent service and found the hotel to be clean, quiet, and centrally located. After checking out, we were allowed to store our luggage for a small fee for most of the afternoon – a nice bonus.Would I stay at Hotel 31 again? Definitely. You can’t beat the location or the price.	
Jan 19 2009 	Awful hotel	Stayed here in January 2009 for 4 nights and it was awful. The bedroom was small and hadn't been decorated in years. The walls had a number of holes in them. Light in the room was extremely dim and i could hardly read my guide book by its light. Also the air conditioning was completely broke. Walking into the room was honestly like walking into an oven. I know you appricate a warm room in january but the room was very small and the air was turned up to the max and couldn't be adjusted downwards. I slept with the window open every night and it was still uncomfortably warm. Air conditioning was also quite noisy making it difficult to sleep. Other minor problems included alarm clock not working so i didn't wake up on the first morning when i wanted to and very poor reception on the tv. Also some of the staff were quite surely and unfriendly. The biggest shock however came when i went to check out and was charged an extra $45 for making two international phone calls that lasted between 5 and 6 minutes each. Both calls were to a landline in ireland. I did expect a charge for these and foolishly never checked the cost with reception before ringing. But $45 really is just pure greed for less than 12 minutes on the phone. This hotel was honestly the worst of my life and i can not recommend it to anybody.	
Jan 3 2009 	Clean cheap and good location	We stayed in this hotel for 6 nights in december 2008. Rooms are very small and quite old-fashioned in terms of furniture and decoration, but the hotel is very cheap and is located very close to the ESB, within walking distance to Times Square and to most touristical spots. We had booked a room with private bathroom, which was very, very clean, included toiletries and had as much hot water as we wanted. The hotel is also only a street away from a subway station.The only problem I found regarding the room was the very noisy refrigeration system, but we were so tired at nights when we reached the hotel that it did not even bothered us.	
