	For the money you can find a better hotel with better service"	The location is great! But the service was awful! The rooms were large for New York standards.	
Nov 9 2009 	Great location! Excellent hotel staff especially Michael!	Excellent stay. The room was very spacious with a small living room, microwave and fridge. And clean and quiet, too. The front desk staff were very friendly and accommodating, especially Michael. Each night, after returning from a long day of touring - Michael welcomed us with a warm smile and delicious cookie! The location is perfect.... right across the street from the half price tickets to broadway, close to Rockefeller Center, 15 minutes walking to Central Park. The Duck boat tour is exactlly 5 steps outside the door. Getting to the hotel is very easy. We took the express bus from Manhattan. It stops first at Grand Central and then Port Authority (42nd and Eighth). Get off at the second stop and walk to Times Square. The hotel is on the left side of the big Coke sign. Double Tree hotel in Times Square is at the top of my list for New York hotel recommendations. I look forward to staying here again.PS: There is a TGIF restaurant and electronic shop next door. Look up at the surveillance camera and call someone you know on the cell phone! www.earthcam.com/	
Nov 9 2009 	Excellent Hotel!	We were very pleasantly surprised with this hotel. Service was excellent, right from our arrival at the hotel to check-out. We have been to NYC quite often but this was our first time staying in Times Square. Location of the hotel was great and noise was minimal. The rooms were a little tired and may be in need of renovations but all in all, we were very happy with our decision to stay here.	
Nov 8 2009 	Best value in NYC!	Four friends in one hotel room. This was the only place in town where we could all fit comfortably and stay within our budget. Having a fridge, coffee maker and sitting area in addition to two double beds was very convenient and the location was central to all of our sight-seeing. No amenities like one would expect in an all-suites hotel (like free-WiFi or continental breakfast) but the ability to cram 4 of us in a room for the same price as one room with a double bed in the W would have cost was totally worth it.	
Nov 5 2009 	Every Stay is like Going Back Home!	I have stayed in dozens of hotels in New York City and, by far, this hotel offers the MAXIMUM in service. When they say they want to be a 10, THEY MEAN IT. I get points at the Hyatt and the Starwood Hotels (Westin) but their service doesn't come close to the Doubletree so I have chosen to stay here when I travel to the city for business. I feel comfortable, I feel secure, every request I have had has been granted - there is no reason to stay anywhere else! Marcos, their number one bell hop ALWAYS welcomes me back. Hanna, the sweet and beautiful hostess at the restaurant makes me feel as if I am the only customer in the place. I cannot say enough about these fine people. To be remembered and treated so kindly everytime I return is a RARE GEM for a large hotel.	
Nov 1 2009 	Fabulous hotel location and holiday	I travelled to New York with my two teenage children in October half term, and chose The Doubletree Guestsuites because we wanted somewhere central. I wasn't disappointed one bit. The location couldn't have been better. We were right in the middle of Times Square where it really didn't sleep. However, the hotel rooms are all located on high floors and the heavy drapes helped to shield out noise and lights so it didn't affect our sleep when we finally decided to lay our heads down. What was also so great about the locations was that we were able to walk to see a show in the evening, walk to a range of restaurants includng TGI Fridays and Planet Hollywood, walk to Macy's, Fith Avenue and most of the good shopping areas without exhausting ourselves or getting blisters. The hotel was even in walking distance to the Empire State Building, Rockerfellers and Central Park. I would definitely advise people staying at the hotel to walk to your locations as much as possible, as you soon get to find your way around and you also see so much more. Besides, the traffic is so hectic, that often enough, it is probably quicker to walk than take a cab. The only times we needed to grab a a taxi was when it absolutely poured down and when we needed to get to the harbour to get a boat to take us on a tour. For those wanting to sightsee, I would recommend both Rockerfellers observation deck, as well as Empire State Building. We went to Rockerfellers in the daytime and Empire at night. It didn't close until 2am so we went at midnight. Brilliant choice - no queues and lit up New York at night was breath-taking. When we got out, we were offered a limosine ride back to the hotel for a mere $20. Needless to say, we accepted and it was great. I would also recommend the Circle Line cruise, which takes you down the Hudson, where you can see Manhattan Island, as well as the Statue of Liberty, Brooklyn Bridge and many other main attractions. I bought a New York Pass which I used to get into most of the attractions. I haven't worked out yet if I managed to save money, but it probably saved us a little time from queueing. Although, in all honestly, we never experienced any major long queues anywhere. For those who love to shop, there is great variety. There are the top class stores but if you search, you will also find some reasonable priced discount stores. There is something for everyone but I wouldn't say you would be able to find anything cheaper than you can in England. I loved Macys most. The same goes for eating out. I didn't think it was particularly cheap but probably what you would expect to pay in most restaurants in London. Alcoholic drinks, I found were overpriced. I remember paying anything from $16-$22 for a double Baileys. And when I thought about buying a bottle in, I was horrified to find that the hotel could supply a bottle for $110. One of the great things about the hotel, other than the location, excellent room, facilities and service, was that we were allowed to bring in our own food and drink. This was particularly useful as my two teenagers were able to nip out late at night and bring in a MacDonalds from next door when they felt peckish. There were even mornings, when they fancied MacDonalds pancakes for breakfast. The room had both a fridge and a microwave, which meant if you do want to cater for yourself a little to save money, you can. It certainly helped me out with my two teenagers who constantly wanted to snack. All in all, we had a wonderful time. If you are thinking about going, do so. It really is a fantastic place to visit. Oh and if you go to Central Park, I would definitely recommend the little bicycle cab rides which will take you on an hour guided tour. We had a fantastic time, the guide was hilarious and showed us so many landmarks and could tell us about practically every location within the park which had been the scene for numerous films and TV shows. It cost about $80 for the guide but he really did earn it and it was great fun and Central Park in Autumn was truly stunning. The three of us loved New York. Both of my children want to move there. I wouldn't go that far but I am planning on going back in a couple of years, but I'd like to make my next visit at Christmas time.	
Nov 1 2009 	Great hotel	Wow! This was my 7th trip to Times Square in 3 years. I'd never stayed at the Doubletree before, as we're members of another chain's rewards program. But, at the last minute I had the opportunity to travel to NYC and booked what was really the only reasonably priced room in the area.Upon arrival at 10 am, I was delighted to find a room available. When we got to the room, I was blown away by the view, overlooking Times Square, not to mention the size of the room, it was huge for NYC standards. I was a bit concerned since we were located by the elevators, but because of a hallway leading from our door to the bedroom, elevator noise was not a factor.I would definately recommend this hotel to friends, as well as stay there again of the opportunity presented itself.	
Nov 1 2009 	Friendly and helpful staff spacious rooms great location	I have just returned from my second visit to New York City with 3 friends. I could highly recommend this hotel to other travellers. From the moment we arrived we were made to feel very welcome by all the staff esp Daniel. Our suite was more than adequate with a fridge, microwave etc etc. The cleaning and house keeping staff were very helpful and nice. Room was spotless when we arrived and it was serviced every day.The only criticism that I have is that when you switch on the tv, the entertainment package comes on automatically which you have to pay for if you use-we weren't aware of that and ended up buying a music package that we didn't want.I will def return to this hotel and would highly recommend it to fellow travellers.PS The welcome cookies were delicious- thanks Daniel :-)	
Oct 31 2009	Best location in the heart of NY	This was my first time in NY. I researched online for over a month before I decided to stay at the Doubletree in Times Square. I don't regret it. Although pricey you just can't beat the location. The double decker red tour bus was right across the street from the hotel. Also, there is a fairly new Walgreens along with a Metro station within easy walking distance. The location is excellent. The room was clean and service was great. I would recommend the suite style room for any family. We stayed in a suite with sofa-bed and two double beds in a separate room. It was a very comfortable room, and as I understand roomy but by NY standards.	
Oct 30 2009 	Recommended family hotel in the best location	Clean, safe and excellent location. I'd recommend Doubletree for families, since the rooms are big, have a fridge and the location is so good. Whenever travelling with family we return here.	
Oct 28 2009 	Truly outstanding - but avoid the concierge!!!	The hotel was excellent in virtually every way - but I'd advise anyone to give the concierge a miss.The rooms are huge by NY standards, and ours was pretty much silent (we were on a low floor facing Times Square which I would guess would be the noisiest part of the hotel).The location is perfect if you want the bustle of the square, but it is pretty vibrant around the hotel, particularly late at night so think about this.The employees of the hotel are truly outstanding. We were asked &quot;is there anything we can do to make your stay more enjoyable?&quot;, on a number of occasions. There wasn't. The breakfast buffet is comprehensive and we skipped lunch most days - the team in the restaurant were really friendly and I have to single out Steve, who was on the egg stand one morning. My wife ordered waffles, and Steve was talking her into having two. I mentioned that it was her birthday - and Steve's face immediately lit up and wished her a happy birthday. He then dashed off through a door to reappear moments later clutching a bag with a couple of tins of Doubletree cookies - and told my wife that the entire team at the hotel wished her a happy birthday. A truly lovely gesture from an outstanding ambassador for the hotel.The bell-hop team were excellent as well (we do tend to leave NY with more luggage than we arrive with)...Now the bad bit - the hotel appears to have &quot;outsourced&quot; its concierge to a third party company called Continental Guest Services whose team was very poor. Firstly, the Mexican restaurant which they &quot;booked&quot; for us didn't have a table when we arrived, and then told us that they didn't in fact accept reservations. We were offered the chance to wait for a table but declined.On the day of our departure, we booked a car to Newark airport - and paid $114. While one of the team arranged this, we couldn't help but overhear a female member of the team, telling a more junior member of the team how to sell theatre tickets to unsuspecting guests. The &quot;tips of the trade&quot; made me think that I would never, ever buy tickets from a hotel concierge again, and immediately made me think we'd been ripped off.One of my buddies told me that this was way over the odds, and arranged an alternative at 1/3 less than this. The booking confirmation arranged by the hotel concierge stated that the booking could be cancelled with more than two hours' notice but team initially claimed that all sales were final and non-refundable. After some prompting from me, and a debate with the woman mentioned above, they agreed to refund my money.So...., all in all an excellent hotel. Great rooms and brilliant staff who all want to &quot;go the extra mile&quot;. But my tip would be to avoid the concierge like the plague, and my tip for the hotel management would be get rid of the outsourced concierge company and employ people more in tune with the rest of their staff.	
Oct 26 2009 	ALL LEVELS OF SERVICE EXCEPTIONAL	From our arrival to our check out we received exceptional service from everyone at Doubletree. Freindly and accomodating staff. Clean and comfortable room with a beautiful view. The cookies were a delicious treat. We had a wonderful 7 day vacation in the heart of New York!	
Oct 26 2009 	Check-in was great concierge desk was not very pleasant	Daniel provided us with wonderful check in service which was a great way to introduce and welcome us to NYC. However, the concierge desk was a very unplesant experience. Wrong directions, addresses, and a general lack of knowledge the city. Their main focus is selling bus tours.	
Oct 26 2009 	WOW - This hotel is awesome!!!	I am a seasoned business traveler with very high expectations. THe only reason I booked the doubletree was because it was the only mid-town hotel I could find that offered true Suites (a total closed off bedroom from the living area). When I booked I noticed it was rated as a 3 1/2 star hotel, so my expectations were not very high. What a great surprise, I was driving into the city and they gave me perfect driving instructions, I pulled up handed over my keys and the car was taking by the valet ($35 per night if you pick up the car from the garage at the end of your trip) and the baggage was handled by the Bell Hop. The lobby is very nice and the Front desk staff amazing (Daniel - who loves Spain BTW) check us in he was professional freindly funny and super accomondating to our needs. I think for business or pleasure this is an awesome spot. I would recomend a higher floor to be removed from the Times Squre buzz.	
Oct 26 2009 	Daniel was AWESOME!	Daniel at the front desk was extremely helpful with &quot;concierge&quot; type advice - he helped us get our priority tickets to visit the Empire State Building , recommended shows, touristy activities, and wonderful restaurants. Employees like Daniel are invaluable to me as an infrequent traveler, and he was especially wonderful. Thank you, Doubletree and Daniel, for making our trip even more wonderful and efficient!	
Oct 25 2009 	Simply outstanding!	My family and I (2 adults &amp; 2 boys 11 and 7) stayed at the Doubletree in October. We arrived by taxi from the airport (which was so efficient and organised) and were thrilled when we pulled up right in the middle of Times Square. Check in was speedy and we were delighted with the warm cookies we received. Our room was on the 14th floor and we had a view to Times Square. The room was clean, comfortable and had all the ammenties that a family of 4 required for a comfortable stay including a small refrigerator and a microwave. It was a shame that wifi was not included, however we didn't really have time to sit at the computer anyway.The location of the hotel is brilliant. Right on the corner of 7th and 47th streets with the TKTS booth outside and a subway station next door. The hop on/off bus tours start right across the street as well. Times Square is an area where you feel completely safe at all hours of the day and night. There is a security check at the elevators to further ensure your safety as well. While there are some great restaurant in Times Square I would recommend not eating there as it can be quite expensive ($90 for breakfast was a shock!). However, Rays pizza on 48th was amazing! The kids liked the hot dog vendours and just like any other city it is always best to eat where the locals eat. New York is an amazing city and when my husband and I (yes no kids next time) return in 2010 we will definitely stay here again.	
Oct 24 2009 	Great hotel-near everything	This hotel is right on Times Square. The Broadway discount center is right across the street. Subway and West Side Story theater are both next door. Breakfast buffet was great! Lights of Times Square can be seen out the window. Room very clean and housekeeping very friendly. Walking distance to Broadway theaters and many good restaurants.	
Oct 23 2009	Doubletree Guest Suites is the best Hotel in Times Square	As a long time Hilton Honors member (Diamond VIP), this hotel is awesome. Since I am a Diamond VIP, I was checked into my room by the doorman on the first floor, which meant I did not have to stand in a line. My suite was on the 29th floor and had commanding views of all the neon that Times Square is world famous for. Even though there is much hustle and bustle with noise on the street, I could not here anything in the suite. It is great to be able to stretch out with this much space. The breakfast buffet is one of the best that I have encountered. I found employees in the hotel to be very customer-service oriented. Location is central to all of New York's great tourist attractions. I would defintely stay at this hotel again.	
Oct 23 2009 	Great midtown location. A bit expensive.	We stayed Oct 16-19 at the Doubletree Times Square. The woman at check-in was very accommodating and gave us a King suite on the 31st floor. Warm cookies for all at check-in. Even though you are in the center of all the NYC action, the lobby is on floor 3, away from the noise and traffic of Times Square.The room was clean, spacious (for NYC) and large windows gave our kids a perfect view overlooking M&amp;M World to the north. Elevators were fast and we never had to wait long for one, no matter what time of day. The location is very convenient to most theaters and Rockefeller Center.Overall I give it high marks, but we will probably look for something less expensive next time. We spent most of our time exploring the city, and would be fine with staying in a hotel with less amenities in order to save some money.	
Oct 22 2009 	Priceless views of Times Square--terrific tourist hotel	I just returned from NYC for a business trip and stayed at the Sheraton Manhattan and the Doubletree Suites. I was in 2901, which is a corner King Suite with commanding views of Times Square (exactly where the ball comes down). All 01 rooms, i.e. 2701, 2801,2901, etc are CORNER suites with a view directly south from the living room of where the ball drops each New Year's Eve. Being a corner you have another view of the north side of Time Square from the other corner of the living room as well as from the bedroom. The views really were amazing and are MUCH nicer than anything I've had (even very high end suites at either the Westin, the Marriott Marquis or the W--all in the same neighborhood). The view is really off the hook and if a view is important to you, I would hightly recommend the Doubletree.The location is very busy as it is directly in Times Square but the suite was fairly spacious. The suite was clean there was a 42 inch LG LCD in the living room but there was an old tube style TV in the bedroom--sort of an odd combination in my view.Checkin is a breeze if you are a Hilton Diamond guest as they literally handed me my key in the lower lobby. This VIP checkin and treatment is only for Hilton Diamond members but if you are this is a real nice benefit. I did not deal with the &quot;regular&quot; front desk so can't comment on anything there.This hotel is not nearly as hip or trendy as the W across the street but it is very solid and a good value--again with astonishing views of Time Square. The area is VERY busy (24 hours per day) but the windows provide a high level of sound insulation and the blinds are nearly black out for sleeping.If you want to stay in Times Square and want a little more room than the other offerings I would highly recommend the Doubletree.	
Oct 21 2009 	Wonderful location spacious suites but annoying lapses in quality	We've stayed at this hotel on average twice per year since before it became a Doubletree Guest Suites; originally, it was an Embassy Suites hotel. The primary attractions are its location and that all rooms are suites with two televisions, a large bathroom, and a modified wet bar that includes a fridge and microwave. (If one of us wants to nap, for example, it's possible to do so without being disturbed.) There is plenty of storage room, work space, and outlets to recharge computer, camera, and iPod batteries, etc. Despite a supposed upgrading of the rooms, the furniture and decor look dated and a bit worn. There are new HD flat panel televisions in the living rooms, but the signal is standard definition, widened to fit the 16:9 ratio screen, which makes everything rather distorted-looking. The in-room wi-fi was frustratingly slow this most recent visit, and the hotel was having intermittent Internet connection problems during our stay, something we never experienced during previous visits. The redecoration of the main lobby is not to our liking -- we think it looks hideous -- and a bar with flat screens has been installed in it, but since that's not where we sleep, we were willing to overlook this lapse of taste. One thing we found annoying is that guests would put their room service trays outside on the floor of the hallway, and they would sit there literally for hours, often overnight, before being retrieved by housekeeping. We'll most likely continue to stay here, but we're open to finding another hotel that offers similar amenities without slipping in quality.	
Oct 20 2009 	Great Hotel Great location	Before i booked this hotel, i read countless reviews on trip advisor. This was the reason i chose this one. I can't fault the hotel in anyway whatsover!Location - amazing! Right in the centre of times square, very close to 5th av, the rockerfeller centre and much more! This is a busy location and you will get plenty of sirens from the cops throughout the night - this is why we were here , for the hustle and bustle! saying that though - you will get plenty of sleep as its well soundproofed. we were on floor 20.check in/check out - very quick - nice cookies, staff always helpful. ( one was a bit grumpy but i can live wiith that)lifts - great - never had to wait and they are very fastwe didn't try the restaurant but the bar is well overpriced but good service.rooms - very very clean, spacious and well laid out. room service is overpriced and don't use the phone. $25 for a 5 minute call home!!!!!!Security staff very friendly and helpful.all in all, i have never had such a trouble free stay in any hotel , anywhere! we chose a king suite with times square view - well worth it.	
Oct 17 2009 	Start spreading the news...	Doubletree on Broadway...finally, after all of the renovations, the lobby and restaurant are open for prime time business. Located in the heart of Broadway, the Doubletree is a great place to stay for business or fun! Hilton standards (especially the Doubletree warm cookies) makes it a place to stay, albeit a bit pricey. The gym is &quot;cozy,&quot; but has free weights (dumbells), machine, and cardio equipment - makes it a good place to burn off the calories from eating all of the cuisine available in NYC. IF fortunate enough to have a room adjacent to Broadway, the heavy curtains ensure that the lights of Broadway do not keep you up at night. Other than the occasional siren, street noise is minimal (if on higher floors). The restaurant is also a bit &quot;cozy&quot; for the size of the property, but the breakfast buffet is great!Be aware that when you arrive at the property, enter the hotel where security will ask if you are checking in (why else would I be walking with my suitcase right?). Enter the lobby and walk to the elevator where you enter the real lobby to check in and recieve your warm chocolate chip cookie! Staff is great and as all realtor say, its all about three things, &quot;location, location, location.&quot;	
Oct 16 2009 	Large room in Theater District	We used Hilton Honors points to stay free in a king suite. We typically stay at Bryant Park but free is free. The time square location of this property is convenient to the Theater District. Just walk out of the door and 1/2 price Tickets booth is in front of you. Now with the pedistrian areas on times square you can walk around and take photos with greater ease. The rooms are typical Doubletree suite rooms nothing special. We were traveling alone and obviously had adequate space. Small families could easily stay in these rooms without to much trouble. The tile on the shower wall was cracked in several locations and one of the light switches was barely hanging on the wall. Internet access was 12.95 for 24hrs. Which is bad but not terrible; although should be free. Checkin was easy and they give you warm cookies. The doorman is another issue. He was standing there in his nice uniform looking professional but that is what he did...stood there. Everyone arriving and leaving the hotel had to deal with their luggage and hailing a cab on their own. If you are going to have a doorman and there were actually two of them, have them interact with the guest and offer great customer service. They are your first contact that individuals have with the property. To bad these guys are just wearing a costume.	
Oct 15 2009 	Our service upon arrival from Daniel was friendly inviting -- a nice start to our stay!	Clean room and comfortable bed!!! Front door service was quick and friendly -- I had a taxi in no time and they held the door and placed my luggage in the taxi for me. Staff was helpful in finding the perfect restaurant and location for our dinner.	
Oct 14 2009 	If we could have only stayed longer!!! October is a great time to stay at DGS in Times Square.	My mom and I celebrated our birthdays in Times Square and had a wonderful experience. We enjoyed two plays, good food, all the surrounding 'not to miss' sites, shopping, etc...all within walking distance to the DSG hotel. There is so much transportation to pick from, you are best to not rent a car as it costs quite a lot of money to park in garages. The subways were definitely an adventure and thank goodness for all the nice people who are so kind to help you figure out which one to take and what direction. The taxis are constantly pouncing on their horns, just like in the movies! I would not really recommend Times Square for small children....there is quite a bit of hustle-bustle there. One of our highlights was Michael who greeted us when we arrived the first night all tuckered out and then each following night when we came back from our daily excursions. He always gave us a wave and a big smile and asked how our day went. Michael answered all our questions and gave us tips when we told him our plans for the next outing. He laughed when we told him we took the rickshaw to the Empire State Building and back instead of riding the taxi (Mom is 80!) Michael even yelled out Happy Birthday to us! He went above and beyond every day. DGS is very fortunate to have such a gentleman serving the public. Add to this, our room was clean and fresh every day. The maids were very friendly and pleasant with us in the hallways. The gentleman at the street level was also kind. He would ask for room ID key cards to ensure only guests were entering the hotel which made us feel safe. I don't want to forget about the concierge desk which was ready with answers, maps, offers to make ticket or restaurant arrangement, etc. All in all, there is not one bad thing to say. We had a very enjoyable time in Times Square. Thank you again Michael for your smile and your charming ways.	
Oct 14 2009 	Very nice accomodations and location still steep price though...	We were in the City just for one night to see two Broadway plays. We chose this hotel because it's smack-dab in the middle of Times Square and easy to walk right to both theatres. This was our first time staying at Doubletree (Hilton) Suites, and we were pleasantly surprised. A very nice/sophisticated hotel lobby, pleasant people at the desk and a nice big (for NYC) room, even though it looks kinda &quot;Times Square&quot; grimey from outside. Don't let the appearance deter you. The rooms appeared to be newly updated, they we very clean, and comfortable - and free WiFi. Will likely stay here again!	
Oct 13 2009 	Great Experience!	You know what they say about LOCATION....This is a fantastic starting point to see all the sights of NYC. The staff here excels at service and are very knowledgeable. Everyone was friendly from the doormen to housekeeping and the tasty warm cookies at registration were an added bonus! The suite is spacious, clean and my parents loved the luxurious king mattress. I even found the pull out sofa to be comfortable. Subway stations are nearby and again, the staff was tops. I will stay here again in the future.	
