	Good Standard clean and efficient. Very central for shops and sights	Overall a good hotel and we enjoyed our stay. Facilities are good and staff are helpful.We were very annoyed by the 11 dollars charge for using the phone for local calls even if you only connected for seconds. Outrageous price. Don't know what the food was like, we always ate out even for breakfast. There's plenty of choice around. Wifi was expensive and only payable by the day, though there is free internet terminals in the executive lounge.	
Oct 20 2009 	That will be the last time I'll stay at this hotel	I've stayed at this property at least 10 times over the past 6 years and it's consistently gone down hill. They no longer offer a complimentary continental breakfast to the HHoners members in the breakfast room. Instead you get a coupon for a medium drink and pastry at the Starbucks located on the property. I was told that they &quot;had to make cuts after the stock market crashed.&quot; What a bunch of garbage! Most of the rooms haven't yet been renovated, despite the fact that they supposedly did that in 2007. My room on the 26th floor smelled like cigarette smoke, the furniture looked old and worn, there was no in-room safe, and the TV was a small CRT screen. Since the hotel was fully booked for an AFLAC convention I had to stay in that hell-hole for two days before I could move to a nicer room on the 9th floor.Only one of the three elevators was working, so I had to wait 8-10 minutes for an elevator which was usually packed to capacity.The hotel thought is was appropriate to play a video about AFLAC on a constant loop in the elevators. Since I don't work for AFLAC and don't really care about AFLAC I was made to suffer through this video constantly at the rate of $330 per night.They only had one person working the front desk when I checked in on Saturday evening. That isn't at all sufficient for a 500 room (I'm guessing) hotel. They're obviously pushing guests to use the kiosks instead.The constant bombardment to tour their time-share Hilton Club was most annoying. They even left voice mails for me. Low class!On a bright note, the housekeeping staff is extremely polite and friendly. That's definitely an improvement.	
Oct 17 2009 	Class	We booked an eastbound Atlantic crossing with Cunard with a two-night stay in New York to start the holiday, and Cunard booked us into the Hilton on 6th Avenue. Frankly, I was not looking forward to the stay because of comments in other reviews about traffic noise in the rooms, long queues for check-in, long waits for the lifts and harrassment from time-share sharks.We arrived at the hotel just after 12.30 and checked straight in - no queues. We grabbed our cases off the minibus, thus depriving the bellboys a chance to fleece us for porterage. According to the Hilton website, check-in starts from 16.00, so I don't know if Cunard had arranged an earlier check-in for their passengers. The check-in process took hardly any time so we proceeded cautiously to the lifts on the other side of a huge reception area, keeping a wary eye out for the dreaded time-share bozos. There was no sign of them - indeed, we didn't see a single one during our entire stay. Hopefully the management have got rid of these awful people. There were four sets of lifts, one each for different groups of floors. We were on the 10th floor, and our set of lifts serviced as far up as floor 15 so we hardly had to wait at all - it MAY be a different story for higher floors but we never saw any queues at the other sets, and the cars were all of a good size.We consider the room to be of a good size, but it's probably small by American standards. The bed was extremely comfortable, as was the sofa. There was a large LCD-screen TV on the dresser with a limited selection of channels which weren't that easy to access, having to trawl through an extensive menu of pay-per-view channels first (do they HAVE to have &quot;adult&quot; channels featured so prominently?). The bathroom was a good size with a large walk-in shower. My wife is a light sleeper but she said she could hardly hear the traffic, even though we were overlooking 6th Avenue.The mini-bar is sealed with a break-off plastic tag - make sure this is there as soon as you check in to avoid any surcharges. A coffee-maker is provided with proper- and decaf- coffee.Having read that meals in the hotel restaurant are expensive, we didn't even look, but went across the road (right opposite) to Starbucks for breakfast on the first morning. I thought Starbucks offered free wifi, but unless I was doing something wrong, I couldn't pick up a free signal - all the available signals required me to have a logon id (we eventually went to the Central Library - worth a visit in its own right - to use the free connection terminals there). On the second morning, we went to Europa for breakfast. This is a fairly cheap and cheerful eatery, two blocks down in the UBS building. Go past the UBS front door, turn right and it's on the corner of the plaza within the UBS building.When we came to check out, Cunard had previously arranged for our bags to be collected from the room, so we didn't have to worry about storing our bags at $3.50 a shot - in any case, we didn't have to vacate the room until 12.00. The actual check-out process involved waiting in a queue for, maybe, 5 minutes. No big deal.I would definitely come back here.	
Oct 16 2009 	Very disappointed only plus is location	As a business traveler who is not new to NYC, I know what comes with travel in the city, and my expectations have been more than met at other hotels in the city, but NOT at the Hilton.I think the hotel tries to handle more than it is capable of (as far as conventions go). Even with the elevators grouped by floor, a 10 minute wait was the norm for me. In the set of three elevators that stops at the 26th floor, one was out-of-service my entire time at the property. This is unacceptable at such a large hotel hosting multiple conferences at the same time. The doors would routinely open on the way down with no room for me. I found myself climbing stairs to the 34th floor to use that set of elevators multiple times.The Hilton Club representatives stationed in the main lobby make it feel more like a time-share property that some time-share hotels I have stayed at; constantly badgering you to &quot;stop for your free gift.&quot; This was a business trip, I'm not interested in their specials.The rooms are dated. I expect any major NYC property to have flat screen televisions and ergonomic work-stations; this did not.On the plus side, the location is hard to beat. Minutes from Times Square, Central Park, MoMA, etc.. I just expect more from a hotel like this.	
Oct 11 2009 	Great value for the educated traveler	We chose the hotel based on its proximity to MoMA. Our 18th floor room was spacious, clean, and incredibly quiet, and the location could not be beat. Armed with prior information, we were able to avoid surcharges: we appreciated the option to decline a bellhop, ate at local restaurants, walked the city rather than use the fitness center, used the handy lobby kiosk to print our airplane boarding passes rather than pay for internet access, etc. The service was unobtrusive and consistently helpful, from check-in to concierge services to check-out and hailing a taxi back to the airport, We would definitely stay there again.	
Oct 8 2009 	Great location big room no noise from other rooms	We had a great stay at this hotel. I'm a neat freak and won't pay this kind of money for a dirty room; no problems at all with that. Surprisingly big for new york standards, bathroom a bit small on counter space though. We could walk everywhere from here, or easily get to the subway station. Great concierge staff, courteous front desk staff. No problems with noise and the hotel was really busy when we stayed over St. Patty's day (didn't hear drunken partying in the middle of the night). We got a great rate booking with Priceline, and would definitely stay here again for future trips to NYC.	
Oct 8 2009 	A week of fun in NYC ends with a glimpse of the President	I stayed at the Hilton New York with extended family for one week in July 2009. The trip was awesome! Not only was the hotel located near all of the &quot;hot spots,&quot; but the service and cleanliness were second to none. The suite we stayed in had two full bedrooms, three bathrooms, and a large living/dining room with a great view of the city. I highly recommend this hotel to anyone traveling with a large group and can't wait to visit NYC again.	
Oct 7 2009 	Everything Seemed Fine to Me	I didn't really have a choice about staying here -- a group was paying for my room and booked me into the New York Hilton. Admittedly, after reading a few reviews prior to arrival, I was bit apprehensive. But after my two night stay, I have to say that I really couldn't find the problems that seemed to bedevil other travelers.Elevators were available and speedy, separated into ranks by floor grouping so you don't get stuck with the &quot;milk run&quot; so common in many hotels. I can't comment on the Executive Lounge because I didn't try it out, even though the check in person did helpfully provide me access without even asking, given my Diamond status. The breakfast in the main restaurant was very adequate and not crowded. I wouldn't have paid the price they asked but it was included with my conference package.Check in went well. The desk clerk did apologize that the room reserved for me was not available but she gave me several options of equal or better rooms. It was unfortunate, however, that upon check in the clerk told me to pick up a package at the concierge desk -- but didn't bother to tell me the concierge desk was closed until morning. I stood there looking rather forlorn until finally another guest had mercy on me and clued me in. The room seemed up to date and clean. Everything worked (well, except that changing the thermostat didn't seem to make any appreciable difference.) Sure, the room was small (the couch had to be set on an angle to fit in the room) but this is Midtown Manhattan after all. For a single traveler or possibly even for two, it really was quite comfortable, having both a work desk and a couch.I thought all the staff was friendly. Maybe you have to try to be friendly to them first but they certainly made me feel welcome. And, by the way, I certainly didn't have any trouble getting a cab. Personally I never saw fewer than about 20 in the queue at any given time. Even at 5:30 in the morning, a bellman spotted me in the lobby and ran to get me set up. Finally, everyone who writes reviews of this hotel does seem to be taken with the location. Undoubtedly that is probably the largest selling point for this property. But I also found the service and amenities just fine and comfortable and certainly would come back again (although I probably would use points to pay for the room if I had to pay the rack rate myself!)	
Sep 30 2009 	"Blah" and "wtf" about sum it up	Like everyone says - great location - had a great view of the park. But really - in such a large city - you can find others with a great location.The elevator situation was terrible. I couldn't catch an elevator in the morning. After 20 minutes - I had to ride up to ride back down. One of the three elevators servicing my floors didn't work the four nights I was there - and the other was hardly in use. Bathrooms were tiny. I had to pay for internet access - which annoys me to no end. The decor was nothing to write home about. The bed, however, was wonderful.I had mixed feelings about the staff - the guy at the front desk was ok but another two were RUDE.I would stay elsewhere. The W hotels are nicer at least.	
Sep 30 2009 	Not impressed.	Stayed here one night for business. Being a female traveler, I did not feel safe in the hotel. The lobby is very busy and understandably being in the heart of the city, but the hotel recognizing that, there should be some visible security. The elevators to the 30th floor extremely slow. The service is not exceptional - no button on the phone even to get to the front desk! The room is decent size but the bathroom is very small, and not designed for a female. Try putting on makeup hunched over the toilet and sink. The location is certainly ideal, but in New York City, there are many other hotel options that are in ideal locations.I have been in other hotels in New York City that are much more intimate, less crowded, better service, and I feel safer - they may cost a bit more, but for these invaluable conveniences, worth the extra. For personal travel, I will search out other options.	
Sep 29 2009 	Superb location but far from a four star hotel never Hilton again!	The location of the hotel is great; two blocks from MoMa, five blocks from Central Park and Carnegie Hall, just to mention a few. The hotel is enormous and very unpersonal. The room was okay, but the bathroom was in really bad condition and needs a &quot;face lift&quot;. Actually the whole floor (rooms, interior, elevators etc) would need to be renovated (we stayed on 36th floor). The room was clean and the bathroom was very small. The hotel is a three star hotel, not a four star,What I think is terrible service is that I reserved two rooms (we were two families). Hilton has debited my VISA card with a &quot;no show charge&quot; for one of the rooms (both families checked in of course). I have contacted them and ask them to credit my VISA and contact me, but after two days, I haven't heard anything from them and they haven't returned the incorrect no show charge. There are better hotels in NYC, don't let the price blind you!	
Sep 29 2009 	One of the worst ever	1600 dollars for 4 nights at a real dump of a hotel. the rooms have'nt seen a facelift since the early 80`s and the bathrooms are of hostelstandard. At the very most that is.The only good thing about this hotel is the location. 100 meters to central park, Carnegie Hall etc...But it´s never worth 400 dollars per night. Especially when the charming personnel at the hotel decided to debit the credit card for an extra 377 dollar for something they called now show. Funny thing as we had reserved a room for 4 nights and paid the full price for it.So take my word for it: CHOOSE ANOTHER HOTEL!!!! You will regret any money you spend at this sorry excuse of a hotel!	
Sep 27 2009 	perfect location	Location location location!Hotel is great, seems popular. Has a very present 'eighties' vibe. Thankfully, our room seemed to have been recently renovated so i would advise you hit the top floors.I would come back again since nothing upset our stay &amp; the location was superb.	
Sep 27 2009 	I'd stay here again	The Hilton New York is a huge hotel with a great location. We had a really big room (for NYC standards) with a sofa and real size desk and good views. It's only a block from the theater district, two blocks from Rockefeller Plaza and two block from MOMA. And, only a short walk to Central Park, Times Square and the wonderful stores on 5th Ave. My biggest complaint was that there was no security. Even at night when there was a guard checking room cards, he was preoccupied with one guest and we could have easily walked right past him. Smaller complaints are that one elevator didn't work and the wait was long (sometimes more than 5 minutes). Also, the coffee maker wasn't cleaned until I took it apart and left it like that for house-keeping and even with that, the sugar packet that was opened when we got to the room was never tossed and replaced. Lastly, although not the hotel's fault, it was impossible to get a cab at the hotel. If you need one, walk one block east or west depending on the direction you're headed.	
Sep 27 2009 	Average Quality-Great Location-Subpar Service	Upon check in (as Hilton Honors guest), we were told our reservation for a 2 double bed room was &quot;sold out&quot;. A Seinfeld moment -&quot;you know how to take a reservation, but not hold on to it....it's the holding onto it that's really important&quot;. Oh, well - we got a room with a queen size bed (fine for my husband and me) and a pull out sofa bed for our 2 teenage daughters. The pull out was REALLY, REALLY bad. Upon opening it, there was no bedding whatsoever on it (no sheets), and not really a mattress. There was a thin poor quality sort of foam pad acting as a quasi mattress over the metal frame. The head of the pull out &quot;sleeper&quot; (can barely be called that), actually sunk below the back of the couch - so that one's head is lower than their feet - it sloped down. Making this really unable to sleep upon. My daughter's ended up sleeping on the floor on sheets we had to request from housekeeping.This wasn't so bad for just one night, which was what we were staying. Just came in from NJ to have dinner &amp; see the city at night. If we were staying longer, we would have had to move - it was just not an adequate room for 4 people. Including the bathroom - there were 2 bathtowels; even if it had been just my husband and me - 2 bath towels? That's sort of stingy.The whole place seemed very disorganized. When we dropped off the car in the garage, I thought it was strange that the garage attendant didn't give us a ticket - just took our name. Well, when we went to get the car - yes that was a problem. The guy should have given us a ticket. So, it was an ordeal getting the car - had to wait in lines twice, fill out a form, wait for them to find it....just needless bother if he'd given us the ticket in the first place.I've stayed many times in NYC - this was the most disappointing room and service I've had. I've stayed at similarly priced properties (Hyatts, Marriotts in various locations in the city) without the confusion and subpar service. On the up side - the location is great. Midtown, walking distance to central park, Rockefeller plaza, 5th avenue. I think if we had parked elsewhere and had received the room we reserved, it would have been a much better experience.	
Sep 21 2009 	Friendly staff very nice stay	My husband and I stayed at the hotel for a weekend in September. I will say right off that we were there to look at the HIlton Grand Vacations property but we paid for our room and were not given any special treatement as a result. After reading the reviews, I was very apprehensive and expected the worst. But from the people at check in to the housekeeping staff and concierge desk, everyone was friendly and pleasant, getting extra towels, coffee, etc. The room was clean and mostly quiet (not the hotel's fault that the neighbors were yelling one night at 3 am but security came up right away and stopped it). The bed was very comfortable. The room service, while pricey, was fast and hot and just as ordered. I would definietly stay here again and would recommend it to others.	
Sep 6 2009 	Not so bad	Just stayed here for 4 days, 3 nights - having read all of the reviews I anticipated the following:1. Elevator would take 30 minutes2. Service would be terrible3. The time share guy would constantly harass us.None of these things happened. Are the rooms a touch small? Yes, this is new york so dont come to new york if you expect otherwise. Do the elevators take a few minutes? Yes - but we never waited more than 2-3 minutes and the place was packed. Is the service a bit on the slow side? Yes - it took them 20 minutes to bring us extra towels and there is always 3-4 people in line at check-in, baggage check and conceirege. Overall I would come back just keep the above things in mind. As long as your business is going to be in mid-town this place is just fine. Just read any negative review with a grain of salt.	
Sep 5 2009 	a less than average hilton experience	overall a disappointing hilton stay. the disappointment started right at check-in where i had to explain to them what the actual hilton rules for gold members are, only then did they look for availability of a room on the executive floor. from there, it even went downhill...rooms: should have been updated years ago. same for the bathrooms - shower didn't work properly. decor looks more than outdated, i would call it cheesy.the executive lounge is much too small for all the floors it is supposed to cover: totally overcrowded for breakfast, there was a queue for getting in even though many hotel guests were taking their breakfast to their rooms. we only went there on the first morning as the lounge was the only place where free wifi access is offered. my recommendation: take your money elsewhere. compared to this, the hilton garden inn on 35th is much better value!	
Sep 2 2009 	Convenient and fulfilling expectations	The Hilton New York is modern and huge, and with its nearly 2000 rooms can’t be tailored much to the necessities of the single guest. Never the less, it is run very efficiently. I found really nothing to complaint during my five-night stay with my family. Check-in and check-out were very fast and every request was fulfilled within reasonable time. I had a room on 35th floor and enjoyed an excellent view. The room was spacious, beds were very comfortable and cleanliness was unquestionable.Location is simply fantastic: a stone’s throw from MOMA, Radio City Music Hall and Rockfeller Center, very close to Fifth Avenue main shopping area and Central Park. Plenty of eating options are available in the nearby, from inexpensive delis up to elegant restaurants. Most of them are good or very good. Overall, it was a very positive experience and a very good value for the money.	
Sep 2 2009 	OK but leaves a lot to be desired.	We got the Hilton NYC in a 4-day package (Thursday 8/27 thru Monday 8/31) which included the room, continental breakfast and show tickets. The net price of the room and breakfast was around $250.00/night. Good price for a NYC hotel. The room was average in size and clean but more on the scale of a Holiday Inn Express. Even on the 19th floor we were awakened by street noise at 4:30 AM.The continental breakfast was a buffet and was excellent. We could &quot;upgrage&quot; to the full buffet for an additional $7.00 per person. Location is great... near Central Park, Times Square, Rockefeller Centyer, and the subway . Walking distance to many sights and sounds.Now the bad stuff... As expected, at every turn there was an additional charge; there are no freebies here. Everyone has their hand out. The staff was &quot;New York rude&quot;. Most were polite, but short and curt. The attitude was &quot;Don't bother me, you're only a customer!&quot;There is no internet in the room. Internet access in the business center was $10.00 for 10 minutes (outrageous!). There is a Wendy's down the street that has wi-fi, but we did not check the cost. There is a free kiosk in the lobby limited to checking in for a flight but no other free internet access. Checkout is 12 noon. Our flight was at 5:30PM so we checked out at 9:00AM and did more sightseeing. Not wanting to drag our luggage around, we checked it for $3.50 charge per bag (another rip-off). Unless you're willing to pay $26.00 for a hamburger, don't even think about room service. Of course, they still have the outdated, hightly over-priced mini-bar in the room.There is a fitness center, but we did not check the cost, but I'm sure it isn't free.If you accept the &quot;It's New York&quot; excuse for gouging the customer, the Hilton is an OK place to stay, however if we had not gotten a package rate we certainly would not have paid the $350+ per night.Knowing what to expect, we would stay at the Hilton again, but not at their normal room rate.	
Sep 2 2009 	would not recommend	First of all the hotel is in a great location, close enough to walk to Time Square, Broadway, Central Park. Good delis round the corner but quite pricey. Taxis available 24 7 outside the front door. And there was a street market outside on a Saturday.Hotel is large. Read other reviews, we never got stopped by the Hilton honours staff trying to sell time shares, the lifts were always free.We stayed on the executive floor room 4403; the room was of the usual Hilton standard nothing special. Would not recommend the room as it is 3 doors from the executive lounge, which we thought would be good; however we were woken up every morning with people queuing out side the room waiting to get seated for breakfast.Executive lounge: well it is big that’s all I can really say good about it, I have stayed in Hiltons all over the world and this is the worse I have been to. Breakfast consisted of the usual tea, coffee and cereal etc. then you got boiled eggs, bagels, toast (only 2, 4 slice toasters which did not cook the bread properly, more like warm bread) and muffins, strawberries and grapes. There was free internet access, they had one computer (which is usual) you were restricted to 15 minutes which was okay, when you got chance to use it, there always seemed to be kids on it playing games and on facebook, got frustrating when all you wanted to do was check in online. If you are expecting an open bar, then think again just soft drinks available, the rest of the drinks are over priced $10 for a bottle of beer.Staff were friendly. We were celebrating our wedding anniversary, they arranged a dozen red roses to be deliver to the room. We are diamond members, no welcome pack, no chocolate in the evening (little touches count) Would I stay there again or recommend it, then the answer is no. I would rather stay in the Hiltons in Barcelona and Berlin and would highly recommend them	
Aug 27 2009 	Nice location	This hotel is a 10-minute walk from the Times Square. It's also a block away from the MoMA. It features a very nice bedroom and bathroom, confortable sheets and a great view.	
Aug 26 2009 	big and impersonal	Everywhere is busy in this hotel. The taxi area outside, the huge reception area, the elevators with different lifts for different floors and long, long corridors . Although we booked early this year, at first, the two rooms given to us were on two different floors far apart,even though the hotel has so many rooms. Eventually we got two rooms on the same floor but still a long way from each other. The rooms are typical Hilton rooms, quite large with a sofa and comfortable beds. The bathroom is a decent size and there is coffee/tea facilities.Internet was at a price. Really thought it would be free in a place like New York. Would probably not choose this hotel if we ever return to New York.Didn't think it was worth the money we paid.The best thing about it is the location near Central Park but I'm sure we could find better elsewhere.	
Aug 25 2009 	The rudest staff ever	The Hilton New York is located on Ave of the Americas/6th Ave. Could be a good hotel a part from the staff. The rudest I've ever find in a hotel. In the room I had no sleepers/bathrobe/pen/paper. The hotel is absolutely overpriced. If you are a Honors member you don't have to claim for your benefits or the staff would be disappointed.	
Aug 25 2009 	Pleasant Priceline Surprise!	I tried Priceline for the first time for this brief stay in NYC and was not sure what to expect when the Hilton New York accepted our bid. We know that Hilton has a good reputation, but sometimes rooms in NYC can be quite small and not as good as what you would expect. This was quite a nice treat! The check in was quick and they were very accomodating and put us on a high floor. Not so much a view, regardless, still nice to be on a high floor. The room was very spacious and clean. The beds are very comfy and the sheets are nice. The parking garage in the hotel is very convenient and the attendants were courteous. It is quite expensive though. It would be nice if you got better rates if you are a hotel guest. One other negative is you have to pay for internet access. Free WIFI would be a big improvemnet. With that said, if I ever use Priceline again, I hope to get the Hilton!	
Aug 25 2009 	Excellent hotel in a fantastic location.	My wife and I stayed at the Hilton for 3 nights in early August as part of our holiday to America’s east coast.The hotel is a very nice, comfortable and clean in a great location.As a Hilton Honours member staying on Honours points we were upgraded to one of the re furbished king rooms. The room was superb and spacious (for a New York hotel) with a two seater sofa, flat screen TV and mini bar.The only thing I could criticise with regards to the room is the size of the bathroom (shower only). It was very new and modern though small (this probably enabled the bedroom to be larger which suited us, however I think some may be disappointed in this).The check in, concierge service and hotel travel centre were all fast and efficient. At certain times however it appears that there are not enough staff on the check in/check out desk and we had to queue for some time on check out. Other than this minor point we had a fantastic three night stay.Great hotel for business or pleasure.If you fancy a pleasant eating experience and maybe a few drinks try the oldest surviving tavern in New York. The Bridge Café is located in a simple wood-frame building erected in 1794 on Water Street near the Brooklyn Bridge, Lower Manhattan. Not close to the hotel but well worth a visit if in Lower Manhattan. Try the Buffalo burger or steak, awesome.A couple of other recommended restaurants - The Tribeca Grill. A 20 minute cab ride from the hotel to the Tribeca area of Manhattan. This modern restaurant co-owned by Robert De Niro. Not cheap but excellent food and a great atmosphere, worth a visit.Dos Caminos, a Mexican restaurant in Midtown. Probably the best fresh guacamole I have ever tasted. Excellent modern bar and restaurant with a great atmosphere and fantastic Mexican food, well worth a visit.I could go on forever, enjoy NYC.	
Aug 24 2009 	Wonderful Fun Experience	My Husband and I just returned yesterday from a wonderful long weekend at The Hilton New York. We actually took a bus right into the Port Authority and the hotel was within walking distance for us so instead of taking a taxi we just walked to the hotel about 10 blocks. We were interested in seeing what restaurants and shops were close by along our way and we has a small rolling suitcase which was no problem to wheel behind us. You will see many people doing the same. The room was very nice, clean and the view was gorgeous. We enjoyed looking out the large windows at the other tall buildings around us. Most of the rooms face towards the Wachovia tower. The bathroom was modern with a nice glass door shower and had plenty of hot water and also the La Source Spa by Evelyn and Crabtree products was a plus and it a standard at this Hilton location.My Husband is not a big fan of the city and I am but I am pleased to say that even he had a great time. The location is a block from 5th Avenue a few blocks from Times Square and only about 2 blocks to Central Park. We took a wonderful carriage ride through Central Park they charge about 37.00 for the short version about 20 minutes or 57.00 for the hour per couple. It really is worth it and the drivers are fantastic! They will give you tips about the city if you ask. Be prepared in general to go through some cash in NYC, it is expensive but if you go there with that in mind you will be prepared. Do not drive there it is just too expensive to park. Take the train or bus. The Empire State Building was 20.00 a person to go up to the observatory. A pint of beer will run you about 7.00 and beware do not go to Lindey's for breakfast. This was the only thing we did that we can say we were ripped off. We paid 45.00 for a normal egg, hash browns and toast breakfast and two coffees were 8.50, ridiculous!!!! That was not worth it and we were shocked when we looked at the menue, go down the street and you will find nice places for breakfast for 3.50 for the same thing or opt for a bagel from one of the many wonderful bakeries, much cheaper, we will not make that mistake again and hope to save many others from this error.As far as dinner we always opt for a pub for Irish fare, we ate at the Old Castle Pub which was good and there is Rosie O'Gradys and a few other good ones in that area. You can spend hundreds of dollars in NYC on dinner but it all depends on what you like. Fish and Chips is really good at the pubs in NYC if you like it an costs about 16.00.We had a great time and my Husband wants to go back again in the Spring and this is A-OK with me but only if we stay at this Hilton hotel he says! This is a good choice and a wonderful time and do the hop on hop off bus tour it is a great way to see the city, we live close so we have plenty of weekends to go but if this is a once in a lifetime trip do the bus that includes admission to sites!! People in NYC are very nice and polite and wonderful, have a fantastic time!!!!	
