	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.	
Aug 16 2009 	Trendy but nice...	I was persuaded to stay here by my boss instead of the Parker Meridien as she counts it as one of her favorite hotels in NYC. I came for meetings and stayed for the weekend with my partner. I thought this was a charming hotel with well-chosen decor and amenities - from the mid-century furniture in the lobby to the fur-covered walls of the elevators. My room was cozy with teak walls, great magazines, a small free-standing wardrobe and blue-tiled bathroom complete with Kiehls bath products. The location is right across the TimeWarner Center (and Columbus Circle subway stop). Time Square is a few blocks away, as well as some great restaurants. I would definitely stay here again.	
Jul 23 2009 	Still Doing Well	I first stayed at 6 Columbus in November of 2007 not too long after it opened and enjoyed it very much. Since then I have had occasion to return to it a few times but haven't entered a review, so thought I would provide current thoughts. My most recent stay was from July 1-4 this year. Virtually all of my bookings there have been through Quikbook for under $200 a night in a Pod or Queen room. I don't spend much time in my Manhattan hotel rooms outside of sleeping, so I'm pretty easy to please on things like having enough space to swing a cat and tend to focus more on things like a comfortable bed, overall cleanliness, a quiet place to put your head down and a clean and functional bathroom. 6 Columbus has never disappointed on any of these fronts on any stay. It has, quite simply, become my hotel of choice in Manhattan.I can't say enough about the location - Time Warner shops, restaurants and bars and one Bkn-Brx subway stop literally right across the street, a Bkn-Qns subway stop around the corner, and Central Park as close as you can get for the money. I'm not such a lover of cities that I can do without green space so while I might go shopping in Soho, I ain't staying there. The hotel's own bar is a nice place to gather troops before starting out or for a nightcap.Staff continues to be helpful, and I've had only one negative check-in experience in the nature of no room being available when I arrived and the 15 promised minutes becoming 45, but this is definitely the exception.There's nothing yet that has been serious enough to send me elsewhere.	
Jun 24 2009 	Fundamentally unacceptable	6 Columbus was disappointing during my recent two-week stay. I travel as a consultant to non-profits, and my clients understandably want to keep hotel expenses reasonable, which 6 Columbus's rates do accomplish. I am content with a hotel that falls far short of luxury, but 6 Columbus did not meet basic needs. The rooms are small, including &quot;suites,&quot; which, surprisingly, are not really suites but rather single rooms like all others. My room reminded me of a college dorm room. It had no closet but did have a small armoire, regrettably not deep enough to hold a clothes hanger back to front, and wide enough to hold very few shirts or suits. Inquiring at the front desk, I was alerted that two cupboards were built into one side of the base of the bed, which I had not seen since a duvet hung over them. This helped, but it meant I had to get on my knees to retrieve anything. I was a single traveler; I cannot imagine how more than one person could negotiate this room. Of course the hotel finds plenty of space for its in-room mini-bar, food, and souvenir concessions. That duvet, by the way, was not clean (showing organic remnants of a previous guest), and was finally laundered or replaced on the fourth day, despite my earlier requests. The duvet is the only bed-covering: there's no sheet, so you sleep under the duvet (which, for me, became unbearably hot) or nothing. I soon realized this was not such a bad thing. Because the noise level is high (especially from staff in the hallways--and I was not even near the elevator), the only effective strategy is to turn the AC way down so it runs as much as possible to drown out the noise at night, and then it's so cold in the room that the duvet is perfect. A large roach or water-bug ground into the carpet remained for several days after my arrival (and impossible to miss) until I forced the cleaning person to deal with it as I stood by and watched. The cleaning staff was invariably pleasant; one day, however, I returned to the room at 5 in the afternoon to find them just starting on my room, which was inconvenient. The room telephone received calls, but I could not dial out or retrieve messages that were left (though they announced their presence through the blinking light). A manager came to the room to try to fix it and confessed that the hotel's whole phone system was &quot;a total mess.&quot; In two weeks the phone was never fixed. One night I called the front desk, via my cell phone, to arrange an early wake-up call the next morning and the call arrived as requested. The next morning after that someone from the staff banged on my door at the same early hour, shouting that this was my wake-up call but my phone wasn't working. (Unfortunately, that was to have been my sleep-in day.) Room was quite dark, even with all the lights on full, as the window gave on to a deep air-shaft that let in little light. Bathroom was to the usual small-hotel standard. Hallways are very narrow and are made more difficult to navigate by room-service trays, which spend entire days without being collected. Sometimes these sit in stairwells, which must surely be a safety violation. The in-room information book says they deliver the NY Times every morning, but instead they delivered the NY Post, an entirely different species of newspaper. I pointed this out at the front desk, and although the staff-person seemed not to grasp what I was saying, they did deliver the Times (along with the Post) the next day and most days thereafter. Front-desk staff was generally cold and unhelpful. Concierge was pleasant and doormen were eager and cheerful. Entry hallway leading from lobby to elevators is kept very dark (sexy and mysterious, I guess) but I found it impossible to see when entering from the brightness of the street (often via a small homeless encampment outside) and guests were forever colliding with each other in that dark hallway. 6 Columbus cultivates a chic and high-attitude veneer but does not address the essentials of what a hotel must minimally provide. Internet is $10 per day; I might expect a hotel that tries to trade in trendiness would offer it for free, as so many now do. They do respond somewhat to nudging. Still, for a two-week stay it grew depressing, and I cannot recommend this hotel.	
Jun 21 2009 	Fabulous Upgrade and Great stay in a good NY location	Arrived Tuesday 16th for a 3 night stay, I had booked what i thought was a good deal via Quickbook for a studio suite worked out at $203+taxes, i was to very pleasantly suprised to be upgraded to a huge duplex loft suite that had great view over Time Warner.Room had two flat screen TV's, great shower and bathroom facilities,very comfy bed and pillows and a great fridge and freezer with Microwave and hob if you need it.So great start to a good break.The Location for uptown is superb, MTA just cross over the road, only a few minutes to walk to Central park and 5-10 minutes across to 5th Avenue and it's many and numerous shops.Whole foods in the basement of Time Warner building just across the road is good to buy grocery for breakfast.Hotel staff were very friendly, and kept good humour in some very unseasonal wet weather in New York, good recommendation for lunch from staffReally enjoyed my stay at 6 Columbus and would be very happy to return	
Jun 20 2009 	Hmmm does boutique have to have attitude?	We booked via quikbook for a 3 night stay in June. The quikbook add said free upgrade. So upon arrival (at around 1630 check in from 1500), we were told (tersely to say the least) that 1. no room was ready, there would be a 15 minute wait and 2. there were no upgrades as they hotel was full.We waited (no apology or drink/anything offered) patiently, for about 20 minutes and finally feeling pretty ignored we questioned whether our room was ready. &quot;Don't know&quot; came the reply &quot;the hotel is full you know!&quot;. Since when has a hotel been full been the guests fault!!!! Huffily we are given an upgrade (amazing since the hotel was full!!!! presumably someone who was late got downgraded then?).Only complaint about the room was that the view was of a grotty back of an apartment block (but then we weren't expecting a panaroma!). Beds were very comfy.On the plus the location is great. The reception and attitude we got on arrival really soured things for us. I wouldn't stay again unless it was an exceptionally good deal.	
Jun 11 2009 	great location	I got a great deal on Priceline for $130.00 a night. It was very clean and nicely designed. Rooms are small, but who spends time in their room in NYC? Heated bathroom floors were a great plus, as were the Kiehl's products. Staff was very friendly and helpful. The best thing that this hotel is its location. It is located literally right next to a subway stop - 1, A, B, C, D. The hotel restaurant, Blue Ribbon, has very good sushi.	
Jun 9 2009 	Bait and Switch ...	First off, let me tell you that my husband and I have spent hundreds of hours and thousands of dollars in the Hollywood Roosevelt over the past several years. We lived in Hollywood during most of that time, and we encouraged many, many of our friends to stay there while visiting us in LA. We also spent several NYE's and multiple Memorial/Labor Days with you. Since we moved from LA, we chose you to stay when business brought us back to LA. We LOVE the Roosevelt Hotel!!!! We have always been treated with the utmost respect and, in fact, were recently upgraded when we checked in for a 1-night stay in 11/08.Based on this love, we booked the Six Columbus via a travel agent to celebrate my husband's 39th birthday this past weekend, for a studio suite at the rate of $220/nt. Although there were cheaper rooms available at your hotel, we decided to spend a bit more since it was my husband's birthday. We were so sorely disappointed that I must bring it to your attention in the hope that it will be addressed. We arrived in NYC at approx 4 pm on Wed June 3rd, 2009, and travelled to the Six Columbus, which took approx 1.5 hrs by the time we got our luggage. Our plan was to check in, freshen up and then meet up with friends for a dinner reservation at the Gramercy Park (Rose Room) for dinner at 7:30 pm. When we arrived we were informed that the front staff already knew about Dean's birthday, and that we were being checked into room 111, &quot;a very nice room.&quot; When the bellman took us up to the room, we were disappointed to discover that the room was not in any way a &quot;suite&quot;, but a regular (albeit nice) hotel room. We contacted the front desk, and the person assured us that the room was in fact a &quot;studio suite&quot; even though there was no suite area whatsoever, and the room did not match the room photos displayed on the website we had booked through (www. newyorkluxuryhotels.com). Even the bellman who brought our bags confirmed that the room was not considered a &quot;studio suite&quot; but a king superior room. We felt hustled - our first and stereotypical experience of NYC.We contacted the travel agent with whom we had booked, and that agent began the process of straightening things out, and ultimately relocating us to another hotel. All the while, time marched on as we attempted to solve our problem ON MY HUSBAND'S BIRTHDAY in the hope of making a timely dinner reservation in NYC. In the interim, the (lovely) bellman came up and informed us that the manager, Costas, had &quot;upgraded&quot; us to a king suite. The bellman took us down to room 20, which was the EXACT picture on the website depicted on that site of the studio suite that we had booked (as well as the king suite on that site). Unfortunately, the room was on the second floor directly overlooking the street, and EXTREMELY NOISY. Because we knew that we were being jerked around, and that this room was not an &quot;upgrade&quot; but the original room that we were promised, we protested. By now we had lost any chance we had of making our reservation at the Gramercy Park for dinner, and we were still dealing with our room situation. My husband went down to discuss the situation with the manager, &quot;Costas&quot;, and came up fuming with the comment that he should have known he was going to be hustled by a Greek (my husband is himself Greek - in fact we were married in Santorini, Greece). Extremely disappointing start to our NYC trip, and we did in fact miss our dinner reservation at Gramercy, which could not be rescheduled due to how busy they were that night. Basically, my husband;'s birthday celebration with friends was ruined thanks to &quot;Costas&quot; at the Six Columbus.The next day, thankfully, we moved to the Smyth Tribeca. Now THIS IS A HOTEL that knows about service!! We were treated with courtesy and respect, and the hotel was great! Too bad that one of our four nights in NYC was ruined.	
May 29 2009 	Great hotel great location	We booked a queen superior room for 6 nights and were upgraded to a queen deluxe at check in. The room was a good size for New York and to a good standard. Staff were excellant and very friendly, we really couldn't fault anything about the hotel during our stay. The hotel is right at the edge of Central Park and in a very good location for visiting the rest of Manhatten. Prices seemed to change quite a bit before we booked and we got an excellant rate on the hotel website. The hotel is very close to Whole Foods in the Time Warner building which was brilliant for a wide range of good food. Would definitely stay there again.	
May 17 2009 	Great hotel excellent location extremelly friendlly staff	We stayed in this hotel 5 nights as part of our honeymoon and we had one of our best times in NYC. Usually NYC hotels offer either small and old rooms, or big and old rooms. This case was totally new and refreshing. The 6 Columbus is a small boutique hotel in the middle of Manhattan offering modern and comfortable rooms, combined with friendlly and professional staff. The first thing we liked about the hotel is that, as honeymooners, they upgraded our room to a Studio Suite. We got a room on the 10th floor. It was a spacious room, with a big bathroom full of &quot;goodies&quot;. I must say that the bed is one of the best I've ever slept on. The area is excellent. The nearest subway is across the street, the park is two minutes away and you have lots of shops and places to eat in the vecinity. For all the sushi lovers I recommend the Blue Ribbon restaurant on the hotel, excellent sushi, friendlly and non-pretentious.Resuming, if you are looking for a nice boutique hotel in midtown Manhattan, this is definately your place. The prices are attractive and the return is more than enough. We are definatelly looking forward to visiting this hotel again.The only negative thing I can think about is that the internet was not free...	
May 10 2009 	Great Location would stay again	We recently stayed at 6 Columbus for two nights as part of a three week NYC stay where we changed hotels a few times to experience different neighbourhoods. Our first impression was that the front desk were not too friendly, however the doormen were extremely friendly. On check in we were given a room on the 2nd floor, (243 i think?) and it was pretty much what you see on the internet pictures. Nice retro style, but small room, if that was a queen bed then i'm the queen of england! it was barely a double i think. Bathroom was nice with good keihls ammenities....however we didn't stay in this room long, we had a shower straight away as we'd just come in from DC on the train, and immediately realised the noise of the air con unit outside was absolutely insane! It was a constant hum and every five mins it would 'kick into gear' and go up to a dull roar! We both said, 'we can't stay in this room' so went down and asked to be swapped, they had a room on the 8th floor available which was nowhere near as noisy so we took that one, even though it had a slightly strange smell about it-i think perhaps a weird air freshener? Room 845 (i think) was a bit bigger as well, and also had a window you could look out not a frosted glass window where i felt a bit claustrophobic like in the 2nd floor room!Staff were helpful, we asked one of the doormen for a dinner reccommendation and it was good, didn't eat at the hotel restaurant so can't comment on that.Loved the location right opposite the Time Warner building with Whole Foods in the basement which we patronised for breakfast, lunch and snacks, the subway is also right there too which is handy. We walked to 9th ave where there are many great restaurants and it was only about 7mins walk which was great. Would definitely stay here again and make sure i get a high floor room, we had a Queen deluxe i think and we got what i thought was a great rate on quikbook. Note: take the elevator up to the roof deck and take some photos from up there, we got some great shots, if they ever get the bar open up there it will be an excellent spot.	
Apr 29 2009 	Loved it! Spacious studio suite friendly staff great location...	We were staying for four nights and booked on QuikBooks - it worked out at 4 nights for the price of 3, average of $224 per night. We stayed in a studio suite on the 11th floor. Friends of ours stayed on the 10th floor in a studio suite.The suite was very spacious with lots . Bathroom had a great walk-in shower with great water pressure, and also a bath which I personally love. An oddity about the bathroom is clear glass in the window. Room had a wooden floor which I liked and the bed was large and comfortable, and there was lots of storage space. On the downside, air conditioning was noisy at times, and sound travelled from other rooms. The suite on the 10th floor was more compact, didn't have the walk-in shower, but had a fantastic balcony space (although a chair or two would have been nice). Given the hot weather, this was a great place to relax, especially in the evening.The bar and restaurant wasn't to my taste as I'm not into Japanese food - but it was busy most nights and the food looked like a work of art. The staff were incredibly friendly and helpful to us at all times although they seemed a little clueless with how to deal with a guest that had her handbag stolen from the Starbucks next door - there was no advice on hand and the distraught guest had to try to think of all the things that had to be done herself from ringing the consultate to cancelling the credit cards to informing the police.Internet at $10 per day is expensive especially since it was wireless and there is no free access in the lobby.Overall, we loved it and we'd certainly stay there again.	
Apr 25 2009 	Perfect Location Small Rooms Great Price	I was vising a friend on the UES, &amp; didn't want to pay outrageous room rates. The location is perfect, as it's behind the Time Warner Bldg, on the lower left hand corner of Central Park.Good: There's a subway station across the street, &amp; plenty of taxis. I opted for the &quot;Pod Room&quot; as I was only there for 1 night, and didn't care much about view. The room was smaller then rooms I've had in Paris...though it was very nice. The shower was impressive, as most hotels don't have that much water pressure.Bad: The &quot;Pod Room&quot; is that it's view is of a inaccessible courtyard...which has a large HVAC pipe running up the center of it. During the night you hear Banshee like howls as this kicks on/off. If your intolerant of &quot;white noise&quot; you won't like the loud blowing of the AC into your room.(I quite liked it). The iPod alarm clock has a backlit LCD which is very bright. (other then unplugging it, I couldn't figure out how to turn it off).	
Apr 22 2009 	A disappointment!	We selected this hotel because of a prior stay at the beautiful and luxurious 60 Thompson, another hotel in this hotel group. 6 Columbus was a big disappointment because the room king size room was small and dark, the carpet was worn, and the furniture was run down. The veneer of the dresser was peeling and the furniture looked as if it had been purchased at an inexpensive second hand shop. The plus was a nice bathroom and the shower had good water pressure. A big negative was the food smells that pervaded the hallway and the room--something that I was unpleasantly aware of throughout the stay. The bell staff is helpful and friendly, but the day manager was markedly unimpressed with my dissatisfaction about the quality of the room and the food smells. We would not stay there again, despite the good location.	
Apr 19 2009 	my new favorite hotel in NYC	Yes, the rooms are small. but really is that much different than most other rooms in nyc? The pros of this hotel are great - (location to CP, subway, CNN mall, wholefoods, starbucks, great price from website) - but what really makes this place great is the staff. Every staff I've encountered (this was now my second time here) goes out of there way to be friendly, helpful and to remember you by name and preferences. I'll be back again on my next biz trip to NYC!!	
Apr 18 2009	Nice hotel some issues	Booked a queen room through Quikbooks. I was grateful to check in early since I had just flown in on the red eye. Staff were cordial and helpful. Room was a good size and stylish. Bed was comfy. Found a couple of short hairs pinned to the undersheet of the comforter. I'm pretty sure the sheets were clean for the most part, since the staff inspected the room before they allowed me to check in. Rarely heard any noise from other guests, except when they shut their doors. To lock the door there's really no way to shut it softly. Housekeeping sometimes chatted loudly in the hallway, and they start knocking loudly on doors around 8.30 am to clean the rooms. Bathroom was large. Bathtub drained slowly. Had to turn off the water to let the water drain, before turning it back on. The tub finally clogged up on the last day of my stay. At check-out, hotel tried to charge me $2.75 for the mini-bar, even though I didn't use it. I thought it was a fridge for my personal use. I explained this and they promptly removed the charge. Despite the negatives, I did enjoy my stay. I feel I got a good deal on the room (I've stayed at the Hotel East Houston, which was advertised at a similar price, but not nearly as nice). The hotel is conveniently across the street from metro station and shopping. Nearby coffee shops were okay. Preferred Whole Foods across the street for better prices and better tasting food than places nearby. Bouchon Bakery, in the same complex as Whole Foods, makes very good macarroons.	
Apr 12 2009 	Does trendy have to mean dim?	The things that I liked about 6 Columbus include the great location and the great online deal that I got from the hotel's website. I especially loved the discovery of Wholefoods right across the road in Columbus Circle shops - best place for breakfast and snacks.I love the atmosphere of the hotel - very hip and trendy, but I really don't understand why this seems to mean that everything has be kept in semi darkness. Putting on make up in a dimly lit bathroom is a nightmare, and the bedroom itself is little better.Things that I didn't like (other than groping in the dark) are that the room is seriously small with no room for big bags for travellers in the middle of a big trip, and the in room internet is very expensive.There was also an inidentified loud hum that went on all night - possibly a heater or aircon unit outside - either way it had us shopping for earplugs.	
Apr 9 2009 	Excellent service with a smile	This hotel was great for a number of reasons. One of the first things we noticed was the friendliness of the staff. Everyone was so helpful. Because we arrived early in the morning our room was not ready, however, they called us on our cell phone as soon as it was available. They were very helpful with restaurant suggestions. Great staff! Perfect location-right by Central Park; subway across the street; Starbucks and Dunkin Donuts just around the corner; 24 hour pharmacy at the corner; great breakfast spot just up the street. Shower was great and room was small, but clean. We didn't spend a lot of time there anyway so it didn't matter. Only complaint was that they didn't offer shower caps in the bathroom. Price was very reasonable compared to other N.Y. hotels.	
Mar 24 2009 	Very central next to Central Park	We stay 5 nights in the Pod room with a double bed and we found it very roomy with a nice large bathroom. This room is much larger than the regular one at Hudson hotel where 2 persons can barely walk around the bed or fit in the bathroom. I like the room design very much. The double bed is very adequate for 2 medium build persons. Kiehl’s amenities are a plus and the heated bathroom floor is a nice touch. The bed is almost as comfortable as the heavenly bed from the Westin hotels with build-in drawer in the bed frame for additional storage space. The location of this hotel is perfect for us as we came here for the opera at the MET at the Lincoln Center (less than 5 minutes walk) and the Central Park is just across. In front of the hotel is the Time Warner Center which blocks all the traffic noise. The Columbus circle subway is in the Time Warner Center where all the major line connected. We have breakfast at the organic Whole Foods Market in the Time Warner Center where they sell food by weight, so you only pay what you want to eat. You can have excellent meal here (hot/cold) when you are in rush before the opera. The Starbuck is next door to the hotel for caffeine addicted. The staff is super nice. It is a super deal at 120$ in New York City!!! On the down side, the curtain cannot be close tightly, the room door needs a stopper to avoid the banging when it is close, especially at night and the walls are a little thin. But this should not stop you from reserve at this hotel. If you hate morning light, binder clips should solve your problem.	
Mar 23 2009 	Thin walls = no sleep	Small rooms were dimly lit. Super thin walls I could hear every noise/shower/music/conversation that were taking place in the adjacent rooms. There was a party taking place on my floor that wasn't moved till early in the morning so basically I didn't get any sleep and it totally ruined the next day for me. The only pluses were that the rooms were clean, staff is nice, I got a cheap rate using quikbook, and the location.	
Mar 17 2009 	Small rooms doesn't begin to describe it	An otherwise acceptable stay (5 nights) degraded by a room (allegedly the largest and clearly the highest price offered short of a suite) in which we couldn't sit down, except on the bed, even to work at the desk. One chair was offered, in a dimly lit vestibule. Otherwise there was literally no room to move. Closet space was a free-standing wardrobe with barely a foot of hanging space. Storage space was a drawer under the bed. Plumbing noises from adjacent rooms were noticeable and from time to time (especially during neighbors' showers) loud. I accept that space is at a premium in New York, but this is absurd. On the plus side, such as it was, it's convenient to Lincoln Center, pleasant and helpful staff and a good restaurant (Blue Ribbon) with excellent sushi. If you plan to spend any time in your room, look elsewhere.	
Mar 1 2009 	Exceptional Service and Value	My wife and I stayed at 6 Columbus during a random weekend in New York this February. We found 6 Columbus through Tripadvisor and were encouraged by its ranking (#128 as of this writing). In short, we were not disappointed with our choice, as it turned out to be anf extraordinary value for a NYC hotel!First off, a caveat about the location for this hotel for people not familiar with NYC. It's located right off Columbus Circle, a good 20 minute walk from Times Square. This wasn't a deal breaker by any means, however, and the Columbus Circle Subway stop is right near the hotel anyway. A Taxi ride right into the heart of Times Square was a measly $3.50, as well.Upon arrival, the doors were opened for us and we were greeted with a smile and a polite welcome by everyone in the modern-decor lobby - a great way to start a stay. Check in was a non-issue and we quickly found ourselves in one of the animal hide (fake)-lined elevators going to our room on the 9th Floor (there are 12 floors of rooms with two floors above that).We opened the door to our Queen Deluxe room and found a warmly lit, intimately sized room with a modern twist. Dark Teak floors are throughout the the main room, and you have amenities such as a Flat-screen LCD TV, mini-fridge, safe, bathrobe, iron/ironing board, iPod Alarm Clock and one of the most comfortable hotel beds we've ever slept on! The brown teak headboard for the bed spanned the entire length of the wall behind us, but stopped short from the ceiling by about 6-8 inches. This space hid a recessed light that lent a nice, indirect glow to the room when on.The bathroom seems light standard fare, but is very clean and boasts an interesting extra feature - heated floors! What a treat to not step onto a cold tile floor after a nice, hot shower.After settling into our room, we made our way downstairs where we found Eric the Concierge. He was perhaps one of the most helpful and knowledgeable concierges we've ever had the pleasure of meeting. He helped us with everything from our dinner plans to making reservations for us at a comedy club he recommended. Definitely a great resource to have when in NYC - even if you consider yourself knowledgeable.We had lunch at the Hotel's Blue Ribbon restaurant (Japanese) and found it about average and maybe a tad overpriced - quite contrary to the hotel. Mind you, there was nothing wrong with the Sushi we ordered, but it wasn't anything to write home about and the service was impersonal but prompt. I would say it's convenient, but you have better choices literally right across the street in the Time-Warner Building. One other note about the hotel - bring your own computer, as they do not have a business center. Overall, 6 Columbus was an excellent value, and I would highly recommend it as a great hotel outside of Times Square.	
Feb 11 2009 	Fantastic Find In The City	Where can you stay in New York where the staff knows you by name after the first day? Wonderful location near theatre, shopping and park. Rooms very nice and staff the best in New York. Great Value. Can't wait to visit again.	
Feb 8 2009 	Great great location -- tiny tiny room	We stayed at the hotel for two nights. Terrific location. It's just across the street from the subway &amp; there's a great international newstand around the corner. For those who indulge in Starbucks, there's one right next to the hotel. Our room was really small. The queen-size bed felt more like a twin. The room was clean but not smartly designed. There's a great big flat screen TV -- but no hooks for your coat. The bathroom floor was heated -- but there's virtually no closet space. Great shelves for magazines -- but very little drawer space. Talk about priorities all mixed up!Overall, our stay was pleasant &amp; the staff was pleasant. The price was right too.	
Feb 4 2009 	Great Rate made a Great Hotel	We stayed at the 6 Columbus for 5 nights at the end of Jan 2009. We got a superb rate through Quikbook, which made this hotel very affordable. I booked a Queen superior, as i had been informed that the pod rooms were very small. If i was indeed given a queen room, then those pod rooms must be a broom cupboard. Having said that the room was more than adequate for the 2 of us, as we did not intend to spend a lot of time in the room anyway. The only downside to the size of the room, was lack of storage for clothes, and given that it was winter we had a lot of bulky clothes, but we managed.The room was on the 5th floor at the back of the hotel, with a nice view of the shaft, but didn't think this mattered as I wasn't going to spend my time looking out of the window.The under floor heating in the bathroom was indeed a nice touch, as other's have mentioned, but couldn't quite work out how it worked. The shower was great - powerful &amp; hot! The only downside of the bathroom was the miniscule towels - no good for wrapping up wet hair! The mini bar was packed full, but didn't try anything as there is a Duane Reade next door. Service at the hotel was very good, very attentative door staff, and it was nice to receive a plate of cookies half way through our stay. The bar staff where also very pleasant in the Blue Ribbon bar &amp; restaurant (we did not eat there). The cleaning staff where a little noisy in the mornings, but really we should have been up and seeing the sights anyway.This hotel is in a great location, right opposite the subway, and over the way from Central Park, a few nice bars &amp; restaurants nearby. I would definitely recommend this hotel, but only if you can get a great rate, as otherwise i think it is quite pricey.	
