	An ideal spot for visiting Manhattan	As many previous reviewers have chronicled, the staff, the breakfast, the afternoon wine and cheese all make The Library Hotel a special place and worth the bit extra it will cost over a big-box location. We also appreciated the central location *and* the fact that, in a business district, there is not so much traffic on the streets at night. It was possible to open the window and still sleep. The rooftop bar is lovely, if busy during happy hour. Grand Central is just around the corner; you can go uptown, downtown, or crosstown with ease. We will definitely return for our next nyc visit.	
Nov 9 2009 	A Trendy hotel with a chic vibe in a great location	A very cool surprise. The lobby is deceving as it is not indicative of the vast spaciousness of the rooms. The room are ultra chic, very cozy, and provide for a great experience when you are there. the location of this hotel is perfect, central to outstanding dining and nightlife. The staff is cordial and knowledgeable. And the LIBRARY theme is a unique spin on the hotel and travel industry. Two enthousiastic thumbs up. We will return and we will recommend to others.	
Nov 4 2009 	Most pleasant and accommodating staff I have ever experienced - won't stay anywhere else.	I stayed in an appropriately named petite room, which had plenty of storage space. I was in NY for the 2009 marathon and upset that I didn't sleep well due to cars continually thumping over a loose manhole outside. When I complained, Laurence stepped out from behind the desk and charged into the middle of the street with a potential temporary solution. When that didn't work, he came back in, thought of something else and tried another method. It didn't work but I was impressed with the length to which he was prepared to go to help me. Other concierges were very helpful with restaurant and play recommendations and bookings. In addition, the breakfast is very good with a lovely fresh fruit bowl, yummy bagels and rolls, yoghurt,hard-boiled eggs, etc. That and the wine and cheese in the evening really help to save money in such an expensive city. The staff there was also very friendly and helpful.	
Nov 3 2009 	Lives up to the billing	Like many others before me, I did some homework on this place before booking. I had high expectaitons going in and am glad to say that the Library Hotel exceeded those expectations. From offering us a free breakfast on the morning before we checked in (we got in early from a red-eye flight), to the promt and helpful responses to all of our inquiries, this was the perfect place to stay. The location is great and the hotel is better.	
Nov 3 2009 	This is what a hotel should be ........ Excellant	To find a hotel that ticks all boxes - are hard to find BUT the Library hotels is such one.From start to finish the staff were superb and couldn't fault their professionalism in any way - courteous , friendly. The hotel does make the vistor appreciated - even on check out day - the offer to use the hotel facilities is a major plus , if you are waiting for a late flight. The ambience / atmosphere of the hotel is fanatastic and the location just makes it a great place to stay when visiting New York.	
Nov 1 2009 	Great service 	We stayed at the Library Hotel for 7 nights in September. I would definitely stay there again and it's a joy to find somewhere that breaks free from the mould of your average hotel. The staff were friendly and very helpful, especially those serving breakfast. The lounge was a bit small for this purpose however the staff were prompt to offer a tray and we enjoyed breakfast on the 14th floor lounge on a couple of occasions. The location is excellent - just round the corner from Grand Central Station. Our room was quite small, but sufficient for our stay. The only thing I would change is hte soundproofing. It's not that great and the street noise was pretty constant. My wife and I both ended up using earplugs, but overall, it wouldn't prevent us returning.	
Nov 1 2009 	Personalized service makes this little gem shine!	The Library Hotel stands out amongst the hundreds of other hotel in New York City, for three distinct factors: location--whether for business or pleasure; comfort--calm, relaxing and subdued luxury: and finally, SERVICE--from associates who genuinely care about the quality of your stay. I have just returned from my fourth stay at this fine boutique hotel, and I wouln't consider staying anwhere else in NYC. In this case, there is added value to the cost of your stay, and this little gem of a hotel stands heads aboive the competition.	
Oct 30 2009 	One of NYC's best values - a homey 60-room literary-themed boutique	A homey, 60-room, literary-themed boutique, located down the block from New York's famous Public Library, and among Midtown East's corporate skyscrapers. It's one of New York's best values, mostly because of the perks: an upscale bistro on the ground floor, a lively bar on the penthouse floor, free Wi-Fi, free gym passes, and free daily pastries, wine, and cheese. Pros:-One block from Grand Central, with access to six subway lines-Thoughtful design based on old-fashioned Dewey Decimal System-Upscale bistro on ground floor, lively bar on penthouse floor-Free Wi-Fi-Free gym pass to New York Sports Club, (four blocks away)-Free daily pastries, wine, and cheeseCons:-Rooms near the elevator can be loud-No cots or double rooms availableThe Library is located in a prewar, Art Deco building just a block from Grand Central, one of the city’s biggest transportation hubs. In the reading room on the 2nd floor, where free coffee and pastries are served 24 hours a day, and free wine and cheese are available from 5 to 8 p.m., I rubbed shoulders with a trio of British guys in tight jeans and Converses talking about their film shoot, a twentysomething American girl in Uggs catching up on her e-mail, and a well-heeled couple on the tired side of their 50s poring over a map of New York. It’s a really mixed bag here -- young and old, business and pleasure, hip and nerdy. The bar on the top floor is lively at night with both guests and nonguests (think well-heeled business types and their clients). As is Madison &amp; Vine, the restaurant and wine bar on the ground level (with the same owner as the bar, but unaffiliated with the hotel proper), which serves delicious upscale bistro fare.Service is impeccable -- classy but not pretentious -- a remarkable feat for a city where service is typically snobby at best and standoffish at worst. The Library Hotel defies New York’s smug stereotypes, though I did giggle a little when the staff referred to me with an honorific “Ms. A call to room service for extra towels yielded the goods in two minutes flat and the requested soy milk for my coffee in the 2nd floor reading room appeared within seconds. The hotel offers a turndown service. I returned to my room after only a few minutes away and found the bed neatly turned down, the blinds closed and the lights on. I loved the chocolates the staff left on the pillow along with a note with the next day’s weather (rainy and 43°F, brrr). My room, 1100.004 -- all rooms are organized in Dewey Decimal System, it’s the Library Hotel, get it? -- was a tiny 200 square feet. But to be fair, 200 square feet in New York is pretty average. Though I’ve seen closets more luxurious than my shoebox room, I grew fond of its smart, classy, understated character. But maybe that was just the 660-page tome “How the Mind Works”, by Harvard professor Steven Pinker, haunting me from above the TV (my room had a psychology theme).For detailed pictures of the room: http://bit.ly/uZ7mJThe hotel itself is calm and serene, except for its penthouse floor (14th), where there's Bookmarks, a rooftop garden and bar with three different personas. There’s the “poetry garden,” a greenhouse with a wraparound terrace, the “writer’s den,” which has a working fireplace and its own heated terrace, and the bar itself, which has a sleeker, more mod feel than the rest of the hotel. All three rooms were buzzing when I arrived at 10 p.m. on a Monday night.For detailed pictures of the hotel property: http://bit.ly/2aKDvX	
Oct 28 2009 	They do that bit extra to make it a really nice stay.	I stayed at a couple of places on this trip and the Library was by far the best one. The staff were very helpful and friendly from the outset. Obviously the services such as the cheese and wine (which was really nice!) give you a good feel about the place but I particularly liked their relaxed attitude - saying I could invite a friend to have the wine and cheese and that I was welcome to use the lounge during the day of departure, even after checking out. The location is excellent and the rooms were very nicely fitted out. It is certainly not the cheapest but it is well worth it - they do that bit extra to make it a really nice stay.	
Oct 27 2009 	most welcoming great service excellent location	It was my first time in NYC and I found the staff extremely helpful. Warm and welcoming atmosphere, I will definitely stay there again when I'm next in NY. I strongly recommend it.	
Oct 26 2009 	Lovely hotel	What a great hotel! We mentioned it was our honeymoon when I booked it online and when we arrived they had upgraded us to a nicer room and left a bottle of sparkling wine in the room for us. They made the whole stay very special--all staff were super friendly and made us feel very welcome. Plus there's free internet and free bottled water in the rooms and free breakfast every morning. They even offered to let us use the 2nd floor lounge after we had checked out as our flight wasn't until the evening.	
Oct 26 2009 	This is a gem of a Hotel in the centre of NewYork	We spent 5 nights at this hotel and could not fault anything about it. The staff were extremly friendly and helpful and helped make a great holiday.The breakfast is also included which was very nice (continental type breakfast) there was a wide variety of choices available.One really great touch is the wine and cheese evenings every night from 5 until 8 which is included in the price of the room.The hotel is centrally placed very close to Grand Central Terminal, Chrysler building and 5 minutes walk from Times Square.	
Oct 24 2009 	Fabulous	Lovely little hotel with lots of character. Conveniently located for everything. Had a brilliant time, would recommend. We booked a deluxe room, it was big enough for 2 with a good sized desk for working. Roof top bar is great and the restaurant below is really nice	
Oct 23 2009 	comfortable quiet hotel with friendly staff in a great location.	The theme is what first caught my eye, the price was reasonable (considering it is in Midtown Manhattan) and the location excellent.From the moment I arrived, the staff was very friendly, knowlegeable and helpful. Not just the concierges, but the bellmen, waitstaff and housekeeping too. Even though the hotel was old, it was very clean and well kept. The continental breakfast in the morning and the wine and cheese in the afternoon were nice touches and enabled me to have a light meal (for free) occasionally. The rooftop bar (with a choice of indoor or outdoor seating) in the evening was a pleasant place, but did get crowded on weeknights. Otherwise the hotel was very quiet.My original room (the petite) was as small as its name suggests, but was comfortable and clean. They asked if I wouldn't mind moving to a larger room for my last night at no extra charge due to some problem or other (they didn't say and I didn't ask). It was large and elegant and really nice. Next time I think I'll shell out a little more money for the larger room!I will stay there again next time I am in New York and highly recommend it. I don't know if its a great place for families with young children, but older children would be fine.	
Oct 22 2009 	Clean Friendly Charming Comfort for the Senses!	Having never been to the BIG APPLE, I was overwhelmed with the task of finding a &quot;nice&quot; hotel for my 87 year old mother, 16 year old daughter and myself (50 something). After much searching on the internet, we found the Library Hotel. I was delighted to find the Book Lover's Deal and called the hotel directly to ask questions and speak to a real person. The young man I spoke with said he recommends this hotel to his relatives and indicated the complimentary continental breakfast, wine and cheese receptions and snacks provided throughout the day are rare offerings at hotels in NYC. Unfortunately, we had rainy cold weather during our stay, but the hot tea and snacks were definitely a comfort, especially enjoyed by my mom who stayed at the hotel when my daughter and I took off! The Library's location was excellent...within walking distance to Fifth Avenue shops, GCT, NY Public Library. We even got to watch a film being made just down the block! The Madison &amp; Vine restaurant on street level provided us with a tasty meal before heading off to a Broadway show. The staff was very friendly and helpful- they offered to hail cabs for us and to our surprise, a bottle of wine, with glasses was in my mom's room upon arrival. I had told them when booking our reservation, she had just turned 87!	
Oct 20 2009 	had a great stay	a well situated hotel. We were very well treated, loved the free wine and chesse at 5pm and the availability of coffeee and pastries all day, espeecially as we had to leave early for our flight. Not the cheapest but you get what you pay for.	
Oct 19 2009 	Friendly clean great location good value	We were very pleasantly surprised with the Hotel, the room was small but absolutely fine for our needs, it was clean with good finishes and a lovely bathroom. The staff were very helpful and the continental breakfast and afternoon wine and cheese a lovely bonus. The location was perfect, we were able to walk almost everywhere.	
Oct 15 2009 	You will feel like you are their only guest...	This was my third trip to New York City, but my husband's first. By far the best hotel I've stayed at. It is amazing that the staff remembers your name, and it is such a nice feeling to be greeted by name all during your stay. You will feel as though you are their only guest. Being Southerners, the friendly and intimate atmosphere of this hotel was most impressive to us. The hotel is walking distance to many sights, and for those that are beyond walking distance, Grand Central is nearby making transportation very convenient. Any requests we made were handled quickly and efficiently. The staff was knowledgeable about the city and attractions, and were glad to make recommendations and reservations for you. (The restaurant they recommended for us was not a disappointment.) My only regret is that we didn't have more time to just relax and enjoy the hotel. It is a great place to come &quot;home&quot; to at the end of an exhausting day!	
Oct 14 2009 	Just Fabulous!	I am a native New Yorker and visit the city for work and pleasure several times each year. I have stayed at many different hotels, large and small. I can say without a doubt, The Library was the Best! The service was amazing, truly amazing! From the front desk to room service from wait staff, to maintenance staff, wow, wow, wow. I just cannot say enough. We stayed for five nights and have not a single complaint. The room, although a bit small, was perfect for us. Comfy bed, luxurious linens and towels, robes and toiletries, all perfect. And so very Quiet! Now where can you find a midtown , next to everything, NYC hotel that meets these standards?One &quot;mini&quot; criticism- If you are a TV watcher, you might be disappointed. The television was small. But, why on earth surrounded by all these wonderful books available at the Library and vacationing in NYC would you care?We also saw the Broadway musical Next to Normal, I highly recommend this emotionally charged play which is available at TKTS for 1/2 price. I wanted my tickets in advance and was still able to get a discount through Theatermania.comI love love love NYC and The Library!!	
Oct 13 2009 	It was fantastic!	This was our first time to stay at the Library Hotel in NYC. It was fantastic. It was so clean and cozy and neat and nice. The staff were so friendly and professional. Great books were everywhere and we love books. It was quiet and full of dignity and yet the night is everywhere at your idsposal. We got a wonderful sleep and the breakfast was delicious and in the evennings, all kinds of cofee and cookies and snacks. The rooms have referigerators and snacks and drinks. We could not say enough good about the Library Hotel and we intend to stay again and again.	
Oct 12 2009 	Broke my heart to leave	There are not enough words tosay how much I loved this hotel. When booking I mentioned that I was bringing my boyfriend to New York as a suprise for his 30th birthday and asked if there was any chance of an upgrade. On arrival the extremely polite and friendly staff told us we had been upgraded from a petite to a queen room. The front desk staff gave us loads of maps and info on the city and recommended things, places, restaraunts etc that we might like to visit. They also explained how the subway worked. Incredibly helpful!When we got to our room there was a birthday card and bottle of Presseco waiting for us to celebrate my boyfriends bithday, which I thought was a really nice touch.Our room was lovely. Really clean, nicely decorated and fairly spacious for a NY hotel room. The bathroom was nice with a good shower. Robes and slippers were lovely and cosy. And the best bed I have ever slept in. If it weren't for the amazing city outside I probably wouldn't have gotten out of it. The breakfast in the hotel was fantastic. I don't normally have breakfast but the bagels were so good I couldn't resist and it was really nice to take it up to the roof terrace. And the wine and cheese in the evening is a stroke of genius. Good wine and plenty of it. The location of the hotel is fantastic. Easy walking distance to Empire State, Times Square and the Rockerfeller Centre. I'm sure any visit to New York would be amazing but staying in this beautiful hotel made it perfect.On the day we came to leave both me and my boyfriend felt really sad. The receptionist said to us 'Don't look so blue, I'm sure you'll be back soon'. I hope she's right.	
Oct 5 2009 	Felt at home	The owner of the hotel is from Slowakia, you can feel the European touch: Windows to be opened, air condition to be switched of, breakfast with fresh handmade fruit-salad, Wine and chees with Gorgonzola and Camembert (not low fat).The room was clean, the linen was changed every (to much in my opinion). Negative was the inside of the wardrobe and the drawer, dusty and some hairs...The location next to Central Station is perfect. Times Square is in walking distance.The rooms are noisy. I had to use ear plugs, which have been offered by the hotel.	
Oct 5 2009 	THE place to stay for a romantic getaway.	Highest quality, impeccable service and all the little details are done right. Easy &amp; fun walk to Times Square, 5th Avenue up to the park, Rockefeller Center, Empire State, Grand Central...really nice. Creative drinks on the rooftop bar.	
Oct 4 2009 	I would love to stay at this hotel again!	The Library Hotel was fantastic! The location was great: within walking distance to the garment district, great 5th Avenue shopping, and wonderful restaurants. The staff was VERY helpful, giving us dinner recommendations and making the corresponding reservations every night we were there. They provided us with umbrellas on a rainy day and even band-aids for our blistered feet! Everyone we came in contact with was very friendly. The 24-hour refreshments on the second floor were perfect for us. The breakfast was perfect and the hot tea and snacks were great when we got back after shopping (we were normally coming in too late for cocktail hour). We had a junior suite which was perfect! The size was plenty big for me and my step-mother. I love that we had a small seating area (the pull-out sofa). The bathroom was small but great. I just can't say enough about this hotel! I would love to stay here again!	
Oct 3 2009 	Perfect location and superb room with balcony over Madison Avenue	The hotel is in a fantastic location for doing the sights of NYC. The views from our room(the only one with a balcony) were amazing. Although overlooking Madison Avenue very quiet once the patio doors were closed!The cheese and wine a welcome treat after a full day's sightseeing. The staff are very helpful and courteous. We stayed for our wedding anniversary and a card and bottle of bubbly made us feel quite special.	
Sep 28 2009 	Jolly nice hotel	My partner and I stayed as a treat on the last night of our week long holiday - had it been our first night we would have stayed there throughout. Whilst I have stayed in larger rooms the standards here were exceptional. Beds, robes, bathrooms - all great. But the greatest accolades go to the kind and efficient staff. We left some laundry overnight and it was delayed beyond our time to leave; the hotel offered to waive the costs and send our laundry back to the UK for us with their apologies. We walked the quarter mile for our bus to the airport and 10 minutes later our breathless receptionist waved the bus driver down as he was about to set off and boarded the bus with a 'parcel for Mr Radford' - above and beyond the call of duty I would say.	
Sep 27 2009 	Excellent Service	The staff at the Library Hotel really made the extra effort to make our stay enjoyable. From personal recommendations for restaurants, travel advice to Broadway selections, they were spot on. The rooms were always clean (not to mention tastefully decorated) when we got back and the roof terrace absolutely charming. Lunch at the restaurant on street level was the quintessential NYC experience, taking in all the hubbub and air/ noise pollution. The Library is also a short walk or taxi ride away from the sights and the shops.	
Sep 27 2009 	Perfect 10	We stayed 5 nights while exploring NYC for the first time. Stayed in the king suite and it was wonderful and roomy. The breakfast buffet was awesome and best enjoyed on the 14th floor outdoor/indoor bar. More than enough food to start the day. The workers were amazing...especially John, extremely nice and very helpful. The breakfast room was a nice place to unwind after 12 hours of exploring...even had a baby grand piano! Would stay here and only here on next trip to NYC!	
Sep 23 2009 	Beautiful hotel	We only stayed here one night, but enjoyed the room thoroughly. Had a view of Manhatten from 3 sides of room. Nicely appointed bathroom. Hotel staff helped us find a town car to get to Newark airport (not an easy thing to do with luggage). Very helpful.Great location, we could walk to Central Park, Empire State Building, Times Square, Grand Central Station. Would certainly stay here again if we go back to New York.	
Sep 22 2009 	Great staff wonderful relaxing atmosphere.	We found the staff to be very helpful and friendly. The complimentary breakfast and late afternoon wine/ cheese receptions are very nice. We have stayed here twice and we are absolutely sold on the value.	
Sep 22 2009 	Charming staff in a great location	We had a superb trip to New York and stayed at the Library for six nights. The staff were helpful and welcoming and arranged a bottle of wine for our anniversary. The location here is wonderful, right on Madison Avenue and accessible to uptown attractions and Soho shopping. We stayed in one of the larger rooms overlooking Madison. I'm sure this made the room noisier than others in the hotel but the classic view of a New York streetscape down Madison from our bay window was well worth the compromise. The complimentary breakfasts in the quiet lounge on the second floor were so much better than a huge buffet in a swankier hotel.This is a reasonably priced hotel for its amenities and I'm sure we will return.	
Sep 17 2009 	Great hotel great location!	The hotel is very nice. The rooms are a bit small but very well maintained. The Queen size room is good sized and the maid service is prompt. The free breakfast in the moring is very nice and relaxing. The entire hotel atmoshpere is a great refuge from the ctiy. Perfect for business or pleasure for a single or a couple.	
Sep 16 2009 	The perfect NY hotel	We stayed here for 5 nights as an anniversary holiday, and this hotel made the holiday perfect. From the moment we arrived we felt welcome, the service was warm and pleasant but never over done. The friendly concierge good advice on local restaurants (Benjamin's over the road was wonderful) and travel. Our room was a good size, well appointed with a very comfortable bed, and nicely understated bathroom. Breakfast is OK – there was a reasonable choice of pastries, although I’d have enjoyed a fresh coffee rather than from a machine. The restaurant, Madison &amp; Vine, on the ground floor was so good we went twice. Over all the choice of a hotel can make all the huge difference to a holiday; this one more than made up for some squally weather, grim British Airways flight and the typical endless waiting around at airports. We’d find it hard to image staying anywhere else in NY.	
Sep 15 2009 	Handy but serious IT problems for a business traveller...	Great location, nice staff and the breakfast and wine/cheese are good. The rooms are small (anything below a queen and you can't swing a cat), but clean, newly fitted out and to be honest most rooms in New York are small. The hotel theme is cute and extemely well executed. Its been a long time since a hotel theme made me laugh. I was on level 12 (religions) and had the African Religions room, replete with photo books including voodoo rituals. Very funny! (Although I did notice the photos above the bed, supposedly of African tribesmen included one photo of an Australian Aboriginal in traditional body paint, perhaps a decorator with a sense of humour?).The IT infrastructure, on the other hand is a dog. The hotel is wireless, and on first locating the network it shows 11Mbps..acceptable. But every time a connection is established it drops automatically to 5.5Mbps, and as soon as you push data at it it drops immediately to 1Mpbs or less. Not funny. I was so bemused I repeated it over several days at different times with exactly the same result. I complained to the desk and was given a cable to plug into the data socket on the wall. Dead. I was sent to the breakfast room to use the data socket there. Dead.In the end I went to the computer room and pulled the cable out of one of their machines and plugged into it. Perfect.I'm sorry, in this day and age and in a hotel marketing to international travellers, this is well below par.It also misleads about laundry availability. I was arriving Saturday night and needed some laundry done Sunday. It is advertised as a 7 day laundry service, but on asking I was told that there is no service Sunday without special order and a 50% surcharge.Room service is from a neighbouring restaurant which isn't open Sunday night.	
Sep 11 2009 	Loved it!	Great little hotel - very convenient outside of hustle and bustle of Tiems Square. Great service and comfortable room. The breakfast, cookies, chees and wine were all a big plus!	
Sep 11 2009 	The BEST hotel I've stayed at in NYC!	My husband and I have been to NYC several times in the past few years. This time, we decided to stay at the Library hotel, even though it wasn't near our friends in the city. Let me say---THIS WAS A GOOD CHOICE! The staff was courteous and amazing, the hotel room was fabulous, and everything about this hotel was great. I would recommend it to anyone who wants a boutique hotel experience in NYC.	
Sep 9 2009 	Perfect location in a relaxing hotel	The location of the hotel is close to all sights and perfect transportation options around NY area. Located on Madison Ave it has found a quiet corner, which is fantastic after a day out and about. Breakfast is eaten in the Reading room and is of good quality but I would not agree on it being a luxury bfast.I stayed in a Petit Single and thought the layout of the room was perfect but the bed was wobbly.I would definately recommend the hotel to anyone travelling to NY and find it a gem of a hotel.	
Sep 8 2009 	Most amazing hotel in the most amazing city	My boyfriend and I stayed in the Library hotel for 3 nights in July and I cannot recommend it enough. From the moment we checked in the service was absolutely impeccable, the wine and cheese nights in the evening are brilliant, the lounge is so comfortable and cosy, the rooms are beautiful and the bathrooms perfect. The roof terrace is a lovely place to enjoy a glass of prosecco and watch the sun set and the location could not be more perfect, there really is nothing to fault this place on. This will be the only place I stay in NY in future and I've already recommended it to several friends who have booked and loved this place. Perfect!	
Sep 8 2009 	Perfect NY Hotel	This hotel would usually a bit beyond my means (£275 a night for a queen and the cupid package) but I booked it because I was proposing to my partner whilst we were in New York and wanted something a bit special.I wasn't dissapointed (neither was my other half).The hotel is everything all the other reviews make it out to be. The wine and cheese is such a lovely touch. I took the 'Cupid Package' which was perfect and exactly what I wanted. The room was covered in pink rose petals! Also included was a bottle of Rose Champagne, some champagne truffles and a dozen pink roses in a vase.The staff were descrete and very helpful and the room (whilst stlightly small - aren't they all in NY) was perfect.I would 100% visit agiain and fully recommend this hotel.	
