	Clean room friendly helpful staff	We recently stayed at this hotel for 2 nights. The rooms were clean and well maintained but quite small. As we were out and about most of the time and only there to sleep for 2 nights it wasn't a problem.The staff were friendly and very helpful. We had a few queries and they were very attentive and helped us sort everything out.The location was good. It was in a quiet location but within easy walking distance to Midtown.I would definately stay at this hotel again.	
Sep 8 2009 	Great deal!	We booked 2 rooms: 1 king bed room and a 2 double beds room for 2 nights and we were very pleased! (especially considering the low price we paid). Staff was professional, rooms were beautiful, clean and bigger than I expected. Max occupancy for the 2 double beds room was 3 persons according to the hotel but we could easily have been 4. The max occupancy was 3 because one side of one bed touches the wall so one of the bed would be more difficult to access for one person but it would not have been much of an problem if we had been 4 persons. Rooms were very well isolated too, we didn't hear anything from the other rooms.The only bad surprise we got is that there were no safe to keep our valuable stuff (passports) in the room. But they can keep it &quot;safe&quot; for you at the front desk (but we did not use this service).When we check-out, they kept out luggage so we could leave NY later in the day.There is plenty of cheap parking around the hotel (http://www.bestparking.com). I think we got a better deal using the bestparking website that if we had used the hotel's parking &quot;deal&quot; and our parking was a 30 second walk from the hotel.	
Aug 29 2009 	Great stay at great price	My husband and I stayed 4 nights at the Holiday Inn for our anniversary and were very pleased with the discounted rate they were able to give us over the phone. The staff was VERY friendly, and although the rooms were small they had been updated recently and were clean. The linens were nice, the bed was a little firm, and they even gave a variety of different pillow types to choose from. It is located on more of a &quot;side street&quot;, but the F train was very close (maybe 3 or 4 blocks?), and we were able to walk to the Empire State building. I felt very fortunate to have found such a nice hotel for such a low rate in NYC.	
Aug 26 2009 	Do not come here	I am Priority Club Platinum member (highest possible level) and I often use Holiday Inns and Intercontinental hotels. I have been to many, but have never seen such a SMALL rooms. If you are traveling with someone, there is barely enough room to stand together by the bed or in the bathroom. Did I mention that rooms are extra-small? Then imagine bathrooms... even SMALLER. The locations of the hotel is OK, on the 26th Street West, I would say that this is the main positive thing, I would also praise friendliness of employees; another problem is housekeeping, which is one of the most slow services everywhere... We stayed here for 5 days, but on three the housekeeping managed to come after 4pm. You have also free access to &quot;high&quot; speed internet, but this is no HIGH speed internet, but extremely slow speed internet. I have even meausured the speeds, and the speed is between 8Kb and 20Kb per second, depending of the time of the day. SLOW. Another thing is that there are no glass-glasses in the rooms, only plastic ones. The hotels only has 2 elevators, so at times you can wait for one for minutes... The hotel actually feels more like motel, not a real hotel. And for Priority Club Platinum members... there are no upgrades. I even asked manager about this, and got the answer that we were upgraded in the high floor (19th out of 25)... not breakfast/dinner upgrade or larger room upgrade... strange... one ask himself about Priority Club membership...	
Aug 22 2009 	Beware of the parking fee...	Our overnight stay here was flawless, from the smiling and attentive service we received at check-in to the friendly bellman who gladly whisked our bags to a holding room at checkout so we could spend a day at MoMa. Only thing that left a bad taste in our mouth was the extra FULL day of parking we were charged for going about 90 minutes over 24 hours at the parking lot down the street. Hotel says the charge is $30 a night, we were charged $60. Turns out it is a flat rate that the hotel has negotiated with the lot, so the hourly rate does not kick in after the first 24 hours expires. So beware. Otherwise, couldn't have asked for a better experience. Request a high floor on the back of the hotel and you'll have a postcard view (Empire State Building, Chrysler, GE Building). Rooms were decent size, neat and clean, beds extra comfy, almost never a wait at the elevators, place was exceptionally quiet, convenient to just about everywhere (subway is a couple of block walk) and the constantly hustling staff couldn't have been more cheerful. They did steer me to a wine shop two blocks away that had been closed for hours, but that was their only misstep. FYI, I did find a nice little wine shop, the Buzz, on 27th west of Sixth Ave. that stays open until midnight.	
Aug 22 2009	Decent Hotel. Central Location. Friendly Staff. Dingy Backstreet	Decent hotel, not fancy but clean and comfortable. Friendly hotel staff. Not a long walk to the subway. Room and bathroom compact but two double/queen beds more than adequate for good night's rest. Self parking was $30/car or $40/van at a park lot a block from the hotel. Alternatively free street parking was available at nearby streets (e.g. 27th) from 6pm to 8am.Although hotel itself is nice it is on a small dingy street wedged between two old dilapidated buildings so the first impression of the area is not great.	
Aug 22 2009 	Great value find	Got a cheap rate online at the last minute for about 119 USD. Was a steal. The hotel must have the friendliest staff I have seen in a hotel for a long time, the place is clean and well serviced with a business centre and small gym. I liked the philly cheese steak in the restaurant as well. Good location. At the doorstep of the happenings of Chelsea. Would stay there again definitely.	
Aug 8 2009 	Great staff clean room central location rooms a bit too small	This was our first trip to NYC. We drove in to Manhattan and this hotel was only about five mintues from the Lincoln tunnel. We parked in the Central Park about a block down the street. The parking is usually $50+ but the hotel will validate your card when you leave and it knocks the rate down to $30 a day. The Hotel was very clean and had all of the amenities that I needed. The staff was very helpful and attentive. The elevator and hallways are not air conditioned so expect to sweat a little bit during peak hours espically if you are staying on the top floors. The room was very clean and had an awesome view of lower Manhattan. However, The only compaint I have is that they rooms are very tiny and I mean very, very tiny. Maybe this is the way everything is in NYC. All and all we didn't spend much time in the room so the size factor wasn't a big issue. I would recommend this hotel to a friend just because it is convient and seemed to very central to all of the sites and lower district.	
Aug 4 2009	Great Alternative to Manhattan Midtown Hotels	My son and I stayed here in August 2009. We were traveling to NYC via bus from Washington D.C. and chose the hotel based on location and price. A quick aside, Vamoose Bus is a great way to travel between the two cities. The trip takes about four and one half hours. In most cases its faster than the airlines (door to door). For $25 (one way) you can't beat it.If you're familiar with Manhattan, the hotel is located below midtown in the Fashion District. It's on 26th between 6th and 7th. Not the greatest area, but certainly not unsafe.The one way walking distance to Times Square is approximately one mile and may eliminate the hotel for consideration for some.The hotel itself is new. It is a slender, 25 story building, maybe six rooms per floor. We had a double room that was spacious by Manhattan standards. They were double beds instead of twins. The room had a closet, desk, flat panel TV, free internet (wired/wireless), about 350 sq ft. The bathroom was adequate with only a shower stall, not a bathtub/shower combo.Check in was quick and effortless. The few contacts I had with staff were friendly and helpful. The room was quiet and spotless. The beds were comfortable. Absolutely no complaints. The checkout was also hassle free as they deliver the statement during your final night. You sign and leave it at the front desk with the card keys as you exit.The hotel has a restaurant on the premises which we did not visit.If your business or leisure don't require you to be in the Midtown Area, this is a great alternative. This is particularly true if you enjoy walking. I might think twice about staying here in inclement weather if I was planning on walking to my destinations in Midtown or farther.This is an even better deal if you are able to score a great rate as I did from the Holiday Inn website.	
Jul 26 2009 	Not the best Location	Not the best location it would take 20-30 mins to walk to Times Sq and didn't feel as safe as other hotel locations. Room was nice and clean and modern with starbucks coffee and usual toiletries, very nice linen. Staff helpful. Gym very basic, limited equipment and no pool. Pretty quiet compared to other hotels. Didn't try the breakfast as this was expensive but there is a fantastic little grocery store around the corner that did a hot bacon and egg sandwich with free coffee really cheap - highly recommended, very tasty!	
Jul 23 2009 	WOW	This is a great hotel. The staff is the nicest staff I have gotten to experience in years. The rooms are very clean and modern. The rooms are on the small side, but what can you expect for NYC. They do not air condition the hallways and are very hot, but air works great in our room. Hallway noise was very minimal, but we stayed on an end. The pop machines located on different floors seemed to always be out of stock at least the two different dates we went to get one. The hotel is one of the shorter buildings around so not much of a view and being we stayed on the second floor on the back all we got was a dirty alley view and a brick wall. There is only two elevators that move rather slow so be prepared to wait to go up or down. If you decide to take the staircase they lead to an alley with dumpsters so don't recommend taking stairs at night. There was always a taxi waiting outside the hotel so this was great. Pen station and times square just blocks away. An $8 cab fare and you are in china town. Overall great location and great hotel!	
Jul 8 2009 	Outstanding!	My husband and I had the pleasure of staying at the Holiday Inn, Manhattan recently. We were so pleased with our choice of hotel. Not only was the price great, but the location was perfect - very evenly placed between many great sites. The hotel staff was outstanding. In particular, the front desk staff and chef were friendly, helpful and went out of their way to make our stay easy and enjoyable. Thanks to one of the front desk clerks who pointed us in the direction of a great roof-top bar nearby. In addition to the great staff, the hotel was clean, modern and well kept. We had read reviews that indicated that the rooms were small, but we felt ours was a pretty typical size for NYC. We would highly recommend this hotel and we will definately return if we decide to travel to NYC again.	
Jul 2 2009 	Clean and Courteous - GREAT!!!	I travel to NYC often for business and it is next to impossible to find a hotel that you can afford to stay at, is clean and where you are not embarrassed to house clients. Finally, I found one! Location is great - two blocks from the subway and reasonable walking distance from the train station. The price was right - look online for advance sale bargains or call the hotel sales team directly - they were so helpful and accommodating. The hotel is clean and bright with comfortable beds and pillows. The staff was polite, which is rare in NYC and the evening manager even called up to my room to make sure everything was to my liking. I will be staying here as often as possible when I return to NYC	
Jun 15 2009 	Cant get Better	All I can say is the staff was the best, it was a young staff, very professional very helpful. The day I was checking out my flight didnt leave till 7pm and I wanted to sight see and the stafff held on to my luggage till them so I wouldnt have to get another night check in just for the luggage. It is a little noisy but I loved it because thats what I was in NY for. I took the Q33 bus to Jackson Heights train station and from there to F train to 23rd street and 6th ave. It was just a 5 min walk to the hotel. The taxie was 60.00 from La Guardia so we took the train. The room was sparkling clean, pillows and bedding was nice, room is kinda small so if you expect to put someone to sleep on the floor dont even try it. To eat there is a place to eat in every corner. Madison square gardens, Penn Station ,Empire State Building, are about a 5 minute walk to hotel, also Times Square . If you want great location, great service, clean rooms, comfortable beds without stretching your budget, this is the place. But caution if you are trying to get a room with no noise, this in in the central of everything and its noisy and veryyyyyyyy busy buth thats why I love NY :)A+++++++++++	
Jun 9 2009 	Excellent hotel and staff excellent value	We were very pleased with the cleanliness of the hotel, the friendliness and the helpfulness of the staff, and pleased with the hotel's location. We were just three blocks from the subway and just about 10 blocks from the Empire State Building. The rooms are small, but most of our time was spent site-seeing so that was not a big issue. The bedding was very comfortable and there was plenty of closet, drawer and counter space. I would definitely stay at this location again!	
Jun 6 2009	Enjoyed our stay!	Planning just a drive through the city, we decided to stay. Wasn't sure if we were going to be able to get a room with such short notice on a Saturday afternoon. We were thrilled that the Holiday Inn had a room. It is a small room, as others have stated, but it served our needs well. The beds were comfortable, and the room was very clean. We had a wonderful meal at the Prime Cafe located within the buiding off of the lobby, It was the best burger I've had in a long time, with wonderful service from our waiter Joe. We have also received a coupon of $20 to go toward our breakfast. We also were able to park one block down, for just $30/24hr.	
Jun 6 2009 	Nice Hotel Great Location and Great Value for money	Got a great deal at this hotel on travel zoo,three of us stayed here for 6 nights in one room with two double beds. Rooms were nicely decorated, clean however very cramped for three people, however as we were out all of the time it didn't really matter. Our room was not serviced on one of the days and we also had a problem with the toilet however when I called reception it was dealt with straight away. Staff were very pleasant and helpful special recommendation goes to Leo on Concierge who was extremley helpful and polite. Hotel bar and restaurant was also very nice, although didn't eat there the food looked superb however the hotel needs to market the restaurant a little more. We ate in an Italian ( I think) across the street and it was excellent. Would stay here again.	
May 23 2009 	BEST VALUE AROUND	I HAVE REAL PROBLEMS WITH HOTEL ROOMS BUT CAN'T AFFORD THE 5 STAR ESTABLISHMENTS. These rooms are small but very clean and who stays in the room anyway? I was thrilled with the cleanliness and lack of odor. This is a small hotel with only 9 rooms per floor. Everyone is close to the elevator and you can hear people in the hallway and doors closing. Just turn on the fan in the bathroom and partially close the door to get rid of the light. Ta Da instant sound machine!The staff was always friendly and accomodating to my requests.Located between 6th and 7th, near subways,and a great walk to midtown. I was a lone female traveling and never felt unsafe although I did not walk past 9:00 p.m. and took a cab instead.YES, STAY STAY STAY!	
May 20 2009 	Very good location OK service	It was a nice to stay n this place, It had everything I needed, specially the location I was looking for. I could rest most of the time and had a cozy time!	
May 13 2009 	Perfect staff and location	The staff was outgoing and friendly with an obvious desire to please. Our room had a wonderful view of the city. Bathroom a bit small, but no surprise for NY hotels. The hotel was sparkling clean, well appointed and suited perfectly for a weekend getaway to the city. The mid-town location was perfect since we were going both up and downtown. Easy to get to a variety of subway stops, restaurants and galleries.	
May 11 2009 	Reservation was not honored	We had reserved rooms with double beds to accomodate our family. When we arrived, the hotel claimed it was overbooked and could only provide us a king bed for half of our stay. Four in a bed is too cozy for me--family or not! The rooms are very small--no room to even put someone on the floor. It appears this is not an uncommon practice for this hotel. Beware!Rooms were clean. Location was close to Times Square and Penn Station. Elevators were very slow and crowded. Staff was cordial, but unable to fix our uncomfortable situation.	
May 4 2009 	Cozy (small) but good location 	Small room but very good for solo traveller. Everything worked (hot shower with good pressure, HD Cable with HBO, adequate elevators, subways &amp; deli nearby).Downside - noisy but effective A/C (usual Holiday Inn wall unit with in-room thermostat), noisy street early a.m. out front.	
May 4 2009 	Good Location - nice hotel	Stayed with a large group here over 4 nights.Great location to see everything, and a few minutes walk away from some good eateries. Great Italian around the corner.Rooms were comfortable, clean and as expected. Staff were polite.	
May 2 2009 	AMAZING STAFF - VERY CLEAN-	Customer Service Was Wonderful I Stayed for a week and had no complaints - the rooms were a little crammed I felt for the the price but they did have an in house restaraunt (kind of expensive) the location is perfect right in the heart of the city: downtown Manhattan	
Apr 28 2009 	Good location nice staff noisy rooms poor shower	The building is very narrow. There are about ten rooms per floor, so the minute people get off the elevator, you can hear every single word they're saying. On the plus side, most of the room are corner rooms, so you'll encounter little foot traffic. I had no trouble sleeping.My room had a very poorly designed shower (no tub). There was only a plastic strip on the floor, and the shower curtain was too short. As a result, water went all over the bathroom floor.On the plus side....very friendly staff and a convenient location. I didn't dine at their restaurant, so I can't comment. There are decent options nearby. On the corner of 26th St and 7th Ave there's a Mexican grill and also a Whole Foods a block to the left. If you turn right towards Madison Square Garden, there are plenty of places to eat. It's a 15 minute walk to Herald Square and Macy's. The hotel is between two subway stations, and it's a short ride to Times Square and the West Village.	
Apr 20 2009 	Really small but convenient and very nice!	We decided to stay one night in New York in order to see Time Square and Broadway before we continue our journey to Canada to visit my husband's family. This hotel is located in Manhatten's 6th avenue on the 26th street. So, if you want to go to Time Square (42nd street), it is around a 15-20 minutes walk. But the street (7th Avenue street) is very busy and full of things happening left and right. The number of people walking towards and coming from Time Square can be over whelming! You can't help but think where are all those people coming from or going to!The hotel itself is clean, quite small. You enter from the hotel door and surprise, the reception is right 3 staps away! The receptionists are funny and loud. The guy who was checking our reservation was throwing jokes and made us feel quite at home! The room had a big very comfy bed, big 36 inch LCD TV (which looked huge compared to the size of the room - so you feel like you are in a cinema!). the bathroom was clean but there was no bath-tub. Just a stand up shower which is alright. There was free wireless internet connection as well.We asked for a wake up call and a taxi the next day at 6 am and everything was right on time.The only draw back I found was the noise. There was a couple right next to our room who came back around 4 am clearly drunk and by the time they managed to open their room I was awake because the noise was as if they were with us in the same room.Ah, one more thing: apparently you could actually order your own food from any restaurant outside the hotel. Seemed it was permitted as when we were going out that night, the room next to us had some pizza carton outside their room.	
Apr 18 2009 	Cozy Hotel	We stayed at the Holiday Inn last weekend. The front desk staff is wonderful. The beds are very comfy. The rooms are small but that is typical for Manhattan. We had to unpack and put the suitcase in the closet or we would have had to walk over the suitcase. Two of our rooms had only shower..no tub but we did not miss a tub. It was a little noisy in the a.m. But the hotel can't control noise. Other travelers would be talking by the elevators and the elevators are slow,,, also common in older NY buildings. Bring ear plugs if you are a light sleeper. Parking is down the street and I think it is about $35.00 per night.I booked the hotel on the internet for holiday inn and somehow ended up booking an extra room and they will not refund it...so be careful. It worked out as my son and his girlfriend came and stayed with us and it was fun.	
Apr 18 2009 	Great locationa and very good VFM but rooms small	Excellent location, ideal for shopping, restaurants, Times Sq etc. Stayed 2 nights in a twin bed room and got a great rate of $140 a night. Hotel is new, modern and clean. The big issue, mentioned by others, is the room size. We were 2 adults and a teenager and it was a squeeze. The room is mainly 2 beds! But they're v comfortable, with a choice of firm and soft pillows. A large LG TV, a small wardrobe, a 3 draw dresser and a tiny desk filled the rest of the space. The bathroom was 'compact'. But everything worked and in reality how much time do you spend in your room when in NY? The AC was loud, but we didn't need to use it at this time of the year. Free internet was a bonus. Would definitely recommend, if you get a good deal.	
Apr 18 2009 	Best value clean gret location but small rooms!!	Great hotel close to subway stations, restaurants and Empire state building. Small rooms but clean and comfortable (amazing bed!). You don't hear anything from the next rooms or even outside.restaurant in lobby but also great breakfast places (malibu diner) close by.	
Apr 16 2009 	Clean and New	The Holiday Inn is a great choice if you are looking for a clean and new place to stay. The hotel is very nice and the employees are great. Ask for a high floor room to have some great views. I would give this hotel 5 stars if the rooms were not so small. If you are staying more than a few nights this might not be the hotel for you if you value space. However, for a few nights it is perfect especially if you value a super clean and new hotel. I would have no problem staying here again for a few days.	
Apr 16 2009 	Great place for sleeping.	Room was clean, but very small. If you just want a clean safe room to sleep in it is OK. Not a lot of things close by.	
Apr 4 2009 	A Tall Secret on 26th St.	The Holiday Inn on 26th St. is so new that some cab driver did not even know it existed until we gave them directions to the hotel. It's a tall and slender hotel surprisingly in a quiet street between Chelsea and the Flatiron District.  As many travelers have commented on past reviews the lobby and rooms are small. However, there is a bar and restaurant that provides a larger space to socialize away from busy crowds in the lobby. I was amazed by the friendly service the front desk provided even with people crowding at the desk wanting to check in, check out, ask for directions, and complain. The employees are able to handle such stress and maintain a friendly smile throughout the craziness.  We stayed on the 16th floor wtih a view of 26th street. The double beds were really comfortable, but as other travelers stated, the rooms were fairly small. The bathroom itself had a tiny sink, but four people were able to manage a weekend in this tiny room without any issue. I did not hear any noise coming from the hallway since some of the doors to the rooms are tucked in small hallways. As far as the elvator situation, we really had no issue waiting between the two in the building. It ran up and down quite fast so there was no issue having to wait for a long time. This elevator is in comparison to The Pod, which unfortunately ran slow and was smaller. We had drinks at the bar and the people there are so friendly and will make you some strong drinks. However, it was pricey like all other bars in NYC.  The neighborhood is really interesting since it is mixed with tourist, straight, and gay people around. On 7th street lies FIT and Martha Stewart's studio and on 6th street lies your CVS and Starbucks. The subway are on 28th and 23rd street, but would reccomend 23rd street since its busier around the Flatiron Building and provides multiple tracks (RWFV). Cheap breakfast can be found at A Taste of NYC on 23rd and 6th (literally eggs,sausage, and hash brown for under $4). After hours dinner and good dessert is on 23rd at Malibu Diner. There is a bar next door to the hotel, but there is also Rogue around the corner. This bar felt like the employees were snobby so we didn't go there again.  If this is the new look for Holiday Inn, then I definately agree they have stepped up to a level of competition with Hilton, Sheraton, and Radisson. This hotel was very comfortable even with small rooms, the bed was amazing. Its ambience and exceptional customer service made the place bigger than it really was for a weekend stay in NYC. The neighborhood is far enough from the crowds of Time Square, but close enough to see the lights on the corner of 7th and 26th. I definately would stay here again since the neighborhood offers all nearby attractions without the noise and crowds of NYC. Holiday Inn is a tall secret on 26th street that will make a memorable stay in Chelsea, NYC.	
Mar 2 2009 	Met Our Expectations and More!	The reviews that we read about the hotel were realistic and well written. We were plenty surprised by the cleanliness and service-oriented staff. Yes, the room was a little small, but it was actually cozier than small. We found the location very convenient to all the attractions that we were interested in. It is a short taxi ride to Times Square or a good, brisk walk up 7th Avenue to Madison Square Garden, Times Square, or the restaurants and services in Chelsea. We definitely would stay there again.	
Mar 2 2009 	Great location and helpful staff	Check-in: Very smooth and uneventful. The front desk was really helpful during our long weekend. One gentleman recommended the Malibu Diner for breakfast and we ended up eating there 2 mornings in a row because of the quick service, low prices and we loved the French Toast and Club sandwiches there. When we checked out on Sunday, the staff at the front desk offered to hold our bags for us so we could do some more exploring before catching our bus. They also graciously allowed us to sleep in a bit on Sunday before checking out which is ALWAYS appreciated.I read reviews that the elevator wait time was long but we never had a problem with this. Even if we had, we were on vacation so it wouldn’t have ruffled our feathers too much. The room was very small as you would expect from previous reviews, but since we weren’t expecting anything different, we weren’t disappointed. The bed was definitely a plus with a really comfortable king mattress. Only thing I wished is that I had requested a better view since we just had a view of a building right next to us. No biggie since we weren’t in there much, but if you pay full price, it may be something to request since they sometimes can accommodate you. Another somewhat annoying thing that I don’t normally notice, was how much you could hear the neighbors. We could hear our neighbor slip the key into their lock next door and it was so audible that I couldn’t shake the reflex of jumping up and thinking the maid was coming in. I don’t think there’s much you can do about this since the building it so tall and narrow, the rooms are really tightly packed together. The location was great for us since there were plenty of quaint places to eat within walking distance. I was like a kid in a candy store, just exploring and picking a restaurant based on the displayed menu or the look of the place. We walked everywhere. We liked being able to walk to Times Square and doing lots of shopping at the big Macys. I recommend walking to the Chelsea Piers for lunch one day because they have fresh seafood in their mall and the most amazing bakeries I’ve ever seen. Gourmet hot chocolate was excellent at a coffee stand in there. For Central Park, the Met, Little Italy, etc, you will probably need a taxi like we did, especially if it's cold.	
