	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Aug 22 2009 	Liked the Downtown location a lot..."	Having visited NYC only a handful of times, I was concerned that the location of the New York Marriott Downtown would be inconvenient. But since I used Marriott Rewards to book our stay, this hotel allowed us to stay for the longest number of days with the fewest number of points spent. We had a very good stay. After mentioning that we were celebrating our anniversary, we were given a corner room that was a spacious junior suite, with a small living area. While we were not high enough to see the Statue of Liberty (as others have mentioned), we did have a nice river view. The Starbucks off to the lobby was a great perk; we did not eat in the hotel restaurant, but picked up food at delis near-by. The woman who checked-us in was kind enough to send us a hand-written note wishing us, &quot;Happy Anniversary.&quot; We had a great (and informal) anniversary meal outdoors at Adrienne's Pizza Bar in the Stone Street Historic District, about 15 minutes walk from the hotel. There were several other restaurants there that also had their tables set out on the cobble stone street. My wife thought it was &quot;charming&quot; and the pizza was very good. We were surprised that the person helping us with directions at the front desk hadn't heart of the area. Finally, access to the subway was very easy, just a few minutes walk from the hotel. We took the subway everywhere and never took a cab. After seeing a play on Broadway one night, we were very glad that we did not stay in the very crowded and noisy Theatre District/Times Square area and that we could come home to the quiet of the New York Marriott Downtown. We would definitely go back.	
Aug 10 2009 	A true room with a view---can you meet Ms. Liberty from the window	The marriott is always dependable and this one lives up to it's word too! It's very clean and well-maintained. The staff is friendly and helpful. There is a concierge too that will get you tickets and reservations for dinner. For a few $$ you can upgrade if it's available with a room with a view. You can see the Statue of Liberty from the window! Amazing. The beds are comfortable and you have lots of pillows! The restaurant downstairs has a nice hearty breakfast and the hotel is connected to a Starbucks. If you want a final nightcap you can get a drink at the bar! Lovely.	
Aug 10 2009 	Good Hotel - Ideal Location	We stayed here for 3 nights in July '09 - family of 4. Found the hotel to be very good.Nice sized rooms and the room we were allocated on the 35th had a fantastic view across the river!. The room was well appointed, comfy with all of the mod cons expected from a Marriott Hotel. The staff were friendly &amp; helpful at all times. We requested a late check out on the morning of departure and this was done without any problem whatsoever. A Good bar / restaurant at the front with nice food - a little noisy but hey this is NYC! Yes - there is construction within the location of the hotel but please remember you are literally within yards of Ground Zero at the WTC. Breakfast at Starbucks (in the same building) was far better value than at Roy's Restaurant. We found the location ideal - particularly for Battery Park, The Staten Island Ferry / Statue of Liberty, Ground Zero and downtown NYC. Around a 20 minute walk up Broadway to China Town &amp; Little Italy.Plenty of subway stops close to the hotel so getting quickly &amp; easily to mid &amp; uptown was no problem and cheap. Overall everything you would expect of a Marriot and a good location for exploring Manhattan &amp; beyond.	
Aug 9 2009 	Wouldn't stay here again	I found this hotel very disappointing. The rooms are okay, but the soundproofing isn't wonderful, and the hotel is a bit shabby. I had asked for a quiet room (and usually as a Marriott Rewards Elite member you do get a decent room); when I arrived after a long and delayed flight, I was given a room directly across from the ice machines, the cleaning staff room, and the service elevator. My room key card had the original room number--a corner room--crossed out, with the new room number written beside it. Clearly another guest had complained about being alloted such a bad room, so they had given that guest the room I had originally been assigned. I was told that there was no other room available.	
Aug 2 2009 	Great hotel	This hotel was clean and the staff were overly courteous and attentive. Parking is expensive but we just parked the car for 4 days and used public transportation.Downstairs bar is pretty good for munchies. There is no pool, not much to do at this hotel but NY never sleeps! There's a deli around the corner (beside 911 Museum) that serves all foods. Most delis do and are fantastic food and budget wise. There's a little breakfast place around the corner as well - breakfast at the hotel is very pricey. The hotel is not right downtown but is in a good location for the subway. Buy a pass and take it everywhere! First day there, do the bus tour - there are 3 - choose your preference. It'll show you what's out there and give you an idea of where locations of interest are. Try to get out and try the restaurants. Shop and dine at Pier 17. Uno (one of the restaurants) was just OK. Try NINJA for a neat dining experience. A bit pricey but fun. Wear comfortable shoes and carry an umbrella wherever you go. There are people selling water bottles everywhere for a buck, thankfully!The city is unbelievably clean and the people are undeniably kind. Even the young workers have great attitudes and actually want to help and serve you ! - sorry but it's hard to come by in Ottawa!! No homeless people and the streets are safe all the time.If you have teen girls - go to 5th Avenue and browse! Abercrombie and Finch - they'll love it - they can get their pic taken with the model du jour !! Free of charge! Central Park is a must - it's large but beautiful. Check out Gugenheim museum. If you want to go up Empire Stage bldg. be prepared to stand in line!ENJOY!	
Jul 26 2009 	Awful	My weekend shopping was accidentally thrown away as garbage...okSecurity made me feel awful, almost saying like it wasnt the end of the world after I complained. They said they will reimburse the money back with an extra 50 USD, which I considered humilliating. Also, one day it took me like an hour to close the door, the next one plumbing problems, that was fixed the same day after I mentioned it.Location is good. Concierge, check in, etc were ok as well.	
Jul 26 2009 	Awesome hotel!	This hotel is very clean! The staff was extremely helpful and polite.	
Jul 23 2009 	Great location at a great price	Although in the financial district of NYC, I found the location excellent. There are several subway stations close by and the ride to mid town is about 10 minutes. I had read that usually over the weekends the area was not crowded, but to my surprise I found a lot of tourists walking around both days, so I felt safe walking around as well. Perfect place to stay if you have to wake up early to visit the Statue of Liberty as it will take you five minutes to get to Battery Park. My only challenge was that my key stopped working after two days (for a 3 day stay) and when I requested a copy at the f/d, the girl asked me three times if I didn't have additional keys because she didn't want to cancel them. As a Front Office person myself, I understood the reason behind her question, but after the first time when I told her &quot;no, these are the only 2 keys&quot;, she should have given me my new keys. Besides that, everything was excellent.	
Jul 20 2009	worst hotel I have ever had the misfortune to stay at - please stay elsewhere	Rude and abusive staff that bully and assault. Concierge service that ruined over $400 worth of tickets and tours as with mis - information and laziness. Staff that cannot properly deal with complaints other than to ask you to leave, of course the hotel was prepaid. Building site outside the front door, dirty windows - but just awful, terrible staff.	
Jul 18 2009 	Business hotel OK for tourists	I stayed at this hotel with my partner for 2 nights in July. We chose it for price as we did not want to pay too much as we did not plan on spending much time in the hotel. We were aware of the pool being closed but this did not bother us.The hotel is a good location for the financial district but also good for tourists to see the lower end of Manhattan. It is particularly convenient for Battery Park, Wall Street and the ferry to the Statue of Liberty. We even walked back from Central Park to the hotel - it took a couple of hours.We arrived around midnight and found reception staff helpful and friendly. We were able to arrange a checkout for 2pm although would have preferred later. Despite the construction work close by at the WTC site we did not find it disturbed us on the 9th floor.We were allocated a disabled room in order to have a king-size bed. We found the bathroom door difficult to open/close and the shower temperature only lukewarm most of the time.We had one breakfast at Roy's in the hotel but did not find it good value for money. Next morning we had similar breakfast at Starbucks for a fraction of the price. We had one dinner in the noisy sports bar - large portions and plenty of choice.Overall this hotel suited our needs of a reasonably priced room for two nights.	
Jul 13 2009 	Great Value in Lower Manhattan.	We stayed here on the weekend of July 11, 2009 with another couple. This was (probably) our 6th or 7th stay at this hotel, so I feel obligated to write a review even if it feels a little like home now.We like the place because we usually don't go above 16th street and stay in the village/soho for most of our stays. For first-timers who want to go to Central Park and see all of the sights in midtown, it's a bit of a hike even on the train. (Red 1 and Yellow R lines have stations within a few blocks of the hotel, so it's not too hard to get wherever you want to go.)I write this report because I need to point out how quick and easy it is to get in and out of here. All it takes is a quick U-turn on the West Side Highway at Battery Park and you're there in a few blocks. The front desk attendants have always been very quick and friendly at check-in.I don't really take too much time worrying about the rooms, because we spend no time there. However, the beds are very, very comfortable. (We get a king bed and sleep like we're dead.) The bathrooms are good, spacious hotel bathrooms. The TV's look fancy, but they picture tends to be below average. If you're planning to spend a ton if time in a room watching TV, go somewhere else. The view can be great. Ask for a room facing the Hudson River with a view of the Statue of Liberty if it's something your'e interested in. It's a nice view to look out upon if you spend a lot of time in the room.Roy's is the hotel restaurant. He's a very highly regarded Hawaiian chef and the place gets great feedback, though we've never eaten there.The bar (915 West?) has expensive cocktails and some very good food. (My wife swears it's one of the best Tuna Tartar's she's had. She's had a lot of that stuff!) Cool vibe. 100% tourists...not a local in sight.Starbucks and a gift shop are on site. World Trade Center site is a block away. Lower Broadway is two blocks away.The very trendy W Hotel chain is putting a place up right next door, which should bring other businesses to the neighborhood. I think it's a real good sign that the neighborhood is really coming back to life after being decimated on 9/11/01.Overall: This hotel is our homebase when we come to NYC, 2-3 times/year.Reason: Great value. Easy to get into/out of by car. Subway stops right nearby, so we can go anywhere very easily. Very friendly staff.	
Jul 7 2009 	Beautiful Weekend	We stayed here Memorial Day Weekend and had a wonderful time. The hotel will seem expensive for out-of-towners, but generally felt in-line with Manhattan prices (parking and use of the Internet were the 2 costs that felt too high). There was considerable construction on the street in front of the hotel, but the hotel staff was very helpful in helping us unload the car and, once inside, it felt like an oasis. They gave us 2 adjoining corner rooms with beautiful views of the Hudson and Bay. The rooms were so comfortable, the children didn't want to leave the hotel. The hotel used to operate an indoor pool, but no longer does. They've noted this on the web page, but unfortunately, references to the pool are still on the room documents and other signs. A couple of restaurants, a small grocery store, and street carts selling fruit were within a couple of blocks westward. The hotel also has a restaurant and a Starbucks. Battery Park with ferries to Staten Island and the Statue of Liberty is about a 15 min walk (with kids). There are two subway stops within a 5-10 min walk - we used the subway to easily get to midtown attractions. One of the nicest features of the area is the walkway along the Hudson River - fun to stroll along at sunset. I've stayed in many hotels in Manhattan and enjoyed this one far more than the more cramped sunless ones in midtown.	
Jul 1 2009 	Good Base Hotel with nearby and well connected transport links	Our room was located on the 11th floor. We had hoped to be higher so we could have views of the statue of liberty and the hudson but this would have cost and extra $40 a night which we did not feel was worth it as we were going to be out and about for most of the day. Our three night stay at the Marriott was pleasant. The reception staff were friendly and were able to help us out with planning trips and advise. There is a subway very close to the hotel (Rector Street) which provides fast and easy travel uptown. A single ride costs $2.25. We did get a taxi back from Times Square to the hotel one evening and this cost us approx $20. The nearby vicinty is quiet in the evenings and there is a lot of construction work going on (WTC very closeby) however we were not disturbed by this (i think the higher up you are, the better). There are a few nice delis and restuarants near to the hotel. The hotel is close to Battery park and close to the Hudson with a lovely walk nearby where you can find some livelier bars along the river. Our room was clean and spacious and we were not dissappointed. There was a coffee machine, fridge, iron and hairdryer in the room with internet access and on demand tv and a 32&quot; plasma. We had two double beds in our room and were impressed with the space and cleanliness. The starbucks on site was handy in the mornings and there is also a restaurant (approx $20 each for breakfast) and a cocktail bar for a quiet drink in the evenings. Some tour operator listings state that there is an indoor pool within the hotel but we discovered that this is now closed.We cannot fault the hotel.If you wish to get away from the busy parts of town and have a quiet evening at times then this is fine and there are local shops and restaurants to be discovered. Links to midtown and uptown are easy and we did not find this problematic. By staying downtown we saw a lot of parts that we may not have necessarily found in a guide book or have made the trip down to explore when on a short break so we felt that this aspect helped make this a good choice of hotel.Our flight was to and from JFk and the standard flat fare is $45 each way. In addition to this you have to pay any tolls so it would be advisable to tell the driver to use the Brooklyn Bridge or Manhattan bridge to avoid additional costs. It takes about an hour for the transfer. We were advised that a bus from the airport would cost the same and due to the downton location we would be looking at two hours transfer as the bus would start dropping people off up town. Nearby:Wall StreetWTC SiteCentury 21 Shopping Centre (shooping bargains galore!!)Battery ParkFerries to Statue of Liberty and Staten IslandHudson River (walk/cycle/roller blade route)Fulton Market/Pier 17 for seafood restaurants and bars. Abercrombie, Gap and Benneton shops which are less crowded than uptown and have great clearance items as well!)During our stay we visited the Jersey Gardens Mall (near newark airport) There were numerous outlets and was worth the visit if you are shopping for bargains (Abercrombie and GAP were great and you could find UGG boots for $100!). The trip cost $10.50 return on a bus from Port Authority (42nd Street) bus station and took about 45 minutes.	
Jun 27 2009 	Great Views	We had a room on the 35th floor. The views were excellent. We could see the Statueof Liberty. The room was nice, clean and had very nice furntiure and appointments. Thebathroom was nice, but nothing spectacular.We were attending a conference. I thought the common area rugs were filthy and theactual conference area was average at best. I thought the service and staff were good.For the price I thought it was satisfactory.	
Jun 25 2009 	Very good choice	Nice hotel in a good location to explore New York. Just take a taxi or the subway and your near everything. Very clean and comfortable rooms.	
Jun 22 2009 	Great hotel located in Wall Street/downtown area with excellent service	I recently stayed at this hotel and I loved it. I'm very familiar with Marriott hotels and stay at different properties several times a year - this is definitely one of the best. The location is great - right in the Financial District of Manhattan, which is great for tourists as well as those who are on business trips. There's a subway station located close by, which makes travel to other parts of Manhattan very easy. The hotel itself is very clean and modern. The rooms seem recently renovated, which also makes for a pleasant and nice stay. Usually hotel staff at the Marriott is well-trained and friendly and the same can be said for staff at this location - very accommodating and friendly.A few other perks at the hotel include a Roy's Restaurant inside the hotel (one of my personal favorites serving Hawaiian-fusion cuisine) as well as a fitness center that is adequate for simple weight training and cardio workouts. For those who need a coffee fix, a Starbucks is also on site and a great convenience. Probably the best thing about the hotel is the value - most hotels in New York City can be very expensive, but if you book early enough, you can find some amazing deals ($220 - $270/per night). Considering the level of service and the amenities the hotel offers, this is probably one of the best deals in New York City.	
Jun 20 2009 	Downtown Marriott helped make our trip great!	My wife booked a trip to NYC at the last minute for five day vacation. She selected the Downtown Marriott.The concierege we had the most contact with was Jay. He was awesome! If you have the pleasure of his service, please take care of him. The rooms were extremely clean, the service was attentive. My wife booked our reservations through expedia. There was a mix-up between expedia and the Marriott. The desk help did not fix the problem the first time, nor the second time - when I had to go down to the front desk with my paperwork. It took them calling me a third time at 10PM the night before my flight left for the problem to be resolved. I understand mix-ups happen. I understand it may have been expedia's error. However, why wasn't it fixed the first time?Since it is downtown, there isn't much, if anything going on during the evening. The A train is nearby, so if you don't mind using the subway, getting around is a breeze.I traveled with my wife, 13 year-old daughter, and 8 year-old daughter. They all enjoyed the hotel.This was our second trip to NYC on vacation for a week. I would definitely use the Downtown Marriott again.	
Jun 8 2009 	Great Hotel for Value	I just stayed at this hotel a second time in 4 weeks. The Bell Captain remembered who I was which amazed me. Requested room with a view and was not disappointed. The room was actually a nice size for NYC with clean bathroom, flat screen TV and Starbucks!!! The staff was pleasant and was more than willing to assist us with several requests. Had a night cap at the bar which was very nice. Had the Tuna sashimi with sesame crust that was very good for a bar. All in all, I will definitely stay here again. Anyone who says there a bedbugs should probably bathe better, because the beds were lean and comfty!!!	
May 29 2009 	No Pool - But no-one informed us!	The hotel room itself was lovely, with great views from the 36th floor. The coffee maker was fine - just ask if you need extra supplies. The staff were friendly and helpful. However, we booked through B A Holidays and we were never informed that the hotel pool was closed permanently in January! The gym was good and partly made up for this disappointment. Lots of construction work, but this didn't bother us - what can you expect when being next to Ground Zero? Overall, a good hotel.	
May 24 2009 	Fitted the bill for what you would want in a hotel while staying in new York	Nice, clean professional hotel, I really couldn't imagine bedbugs as someone said. It's really new looking. It's really near to the statue of liberty and ellis island and there are load of subway staions that only cost $2 each time you travel flat rate. Because of the tube it's really easy to get to anywhere in new York. Never got to sample the pool, but remember to take your cosy. The biggest benefit is that they have a starbucks in the hotel as well.	
May 19 2009 	A very comfortable stay in a convenient location	The hotel happened to be very busy the weekend of our stay with lots of guests in town for a large bicycle ride, and as a result, there were bikes all over the lobby. Despite this, getting help at the front desk and from the concierge was easy and pretty fast. The rooms themselves are very comfortable, with very soft and nice beds. Traffic noise was almost non-existent, a big plus for us. This Marriott is close to restaurants and some shopping, it's easy to catch taxis, and the subway is also close by.	
May 8 2009 	Excellent base to explore NY	I stayed at this hotel for four nights, the beds were so comfortable, excellent staff freindly &amp; helpfull. Legendary New York brekfast did not dissapoint, nor did the meal we had there one night, &amp; for me &amp; the family (13 &amp; 8 yr old) we found it a great base from which to explore. recomended	
May 5 2009 	Excellent Stay at Downtown Marriott	We spent the weekend at the Downtown Marriott primarily because my son and I were doing the Five Boroughs Bike Tour on Sunday. Our family of four (two teenage sons) had a wonderful stay at the Marriott. Good location for accessing the sights of the Downtown/Financial district area. Battery Park (Statue of Liberty ferry), Wall Street, Ground Zero and South Street Seaport were all within walking distance for us. Set in a &quot;quiet&quot; area of Manhattan, away from the hustle of midtown, we enjoyed walking the streets and eating from a quiet street cafe. The room service prices were astronomical (hey, it is NY) but it was a quick walk to the corner store for all our provisions...all the local vendors that we dealt with were super helpful and friendly. Also, be aware that the Ground Zero area is still very much under construction as is the road in front of the hotel. We did not find it a problem to get around.The location was perfect for the Five Boroughs bike tour and kudos for the Marriott for making accomendations for riders (bike storage, late check-out). The staff was very friendly, the room was spacious (for NYC) and clean. Overall, it was an excellent stay.We look forward to our next visit!	
May 4 2009 	Pleasant stay	We went to NYC for a long weekend, as a celebration for my birthday. Although the location of this hotel was not our first choice, the fares were reasonable and the reviews were mostly positive. Our flight arrived in the early morning so we headed to the hotel and asked for an early check-in, which was accepted. Our room was on a high floor, as requested when we booked. The room was nicely appointed, clean and it had nice city views.The only thing was that it faced a construction site - something hard to avoid being in downtown - and after an overnight flight we wanted to get some rest before heading to the city. It was not disturbingly noisy, but there was some background noise, though I think that on a regular day it would not have bothered us. We went back to the front desk and asked if they could get us another room facing the other side. We were kindly helped by Mr. Michael Bormann, Assistant Manager, who even took us upstairs to see a couple of rooms available. Knowing it was my b-day weekend, he also suggested some options for an upgrade at a discounted fare, in order to make our stay even more special. We were very pleased with the kind of attention we got and changed rooms. The next room was also nicely appointed, spacious and clean, plus it was much quieter and had a wonderful view of the Hudson river. The next day, the actual b-day, I even got a card with kind wishes from Mr. Bormann. My husband and I found it very gracious of him.Location wise, it was a bit out of our way, but within a few subway stations, a short cab ride or even a nice walk we were right where we wanted, no hassle whatsoever, even at night..The Marriott Downtown was surely a good choice and we would definitely stay here again.	
Apr 8 2009 	Great location for Statue of Liberty	This was a perfect hotel for our weekend. We stayed on the 30th floor and had a view of the Statue of Liberty. We were celebrating my daughter's 10th birthday, and I asked upon checking for milk and cookies to be sent to room. The hotel obliged and sent up the goods (an a card) as a gift. The room was very clean and a comfortable size for New York, where hotel room can run small. The coffee maker in the room brewed terrible coffee, so we were glad to have the Starbucks in the lobby. Room service was very prompt with breakfast, which was expensive but tasty. There is quite a bit of construction in the area, but we did not hear any noise while in our room. This is a great location if you are visiting the Statue of Liberty, ground zero, TriBeca, Wall Street or South Street Seaport. It was an easy walk to all of these areas (on a sunny day).	
Apr 5 2009 	Great hotel accomodating staff aims to please	My wife and I traveled to New York for a long weekend of rest and relaxation and found the Mariott to be a great hotel. The rooms are bigger than your typial New York hotel room, even compared to other hotels in this class. Everything was reasonably new considering all of the construction and renovation that has been required post-9/11. Although the hotel is indeed very close to ground zero, the only time that ever was an inconvenience was when our taxi from the airport had to pull up short to drop us off -- there isn't a traditional pull-through for check in because of the ongoing construction. In the rain this was a small inconvenience but not terrible. The hotel is very reasonable walking distance to 3 major subway lines, making this hotel the perfect base for city exploration. I must commend the hotel staff for resolving the only problem we encountered during our stay: there was an extremely large tour group of high school kids who had a block of rooms at the hotel. Several of them were on our floor and making a lot of noise. After asking security to quiet them down once, the hotel immediately moved us to another room -- and upgraded us to a Jr. Suite. When we returned from dinner that night there was a bottle of wine and dessert platter with a hand-written note from the manager apologizing for the inconvenience. I was impressed with how seriously they took our complaint and how quickly they resolved the issue.	
Mar 31 2009 	OH My!! All I can say is BED BUGS !! BED BUGS!!	The comfy pillows and comforter cannot mask those little critters. We had a pleasant stay up until the 3rd night when we started seeing little bites on us. The desk clerk found us another room right away, but it was hard to sleep without thinking about things crawling on you. The plus... is that they were quick to find us another room. The negative is they would only give us a $20 discount on our bill. We had to check out on the 4th night.	
Mar 23 2009 	Overall service is very poor - would not stay here again	The bell boy was great - other than that, the rest of the staff was rude. From the moment of check in you are treated like they are doing you a favor by allowing you to stay at their motel. We stayed for one week. On our last day, the desk calls your room about 8:30 AM to see if you have checked out yet. They do not speak to you - they just check if someone answers and then they hang up on you. We had a do not disturb sign on our door and check out wasn't until 11. The location is a detriment as well. You are right next to a busy highway and nothing is within walking distance. If you want internet in your room, be prepared to pay to much for it - along with everything else.	
