	good for leisure great location at a reasonable price	Room was clean and pretty big for NYC standards, TV, hair dryer, additional blankets and all first necessities were available. Only negative note: we saw several reception staff, friendly and not, but generally not prepared to give information of any sort. Overall if your purpose is tourism and your main need is a reasonable but confy room, then you're in the right place.	
Mar 23 2009 	Good Value in Manhattan	The location is great, only a 5-minute walk to Grand Central. Plenty of restaurants nearby, from casual to elegant. The rooms are huge by Manhattan standards. Heat and hot water were available all the time. The mattress is nice and firm. Sheets are clean although they were never changed during my entire 7-night stay. I consider myself a clean person so that did not bother me as much. The bathroom is clean and functional. The kitchen is old but again functional. The biggest problem for a business traveler is that there is no internet access inside the rooms. Free WiFi is available in the lobby only. I suppose if you request a room on the first floor you will be close enough in range to get internet in your own room. Since the ventilation system is very old, you can smell the cigarette smoke or someone else's cooking if you don't close the vents in your bathroom and/or kitchen. But all in all, I am satisfied with my stay, especially considering how much I paid. I will consider staying here again whether it is for pleasure or business.	
Mar 2 2009 	Thoroughly adequate	I stayed here about a year ago and the room on the second floor was garbage. Torn and stained linens, dirty bathroom and carpets. This time I was on the sixth floor and things were much nicer. I'm not sure if the fixed things up or I was just lucky. You can tell this is a former apartment building. Bathroom was clean and functional. Shower was so-so. Kitchen with all necessary utensils (pot, pans, glasses, silverware) is a nice plus. There was only one small tv in the living room sitting on a cart. A bedroom tv would be nice. Orbitz had the room for $119. Rack rate was $159. Check before you book. There is a small fitness center and laundry in the basement. As the title says, thoroughly adequate.	
Feb 24 2009 	Excellent location HUGE rooms	This hotel was an old apartment building, and given that, the rooms were very large for NYC standards. We had a bedroom area with closet space, a full kitchen, a sitting area and an eating area with dining room table. It was literally three times the size of any room I've ever stayed in in NYC. The room was quite dated and is in need of an upgrade, but if you're in Manhattan, you shouldn't be spending that much time in the room anyhow. We were placed on the ground level, which also provided us with a outdoor garden area accessible by a private door off of our room. Being on the ground floor definitely had pros and cons... the patio area was nice to have, but there are only two guest rooms on the ground floor. The fitness room is on this level, but everything else was employee areas (laundry room, an office, and the maintenence areas). It felt like a dungeon down there and was kind of creepy, and the employees are constantly up and down the elevator, talking, laughing and slamming doors. The location of the hotel was PERFECT. It was walking distance to anything we needed... Grand Central Station, Empire State building, delis, corner stores, restaurants, etc. We had no problem getting cabs anywhere and the distance to the airport was short as well. All of the staff that we did come into contact with were very friendly. This hotel was a great value (we booked on Hotwire). I would definitely stay here again.	
Feb 20 2009 	Great Location weird smell	We stayed at the hotel for a long weekend on Jan 29- Feb . The location of the hotel is amazing. Right around the hotel there are pubs and restaurants that you can easily sit back and have a good meal. Just three blocks away is Central Station and the Chrysler building. Times Square is about an easy 15 min walk with a group. Less then 10 if by yourself. The hotel itself was old, but not bad. The hallway smelt like something had died, but it did not carry over into the rooms. The rooms themselves were like going to grandma's house. It was clean, but not too comfortable. Overall I would go back to this hotel for the price and location.	
Feb 19 2009 	Great staff and ideal location	We booked these apartments knowing the location would suit our needs, they were in a fantastic place. The rooms are quiite basic but meet everyone's needs, remember you only sleep and shower in a NYC room!We had 5 adults in our 1 bedroom suite and there was loads of room.Our friends stayed as well and they had a view of the Empire State, we were on the opposite side and it was a very quiet room on the 11th floor, again for NYC unusual.The staff were excellent, recommendations, booked our return taxt far cheaper than direct booking $40 less for the return trip to JFK.We were 20 minutes from Times Sq, 15 from Empire State, 5 from Grand central so excellent.Would recommend and excellent value for money	
Feb 14 2009	Smells and rude service	The room smelled like smoke and the bathroom looks old. The place I think use to be an apartment and somehow it must have been turned into a hotel. The staff at the front counter was quite rude, plus they were never there. They were always at the back or the few times they were there she was on her cell phone.	
Feb 4 2009 	Shabby great location clean 	We stayed here in December 2008 and had booked through a late deal company, so we didn't pay full price. The suite was very large and had a small kitchenette, tv and en-suite and was clean and warm, as well as being quiet and centrally located. This hotel could really, really benefit from a refurb, the kitchenette was a little like being in your gran's house that'd not been decorated for 40 odd years and the non-electric hob-top kettle reflected this! The bed was saggy and had old-fashioned sheets and blankets. On the other hand this would've been absolutely perfect for a family with small children and what more do you really need other than somewhere clean, warm etc? I still think the prices even though reduced were high and British tourists will be disappointed by how little your money gets you in NYC.	
Jan 11 2009 	Fantastic Experience	I stayed here while in NYC for my younger sister's 21st birthday, and it far exceeded my expectations. I'd booked the room through Hotwire, so I didn't know I would be staying here until I had actually committed to pay the rate they'd quoted. ($79 plus tax, which came to $104 total. They also require a $20 credit card deposit at check-in)I checked in around 9pm and was greeted by a very friendly staff member, who actually gave us a free upgrade to a 1-bedroom suite (room 807). The room had one bedroom with two double beds, a living room with a pull-out couch, a table big enough to eat dinner at, and a full kitchen. The room was clean and smelled fresh, the beds were comfortable, and everyone who worked there was incredibly friendly. I asked the front desk staff for a couple of favors (mainly holding things of mine behind the desk while I was out on the town) and they were always cheerful and accommodating (I just wish I caught their names so I could give them a shout-out here!) The elevators are indeed a bit dated/slow, but they worked perfectly well while we were there. It's also true that the walls are rather thin, but in our case we were coming back to the hotel pretty late at night anyway so that wasn't an issue. As for location, this one is pretty outstanding. It's three blocks (about a six-minute walk, depending on the crosswalk lights) to Grand Central Station, and is also very convenient to the Empire State Building, Macy's and Fifth Avenue. If you like exploring cities on foot, this is an ideal spot to start from. We spent the last part of our night down in the East Village (St. Mark's area) and it was about a $9 cab fare (tip included) to get back home at the end of the night.So overall, I can't say enough good things about this place. I will definitely be staying here again the next time I am in New York.	
Dec 24 2008 	Brilliant	We were a bit worried after reading reviews that the hotel was dated and lifts didn't work but we needn't have worried. We were extremely happy with this hotel. Our room (510) was clean, comfortable, spacious and in an excellent location. Just a few blocks from Central Station. The small kitchenette was a bonus. Would definitely go back to this hotel again.	
Dec 13 2008 	Liked Murray Hill East Suites	This hotel is a great location and the staff was excellent. Room was large and perfect for the 2 of us!	
Dec 9 2008 	Less Than Expected	This renovated apartment building was described as a 3-star hotel but dated and dusty furniture, thin walls, problematic cable TV, bent mini-blinds, worn rugs, and some peeling paint on the baseboards suggested otherwise. Although the water went out our first morning staff corrected the problem within 20 minutes, and they were generally friendly. On the positive side, the hotel is in a good location right off of 3rd Ave, with a number of bar, diners, and restaurants nearby. This may be a moderately priced place for guys to use as their headquarters during a boys' weekend in Manhattan, but women and families will not be happy with the worn feeling of the rooms.	
Dec 4 2008 	Brilliant Hotel - Honest Review Please Read!!	I know a lot of reviews (not just on here) have suggested the hotel is tatty, outdated and has some rude staff however i felt that i should write a fair and honest review based on our recent experience (November 27th to December 2nd 2008). We found the hotel to be clean and tidy and the staff helpful and friendly (maybe some reviewers on here don't get the New York way that a lot of people there have!!!). I asked for a room high up to avoid traffic noise and to get a bit of a view and the desk lady gave us room 810 which was the highest free room she had available. There were 2 lifts, both working, clean and with enough space for 4 people and bags to get up and down easily. Our room was huge, one big double bed, a kitchenette and a medium en suite with fresh towels and toiletries provided. We also had a sofa, table and chairs and a tv. Ok so the tv was an old style one like some reviewers have mentioned however there was nothing wrong with the reception. I think if you go to New York and end up watching loads of tv then you are very sad indeed as there is so much to see and do in the city. Also it's even worse than watching it in the UK because there are adverts every 5 minutes or less!!!! Our room was cleaned every day too with fresh towels. The location of the hotel was perfect, Grand Central Station is 3 blocks away and the Murray Hill area has lots of very good local amenities. We walked to most sites as the weather was great and if you are relatively fit you won't find it a struggle (just have a couple of blisters on my feet now though). We both think that if you get cabs or trains everywhere you will miss a lot of the sites and sounds of everyday New York life which is part of the whole experience. If you want a well priced hotel that is clean well located with friendly staff then you can't do any better than this one. I will try and add some photos when i get time.	
Nov 30 2008 	Worn out furniture saggy beds -- would be great if only they'd update!	Went with my two adult daughters to NY and got a spacious one-bedroom (2 beds in the bedroom and a pull-out sofa in the living room) for the weekend at what we thought was a fair price. But when we opened the sofa-bed and saw the dingy mattress with all the springs visible under a worn-out layer of fabric, we were appalled. We flipped each other for who would have to try to sleep on that thing. The double beds in the bedroom were acceptable but not so great, either -- with saggy mattresses that definitely needed to be replaced. The kitchenette hadn't been cleaned well; the microwave was dirty inside; we hadn't been given a full set of towels; the TV remotes didn't work and the TV was left unplugged (we had to hunt for the outlet to plug it back in). Also, we were told the hotel had Wifi but they forgot to mention that the Wifi works only while you're in the lobby. A few good things: the hotel is very centrally located, easy to walk to lots of places, it's relatively quiet, and we thought the staff seemed nice .... if a bit overworked. But it's not a great bargain hotel when the beds are so old and saggy that no one can get a good night's sleep! If they just updated the beds, TVs and furnishings, I would have a lot of good things to say. But right now, I'd say it's not a good deal.	
Nov 19 2008 	Highly Recommend!	We stayed at Murray Hill Suites for one night, it was great. When we checked in we were upgraded to a larger room, which had two double beds and a pull-out couch. The room was HUGE, bedroom was separate from living room and we also had a small kitchen (although we didnt really need it as we only stayed one night). The doorman was so nice, running out in the rain to get cabs for us. The location was great, only a few blocks from grand central station. I would recommend this hotel to anyone looking for an inexpensive room in NYC with a lot of room and a good location. The only con about this hotel is the decor, it is dated but in NYC you're never in your room anyways!! Regardless of the decor, the room was clean and I felt very safe.	
Nov 2 2008 	This place is a little oasis in Manhattan	Here was the problem! Our first time in New York staying for a week and we wanted to stay in a central location to all the sites. A family consisting of myself, my wife and two teen aged daughters who want their own space and do not want to share a room with their parents. As you may of discovered, New York is expensive if you want to stay in a hotel room but double it and it loses its appeal somewhat. The answer is Murray Hill East Suites. They are not the finished item to be honest but they offer the kind of accommodation rarely found that is suitable for families. The rooms/apartments are large and there was plenty of space for the 4 of us with the kids in their own room and my wife and I in the lounge sleeping on a very comfortable bed settee. Yes the room decor is dated but the rooms are very clean with maid service every day. The kitchen looked as if it was made by a school kid trying out his dads carpentry tools for the first time and needs renewing completely but it was functional with all the items you will need but you will probably not need them as the restaurants near by are ace.We only had a few gripes with the place and that was when we arrived we were given a room on the ground floor overlooking the road and next to the lobby, this was the noisiest room I have stayed in and complained immediately but was told by the obnoxious youngish male receptionist that there was no other rooms available but to check the next day to see if one was. Luckily after another encounter with the receptionist the next day we were able to move to the 6th floor to a room facing the back of the hotel, this was perfect and the helpful doorman moved our bags for us as we were out on the town at the time. A word of warning if you are given a ground floor room only accept it if you like to hear every one entering the hotel and all the traffic on the street. Lastly Murray Hill please do something about the doors to the rooms as they don't fit well and slam every time they are used. Very annoying when trying to sleep.Over all the hotel was a very good bolt hole and apart from the minor problems, I would recommend a stay at the Murray Hill Suites, they just need to train their staff in customer service a bit more!!	
Oct 31 2008 	Horrible!!!	I made a reservation at this hotel and canceled my reservation within the same day due to a change in my plans. When the date came around for when I was suppossed to stay a charge of $505.22 was deducted out of my checking account. So I called the hotel and asked why I was charged this money, they said I never showed up for my reservation and that I did not cancel. I was furious!!! It took a whole week of speaking to every department of that hotel to get my money back. I finally got reimbursed by having to send them a copy of my phone bill showing i called twice in that one day to cancel. A cancellation number was given to me, but i had lost it and apparently so did they. So I got the phone bills out and proved them wrong!!! The management of this hotel are scumbags who deleted my cancellation number and tried to get me for $505.22. Unbelievable!! i will never recommend this place to anyone!!!!	
Oct 29 2008 	Great Base for your Touring!	two married couples and a single lady needed clean, comfortable accommodation - not too expensive - for a base while touring in New York and we checked on trip advisor and found fairly good reviews on Murray Hill East Suites. We originally booked one Junior Suite and a one bedroom room because any larger rooms anywhere seemed to be too expensive. When we got to Murray Hill they offered us a two bedroom/two bathroom with sofa bed in living room so we could all go in together. Also had living room/kitchen area. Absolutely perfect! Desk staff and door man very helpful - we needed extra wine glasses and an extra frying pan and they were cheerfully provided. Close to all amenities although the three block walk to Grand Central Station seemed to get longer every time we did it. Had a room on the back of the hotel so very quiet. Kitchenette very limited facilities but great for cooking English Breakfast every day and then loading dishwasher as we went out. All in all would have no hesitation either recommending Murray Hill or staying there again if we ever go back to New York.	
Oct 26 2008 	Lots of room - nice staff	This was my second stay at Murray Hill Suites, both times I booked through the website &quot;apartments2book.com&quot;. I highly recommend this hotel.Had a one bedroom (king) with small kitchen, dining area and living room with a great view of the Empire State building. While the decor is dated, the rooms are very clean and spacious. The staff is always so nice and helpful. Close to Grand Central station for the subway. Good restaurants and a neighborhood grocery just down the street. My last visit in fall 2006 we had a larger one bedroom (two queen beds).	
Oct 10 2008 	My NYC Home Away From Home	For the past eight-years I’ve stayed at least once or twice a year at the Murray Hill East Suites, and it feels like my home-away-from-home when doing business in Manhattan.The central location and friendly neighborhood can’t be beat, the suites are unusually large for New York, and the kitchen and dining area make life easier when you get back late and want to eat what you want to eat, not just what’s around the neighborhood.The hotel is very clean, the beds comfortable, the water pressure good, and the staff is efficient!OK, the décor is vintage and a bit frayed in some suites, but with Manhattan rates going in the $400 to $600 range per-night, this is a wonderful alternative for “real” people.If you’re looking for posh elegance, or five-star amenities, and a snobby staff, then the Murray Hill is NOT for you. If you want homey, casual, clean, comfortable and roomy place to relax after a day of work, then this is the ticket.I’ll be in NYC again next month, and got into the Murray Hill-- in my book one of the more conveniently located and top-ten places to stay in the city, you can walk to Broadway, great restaurants, and Grand Central!	
Oct 7 2008 	definitely my first choice when in new york	my husband and I stayed 3 nights at this hotel and we couldn't have dreamed a better experience, This was our first time in New York and weren't sure what to expect. The staff at check in was wonderful, very friendly and offered to give directions to eateries still open late after our late night flight., When we arrived in our room it was not smoking that we had requested and they immediately moved us to a smoking room that was larger and on a higher floor than our original reservation. I had read other reviews that the rooms needed to be updated but ours had new carpet, paint and linens. The only drawback to the room was there was only a very small television in the living room and none in the bedroom. The full kitchen and separate bath in the hall was perfect for not bothering each other when one was sleeping and it was so nice to come in from a long day and be able to sit in the living room and relax before bed. The front desk staff were amazing! We left our expensive camera in a taxi and with the help of the front desk we were able to get it back., They placed the calls to the necessary people and helped us arrange delivery after it was located. We never had to wait for a taxi and the doorman would run down to the corner and find one before we could get out the door,The neighborhood was quiet and safe. We walked alot at night and felt perfectly comfortable. The location was perfect, close to everything with easy subway access and lots of local eateries and bars,If we are ever lucky enough to get back to NY this will definitely be our first choice in accomodations.	
Sep 30 2008	good Hotel rude desk staff	We stayed at Murray Hill from the 20thl 26th Sept: We have late arrival to Hotel from JFK. almost midnight: The person on the desk was not&quot;welcoming at all&quot; and then started to argue that we had not paid: AFter long flight did not need this attitude: We had paid and had to produce(good job brought with us) our amount we paid,and he still argued until he finally grasped it said PAID:Given room on 3rd floor facing road:Dont go there:so much noise its like being in the middle of New York on the road?Apartment was fine,exzcept kitchen: badly needs update: and everyone that uses the cupboards has to be at least 6ft tall(unable to understand that one) I am 5ft.3ins:? Moved to sixth floor after two days of complaining to back of Hotel: Dont book front rooms:As was said in other reviews I have read: Doorman great and helpful: Desk staff arrogant and very unhelpful most of the time:Would still return for spacious living,everything cleaned and immaculate in rooms,all dishes washed up every day: room service were excellent in how they cared for the rooms:Need to sack their day staff?Lesley Gibbs England:	
Sep 26 2008 	Hello! The 1970’s called.. ITS TIME TO UPDATE	The Murray Hill East Suites, located on 39th and 3rd in Manhattan has got to be one of the worst hotels I have ever stayed in. The décor is almost indescribably horrible. All of the furniture, bedding and appliances (inc. the TV) are from the 70’s. The carpet is sea green, the Curtains are Black with a floral print. And on top off their lumpy beds and old pillows are Pink Sheets, is a Black floral print duvet covers that come complete with a weathered “Butt Print” at the edge of the bed to showcase where people have been sitting down over the last 40 years! Ewww! One positive—room is a pretty decent size for Manhattan, and It does have an on suite kitchenette. The bathroom is Tiny but Clean. (watch out for the hair dryer that looks like a vacuum!) Do yourself a favor, and spend a few extra bucks for a place that is 1. In a decent location 2. doesn’t qualify as “antique” and 3. Carries simple amenities such as a Razor. (yes, that’s right. If you forget your toothbrush at the Murray Hill East, your SOL buddy!)	
Sep 9 2008 	The Best Deal In Town!!!!	This hotel is located in a great neighborhood - very close to Grand Central Station and felt very safe. I stayed by myself the first 3 nights and felt very comfortable leaving and coming back after midnight. There are some amazing restaurants &amp; bars close by and the room had a full kitchen so our leftovers didn't go to waste. We asked for a smoking room &amp; ended up with a room on the 12th floor with a huge terrace and views of the water and the Empire State Building. I couldn't have been happier with this hotel. The staff was very nice &amp; helpful and the room was very clean &amp; HUGE - quite unexpected in the middle of Manhattan. I will definitely stay here again.	
Aug 11 2008 	Great place to stay	We just spent a few days in manhatten and stayed at the murray hill suites. i booked thru [--] and got a great deal from checking on other hotel prices in the city. we booked two one bedroom apartments with two double beds in each bedroom. the website did inform us that there was a possibility we would not get our request (one bed in each bedroom instead) but apartments2book contacted me before we left and stated they had not been informed by the property that they could not honor our request.we arrived and checked in in less than 10 minutes. i had also requested the rooms be close to each other and was happy to find they were just across the hall (we were in 608 and 607 at the end of the hall) both apartments had one bedroom, two double beds in each, hair dryer, coffee pot (coffee/tea/sugar, etc.) supplied as well, microwave, toaster, full size fridge, stove with oven and dishwasher. every day, housekeeping would wash our dishes and replace towels and make beds. when we arrived, one apartment wasn't ready and the housekeeper made a special trip to tell us when it was ready for us. we had three people in each apartment and had more than enough room we found the staff (espeically karol the doorman) especially helpful with directons, questions, etc. the fitness room in the basement had several machines and small patio, and there was also a laundry room down there as well as vending machines. there is a small grocery less than a block away and a 24 hour diner (scotty's) across the street on lexington ave. that serves huge portions of food. we walked to grand central (about 3 1/2 blocks) to catch the &quot;s&quot; train to times square. from there, we could take the &quot;1&quot; train up further (50th ave area) and also used the taxis - but they scared me to death - i've never seen such a total disregard of traffic laws!. this was our first time in the city and we felt safe at the hotel and in the general area. never a problem. feel free to email me if you have any questions. i highly recommend murry hill suites.	
