	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Jun 16 2009 	Very poor guest service	I found very good deal ($115/nt for two nights) at hotel website. We were family of four, so I clearly marked 4 people would check in. Alas, the hotel staff checked us in one king, saying the hotel was oversold and not available to give us two double but would provide a rollaway bed. Unfortunately, the room was barely enough for one king bed; no way to put even a single rollaway bed. Again, the hotel was oversold, so we didn't have a choice but to stay at the other hotel. Front desk manager was not very helpful either-he insisted that he could and would not refund(we prepaid), even he admitted that there is no way to accommodate us in that room. It is a clear breach of contract by the hotel; if they sold a room for four people, they should have prepared a room for four, no matter what. I know some hotels in Manhattan have smaller room than others, but at least they have appropriate maximum occupancy rules.My first negative experience with Holiday inn express.	
May 29 2009 	Great hotel great location great price	I stayed in the Holiday Inn Express in June 2008 with family. The hotel was in a great location and the main attrations were in a walkable distance from the hotel.We arrived at the hotel earlier than the check in time and were immediately given 2 rooms. The rooms were a good size for a city hotel and were clean and well presented. The hotel also offered breakfast included in the price which was a good deal, the breakfast was good and just what you needed before a long day sightseeing. I would also comment that the service in the hotel was very good, nothing was too much trouble and the service was always with a smileI would definately reccomend this hotel as I think it was fantastic value for money and in a great location	
May 21 2009 	Location is great	Subways are nearbyWalking distance to fifth ave n central park	
May 12 2009 	Awesome stay in the most awesome place...NEW YORK!!	This hotel is really tiny and may possibly be a litlle hard to find. It is 25 stories tall and has the most amazing view of the city from up there. The room is small but the services you get there are simply splendid. The staff is great. It is fairly new so everything is really nice. Great gym, business center and free access in your rooms if u have ur lappy. I think it is the only place you should stay at if you plan to stay very close to times square as thats is one place thousands of tourists prefer....Trust me on this one and go for it..cheers	
May 9 2009 	Very good Hotel	Location is between 5th &amp; 6th ave 45th street. Me and my wife stayed there for a 10 nights. Overalle it was very nice hotel - breakfast included every morning and room cleaning every day. Rooms are small but as much as need. There is free Internet connection (WiFi and LAN). Our room window was in the courtyard side and was almost quiet. Rooms had a air-conditioner. There was a TV set with 1912 programs	
May 1 2009 	A fantastic hotel	We (2 adults) stayed here for 5 nights and there was not one thing to complain about. The staff were extremely friendly, helpful and knowledgeable. The breakfast every morning was a wonderful bonus - only once was it too crowded to sit (get there early or take it to your room). Elly who works the breakfast area is very friendly. We were on the 22nd floor (top) and our room was at the front and it was very quiet - no noise at all. Anytime you asked for directions or suggestions from the wonderful staff at the front desk, you got great answers and great directions.The location is so very central to everything - Times Square and Central Park are both within walking distance, as is Grand Central.And yes the rooms are small - but they are extremely clean and how much time do you actually spend in your room.I would absolutely stay here again and would recommend it to anyone going to New York City.	
Apr 27 2009	New York City hotel	We stayed at the Holiday Inn Express on 45th (between 5th and 6th ave). The location was excellent and the hotel was quiet! The rooms are tiny (it IS New York after all!) and the complimentary breakfast at all Holiday Inn Expresses leave a lot to be desired. BUT if you have safe things like cereal and yogurt, it is fine. With kids, it saved us a lot of money. The hotel staff,especially the desk staff, are friendly and helpful. The rooms are clean. It is a functional hotel and a decent price. Not good for a romantic experience probably. But in NYC you spend little time in the room because there is so much to do. I would stay there again. Parking is near the hotel and $35 a day which is a bit less than most hotels.	
Apr 17 2009 	Fine Mid-Town Hotel	The Holiday Inn Express is located on 45th Street and Fifth Avenue in mid-town Manhattan. It is an unassuming and fine hotel that serves very well as a base while in New-York City. Being centrally located you can walk to Times Square, Rockefeller plaza and other notable places. I found the Rockefeller plaza subway station on 47th street to be the most convenient for me, although you can easily also walk south three blocks to the 5th Ave (42nd St.) subway station.The rooms are quite small but meticulously clean with all required amenities. The bed, which occupies the majority of the room, is exceedingly comfortable and I had a very good night’s sleep. My room on the 18th floor had double-glazed windows so it was very quiet and I slept well. In front of the bed there is a large television with numerous cable channels. Close to the window is a small desk with a chair and tea kettle. Local calls are free. The shower is strong with hot water always available. The lobby is small, crammed with dining chairs and tables, and also serves as the breakfast dining area. In the mornings until 10:00am the lobby can be very crowded with people checking-out and a rather long queue to the breakfast buffet. I took a couple of food items (fruit, yogurt) and had breakfast in my room. The free breakfast buffet is upgraded and consists of fruit juices, breakfast cereals, bacon, eggs, toast, muffins, cream cheese, milk , coffee, tee, etc’..At the lower level of the hotel there are two free internet-enabled computers with a joint laser printer. It was very handy for checking email, reading restaurant reviews, and printing my airline boarding pass.Service at the hotel is excellent. The hotel staff is always friendly and helpful. The chamber maids do an excellent job of keeping the hotel tidy and reception is always efficient.I stayed at the hotel in early April, 2009. Official rates were about $270 (without taxes) per night but I was able to book a week long stay at hotel for $100 (without taxes) per night, via a non-refundable internet offer that I had placed about a month prior to my arrival.In summary, I had a good stay at this hotel and I recommend it.	
Apr 17 2009 	Ticked all the right boxes and more!	Having searched through what felt like hundreds of hotels in New York we settled on the Holiday Inn Express New York City Fifth Avenue mainly because of the unbeliveable price available for our 7 night stay on their website at the time of booking (4 nights at $130 and 3 nights at only $30 plus tax!).. well we couldn't have been more happier with our choice! The location of the hotel is superb.. walking distance to Times Square, The Rockerfeller Centre, The Empire State Buliding, Central Park, Macy's and Grand Central Station where we took the subway to the southern end of Manhatten for the ferry over to the Statue of Liberty, Ellis Island and Staten Island.The rooms are perfectly adequate in size (people who say they are small need to remember this is New York City - all hotel rooms are small - you don't much floor space for your $ dollar!). We had a king bed which was really comfortable, the room was exceptionally clean compared with other hotels I have stayed in - the bathroom sparkling.All the staff at the Holiday Inn Express New York City Fifth Avenue are very friendly, going out of thier way in some cases to make your stay enjoyable.A great added bonus to this hotel (and rare in New York City) is the free breakfast, and what a breakfast it was.. cereals, oats, muffins, bagels, crossaints, french and regular toast, eggs, yogurts, fresh fruit and the all important bacon, sausage patties, scrambled eggs and english muffins! This was buffet style in the lobby and served from 6-10am, you could either eat at the tables surrounding the buffet or take food back up to your room. There was also unlimited, free tea, coffee and fresh fruit left out all day and night in the lobby area.In conclusion I wouldn't hesitate to recommend this hotel to anybody as it ticks all the right boxes and more..	
Apr 10 2009 	Very nice stay	As almost everyone have mentioned, the rooms are very small, and the breakfast area also. But for clean accommodation, a ok breakfast and great location, then look no further. Location can't be beaten, my husband and I walked to all major attractions. Rockfeller was so close, St Patricks Curch ,Time Square, Empire State and so on.Front desk people are excelent ( congrats Natasha ! you are so nice ! ).And its very quiet, even beeing so close to 5th Avenue no noise at all !	
Mar 25 2009 	Best bargain in New York!	After extensive research on various travel sights and tripadvisor, decided on this hotel. Chose it primarily for location and value for money. As many others have mentioned, yes, the rooms are small, the breakfast area also. But really, if you're looking for clean accommodation, great breakfast and location, then look no further. Location can't be beaten, and we practically walked to all major attractions. Save your money for shopping and eating, as this is a very expensive city! Would highly recommend this hotel to anyone.	
Mar 22 2009 	Very functional but....	Ideally, I would have liked to give this hotel 31/2 out of five because although it was very practical it didn't really grab me. As others have said, the location was ideal for a leisure visitor to NY. It was right in the centre of Midtown, within walking distance of many major attractions including Fifth Avenue, Central Park, the Rockefeller Centre, Times Square, the Empire State Building, Grand Central Station, the Lincoln Centre, MOMA, Macy's and Bloomingdales......Check-in was pleasant and efficient . The room and bathroom were very small but clean and functional. There was a free standard HI Express breakfast which is a bonus in this expensive city. The only practical deficiency is that there wasn't a room safe. (I am sensitive to this because on a recent stay at a HI in Paris I used the room safe for my important documents but neglected to put my mp3 player in the safe and it was stolen from my bag.) It is difficult to assess value for money because I don't have much experience of NY. Another thing that makes it difficult is that the room rates seem to vary a lot with time: when I made the booking a long time in advance of my trip, I found that the room rate was $280 dollars+taxes (online at HI website) but just before travelling I looked again and the room rate had dropped to $180 dollars presumably because of the recession. It didn't matter to me because in the end I had decided to pay with my Holiday Inn Priority Club points but when I return to NY I will have to give this aspect of things some consideration. Why am I not more enthusiastic about this hotel? Well, sometimes when one is on holiday one likes a bit of charm/style in the hotel where one is staying - this is completely missing from this hotel. I found the lobby/breakfast area crammed and rather scruffy. In deciding whether or not to return to this hotel I will take all of the above points into consideration as well as the room prices of nearby hotels that have been recommended to me by friends (The Library and the Hilton Times Square).	
Mar 11 2009 	Great Location and value for Money!	I stayed at the Holiday Inn Express for 3 nights in March with my daughter.The location I found to be excellent - 2 blocks from Times Square (about 5mins walk - if that!).The rooms, although small were very clean and of a good standard with very nice bathrooms and a powerful shower. There was a nice TV with a good range of channels and the free wi-fi in the rooms came in very handy!!I found the staff to be helpful and courteous and had no problems.The free breakfast was an added bonus for a New York motel and although there was not a huge range it was still well sufficient and set us up for the day's shopping!Would definately recommend this hotel for a shopping trip as great value for money with all mod cons!	
Mar 10 2009 	A relaxing place to unwind from the noise of New York	Just stayed. Great location. Rooms are small, but quiet. Enjoyed the breakfast in the am.It was an enjoyable change from the noisy hotels we usually stay in in Times Square. Not having to wait for elevators,etc. Free wireless in the room. Both my daughters live in NYC -one on the upper eastside, one on the upper westside and we could get to either in a 5 minute taxi ride. I was really suprised at how happy I was with this hotel.	
Mar 8 2009 	Clean convenient $115 incl. taxes; no complaints	Walking distance to Times Square, Rockefeller Center, Fifth Avenue shopping, Hell's Kitchen, Port Authority, etc. We had a small but perfectly adequate room on the 20th floor. Typical Holiday Inn Express breakfast in the ridiculously undersized lobby. Look, this is not the Plaza, but for $100 a night plus tax it's a relative bargain. (Note: to get this rate, we had to book AND PRE-PAY through a hotel booking service -- I think it was Expedia. The pre-pay rate was not available through the hotel's own web site.)	
Feb 26 2009 	Good location - small rooms	This is a nice Hotel with a very good location close to 5th Avenue. The Hotel have friendly staff and clean rooms. The breakfast is OK (but the breakfast area is very small) and there is free coffée all day. But keep in mind that the rooms are small. We were 2 adults and 1 child and the room was a little bit to small for us. With only 2 adults or 1 adult and 1 child the rooms would be fine. I did the reservation early with a fixed and rather high fare, I assume you can get the room with a lower fare today. Alltogether a nice Hotel if you don't need space.	
Feb 22 2009 	Great Location	Staff were really friendly on arriving, took our bags as we were early. Coffee all day and breakfast was a bonus. A short walk from Times Square and lots of other sights in a quick walk. Room was small but big enough for two adults, safe area and a great pizza place a few doors down.	
Feb 6 2009 	Great place	Travelled to NYC for the very first time with three other friends and loved every minute of it. The hotel was extremely well kept. Added bonus was the inclusion of breakfast, which set you up until lunch (which should be taken in the cellar of Macys, they do wonderful salads). Although the room was at the front of the hotel, it was pretty quiet. Thank you to Skylar, a most polite and helpful young man on the reception desk. I would definately recommend this hotel to anyone who wishes to travel to New York. Centrally located, very comfortable. It doesn't matter what size the rooms are, you spend very little time in them as you are only using them to sleep in and freshen up, so people should stopping moaning about this and go to a larger hotel.	
Jan 28 2009 	Great central location!	Recently stayed at the Holiday Inn Express New York City Fifth Avenue hotel. Was pleasantly surprised of the great location and fair price for two nights. Was able to book hotel online. Rooms are on the small side, but comfortable for a short trip. Easy access to Times Square and theater district. If need to stay overnight again would certainly consider this hotel again. Rooms were generally clean and furnsihings updated.	
Jan 21 2009 	Great Location	Stayed in Mid December, with my wife and two teenage chilldren, using Reward Points.The Hotel is as the name suggets just off 5th Ave, perfect for the Rockerfeller Centre, Times Square, Byrant Park, Central Park , Grand Central station all in easy walking distance. The rooms are small, but perfectly clean, and four of us managed to stay in one room for 3 nights with no problems, hey its New York what more can you ask.I was a little worried about tables for breakfast, having read other reports but this was not an issue, lots of space to enjoy a tasty well stocked breakfast for free, which was some saving on eating out.The Hotel staff were very helpful and Friendly, giving advice, and being cheerful. This included all the reception staff, cleaners and the Asian lady who stocked up the breakfast carts.Free coffee, hot water and Tea Bags were always available in reception, the one occassion the coffee ran out it was soon refilled and the staff couldnt apologise more. UK Holiday Inns take note.I arranged a car through reception for our return to JFK, as we going onto Florida for 2 weeks we had lots of bags, plus bags from shopping trips on 5th Ave, so the subway was not really an option, I was a little wary of hailing a cab at 8 AM, so I paid $15 extra for a car, which was worth it for the piece of mind and the service was very good.Would definatley stay again, need to start saving those Reward Points.	
Jan 20 2009 	A nice hotel in the middle of NYC actions!	I stayed at this hotel for 3 nights about ten days ago. After a few days at a small budget hotel in the uppper midtwon east side, I decide to spend the 2nd part of my NYC trip near the Time Square area so I can be closer to the theaters and all kinds of actions. Hotels in the NYC Theater District are generally priced higher and this one is no exception, but I got a fantastic deal - &quot;stay 2 get 1 free&quot; so the price was unbeatable!Hotel premise is located on W47 in betwee 5th &amp; 6th (Ave. of America). This is a great spot in town and convenient to everything, including Time Square - only two short blocks away but without the hustlig bustlig of tourists coming ups and downs the street. Lots of eateries around the area and if you crave for shopping, 5th Avenue is only less than half a block around the corner. This hotel is not big - only 4 to 5 rooms each floor throughout the entire building so there is no fancy facilitiies like gym or swimming pool on premise. Hotel reception/breakfast area is cramped too. It's definitely a property designed for business travelers or tourists who won't spend much time inside the hotel. However, rooms are in decent size by New York standard (I had a room with two doube beds), cozy and nicely furnished: pretty much what you can expect from a typical H.I. brand hotel. An armorie with a LCD TV adds a bit nice touch. Bathroom is clean, spacious and is equppied with all amenities on the daily basis. The beds are incredibly comfortable. There is a little bit noise issue but really minor.Hotel price also includes free in-room internet acess, free daily breakfast and all day free coffee and tea. For cities as expensive as NYCs, these are absolutely big pluses for travelers. My hotel package included daily pizza delivered to my room but never got one. No big deal.Overall, this is a nicely located hotel with a lot of good features. If the price is right, it can be a great hotel choice for out-of-towners. I will most definitely consider returning in the future.	
Dec 29 2008 	Great little hotel!	I recently stayed at the Holiday Inn Express - 5th Avenue - from Dec 25-27th. The hotel was everything I expected and hoped for: great location, clean rooms, friendly staff, and a great price. I was traveling with my girlfriend, so naturally I was concerned about the cleanliness of the hotel and safety of the location. The rooms were very clean, and the location close to 5th Ave was perfect for us. No problems there. The rooms were on the small side, as expected in NYC, but even with the king bed taking up much of the room, it offered enough space for 2 people. The bathroom was good size, relative to the rest of the room. Most importantly, the hotel served as a good &quot;home-base&quot; for our stay in New York. The hotel has two computers you can use to check email, along with a printer. In addition to a light breakfast each morning, there was coffee, tea, and packets of oatmeal available all-day in the lobby. I'd recommend to any couples or single travelers who are staying in New York for a couple days. Not being familiar with the city, I spent a lot of time trying to book the right hotel - at the right price - and couldn't have been happier with this.	
Dec 15 2008 	Great location.	Stayed here while the election was on. Whole area was buzzing. Fantastic location for sight-seeing, theatre, restaurants, bars etc. Room was fabulous with quality bedding and fittings, very compact but great value. Immaculately cleaned and fresh towels every day. Reception staff very efficient and a decent self-serve breakfast with a choice of fruit, yoghurt, coffee, juices, breads etc. Would recommend for a short budget stay.	
Dec 7 2008 	Best price for location	This is a very good choice for midtown Manhattan if you want to be within walking distance to the main attraction sites and close to the subway stops. It is a new hotel, smallish rooms, good prices. Breakfast is included, which is good since other hotels charge up to $30.00 per person; however, the quality of breakfast is so and so (coffee and omelettes should be avoided, they were really not good). Our room was clean, no view, bathroom small but OK, with good hot water. Overall it is probably the best price/quality hotel in midtown Manhattan, just do not expect 5-star service. One small annoying thing on the bell service: when you try to get a cab, they will sway you towards private limos, which are more expensive. Ask for a yellow cab, instead, even if they may not be too happy about it, or just use the subway to go anywhere very cheaply.	
Dec 6 2008 	Really enjoyed staying here	Today (12.06.08) we are checking out after a two night stay. My wife and I really enjoyed this hotel. It is in a great location, but the street is suprisingly quite (which allowed us to sleep very well). If you are looking for an affordable hotel located near Time Square, then you should check this out. This same weekend last year we stayed at the Intercontinential Barclay. The room at this Holiday Inn Express was a tad smaller, but every bit as nice. In fact, the bed was more comfortable and the bathroom cleaner. Hope you enjoy your stay as much as we did.	
Nov 27 2008 	Comfortable and ideally located hotel	We found this hotel extremely comfortable during our short stay in New York. The rooms are quite small but there is plenty of space to move around, store suitcase’s and hang up your clothes – all you need for a city break as you spend very little time in your room. The room and bathroom are very well appointed and immaculately clean.Although the breakfast area is crammed into the entrance lobby we never found this to be a problem during our stay. The continental breakfast was ample for a start to the day and we always managed to find a seat.The location is perfect for a tourist to the area. You are right in the middle of it and are no more than a few blocks and walking distance from 5th Avenue, Rockafella Centre, Times Square, Empire State Building and Central Park. Grand Central Station and a number of other subway stations are nearby, although the subway system is a little confusing to start with! If you’re visiting in winter there is an ice skating rink in Bryant Park on 5th Avenue and 42nd Street which is a bit cheaper than those in Central Park and Rockafella Centre. This rink is still in a nice setting, especially during an evening.	
