	Great Value for NY - but SMAAAAAALL.	If you´re not bothererd by the fact that the toilet is outside the room and shared with a few other guests from your floor, it´s not an issue. If you´re on your own in the cuty and have few luggages, it won´t be a problem either. After being to NYC many times, there´s no need to stay in midtown anymore... which makes the hotel location perfect. It´s a very charming place and the owner is a really sweet person, always with a smile on his face. It´s spotless and housekeeping does a really nice work. The room is cozy, but too small, and the tiny window makes it a bit claustrophobic... Anyway - paying $150 with taxes to be that well located in Manhattan is sometimes worth it.	
Apr 30 2009 	Once Again the Chelsea Lodge live up to its reputation!	This was our 2nd stay at the Chelsea Lodge (18 months later) and once again we were made very welcome and the rooms were very cozy and warm. Thanks again Chelsea Lodge for making us feel at home!	
Apr 30 2009 	Great value good staff good room but noisy cleaners	We stayed here a couple of years ago in one of the delux rooms downstairs, which we really liked. This time, we were in the room next door (DR2, I think?), which was a bit smaller, but equally as pleasant. As with the last stay, it was all great, except this time the room was right next to the cleaners' room. Which meant that, every morning at about 7am, we would be woken up by the cleaners clattering around and calling loudly to each other. The owner of the place would sometimes wander around singing loudly around this sort of time, too. This is a minor gripe, though, as we probably would have chosen to wake up not too much later, but it was a little annoying. Everything else about the hotel was fine.I'd definitely try breakfast at Murray's Bagels on 8th Ave between 22nd and 23rd St. The best bagels I've ever had by a mile, we went there for breakfast almost every day.	
Apr 20 2009 	Highly recommended	My husband and I are two 25 year olds and it was our first time in NYC.If you want a hotel, do not stay here! It's a wonderful home away from home instead. We stayed for 10 nights and wanted a place to sleep, without bell boys running after us and cheesy greetings every time we show our faces out of our room.The staff are friendly when you ask for advise and are prompt to pass on all phone messages.Fresh towels and a quick wipe down of the sink are provided daily, but we would have appreciated a change of linen at least once, as well as a sweep of the floor, which was fairly dusty by the time we left.. but not to worry. The shared toilet is no problem at all, it was always free and always clean.Chelsea is a wonderful area, and the E train which goes both up and down town is only a 5 minute walk away, as is Murray's Bagels, which was frequented by us daily.Great value for money - highly recommended if you want a fuss free place to stay.The only cons I have to mention is poor internet signal inside the room on the 3rd floor (had to sit on the steps to use it) and a very average, squeaky bed.	
Apr 17 2009 	Great location good value	Just got back from a weeklong stay herea room for two with shared loo was $150 including all taxes - cheap for NYC. Chose the Chelsea Lodge as we wanted to be able to save a little on accommodation to enable us to spend on eating out. Having read previous reviews, we knew the room would be small, so were not surprised by this. However, it was adequate for our needs, and was cleaned daily, with freshly laundred towels. There was a plentiful supply of hot water and the pressure in the shower was good. There were two loos to share on each of the floors and I found that there was always one free and they were very clean. Our room was at the back of the building, which I was pleased about, as it was further away from the loos and any associated noise in the night. Staff kept themselves to themselves, but were polite and helpful when asked for advice. There is WiFi access.The location was great - this section of W20th Street is between 8th and 9th Avenues and there are lots of restaurants/upmarket delis in the vicinity, but a 15 min walk will get you to Union Square, or the West Village. 3 subway stations within a five minute walk: 18th/7th for lines 1,2 and 3; 23rd/8th for lines C and E and 14th/8th for lines A,C, E and L.	
Apr 15 2009 	Great base to explore the Big Apple	Just came back from a one-week's stay at the Chelsea Lodge. Me and a friend went to NYC for the 1st time and were eager to save money on accomodation to spend it elsewhere. After checking tripadvisor.com, it quickly became clear that the Chelsea Lodge was the place to stay. Having read all the reviews, we knew what to expect. Of course, this is not the Hilton, but if we wanted that, we'd have to go there and pay accordingly. The Chelsea Lodge provided us with a cozy room (waking up to bird song in the morning), small but clean and efficient. We even caught ourselves saying &quot;Let's go home&quot; when we wanted to take a break from sightseeing. The location is very nice, Chelsea is a charming quarter, and to explore the city, there are several subway stations nearby. The shared toilets were never a problem, the shower in our room had enough hot water and water pressure, fresh towels were provided daily. We also liked the clean wooden floors in the room. There was not a lot of personal attendance, but whenever we needed something, someone was there for us and that was sufficient. If we return to NYC (which I am sure we will), we will stay at the Chelsea Lodge again. P.S. Rooms are booked out early, so make sure to book in advance. I reserved our room last October for our stay during Easter and the en-suite rooms were already gone by then!	
Apr 8 2009 	Bed without breakfast	The Chelsea Lodge was easy to find. There was no breakfast provided, however there was plenty of choice locally and we found a healthy smoothie for breakfast just around the corner. There is an entrance to the tube at 23rd Street a 5 minute walk away and the Chelsea Lodge is well placed for exploring Manhattan. The shared toilet was cleaned every day and it was never a problem sharing as we had a basin and shower in the room. The room was very small and the Lodge was run by a young girl who was friendly but typically of New York there was little by way of introduction or explanation.	
Apr 6 2009 	A home away from home!	My partner and I always stay at the Chelsea Lodge when we visit NYC. We stay in a suite, usually a garden suite, and as soon as we arrive we settle back into life in the Big Apple. This place is so homely and cosy and is so comfortable. Okay the facilities aren't always the best but we always feel so relaxed and safe when staying here. The staff are friendly and helpful but best of all they leave you alone to enjoy your trip. Staying in one of the suites is like staying in someone's home and you have your own key so you can come and go as you please. Everything on Manhattan is so accessible and Chelsea is a great area to stay in with lots of bars and restaurants. We couldn't imagine staying anywhere else in New York this place is gold!	
Mar 26 2009 	Fantastic Location! Authentic NYC experience.	Spent March Break here with my 14-year-old daughter and loved it! We stayed in one of the parlour suites facing the street, just below ground level. Big windows, lots of light. Very spacious. Kitchenette had everything you might need to make a meal--we just made breakfast each day to save some time. Radiator heating with two settings: On or Off, however we like it warm, so we didn't mind this. We felt very safe, as other's have said, coming home from the subway at night--there's even a police precinct up the street. Nice neighbourhood, Chelsea Market--FANTASTIC! Location could not be better! Two different subway lines are easily accessible from this location and get you to all the major sites within a very short period of time. It's not a traditional hotel, which immediately appealed to us. We felt like we were coming home to our own little New York apartment. If you are sensitive to noise, however, this is a big city, and we could hear conversations on the street outside, as well as the usual sirens and other big-city noises. So, if you're a light sleeper, bring ear plugs (we did and slept fine). Bottom line: Great value for the money!	
Mar 16 2009 	Cozy Quiet and Clean	Booked this place last minute before a trip down to see friends for the weekend and what a find. The place is just as the title says above, cozy. Room was very clean as well as the bathroom across the hall, of which there were two on the same floor. Im pretty sure that this is the case on each floor as far as there being two on each floor. The shower was very adequate and clean and the bed was comforatable. I stayed one night since we stayed with friends the first night and used the room to take a nap after bring out all night and the place served it purpose perfectly. I was very suprised after expecting anything. It was a very quiet street considering where it is and so pleasant. If you dont want to spend the money on parking which is a few blocks over I had seen plenty of spots constantly opening up on the street.	
Mar 5 2009 	Cozy and Clean	No problem here - very clean and cozy. If you are claustrophobic, the room could get on your nerves. But, most of the time is spent outside the room anyway. The neighborhood was great. Only three blocks to the subway. Some great places to eat. Check out Spice around the corner on 8th for moderately priced Thai, some of the best I've ever had. For breakfast you have to try The Bread Stix Cafe on the corner of 23rd and 8th. The best pastries ever! Try the cheese danish. I wonder about the thought process that went into putting showers in the rooms, but that is a topic for a different venue. I would have preferred a large comfy chair for lounging in while surfing the web, but different strokes for different folks. The only downside for me were the stairs. That applies to all of NYC however. I asked for a room in the rear on the first or second floor and was accommodated, so that was all I could ask for. My favorite place to stay is Embassy Suites on N. End Ave. $149 a night on weekends. You get a suite and a full breakfast and manager's reception. Can't be beat. But during the week it is $259! Ouch! Too much for one person-	
Mar 2 2009 	Location location	Right near the subway, Chelsea Market, good restaurants, Atlantic Theater, movie theater, and lots more!!! The price was very reasonable. The room was small but adequate and very clean with a shower, sink, and small tv. (the toilet is down the hall, but I felt I had it to myself as I never met anyone else coming or going--no pun intended), No phones in rooms. Pay phone in the lobby, this shouldn't matter to anyone but technopeasants such as I am. I intend to stay here again, the staff was wonderful and the lodge just right for my tastes.	
Mar 1 2009 	Great location helpful staff	I stayed here with a friend for 5 nights. The location was great - lots of local cafes, restaurants, supermarkets/pharmacies, and close to the subway. We had the downstairs suite, which has access to a shared garden. The bed was very comfortable but unfortunately, the couch doesn't make a good bed. My friend took the couch and he said that it was very uncomfortable (although he didn't say this until the end of our stay). Apart from that, the bathroom was great (newly renovated and surprisingly large!) and it was very convenient to have a kitchenette with a fridge for our drinking water. The owner (I don't know his name) helped us with our luggage and got us extra towels when requested - he was pleasant and prompt. I would stay here again - we could even walk from Manhattan - only 10-15 mins.	
Feb 28 2009 	Bad experience	The bathrooms on 3 out of the 4 days we stayed there were either out of soap or paper towels. The mattress we slept on was awful. If you laid down in the middle of it the sides would fold around you. And I got bitten by bed bugs, and by the time I left The Chelsea Lodge I was covered in welts. I would never recommend this place to anyone.	
Feb 28 2009 	Charm and value in NYC.	We were absolutely satisfied with our stay. The staff was not overly friendly, but I don't necessarily see that as a bad thing. The room was very small, but comfortable. The shared toilet was not a problem. This is great for young couples who are not going to spend a lot of time in their room. Well worth every penny.	
Feb 11 2009 	It's my home away from home	If you are going to NYC, one of the greatest cities on earth, why not choosing for a very nice place to stay: Chelsea Lodge. Whether you have a business or pleasure trip: this charming hotel is absolutely great. Housed in a brownstone in Chelsea, a very nice neighboorhood and very central: close to Meatpacking District with very good restaurants and galleries, near to Midtown aka Shopping Paradise. And also very close to trendy clublife. 20th Street itself is quiet and very beautiful with lots of trees and beautiful houses.But the best of Chelsea Lodge is the cozy hotel itself. The rooms are clean and they offer all the essentials you need: a shower, sink, a nice bed, wireless internet.And the staff.... James and all the others are very friendly and helpful and they know what service is about!if you want to have sightseeing suggestions, they will give you great recommmendations you won't find in a tourist guide. If you are in for a little chat, they will making feel you at home. If you need any help, you will get it right away.And if you there just to do your thing, they will respect your privacy. Anyway: you will get the picture: this place is great and a bargain!Every year I will make at least two visits, doing this since 1999. So it's my home away from home (Europe)...	
Feb 9 2009 	great reasonable find in chelsea	heard some good thing about the chelsea lodge from friends from LA who stay last march. The chelsea lodge is a great little hotel on a nice block in chelsea. The rooms were small by very clean well appointed. The chelsea area had some wonderful moderately price places to eat right up the block along 8th avenue. la bergamont on 9th ave was a great suggestion for a great coffee and french pastries. cuold not think of a btter place for a get away to the city then Chelsea lodge the surrounding area	
Jan 29 2009 	Good location and price !	We were there one week. Room was small but anyway enough space for two persons when main goal is to see the NYC. Room and toilets were clean. The area is good and it´s pretty close to everything. First 2 days we have room that was on street side and some noise came into room. Earplugs helps. Then we chanced other room that was very silent and we were very satisfied about hotel.Summary; good: location, price, clean,.I will visit again!	
Jan 29 2009 	Small original clean and cheap hotel.	Looks like home. No sign outside the hotel, it does say a little about the &quot;spirit&quot; of the house, and its decorating ( ducks everywhere ).It's an old brownstone building, with small rooms. Lovely decoration, showsers ans sink, shared WC. It's clean. Very well located. What more to say ? Oh yes, THE PRICE is more than OK for New-York, and Chelsea. A bargain.Conclusion: the staff was cold, but go there, it is a good choice. No breakfast. Benj.	
Jan 27 2009 	Perfect for our purpose!	My sister and I (both in our twenties) stayed four nights. Loved the cozy room as it was a cold week in November; loved the secure building (you must have a key to enter or ring the doorbell); we stayed in a room on the main floor where it was quiet for the most part... we could hear some noise late at night with people just getting in (we go to bed early); the room was clean (but no frills); sharing the restroom was NEVER an issue; staff was helpful in finding restaurants (Lasagne Ristorante was AMAZING) and other questions. The subway was convenient. You must go to Dish, a restaurant nearby. If you are looking for luxury, go somewhere else, but if you are on a budget or are looking for a place that you will always remember, this is the place. Great Experience Overall.	
Jan 8 2009 	lovely affordable hotel	A friend and I stayed here for 2 nights. It was a perfect base for our trip. The rooms were small (as expected) but charming. We were in a 2nd floor room facing the street. It was very quiet (with window closed) and only minor noise with the window open. The place was very clean. The walls were a bit thin (could hear my friend talking on the phone when I was in the hall) but we never experienced any problems with people being noisy so that didn't really matter. Overall, it was a perfect place to stay for a very reasonable price in NYC. The neighborhood was very nice too. Some nice restaurants around and it felt very safe. Only a short walk from the 23rd St ACE Subway stop. I would feel very comfortable recommending this place to friends. In fact, I have already done so.	
Jan 4 2009 	Torturous Stay -> learned the hard way	We were &quot;upgraded&quot; without our knowledge and then charged for it. We stayed for three days. Our room was a dungeon below street level. The walls are paper thin, and there was quite a bit of noise from other guests. The room was not clean. There were spots of what appeared to be blood above the sink in the bathroom, and clearly they have never cleaned the walls or doorknobs in the bedroom. The sheets and towels are threadbare - literally - with holes in them. There were brown stain streaks on both sets of sheets we infested. There was no temperature control in the room. We were at the mercy of the guests above us. The first two nights we froze and the last night we roasted. For some reason they decided to not clean our room on the second day. I can only surmise as a cost saving measure.We are staying in New York for 9 nights and if they didn't have a 72 hour no-cancellation policy we would have left after the first night. We are now staying in a much more comfortable and squeaky clean hotel that is $80 less a night (booked through hotline dot com)The hotel has no service whatsoever. It's basically a motel with no parking. To me that means 1 star. We are feeling ripped off at this point. 190/night for a room in a converted basement is absurd in any city. For the life of me I cannot explain our experience. I read through previous reviews carefully and we expected some charm here. Alas this was not the case. I am left with the suspicion that the hotel has spammed this board with a large number of their own reviews. I would unequivocally not recommend this establishment. There are many comfortable and clean hotels in New York that have a number of guest services and can be had for less money if you merely take the time to shop on the internet at any of a number of web sites.	
Dec 31 2008 	What a wonderful place to stay!	The Chelsea Lodge is an attractive brownstone building, conveniently located only 2 blocks from the E train. We arrived on foot having walked from the empire state building via Union Sq. Park. Although it took us about 45 mins, we were surprised at how centrally the hotel was located - we used the subway after that though!We arrived early to check in, but that wasn't a problem and we were shown to a clean airy room. It was small, but had a large window which made it very light. We were only staying one night and had plenty of space. I had read so much about New York hotel room sizes I was expecting a sardine tin and I was pleasantly surprised!In the room was a good shower, and a basin and toiletries. There was also room to hang clothes and stow bags, and a TV.Sharing a toilet wasn't a problem at all and I never had to wait even at 7am.Overall we had a very pleasant stay at the Chelsea Lodge and it really was amazing value. We would absolutely recommend it.	
Dec 30 2008 	A real gem	A big thumbs up from me.My 10 night stay was great. I was given a room that looked out onto the back courtyard and the large window let in alot of natural light. My room was small, but for one person it was enough and I never felt claustrophobic.There was enough storage space to store my things without cluttering up the room. Heating was kept at a comfortable level and I was neither too hot or too cold. The room was cleaned daily and an abundance of fresh towels was delivered daily. The bed was fabulous! It's a firmer matress (which I love) and I slept like a baby every night. Water pressure in the shower is goo dand the communal toilets are spotless. The staff are helpful and the neighbourhood is great. You are not far away from anything and transport links are plentiful. There's a pay phone in the lobby and a selection of tourist brochures to choose from. I did not take any photos because what you see on the website is what you get.I thoroughly recommend this place and when I next return to NYC would have no hesitation in staying here again.	
Dec 28 2008 	Chelsea Suites is the place to be	The Chelsea Suites is an awesome place to stay. It is in a great neighborhood close to many great shops and restaurants. The bus and subway is super close. I stayed in the parlor suite closest to the street. The only drawback is the street noise. I would recommend a suite off of the street for the best experience. I can not wait to go back. This is where I will stay in New York from here on out.	
Dec 22 2008 	A peaceful room in buzzing city	We stayed at this hotel in late April/ early May, in one of the ordinary rooms on the 1st floor. We got married in Central Park May 1st so part of the stay was our honeymoon. Alltogether we stayed for 7 nights and could easily stayed longer.It was a small room with a queen sized bed, an open closet, a drawer, a small TV, a wash basin and a shower. The window faced the back garden. All the rooms (5 I think) on one floor shared two toilets which were perfectly cleaned all the time, and so was our room. The towels were changed every day if you threw them on the floor, and shampoo and soap were provided when needed. No hair dryer, but I bought one for 25 dollars at the drugstore on the corner (a traveling model that can be used on 110 and 220 V).The style of the interior design was old American country classic and very suitable for this classic brownstone buildning. The street was calm and quiet, and the neighborhood contained of people from all walks of life and had a lot of good breakfast lunch, coffee, dinner and bar choices. Also, you have movie theatres, some shops and the riverside walk with all sorts of sporting activities. And several subway and bus lines close by. The staff was very quick and helpful with luggage, answering questions and leaving messages when someone phoned us. I can highly recommened this as a romantic get away, and if you are to get married in NYC, you have the chelsea flower shops just araound the corner.	
Dec 17 2008 	A Great Place to Stay in NYC	Chelsea Lodge is a great place to stay when visiting the city. My husband and I stayed for two nights, and this was our second time here (we also stayed here in May of this year). The hotel is close to restaurants and the subway, and is on a quiet tree-lined street. The rooms are small, but comfortable. You have a sink and shower in your room, and share a toilet. The rooms are cozy and clean, and the staff are quite friendly. I did find the room to be a little bit cold in December. We will definitely stay here again!	
Dec 11 2008 	A little gem in the Big Apple	Fantastic and cosy small hotel in a very peacuful neighborhood. Fantastic location near a subway station with lots of great restaurants around.The staff was very friendly and the decoration remind me a doll house.The bathroom in the corridor, was never a problem. Always immaculate and available.I'll will return to Chelsea Lodge in my next trip to NY. For sure!	
