	Fantastic Hotel Great location Great Price Great Staff	Just back from a 4 night stay in the Marriott Eastside. I was a bit hesitant staying on Lexington Ave as on previous trips to NYC I have always stayed close to Times Square, but it was the best location ever. The hotel is located less than 5 minutes walk from 5th Ave and less than 10 minutes walk from Times Square. The staff were very friendly and efficient especially the Irish Porter from Donegal. He was so pleasant and helpful. We had room service one night as we could not walk any more after our day shopping. The food and service was great and only cost $70 for dinner for two with beer and tea included. Never again will I stay in hotels close to Times Square, I'll be staying in the Marriott. The concierge was great and organised a 'town car' for us to go the airport in and it only cost $75 including tolls and tips - again this is the cheapest fare we have ever paid to the airport from a hotel in NYC. This is my seventh trip to NYC and would have to say the best trip ever by far and this was all down to the fantastic hotel that I stayed in. I'll be back!	
Oct 8 2009 	Never Again	Terrible hotel. This was our first trip to new york. If going again will stay somewhere else.Very unfriendly desk staff. Had read reviews about unfriendly staff and thought it didnt matter, but it does matter when trying to sort out problems. The internet didnt work in the room for our whole stay. Very annoying when I really needed to check my e-mails. They kept telling us it would be fixed soon. They got us to phone support who just left us on hold.The business centre is a joke. Two computers squeezed into a tiny corner, practically on top of each other, no privacy whatsoever. (very expensive to use). The girl at the desk in business centre was the most surly looking hotel staff member I have ever met.Our room looked out onto a building site. Our first night there seemed to be a generator operating all night. Luckily we were all so tired we slept through the noise. The noise stopped the next morning. When we mentioned it to staff we were told all rooms were full and if the noise came back to let them know. Luckily the noise didnt come back. Dont know what we would have done considering the hotel was supposedly full.I had read reviews that said bathrooms were small with no extractor fan. They are tiny and yes they get very stuffy and steamy. We had a room for 4 people and there was one tiny wardrobe.Be wary of the type of Taxi the Bell Boy gets you.He booked us a cab which we thought was the normal cab. 55USD incl. Tolls and tipsIt was a black car. They dont use tunnels or toll bridges. It took much longer to get to airport and we were nearly late for check in. Just get your own yellow cab outside hotel or insist on yellow cab.	
Oct 1 2009 	Very nice hotel	We arrived mid-afternoon and got our room immediately. The room is somewhat small but for NYC its what I excpected. The room was very nice, bed was as comfortable as I've had a hotel. The room has a refrigerator so you can walk down the street 2 blocks to the Duane Reade Pharmacy and purchase water, pop, beer or snacks to keep in the room. Location is great. Reasonable walking distance to many attractions a short distance to 5th St, Park Ave and Broadway. Hotel is on Lexington Ave and the #6 subway train is &quot;the Lexington Line&quot; so you can catch it 2 blocks away at 51st or 6 blocks away at Grand Central(42nd). Didn't use many amenities as we were gone most of the day, but this was a great hotel to come back to every night.	
Sep 30 2009 	Great stay but noisy at night	Spent 9 nights here and enjoyed the stay very much except that they are building a new hotel next door and there is a lot of construction noise at night. I travel a lot so I always bring ear plugs just in case - front desk also offered them for free if you ask. To try and get away from the noise as much as possible, try to get a room with a low room number (ie: 1201,02 etc) the side with the construction is ##19+.We chose this hotel as you can walk to most of the mid-town attractions like Times Square, Central Park, 5th Avenue Shopping etc. in about 10-20 minutes. Subway is only 2 or 3 blocks away and Grand Central is about 6. Contrary to a previous contributor, we found everyone very helpful. If there was ever a line up at the front desk, they seemed to have staff floating in the lobby that came up to you to see if they could expedite your request. Everyone always gave us their names and volunteered their services personally if we were to call on them in the future. Concierge lounge only closes Friday afternoon to Sunday evening. Even though i am not a Gold or Platinum member I managed to get Lounge access by paying a few extra dollars which I think is worth it as you get free food and non-alcoholic drinks. So for the cost of 2 breakfasts downstairs, you can have free continental breakfast and all the bottled water you can drink for the duration of your stay.Restaurants I would recommend the are close are Avra (literally around the corner) and David Burke Towne House (10 blocks North). There is a 24 hour drug store 2 blocks south for anything you may need too.	
Sep 24 2009 	Great location and helpful staff but amenities have deteriorated...	I stay at the Marriott East Side regularly for business, typically one-night trips. The location is fantastic, rooms are comfortable and the front desk and business center staff are always friendly and helpful. My most recent trip was my first multi-night (3) in a while, and I found the amenities disappointing. Room service is limited to 6:00am-11:00pm, and while there are small refrigerators in the room, there is no mini-bar - not very convenient for travelers that get in late and have to be up early for meetings (concierge level service wasn't even available). Most annoying was the wi-fi service, which was painfully slow!! It made it extremely difficult to get work done in my room. I will likely still stay at the East Side when in Midtown (convenient location, good value) but would like to see more functional amenities catering to business travelers, specifically faster broadband!	
Sep 17 2009 	A City Christmas	For our Christmas vacation, we were able to take the train into Grand Central Station, and then right into the hotel without even going outdoors. Although we had seen a review that mentioned an unfriendly staff, our greeting could not have been nicer! We were greeted like old friends. The train station is very festive at Christmas time: a lovely arts and crafts fair (where I bought all my Christmas gifts), a periodic light show of the constellations on the ceiling (applause from the travelers often follows!) and, again, without braving the weather, we had a marvelous dinner at a steakhouse in the station. The concierge got us theatre tickets, we went to concerts, explored the city ,and all our suburban neighbors were very envious of our &quot;Christmas travels&quot; when the holday was over..	
Sep 14 2009 	Great Location - shame about the rest!	I booked the Marriott Eastside for a 4 night stay for a shopping trip with my sister due to its central location. I've stayed at several Marriotts before in the UK and Europe and have found them to be to a good, high 4 star standard.We booked a twin room (2 double beds). On arrival (late at night after a very long flight..) we were told sorry, we only have a room with one king bed for you. The hotel had overbooked on its twins and as a late arrival we were the unlucky ones. The receptionist agreed to put an extra bed in the room (you'd think they might have had they initiative to do this before our arrival given that a twin room had been booked!!). After much prompting he eventually said he'd try and move us to a twin the following day. Fine said we. The whole process seemed like trying to pull teeth, he clearly seemed to have no interest in us at all. After being given no info about the hotel amenities, we asked when breakfast was and were told until midday. Shame we came down the following morning to discover it was finished at 11.No-one we spoke to seemed in the least apologetic that the room type we booked wasn't available. Maybe this seems a small thing, but part of the reason we chose the hotel was to have a reasonable size room with 2 double beds, which few hotels offer.The room itself was very small - and i mean small. I am used to London hotel rooms which can be truly box like - in America you expect something larger! We had a panoramic view of a building site (drilling commenced at 7am) and a large brick wall.The website said the hotel had been recently refurbished but the only signs i could see of this in the bedrooms were the flat screen tvs. The carpet was tatty and there wasn't even a mini bar. The room felt stale and there was a rather unpleasant musty smell through the hotel, even in the towels. The bed I must admit was very comfortable (the king bed not the camp bed!).Next day we were told there would be no twin rooms available for the duration of our stay. After much probing for some kind of acknowledgment of the inconvenience caused to us, the staff eventually said they would move us to a larger room (still with king bed and camp bed style arrangement) and offered us a comp breakfast. That room must have been about 2 sq foot larger than the first. The view of building site remained, albeit a less noisy side of the site!On checkout, the receptionist charged the bill straight to my card without even showing a print out first - (this is just common politeness?!) I then had to ask them to refund the complimentary breakfast - which they had charged us for !! - back on to my card.The biggest issue for us was the lack of service offered. I understand that hotels get full and don't always have the right rooms, but not once did anyone apologise for this or offer anything as a solution - i had to push all the way for a room move. I work in the hotel industry and know what is possible with a tiny bit of effort and a smile. When travelling to America, with it's famous friendly service we expected better.Maybe this hotel does too well purely just from its location and feels that service is not necessary. I was really disappointed - I would have expected much better from a brand like Marriott.For those looking for a nice hotel in this area - try the W hotel next door!!	
Sep 9 2009 	Comfortable rooms	stayed 6 nights and enjoyed entire stay. checking in was fast and front desk effecient and courtious. great bellman! i did not care for any of the recomendations from resturants to broadway shows the concierge desk offered. clean room, very comfortable beds and room, small but effecient bathroom space. bonus fridge in rooms.the location is pretty good. the 6 train uptown is one block from the front door. grand central is a 5 min walk from the front door. waldorf is across the street. times square, rock center 10 min walk.i did not use many of the hotel services so cannot comment on. i did use the business center which was terrific for shipping fedex, printing boarding passes, email.	
Sep 3 2009 	great location excellent value	stayed here for 5 nights first visit to new York. excellent location very central. Room 2 double beds recently refurbished. Fridge in room was very handy and safe. very clean friendly all you could ask for. Booked via octopus travel and had a superb deal of £65 a night !!!	
Sep 1 2009 	Location Location Location!!!	It was fabulous to walk to Central Park, the Met, up 5th avenue and drool at all the windows. Or walk over to Rockefeller Center for drinks &amp; photo opts. We Loved this hotel!!! We received a high floor (26) and it was a corner unit which was great for 3 ladies BUT we only had ONE bed.....it was a king and we did get a roll away....but it would have been nice to have 2 beds. I heard many people complaining at the front desk...they just don't have enough rooms with double beds. Would I stay here again???? Absolutely!!!! The location is prefect!Easy to grab train, bus or cab. So much to see in the area.On our way to the airport the bellmen hooked us up with a towncar $40! included: fare, tip and tolls!!! thats the way to go......when we returned from lunch our bags were already in the trunk..... FABULOUS TRIP : )	
Aug 28 2009 	Great location!	This hotel was at 49th and Lex, you can see just about everything from there.. walking distance. And yes, I know everything in the City is pretty much walking distance... but you could get to TONS of places no sneakers needed... if you know what I mean. Grand Central is like 10 short-blocks away, Central Park, Time Square, Rock Center &quot;Today Show&quot;, shopping and restaurants.. Cheesecake at Juniors! A bit pricey for those that want to save moola for nights out... but if it's just location you are looking for then you save on taxi fare in the end. Both &quot;huge&quot; Tour Bus lines stop right infront.. Downtown Loop , Uptown Loop, Brooklyn Loop... etc. So you can get just about anywhere all day (every 15 minutes) Even the Ferry (Free Statue Ferry) drop off too. And the cost is about $50 for 48 hours.... so good deal. The guide is nice too... lets you know all about everything and you can stop all along the way. Concierge at the hotel can give you maps and they were really informative with all things local. You can order tickets and everything right there in the lobby. The service was a bit blah... very clean, but I found it odd that I ordered things that never came (not charged) but in the end... I wanted it!! lolThe hotel does have great weekend packages so check those out before booking. We visited American Girl Doll store and they have a package for that (kids get a bed for their doll as part of the package - very nice).Concierge/Business center access isn't really worth it... unless you want to just snack. ($70 a day per person for Fruit Bars in the AM, Small Sandwichs in the evening and various cookies in the PM)... better off popping by CVS down the street (2 blocks) for $10 to buy the same thing... And rooms have frig!! The only thing that was the pitts in the end was the Elevators... run so slow... small too! Floors 16 and above are the greatest... but you might end up waiting 15 minutes for a ride on the lift.... Not sure why (maybe one was out of service or something).. the place holds functions as well so they are busy.. I wouldn't call the lobby quite but the floor our room was on was very peaceful.	
Aug 12 2009 	Great location and comfortable room	Valet service was quick and courteous. Check in was long and slow. Was told our room wasn't ready yet and gave me a slip of paper and said they would call me. We waited in the hotel lobby, would have been better if the lounge was open. It did eventually and had a drink, very nice bartender. People were checking in and going immediately to their rooms so I ventured back to the desk and asked and lo and behold the room was ready! Was not given a reason why I didn't get called.We had a room on the 14th floor, two windows, adequate size for NY. Wish it was higher as the street noise was loud early in the a.m. Downfall was the bathroom door was a step away from the bed. Room was clean and modern. The bedding was the best, felt like I was sleeping on a cloud. Bathroom updated too, but could use a fan, but was clean. Hotel cleaning crew were very polite and always said hi and had a smile on their face. Plus was also having a refrigerator and safe in the room. Checkout was quick and valet service too.The hotel is close to Grand Central Station and we walked to Times Square, Rockefeller Center and Central Park with no problem. We would stay here again.	
Aug 4 2009 	Great location and excellent service	I went to NYC with a friend to take our girls (age 8) for a fun long weekend and to visit the American Girl Store. It has a great location, friendly and helpful staff , clean rooms. We arrive around 10:00 and the room was ready.....the best part was that we were upgraded to a suite. Didn't try the restaurant since there are many good ones in the area. Will stay at this hotel again. Check for rates, we were able to get the best rate at Marriott.com.	
Aug 4 2009 	Excellent Hotel	My husband and I, along with our friends, stayed at this hotel for three nights this past weekend. We loved the hotel and have no complaints regarding our stay. The location was perfect and the rooms were plush, clean, cool, and updated. Our view was a slightly obscured by the scaffold that an earlier reviewer mentioned but we were still pleased. The staff was very courteous especially William, the security officer. The hotel was in walking distance of the Rock, NBS studios, etc. Also there were several late night eateries, which we frequented. I also like the fact that the drug store was one or two blocks away and we were able to buy water bottles and milk to place in the fridge provided in the room. The hotel was also right across the street from the Waldorf=Astoria- if you have a chance, walk through the W=A for a beautiful view. The subway was around two blocks away as well. We would most definitely stay at this hotel again!	
Aug 4 2009 	Excellent location comfortable and value for money	On arrival the front desk dealt with us efficiently. The only complaint I had was that the doorman did not help me with the bags to my annoyance.The room was quite small compared to what I am used to in hotels but more than adequate and was big enough for 2 double beds. It was well decorated and fresh.It had a work desk big enough for my laptop computer and other electrical items.The room also had another table and chair and a flat panel LCD TV. There was a good wardrobe (closet) for hanging clothes and storing the luggage. The bathroom was quite small but again, more than adequate and very clean.Marriott offers wired and wi-fi internet access. I had problems connecting to the wi-fi but after a call to the front desk they put me through to a help line where my issue was dealt with in less than 5 minutes. Wi-fi is a bit pricey though. I used Boingo as an alternative afterwards.We did not use the restaurant but did use the bar after sightseeing in the City all day. Try the Brooklyn Lager it is really quite good.For breakfast we ate at the Midtown Restaurant on East 55th Street. This was much better value than the hotel breakfast.When you step outside the hotel there are many amenities. Restuarants, bars, coffee shops etc.To stock up on water and snacks for the day, there are a couple of pharmacies very close by. Unlike in Britain, the pharmacy/drug store is also a convenience store. The main chain is Duane Reade. Take a left out of the hotel entrance on Lexington Ave and walk for a minute or two to find the nearest one.Overall, the hotel is comfortable and clean and the staff efficient. I am very fussy when staying in hotels and would have no problem staying here again.	
Jul 27 2009 	Nice hotel good location expensive broadband!!!	We had a very nice stay at this hotel. The location was central and pleasant, and by NY standards, the room was a good size with very comfortable bed, fridge, the usual amenities. The view was not great and for the first few days made worse by scaffolding - I'd have appreciated a warning at check-in that extensive building work was being carried out directly outside our window (I opened the blinds to be faced with a lot of burly men on scaffolding - awkward moment). The hammering and drilling commenced before 7am most days but thankfully stopped a couple of days before the end of our stay at which point we could see daylight again! The staff were excellent - pleasant and courteous - very helpful. One major gripe is the cost of the internet connection - $16.50 per day or thereabouts. I think we now live in an age where we expect this service for free when staying in a decent hotel. Other than that a nice stay and I'd probably stay there again.	
Jul 23 2009 	Perfect Location - Great Stay	We couldn't have been happier with the size of the room, cleanliness and location. Minutes walk from Rockefeller Center and Grand Central Station. The staff was VERY helpful and friendly. We also got an unbelievable price $139/night with AAA discount!!! Even the reservationist couldn't believe it. It was the perfect comfortable stay during an event packed weekend - Ballet, Paul McCartney, Ellis Island, Metro. Mus. of Art and Restaurant Week! We would definitely stay here again.	
Jul 15 2009 	Nice Hotel - but not great	I had the experience of visiting NYC twice in 2 months. This hotel is across from the Waldorf Astoria - near NBC Studios - and is about a block from the subway. Rooms were nice - clean - staff was courteous...The elevators were small and they were often backed up during peak use. I preferred staying at the New Yorker in midtown, as it is a more lively neighborhood.	
Jul 1 2009 	really nice hotel	Stayed here only one night. Really nice hotel, cheap prices.	
Jun 17 2009 	Fabulous location great hotel"	This was a perfect hotel for our famiy of five for an overnight to celebrate my 15 year old's birthday. Location central, all staff courteous and friendly and valet parking reasonable and convenient. We were given the two adjoining rooms which were well equipped, spacious and comfortable. Beds are really exceptionally comfortable. Lexington Ave is pretty noisy, but in spite of the garbage trucks, we got a good nights sleep. Both rooms had small refirgerators and coffee pots as well as safes. It met all our needs and then some. On the down side, the bathrooms could use better ventilation and were small. No big deal.	
Jun 5 2009 	Loved the location	To enjoy and experience the Big Apple one has to live at the Upper East Side in Manhattan. The Marriott at Lexington &amp; 49th is superbly postioned to to enjoy the various sights and places that NY offers. It is an old hotel and obviously needs refurbishment considering how much it costs to stay! However, if one can overlook this factor the place is ideally situated within taxi and metro distance of all the major areas of NY city. The hotel does have an old world charm but lacks the finesse and poshness one would associate with this brand. The stay was quite pleasant and uneventful. The staff is friendly and polite considering its NY City !	
May 26 2009 	Really improved hotel	4 years ago, we had a terrible stay at this hotel. It was old, rooms &amp; baths needed repair, billing was awful, housekeeping dreadful, not one good thing to say 4 years ago. Hotel had major rennovation recently and they did a great job. Rooms and baths are super clean, billing was perfect, they truly did an excellent job during this stay. Bellmen Patrick and Jimmy are the best, so helpful. Breakfast buffet much improved. Definitely recommend. Location is good.	
May 25 2009 	Four Stars for $139 in Mid-Town!	We got a fabulous deal for Memorial Day weekend. Had to stay at least 3 nights and be AAA members. Great location, right across Lexington from the Intercontinental and the Waldorf, next to the W and the Doubletree, plus many nore hotels. Easy to hop on subway or catch a cab. It was a bit noisy Thurs night with a 4:30 am trash truck outside, so they comped us a free room service breakfast (usually 2 eggs are $20, coffee is $8 + $4 charge + 15%). Unless it's free, you can do better for breakfast a block north. The sidewalk cafe next door on 48th was Mediterrranean and fabulous. The king room was clean, not too small, with a coffee-maker, fridge and safe, but the movies on TV didn't work. The bath was spacious, shower only. The toilet was one of those newer kinds with less water, but noisy. We were at Penn station when we noticed that one of our 5 bags was someone else's. The bellhop had stored our luggage the last day as our Vamoose bus to Bethesda($25, every 5th trip free) was in the evening, and when we picked it up they gave us one that looked like ours but wasn't. The hotel was quick to fix: found our bag, brought it by cab to a Starbucks at 31st and 7th Av., and picked up the wrong one, all in 25 minutes. Impressive. The hotel does not have a great huge lobby, but the lobby bar was fine. We had to take 3 elevators to the top floor fitness center, but the views were great from there. Internet was $16, and parking would have cost more than the car. For the money, it was super, plus we got Marriott points.	
May 22 2009 	Terrific service beautiful rooms and outstanding location.	We were celebrating our 30th anniversary and enjoyed our stay immensely. We were there for 4 days. Because of my Marriott Platinum membership level, I was given a room upgrade to a high floor. This meant that it was relatively quiet. We did use the hotel as a home base for exploring New York. There are a lot of good restaurants within easy walking distance. Daily housekeeping was flawless, and everything in the room was perfect. I was able to get a deal through Marriott's website, so our room rate was very reasonable for NYC (~$250/night) but the price on the back of the door was four times that. So if I was paying rack rate, I wouldn't call this a great value. For us, it was great.One of the best things about this location is that you're away from the hustle and bustle of Times Square and the Rockefeller Center, but it is a relatively short walk to Central Park, the theater district, and the Rockefeller Center. There is also a convenient subway stop only a block away that makes it easy to get to all parts of New York in a matter of minutes.Overall, this was a terrific stay.	
May 6 2009 	Great Hotel - Great LOcation	This is a fantastic hotel in New York that is excellently situated close to all the attractions but far enough away to offer a peaceful break from the relentless hustle and bustle that is Manhattan. We checked in on a cold snowy evening, some 6 hours later than planned after heavy delays as JFK. The staff on check in were efficient, polite and helpful. Initially we were given a room on the 7th floor, but when the clerk checked our reservations and noted that we were staying for a week she kindly upgraded us to a much larger room on the 27th floor. The hotel and room was well appointed and clean. He bathroom was generously sized and the room cleaned and tidied early each morning. The room was quiet and the bed so comfortable! This was a great stay and I would encourage anyone to stay at this location –10/10.	
Apr 30 2009 	My favorite NYC Marriott	I love this Marriott for its location but also the awesome staff. This was my second time staying at the hotel and even better than my first two years ago. Upon arriving, my friend and I chatted with the woman who was checking us in. She mentioned the hotel wasn't very busy but would pick up over the weekend, and that she would be able to give us a room with two double beds instead of one king, which was great. After a couple more minutes of chit-chat we went to our room and realized-- WE GOT HOOKED UP!!! The room was huge by NY standards. There was plenty of space to walk around, a large closet and a nice-sized bathroom with a stand-alone shower and large tub with jets. The beds were super-comfy and had reading lights attached to the headboard. The view from the windows was cut off halfway down by the wall, but that wasn't a big deal since we weren't spending much time in the room anyway. I was a little sad to leave our room at the end of our stay, and though that rarely happens in the city with most rooms measuring the size of small closets, I have always had great luck with Marriott.	
Apr 25 2009 	Nice room and nice staff great location.	Very nice room (junior suite), nice staff, very clean, great location and if you are travelling to another city and returning to NY in some days to stay again in the hotel, you can keep your baggage with the doorbell for 3 dolar per bag per day.	
Apr 20 2009 	Could it be better	I went with my family to spend easter weekend, when we checked in we discovered that the 2 rooms booked where at different floors, because we have small children, we asked for a better choice, but they told us they were full, even so we were arriving early. It´s hard to imagine a 30+ floors 500 rooms hotel were you could not find two rooms in the same floor! The worst came when we had to take different elevators for each room, lower level and high level and by the time we arrived at the room we find out that the telephone line of my children room wasn´t working. We had to spend the weekend taking to the operator! Everything else was nice.	
Apr 17 2009 	So Glad We Chose This Hotel!!	My son actually found this hotel, and I decided to just book it and trust his judgement, he's 15. They gave us a great rate, and when we arrived at 11:30am, they allowed us to checkin early. When we opened the door, it was the largest hotel room I've ever seen, and the assistant manager at the desk told me he would give us a quiet room away from the elevators, which he did. It was such a beautiful room. All staff were courteous, everything was very clean, and the location was perfect! Even had a great bagel place up the street, and subway nearby. I definately recommend this hotel.	
Apr 10 2009 	Great hotel in a great location - recommended!	We stayed in Feb 2009 for 5 nights. Hotel is close to everything you want and has a great deli on the opposite corner which does amazing heros (sandwiches).Room we were in had a view of the Chrsyler Building. Bed was huge and sooo nice to sleep in.Room for New York is a good size and had everything we needed.Good gym on the top floor too!We would stay in this hotel and would recommend it. It is a bit pricey but compared to places i've stayed before was worth the money.	
