	Great Value for Money	Recently stayed here with my daughter. Really nice hotel in Downtown location. Close to Soho, China Town and Greenwich Village. Subway 5 mins walk to Uptown Manhattan. Staff very friendly and helpful. Would recommend this hotel. Within a 20 min walk to the financial district, World Trade Centre and the Staten Island Ferry. Great Value for money, with a good restaurant. Rooms clean and although not big, they have everything you could want. If you want a drink there is a central tea/coffee making service on each floor.	
Sep 7 2009 	A great hotel in a popular section of the CIty . . .	Tribeca Grand is located in a convenient area in walking distance to Soho, Chinatown and Little Italy. In our past and recent visit, the hotel staff has been exceptional from check-in through our stay. Rooms are very clean, nicely decorated with top rate bathroom amenities. Very nice lounge, and we enjoyed a great breakfast in our rooms --Real plus is the complimentary coffee, tea and hot chocolate areas on each floor. Will definitely be back.. . Love this place and the great staff. . .	
Sep 5 2009 	Not bad but will probably try another hotel next time.	Good location. Stayed in a 1 bedroom suite (actually turned out to be more like an alcove studio). Room is smaller than it looks in the photos. I actually rearranged the sitting area furniture to make the space more usable. &quot;Bedroom&quot; was small enough that the closet door actually hits the side of the bed when you open it. And the computer was a mac that hadn't been updated for years, so it was basically useless. Couldn't even view Google Maps. When you turn on the TV, if you don't hit a channel or something immediately, it wont come on. Power button isn't enough. Right by the bathroom, kept getting a strong whiff of cigarette smoke. So, though it was nice, there was a lot that bugged me. Probably not worth the almost $1200 I spent for a 2 night weekend stay. For that money, I'll try the Standard in Meat Packing next time.	
Sep 4 2009 	Grand vs Not-So-Grand	Grand: quiet part of town, sound machine in ceiling, trendy and cool, breakfast, bathroom products, plenty of towels, prompt housekeeping, cool bar especially after-hours, mini and snack bar, 24 hour room service, coffee bars on each floor, locationNot-so-Grand: AC didn't work well - room couldn't get cooler than 71oF, linens could be better, small room, loud hallway, dank smell in roomI will try another Tribeca hotel to get a better idea of how the Tribeca Grand rates against others!	
Sep 4 2009 	Made a memorable visit even more memorable	This is a great boutique hotel. Chic, cool, comfy and fun. Enjoyed the room, drank well in the lounge, and the staff were friendly without being overbearing. Would definitely stay there again. Best of all is the location. A great place to stay, close to all the cool neighborhoods, and perfect for getting away from mid-town madness at the end of a day.	
Aug 28 2009 	I am in love with the concierge	This is a good hotel. If you want to live in Tribeca, it is a great hotel. Rooms are small, no view to speak of and I find the &quot;Church Lounge&quot; a bit too dark, but it's still nice to have a semi-fashionable place to revert to when all else fails. Some sort of indie rock festival there when I was staying there made me feel like an elder indie rock statesman, nice. That said, the most spectacular feature of the place is the absolutely gorgeous female concierge who made me weak-kneed just speaking with her and to top it off was superbly competent. I felt like I was back in high school, wanting to pass her a note everytime I walked by, but as in high school I remained silent and admired her &quot;professionalism&quot;. What a goddess. The male concierges were good too but I don't swing that way, and the doormen are friendly. A good hotel.	
Aug 20 2009 	Excellent design hotel with nice atmosphere in great location	We very much enjoyed our stay at the Tribeca Grand. Friendly staff, great location, good atmosphere and excellent restaurants and shops nearby. Good value for money also. Highly recommended.	
Aug 8 2009 	Wonderful Respite!	My husband and I traveled with friends to NYC for our 25th wedding anniversary celebration. While we love so much about Manhattan, the show, the restaurants, etc., we were really looking to get out of the busy muck of the city. Tribeca and the Tribeca Grand were exactly what we were looking for. Granted, we stayed for several days during the week, rather than weekend, but we found the privacy and solitude we were looking for, all while having easy access to concerts, broadway plays, shopping, and exceptional food. We love the sleek, European styling of the place, too. For NYC hotel rooms, these were amply appointed.The staff was friendly without being overbearing. Manny set us up with a great package that allowed us to sample some of the hotel's offerings, like incredible goat cheese and arugala pizza for late night munching. Try the ginger pineapple mojitos...a perfect blend of unusual flavors.The concierge was incredibly friendly and helpful. He tracked down a bocce court for us in the West Village for an afternoon game in the park, as well as suggested some incredible local restaurants. When I mentioned that I loved the peppermint bar soap in the room, the staff connected me to the website where I could order direct.Much thanks to everyone at the Tribeca Grand. We will be back.~ Karen M.	
Aug 6 2009	Helpful and pleasant staff good food and drink excellent value for NYC	I stay at a few different NYC hotels depending on my activities. This trip Tribeca or SOHO seemed the best location and I choose the TribecaGrand mainly for the location. I was very satisfied. The staff could not of been more accomodating, the food I ate was above par and the bar is great.	
Jul 23 2009 	Crooks	My ring was stolen from my room. When I alerted security they told me they would take care of it and it was unnecessary to call the police. By listening to them I gave them plenty of time to cover their tracks. When I asked for copies of entries into our room I was told they would get back to me. When I asked about cameras in the hall they said there were none. Now they say they are not liable. DO NOT STAY HERE!	
Jul 23 2009 	Dirty dated and small.......	This hotel is over priced when compared to other 5* hotels in Manhattan. The rooms are small, dark, dirty and dated. The reality of this hotel is very different to the web site and nothing compared to the local W's or say hotel's like the Omni Berkshire, New York Palace etc. I would not recommend booking into this hotel, even if you do like the night life it offers, stay somewhere else.	
Jul 21 2009 	Amazing Impeccable LOVE IT!	This is the first time I'm writing a review, but we've (wife, myself, 2 puppies) stayed at the Tribeca Grand more than 5 times and I can't emphasize this enough; I wouldn't stay anywhere else in the city. The rooms always immaculate, the service always excellent, the staff always remembers us, and I've never seen anyone unhappy or complaining. The food is delicious, so good there's no guilt ordering room service. Considering the level of food offered in Tribeca, staying in can be regrettable. The Sunday brunch is lavish and incredible; we once went and weren't even staying there. Best of all, it's quite possibly the most pet friendly hotel in the country. Not only does the staff recognize them and offer them room service but they're also allowed in the church lounge. Where else can you sip martini's or eat a lavish brunch with your precious little puppy babies?? The location is excellent; far enough into Tribeca that you're near everything you want/need, same thing ;), but also a cool 5 minute walk from Soho and Chinatown proper. Nearby restaurants are some of Tribeca's finest (too many to list) and of course the church lounge is always a great place to be, especially during the Tribeca film festival when even the hotel screen movies because they have a theater in the basement. Still not convinced?? For those hectic NYC days, stay in and practically every place in Tribeca delivers and, oh yea, did I mention I've never been denied a late checkout.	
Jul 12 2009 	Very friendly but had a problem with the shower that was not resolved	The hotel staff were very friendly, but the issue we had with the shower was never resolved. The water poured out of the shower onto the the bathroom floor and soaked the floor and it even reached into the bedroom. We contacted the front desk and they said they'd send and engineer to fix the problem. They said that three days in a row and the problem was never resolved. It made the stay very uncomfortable. They attempted to address the issue by giving us free passes to the Sunday brunch. They apologized at check out but that was not satisfactory. On Friday and Saturday nights there is a party at the Church bar downstairs. The music was so loud that you could hear it in your room all evening. We were on the 5th floor.We will not stay at the hotel again.	
Jul 11 2009 	A very good experience	The hotel is stylish and comfortable, the staff was friendly and helpful. The hotel is well located, close to the A C E subway lines, and in walking distance to numerous downtown NYC locations. You have access to 3 newspapers each weekday. Suggest you join the hotel's frequent guest plan before you reserve which will entitle you to a $25 per day credit on hotel services such as food, drink, etc.	
Jul 10 2009 	Chic but lacking utility	The look of the hotel was great --including the hotel bar Church. It's in a very convenient location in Tribeca with the subway around the corner. Also there is a free coffee, mocha, hot chocolate machine on each floor.Cons: Wireless is about $10 per day. The rooms are cramped and lack outlets, shelving and generally space to put your toiletries etc. Shower leaked out on to the floor (enough to spill into the bedroom) but the shower was made more for looks than use. The response to our complaint about this was cool and not helpful at the moment. (I'm staying here as I write this.)Will update with service responses. By the way, I'm in my 20s and on business.	
Jul 1 2009 	Amazing Experience	Wonderful hotel &amp; great service upon arrival. The room was sheek and extremely clean &amp; quiet. They rent out an iPod &amp; iPod player, which is a great feature. Cabs are called for you, the lounge downstairs is always happening and the overall atmosphere is upbeat and sexy. The valet was quick with retrieving the car and pulled it right up front, no dents, dings or scratches, so they handle luxury vehicles, and I am sure others, with care. I would absolutely stay again, a very romantic night in NYC...not too far from Nobu, which is a great dinner spot.	
Jun 29 2009 	Loved it will return	The Tribeca Grand is wonderful boutique-like hotel. The rooms are comfortable, and big enough to hold your luggage. The decor is trendy, but comfortable. The interior is an open concept, with a fun courtyard where we enjoyed our coffee and newspaper. The location is wonderful, especially for people interested in shopping in SoHo and good restaurants. The only caveat is how it is very, very loud at night because ofthe clubb-y atmosphere noise. There is a sound reduction system in the room to help counter it, but unfortunately ours did not work. We just put on white noise on our computer to fix it. I think I would check that upon arriving next time. However, the noise didn't hurt our opinion, we loved the place. We will definitely return.	
Jun 18 2009 	Great hotel and great location	Husband and I stayed at the Tribeca Grand in mid June and loved it. The hotel itself is very nice and we were treated great from check -in to check-out. We utilised Patrick, the concierge, a lot and all of his suggestions were great. The location was perfect for us to explore Soho, Tribeca and Little Italy. Explored mostly those areas but even walked to Little Italy for dinner and it was only about a 10 minute walk. I would recommend this hotel to anyone that wants both a great hotel and a great location. We will definitely stay here again.	
Jun 11 2009 	Fabulous	Love New York, love Tribeca, loved this hotel. Polar opposite experience here, compared with my stay at The Old Mill Inn in Toronto. There was a massive power outage that knocked out most of lower Manhattan, but the staff stepped up to the plate and delivered fantastic service with a smile. The concierge even sent someone in a taxi to pick up cheeseburgers and shakes for us!The rooms are great, very clean and just an all round perfect place to stay.	
Jun 9 2009 	Great stay	Stayed for four nights on a short break with my wife. Door and bell staff always very courteous and polite. More than helpful. Same for all staff in fact in the hotel.The hotel rate was steeps but afetr a little bit of searching I got a rate at about 60% of the hotel website rate on hotels.com. It pays to look around.The hotel is well placed convenient to Canal St subway stop and also for exploring and walking.Avoid rooms towards the 6th Ave side and low down--road noise is somewhat offputting and annoying. I would opt for the other side. I suspect we got a poor room becuse we paid rock bottom prices but I could be wrong.Rooms were spacious via NYC standard and bathrooms well stocked with good toiletries, although I note the toiletries were sparingly replenished against what si normal in many other US hotels. Whether this is derived from a green drive or a greenback motivations is unclear. The bathwoom was a bit shabby, but overall the room was a 7 out of 10.we didn;t eat or drink in the hotel once--the prices were quite high and there are any number of spots on East Broadway direction for meals and drinks. (Try Petite Abeille for breakfast, lunch, or dinner, and Another Room beside the Tribeca Tavern for a pleasant micro beer.)All in all, a good spot. We visited friends in the Soho Grand just a few blocks away and the rooms, while the same price, were smaller, and the bar scene didn't seem as good, although the location is arguably better/quieter.	
Jun 1 2009 	Best hotel in the area!	I stayed here with my husband for a long weekend and we both really liked the hotel. You can find trendier hotels in the area, but this one is just perfect. We stayed in a standard room and it was big enough for us and all our shopping! The breakfast was amazing and the staff were very helpful and friendly. A big plus for the free wi-fi which worked really well.	
May 21 2009 	Not worth the money!	Superb service from friendly and helpful staff - with great sense of humour! Good location if you need to be in Tribeca. However, the room was a dissapointment, see enclosed pictures of our socalled &quot;suite&quot; - looked more like a storageroom. Does not correspond with pictures on homepage! For this kind of money one would expect more. Very dark and &quot;hip&quot; room, very small bathroom where you had to shower inside a tiny bath tub. Great beds, but be aware this Hotel does not have twin beds, also not mentioned on the homepage.Ordered roomservice and payd 86 dollars for juice, coffe, toast, one fried egg and an very basic omelette - definitely not worth the money!	
May 18 2009 	Excellent stay	We have just returned from a trip to the states which included 4 nights at the Tribeca Grand.The room was an ok size for NY and had a large comfortable bed and large TV. There also was a wardrobe with safe and iron. The bathroom was a good size and nicely decorated.The bar/restaurant area of the hotel was stunning and looked quite busy.The doormen were very friendly which was good as the check-in staff weren't overly cheerful!There was free coffee/tea and hot chocolate available on each floor but no milk only half and half meaning a trip to the bar to make tea.The main downside was a very noisy graduation party on one night of our stay which went on til 1am and could be heard in our room. On mentioning it to the concierge the next day we got a brief apology but didn't appear to be overly concerned at our inconvenience.We enjoyed our stay and the area around the hotel was good with subways very close-by.	
May 13 2009 	most horrible valentine's day ever	my husband &amp; i really liked the tribeca grand having stayed there quite a few times, and joined their grand guest program. however, the last 2 stays, including this one, showed us almost no benefits for joining the program, and worse yet, made us consider why we had even liked the hotel in the first place. our biggest gripe of course, is the room--we specifically asked for a high floor room, which is also in our preferances as &quot;grand guests&quot;. we checked in early and were given a low floor room, which was also very noisy and immediately asked to change. we were told that the hotel was full and that was all they had for us. we observed other guests checking in much later. why werent we given the room we had requested since we had checked in earlier? we let this go, thinking it was a one time thing. when we checked in for a romantic valentine's day weekend, also early, and also requesting the high floor in advance, we were again denied. the room was very noisy, and we heard noise all through the night from the lobby and bar just one floor down. in addition, as &quot;grand guests&quot; we had a $25 meal voucher which we used for bkfst the next morning. the bkfst never came. after waiting almost 2hrs we called and was told that bkfst would be up in 10mins but that didnt happen either. starving, we finally had to go across the street and spend much more than $25 for bkfst. we wrote an email to the manager about our problems, specifically bkfst. after about a month, he finally answered us apologizing for not answering sooner and that he would look into the matter. we are still waiting for a resolution. meanwhile, we will never stay there again. too bad.	
Apr 30 2009 	Hip Chic and Friendly...a surprising package	This was my first stay at the Tribeca Grand and I know I will be back in years to come. The staff was amazing....so friendly and willing to help. The hotel itself has a wonderful cool vibe that spills over into the guest rooms. The rooms themselves are a little small but what room in NYC isn't? The location is perfect for visiting Canal St, Soho and the Village...only a short walk to Nobu if you feel like treating yourself :-)Also, the hotel bar ,aka the Church Lounge, was hopping on the Saturday night that I was there. It got busy around 10:30pm and stayed packed until after 2am...they had a DJ spinning and there was great people watching.All in all, worth every penny!	
Mar 8 2009 	loved it	If you need to be in Soho, there aren't many hotel to choose from. This is a great choice of a hotel. Clean and chic. Seemed like the lobby lounge bar was a hot spot for nightlife. Greeted with champaign. Valet was fast enough. The room was on a smaller side but nothing much to complain. Probably the best hotel experience in NYC where you have to lower your expectations on room size and services and load your wallet before you go. I'd go back.	
Mar 6 2009 	Excellent 	We got upgraded to a bigger room when we first checked in when we asked if any upgrades were available. The service was excellent. Room service always arrived within 15-20 minutes. Everybody greeted us in the hallways and whenever we left and returned to the hotel. The management is doing a great job at this hotel. Our room was a fine size for us. We had a view of the west side. Great location. Within 5-10 min walking distance to Chinatown, 15 min to Soho. We paid $195/night through Expedia. Free wi-fii.	
Feb 1 2009 	Great Price for the Area	The Hotel is located in the heart of downtown Manhattan. The price was great especially in comparison to other trendy downtown hotels such as the Greenwhich or Mercer. The staff is extremely freindly from the time you book a room with their reservations department to the time you check out. They will bend over backwards to make your trip a memorable occasion. Also they give pet goldfish in the rooms, that you can even take home!! This was great seemings we had a short ride home.	
Jan 6 2009	Wonderful boutique hotel in Tribeca	I have stayed in this hotel over a half-dozen times in the last several years. It is consistently excellent -- with small imperfections that do not stop me from returning.The location is absolutely perfect (though this is a highly subjective judgment), great for walking around lower Manhattan with good access to multiple subway lines. The hotel has free bicycles that can be borrowed, and there are plenty of appealing places to ride from the hotel.Rooms are not large, but perfectly adequate. The room decor is a bit dark, but all rooms have large picture windows. Rooms are more high-end efficient than luxurious (most look like they were renovated 2-5 years ago), with good linens and bathroom amenities. There are flat-screen t.v.'s in all rooms with good music systems. Most rooms have appealing writing desks and sufficient electric outlets -- not as common as it should be.WiFi is free (as it should be) for members of the hotel's frequent guest program, but available for a fee for others (which is not right; WiFi should be a free amenity everywhere).Imperfections: on some visits reservations have not been in order; on more than one occasion Internet service has been interrupted for lengthy periods of time, which is not acceptable when on business (or any) travel; guest services are usually -- but not 100% consistently -- responsive.Also, the prices of rooms fluctuate too much according to season, discounts, availability and demand (on a very wide spectrum). I understand why this occurs, and it is the trend, but it is very unpleasant -- akin to the trend that has made the airline industry as loathed as it is.However, despite these problems, the Tribeca Grand is great -- as is its sister property in SoHo (the SoHo Grand), which is just a few blocks north but closer to the downtown shopping action for those more interested in shopping and an abundance of immediately available cafes. Be careful of your room choice at the SoHo grand: some rooms at the SoHo Grand have great views, other rooms have almost no view at all.Note that perhaps the best thing about the Tribeca Grand is its soaring atrium lobby, wonderful in the morning (for quiet breakfasts with the newspaper), afternoon (working on a laptop or enjoying the stylish crowd) and night (when the bar is hopping and the music great).Highly recommended.	
Nov 18 2008 	great location	Tribeca Grand is in a great location for tourists - it's an easy walk to Greenwich Village, SoHo, etc and the rest of downtown. Plus the A-line subway out to JFK is right behind the hotel, and it's generally good for public transport. Also there were bars and restaurants very close by, if you don't want to venture far. My room was fine - sizeable (for NY), clean, big windows, although not fantastic value at 450$. Very helpful concierge service. Didn't bother with restaurant and bar etc, although the bar seemed popular with people from outside in the evenings. I'd go back, for the location as much as anything.	
Nov 2 2008 	Tribecca is a Nice Neighborhood this will get the job done	The Tribeca Grand is a good hotel in the Tribeca district of NYC. The big positive for this hotel is the access to the adjacent neighborhood. You will be happiest if you get out of your room and enjoy this part of New York City. The neighborhood is relatively livable and quiet for New York City. There are a number of great restaurants within a four-five block range of this hotel. I have eaten at an excellent Brazillian and Italian restaurant.The room is clean and adequate but nothing to write home about.The restaurant inside the hotel is just ok and I have found the service slow.The ambience of the lobby/atrium is nice and kind of new-ish looking. But overall, the best advice is not to linger at this hotel.This is no ShangriLa, but the neighborhood is very nice. If you are blessed with good walking around weather, you will have a great time -- provided you leave the hotel property.	
Oct 23 2008 	Overall a nice hotel good location	I stayed at the hotel from Monday to Friday for business. The room is fairly small in North American standard, kind of disappointed. Internet is slow, and TV is not in good quality. (though a DVD is provided).Overall it's a nice hotel, comfortable bed, nice deco, good location. It's within walking distance to Soho area, downtown Manhattan, and subway station in 3 mins. Staffs are mostly courteous, the concierge are very helpful	
Oct 12 2008 	Reserved through PriceLine; Treated as though we had paid full price	This was our first experience with PriceLine. We were delighted --with PriceLine and with the hotel we were assigned, Tribeca Grand.We requested 4* and got a wonderful temporary residence.What impressed me most is that even though we were paying well below the rack rate, we were treated as if we were full fare passengers.First we were given a minor upgrade, something I had experienced only once before in 50+ on line bookings; second, everyone, from the front desk to the concierge, could not have been more welcoming, a sharp contrast to our last NYC visit (reviewed May 2007 on TripAdvisor); third, staff members did not have their hands out for tips: we had problems with the inroom safe; when I tried to give the maintenance man a tip, he thanked me but refused, telling me the problem was their fault as they had not provided adequate instructions.You are within easy walking distance of 6 subway lines ... and there are lots of cute places to eat nearby (including some wonderful, if a bit strange, little holes in the wall for breakfast).Our favorite &quot;neighborhood place&quot; was called, to the best of my memory, &quot;South&quot;: walk out the front door of Grand Tribeca and go to 11 o'clock. The food was not the very best -- but adequate; the ambiance was the closest to &quot;Cheers&quot; I've every experienced.Would I pay full rack rate? It would depend upon the situation; were I to again bid on PriceLine and find I had been assigned Grand Tribeca, I would be delighted..	
Sep 16 2008 	Love this hotel!	Booked this hotel on www.tablethotels.com - which is a great website if you're looking for trendy/hip hotels that are tyipcally 4 or 5 stars.This hotel is in a great location - located in Tribeca but just a few blocks south of all the action of Soho (just avoid the peddlers on canal st as you walk over). The rooms are small (typicaly NYC) but very trendy. I loved the bathrooms - rainforest showerheads and great products. The service is wonderful - they really go the extra mile to ensure your comfort and the concierge was great w directions and reservations.I've also stayed at their sister property (Soho Grand Hotel) and although the experience is similar, I prefer the Tribeca Grand just slightly over the Soho Grand, but would recommend both.	
Sep 9 2008 	Need rehab and better customer service4	We had booked the hotel for two nights. First of all DO NOT book one of their packages and expect to get what they state on their website. I booked the Tryst in Tribeca and the front desk barely knew what it was (thankfully I had printed out what was included and showed it to them) The rooms are very dated and need to be rehabed. Very small, old dirty carpet, paint peeling from ceiling, tiny bathrooms, dirty drapes. We booked the Executive King at 449.00 a night for the package, because we were told it was the largest. I hate to see what the smallest ones are. There was one chair so one of us had to sit on the bed to watch TV. When questioned about whether or not it was the type of room we had booked, the front desk told me they must have had the wrong pictures of the rooms on the website. Nothing at all as described to me at the Grand Guest desk. Very poor customer service. The &quot;lounge&quot; is part of the restaurant. Sort of reminded me of an old Hyatt with the atrium in the middle and rooms surrounding. Food wasn't bad, and the Sunday brunch was good. All in all we didn't stay the second night because the rooms were so bad. Nothing around the hotel either. If you want to be around shops, stay at the Soho Grand. Hotel was very pricy even with the &quot;extras&quot; in the package. There are a lot of much nicer hotels in NYC for less money. Don't be fooled by their website. The hotel looks nothing like the pictures. All in all a terrible experience.	
Sep 8 2008 	Good Stay	Stayed at this hotel for 4 nights over the Labor Day weekend booking a promotional rate on the hotel website. From the being to end our stay went well and we found no issues to complain about whatsoever. The staff were all very nice and we found the concierge very helpful. Would stay here again.	
Aug 28 2008 	4 stars for the 4th!	We stayed here for 4 nights over the 4th of July as tourists to NYC for the first time. I had an interview at the end of June (were put up elsewhere for that) and so I was able to take it all in when we got to the Tribeca Grand. My husband and I booked this hotel through Hotwire (chose the 'boutique' option) and read the reviews. Like all hotels, there are a couple of negative reviews here but they are the exceptions. Having lived in the UK for almost 7 years, I was nervous about the tipping at what markets itself as a posh hotel. The location was great. We do everything the hard way, so took the subway everywhere and walked a lot of the time. The subway stop is just around the corner, there is lots in the local area, and even walking to the 4th of July fireworks near Brooklyn Bridge was not too far. We even took the subway back to JFK for our flight and it was manageable - not recommended though! Must-do's nearby: Canal Street and the nearby shops - nothing like it anywhere!, shops up Broadway (keep walking!), a couple of nice trendy eateries/wine bars nearby (did not partake - too busy) or diners the other direction, and the legendary Bubby's for brunch (120 Hudson St).The door staff at the Tribeca Grand were always courteous and were extremely gracious when we did tip them (for taking our bags for the day when we were leaving, and then when retrieving them). Furthermore, the desk staff were very nice in our brief interactions with them, including getting our keys, info, and leaving our valuables in the safe (there is a small one in the room as well) and finally checking out. They seemed to be bending over backwards for customers, too - I was waiting in the lobby as they helped a bride-to-be who was putting up her bridal party there and had a complicated arrangement of treats to leave in the rooms.The room was small (a standard double) but not overly so. What you would expect for a big city. Large windows and clean lines in the decor helped to make it feel airy and we had plenty of space for all of our things. Nice storage for clothes, etc. The bathroom was chic and in good order. Wonderful toiletries, which the staff replaced entirely each day. Good hairdryer, although a) I brought my own and b) it was so humid that once I stepped outside all styling was undone anyway. There were comments from other reviewers about the noise from the atrium. This wasn't a problem for us, even over the weekend. It made for a great atmosphere during the day and evening. The whole hotel is extremely stylish and if you have the chance, take a peek at the film-screening area downstairs (same level as the gym). You have to pay for the wireless connection, and we didn't need it much so I didn't try it. Everything was excellent but I didn't have any food or drinks there as I got the impression that everything was a bit too expensive. If I'd paid full price for the room, I might not have seen it as so great. (We paid about $200/night.) But the location was excellent too, so perhaps it's worth it?! I'd certainly stay there again for the same price and in a pinch might even pay a bit more.	
Aug 27 2008 	Off the beaten Path	We decided at the last minute to take a trip to New York City. After searching the internet for the best deals we chose the Tribeca Grand Hotel. As a first time visitor to New York we were leary of not staying in a familiar &quot;chain&quot; hotel. What a pleasant surprise! Our choice of hotels was superb, could not ask for anything better. The rooms were large and modern. The inside atrium was gorgeous and we felt so safe in such a big city. The concierge was very helpful in booking our helicopter tour over the city he even gave us some batteries for our camera, so thoughtful. We chose to eat all of our meals in the hotel restaurant as it was so very very good. The service was superb, our waitress was over the top! We look forward to staying here again when we visit New York.	
