	Cleancomfyperfect location and perfect for my budget!	This is my second stay at the travel inn on 42nd street. Even with knee damage I found the location to the theatre and shops (and times square) within a comfortable walking distance.I booked a single and got a double double, near the lift as requested. I forgot my hair dryer and uk to USA adapters and these were provided for me (hair dryer in room,plugs on request)it was a handy later check out 12pm, so I still got to run a few last min errands on my last day. In easy walk to the subway and port authority. Also across the street is a drug store with food nearby too. A fridge and microwave in the room were a nice touch and it was warm too. I can't fault this place for the price and location. Small and cozy, well looked after and helpful staff.Will return and def. Reccomend to all NYC traveller who want comfort on a budget and location to 'the thick of it' !	
Sep 30 2009 	Do not try to find sleep there.	We stayed as a couple and had no less than 2 room changes, after which we'd given up. On one side of the floor, you cannot open the windows as the subway runs under the hotel. If you have a room on level 3 overlooking the inside pool, be ready for sleepless nights. The swimming pool pump is a 24hour noise nuisance and resonates on the floor. It is just impossible to ignore the 24hr constant sound and vibrations in the walls. The in-room air conditioning is worse. You have to choose between which noise you prefer better. Do not plan to sleep in the morning either as the cleaning people start rolling their heavy laundry trolleys in the corridors, rattling walls, opening and closing room doors, chatting well before 8am. The counter staff are not friendly, not professional and will not tell you that they will really overcharge your credit card by US$150 and hold the amount for at least 2 weeks before releasing the hold. Definitely check your billed card upon check-in. We recommend you pay more elsewhere if you plan to sleep at night but definitely look elsewhere if you should.	
Sep 29 2009 	Nice Hotel	Room was nice. We requested two beds and the room they first sent us to only had one, the did honor the request and give us a different room. It is farther from the subway than stated - 3 avenues and NYC avenues are much longer than a standard block.	
Sep 29 2009	Bad hotel good location	As the title suggests, the only good thing about this hotel is its location. We stayed in a 2 double bed room overlooking the swimming pool which sounds lovely at first but read on to see what it was really like...- The hotel is like a maze. Not good if you have alot of luggage to drag around with you. - If you are (un)lucky to get a room overlooking the pool, be aware of the a/c unit attached to the outside of the hotel. It is so noisy, the only way to block it out is to blast the tv volume..but that doesn't really help when you want to sleep!- Room was cold and bathroom was dirty. We found toe nail clippings, dust and hair scattered around. Totally gross. - Staff are unfriendly.- The hotel is close to Times Square but is overpriced and dirty. Don't stay here!!	
Sep 18 2009 	Good hotel and price	It was difficult to make a choise of hotel because hotels in New York are expencive for what you get. A few year ago I have stayed in hotel Pennsylvania which was really bad. So I wanted to find a better hotel this time. I have found it. The Travel Inn was a nice hotel, not to big, clean, at a very good location and for a very good price. The room was nice although the bathroom was a little small. I will stay again at my next visit to New York.	
Sep 17 2009 	basic but clean	The room itself was basic but clean. Front desk staff were not the friendliest especially at night. Noisy air-con unit in the room. The location of this hotel was good as it was within walking distance of Time's Square. No early check-in. 1 internet access point in lobby for a fee. You had to walk through the car-park to get from the lobby to the elevator.	
Sep 14 2009 	Great hotel - clean great location - we're going back!	My wife and I stayed at the Travel Inn for a long weekend stay. I was very impressed with all of the staff - friendly, outgoing and cordial. Our room was spotless and although some of the decor was rather old it still looked fresh and inviting. We noticed that all of the hotel had a fresh clean smell, unlike that musty, old odor you can find in older hotels. Our room not only had a flat screen TV, but also a microwave and refrigerator that were extremely convenient. We even struck up a conversation with the maid, and she stated how they changed the linens every day unless you request otherwise. Many hotels use the same sheets over and over until you leave unless you ask them to change them. Not here. We also found the location to be safe and convenient, across the street from a police station. Times Square/subway access were a five minute walk away. And lastly, where else can you get FREE parking in NYC? We literally drove in, stayed our three days and drove out. We couldn't have asked for a better deal. Is it a five star luxury hotel? No. Is it a great place to stay in NYC for a reasonable price and total convenience? Yes. We HIGHLY recommend the Travel Inn.	
Sep 7 2009 	Noisy night at the Travel Inn NYC	Hubby and I overnighted at the Travel Inn, New York City, after getting off our cruise ship. While we were able to leave our luggage with their concierge service both before we actually got our room and after we checked out, we weren't able to check-in early. Front desk service was basic, though the staff was not particularly friendly on both morning and night shifts--certainly adequate. The room itself was basic but clean. Main complaint--our room was near the indoor enclosed pool area, so acoustics amplified any noises in the uncarpeted hall just outside our room, so it wasn't a restful night.The location of this hotel was great as was the price--within walking distance to Time's Square and the waterfront. Internet service is available in the lobby for a fee, and car service is offered to the airport for a flat rate. Would recommend the place for a short stay, but be sure to ask for a room far from the pool area.	
Aug 31 2009 	good location and value	I went for a conference at the Javits conference center and this hotel was great for this purpose. It was only three blocks away from the conference center. It is also vey closed to the marina ( circle line and world yatch cruises) and to time square. The hotel was clean , and the staff were vey helpful. It also has free parking and a deli next door. There is a police station, just in front of it, so I felt very safe.	
Aug 29 2009 	Very clean and quiet	Spotless hotel with very friendly staff. A diner right next door and only two blocks from times square and subway. Very affordable and great location.	
Aug 28 2009 	Nice Hotel Not Great	I just came back from 2 nights stay. I requested for a higher floor during online booking but still got stuck at 4th floor, back-tower. I asked for another room at the main building to avoid passing through the parking lot but was told to &quot;check tomorrow&quot;. I only spent about 2 minutes at the lobby but already heard that statement 5 times from the receptionist telling other guests who were also making other requests. During check-in, an employee ready to go home and a manager (supervisor) talking were laughing so loud I find it very unprofessional. Other reviews were right; this could have been a good hotel if the staff at the front desk has more training. Size of the room is adequate, but I find the bathroom too small. Lights are limited and still dark even when all are switched on. I will recommend for those with very limited budget but personally will not return to this hotel.	
Aug 26 2009 	I would stay here gain no issue's	My wife and I stayed there for 3 nights. The location is great. The rates were awesome. The hotel is clean and the staff friendly. Free parking in a garage. We were very very happy with our stay. This will be the place I go back too, easy access to everything. If you want a &quot;luxury&quot; hotel, this is not for you. if you would like a nice, clean, safe place to stay while your there at a affordable price, this is it !!	
Aug 24 2009 	Great Value!	Stayed the end of July for a long weekend. $125 per night with pool and free parking with in/out privledges. Good location, clean rooms, comfortable, perfect for families.	
Aug 23 2009 	Not that great very noisy	We chose this hotel because of the reviews on trip advisor and were pretty disappointed.The location is good in Manhattan, 5 minutes away from time square and the subway. Room was clean but outdated.The main problem for us was the noise. it was very noisy even though we were not facing the street (we were on the pool side) because of this big A/C unit outside the hotel that was making this huge noise all the time (I had to sleep with hear plugs).Staff was not very friendly (not sure if it is a &quot;new york&quot; thing or simply linked to the hotel)Price was OK but a friend of mine got a better deal in a nicer hotel in the same time period, so not best in class.	
Aug 21 2009 	Great family hotel for New York visit!	Travel Inn is not a fancy hotel but great value for money. The location is great, walking distance to time square and the Hudson river. The staff were not so friendly, sometimes even asleep. You have to pay for the internet. Other than that, the room is big enough, bathroom is not so big but you have everything you need. Fridge and microwave provide possiblities of keeping food in the room and heating it. The swimming pool and fitness room are basic but a luxury in NYC.Definiately recommended, good price.	
Aug 20 2009 	good hotel	Our rooms were clean and a decent size. There was no coffee maker or kettle, but there is a nice deli downstairs.One man at the desk was rude, but the rest of the staff was pleasant.The pool was very nice, but the hours were erratic. We never knew if it was going to be open or not. There didn't seem to be any set hours for it.The location was excellent, within walking distance to evrywhere we wanted to go.	
Aug 19 2009 	Best combination of location and value	We chose TI for its location and free parking. We had a tiny room near the pool - a plus this visit, as the last time we visited was in winter. Easy walk to subways, restaurants, theatre, midtown, as well as easy access to the route home. We always travel with earplugs - and they were a help as our room was next to the elevator and on a busy corridor. But otherwise, the TI provided us with all the essentials - a clean room, clean towels, hot water, and a responsive front desk staff.	
Aug 16 2009 	Great value location - would stay here again	Great 42nd St. Location. Friendly, accommodating staff. It was great to have a fridge and microwave in our room. The third floor outdoor pool was great - our only issue was that the hours were from 10am until 7 pm. For most of the people sightseeing during the day, these hours are not very accommodating. One day we were there at 7pm and the deck/pool area was packed, however, this was closed promptly at 7pm. It would have been nice to be able to return after a day of sightseeing and relax in the pool - even if it was only open until 10pm. As mentioned in other reviews, we felt very safe in the area.Another bonus was that the hotel is located only a couple of blocks from the Lincoln Tunnel, allowing easy access both arriving and leaving Manhattan.It is also a very short walk (less than 5 min.), to the Circle Line Cruises.We did have an issue with our shower pressure and our air conditioning unit - we made a phone call each time and the problems were quickly dealt with - we were quite impressed.As this was our first trip to New York, we weren't sure what to expect, or if this would be a good location. We would definitely return to this location.	
Aug 16 2009 	Not fancy but perfect for a family stay for a few days	The Good- cheap --$160 a night including parking in attached garage- conveniently located blocks from Times Square- deli, liquor store, CVS and other stores near by- Clean- Pool (outside and with not convenient hours (11-7)- fridge and microwave in room- Deli next store deliveredThe Not good (really nothing that bad)- Beds are not that comfortable- Rooms are small, two adults and 2 children will be on top of each other- WiFi -- they charge $6 a day and it sketchy (although I never got charged)If you are looking for decent inexpensive place to stay with a family this is a good choice. If your kids are very small think twice as it is a bit of a walk to get to things 5 and up should be okay.I would recommend for short stays. We were there four days and it was getting claustrophobic.	
Aug 10 2009 	Avoid room 622	I've stayed here before, and came back because of the central location, friendly service, swimming pool, and free parking. The rooms are clean, and quite large for Manhattan. The wifi was sketchy, and I never really got a solid connection. Luckily, I could do most all of my online business via my iphone. My only problem was the noisy cooling tower that sits directly atop room 622. It sounded like a semi truck was running outside my window all night. I immediately noticed the noise, and when I inquired about its source, and if there was another room available, I was basically blown off. They kept telling me to come back the next day. I never got a new room and ended up sleeping with earplugs for 3 nights. I have attached a photo of the offending machine.I will certainly stay there again, as long as I can get a different room.	
Aug 10 2009 	Great Value and Location don't expect fancy	Stayed here the second week of August for a weekend and it was a pretty good hotel. It was your average hotel, and in any other city or setting, it would be much less expensive. rooms were small, beds were average, shower water pressure was awesome. Nothing fancy at all. Nothing trendy, just a room to sleep in at night and thats about all you really want to do there... which, in NYC... is perfect.GREAT location for the value... afew blocks from the theaters and resteraunts and Times Square. A Dunken Dounts and Starbucks next block over, Chase and CVS right across the street... a few bars and pizza places on surrounding blocks. We also had a dog with us and there was a kennel 3 blocks away that was very helpful.There was a pool outside which was cold, but was nice to sit by in the afternoon. And I guess the parking was free? but the garage was a nuthouse.	
Aug 8 2009 	Very good hotel----excellent value	We recently stayed from 8/4-8/7 and had a very positive experience. We booked it online for $160/night which is an excellent value with the free parking. We had a room on the 5th floor with two doubles. We were very pleased to find both a fridge and microwave in the room. The third floor pool was large and a nice bonus in the summer. The deli next door was excellent to bring a quick breakfast back to the room. There is also a liquor store, supermarket and CVS on the same block. A police station is across the street and so is the Port Authority bus terminal. The waterfront including the Intrepid is two blocks away.The front desk staff was very friendly and gave us specific directions to get places on the subway. It is an easy walk to Times Square and the metro is only two blocks away. We bought the New York Pass and that saved so much money. We traveled with our 12 &amp; 10 year old boys who had never been to NYC. We concentrated this trip on all the &quot;touristy&quot; things like Empire State Bldg, Times Square, Rockefeller Center, Madame Toussauds, Natl History Museum, Met Museum of Art, Bronx Zoo, boat ride around Manhattan with view of Statue of Liberty etc. I bought the NY Pass online and saved a couple of hundred dollars on admission prices to all these &quot;touristy&quot; places. We packed alot of sightseeing in 3 days and would highly recommend the NY Pass!	
Aug 3 2009 	Great room price and location!	Great hotel with great value, we will stay there every time we go to NYC. Free indoor parking, clean and spacious rooms, great location only a couple of blocks to Times Square, nice size pool on the third floor and very friendly staff.	
Jul 31 2009 	No frills	This is a very old hotel with no frills. Room was small and had a smell probably due to poor ventilation. Plumbing problem on first day flooded the entire toilet and overflowed into the bedroom. Had to demand to be moved to another room which tells you about service. Price is decent by manhattan standards with free parking. Good location, few blocks from times square, subway and bus terminal.	
Jul 28 2009 	Good Hotel but we still had some problems...	There are many good things about this Hotel but unfortunately our stay had a couple of bad experiences. I'll start with the good:- The hotel is in an excellent location for exploring Manhattan. Very close to Time Square and well within walking distance of many of the major NY landmarks- The hotel itself is very clean and well kept. The room was clean, comfortable and more than large enough for three adults- Swimming pool was great at the end of a long day sightseeingNow the bad:- We flew in from London and had a late arrival into NY. I called the Hotel the night before we checked in to confirm our booking and let them know that we wouldn't be checking in until after 11pm. When we arrived we were told that they didn't have a room for us so they sent us to one of their other hotels for the night (Hotel Riverside). Had we know the quality of this hotel I would not have stayed there. The hotel smelt terrible (I'm still unable to describe the smell), the first room they checked us into hadn't been made up, the second had mouldy food in the fridge. The air-conditioning made a huge amount of noise without cooling the room and all night we could hear what sounded like mice in the walls. If you have a booking with the Travel Inn and they offer you Hotel Riverside, even for just one night, DO NOT ACCEPT IT!!- On the first night we actually stayed in the Travel Inn a group of incredibly noisy guests came back from a night out at 3 45am and decided to sit directly outside our room window, drinking and making a lot of noise (not really the hotels fault, granted, but still irritating).- One of our bags was lost by the airline and was to be delivered to the hotel when it turned up. We kept asking at reception and were told it hadn't arrived only to find it in the security room. Later that night (at 12 30am to be precise) we received a call from reception telling us that the bag had arrived and could now be picked up. Maybe I'm just getting a little old but for me 12 30am is sleep time and I would have thought anyone with a small amount of common sense would have called us at breakfast time, not the middle of the night...Anyway, good to get that off my chest. Like I say in the title, this is a good hotel, but with three bad nights sleep out of a five night stay I can only really give this hotel 2 out of 5 stars. At the end of the day, everyones experience will be different but it is still good to be aware of this.	
Jul 20 2009 	Clean comfortable and close to subway - located close to Lincoln Tunnel	We stayed at this hotel four (4) days. The rooms were clean, the staff was very pleasant to work with and a reasonable rate for June. Parking was free. It was just a short drive after exiting the Lincoln Tunnel onto 11th Avenue and a short walk to a subway station on 42nd Street. The Deli adjacent to the hotel served good food and was reasonably priced. We had breakfast there twice.Since this was our first visit to NYC, I was unsure of where to stay, whether to take the subway or take a tour bus to get around town, where to eat, etc. It helped to have information from a friend and be able to peruse Trip Advisor.After taking the subway the first evening, we decided to use this means of transportation the remainder of our stay. We had a very limited amount of time and this was the fastest mode of transportation for us to use.I recommend this hotel. The hotel is older and the bathroom is smaller than newer, up to date hotels, but really, how much time do you really spend in your hotel when you are in NYC.	
Jul 11 2009	Great Location - Free Parking	I came for an overnight stay with my elderly mother for the 4th of July. Very accomodating staff. Love the free parking and the location was great. We walked to Times Square to purchase theatre tickets, walked to the show, walked to dinner. Nice restaurants all along the way. Rooms are not plush, but nice. I gave the room a rating of 4, because they are a bit dark. It was difficult to read. Other than that, we had no noise and slept comfortably. A note for purchases through Expedia: The booking will not provide two double beds. If the hotel has them available, they will do their best to accomodate. In my case, the hotel was booked for the 4th and a double bed room was not available. The hotel did offer to waive the fee for a rollaway. I would stay again.	
Jul 11 2009 	Wow	Situation is amazing (midtown, very close to Times square)Price is goodParking included (only one in Manhattan)Staff is great !	
Jun 16 2009 	Perfect!	Ample room space, the perfect location just minutes walk from Times Square. The deli next door was perfect for breakfast every morning.Not too noisy considering the police station is across the road, but the train line that ran outside our window created a bit - once your used to it though it was fine. And besides, you have to expect some noise in NYC dont you!? I certainly wouldnt let it put me off staying again.The staff could have been better, but i couldnt complain.	
Jun 15 2009 	GREAT price. Good location. Friendly staff. Clean.	When in NYC, we were only in the hotel long enough to shower and sleep, so this hotel was perfect. The rooms aren't huge and plush, but as I said, it served the purpose we needed it to and at an excellent rate. Everything was clean. The staff was very helpful with directions, suggestions for traveling to certain places, info on the quickest way, the cheapest way, calling a driver for us, getting us extra towels, pretty much anything. We arrived early on the first day, and on the last day, our flight was a while after our check out time, and on both days, they kept our bags for us in security. The deli next door is a great place to eat a tasty but inexpensive breakfast. The location is only a couple blocks from Times Square one way, and close to the Hudson river the other way (which was handy for the Circle Line boat tour). Also, the police station was just across the road. At night, it was quiet and dark, and we all slept well. I would definitely stay here again if I were to go back to NYC.	
Jun 15 2009 	Great Location confortable rooms	My wife and I just came back from 4 nights stay at Travel Inn and really enjoyed our experience in Manhattan. The hotel is centrally located in 42nd Street. For our first NY experience, the location granted easy access to Times Square within walking distance and were able to enjoy Broadway Shows, too. In addition, subway stations nearby facilitated access to downton and uptown areas. Since we checked out on Sunday, the manager granted us late checkout so we can confortably have lunch out before packing our stuff to the airport. The only drawback was Internet service for a fee. But then again, it wouldn't be vacation if I will still be online. Please take note that we booked our stay with Expedia and got 3 nights and 1 free night. Great deal considering how expensive NY hotels can be.	
May 20 2009 	Amazing Deal	Great location! We walked everywhere and were always close to the hotel. Very friendly staff, very clean, and the free parking was a bonus. The price was excellent considering the location.. We can't wait to stay there again!	
May 8 2009 	good place for the price	Four of us stayed here for two nights while attending a lighting show at the Javits. This is the third or forth time we have stayed here. The location is great for the show. You walk three blocks and you're there. We walked to several resturants by Times Square without a problem. I wouldn't want to take my wife there for a romantic weekend, but if we were looking to take in a couple of shows, and price was a factor, I wouldn't hesitate to book a room here. My biggest complaint is most European bathrooms are huge compared to the ones at the Travel Inn. This is a business hotel that I think is worth looking at.	
May 6 2009 	Disappointed!	I was truely disappointed with this hotel - I expected better!+ there was blue tape on the room door ( which should of been removed before I arrived ) - I checked in after 2 pm - but did not get to the room until 11 pm - why wasn't the tape removed. +The TV gave horrible reception.+Saturday morning the cleaning person knocked on the door - very annoying - they should know if someone is in the room or not!+Room needed to be remodeled I should of known better - but on the internet looks can be deceiving.	
Apr 30 2009 	Well priced well located Manhattan hotel	We got an excellent deal on this hotel and booked on the basis of the good reviews as I was unsure of the area. No concerns however, the surrounding area was fine, 3 blocks from Times Square and we felt fine walking back at night. The M42 bus stopped right outside the hotel which was extremely handy as the nearest Sub was 2 blocks away. Plenty of eating choices in the surrounding area away from the main tourist areas too - the Deli next to the hotel was excellent value for breakfast and the staff very friendly. Our room was better than expected - plenty of space, 2 double beds, fridge, microwave and a view of the Empire State Building. Very clean and fresh. The shower is a bit of a puzzle, other than that room perfect. The maids were friendly, as were the handy men in the hotel however the front desk staff could do with some customer service training. Got the impresson our very existence was a nuisance to them. Our key cards took shots each at failing to work and had to get them reset every couple of days which was a pain. This is my only complaint though, aside from their front desk staff the hotel itself was a great choice and we would stay again.	
Apr 23 2009 	Good location value and free parking	It's a very nice and clean hotel and not too far of a walk to Times Square, theaters and restaurants. Our rooms were a little hot and stuffy, so we opened the window but you could hear all the outside noises--especially since we were across from the police station. I would still recommend this hotel if you're staying for a couple of nights.	
Apr 16 2009 	Overall a little disappointing!	I recently stayed at the Travel Inn for five nights and I expected a little better after reading so many positive reviews. Our room had one very small double bed (had asked for two when booking), no fridge/mini bar or any other appliances. The cleaning maid knocked the door each morning at about 8:30 which was a little annoying. Fitness centre was very dated with very limited exercising equipment and doors to the pool were locked. Staff were generally cold and unwelcoming. Best thing about the hotel was the typical NY diner next door. Staff here were far more friendly and the breakfast was good!	
Apr 7 2009 	Another Good Stay	We have stayed at the Travel Inn three times now and each time it has been clean and we have had no problems. The location is good. I short walk to Times Square. The free parking is great also. We have never used the pool, but it always appears to look clean. We did get warm in our room and there was no way to turn on the air, so we just opened the window. The price we got was pretty good for the city, but I priced our upcoming stay in October and the price was almost three times as much. Not worth that much to me.	
Mar 30 2009 	Nice Hotel	As stated in previous posts; good central location, free parking, great deli downstairs, inviting outdoor pool, large rooms, got a great winter rate for less than $100 a nite...only negative would be the cleaning sanitizer spray used in the elevators - hotel needs to switch to a cleaning product that is not so strong...	
Mar 29 2009 	Best Value in Manhattan	Family of 3 traveling with exchange student from Japan. The room was LARGE enough for a roll away bed. Room came with microwave and refrigerator. It is a walk to Time Square about 10-15 minutes. We felt safe--due to Police Station across street. They offer bath amenities. The room was clean. Negatives as others have mentioned the heating system..The room is warm. The gift shop is open limited hours 7- 1 pm, but you can get a 24% discount on their items.Location to a deli/ supermarket/bus depot subway is great.We ate at Westway Diner on 43rd and 44th Street..It was voted Best Diner in Manhattan by NY Daily News...IT is very good!!!! Huge menu and open 24 hours and nice service.	
Mar 22 2009 	spotless well situated better than expected	Four of us stayed here (2 adults with 2 school-age kids) for 3 nights during March Break. We were very satsified with this hotel. The rooms were large, the bathroom was updated and the whole place was spotless. We were in a room overlooking the courtyard so the noise from the street was no problem. We could see the Empire State Bldg. from our doorway!Deli next door was convenient and a Starbucks one block south provided good coffee/tea.	
Feb 18 2009 	Very comfortable stay.	This was a very comfortable hotel, and in a great location. The staff was very nice, and I fell in love with the deli right next to the hotel - so much that I hunted it down again the following week.I would have preferred a room with a window, but the only window was facing the main hallway, into the pool area, and afforded no air circulation.	
Jan 30 2009 	Great place to stay- found a super deal on rates included parking.	Made a 2 day visit to NYC MLK weekend. Stayed here Sunday PM with 2 teenage grandchildren. Very surprised at how pleasant the staff was, how clean the room was. Special soaps and lotions .. not the usual cheap samples. Biggest surprise was free indoor parking. They even let us keep the car in garage till 5PM several hours after our checkout. All for a super deal price of less than $100. Discounts for AAA or AARP. There was an outdoor pool.. but this was in January...Neighborhood was better than anticipated, W 42nd and 10th ave..	
