	Great location 	This is a great hotel for location and transport links. The rooms are very large for New York, clean, with large clean bathroom. There is use of an ironing board and a free safe in the room - would definitely return here when next in NYC.	
Sep 9 2009 	Loved It!	My two girlfriends and I stayed here over the Labor Day holiday. I booked early and got a good price on a studio suite with two queen beds and a sleeper sofa. The accommodations exceeded our expectations! The room was very spacious and the bathroom was bigger than the one I have at home. Everything was very clean and comfortable. The doorman and bell people were very friendly and helpful. The location is great and the subway is only one block away. This is one of the best places we have stayed and will definitely return.	
Sep 2 2009 	fantastic place to stay	This is a slightly hidden gem that at first sight is a little obscure, but once inside the transformation is stunning. Friendly,helpful staff help welcome you and make you feel comfortable at the outset. Tony the doorman is really helpful. Indeed from the Manager to the maid all the staff were so kind and helpful. The kitchen area where breakfast is served can get a wee bit crowded, but we survived. Food for breakfast is basic, but nutritious. Easy access to transport Metro (1 block away) leads you to the NY we want to find. The bedrooms are very comfortable, shower/bathroom clean and vibrant, and the fact that you can relax knowing your every need is catered for is all you require.&quot;Well done - Manager and staff of Broadway Plaza, you made our stay so enjoyable&quot;.Hugh &amp; Philomena McClung, Stirling, Scotland	
Aug 22 2009 	Great price and great location	I stayed at the Broadway Plaza hotel for 5 nights and loved it. It was a central location with a subway station about a block away. My friend and I felt comfortable in the neighborhood (two young girls walking at night) and never felt we were in each others way in the hotel room. The room was quiet and clean, two must haves. I was pleased with the staff, very friendly and helpful. We especially appreciated the doorman Tony's help in finding good places to eat and visit. I would recommend this hotel because it really was perfect for what one needs, a comfortable room while visiting the sights in New York. The one downside is the elevator was slow so we had to take the stairs a few times (not that big a deal overall) and the breakfast room could get crowded but if you know what you want just go in, grab it and go to your room to eat. The outside might be a turn off for some people, its slightly hidden, but it really is a great hotel!	
Aug 12 2009 	Good	This is a good hotel the stuff is very accommodating and the position is very good. In 5 minutes (by walk) you can reach the Empire and in 10 minutes you can reach Time Square. The room was clean and every day it was cleaned again. The price vs quality ratio is very positive with respect to the other hotel in new York. The only not very positive thing is that the breakfast room is very small and so you have to wait to have a table (at least is possible to bring the breakfast in the room).	
Aug 8 2009 	Great value hotel in city centre	I chose this hotel because the price relative to its proximity to the city centre sounded like great value and we were not disappointed. The room looks dated but it is still clean and well maintained. The bed was very high and bloated which reminded me of the grand beds you see when visiting stately homes. My son was with me and we were given a double room so they provided us with a folding bed at no extra charge. The toilet and bathroom were clean and well maintained. It's a shame that wifi internet is an extra as I expect it to be complimentary. The staff were helpful and looked after our cases on the day of departure.	
Jul 28 2009 	Diamond in the Rough	We travelled to NY for a leisure trip, hitting up both ball parks, ground zero, time square, soprano tour...etc...I do alot of online reasearch on hotels before I travel, and the reviews sold me on this hotel. It was alittle shaddy outside on the street, but the hotel is exactly was we wanted. Something clean, central location, continential breakfast for a reasonable price. Would definately stay there again!	
Jul 27 2009 	Great Hotel great staff great rooms!	This hotel meet all our needs. The staff were extremely helpful and nice. The room was quite large. The neighborhood was fine. Subway entrance was close by. Breakfast room was small, but we ate in our room. Juice machine was broken. We were extremely impressed with this hotel and would definitely stay here again.	
Jul 25 2009 	Clean and convenient	We were in New York City for 4 days over the July 4th weekend. My son (8 years) wanted to be within a few blocks of the Empire State Building. We could see it from our window and that made his weekend. We walked everywhere from our hotel and only had minimal complaints from the 6 and 8 year old. Times Square was a bit of a hike but very do-able. There is a park (with an aquapad) a few blocks away where the kids played while we enjoyed a cup of coffee.The staff were friendly and helpful. The room was clean and spacious. The beds were very comfortable. The continental breakfast was a nice start to the day and offered something for all of us. Toasted bagels and orange juice for the kids and coffee and muffins for us. They also had a small selection of fruit. We took it to our room and ate it there. The air conditioning was very efficient and appreciated as it was very hot when we were there. I would have liked a small refrigerator in the room. The hotel is basic, no frills but definitely comfortable and reasonable. The immediate neighbourhood is not pretty but most definitely safe and interesting.Overall, a nice, quiet, basic hotel. No complaints!!!	
Jul 23 2009 	Broadway Plaza Hotel	A very good small inexpensive hotel, near everything and with easy access to the subway.	
Jul 21 2009 	Great Hotel	The location was great. The room was HUGE! The bathroom was HUGE! I have stayed in N.Y. before and have payed more money for rooms that were half the size. Could not hear any noise from the street. Had a good view of the Empire State Building. The staff was very helpful and courteous. The doormen Anthony and Tony were also very friendly and helpful. The breakfast area is small and warm. We took our breakfast to our room where we were comfortable and had control of the tv.The area around the hotel looked a little sketchy at night, but we sometimes rolled in at 3am and felt perfectly safe. The pizza downstairs was really good. Overall, I would highly recommend the Broadway Plaza Hotel.	
May 31 2009 	Would definitely recommend	This hotel was overall a good choice. It was a block away from the subway and had a good place to eat next door with great/cheap breakfast (and I assume other food). As far as the neighborhood, there were people outside that looked a little shady, but honestly, it's new york and they were only there in the day trying to sell stuff, so I never once felt unsafe. The lobby is really small and sometimes the elevator was a long wait, but who cares? The rooms were huge and perfect. I'm a college student and it fit my budget pretty well. The only stressful part of the experience was pulling up to the hotel, dropping luggage off and trying to figure out how to check in, and then pulling the car all the way back around the block to the parking garage, with crazy busy streets. The parking deal is great but I didn't realize until we got there that they park your car for you and you can't access it until the day you schedule to pick it up. O well though, it's cheaper. Overall, I think this hotel is great!	
Apr 29 2009 	The staff made the trip for us.	Located in a commercial area but within easy walking distance of most things. Large room - we had one for 4 adults with ensuite. Our breakfasts we ate in our room as the dinning room was too small but not a negative. The staff were absolutely brilliant, efficient and knowledgable. Get to know the door men, Tony and Anthony - you guys need a pay rise! Overall cheap but comfortable - good value for money.	
Apr 28 2009 	Good clean hotel at a good location	The room was very spacious, clean and nice. The location is great and the staff were very friendly and helpful. Breakfast was OK, bagel and pastries, OJ, coffee and tea it's all you really need. The breakfast room is very small but you could bring the breakfast to your room. The only bad thing is that there's no restaurants close by and you had to walk for 10-15 min to find good ones.	
Apr 24 2009 	Who said Manhattan rooms aren't good?	Wide rooms, views to the Empire building (very near) and excellent service. There is not too many choices for breakfast but I haven't eaten anything better than its toasted bread rolls for breakfast. I suggest you to reserve on Internet, as they consider you're going to write an evaluation later and they will pay you special attention and the best rooms (I think)!	
Apr 19 2009 	OK	This hotel is very OK. From the website you get the impression it's quite classy. It's actually really dingy inside and looks like an old man's batchelor pad. The location makes it easy to get to all parts of the city though. I haven't commented on the value because I've never been to New York before so I don't know if that's as good as I could expect! Definitetly no better than the comfort Inn down the road which is cheaper.	
Apr 8 2009 	No frills hotel	hotel has a very pokey entrance but once inside seemed ok. Our room was located on the 10th floor which meant we could only get there using one of the 2 elevators, on 2 occasions we waited on the elevator for 10 mins!!. The surrounding area seems to be dominated by perfume and wig stores with a lot of empty boarded up stores around the hotel. we didn't feel unsafe walking around the hotel area but we also didnt feel completely at ease. short walk takes you to the underground which we bought a 7 day pass for, excellent value.the free breakfast is okay to start your day but i wouldnt depend on it, only 3 tables in a small pokey kitchen, 1 grill machine for bagels/ toast etc so often fighting with other guests to use it. after 3rd day we decided to eat out for breakfast.one of the doorman tried to rip us off for broadway tickets, repeatedly telling us that shows would be sold out and only he could get us tickets, he quoted us $480 for 2 tickets for a show, we declined and went to the TKS booth on times square and got 2 tickets for the same show same night for $84, a massive saving compared to his &quot;contacts&quot;.room service was contracted out to a local fast food outlet, you had to call this store and they would deliver it to you, my wife was unwell one evening so couldnt leave the hotel when calling this number I was told that they were busy and delivery could take up to 1 1/2 hrs, i promptly put the phone down.	
Mar 26 2009 	Great Place to Stay	Room was spacious and clean. Staff was friendly. The doorman was exceptionally helpful in giving us directions. The motel is centrally located on Broadway so we spent one day in Time Square and one day in China Town, Little Italy, etc. We did a lot and saw a lot in 3 days and the Broadway Plaza was a great place to stay.	
Mar 13 2009 	Just what we needed in an NY hotel	Stayed at the Broadway Plaza Hotel for 6 nights during our first visit to NY. Excellent value for money, room was a good size on 6th floor with view of Empire State Building. Breakfast was a good bonus for us, although it got very busy at times. Room was clean with maid service everyday and lots of hot water. We found the hotel was in a great location for Times Sq, Macys, Madison Sq Garden, Empire State and the subway. The area directly around the hotel has lots of wholesale shops and at times there were a number of people hanging around but it never felt unsafe at all. Would definitely use the hotel again. We bought bus tour tickets ($80) which were valid for 4 days and included Statue of Liberty ferry crossing, Empire State Building access and some museum access plus Uptown, Downtown, Brooklyn and Night bus tours. We found the bus tours really useful to orientate ourselves on our first day and the guides we had were very informative. Would recommend Hill Country bar and restuarant which is on the next street down (30 West 26th Street), particularly if you like meat! It is a Texas BBQ where you can get beef brisket, beer can chicken, mac cheese and chilli plus loads more and there is often live music on.	
Mar 10 2009 	Don't set your expectations too high and you'll be fine	Friendly staff and doormen, room was adequate for the price, but nothing more. Avoid the &quot;free&quot; breakfast--the coffee is disgusting and you are fighting with all the other cheapskates that choose to stay there for space in the toaster and the lone unbruised banana. You won't feel good about yourself. Overall, it's a cheap hotel in NYC and you're getting what you pay for.	
Mar 8 2009 	Nice but could be better	Me and my mum arrived in NY, and after waiting for a shuttle to the hotel, and dropping everyone else off, we finally got to the hotel. It was just a little entrance, nothing fancy. The staff were very friendly and tried their hardest to accomadate us.We booked a room on the 5th floor, and it was a double room and had a good view of the Empire State Building, that was about the only view. We were upgraded to a bigger room due to noisy neighbours and the sound of the lifts and this was free of charge. So our new room was nice, had a good view and nice neighbours! The area is nice, but can be a bit intimidating. Overall, a nice little hotel for its class.	
Feb 18 2009 	Lovely Place To Stay	The rooms are great and very big. the beds are very nice. i was in room 201 it had a safe, iron board with iron, hair driyer. the view was to broadway ave. yes you have to walk a little but who doesnt like to walk in new york city. the concierge are very friendly and the cleaning staff do a good job. love the breackfast and the coffee is great, they even have the newspaper for free. the tv program is a littly tricky at first but you get use to it, good channels. i will recommend the hotel to enyone, great place to stay.	
Feb 17 2009 	Good value for the price	We stayed at the Broadway Plaza for a long weekend earlier this month. The location is very warehouse/wholesale, but didn't feel unsafe, being just 5 or 6 blocks south of Herald Square and a few blocks north of Chelsea. Subway (R/W) is less than a block away.Staff was attentive and helpful, room was a decent size and clean. The bed was a bit lumpy, but comfortable. Skip the &quot;free continental breakfast&quot; and walk over to one of the diners in Chelsea.Would I stay again? Probably. It's not a hotel for romantics, for those who don't want to take the subway to get to anyplace or for people who are uncomfortable in a rather deserted section of the city after dark, but if you're looking for a clean relatively comfortable room at a great price for NYC, the Broadway Plaza can't be beat.	
Feb 8 2009 	New Favorite place to stay in NYC	The Broadway Plaza Hotel is great. It's always a risk booking a hotel in NYC, you never know what you're going to get. Well, I must say I was very pleased. We stayed 2 nights. The first night we booked a Jr. Suite and were very pleased. Lots of room huge bathroom, fridge (not in the bathroom) and sitting area. The second we had a standard king bed room. Again, nice clean room with space to move around. Beds were comfy, free breakfast was adequate and staff is incredibly pleasant and helpful. Everyone from the doormen to the front desk staff and housekeeping were friendly, helpful and chatty. The only negative was the girls in room next to us on night 2 were loud. Not sure if it was minimal room soundproofing or they were just inconsiderate. Either way, hotel staff was cooperative and helpful in quieting them down. I would not hesitate to stay here again.	
Feb 6 2009 	Decent place to stay	The physical location isn't the best - it's surrounded by wig shops and hair extension palaces. During the day, there were several people we passed on the way to the subway who made us feel a little anxious. At one point, we had to walk through a pretty intense argument.The hotel itself was fine. We arrived several hours before check-in and they stored our bags at no extra cost. The NWRQ line is only one block away, which was very convenient.Our room had two twin beds and was very comfortable. There were three of us total in the room and while it got slightly crowded at times, I really can't complain. The best part was probably the very large, very nice bathroom.As others have mentioned, there is a continental breakfast on the 4th floor in a very small room. Every time we visited, there were a ton of people standing around. Rather than fight the crowd, we took the breakfast back to our room. They served several types of donuts, bagels, and fruit, as well as juice and coffee.The doormen were extremely helpful during our stay, and patiently answered our many questions and gave recommendations when we asked.	
Feb 3 2009 	Cheap no frills hotel. Doormen are liars!	We paid €360 for a double for 4nights, which is excellent for NYC. As mentioned by previous reviewers the immediate area is a little dodgy, Although no one bothered us. Its best to walk down 5th Ave to come+go from the hotel, the surroundings are more pleasant on 5th Ave than on Broadway. Walking distance to almost everything. 20/25mins walk to Times Square, 10mins to Macys &amp; Empire St Building -(dont spend the extra $15 to go to the 102nd floor its not worth it! and the view is alot better from the 86th floor), 2mins to the Flat Iron building you can see it from the hotel front door(the hop on/hop off buses stop here so its handy if you want to get a lift back to the hotel). 28th st subway 1min away. Bus depot to Jersey gardens 15min walk(only $10 for a return ticket out to JG)There is a taxi flat rate to and from JFK of $45+$5 for toll. The receptionist advised that it would be better to let them book us a car to JFK. We declined as we knew there was a flat rate. Anthony (the doorman) advised that a taxi wold rip us off by putting us on the metor. As we were leaving another doorman approached us and told us the the same, and that whoever told me there was a flat rate to JFK &quot;told me wrong&quot; and their car would &quot;only&quot; cost $60. That was literally all we had left so just in case they were right we took their car. It ended up costing us $72!!! I had to pay the remainder on the credit card. So do not believe them that their car is cheaper as they are liars!! This was a real let down for the hotel.They get commission from the hire firm. There IS a flat rate of $45 to JFK from anywhere in Manhattan. Be at JFK 2hrs before your flight leaves no need to be there any earlier.The room was fine. Very clean which was the most important thing for us. Good view of Empire building from room. Nice diner for breakfast called Naturally tasty on the corner of 27th on 5th Ave. Very good restaurant and bar called Houston's on 27th on 3rd or 4th Ave 5mins walk from hotel. Dinner was excellent in there! Overall we got what we paid for with this hotel. You do spend very little time in the hotel so the fact that it was not fancy or romantic didn't bother us to much. If your on a budget its not to bad at all, next time we'll probably stay at the New Yorker, it looked really cool and very well located to everything. New York is an amazing place and your sure to have an amazing trip where ever you stay!	
Jan 26 2009 	Terrible	My room was incredibly dirty upon checking in. Hotel staff was just &quot;so so&quot;.Would not stay here again.	
Jan 25 2009 	Plaza plus	Found this hotel on tripadvisor and it lived up to the billing. Taxi from the airport charged the tolls on top of the fixed fee (not much but have some change ready). He didn't know the hotel but found it via the junction Broadway and 27th St. The staff were friendly and helpful upgrading us on arrival to a corner room with a view of the Empire State Building. Our room was larger than expected, well decorated (except the wardrobe which was three pieces of white conti board with a rail inside and the safe on top) (see pic) and the bathroom although not the most expensive fixtures and fittings was clean and more than functional. The Queen was bed comfortable and well dressed. (see pics) The TV had a choice of free to air News or not so free hard disc film choice.  We took breakfast back to our room on a tray. This consisted of bagels, doughnuts and or fruit. This wasn't great and the coffee wasn't to our taste. The orange juice option was much better although not available all day. We found this hotel very good value in a less busy if slightly noisy location and would stay again. The communal areas aren't that spacious but clean and tidy. The weather was overcast all weekend which spoiled the view 'til Monday. They stored our bags until time for our late flight. Toilets and breakfast room available all day. The street out side was mainly discount/wholesale clothing, we never felt unsafe. You can walk but use the underground.	
Jan 22 2009 	just 'ok'	MY boyfriend and i stayed at the broadway plaza for 3 nights in jan 09.......on arriving at the hotel it seemed clean but very small, we were checked in no problem.our room was small but clean and kept very well throughout our stay, we were in room 203 on the second floor.....we did however experience a few problems, the noise was a problem outside with the locals being very vocal outside in the early hours and the tube being a constant source of noise.......also we had a few little visitors in the ceiling, mice running around and scratching all hours!!!!!! we informed hotel staff on several occassions but they didin't seem to be interested or care about the issue.....hotel location was ok, but if you didn't know your way around you'd be better off staying closer to times square or other tourist spots. the surrounding areas were slightly intimidating.overall the hotel was small and clean with very friendly and helpful doorstaff.cheap and cheerful....................em and dave, durham uk	
Jan 14 2009	great location and price	We booked a junior suite. HUGE room high ceilings alot of space. Very reasonable price but make sure you check hotelwebsite and click on specials to make sure you get the lowest rate. We paid an average of $140 a night for a room with 2 quen size beds a sofa bed huge bathroom quite reasonable for nyc.Staff isvery nice and location is very good. The neighborhood might seem a little sketchy but nobody bothered us and we came back to our room at 11:30 pm both nights and our party was 2 women and a 12 year old girl and I felt completely safe. Definitely would stay again. One more thing we drove ourselvesand parking was easy and convenient and they are more than willing to hold your luggage at the hotel after checkout until you are ready top pick them up and the staff is right there to load you.GREAT!!	
Jan 13 2009	Nice hotel with spacious room - Concierge is a liar	Basically the hotel was good. The room was extremely spacious, very clean, and even the heating worked perfectly! Breakfast is also included in the rate.But we were very upset about the concierge. He told us it would be better to have him organize a limo to get to JFK airport. A taxi would be extremely expensive since it is very busy to get there at this time of the day. I knew that there is always a flat rate between Manhattan and JFK. When I mentioned that he told me that we were lucky the last time and that wouldn't be the normal case. What a liar! You can read that information on every taxi. We even asked a taxi driver and he confirmed what we knew already. I expect to get a correct and fair information from a concierge. From a limo the hotel gets a provision but not from a taxi ... This experience gives me a very bad picture about the hotel and would be a reason not to go back again.	
Jan 7 2009 	Great Hotel Great Value!	We stayed here for the duration of our visit in New York City. The hotel had great service, large rooms, especially from what I had heard to expect from New York City! We were very pleased, we had a great view of the Empire State Building.The area was not bad, we felt comfortable walking out at night with our children. I know I was a bit worried after reading other reviews on here but was pleasantly surprised by everything.Includes continental breakfast which was nice, and worked out perfect as I get up early than my family and no one was left waiting on others. What a nice bonus in NY!Would definitely stay here again!	
Dec 31 2008 	Surprisingly good	I traveled to New York before Christmas and found this hotel through the reviews on tripadvisor. I would agree with what the other reviewers have said; it's not luxurious, but it is clean, has all the basic amenities, and is centrally located to the major sites. We arrived in NY in the morning, before check-in, so we visited a museum first thing. I arrived at the hotel at 2:30. Check-in is at 3, but having travelled extensively I had never had a problem checking in that close to the time. I was shocked when they told us that the room was not ready. The attendant at the front desk did offer a waiting area on the 4th floor to have tea or coffee. But I still found it surprising that they were not ready.When we did get to check-in we had trouble getting to our room, which was on the 13th floor. After asking one of the staff, we discovered that our room was the only room on the 13th floor and the only elevator that went that high was the service elevator! It was a little odd. The storage closets were right next to the room, so you could hear the staff going in and out for supplies and talking amongst themselves.As another reviewer had mentioned, the lights are florescent ceiling lights (like in an office). Our floors were all tile, no carpet!The thing that made up for this though was an absolutely fantastic view of the city. There was a perfect view of the Empire State Building. It was snowing as well and watching the clouds and snow whirl around the buildings was def. was one of the most memorable aspects of my trip.There was a good spread at the continental breakfast. I'd advise stopping in early. It opens at 7. I went at 7:20 and the room was already crammed with people. Coffee, tea, OJ, cranberry juice, fruit, muffins, pastries, bagels (with a toaster). Just grab a plate of food and take it up to your room.If you are on a budget, I'd recommend this hotel.	
Dec 25 2008 	Excellent Bargain	If you're looking for a clean, boutique hotel with good service (desk, housekeeping, doorman...) this hotel is certainly worth the price. Do not expect frills or glamour, but it is clean, recently renovated, and close to a lot of attractions. About 8 blocks to Times Square, and several subway stations, each about 2 blocks away. The bed was super comfortable, linens soft and clean, plenty of pillows, and a clean bathroom. The furniture and fixtures are new and modern (no soiled linens, carpets, or chair coverings) in fact, everything was spotless.Of course, when you go to NYC it depends on what you're looking for in a hotel. The entrance was nothing more than a door and an awning, but there is a doorman who offers to call you a taxi, and (obviously) opens the door for you. Also, they are serious about security about checking your room key after hours. The lobby is small; what you see in the picture on their website really is all there is. (But how much time are you really spending in the lobby?) Someone commented on &quot;slow lifts,&quot; but I didn't notice any problems with them. If I had to complain about something (which I really have to look hard) is that the lighting in the room was odd. It very well could have been an office building transformed into a hotel. There was a flourescent light above the doorway and the rest of the room was lit by lamps. It seemed to take lighting all the lamps to get good light for the entire room, but this wasn't a problem, just worth commenting on. It is really a good bargain. If you're looking for Park Avenue glamour, then stay on Park Avenue. Otherwise, this place is certainly worth the money, and probably more comfortable than what I actually paid for.	
Dec 11 2008 	Right in the heart of everything!	Okay its the third time i've stayed in this hotel and it just seems to get better. Checked in with no hassle and staff helped us with the names of local eateries and bus reservations to Woodbury Common. And the evening conceirge (Tony) is HOT!	
Dec 8 2008 	Overall pretty good...	i stayed at the Broadway Plaza 1-9 Nov. 2007 with my parents and sister. we had two standard rooms, both with queen sized bed, think they were on the 7th floor. My parents room was a corner room and bigger than ours but both were a good size and clean. Both rooms were on the front of the hotel overlooking the street but it wasn't overly noisy. The location doesn't look much when you first arrive but its only a 10min walk to time square and we walked back most evenings without no problems. as other reviewers had said the free breckfast wasn't great but there is a diner in the next building which did breckfasts/pizza and was handyoverall it was just what we wanted/needed as first timers in New York and wouldn't hesitate in recommending/returning	
Nov 30 2008	Good quality at reasonable price	We were a group of 10 adults looking for a comfortable accomodation at a reasonable price, and following the Tripadvisor reports decided for this hotel. We were totally satisfied by the three junior suite rooms, which were clean, large and well furnished. Bathroom was large as well. I can confirm other guests' opinion that the breakfast room is too small if related to a capacity of 68 rooms, accomodates just four small tables and is obviously always crowded. The best solution is to bring the food, available in large quantity anytime from 7 to 10 a.m., to your room. The hotel offer includes bagels, muffins, pastries, coffee, tee, juice, fruits, butter and jam. Within 100 meters from the hotel you can buy complementary food like yogurt with cereals and fruits.Not all the people working at the front desk are smiling and friendly as they should be, however they are anytime ready to help.I'd like to mention Mr. Terry, who was really perfect, patient, meeting any of our specific needs like a good friend. The location at the corner between Broadway and 27th is very good because the subway yellow line (N, R, W) is at just one block on the 28th. Macy's, Empire State Building and Times Square are within 15 minutes walk. The area is safe and quite after working hours.	
Nov 22 2008 	clean quite comfortable	clean, quite, large room, comfortable bed, close to 28th st subway, OK breakfast, helpful staff - only con is no free internet	
Nov 19 2008 	Affordable Semi-Luxury Hotel in NYC	I took the recommendations of fellow trip advisor travelers and booked this hotel for a 1 night business stay in Nov 2008. I was not disappointed. Excellent price for the room quality and amenities. The room was very clean and the room was on the larger size for a NYC property. The hotel offers a decent complimentary continental breakfast, but wi-fi/internet access is an additional $10/day. The entrance to the hotel is a narrow hallway to the front desk, and counter space in the bathroom is limited, but again, the room was very clean, a good size, and the bed was excellent. The staff was also very helpful.The hotel is located about 1 block away from the 28th street WR train station, and located close to the Fashion Institute of NY. Overall, a very decent quality boutique hotel for about $300/night.	
Nov 18 2008 	Bad and Good!	We went to NYC and stayed in Central Park for a few days before we booked &quot;The Broadway Plaza&quot; for 2 nights at the end of our week. When we arrived we were fairly impressed though by no means overwhelmed! The entrance is small but re-assuring when you see a well presented friendly door security chap who was very welcoming. The staff at the desk too were fairly friendly. We checked in and went to our Room 802, upon entering my partner and I were very impressed. the room looked clean and tidy and well presented, with a large Old style TV (That Suprisingly had Signal, unusual for many Hotels in NYC) Our room was a corner room and for a Queen size room was a decent size with tidy bathroom. There was also a Drinks machine and Sweets,Crisps dispenser too on our floor. All Good so far! We then ventured outside at night to go to Maddison Square Garden to see AC/DC Play and were a little shocked at first, for about 500 metres strectch directly outside the hotel is slightly dodgy! Many groups hanging around doing well NOT much just hanging! my girlfriend was a little worried, but being honest they do not harrass or talk to you so don't worry, also after a little while it we were not at all bothered by it! BAD point - Ignore breakfast on the 4th floor! Tiny room and expect to que, though hell your in NYC go elsewhere and enjoy the delights of breakfast. EXTREMELY BAD POINT - The night we checked out the hotel - feeling happy enough with the Plaza, we entered JFK Airport and were ready to board our plane when my partner complained of bites on her arm, hey I'm telling you these were big bites, we thought nothing of it until flying home to Newcastle via Amsterdam, when I started itching on my back and legs, once at Schippal Airport I went to the Gents to find I had god knows how many bites on my back, pretty horrible. My Partner and I are pretty healthy 33 and 27 Year olds who have never had anything like this before and unfortunalty we both knew this came from our previous two nights stay at the Plaza! How to put a damper on things - Well that's all I'm saying, it's now 2 days after our return and as I write this I must stop as my back is still itching!!!!	
