	Great location good restaurant clean rooms.	We enjoyed our stay at the Martinique as first time visitors to New York from New Zealand - it was central to everything we wanted to do and everyone was very helpful. We ate in the restaurant for the three nights we stayed in New York and the meals were great. Especially enjoyed being able to get a meal at 11.30pm after having been to a show on Broadway. Would definitely stay there again.	
Oct 9 2009 	Best hotel I've stayed at for the price	I booked a few months in advanced and stayed for 5 nights for an average price of $90 a night. Can't beat that price.. Hotel is across the street from Macy's. Great location. Arrived a bit early and the person that checked me in was able to get me a room @ 1pm when their regular check in time is 3pm. Very friendly staff. The room was bigger that what I thought. The bathroom was huge and the beds were sleep by number. People take towels when they go on vacation I wanted to take the bed and pillows. Loved it! Will stay there again.....	
Oct 8 2009 	Great Hotel	Service was excellent. My nephew and I did the city for 48 hours. Our home base was the Raddison Martinique. Great location, right outside were the subways, walking distance to Penn Station and many tourist attractions, one block from Empire State Building. Resturant on the premises and we had a great breakfast from room service.Rooms were clean, beds were the most comfortable I have ever slept in away from home.	
Oct 5 2009 	Great hotel kind staff excellent service and outstanding location....	My husband and I spent 7 days on the hotel - celebrating our 25th weddinganniversary.We arrived around 13.30, and the room was ready - it only took a few minutes to check in.We've got a nice, clean and BIG room - and it was very silent there. Difficult to imagine, it was located in the middle of the crowded New York.Location is perfect - in walkingdistance to everything, the staff is very helpfull, especially in the little giftshop, where they made different bookings for us, such as the helicopterflight. And always ready for a kind word.The breakfast is good, with various choises, and nomatter if you arrive after 10.00, there are plenty of food - fresh food.We would certainly recommend this hotel, AND come back ourselves, if we go to New York again.When I read some of the bad reviews, I wonder, if it is the same hotel, we visited..... or, if people in common are so very different, expecting things.....Anyway, the very best recommandations from me about this hotel.	
Sep 26 2009 	Very satisfied with the Radisson Martinique	We arrived at 3pm after 7 hour flight from Manchester and because we'd read the previous reviews and also a colleague had experienced a delay when checking in, we were prepared for our room not being ready. We asked for an upgrade and were immediately issued with a room card. Unfortunately when we opened the door to the room on the 5th floor, the lights were all on because the window faced onto a brick wall some three feet away so there was zero natural light. We immediately returned to Reception and refused the room. At this point, we were informed we'd have to wait until after 4 for another room. We did a pre-check in, room number allocated, details taken and told to return to collect the key card later. We left our luggage with the concierge and went out to explore. Returning at 5, there was no queue and we were issued with our new room card. No problems with this room - it was on the 11th floor and faced the front street. We booked a room with 2 double beds and this is what we got. The room was a good size, spotlessly clean with flat screen TV. Beds were very comfortable and the maid service was excellent. Towels changed every day and toiletries replenished daily. We found the staff on Reception, Concierge, Maids and door staff to be very pleasant and helpful. The free Internet service in the business area was greatly appreciated and we made good use of this facility to research and book attractions etc. Although there are only 3 computers, guests are requested to use for a maximum of 15 minutes and we found that people adhered to this. I have to say the room is one of the quietest I've ever stayed in. There was no noise from the room on either side of us, although they were occupied, nor from the corridors or street below. Amazing when we considered we're in the middle of a huge city. We slept very soundly as a result, which is something I never take for granted in a busy hotel. Free newspaper every morning was a nice touch but the complimentary water was only for first morning! We flew into Newark Liberty Airport and caught the train into Penn Station, which is a 5 minute walk from the hotel and cost half the price of a taxi. We didn't eat at the hotel, but regretted this later as the restaurant seemed very busy and the menu was good value. Definitely worth checking out. As long as you're prepared for a potential wait for your room to be allocated, and willing to be assertive if there is an undue delay (my colleague asked to speak to the manager and the problem was immediately resolved) I can't say anything negative about this hotel at all. We booked our deal on Expedia together with the flight and for £1700 for 2 return flights from Manchester plus 5 nights room only here, we feel it was a good value break. As previously mentioned, a lot of airline staff do stay here and we were initially concerned this may mean some noise and disruption at unsociable hours but we never heard a thing. Would definitely stay here again as the location is within walking distance of the Flat Iron building, Empire State Building, Macy's, and Times Square and Central Park are about 10-15 mins away.	
Sep 23 2009 	Run down dirty zero service	This is a fine place if you are considering as an alternative a hostel or some other 1-2 star hotel. Otherwise steer clear. I was upgraded at check in. Given my tiny room with a full size bed (my feet stuck out all night) I am scared to think about what kind of room I would have gotten without the upgrade. Room smelled of cigarette. Sheets didn't seem very clean as they smelled too. Asked them to be changed, but guess what, no one ever answers the phone. After 3rd call, each time letting it ring no joke 30+ times, finally someone answered. When I came back from day's meetings, sheets had been changed, but my iPod had been stolen. Complained. 2 hours later a security guard came to the room and looked under the bed. Said someone would get back to me the next day. Next day, nothing, so I try calling the front desk. Again no answer. Go to meetings and come back. Try calling again. Still no answer. Get up the next morning to check out, call again, still no answer. Crazy. There are so many hotels in NY with better service, cleaner rooms, etc for the $229 I paid here. Go somewhere else.	
Sep 21 2009 	Good hotel 	We arrived at the hotel on 3rd September at about 9pm, after a 7 hour journey from London, as well as a big flight delay on top of that. We arrived at the check in desk to be told that our room was not ready, at 9pm at night. I've also seen from other reviews that we are not the only people to be told this! So we wern't very pleased to be told to come back in an hour, as we were exhausted from our journey, as well as the fact that due to the 5 hour time difference, in our heads it was 2am! We came back in an hour to be told the room still was ready, and after repeatedly asking if our room was ready, we were eventually given a better room.This room was very nice, very large, nice and clean, and a nice modern clean bathroom, so no complaints about the room. The only thing I would say is that I'm not sure the room was worth the price we paid. For the price we paid I probably would have expected more, but you definitely couldn't fault the location, on the corner of Broadway, about 5 minutes from the empire state building and Macys, and right next to a subway station.All in all the hotel was great for the 4 nights that we stayed there, and it was all we needed as a young couple exploring New York, but the fact that the room was not ready by 10pm in the evening I thought was a bit much!	
Sep 11 2009 	Who knew business hotels could be this bad!!	As so many other people have reported, I turned up at 7:00pm to find my room not ready. &quot;Come back in an hour&quot; they said. meanwhile, the people in line next to me were back for their 3rd time after being told &quot;Come back in an hour&quot;. I managed to get a room in about 20 minutes after kicking up a stink and calling Garber Travel, who mysteriously booked me into this hotel -- why????? The problem seems to be that double book rooms They have a lot of international flight crews who stay there and many leave in the early evening. Given that, they clearly paying for that day in the room. The hotel then rebooks that room for that night....... except that the room isn't going to be ready until something around 8:00 or 9:00 at night. I can't believe that Radisson operates this way. Meanwhile, the room was less than average. And the ticket I put out on my room door requesting room service breakfast was never picked up... it was still there when I got up in the morning. My bill for the room -- one night -- no extras -- was $549. SCANDALOUS!!! My advice is -- don't stay at this hotel unless you have no other options.	
Sep 8 2009 	Fantastic location but make sure you get a good deal!	Absolutely fantastic location - right on top of a subway station and easy walking distance to Penn Station to get to either of the main airports. Also easy to walk to anywhere in midtown Manhattan.I'll admit I got a really, really cheap deal through Expedia and I felt I got a good deal. My room was kind of small, and faced into the interior courtyard of the hotel so the natural light wasn't great. But I figured it was the kind of room they give you when you've booked a bargain rate!Everything was clean and tidy, and the bed was comfortable though, so no complaints at the amount I paid.I arrived early and was allowed to complete &quot;pre-check in&quot; on arrival, and leave my case. When it was time to check in this meant I just had to pick up my key, which worked pretty well. Check in did seem to be very slow for everyone else though. The staff were nice, but they could probably do with another couple of computer terminals behind the desk to speed things up a bit!I would definitely go back, as long as I could find another good deal on the rate.	
Sep 8 2009 	Sub-average	The three hand a half star rating this hotel achieved is way too generous. We arrived at about 5pm local time and the check-in process took forever even though there was no queue. Then, the room was very dated and shabby. Also, there was a serious lack of attention to detail with cleaning. And, to make matters worse the smoke detector in my room started announcing 'low battery' about every 30 mins from the middle of the night. I have stayed in lots of the major hotels in New York and this is by far the most disappointing experience. The location is the only redeeming feature.	
Sep 5 2009 	Average hotel great location	When I entered the room there were empty shopping bags and water bottles lying around. It looked as if someone had been in the room after it had been serviced. The TV kept switching itself off every few minutes, and even though I reported this it didn't work for my whole stay. The walls seem to be paper thin, as I could hear the very loud guests in the next room.Also, they are refurbishing, and this involves removing fridges and safes from the room, which you can then rent from reception. I really detest this blatant profiteering, a safe at the very least should be available in a room at no extra charge.I would say stay here if you're not fussy about your hotel, and although my stay was ok, I won't stay at this hotel again.	
Aug 31 2009	Great location	Just back from a 4-night stay with my mother at Radisson Martinique. Although check-in time was 4PM, when I arrived at 5PM to check in my room wasn't ready (although my mother's was) and I was asked to come back at 6PM. Not great, considering I had booked both rooms 6 weeks earlier! The accommodation was clean and attractive, but the mini-bar and in-room safe was disabled (similarly in my travelling companion's room. Room swipe keys were very temperamental, and maintenance had to be called on several occasions to gain entry. The vending machine on my floor didn't work properly and the ice-machine on my mother's floor didn't work. On the plus side, the location is great - a few steps to subway and a short walk to Macy's. The hotel breakfast was very good and the serving staff very attentive. Doormen very friendly and helpful also. However, the best thing about this hotel is the concierge (Rebecca) who also mans the giftshop in the lobby. She was super friendly and a great source of information on buying tickets for things / attractions / activities / dining / booking taxis etc. Well done Rebecca!	
Aug 30 2009 	Outstanding location good value poor service	Housekeeping and bell desk were very good.The front desk service was poor. Check-in took much longer than it had to. When we checked in there was one employee repeating the phrase &quot;we don't have any rooms with two beds&quot; to the chagrined customers ahead of us. There were two other employees standing there doing nothing. Just poking a computer keyboard. Maybe playing Tetris. Maybe blogging about how much they despise you and me. This level of service will someday be a footnote to history. &quot;Grandpa, tell us again about the hotel employees who would stand around doing absolutely nothing while weary travelers waited to check in?&quot;Luckily there was only one party waiting ahead of us at check-in, so we got our room within 15 minutes. But we barely dodged a group called &quot;Every Employee of Mexicana Airlines.&quot; We saw several flight crews checking in during our stay; I can imagine a very long wait time at check-in if you get caught behind one of them.Also, the staff made no attempt to advise me that I had received a package. They probably received it on Friday. I picked it up Sunday before I checked out. (They did deliver it to my room, which was nice.)Having said all of that, this was an excellent large clean room, very comfortable beds, with a powerful AC system at 32nd and Broadway for about $200/night on a weekend. Excellent value.	
Aug 22 2009 	Great hotel. Great rate. Would go back.	Got a great rate on the hotel's own website. Room was very large for New York standards and well maintained. My only fault was check-in was incredibly slow (took over an hour to get my key) and the front desk were rude and unhelpful on check-in, although they were fine on check-out. Maybe I just got a grumpy staffmember. Would go back.	
Aug 18 2009 	Radisson on Broadway Ruined Our Vacation	When I reminisce over our recent stay at the Radisson, three words come to mind: rude, unprofessional, and unaccommodating. The hotel manager, Joseph Somenbeck is a poor example for a manager. Rooms Division Manager, Fatena Williams, lacks customer service or professionalism. Our entire stay at the Radisson was horrible, from beginning to end. On Thursday, August 6, 2009, I arrived at the Radisson Martinique formerly called Holiday Inn Broadway. After waiting three hours for check-in, my mother, daughter and I arrived in our room. The room air conditioner was not working. I immediately called the front desk and was informed that Housekeeping would arrive shortly. I placed two additional phone calls and waited a total of one hour before Mike, the engineer arrived. He then informed us that we needed to change rooms because the compressor was malfunctioning. After packing up and changing rooms, the air in the 2nd room went out at 1 am. The night engineer, Ruben, came and repaired the AC unit.The following day when my family and I returned from shopping, we entered the room to find that the TV was not working. Naturally, I called the front desk. I waited 45 minutes for Mike, the engineer, to arrive and tinker with the television only to inform me that he didn't know why it wasn't working. Eventually, Mike discovered that Housekeeping disconnected the cable, and he was able to repair the television. Once again, we were inconvenienced during our stay. When the room was asked to be serviced, the bathroom was either not provided with enough towels or didn't have any towels. The final and most serious incident transpired on August 8, 2009. At 5:30 pm, I requested a new set of keycards from the front desk clerk. I left the hotel at approximately 6:30 to leave for the theater. I returned from the theater at approximately 12:30 am to find that the Radisson front desk employee had given a colleague I knew from Chicago a key to my hotel room. When I entered the room, I discovered her intoxicated and laying over the bed. I immediately went to the front desk and requested to speak to a manager. Thomas Richards, the night manager, spoke with me. During our conversation he requested a Lock and Interrogation report from security. The report was generated and clearly indicated that a Radisson employee issued [--], a mere stranger, a key to my room, 619 in their hotel. As a result of their negligence, items from my luggage are now missing. Radisson breached their contract when they knowingly allowed a unauthorized person access to my room. We could have been seriously hurt or even killed. Fortunately, the evening did not end tragically, but I was unable to sleep because I no longer felt safe in our hotel room. The individual he allowed in our room was intoxicated and urinated all over herself. Simply put, our wonderful evening had abruptly turned disastrous. I informed Mr. Richards that I was requested a full refund totaling $501.05 immediately. He told me that Fatena Williams, Room Division Manager, was the only person who could authorize the refund. I have contacted her a total of six times between August 8 to date, and no one from the Radisson has attempted to call and apologize or rectify the situation. I am infuriated by the Radisson management and their lack of concern and professionalism.	
Aug 12 2009 	Great Hotel!	Our family of four recently stayed at the Radisson Martinique on Broadaway and had a great experience. The hotel is located in the heart of midtown close to everything-Empire State, Times Square, Macy's, etc. The subway is right out front! The hotel service was very good. Any issues were dealt with quickly and efficiently. The front desk personnel were helpful. The doormen were always cheerful and knew all the ins and outs of New York. The room was good size and comfortable. I would definitely stay there again.	
Aug 11 2009 	Nice place very good value.	This was nice hotel. Clean and comfotable. Good location. A little seedy by night. Friendly service and concierge was very helpfull in attaining a reservation at a local restaurant.	
Aug 1 2009 	Good Deal but you get what you pay for	We just left the Radisson Martinique. We stayed just 1 night as we were in NYC for 36 hours. Here are the Pros:-Very close to a subway station which covered most routes you need to get around the city.-Parking available across the street if you are driving-Restaurant on site.The Cons:-Very small rooms-Rooms are being updated and are in need of it.We paid $214 and with that we got: 1 room with double beds, 24-hour parking pass (worth $37), 4 metro cards for 24-hrs (worth $33). Also, when we checked in, they handed me 4 passes for Breakfast which were worth about $48.The hotel itself was fine-small, old and a little chaotic due to lots of airline pilots/attendants coming and going but unless you are willing to pay $400-500 in NYC, this is what you will get.	
Jul 29 2009 	Good Hotel near to Time Square	This hotel is nearest to Time Square and Empire State. Good hotels. Comfortable rooms, great breakfast. For sure i'll comeback again.	
Jul 28 2009 	A good buy	Yes, this is an older property. Yes, a lot of tourists and flight crews stay here. But our room, while modestly appointed, was clean and the service was prompt. We asked for a rollaway at check-in and when we returned to our room it was there. The bathroom was quite small. But the hotel was perfectly located for our business. A parking garage is directly across the street although you have to do your own parking - no valet parking. If you do park, be sure to get your parking ticket stamped at the hotel front desk, otherwise you will pay more. AND if you drive an SUV or similar car your car will be held hostage in the parking garage until you give the very rude attendant an extra $10 for &quot;oversize vehicles&quot;. We heard no noise at night (tenth floor). Check-in was relarivelt quick and the staff was very courteous. This is not a luxury hotel so if you want to rest and relax in your hotel, get spa services, room service, etc., this is not the place. But if you want a clean, centrally located, reasonably priced hotel, this is a good choice. We paid $159 for a double room, $20 extra for the rollaway. The parking was $47 for 24 hrs (including the rip-off $10 charge).I would stay here again for the location and value.	
Jul 13 2009 	Great Location... but	Ok let's get the 'good' out of the way. The location was very handy for our purposes as we intended to utilise the subway and had a side trip that involved Penn St Station planned and we also went up the ESB (doesn't everyone?). The doormen were very helpful and provided clear accurate directions and answers to our queries re subway connections and general points of interest.I must admit that I read about people not having their rooms serviced and didn't really believe it could be that bad, but it was. We stayed 7 nights and for 3 of those nights we didn't have any service for our rooms. We called to request towels on each occasion and were surprised that the front desk staff didn't apologise for the oversight but merely seemed to treat it as par for the course. On another occasion we came back from a full day uptown and found our room was being serviced at about 5.30pm, most unusual we thought.We requested a non smoking room and we believe a very strong smoke smell was present in the room when we checked in. The front desk sent up someone with air freshener, which didn't really help too much but after a few days I think we (unfortunately) got used to it.Would we recommend this hotel? Location yes, rate yes (at least for our booking, door / bell staff yes, front desk staff - jury is still out, not the friendliest ones around, domestic / cleaning staff...no way. Overall, a very reserved yes providing you can get a really good rate to make up for the other deficiencies.	
Jul 12 2009 	Great location	I had the opportunately to stay at this hotel during the 4th July celebrations. Checked in early and and my room was ready for us. The staff were very friendly, professional and helpful. The room was very clean, the bed was very confortable even though I didn't stay in it very long and I had a view of the Empire State Building. Loved the soap, shampoo and lotion in the bathroom and especially the soft and fluffy white towels. I am very picky about towels. The location was perfect midway between Uptown and Downtown. Subway outside the door. Walking distance to Times Square, 5th Avenue, Macys and many restaurants. We had a wonderful full buffet breakfast in the Martinique restaurant. Very good service and the food was very good. If you wanted Eggs &amp; Bacon or go healthy Yorgert and Fruit they had it. Good selection of wine in the bar .I liked the best the friendly staff whom I would talk to and joke with every day in the lobby. The location and the room was the best. I would definely come back to this hotel, very good deal for the price. I have just 1 critic, at the time of my visit the room safes were being overhauled so I was not able to leave my valuables in my room. I called the front desk and they said that I could leave my valuables in their safe. Other than that I really like the hotel. Diane from Montreal, Quebec, Canada	
Jun 30 2009 	Very Good	Good clean hotel with friendly staff and comfy room. We have stayed in many Radissons and this was just as good as the others. Easy access to all of the city and very helpful concierges.	
Jun 29 2009 	Great Spot	Very easy to get to things from the hotel. Our room was lovely must have been refurbished recently. Good selection at breakfast.	
Jun 28 2009	Just Perfect !	Spent a week here with my cousin, on a leisure trip, between 20-26 May. First place, excellent location: just between 5th &amp; Broadway, 10 minutes walking distance from Times Square, Penn Station. There´s a subway station just off the hotel !All the crew is very helpful, from the front desk to the belhops...they helped a lot explaining routes, calling cabs, storing luggage, etc. Rooms: Fine - two medium size beds, lcd tv, carpet, regular bathroom. Not big..but enough. There´s a restaurant you can acessa through the front lobby, where you can have breakfast (USD 16/person), grab somthin´quick to eat.There´s also a shop in the lobby, where one can get everything from souvenirs, water, soda, snacks, to simple medicine (like aspirin), and even set a car to the airports ! Really helpful !This hotel is perfect for tourists - especially if in large groups - and families not expecting luxury !Would definitely recommend !	
Jun 26 2009 	Not for business travelers	I have stayed at the Martinique twice this month, mainly for the proximity to Penn Station. On my first trip I was awakened at 3am by the guests in adjoining room returning from nightclubs and continuing their party. I called the front desk to complain, and got no answer. Since I could not sleep, I just got up and took an early train. I stopped at the front desk to complain about the noise, and found the associate sleeping in a chair near the front office.On my second trip I arrived around 10pm and found a line of guests waiting to check in, including a full flight crew, whose rooms were not ready. After 30 minutes in line, with both business travelers in line ahead of me being told thier rooms were not ready, I was told the same thing. I accepted a downgraded room, which had a toilet that ran most of the night. The room was not cleaned or made-up during either of the two days in which I was out of the room from 6am to 8pm.I will not stay there again, and would not recommend to any business traveler, especially if you are arriving in NY after a long flight. They seem to cater to flight crews and tour buses, which is fine, except the staff appears to have become indifferent to delivery of service as a means of securing repeat business, and is struggling to keep the lights on. Very surprising for a Radisson chain property.	
Jun 23 2009 	Pros and Cons	We stayed here because I found a really great deal on Hotels.com. The Hotel is lovely and has a great location, the subway is right on the corner. The service was ok, we checked in and out at irregular hours so didn't have too bad of a time, although their reservation system was down so there were a few issues. Concierge service was very nice. The first night we requested a couple of extra pillows, which never showed up. The minifridge in the room is being 'converted' so was empty and unavailable for use. Obviously the room was small, but it was comfortable. A couple of things to know. If you are for some reason driving in, parking is offsite (across the street) and costs $37 a day. If you need to get to the airport and there is more than one of you, we strongly suggest avoiding the airport shuttle service through the hotel ($22 per person) and cabbing it instead ($45 flat fee). We were basically dictated to (pretty neurotically, actually, by a crazy lady in the gift shop) what time we had to take the shuttle (which got us to the airport over two hours before boarding), and we ended up being crammed into a van (me squeezed in next to a very smelly eastern European man, I felt like I desperately needed a shower afterward) while the driver had a cell phone to his ear for the hour-long drive. Not a pleasant end to our trip, so please learn from our mistakes. Avoid driving at all costs and take a cab to the airport if you can afford the $45!	
Jun 11 2009 	Good hotel in the heart of NYC	I was here on business so the price was not an issue. I was upgraded to an Executive Room which was nice. It came with the SleepNumber bed which wasn't a selling point to me but it would seem like a nice feature if you have one at home.The room was very clean and the shower had a very high head which is good for us tall people.Fitness center was on the floor below the lobby and was more than adequate for my needs (free weights, 3 treadmills, two ellipticals, hd tv on the wall.)We ate lunch in the Cafe Martinique and the service was achingly slow. We assume this was because they were the kitchen for room service as well (not confirmed, just a guess.) But there are a thousand other places to eat nearby.Overall good experience.	
Jun 11 2009 	A Recurring Problem...	I wished I had read the reviews on this website before I made a reservation at this hotel. It seems like everybody seems to report that they were not allowed to check in early (understandable) but when check-in time arrived, had to wait for a room. I share the same story almost four months ago. I checked in early, but was told to return at 4:00 p.m. When I arrived at 5:00 p.m., there was a line that extended to the front door. Although I was previously reserved a room, I was not in my room until 7:00 p.m. after standing in a line for over 2 hours.It seems like my experience was not a one-time occurence but a recurring problem with this hotel. I did notify Radisson Corporate, but received no response. I guess they concur.	
Jun 3 2009 	Great location. Small room. But all we needed the room for was sleeping!	Lovely lobby and bar (expensive).Small room - which is apparently to be expected in NYC. Initially we were given a room which had been smoked in, but a quick complaint and we were moved.Room was functional. Bathroom could have done with being a little larger - not much space to swing a cat!Concierge appeared to be very helpful but on more than one occasion their advice was flawed.... we were advised to eat a Keans.... a small restaurant, &quot;averaged priced&quot;, around the corner. $150 later... for 2 steaks (they were fab) and a bottle of wine. We're not sure what level of kickbacks the staff were getting for making these recommendations.....The hotel did offer a great shuttle service back to Newark airport - $20 door-to-door instead of the $15 we'd paid for the train, where we had to lug all out stuff from Penn station to the hotel.Radisson is really well placed - round the block from the Empire State Building and near to the bus stops for the Greyhound open-top buses. And Macy's, of course. Overall a great location and seeing as we didn't really spend much time in the room, it didn't matter that it wasn't that great....	
Jun 2 2009 	check in staff are horrendous	we have just returned from the Martinique, we were eventually pleased with the hotel, we initially attempted to check in at 2pm but were told that we were to early and to return at 4pm, this we done only to find that the desk staff did'nt know if are rooms were ready or not, we were told to sit in the lobby while they found out, after 10 minutes we asked again and got the same reply, after a further 15 minutes we got very angry and demanded any available rooms, on arrival at our room the safe and small fridge were not working, this took three visits to rectify as no one seemed to know how to fix it, we had booked a club room which is bigger than the normal New York room and we were very happy with it, other than it was at the back of the hotel with no view. Check in staff aside the rest of the staff ie cleaning, breakfast, bar and porters were all very pleasant and helpful and we enjoyed our stay here, I would certainly recommend this hotel and with a bit of luck the check in staff will by then have had lessons in good manners	
