	Good stay apart from lacking service hospitality	I and my girlfriend spent one week in New York to celebrate her 30th birthday and we spend four of those nights at Carlton and the remaining three at The Surrey which was a much better choice in every way (see separate review). Given the competition of New York hotels in this price range, I would not recommend nor stay at the Carlton again.Pro's:- Location, close to pretty much everything including two subway lines making transport to e.g. Grand Central or points south (Union Square, Financial District) very easy- Quality of the breakfast at the in-house restaurant Country- Well-priced (by NY standards)Con's:- Small room (we had a Deluxe room)- Quantity of the breakfast (we have breakfast included in our package)- They charged us $50 for a three minute US long distance phone call- Lack of customer service. The front desk and bell boy service was not what you expect from a hotel of this standard (given the price tag). At check out, when I asked for help with our luggage they just pointed to the elevator. The friendliest staff there were the maids and porters who would always say greet you in a kind manner and have a little chat with you.	
Oct 12 2009 	Overrated	This Carlton definitely misses the Ritz as the hotel misses the mark by a mile. Slated as a 4-star hotel, the rooms are small, noisy, with uncomfortable beds and creepy hallways. Definitely not worth the rating, perhaps 3 star is more fitting. The most impressive part of the hotel is the lobby, beyond the entrance there is nothing else that really impresses the customer. From it's poor location, to amateur service, the Carlton is one to avoid.	
Oct 8 2009 	Beautiful hotel great location some service issues	Overall, this is a lovely hotel - beautiful building and rooms. Clean and comfortable. Great location. No problems with free wifi. Breakfast at Country Restuarant was delicious! Enjoyed the yogurt and granola parfait, french toast. Appreciated a complimentary mini-fridge at our request. Booked hotel package through a specialty hotel website, package included breakfast vouchers, valet parking, a food/beverage credit. At check-in, room rate was correct but had to ask for breakfast vouchers, parking, food/bev credit. Took a while for a manager to come up to provide the vouchers and explain parking. At check-out, I was charged for parking and food/bev credit was not applied. Had to ask staff to correct bill. Bill was corrected, with apologies. Received an ontime wake-up call the first morning, but second morning the wake-up call was recieved more than 30 mins late. Caller insists she called earlier, at the requested time, but husband and I doubt this (we woke up on time on our own - glad we weren't relying on the wake-up call).	
Oct 8 2009 	Quiet and efficient	I stayed at this hotel for 18 nights on business. I stayed in an Executive Double room and it was clean, and surprisingly spacious with a really good size bathroom with bath and separate shower.Although the hotel lacks a little in character, I really appreciated the fact that throughout my stay I was never disturbed by slamming doors or guests shouting about in the corridors, which as anyone who stays in hotels a lot knows, is usually the case. In fact I never heard another guest, even though the hotel was obviously busy.I also appreciated the free in room wireless internet.	
Oct 3 2009 	Highly recommended great location price service and style.	We looked long and hard for a hotel in the right sort of area, which had some degree of grandeur about it, that offered good value for money, and also that was the right sort of place to take a 3 month old baby.We booked the Carlton thru Expedia - a really smooth experience with fantastic service. Really impressed with Expedia; we arrived a day late as our flight was overbooked, and Expedia contacted the hotel to advise them accordingly.The hotel is about a 40 minute cab ride from JFK (subject to traffic). The taxi ride is a flat fare of $45 plus toll ($5.50 at time of writing) and tip. On arriving at the hotel we were greeted with an impressive entrance and courteous doorman. Very helpful with our luggage (cases, stroller etc) without the hint of looking for a tip or resenting helping people with their luggage. We proceeded to check in which took no time really - there was some confusion but that was due to the fact that we arrived a day late and Expedia had &quot;checked us in&quot;. The reception staff were helpful and efficient - they didnt shower us with huge great smiles and have-a-nice-days, but they were helpful, efficient and friendly enough.Our room (room 229) was lovely. it was well designed, clean and very stylish. There was hardly any natural daylight in the room as the window faced towards the back of the building and walls etc - but this is New York. We didn't expect any different really. Also, the room was compact. I wouldn't say small, but it was plenty big enough for our 3 nights and baggage and shopping and pushchair and shoes etc.etc.etc. great room. Great bathroom/shower and toiletries. Bed was fantastic and comfy and clean and cosy.We only had a lunch at the hotel, and one thing that seemed to be common throughout New York regarding dining was the cost of wine. I had a glass of pinot noir which was about $18 - really expensive. The location was great for us. We didn't want to exit our hotel and for it to be too busy. For that it was perfect; we would leave the hotel and stroll to Madison Park or across to 5th Avenue and walk up to the Empire State building (about 5 minutes) and then on to Times Square (about 15 minutes). Central Park is about a 30 minute slow stroll away. Macys is about 10 minutes away. Fantastic store btw.So in conclusion, absolutely delighted with the hotel, cleanliness, staff, room, location and value. We would definitely go again. One last thing, 2 places to recommend that we ate at - Robert DeNiro's restaurant the Tribeca Grill was fantastic. It was quite expensive (again, the wine bumped up the cost), but the steak we had was the very best steak we have ever had. And we've eaten lots of steak in many places. Also, the staff were fantastic. They didn't make you feel like just another number through the door - they were personable, courteous and kept checking on us without being intrusive. I was concerned that because we had a 3 month old in a pushchair that we wouldn't be particularly welcome here as it's quite trendy - on the contrary, we were spoilt and made to feel special because of our baby, with staff checking if we wanted to move as we were quite near the draught from the front door. Secondly, we went for a burger near madison square gardens. Fat Annies Truck Stop at 131 West 33rd Street (just west of broadway) was great. Gemma wanted a proper burger in a proper burger bar. We had exactly that with a pitcher of beer and watched a football game. And the burgers were fantastic - proper home-made-style burgers. Oh, and good service too. If you want a diner-burger experience, this was great.	
Sep 30 2009 	Liked the Carlton - a fairly good value for NYC	I booked a superior room online though a discout travel site and was upgraded to the slightly larger deluxe. I'm really glad we had the upgrade, because the room was not particularly large. It was a good size though with plenty of room for the queen bed and a desk. The room itself was nicely decorated. I loved the large flat-screen tv. The bathroom was ample size with tub/shower and large sink/vanity. The location was nothing spectacular, but it was definitaly convenient for getting to most parts of the city. Subway was just a few blocks away.	
Sep 30 2009 	Beautifully stylish hotel (just a pity about the staff)	The photos we saw of this hotel didn´t do it justice. Though the rooms are not large, they are stylish, clean, cosy, and beautifully designed. The lobby was grand and atmospheric. The bathroom was beautiful with luxurious bath products. The bed was extremely comfortable. The location was right in the middle of Manhatten not far from the Chrysler, Empire State and Flatiron buildings, and conveniently next to a metro station on 28th.We might have rated this hotel 5 stars if it wasn´t for the fact that the staff were not warm, helpful or professional. Reception staff were fairly efficient but not friendly, and upon check-out three of the staff stood right in front of us in the middle of the reception desk, chatting loudly about getting their teeth whitened!! On arrival nobody offered to take our bags up to our room, and on departure a doorman carried our cases just three metres up five steps inside the lobby, and not even outside the hotel to the waiting taxi, and then stood around waiting for the tip! Once the chambermaid forget to put any towels in the bathroom - no problem - but when I called down to reception to request some, again the response was very cold.If you´re paying a reasonable price to stay at this hotel, we would very highly recommend. We got an excellent deal on a travel website and were extremely happy with the result. But for it to really contend in the highest league of luxury New York hotels, they need to have much better service and staff.	
Sep 29 2009 	Attractive choice in this part of town	My wife and I decided to go to New York for our 11th anniversary. We usually go to NYC at least once a year anyway (our last visit was March of '09, before that June of '08). First time staying at this hotel though--we usually stay downtown. Booked through Hotwire as I almost always do. After learning which hotel we would be staying at, I came to TripAdvisor to read reviews and was concerned by some of the things said by others about customer service. Decided to just get there and see how things went.Perhaps the hotel's management has been reading guests' reviews here, because everyone we dealt with was pleasant and treated us as paying guests should expect to be treated. We arrived around 2 PM Friday, the doorman let us leave our car out front while we checked in and brought our belongings to the room. I was concerned about getting stuck in a room with a double bed (one of the caveats of using Hotwire) but we were given a queen without asking, though we were told we were being &quot;upgraded&quot; to it, I guess that was to make us feel like they were doing us a favor. (Could also be policy until such rooms are gone.) I spoke with two or three different desk clerks during our three-night stay and all of them were polite and friendly, one looked up some info for me online.Carlton is an old building so the rooms are small, but we expected this. Our room was on the ninth floor on the longer 29th St. end of the building, but facing the inner light shaft. So no view, but not necessarily a big deal. The room was impeccably clean and very comfortable. The decorating style is an interesting hybrid of art deco and modern. The overall feel is old-fashioned but reasonably plush. Excellent bedding, very comfortable mattress. Shower could stand to have a bit more water pressure but was fine.It was also quiet. There was noise from the central systems down in the core of the hotel below our windows, but it was a dull sound and we ran the AC anyway. AC is a bit loud when it first kicks on but provides white noise which helped us fall asleep. We did not hear any noise of any kind from the corridor or either adjacent room.The hotel is in a good location, easy access to two subway lines (6 on Park Ave, N/R/W on Broadway) and numerous buses. Few short blocks to Empire State Building, Madison Square Park (try Shake Shack in the park), Herald Square, etc.The only slightly negative thing we encountered was that the housekeeping staff seemed a little too eager to get the rooms cleaned in the mornings. One day we were getting dressed and ready to head out around 10 AM, and someone knocked even though we had put out the Do Not Disturb sign. I decided not to speak to the management about it because I know they are trying to get the cleaning done on a schedule. If it had happened again I would have spoken up.For those who have read some other guests' reviews and may be concerned, I want you to know that we had a very enjoyable stay at the Carlton and would stay there again.	
Sep 24 2009 	Great hotel good location	We were a little cautious booking this hotel as it is much further down Manhattan than we would usually stay. But the location was great. The hotel itself is fine - rooms are not large (we were in a superior room on the 8th floor), but well presented. Nice toiletires, bathrobes etc. Comfy bed. No tea / coffee facilities, but a deli next door does take-out for about $1.00.Additional costs are heavy though - breakfast and drinks were very expensive - I think $16 for a singe glass of wine is too much! (that's in the bar, not room service).One complaint - no red wine in the mini-bar - only white, beer or spirits (a small point, but I like my red wine).Staff were couteous and helpful.Would recommend and would definitley consider staying here again. We got a good deal through Expedia.	
Sep 20 2009 	What a great surprise	Based on using this website we booked the Carlton for a Sat night here in NY. It is about 75% better than expected. This is based on own research to date. Stylish mix of modern and expected NY close to loads of bars which is exactly what we were looking for. 3 hrs after check in more tmrw	
Sep 18 2009 	Excellent location for sightseeing and transport	Stayed here for 4 nights in early September to see NY for the first time. Really good location right in the centre of Manhattan. Grand Central Station easily walkable if required, and many good delis and eateries locally. Perhaps the staff could be trained to smile a little more, but no problems. The room was excellent and not a bad size, with power shower and big TV (this automatically defaults to paid-for channels when turned on, but press the * key to get news and local stations free). Comfortable bed and good air-con. From JFK get the shuttle bus door-to door for $20, and return by the airport bus near Grand Central Station for $15. Both much cheaper than the set-price taxi fare of $45 plus.	
Sep 16 2009 	Perfect hotel and ideal location	My wife and I went to New York for the first time to celebrate her 60th birthday and choice of hotel was important. The Carlton ticked all the boxes and did not let us down. Clean, great location, friendly staff and value for money. Not being great walkers location was important to us and we were only 4 blocks from the excellent Empire State Building and the lovely Madison Square Park. We would recommend this hotel to those who want that little bit extra when you get that little bit older and perhaps wiser.	
Aug 29 2009 	Beautiful Lobby. Everything downhill from there.	After a week of hotel jumping in NYC, The Carlton was my last stop. Having had great luck with the other 2 hotels I stayed at during the week, I was looking forward to this joint given it's fairly positive reviews on-line. Maybe I'd been spoiled by great service elsewhere, but this was a total letdown.The lobby is lovely, although somewhere creepily quiet. There were folks sitting on the couches, but no one was saying a word. A bit strange. After an awkward walk with my luggage down about 10 stairs to get to reception, I was greeted by a very surly gentleman. Check-in was smooth, although it was the first time I got the cold shoulder for purchasing through Hotwire. There was some obvious animosity from the front desk that I was not a full price client. Made my way to the room. There's still some construction going on here and there. Hallways are dated and dark. The room was the smallest I've ever been given in NYC. I'd guess about 150 sq ft. Newly renovated, but with an antiquated design concept. Imagine if your Grandmother renovated her condo. Lots of crown molding, ugly carpets, gaudy furniture. The bathroom was teeny tiny, and made to feel smaller by the enormous cabinet and pedestal sink. One of those suckers where you have to stand on top of the toilet to get the door closed. All those things aside, the room was totally unpolished. Hotel information was copied on Xerox paper. The phone, had all of the extensions (room service, front desk, etc) handwritten onto it's face. Desk was extremely wobbly, chair was so uncomfortable. There were fruit flies in the room. The high speed internet which I needed so badly for work, was dial-up slow. The view; well there was none except of a brick wall. I asked the front desk if there was a possibility of a paid upgrade to a larger room, and if the internet was fixable. I was given a rate of nearly twice what I'd paid via Hotwire to upgrade to a room that was 100 sq ft larger. Not worth it. I checked out 2 hours after checking in, and got a beautiful room elsewhere for the price that they were going to charge me to upgrade.	
Aug 26 2009 	A Great Place for Couples	My husband and I just took a trip to NYC to celebrate our 5th anniversary. He had never been to NYC, and I hadn't been there for 10 years, so our hotel choice was purely based on internet reviews. This hotel didn't disappoint. The lobby is spacious, modern, and beautifully appointed. The staff was pleasant and very accomodating. We got in early on the day we arrived and the staff member at the desk allowed us to check in 3 hrs prior to scheduled time with no questions asked. On our last day, we had a late flight out, and the staff allowed us to extend our checkout until 2pm at no cost!The rooms are smallish, but normal for NYC from what I've heard. The bathroom was beautiful with granite countertops, marble floor tiles, etc. Both the room and bathroom were immaculately clean. The hotel is also very quiet--we never heard a peep from neighboring rooms.The drinks in the minibar as well as the room service breakfast is ridiculously expensive (read: $10 + 20% surcharge + $5 delivery fee=$17 for a bowl of oatmeal). However, there is a Dunkin doughnuts 2 doors down that we frequented. My only regret about this hotel is it's location. The only main tourist site that is very close is the Empire State Bldg. In hindsight, I would have preferred to stay closer to Rockefeller Center, as that's were we spent a great deal of time. All in all, I really liked this hotel and would recommend it to anyone.	
Aug 21 2009 	An excellent hotel	An excellent hotel to stay in as it was located near all the main sights. There was a slight mistake about our booking but the problem was rectified very quickly. There was a also a place called Susie's nearby which served excellent breakfast!	
Aug 21 2009 	Bar closes early - how ridiculous is that?	Location near to Subway, great delis and Empire State Building is a bonus. The Concierge Staff are brilliant too.But what let the hotel down was the feeling that the clean sheets (daily) weren't always perfectly clean......but on the whole it wasn't bad.However, the one thing that really bugged me is that when you've been out all day and want to relax with the beer. You can't if the restaurant is quiet, the Bar Manager just closes the bar, despite us as hotel guests wanting to buy a drink. He wasn;t willing to serve us. A properly run bar will remain open until very late, so I had to leave the hotel and buy my beer (larger volume, lower price) from a deli nearby. Hotel staff weren't particularly concerned but I can't recommend this hotel on the basis you can't relax with a nice drink if the bar manager decides to close early (wrong person for the job)	
Aug 12 2009 	A Perfectly Decent Base for Business	Trying to take a short break in NYC, without breaking the bank is proving harder than ever - and with a party of 2 requiring clean and quiet rooms, with unlimited Wi-Fi included in the room rate - our options were very limited.As we needed to be in Midtown for meetings, the Carlton was in a good spot, just a short walk from the Empire State Building and Broadway, and came in as the best option for 4 nights under £500.The service element is a bit of a let down - nobody seemed to be on hand to help with luggage either on check-in or departure; and my room was missing a tv remote when I arrived.But to be honest, when travelling on business I don't expect the same 'luxury touches' as I would get on a personal holiday so am happy to get my own bag up to my room.The corridoors were a bit chaotic on my floor as they are being re-decorated - but I can't fault a premises who is working on improving the customer experience, that would be unfair.I can't comment on food as I didn't eat there, and my colleague visited the partnering gym and had no complaints.The toiletries were Molton Brown - good quality, although highly perfumed. If you have sensitive skin then use your own.Also the room has a decent hairdryer, which ladies will need to cope with the humidity!For a short break or business trip my crunch point is always - was the room clean to my exacting standards? Yes it was, spotless white bedding and towels, although the bedroom carpet could do with a shampoo.In terms of decor, it looks exactly as per other travellers' photos, so don't worry about unexpected surprises, it's just a little bit small - but in the Big Apple, you won't spend too much time in your room anyway!	
Aug 8 2009 	High on promise abyssmal on delivery	I stayed at The Carlton on Madison Avenue for about 10 nights in July 2009 whilst on a business trip to NY. My initial impressions based on what I had seen on the hotel's website were quite positive but it was a BIG let down when I actually landed at the hotel. To start with, the corridors were so narrow that it was quite an effort to get the luggage from the elevator in to the room, very claustrophobic. The room wasn't much to talk about, considering the amount I was paying per room night - $300+. The room did not have any glasses, let alone a bottle or jug of water. No kettles for hot water with tea / coffee satchets - things that I have come to expect after travelling extensively. No newspapers delivered to the room, contrary to what was promised or listed in the welcome kit. The room tariff was supposed to include bed + breakfast...and what a breakfast it was, three pieces of ice cold croissants that the waiter dumped on your table each morning. Surely the inmates at Guantanamo would be treated to a better fare. Concierge service - well, consider yourself lucky if you manage someone managing the desk when you wanted it the most !! On the whole a very disappointing experience and daylight robbery / rip - off for the money that they charged. Would I go there again - never in a lifetime. Why did I go there - didn't have a choice as it was the only hotel approved by my employer.	
Jul 27 2009 	Quiet and pleasant - in the heart of NYC	We stayed one week in July. Clean and well equipped rooms - one standard and one upgraded. Standard room a bit small. Walking distance to almost every &quot;must do&quot; for a NYC tourist. Good service altogether. Excellent doormen, with Stephen as our absolute favorite. His street smart advises were highly valued. Try the restaurant for a quiet dinner. The food holds gourmet standard and the wine list is a pleasant surprise. Breakfast, though, is low value for money. Go to Tasty deli and enjoy your morning meal in nearby Madison Park. If arriving by taxi, be very specific on the address. Some drivers will try to earn extra money by &quot;mistaking&quot; 88 on Madison for Madison and 88 - 60 streets away.	
Jul 23 2009 	Nice but a little small.	Stayed in the hotel for a 30th birthday trip. Very well presented hotel and the staff were very helpful and attentive. On the negative side we had a Queen room upgrade free through Expedia but the room was still small, and the bathroom very small (the door nearly hit the toilet!). The location is okay although the only near attraction is the Empire State Building, however a Subway station is nearby. There is a also a lack of bars in the immediate area. Overall it was a good place to stay, just nothing out of the ordinary.	
Jul 22 2009 	Comfortable stay but reception staff needs customer-service training	- Excellent value for money - were lucky to receive an upgrade to a Jr Suite style room (bedroom + living room). More than enough space for &quot;travel&quot; partners not sharing the same bed.- Bedroom negatives: could not seem to find glasses with/in the mini-bar. Limited cupboard storage and bathroom not up to the standard of the bedroom (small); personal: like the Molton Brown bathroom ameneties.- Service: Except the friendly and efficient concierge, as a former Hotel Sales Manager, I was pretty appalled by the terrible reception service. They simply did not seem to care. The check-out felt as if they were happy to see us leave. No smile and no sense whatsoever of customer-oriented attitude. It seems that I am not the only reviewer to point this out. Surprising for a hotel of this standard. Time for the Management to question their methods and carefully read their Richey Quality Standards reports (they will know what I am talking about)... and take action.- Restaurant/bar: efficient and friendly barman. Good selection of cocktails and spirits. Had breakfast on the first morning. Did not return. Waited 25mins for a continental bkfast + a grapefruit; I was the 2nd of the 2 clients in the restaurant...! Paid +$30 for 3 sad looking soggy rolls. Went to the local diner down the street and enjoyed it much more.	
Jul 16 2009 	Second stay as pleasant as first	I returned to the Carlton on Madison after several years, as prices have dropped to their original introductory level. The service remains excellent - the front desk gave me a nicer room when I didn't like the initial one, the manager volunteered to help with my in-room wifi access when I had trouble, the coffee was promptly delivered by room service in the morning, and there were robes and a reasonable range of TV channels. The corridors are quiet at night and the heat-air-conditioning works and produces white noise to drown out traffic. The restaurant food remains excellent, and in July it was participating in the citywide &quot;value lunch and dinner.&quot; At current recessionary prices, this hotel is a fabulous deal. Even at higher prices, this is a good choice for anyone wanting a very nice level of comfort and service in a neighborhood with amenities but also reasonably quiet nights. The only advice is that this hotel, like all midprice Manhattan hotels, has some tiny rooms facing brick walls, to be avoided if possible.	
Jul 10 2009 	Classy. Comfortable. Clean.	This is my second trip to New York and the Carlton on Madison simply made the trip memorable. It was a great value for the money to begin with. I read mixed reviews on here, but I was pleasantly surprised to find that The Madison really did deliver exceptional service. Despite what other reviewers claimed, I found the staff to be very friendly and helpful. Stephan, the floor manager suggested restaurants, helped us with our luggage and the concierge booked our shuttle bus for us! Our rooms were cleaned every day. The hotel itself was elegantly designed with classic finishing. Very classy. I noticed the elevators were programed to be always available at the lobby. Although, there were minor renovation underway in the stairway hall, it wasn't a bother to us. Another drawback was the air conditioning unit was somewhat noisy, but we slept through it. For what we paid, The Carlton is truly a gem on Madison Avenue. I will definitely stay here when I re-visit The Big Apple.	
