	Everything was wonderful except the size of the rooms.	If you are by yourself or staying with just one other person, this hotel is a great choice. My husband and I both said that we would absolutely stay here again..... as long as we were by ourselves. We stayed here for 2 nights over Thanksgiving with our 1 year old and 2 year old and the room was WAY too small for the 4 of us. The room we stayed in (611) was not much bigger than the Queen size bed that was in it. However, room size aside, the hotel was great. It is located very close to the Subway on the 6 line. The staff was very friendly and helpful. The lobby was nicely decorated with leather couches and fresh flowers and the attached restaraunt is very nice. They served a great breakfast with croissants, bagels, juice, yogurt, fruit, etc. And for the price, it was FABULOUS! We found a deal on the internet where we only paid $139/night. However, NYC kills you on taxes: $12.34/night State tax with $8.17/night city tax and a $3.50/night Occupancy tax.	
Jun 9 2009	It was OK for the price	Average hotel, small room, but clean and comfortable. Not in the smartest part of town, but it was pretty handy for public transport links (about 100 meters to the nearest subway). It wasn't too far to walk to Chelsea/Soho Lots of resturants/cafes/diners nearby. Decent breakfast. Staff were pretty friendly. For the room rate it wasn't bad. Rooms in NYC seem quite expensive/small. I consider the Park South to be reasonable value for money. I think I would book elsewhere next time, just to be in a better location.	
Jun 4 2009 	Come for the value and neighborhood stay for the jazz and breakfast	This was our second stay at the Park South, and it was every bit as great an experience as we remembered. I love the neighborhood, and it's an pleasant walk or short cab ride from the Penn Station area (we come up from DC on the Vamoose bus). I arrived around noon and expected to have to drop my bags with the bell desk, but they gave me a room right away, which I appreciated. The rooms are small (per usual NYC) and there's no view, but we don't tend to spend much time in the room, so the high-quality bedding, lovely olive oil-based toiletries and great shower are the key points for me. We've never had dinner at the Blue Duck restaurant (maybe next trip) but we always end up in the bar there for the fun jazz sets that run until midnight on the weekends - this past trip was a combo led by a charming Russian singer/horn player. The continental breakfast free to guests is the best bargain around, and it's a particularly pleasant way to start the day if the weather is good (as it was Memorial Day weekend) and you can snag one of the outdoor tables.	
Jun 2 2009 	A lot fo room (for improvement)	First of all: what they called &quot;superior&quot; rooms all face a brown brick wall. There is no view unless you get upgraded, which may or may not happen. The rooms are seedy, smelly, small and rather unconfortable. The TV set has bad signal. The location is OK. Nothing interesting around it, but close to other, more interesting areas. The people at reception might be friendly or not, depending on how they got up that morning. Same with butlers. There is a business center in the basement (3 old computers with Internet) but to get in you need to ask somebody to come down with you. If can get something else for the same money, I wouldn't recommend this Park South until they get a major overhaul both in infrastructure and staff attitude.	
May 18 2009 	Great Location average hotel	We stayed at this hotel because it was the cheapest that we could find, were we didnt have to share a bathroom. Our room was tiny, just enough space to put our luggage. The bathroom was ok, a small bath with shower and it was clean (just as the entire room). Breakfast was very simple, but it was ok, i didn't expect much of it. The receptie was kind and quick. The location was great! We walked to Times Square everyday in 30min - a great walk! The only thing that bothered me was that house keeping kept coming earlier, at some point the showed up before 9, we didnt even leave our bed yet! But this was easily helped with putting up the 'do not disturb' sign.Overall, it was a small room, average hotel, but great location!	
Apr 25 2009 	Get what you pay for.	We chose this hotel because of the price which was around $200 with fees and taxes. We supposedly had a &quot;superior Queen&quot; room, but I think superior = regular. The room was tiny, but after reading the reviews I expected that and it is NYC after all. What I liked alot about this hotel was that it must have been newly renovated so everything was clean and fresh. The quality of the room fixtures and bedding was excellent, and it was very tastefully decorated. We probably saved $200 a night be accepting a smaller lobby and room. Otherwise, it was top shelf. The Black Duck next door, which you access through the lobby, is great for a meeting place before going out, having a nightcap and they have a terrific free breakfast there. The coffee's great and the pasteries are fresh. If we were to stay there again, and we probably will, I will ask for a room in the front or on the right side of the building so we don't look out at a brick wall. Even if it costs a little more, the rates are still reasonable.	
Apr 23 2009 	Great location for visiting lower manhattan	The Park South is situated at 28th and Park, an easy walk to Greenwich Village. My wife, teenage daughter and I shared a Superior double room. The room was on the smaller side, but the beds were comfortable and the room was clean and quiet. The showerhead produced a deluge of hot water. We parked the car a couple blocks away on 26th and 2nd, and walked or cabbed our way around the city. We had a very good late dinner at Craftbar and had a pleasant walk back to the hotel.	
Apr 23 2009 	Ok	We stayed here for the last couple of nights of our NYC trip as we couldn't justify the money we were paying out for the New York palace for the full 5 nights (as beautiful as it was). When we walked through the door, it was such a come down! It was raining and the door-man could barely be bothered to open the door for us, let alone help us in or up to the room with the cases. Once we got our own cases to the room, we opened the door to find the smallest room I have ever seen, we looked out the window to see a brick wall and an alley, it was so bad it was funny. My fiance immediately went straight back down to reception and got us upgraded, luckily, as if I'd of had to stay in that room, laughter would have soon turned to tears! The next room was much better, had more of a view and was much larger, with a bigger tv. Breakfast in the mornings wasn't bad and if you get one of the larger rooms, it wouldn't be bad value for money.	
Apr 14 2009 	Nice hotel and good location but rooms are quite small	I realize it's NYC but we had a room with 2 doubles and there was just enough room to maneuver around the beds. No place to put your bags or luggage out of the way. You'll probably get more space with a one queen or king. The closet is half the height of a normal closet, just tall enough for dress shirts. And no shelf space to put your toilettries in the bathroom.Otherwise, the hotel is decently priced, very clean and in a very good location.	
Apr 1 2009 	New York Gem	My wife and I stayed there for 5 nights from 25th March. Got a rate which included breakfast of $120 per night plus tax, from Expedia. First impressions were good, nice front of hotel, friendly and quick check in and clean public areas. The room (320) was long and narrow, decent sized bathroom with good toiletries and plenty of clean towels. No view (so what, we were there to look around the city and not stare out of a window all day), the carpets were clean, but the ceiling had some water staining near the window, but for the price we paid we were still well satisfied. Beds were comfortable with nice clean sheets and 4 soft pillows. Breakfast was continental with a selection of 4 or 5 meats and various sliced cheeses, plus a selection of pastries, bread and also bagels. Try the deli next door for excellent bagels and sandwiches if you fancy a change. Overall we were very pleased and would definitely return as the location is excellent, with the subway just 50 metres away at the end of the street. We used the free internet access on a few occasions, so it was a welcome extra. There is a small gym/ work-out room but we did not use it. Contrary to some other reviews, all of the staff in the hotel were excellent, friendly went out of their way to help. All in all, a little gem.	
Mar 31 2009 	Clean and reasonably priced	I was in town to see a play and was swayed by other reviewers that this was a nice hotel. We had a double room which was really quite spacious for NYC and a flat screen TV. The hotel gave off a clean feel. We arrived at the hotel around 2:30 am and the gentleman at the front desk was extremely friendly and helpful in making sure we had everything we needed. It was the perfect place to lay our heads for the night.	
Mar 29 2009 	Modern comfort and cleanliness at the right price!	I booked this hotel for a very last minute weekend getaway to NYC and was pleasantly surprised with my choice. The location on 28th street between Park and Lexington Ave was nice. There is a subway station right on the corner of 28th and Park Ave serviced by the 6 train, which made getting around a breeze. The hotel itself was exceptionally clean. The rooms of course were a little on the small side, but that is to be expected in a major city. They were still comfortable enough and spacious enough for two people though. A nice perk was the complimentary breakfast at the hotel's restaurant, which is Zagat rated.	
Mar 29 2009 	Great value and location very small room.	Very convenient location. Small boutique-type hotel. Great rate (paid $189 for AAA rate which included free breakfast and internet). The room was tiny. Pictures online make it seem bigger. When you pull out the desk chair, it hits the bed. There is barely enough room to open a suitcase on the floor. The &quot;closet&quot; is more like a locker -- not even full length. For a solo traveler for a couple nights, this was not a bad inconvenience, but would not recommend for more than 1 person (unless you REALLY like them :) )NOTE: this is located in an area with many great Indian restaurants, including one right next door. The hotel hallway smelled like curry, and I imagine the rooms that face that direction would have that smell as well, at least with a window open. This was not a problem for me as I love Indian food. But if you are sensitive about those things, it's something to consider -- you might want to request a room on a lower floor to avoid the smell.	
Feb 17 2009 	Great price for great location!	I stayed at Park South Hotel for 3 nights at the end of June 2008 for a short stay in New York. I was given a superior queen, room 701.I was very pleased with the room. The bed was extremely comfortable and I had excellent sleep throughout my stay. The bathroom was clean and the towels fluffy and lovely. I found it a luxury to have a bathtub and the bathrobes were a nice touch.There was a safe in the room (built into the wardrobe) which I used a few times. I am not sure how secure it was but it seemed robust enough. At least I trusted it.A highlight of the hotel was the free internet access, which was invaluable to me as a way of contacting my family.Yes, the rooms are fairly small but given that this is New York, I think it was reasonable and I did not feel cramped at all. (admittedly, I was alone in this trip but I think even with a partner, it would not have been a problem, provided that one doesn't have loads of big suitcases)I especially liked the little touches in this hotel, the chocolates on my pillow each night, the really good bath products (Baronessa Cali goods that smell gorgeous) and the free newspaper delivered to my door each morning.Breakfast was tasty and there was a big selection of various food. Even fresh fruit was available (which I was craving after so many heavy meals during my stay!).All in all, I would thoroughly recommend this hotel. It's location is fantastic (within walking distance to the Empire State building and only steps away from the subway)! Also, I'd like to add that although I was a female travelling on my own, I never felt unsafe in the area.	
Feb 12 2009 	Good value for what you get	We stayed here the night of our honeymoon as it was the most reasonable price we could find in Manhattan for a hotel. We paid $209 for the night and booked via Quickbook. All the usual amenities were included, there were even robes provided. They had some really nice toilitries too. There was a safe provided in the room. Room was very small but what we expected for a central Manhattan hotel.Breakfast was a good choice, continential style, and included in the price. Would stay here again unless I found a better deal elsewhere!	
Dec 14 2008 	Once again Park South delivers	We have stayed at the Park South four or five weekends, and the hotel has never failed to deliver a clean, good room, good service, and a great atmosphere for a very reasonable New York price.Our most recent trip was just a quick overnight, but check-in was quick and easy. The hotel gave us a complimentary room upgrade and the room was fine.The international atmosphere provided by guests from all over the world simply adds to the ambiance.The Park South is a real find in a city with exorbitant hotel prices.	
Dec 13 2008 	A nice hotel that is also affordable	We stayed at Park South Hotel for a friend's hen weekend in NY (Easter 2008). We had had a hard time finding a hotel over the Easter weekend, and were relieved to find a three-bed room that was not expensive. We thought the affordable price would mean we would get less quality in the hotel's services, but we felt really lucky once we got to the hotel and realised it exceeded our expectations. It was clean and its beds were very comfortable. Our window overlooked the backyard, so it offered no view and the room was indeed small. There was barely room to open the suitcases of all three of us, so we had to take turns to open them and get our clothes. We were pleased that we opted for a bigger room instead of the even smaller cheaper ones (I can't even imagine how small they would be).The staff were very helpful and always answered our questions with a smile (on the night of our arrival, we asked them for a cup of camomile tea (no kettle in the room) for one of us that wasn't feeling very well and they brought it to our room in a few minutes.Breafast was a treat. We could fill ourselves up before starting a heavy day of sightseeing around NY, the buns and bagels were amazing, and the coffee was really good! The sitting area where breakfast is served is really pleasant, it is used as a restaurant in the evening. One evening, we were feeling really tired after all the day's walking and we decided to have dinner there. We were not at all disappointed! The food was beyond what we had expected and the nice atmosphere with the jazz music playing in the background was very relaxing...Overall, we were very pleased with Park South Hotel and it will be in our options	
Dec 8 2008	Wonderful stay	I stayed at this hotel for 15 nights with my 21 year old daughter. We found it to be a very pleasant and comfortable experience. We had a twin room on the top (8th floor) with a huge and comfy double bed each, plenty of room and ample storage space. There was even a partial view of the Chrysler Building and very little street noise because of the double glazing. We particularly loved the bathrobes, free internet, large flat-screen TV, two daily newspapers and - best of all - the chocolates on the pillow each night. The free breakfast was huge and included: bagels, all different types of bread, cold meats, cheeses, cereal, fruit, yoghurt, muffins, etc. The location was just perfect, with the no. 6 subway just metres away on the corner. There were lots of nearby restaurants and delis. The only complaint we had was with the unprofessional behaviour of some of the desk staff who were often laughing loudly amongst themselves and joking together and completely ignoring guests who were waiting at the desk. One particular female staff member was very rude and unhelpful when I asked about the possible loan of a voltage converter for an electrical appliance. Apart from that we had a wonderful stay!	
Dec 7 2008 	Horrible room and staff didn't care	We booked our room on priceline. It was listed everywhere for about $400, we did the name your price bid and got a room for $199. Unfortunately we felt like they gave us the worst room in the hotel. It was on the first floor located between the women's restroom (used by the restaurant and bar patrons) and the staff entrance to the kitchen) and it smelled like body odor and there were several hairs in the bed. Until about 2am we heard the bathroom toilets flushing, women talking in the bathroom, and heels clicking on the tile floor. We called the front desk and asked to switch rooms and they said they were full there was nothing they could do. The noise finally stopped around 2:15am when the bar and restaurant cleared out and no one was using the bathroom next to our room. Then at 6am the kitchen noise started. People were bringing trays of glasses on dollies into the back entrance of the kitchen that were clinking. Staff were taking breaks outside of the kitchen and talking right outside our room. So we slept from about 2:15am until 6am. When we mentioned this to staff upon check out, we were told they would &quot;look into it&quot; but wouldn't do anything else. We had a horrible experience there and will not be returning.	
Nov 19 2008	Terrible Service	My wife's parents flew in from Japan for a week. The last weekend, we booked a room here. We asked specifically for double beds. We called to confirm the week prior. They did not have the request down but assured us it wouldn't be a problem. We called the Friday before the weekend to confirm again. They again didn't have the request and therefore the room wasn't ready. Again they assured us they would have a double bed room available. Saturday night came, we had a full day in NYC, and of course, when we showed up, they didn't have a double bed room as requested. We saw the trainwreck coming but it was too far along to try to find another hotel.What's worse, the management took the tone of &quot;Oh well&quot; and didn't even reduce the rate or try to compensate us for our inconvenience. My wife's parents are comfortable in separate beds, didn't get them, and had to fly out to Tokyo the next day.Thanks, Park South. Epic fail and a loss of a potential customer.	
Nov 11 2008 	What a gem in the busy city!	I stayed here for business over a five day period and I was very comfortable. Although continental, the breakfasts are excellent. The hotel clearly caters to Europeans and other foreigners, and the service is excellent. I had the most amazing chicken dish at the hotel restaurant, which by the way, is worth every cent! I look forward to staying here again on my next trip.	
Nov 9 2008 	Clean and Compact!	Small but busy hotel. On one of the higher floors. Not much or a view from the window, but for the price the room was great.Having been to New York a few times we know you can pay silly money for absolute trash. This was not the case here. At $250 a night it was not hugely cheap, but any less than that in NYC and you will more often than not end up in a dive!Clean bedding and shower, which is VERY important. Nice flat screen in the room. Comfortable room and continental breakfast was complimentary which is very usefull to fill your stomach before hitting the shops!!In the ‘Indian Curry’ neighbourhood, so if you like Curry then there are many great places (restaurant or simple cafes) within walking distance.Great place to set up camp for a shopping trip in NYC!	
Sep 4 2008 	park south nightmare	big disappointment. We booked the room through jet blue. We asked for a non-smoking room. At the time of booking, we rcceived an email confirming that we had a non-smoking room. We arrived, only to find that we were next to the elevator in a smoking room. It reeked and when we complained, they sent up a spray can, sprayed the room and pronounced it non-smoking. The room still smelled. We asked for a non-smoking room. Their responses would have been comical if we hadn't been so uncomfortable. They first insisted it was a non-smoking room. When we pointed out that rooms across the hall had no smoking plaques in them, and were smoke free, they responded that we weren't entitled to a smoke-free room because we had booked thru expedia--except we hadn't gone thru expedia. When I showed the clerk the receipt, she said I got the room too cheaply and she wouldn't change our room. I had paid about 150.00 per night for two nights. The first night the elevator woke us every 15 minutes. The cigarette smell burned our nostrils. The next day we asked again to be changed and they repeated the same excuses. Directly after this exchange, I witnessed one of the desk clerks get into a physical altercation with another worker in their basement business center. We fled this hotel.	
Aug 31 2008 	A horrible experience	We booked a room but when we arrived at the hotel we were told that there room will not be available because of an unexpected illness of the person who should had been evacuate our room. We were sent to another hotel around the corner, that offered us a SINGLE ROOM instead of the SUPERIOR QUEEN we ordered. We had to go back to the Park South hotel and get into an argument so they can understand that this is NOT ACCEPTABLE. No apologies or compensation were offered. Only after a harsh argument, and another hour of waiting they finally found us a solution in a hotel a few blocks away. We were never been treated so miserably by a hotel. Don't go there!	
Aug 28 2008 	good find	good location,small rooms with bath.fridge,safe.clean,good staff.some noise from outside air con.New York hotels are expensive for what you get.	
Aug 19 2008 	Good tourist hotel	Rooms are small but okay for a few nights.Stay away from the rooms on the 1st floor as they are near the AC's and very noisy. Excellent continental breakfast and friendly and helpfull staff. Business centre has 3 pc's and good fast internet connection.Location is great; just a minute from the subway entrance.	
Aug 13 2008 	Highly recommend Park South Hotel	I just returned from 4 nights at the Park South Hotel and was very pleased with my stay. The staff was professional but friendly and always helpful. A continental breakfast was included, and it was wonderful with a wide variety of breakfast foods. An added bonus to the continental breakfast was that it was available until 11 a.m. every morning. The room was smallish, and my only criticism of it was that it was very poorly lit. There were only two lamps in the room, and they were not very bright. Of course we didn't spend too much time in the room so this was just an inconvenience, not a major complaint. Our room did not have a full size closet but rather a combination half size closet and chest of drawers, but this wasn't a problem for me. Someone who packs a lot of dresses or skirts may have found this more of an issue. The room was always made up, and all supplies and towels were replenished regularly. There is evening turn down service, including chocolate on the pillows.The hotel is conveniently located near the 6 subway and is easily accessible to anywhere you want to go. There is complimentary ethernet in the room, and there is also a business center with computers and printers available.All in all, Park South is definitely someplace that I will return to on future trips to NYC.	
Aug 3 2008 	Average hotel	My daughter and I stayed here for 3 nights in early July. Check-in was fine. However, our room on the 1st floor was right next to some of the hotel's air conditioning machines and was very noisy. The first night we were so jet lagged we slept but did ask if we could be moved for our two remaining nights. This was taken care of with no fuss. Our bags were moved for us and we came back to a quieter room on a higher floor. The rooms are very small with little or no wardrobe/storage space. Ok for us as we were only there 3 days but problem if you're planning longer. Bathrooms were fine although I agree with another reviewer, there was nowhere to layout makeup/toiletries but I'm used to that. I think all hotel bathrooms are designed for men and by men! Breakfast was included in the price, however, it was not very exciting - simply a fuel stop! and the coffee was particularly awful. We found the reception staff friendly and helpful for most part, although sometimes there was a wait. Although the hotel has wi-fi access, we didn't have a laptop with us but wanted to get online. We asked about local internet cafes and were told we could use the hotel's own business centre free of charge which was very handy. All in all a perfectly average hotel. First time in New York, so I'm sure there are better (and more expensive!) hotels, but for a reasonably convenient location, this was fine.	
Jul 29 2008 	Nice quaint hotel	We only stayed at Park South for two nights, but it was very nice. The rooms are decent, and big (as compared to other NYC rooms) ... bathroom kinda reminded me of a one-person bathroom at a restaurant, but was clean and neat. Complimentary breakfast was a nice plus too. Location is great, very close to the E. 28th St. subway.	
Jul 9 2008 	I loved it	I loved the Park South. I stayed here for three nights and even though I had booked my room for 189$ for the first night and 269$ for the two following nights, they gave me the cheaper rate for all three nights (incl. breakfast). On my last day, I asked them to please order a taxi for me to bring me to the airport in the evening - and upon returning to the hotel, they had actually booked a small limo for me for 50$ flat to JFK. Very nice. Admittedly, the rooms are a bit small. I don't need much, though, as I don't spend much time at the hotel anyway. The rooms are very clean and well furbished, with flat-screen TV. There's little storage room, but as I was travelling by myself, that didn't cause any problem at all. The room was quiet and the location is just perfect. It's only a few steps to subway station (green line), between Lex and Park is great anyway and it's also a very good starting point for a stroll around the Village and Soho. There's a Duane Reade and a Starbucks literally around the corner and there are several restaurants and shops nearby.I will definitely return to this hotel next time I'm in New York.	
