	Great Hotel	This hotel is a great find considering it is in Manhattan, if you love Broadway and that is part of your reason for coming to NYC, stay here. Its very close to the broadway theatres (Especially the Gershwin, where &quot;Wicked&quot; plays..one block away). The rooms are very small and are great if you are traveling alone or with your spouse. I would NOT recommend this hotel if you have children with you as most of the rooms are single twin beds or double twin beds. Other than that, the rate was great and although the hotel does have a restaurant, I found it too expensive and there are cheaper places to eat, you just need to walk around and explore until you find something that appeals to you.	
Sep 11 2009 	dont ever stay here - mice in the hallway	the worst hotel I´we ever been staying at. The room were so small that we couldn´t even open our suitcase or hang our clothes. When we complained, they could´t care less. booked through priceline.com, and just because you put a flat screen tv in the room, dosen´t make it bigger. I will never use priceline again because of this. There were mice running around the hallway, and when we told the concierge they didn´t bother.	
Aug 25 2009 	Great location great staff great price great find!	The staff was very friendly, accommodating and helpful. Our room was spacious and the bathroom was modern - all very clean and wonderful. It was a nice sanctuary as we explored New York City. the location is ideal, so close to Times Square, yet just far enough away that it's a little bit quieter, but not scary to walk home to at night.My husband and I were traveling with my mother - we were having a hard time finding an affordable room with two double beds near Times Square, so we were delighted to find two queen beds for $165 a night. We feared the room might be too small, based on previous posts, but we were really pleased with the space!The best thing about the stay was the location. We were just a little disappointed that the Japanese restaurant below had limited hours.	
Aug 11 2009 	Pleasant stay in an unassuming but deliciously located hotel	The hotel itself is fairly unassuming, occupying a large building well integrated into the surrounding neighbourhood, which is leafy and bustling at dinner-time. The lobby is simple but elegant, even if a bit dated. The door-man was pleasant and engaged us in friendly banter as the front person checked us in. Our room was on the third floor, overlooking the interior courtyard. The room itself was fairly spacious (read: there's room for a wall mounted tv, a desk, two night stands and walking room around the bed) for New York and the bathroom was recently upgraded. A classic sushi restaurant, Shimizu, is located within the base of the hotel and thought we didn't try it, it appeared popular with hotel guests, locals and staff's friends who gathered before closing time. The hotel is well located (only about 15 minutes walk from Columbus Circle Subway Station, among others) and within walking distance from Port Authority. Nearby are plenty of restaurants, including the delicious Braai, serving South African barbecue-style dishes and others in restaurant row, located just to the south. There's even a gourmet delicatessen and several delicious bagel shops on 9th Avenue between 52nd and 58th. Would stay again!	
Aug 10 2009 	Great Location Great Staff Great all round	I travelled with one friend and we shared a standard room it was small, however we fit fine and it was clean and had everything we needed- 3 of our other friends stayed in a double room with 2 double beds, it was quite large and they fit comfortably. The staff were great and always helpful. London the bellboy was always cheerful and helpful with suggesting places to go and giving directions. Ivan the Manager was excellent and lovely. I would recommend this to anyone and will stay again.	
Jul 31 2009 	Rooms are not made for humans--Maybe rats.	The room was so small and depressing that I started crying when I saw it. There was no room to even open my luggage in the floor I had to put the dirty suitcase in top of the bed. The jail cell window looked to a wonderfully horrible ally. I dont recomend this hotel to anyone, stay somewhere else.	
Jul 23 2009 	Great Location Nice Room Great Service	We took the Subway from Penn Station. The stop was one block form the hotel. We were pleasantly surprised that the hotel seemed to be on a “quiet” street. There were plenty of places to eat nearby. We were a little disappointed that the restaurant in the hotel was Japanese since that is not our favorite type of food. The front desk person was very friendly and our room was ready before 3:00 check-in. The bell hop brought our bags to our room for us. The elevator is small but handled the three of us and our bags. The room was small but the bed was comfortable. The air conditioner was loud but I suppose it blocked out other noises. The bathroom was small with a very small sink (too small for the room size). The hotel was in an excellent location, convenient to the theaters and Times Square. We were disappointed that the hotel did not serve coffee in the morning. We found a little store around the corner that served a breakfast sandwich and coffee for $4.00. Also, the pub down the street served an excellent variety of beer. Checkout was fast and convenient with no hidden charges. We will come back in the future!	
Jul 3 2009 	All you need..but nothing more	I was pleasantly surprised by the value of the hotel, it was clean and everything i needed was there including a TV and free wireless. My room, with a single bed was tiny - about 5 ft wide and 6 feet long including the bathroom. the bed fit wall to wall and the air conditioning was loud at the foot of the bed. My room was right by the elevator and there was so much noise - the front desk wouldn't change my room after 9am because they couldn't sell it again. free printing for files sent to the front desk.	
Jul 1 2009 	Fabulous Find	We had two rooms: one with 2 queen beds and one with 2 twins. Clean, quiet and comfortable. Staff was friendly and ready to assist in any way.	
Jun 21 2009	Yes rooms are tiny but I'd stay again for sure with better earplugs!	Stayed one night this month at the WJ with my teen daughter. Got $139 rate from Hotwire (beat that for Theatre District!). Knew from other reviews that the room would be tiny - the sink was like a camper sink! Had to move the faucet out of the way to wash my face. Had a 2nd floor streetside room, knew it might be noisy but had earplugs and my daughter sleeps with her Ipod anyway. And it was noisy! Next time (and I would go back) I'll try to get a room on a higher floor, but not sure if that would've made that much difference. On the plus side, the location was PERFECT, a 10 minute walk to our Broadway show, I felt very safe, and the place was very clean. Nice towels and linens. And we got take out Italian from Maria Pia across the street, which was very good.	
Jun 19 2009 	Satisfaction all depends on the room you get!	Other than a HORRIBLE first night stay, this place was a great stay. At check-in, they made us wait a bit because they said our room &quot;wasn't ready yet&quot; even though we were well past check-in time. Waiting was no big deal, but then another guest came down and turned in his room key and they gave him a new room key. They then immediately called us up and gave us this guest's old room key. I should have known then, someone had already complained about it! The room was literally the size of our bedroom closet at home. There was one full size bed and an tall chest of drawers with the tv way on top, nothing else would fit. The room was so small that the bed was pushed up against the wall on the right side and there was only a tiny space to walk around the left side. There was no place to put our 2 carryon size suitcases and we had to keep them on the bed at the foot while we slept. The size was not even the bad part. The heat was on terribly high so I asked them to come and lower it. When they came up they said they were going to turn it off. When we went to bed that night it was still hot and the heater made a knocking sound all night. It was like a hammer hitting the heater all night and I could not sleep. The good news is the next morning I immediately went to complain and have them cancel the rest of the stay as there was a good looking Hilton across the street, and before I could, they said they would move us to another room immediately. The second room was perfect. Bigger in size, comfortable, normal temperature and quiet! The second room made all the positive reviews on this site make sense. The staff was friendly and I'm glad they moved us immediately. And the location was awesome! Only a couple of blocks from Times Square and surrounded by cute places to eat.	
Jun 1 2009 	Excellent value for money.	As said before The Washington Jefferson Hotel is perfectly situated for a visit to New York City. Especially if it's your first time. You could easily walk to all the main sites from the hotel, but I would recommend buying a Metro Card and using the subway and bus services available. Yes you will get on the wrong subway line or bus (I won't tell you how many times I did that!) and end up wondering where the hell you are, but that's half the fun. And it really is the best way to 'discover' New York.OK, back to the hotel. Yes the rooms are small, but they're clean and they're comfortable. There was a tiny wardrobe (which also contains a safety deposit box) and a dressing table. So not much in the way of storage, but it was adequate for a brief stay and light packer.The bathroom was tiny, but the shower was good. A word of warning though, once sat on 'The Throne' your face is literally an inch from the wash basin. Which is not good, especially after downing one or two Vimto's!We had one of the rooms at the back of the hotel, which had no natural light. And to be honest, the lighting (two lamps) in the room wasn't enough to compensate for the lack of daylight. But on a positive note, the room was quiet, so we decided to stay put.I would stay at this hotel again, and I would recommend it to a friend. But I would ask for a room with more daylight.**WARNING** In every restaurant they add the tip to your bill! They don't tell you and they still expect a tip on top! I found this practice rather annoying and underhand. I know the US has a strong tipping culture, but isn't a tip meant to be discretionary and a reward for good customer service? With the exception of a couple of restaurants, good customer service was scarce.	
May 28 2009 	Great hotel for first timers	The hotel was very clean and the location was fabolous. Within minutes of times square, rock a fella and empire state building it was well worth staying at. The hotel was nothing special and our first room which was at the back had very poor lighting. staff were very friendly and accomdating and moved us to a room facing the front however because of its location if you are a light sleeper be warned. It can get very noisey because the hotel is just off the main street off 8th Ave. Overall well worth staying for the first time to New York however personally now i've done the tourist things i would stay in the financial district. Its reasonably priced and clean and all the facilities are really good near by. Don't eat at Linda's Cafe not far from there go to the Cosmic Diner instead much much better food and better priced.	
May 21 2009 	Great location very friendly staff basic but clean.	I recently stayed at the Washington Jefferson Hotel New York. The Hotel is in a fantastic location you are 5 mins walk from Times Square and right beside all the theatres and although basic, it is very clean and the staff are very friendly. I also felt very safe walking around that area. I actually found the hotel through Trip advisor and had prepared myself for the rooms to be tiny as this was one of the criticisms people had, but I was pleasantly surprised, we had the double Queen room and I found it was fine, not sure if we were just lucky with the room, but there were 3 adults sharing and although it wasn’t a castle the room was comfortable enough. All in all I would say great value for money.	
May 9 2009 	Great for the money!	For the location and price, this place is great. It's located right near the theater district and there are lots of little restaurants nearby. The rooms are basic - and pretty tiny - there's hardly any space between the walls and the bed, but it's clean and comfortable. The hotel staff is very friendly and I felt safe walking back to the hotel even at night after a show. Overall, it's a great deal.	
Apr 15 2009	Clean local convenient - great location and value for money	My daughter and I visited NYC for my daughters 21st birthday present. The WJ is in a great location, close to Times Square without the hustle and buslte of the square disturbing our sleep. The rooms are tiny - however they are very clean, the maid service is excellent. Towels and sheets are changed on request. We did not eat in the Hotel, though it always looked busy. The satff were helpful and friendly. The location is great for moving around NYC, handy for subway and there are always Taxis around. We walked up town to central park and down to lower mid town to Macey's, We took the subway to Soho. I was concerned about safety when walking and using the subway but we were fine, we felt very safe. Our stay was very enjoyable and we would stay here again	
Apr 3 2009 	Great Hidden Gem	I stayed at this hotel 4 nights in March and what a 4 nights they were. This hotel is located just off broadway/times sq (not even 2min walk). I was out every night and always felt safe walking to and from the hotel. Room was clean and crisp, fresh towels every day, exactly the right size for myself and the length of stay (I went for the single). Staff were.. ok... any conversation was started by me, including the morning &quot;hello&quot;. I was not shown to my room but told where it was. Other than that I can't fault the place!-----Tips-----Cosmic Diner on 52nd and 8th ave. - Great place for any meal, frendly staff, good price and GREAT meals.REMEMBER - I was charged $50 per night for a security deposit for the room, budget that in!!!Landing at Newark - Get the bus to port authority on 41st &amp; 8th, $15 one way and 5-10min walk to hotel... beats $60+ for a taxi!!	
Mar 19 2009 	Lovely Time.	Great Location. Like a block and a half from times square and under a $10 cab ride from Penn Station.We ended up seeing a broadway show and it was like three blocks from the hotel.Me and my boyfriend decided on taking a quick trip to New York City. I booked the hotel the night before for a cheep (for NYC) $100 a night. We arrived at 9am and the checkin was at 3pm. The front desk held our luggage for use and at about 1pm called me on my cell phone to let me know my room was ready early. The room was rather small but very nice and had a very comfy down bed. The gentleman at the front desk gave us lots of directions and suggestions on places and ways to get there in the city. When returning later in the early evening the gentlemen who took our bags to our room asked us what we were thinking about for dinner. And when we said we wanted fish he volenteered to get us a few names of places that where good in the area. He returned with a paper with some nice places as well as phone numbers, what is good to get there, and directions from the hotel. I was impressed. All in all, I was impressed with the customer service! I would stay there again in a heartbeat!	
Mar 12 2009 	A gret location and service	I had a rough time when I was trying to book a hotel for my vacation with my wife to NYC. Most of the hotels were expensive and it was hard to choose where to stay. The WJ Hotel was conveniently located close to Broadway (one block); Times Square (9 blocks) and Subway stations (had three ones close-by). We got there at 3 am since our flight got delayed so we ended up in a non-street facing room which turned out to be very tiny with very poor floor plan. However, the next day the receptionist changed us to a street-facing room and it was tremendously larger and easily to walk around (bear in mind that all of NYC hotels have small rooms compared to other places). Everything was very clean and the staff was very friendly and helpful. I will definitely stay there on my next visit to NYC.	
Feb 19 2009 	we got a great deal at a fancy NYC hotel	Great deal for $135 and my son got his for $100. I can see how it would be noisy, but we had a corner room. Rooms are small but clean and nice hard bed.	
Feb 16 2009 	Clean - but matchbox sized room with hobbit sized wardrobe!	Well let's start with the positive. The hotel is in a great location, just off Times Square in the heart of the Theatre District and I've got to say that unlike others, I found the staff very pleasant and helpful, for example a French lady was checking into the hotel at the same time as us who informed the reception staff she didn't have any dollars on her person so would struggle to pay the cab! Whilst myself and my boyfriend looked at each other in amusement, the porter offered to pay for the cab out of his own pocket and the lady could repay him later. Very trusting and kind I thought! Also there is a great little restaurant over the road that looks tacky (it has bright yellow signs outside) but gets very full with locals who obviously know it to be great inside.With regards to the room, the bathroom is very modern and there is a nice flat screen TV and ipod docking station in the room, however these little touches do not detract from the fact it is absolutely tiny and hardly big enough to move - and I am only 5&quot;3! I was staying at the hotel for my friend's wedding and my dress didn't even fit into the wardrobe which is literally hip height and pointless for that reason! There is nowhere to put your suitcase and only inches of free floor space. My boyfriend had to sit on the bed (which by the way were 2 twins despite us booking a double) in order that I could negotiate my way around the room! There was no way we could have both got ready in the room at once.I have stayed in NYC hotels before so I do know that most rooms are small-ish but I am not kidding when I say this one takes the biscuit. OK it is only a base and it was clean, but seriously, it would have been nice to have somewhere to hang my clothes! We paid £500 each for 4 nights because of the time of year my friend chose to get married, and although it was nice to see NYC at Christmas, I think I would chose to visit again at a different time of the year and spend my money on a better class of hotel!	
Feb 6 2009 	Shoebox size room unfriendly staff and bed bugs!	We arrived in style to the Washington Jefferson hotel in a Limo feeling like VIPS, but when we got into the hotel reception it was a different story.On booking in they informed us they would need a credit card to hold $250 on if we watched any movies etc, luckily my boyfriend had one (which i don't). They should of informed us of this before, because if neither of us didn't have a credit card we could'nt have afforded the cash.Once in the room i though it seemed ok as we would'nt be spending long in there. The bed was very comfy but we had minimal space between the bed an the wall, it was like been in a shoebox. The bathroom was too small barely had space to move.My mum and sister both stayed there too with their partners, they complained of some form of bed bugs in the bed as they could'nt stop itching.The only plus in the rooms was the wide screen TV, which i suppose they had to compensate for because the size of the room.The temperature in the room was ridiclous, we were nearly passing out the last day, and had to pack our case in our underwaer.The lift broke down one day and they where in no rush to fix it, the hotel staff paid the same attention to the lift as they did to us, not interested. We never got asked how our holiday was going or anything.I would definitely go back to NY in the summertime but would definitely not go back to this hotel. It would be too overbearing in the summer heat, would pass out in the shoebox, and they would most probably have the heating on. as the hotel staff are in a world of their own.	
Jan 17 2009	Great location	We arrived in NYC on a Tues. afternoon. Arrived at hotel around 2pm, and our room was available to check in. I had previously informed the hotel that we were celebrating our anniversary, and upon entrance to the junior suite, found a bottle of wine awaiting us. The queen size bed was comfortable, as was the temp in the room. Bathroom was roomy enough with plenty of hot water pressure in the shower. Our room was located on the ground floor with two windows in the bedroom and one in the bathroom. The staff was very pleasant and accomodating. We'll definately stay again!	
Jan 16 2009	Great .. will definately stay again	WJ is an excellent hotel for budget travellers. Its in a superb location.. agree it is a little noisy, but hey, its NYC! If its peace and quiet you want, you're in the wrong city! Just use ear plugs at night and you're fine. WJ has everything you want for a great stay in Manhattan.. *very* comfortable **huge** bed (we had Deluxe room - 387). Nice, warm bathroom with very powerful shower and gorgeous, thick, white towels. Staff very friendly, welcoming and polite.We had a great time at this hotel and will definately stay there again.	
Jan 11 2009 	Nice but tiny and noisy	We visited in the beginning of Dec. which is peak tourist time. This was my fourth trip to NYC in 4 years and by far the tiniest room with the highest price. The first room (Room 101) was the the size of a walk in closet and near the elevator and delivery area. What I did not know was that hotels receive deliveries in the middle of night so we were constantly awakened with the constant noise and delivery and hotel staff talking right outside our room. After two nights we requested a different room and this was honored. We were moved to an even smaller room (!), but quieter on the 5th floor. Overall the rooms were very clean, but without closets and no room to put your luggage. Staff was very polite and accomodating, especially the bellman London.We paid $249/night on Hotwire. Hotwire rated it as 3 star, but AAA only gives it 2 stars. Rooms are very high during this time of year with people sightseeing, shopping, see the Rockettes show, Rockefeller Christmas tree, etc. I would not visit NYC again at this time of year due to the high costs. I would stay at the WJ again, but only at a much lower price.	
Jan 7 2009 	Will definitely return!	As others have said, the room was small, the room was warm (but the windows open easily so no big deal), but it was very clean, comfortable, in a safe area with lots of great restaurants around. I don't stay in luxury hotels because I don't spend any time in the room, but if you're looking for a luxury hotel, stay elsewhere. If you're a Rick Steves type of traveler, you'll love this hotel. The staff were all very nice and helpful. Great South African restaurant right across the street (best chicken soup I've ever eaten!) and great Afghan food a few blocks away on 9th. We paid approx. $200/night so it was well worth the money.	
Jan 2 2009 	We thought it was great	Overall, the hotel is nice, newly renovated, staff friendly and well located. Why not a 5 star (?)...the rooms are really small. Upon arrival, we requested an upgrade for an addt'l $30 a night. For the length of our stay (1 week), the room was entirely too small to function. The junior suite was, however, a normal sized room...and the bathroom was a huge step up from the standard room (I felt like I was in an RV!)...the shower head is to die for - very powerful...a perfect way to end a very long day. The location is great - 4 blocks from Time Square. Starbucks &amp; McD's 2 blocks over. WJ is close enough to major attractions, but far enough that you don't hear the traffic. We discovered &quot;Cosmic Diner&quot;....it delivers to your room 24/7 and the food is decent and fairly priced; 2 sandwiches, side of fries, 2 sodas &amp; dessert for $30. Be weary of House of Brews next door...not so cheap; 2 burgers with fries $35. There are no vending machines or bottled water in the hotel and you must ask staff for ice. My husband, gives it a 'thumbs up'.	
Dec 30 2008 	Excellent choice	This hotel was great. The staff friendly and helpful. The room was small, but comfortable. Bathroom was roomy. Great location in NYC, close to everything. Fantastic Italian restaurant directly across the street. I will make this hotel my first choice on any future visit to NYC.	
Dec 20 2008 	Service makes up for minor issues	We left our visit entirely impressed. Yes, the room is small, but this is NYC. Yes it was not cheap, but it was cheaper than most in NYC and very conveniently located. The room though small was very comfortable, the bed was decent, the bathroom was nice, a fresh rose in the room. What made our stay special was the service from not just 1-2 of the staff, but every single person we encountered was just so kind and beyond helpful. We got great advice on where to eat, great directions. I don't mean your standard restaurant suggestion, but literally hotel staff researching online, and coming to our room with phone numbers to several restaurants, offering to make reservations. This is not the type of hotel that has a concierge, this is the bell and desk staff genuinely helping. They do have a restaurant attached, separate owners, but possible to get a drink in the hotel, and next door a sports bar. Overall the rooms were warm. We questioned (not complained) and they brought us an air conditioner. We found cracking the window 2 inches did the trick. The bath was nice but not enough places to put our stuff, a little difficult to maneuver around, a cabinet instead of a closet-- typical small room like a European room. We were not in our room long enough to worry about it, and the price was right, so we would stay here again. I felt the service here was on par with a higher end higher priced hotel, with bell service, hailing us cabs, greeting us every time we left or returned. Kudos to London the bell boy, he was a great host.	
Dec 9 2008 	Very nice hotel!	This hotel is an excellent value for the Times Square neighborhood. For 2 people spending 2-3 nights, this hotel is more than sufficient. Yes, the rooms are small....but CLEAN and nicely decorated. The elevator is older but the marble floors, nice lobby furniture and friendly staff make up for the tiny rooms. Our internet wasn't &quot;high speed&quot; every time but hey, it was free.The heat was an issue, but every hotel in Manahattan is stuffy and warm if you ask me. The window opened easily, so we were able to adjust. There's a nice deli on the corner of 8th and 51st, they even remembered how I took my coffee on the 2nd day!Irish bar nextdoor serves good brews from all over and decent food as well. All in all it was a very surprisingly nice &quot;boutique&quot; style hotel.	
Dec 9 2008 	Great Location 	We just spent the weekend (Sat and Sun) in NYC for some Christmas shopping, the Van Gogh exhibit at MoMA, and the city nightlife. We ended up at the Washington Jefferson through Hotwire for less than $450 (inc taxes/fees) for both nights. It was a great location and a good value for the money we paid. If I had paid $450 a night (like another reviewer), my overall rating would be lower and would be based on value for the dollars paid.The hotel lobby is updated in marble and sports a modern look. Elevator is small, and stairs are also available. The staff was very polite and helpful. They stored our luggage as we arrived before noon. And they also arranged for a car to the airport early Mon morning. Very friendly.The room (385) was small, but that was expected. The bed was very comfy with a down comforter and excellent sheets. There was only 3-4 feet either side of the bed, and an open radiator on the window-side. I would not recommended for families because of these points, but great for on-the-go couple or girls weekend. There is a small desk and chair, as well as a small wardrobe (inc. safe and iron).The noise level was ok. Some late night traffic and the early morning garbage and delivery stops. You will get this anywhere in the city and was not out of the norm. The bathroom is updated in marble. It is tiny, a one-room affair. But, it has all you need. Great fluffy Frette towels, quality toiletries, and a phone!There is no coffee in the room or the lobby. The early morning caffeine fiend will need to run to the corner diner for the coffee jolt. There is a sushi restaurant next door, and several bistros / bars on the same street, and you have all of the city to find your perfect food!The location is super. Right near the heart of the city for theater, concerts, shopping, museums, and sight seeing. We walked everywhere we wanted to go -- maybe that's why we slept so well!I would definitely return to the WJ and recommend to friends at the price point we paid. It was a pleasant surprise and a great weekend getaway for us!	
Dec 8 2008 	Horrible Hotel Experience...actually one of the Worst!	We were really looking forward to a long weekend getaway...and just to be very honest, this hotel took some of the happiness out of this trip. We thought at $420. a night, we would at least get a room large enough to put our luggage in or even to store it...no, there was no room, could not regulate the heat (we literally burned up). The heat is the old steam heaters and could not be turned off....we left out for the evening, thought it was off, and came back to find my luggage so hot that it could have burned up(it was sitting NEAR, not next to the heater). The mattress was sooo hard, we stayed up off and on all night. Trying to make the best of a horrible stay, we asked to be moved to another room with more room,asking for just a queen size bed...same thing, except we were able to turn the heat off, but then we froze! It was 29' at night, and 40' in day....snowing on Saturday night. The shower/water pressure was great, but the shower was soo small and the head was so high up, our heads got drenched, but couldn't really bathe the rest of our body. AND...included in all this, there are no soda/bottled water machines, no complimentary coffee, no coffee to even purchase. Literally ,if you want anything to drink, you walk a block...whether it be morning, night, or in the middle of thenight. Personally, the hotel web site makes it out to be much more than it is...we travel a lot each year and many times to Bermuda, Europe, etc. This hotel was one of our most disappointing ones ever. We will NEVER stay here again, and have learned a big lesson in acquiring info and reading reviews on hotels. We usually do, but just didn't take the time on this one! Never again!	
Nov 12 2008 	Not cheap - but not bad	Stayed her for four nights in early October 2008. Like many was a little concerned by reviews citing small rooms etc. The Not So Good... Room IS small by US standards but good for NYC. Bathroom also small (but this allowed my wife to stay in bed longer while I got dressed!) Window mounted aircon unit a little unpredictable and view uninspiring (onto an internal courtyard). Location is a little scary at night. But... The Good... Hotel staff very friendly and helpful (as was all the New Yorkers we met). Big bed (by our standards) Flat screen TV. Good cross-section of guests - airline staff, business people etc. The scaryness of the location is more in your head than in reality - provided you take the normal sensible precautions that most people do. Location is great - short walk to Times Square etc and spoilt for choice with eateries on 9th Avenue. Take the opportunity to talk to the locals and see how really friendly they are - after all you are not going to stay in your room all day are you?! Hotel rooms in NYC ARE expensive (we had a higher class room at Dupont Circle in DC later in our trip for less than we payed in NYC) but the WJ provides a good, clean safe base for a short trip. I wasn't looking forward to staying in New York and saw it as a necessary evil before moving on to Washington DC. But my wife and I are already making plans to return in two years time and will probably stay again at the WJ or similar - the Waldorf Astoria being a little out of our league!PS:The lift/elevator - everything you've read is true! We walked down at all times!	
Oct 13 2008 	AMAZING	I stayed at the Washington Jeff. for 3 nights. Great rates, great location (3 blocks from Times Square, 5 block away from MOMA, surrounded by great restaurants), recently renovated, they have free wireless in the rooms. It was a very very pleasant surprise.	
Oct 13 2008 	Solid choice in Midtown Manhattan if the price is right..	Well, as has been pointed out elsewhere, the rooms are small. Quite small. However, that's a fault you'll find in most mid-range hotels in NYC so I won't mark it down on that alone.Now that's out of the way, the WJ isn't a bad hotel. The rooms were clean and comfortable, the staff were friendly and the location us unbeatable. The subway is around the corner, opening up NYC while the local area has tons of restaurants to choose for, along with being a short walk to Times Sq, Columbus Circle, Port Authority Bus station etc. As such, if you're looking for a nice, central location and reasonable comfort (if not space) and you can get this hotel at a reasonable price, I certainly wouldn't pass it up. My room had a nice walk in shower that was roomy and powerful - something I do like in a hotel!Two negatives - small slow lifts (an old building, so not all that surprising) and the free wifi is very unreliable (great to have it, but not so great when the connection drops every minutes!).If the price was right, I'd stay again however.	
Sep 1 2008 	Great location safe for single moms with children	I recently stayed at the WJ hotel and was pleasantly surpirsed.I was nervous after reading the other reviews online, but everyones perception is different. I have nothing but Great things to say about the hotel, staff, room, location and overall experience of NYC. I took my 8 yr. old son to the Yankees and Giants game and even took in a show ( The Lion King, GREAT). I was nervous with being there with a small child and getting around town.. Everything was in walking distance and I have only the best to say about the hotel and the staff. I will recommend this hotel to all my friends and will difinetly stay there again...........Thanks WJ hotel for making out trip to NYC the best........	
