	Great location great service and comfort at the best quality/price!	This hotel is a gem. If you like smaller hotels with attentive service, this is the place! The whole staff is very nice, polite , smiling at all times, from front desk to housekeepers, breakfst staff etc. Breakfast is included and is very good, including good coffee. Rooms are clean but a bit small.But who cares, we are in NY to visit and shop, not to stay in the room! The location is perfect, litterally 2 blocks from Penn station, Macy's, Empire State building etc. We even walked all the way to Times Square, Broadway and Central park (need time for that however!) I will go back and recommend it anytime! The price makes it even more attractive : app. 250$US for room with 2 double bed) .	
Sep 9 2009 	Great location in mid-town excellent hotel value	Found this highly rated hotel through trip advisor and booked several months in advance to take advantage of special. The location was excellent, short walk to shopping (Macy's around the corner) Times Square and Hell's Kitchen restaurants.Easy access to Penn Station with direct connecting trains to EWR Newark AirportExtensive breakfast included for three of us.Highly recommend the hotel	
Sep 8 2009 	??? Was I in same hotel at all???	Having just read andrews post i really had to question had i been in the same hotel. I stayed at the Wingate last october and loved it so much we are travelling back there next month on October 9th for 5 nights. The hotel is lovely.. the staff are so helpful.. the location was perfect for us as we spend a LOT of our time in Macy's. You get a complimentary breakfast, great to set you up for a days shopping. There are 4 of us sharing a double double room and we had plenty of room (would of had loads more if we hadn't bought half of new york). Can't wait to return to NY and stay at the Wingate.	
Aug 31 2009	the rat motel	the motel was awful, holes in the walls rats everywhere I DO NOT recommend	
Aug 23 2009 	Wonderful Experience	Can not imagine staying anywhere else. The staff was so courteous, helpful and friendly. The room, location and overall service was excellent. Not one complaint.	
Aug 20 2009 	Family fun in New York City	We recently stayed at the Wingate August 11 12 13, 2009. It was during our family visit to NYC. The staff were friendly, professional, knowledgeable and seemed always ready to help. Room was very nice and clean. Microwave and fridge in the room were very handy. The breakfasts were awesome and the morning staff always greeted us with a good morning and have a nice day. Makes the vacation that much nicer. We were able to communicate electronically via the 2 pcs located on the 2nd floor. Very nice ambiance. We thoroughly enjoyed our stay in NYC and would gladly recommend this hotel. MLOttawa, Canada	
Jul 30 2009 	Great service great rooms	We stayed with a group of 9 people, ranging from 3yrs old to 57yrs old. We booked through hotels.com the same day and obtained the rooms at $165/night tax included. We were wrapping up a vacation in an RV and called the hotel concierge to ask for assistance in finding a parking lot in Manhattan that could accommodate a 30foot long RV. The concierge was extremely helpful, called various places and find us a place about 12 blocks away. Everyone at the hotel was very friendly &amp; serviceable. The rooms were small, but larger than some NYC rooms I've stayed in. Most importantly the rooms were very clean, the beds were super comfortable, the bathroom was very clean and modern and though only with a shower, it was a larger shower. The breakfast was good, I had one of the best omelets. The location was great for going uptown or downtown.Overall, I was expecting something mediocre for the price and it turned out to be a very good experience.	
Jul 29 2009 	Great stay Sacia at front desk was extremely helpful!	We stayed at the Wingate last week. I traveled with my husband and two teenagers. We had a great stay. Our room was quiet and clean. We found Sacia to be very helpful at the front desk. She was always friendly and ready to help us out. We loved NYC and would stay at the Wingate again.	
Jul 28 2009 	Were given the worst room in hotel even though we booked 7 months ago	We were flying back from our Honeymoon on Mexico to Europe and decided to stay in NY to do some clothes shopping. We booked this hotel as it is close to my wifes favourite shop (Macys), the reviews were good and it was aroun $100 per night cheaper than other simialr hotels. We arrived pretty tired after a 5 hour flight. The front desk was quite but the receptionist had messed up the PC and needed 5 mins of button clicking before he could say hello. We were given room 205. The room was pretty small, the bathroom was very strange, like a walkin shower with a plastic seat in it. The toilet seat was fixed down and was a bit hard to sit still while doing the toilet! The TV was on the wall at the side near the pillows making it hard for 2 people to watch while in bed. The bed sheet had some sort of plastic material inside it?? We then realise it was a room for disabled people. At around 8pm, the disco started outside. The music was very loud and the people chatting and screaming was even louder. We lay awake until 1 am and then I asked the front desk for a room change. We booked the room in Dec 08 so I thought we should be entitled to a better room. I later heard many people complaining about noise and overheard the receptionist saying the hotel had overbooked and they were trying to sort it out. The front desk didn't seem that interested in questions. Certainly no where near as friendly as the Affinia 50 we stayed in last year. We were given a room change the next day to a room at the front of the hotel. This room was much nicer and much bigger (although I expected the disabled room to be bigger not smaller). The TV was at the end of the bed, the bed itself was very comfortable and big, bathroom was nice although the toilet seat wasn't fixed down but could live with it. There were earplugs in this room but we weren't sure why....until 10pm when the trash lorry and companies started working. It was fairly noisy but we could sleep through it. If we were given the second room to start with, we would have gave the hotel 7/10 but the 1st room was so bad and we booked so early that it left us with a sour taste. There are many hotels in the area that would be quieter, I would check them out first. I can't comment on breakfast. We got to sleep late due to the noise and breakfast is finished by 9 so we went to the ticktock dinner on 8th...it was fantastic!!	
Jul 27 2009 	Great Location - Worth the Stay !	My husband, 2 teenagers (age 16 and 18) and I stayed at the Wingate for 3 nites last week. We had a great experience. Staff at check-in and check-out were very nice. Our room was ready when we showed up at 1 pm. The breakfast was great (but you better get down there way before 9 am or the pickings will be slim !) Our room was nice, roomy and quite. We were on the 16th floor on the back side of the building which I think helped with the lack of street noise. We came in after dark each night and did not feel scared walking the street back to the hotel. Only about a block or two away from Macys flagship store and Herald Square and only about a 10 to 15 minute walk to Time Square. When we go back to NYC, we'll definitely stay at the Wingate again !	
Jul 17 2009 	Use your ear plugs and compare rates	I arrived exhausted at night and got my room. Immediately, my first impression was a huge amount of noise from a party at the bar downstairs. They informed me that there was no other room and to use my earplugs. The next day they did move me to a quieter room. That was better but was already tired from a night without sleep.The rate was almost $250 as my colleagues booked on the phone. Booking on line would be about $195. So be careful you don't pay more than you need to because the hotel is not a value. These days you can find better properties in New York at reasonable prices. This is supposed to be a budget hotel but it is not. The garbage cans in front of the entrance make it particularly unappealing It does have the amenities of included breakfast and Internet access. The staff is friendly.	
Jul 16 2009 	Nice Clean Hotel Good Location Next to Penn Station	I looked at MANY hotels on this site before booking. I had heard that there were bed bug problems in some places in NY. I also needed something affordable where I could get uptown or downtown very easily. WIngate was the place. Room was very clean, LCD TV, safe that can hold a laptop, free internet, continental breakfast. I didn't hear any outside noise like one of the reviews said here. Part of that migth have been because I was very tired when I would get back to the room. If you are not very exhausted everytime you come back to your hotel in NYC, then you are really wasting your time in the city. Also, they have a little &quot;radio&quot; that you can turn on and listen to the ocean, birds, and 5 or 6 other &quot;nature&quot; noises. Breakfast was not amazing, but good enough for &quot;free&quot; They had hot items like sausage eggs, ham, bacon and waffles. Elevators are fast. I know in some hotels in NY in the past, I have had trouble with slow elevators. I read another review about providing clean towels. Everytime I came back to the room after leaving in the morning, I had clean towels, linens, and the bed was made, so no problem with that. If you want to save some money, want a nice hotel in a good location, this is definitely it. Oh, did I mention that the rooms are a nice size with plenty of space for a hotel in NYC at these rates.	
Jul 13 2009 	Nice Hotel for the Money with a Great Location	This hotel is a tastefully decorated, clean, and comfortable hotel. Our room was the standard two double bed room with a closet, small bathroom, and a window at the end. The view was less than spectacular, however we were on the top floor (18th) so we could not see the street below, just the building across from us. The staff was nice, they greeted us when we walked in the door, answered our questions politely, and the guy in the breakfast room quickly replenished things when needed. The hotel was updated and modern with nice furnishings and modern decor. The location was also very good. Although it was not on a &quot;main&quot; street, it was only about 5-8 blocks away from Times Square, 3 blocks from Macy's, and 2 blocks from the nearest subway station. Overall, this hotel was very nice for the money and is very adequate for a weekend in New York. I don't recommend this hotel for those looking to spend lots of time in the hotel, it doesn't have lots and lots of amenities, however if you are taking a trip to see the sights of NYC and just want a clean, comfortable, modern hotel with a good location, this is an excellent pick.	
Jul 9 2009 	An Apartment with a maid	We arrived about 3 hours early for check in and the hotel didn’t have a problem checking us in. The staff wasn’t pleasant at check in, but they weren’t rude either. The room was a double queen room nothing special. It was a normal hotel room, it was clean, the beds were one step below a stone slate and the A/C sound like a small plane, but it was cold and that’s what counts. We had no view, but that doesn’t matter because you shouldn’t be in your room much anyway. We had a flat screen TV, a cold frig and a safe. The overall hotel was clean and neat nothing ordinate. The reason I said it’s like an apartment is because the staff didn’t really care about what you were doing. The hotel didn’t have a hospitability desk to help you out to find things or give you advice. You kind of just come and go as you please. The Hotel is located between two of the city’s main Subway hubs on 34th ST and down the street from Macy and the Empire State bldg. If your planning on going anywhere else be prepare to walk. Don’t be afraid to take the subway and ask for directions (Buy a 7-day sub pass it’s worth it). The hotel is also in a safe area. Check out was ok, same as checking in. The front desk called us a car service to LGA a lot better than a cab but about $15 more. I would stay here again, but I would personally want something closer to Central Park.	
Jun 18 2009 	I'd rather not stay here again.	I'm not really sure what it was. The hotel provided free ear plugs and a white noise machine. They had a letter on the counter when we arrived that apologized for the &quot;garbage trucks&quot; that they can't control. I think it was a construction site across the street but perhaps it was a garbage transfer station of some kind. All I know is that at midnight each night the horrible whirring, grinding, crashing and clunking noises one would associate with sounds that a garbage truck makes began and they continued without stop throughout the rest of the night, echoing throughout the entire neighborhood. And we were on a very high floor. I really think it was overnight construction work. But a letter in your room upon arrival (SURPRISE! YOU CAN'T SLEEP!) isn't the right answer. Full disclosure before booking (I booked direct via the web) and then let the market tell you what you can charge for that kind of problem. They also didn't provide clean towels. Oh, I read in the letter that they've got a green policy. I'm fine with that. But when the dirty wet washcloths are picked up from the floor and removed, they should be replaced without having to make a special request. (I really think this was done so that I wouldn't neglect to put a tip in the little housekeeping envelope as I did the first morning.) The youthful staff at the front desk could have been more helpful. I asked a few of questions but mostly felt like I was bothering them and didn't really get helpful advice anyway. The extended continental breakfast was serviceable if just average but with so little variety, I was over it by the fourth day. It would have been helpful if the restaurant would have been open, too. The price wasn't horrible and the location was really pretty good. But I'd go back to the real Wyndham on the next block for a little more dough rather than staying here again. It was a spacious room with a microwave and fridge, so that was a huge plus in NYC. But in general I'd rather feel really welcome and instead I felt a little scammed. Also, I understand that they need to clean carpets and chairs from time to time but leaving me a letter that it might happen in my room some time over the next few days isn't the best strategy for the guest. They should have also told me which day they were coming to my room and then notified me once they were finished. We picked stuff up off the floor repeatedly to prepare and then we returned before the carpet had dried the day they did it, something we only discovered when we walked on it in sock feet. There's management issues here, for certain, although besides lowering the price, I'm not sure what can really be done about neighborhood noise. Still, it's not my fault and I felt I was taken advantage of. My wife hardly slept at all.	
Jun 18 2009 	Great Hotel with great location	Just spent four days at the Wingate Inn at 35th &amp; 7th in NYC. There were four adults sharing a room. The room was clean, beautiful and we had plenty of room with all the suitcases since the four of us were catching a 9 day cruise on our departure from NYC. The rooms are 300 sq ft which includes plenty of room for the beds, a large closet and a large bathroom. It was quiet, except the one night the garbage was picked up about 2:00 Am--the staff was friendly and extremely helpful with every request. The breakfast was very good--eggs,sausage,bagels,toast,waffles,cereal,fruit, juice, milk, &amp; coffee. Free safe &amp; free internet. Location could not have been better-1/2 blk to blue, 1 blk to red and 2 blk to orange subways. The street closes up at night, but during the day it is in the middle of the garment district. Restaurants are 1/2 blk west &amp; 1 blk south, along with a drug store. We felt safe at night on the street, and just 2 blk to Macy's &amp; 3 blk to Empire State Bldg. We would definitely recommend the hotel to anyone visiting NYC. In July, they are opening a Creole Restaurant also.	
Jun 18 2009 	The Place to Stay in Manhattan! Simply Superb!	I have been to New york before and stayed in the usual small rooms that Manhattan is abound with. Wingate in Midtown Manhattan though is in a league of its own! Location is excellent, Right behind Macy's. So if you wanna shop you are staying at the right place. TImes square is about a 15 mins walk. There are a few good eateries nearby, I would highly recommend the great bread factory which is just a 2 min walk. The rooms are large, the bathrooms are really well equipped, the staff very nice and friendly! Its just one fantastic Place! We are vegetarian and the breakfast held good options for us. A great way to start your day. if u are in Newyork look no further! Wingate is your best option (unles ofcourse you can afford the Waldorf astoria). The hotel room rates are simply fabulous! We were 5 of us and booked two double queen for two nights. (Traveling with parents). Seriously Stay Here!!	
Jun 14 2009 	Great Location Friendly Staff	I booked this hotel after reading positive reviews from fellow travellers, I was not disappointed. The room was tidy, the bed was big enough for two people, there was a microwave and fridge and daily newspapers delivered to your room. What more would you want?Location would be the strongest point of the hotel, very close to Penn Station, Times Square is only a 10 min walk, you can take the subway to various locations such as Chinatown, Uptown Manhattan, Staten Ferry Island, Wall Street, Central Park.....If your coming from JFK airport, take the Air Train, then take the LIRR into Penn Station. You will probably be at the hotel within the next 30-45 mins easy. Exiting Penn Station to find your way to the hotel was extremely easy from the LIRR, follow the signs to 34th St and 7th Avenue, go up the escaltors to exit out on to the main street (34th St and 7th corner), go up one block along 7th avenue to 35th st, turn left (at Starbucks) and walk 100 yards.Breakfast, was ok, the times for having breakfast I felt could be a little more convenient, as Im not really a morning person. Overall selection of foods were ok, but I thought there could of been more variety especially for vegetarians and those who have food intolerances. Overall it was enough to get you through the day.Overall, great place to stay, will definitely stay there again.	
Jun 12 2009 	Once Again Not Disappointed	THis was the second time I have visited this hotel, the first time with the family. I cant fault it, clean tidy rooms, pleasant helpful staff, wonderful location. If you are in New York then I cant recommend this hotel enough. Every request we made regarding the rooms and their location was delivered, too good to be true but it was.I suppose the best recommendation is I will be back.	
May 29 2009 	What a Great Place!	We were thoroughly impressed with this hotel. Very clean, complimentary high speed internet , functional furnishings, comfortable bed and linens, fair price and a great location!! What more could you ask for?I will definitely stay here again on my next visit to the city.Thank you very much. Job well done!!	
May 28 2009 	The Location was perfect!	We walked everywhere. 1/2 a block to Macy's, a short walk to Time square. We even walked to the pier for our tour of the Statue of Liberty. Starbuck's right on the corner. The front desk staff were very friendly and the rooms were larger than expected with a modernized bathroom. Loved the microwave and fridge. The only downside was the &quot;breakfast&quot;. Be there well before 9:00 if you want anything. One do it yourself waffle maker for everyone to share. The worst was that no one cleans the tables or serving counters so it wasn't very clean or tidy. There are lot's of resaturants in the area that serve breakfast at a reasonable price. Aside from this it is very good value for the pirce.	
May 15 2009 	Average New York Hotel	This hotel was not badly located as Times Square was within 10 minutes walk which is the reason for picking this hotel. Our room was comfortable although the view out the window is the side of building/factory. You would have to choose a fairly expensive hotel in order to overlook anything better in New York!! The breakfast room is small but has generous size donuts and pastries and the reception area is quite nice. Would recommend only because it meets the standards you would expect for the price you pay.	
May 12 2009 	great hotel good value for money	My husband and I recently stayed at this hotel for 5 nights and i must say excellent value for money. I am a very fussy person when it comes to quality and cleanliness, this hotel met my standards. We arrived late at night and checked in very easy. Our room was a nice size and very clean and the bed was very comfortable. Even though you could hear the noise from outside especially when they were collecting the trash, the hotel provided ear plugs that you could use. I personally liked the noise coming from outside, it was a real new york feeling as New York is a busy city and noise is expected. The complimentary buffet breakfast was fantastic also. If you went early it wasn't busy and the food was great. Overall, this hotel is close walking distance to macy's, times square and all the shopping strips, we even walked to central park. If ever returning to New york we will be definetly be staying here again.	
Apr 28 2009 	Great Hotel off the path	This hotel is a great place to stay, close to Penn Station and Times Square. Food, Staff and amenities were great! Very Clean and everything in its place. The street, 35th is quiet considering Manhattan and noise levels at night were very low.Also, the staff helped us get tickets to a Broadway Show and refused a tip for the service. That's what I expect to find at a first rate hotel.	
Apr 26 2009 	"Excellent"!!!	My partner and I stayed at the Wingate for 5 nights, and we cannot fault it in anyway, Staff were very helpful and pleasent, Rooms were cleaned every morning, breakfast is served between 6am-9pm throughout the week later of a weekend, and every morning there was sausage, scrambled egg, toast, muffins, bagels, pastries, yogurts, juices, tea, coffee and make your own waffles, there was never a lack of breakfast when we got there and we went some days as early as 6am and others as late as 8.30am and was always plenty of food, however the dining area does get busy the later you go. If you do miss breakfast there are loads of eateries to choose from, The hotel provides free wireless internet to all rooms, and also provides you with 2 computers both with internet access and printers which came in hand for us when we were cheking in online for our flight home and printing our boarding passes.Location of the hotel is great, closest subway to hotel is Penn station on the same block, Macy's is a 5 min walk away and dont forget to take your passport with you when you go and get an 11% discount card from the visitors centre in there for being an out of towner!, 10 mins to Times Square and Empire State. You can get tour buses around the island, we got a 3 day pass which included loads of stuff like a 2 hour boat tour along the Hudson river, entry into Empire State building and admission to hop on and off the buses whenever wherever you like and much more all for a price of $86 per person which is a great discount when you add up the cost of the attractions alone, you can but these from any of the tour guides you see in the yellow jackets and they can be found outside most of the tourist attractions and the bus stops.The Subway is a really quick way to get around and becomes very easy to use once you know how. We advise getting a &quot;Metrocard&quot; if you intend to use the sub a lot, you can top it up at any station and sub rides cost $2 for each ride whether your going 2 stops or 20 it will only cost u $2 a time. We got the subway to Central park which is somewhere i would highly recommend you go ideal place to get away from the hustle and bustle of the city if u just fancy a break from it all, and then we walked back home from there down 5th Avenue and called into most of the designer shops on the way back!!! we found out that for every 20 blocks it is 1 mile. There are different types of Restaurants everywhere, but we would definately advise going for a steak, there steaks are just amazing, One restaurant in particular is Nick and Stephs Steakhouse which can be found at 9 Penn Plaza near madison square gardens, and go for the Porterhouse steak for 2 at $44 per person and is more than enough for 2 hungry people and the side orders are huge!!! it is just fantastic, the staff are great and the restaurant itself it lovely. however if your feeling really tired and want to eat closer to hotel there is a restaurant attatched to the hotel called Luxe and you get a 10% discount when you show your room Keycard. I could go on forever its such a fantastic place and hotel was brilliant just wish i was still there!	
Apr 20 2009 	Could hardly be faulted	This was our second choice of hotel after reading numerous reviews, however our first choice was not available on the dates we wanted. Firstly we were made very welcome on arrival, our room was clean, huge and a pleasant surprise to what friends who had already visited New York had experienced. We had free wired and wireless high speed internet at no cost, a safe in the room which was large enough to hold a laptop. I had taken earplugs with me as i am a light sleeper and i wanted to get some in the city that didnt, however the hotel was so quiet i didnt ever use them (room 1605)The breakfast was okay as it was free/included however it was quite basic and quite sparse at times, if you were not there early you lost out. Hot food was scrambled eggs and bacon or sausage in the shape of a burger (the thought of something shaped like a burger in the morning didnt appeal to me) and they served these 5 mornings in a row instead of day about with bacon at the start. You have to make your own toast and there are only 2 x 2 slice toasters, so if the breakfast room is busy expect a wait. My wife loves bagels and New Yorks are supposed to be the best but these certainly were not. Apart from that there is cereal, fancy cakes, tea, coffee, fruit juices and a waffle maker, but it's all help yourself and clear away your own dishes. Never used the gym or ate in the restaurant or drank at the bar. However the location is about as good as it gets, a stones throw (about 2 minutes) to Macy's, 10 mins to the Empire State Building, about the same to Times Square and 2 minutes to the subway (up and downtown) and Penn station. I would definately stay there again and recommend to others, just dont expect too much from the breakfast.	
Apr 18 2009 	Great hotel and excellent location	This was my sixth visit to NYC and this is the best hotel that I have stayed. Hotel is in a clean and modern condition. The rooms are large in comparison to other Manhattan hotels. Our room was not facing a busy street therefore we found it to be very quiet. Reception and housekeeping staff are very friendly. Free wi-fi throughout hotel is also a bonus! Excellent location - Macy's is on the corner of 7th Avenue - virtually opposite the hotel. Empire State, Fifth Avenue and Times Square in a very short walking distance. The only low point is that breakfast can be busy and the hotel could do with more staff in order to ensure that tables are clean and that there is sufficient food for all.	
Apr 10 2009 	Great Location	I was attending a conference in early April at this hotel so the location was extremely convenient. The good points - The location is great and most major attractions are within walking distance and there is easy access to the subway station just outside the hotel. The hotel is close to plenty of restaurants. The hotel staff were pleasant and helpful. The bed was very comfortable.The not so good - The price is justified by its location, but it is very high for the hotel quality. This hotel delivers below the average Sheraton hotel experience. The room decor is dated. Although the room did not have noticeable loose dirt, it clearly was not spotless as the carpets need to be shampooed. It gives the impression that it is a high traffic hotel with minimal upkeep. The room was too warm for me and I could not find a thermostat to regulate the temperature. The spa service was poor. I was initially really happy to learn that they had a sauna and steam room, however, neither were operating properly. I was only in the steam room for about 5 minutes when it shut off. I decided to try the sauna instead, but it also was not working. The sauna appeared to be turned on, but the temperature was at room temperature. I then had to go out to the front desk to have the steam room turned back on and also told him about the sauna. He said the steam room automatically shuts off if it gets too hot and that he would come in to check out the sauna, but he did not. So I returned to the steam room which shut off again awhile later. By that time, others ask him to turn the steam room back on and to come check out the sauna. When he did, the sauna problem turned out that it needed to be reset. Somewhat frustrated, I ended up leaving the spa after 25 minutes.	
Apr 8 2009 	Great hotel in great spot	We have just stayed 5 nights in this hotel and have no complaints. It is in a great location, a very short walk to Time Square and only around the corner from Macy's, Victoria's Secret, Old Navy, Maddison Square Garden etc. Room had free wireless internet and the free breakfast is excellent with bacon and eggs, breads, bagels, pastries, cereals and my favourite, make your own waffles! Our room had two double beds and was your average size hotel room and was very clean. Best of all, for the middle of Manhattan, the room was so quiet. We had room 601 which was on the back of the hotel and had no outside noise at all. The windows are also double glazed for extra quiet. There is a subway station on the corner as well as Subway (food) across the street and a Starbucks at each end of the street. would definitely stay at this hotel again.	
Mar 31 2009 	good facilities good service good value	This hotel is ideal for a good value trip to NYC. The rooms are modern, pleasant and very clean (beds very comfy!). The staff were friendly and helpful, and the hotel has a good service ethos. Examples - mobile phone reception isn't reliable throughout the building, so all US phone calls are free. If you make it to breakfast a bit late they haven't packed everything up and look at you disapprovingly as in some other places - no-one batted an eyelid at my late arrival. The hotel restaurant is low key but the meal I had there was delicious, and again, service was good. Only downside for some travellers might be that it doesn't have much soul - it's very much a business hotel. But given that it's got everything you would want at a good price, I imagine most tourists would be happy to stay there too.	
Mar 29 2009 	Great Value	On a trip out east 4 of us stayed in 2 rooms for 2 nights. Rooms were clean and we had everything we needed. Rooms were more spacious than I thought they would be after reading reviews. They had some good work-out equipment. Staff was very helpful. We thought the breakfast was great! The Hotel was sold out but after a morning walk each day, we stopped in for breakfast between 7-7:30 and there were only a few other people there. I don't know what kind of breakfast some people expect with a $119 room rate. They had eggs, sausage, waffles, fruit, cereal, bagels, pastries, juice, yogurt, etc. We thought it was super and didn't have to eat again until around 4 in the afternoon. We heard no noises at night and the free long distance was nice. We were using Amtrak to get from city to city so the location was perfect. We also took the short walk to Times Square, the Rockerfeller Plaza, Central Park, etc. several times. We had no complaints and will stay here again if ever in New York. My wife found several unbelievable bargains in the fabric stores on the block. Took the downtown tour on Grayline, took the Staten Island Ferry, and went to Top of the Rock. Lost my wallet in front of Penn Station while pulling brochures out of my back pocket. Should have listened to advice to always put it in a front pocket--what a hassle.	
