	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
Sep 2 2009 	I'd definitely return	Fantastic location, renovated spacious rooms, quiet, very clean. Staff were easy to talk to and went out of their way to be helpful. Free internet was a bonus.However, there's only 1 lift in this large large hotel so there was a bit of wait time involved and the lift was usually crowded. There were also queues at breakfast but the queue seemed to move at a steady pace. And last, the towels were replaced daily when this was not necessary. This hotel should use the same environmental strategy used by many other hotels and only replace the towels which have been placed on the floor.The advantages of staying at this hotel however outweigh the small negatives mentioned above.	
Aug 27 2009 	Friendly budget hotel	This is a friendly budget hotel close to Penn station. Great staff, clean rooms (more spacious than some I've paid twice as much for) and really close to transport and Empire State Building.I will definitely stay here again.	
Aug 22 2009 	Excelent! Great Location and Good Value!	I stayed at Stanford Hotel in a 2 Two Queen Beds room with my wife, my sister and her hursband. We did the check in fast and with a good hospitality from the desk people. The room was clean with confortable beds. Water pressure was also good for hot and cold water. The position was great, just few steps from subway and near many options to eat (I recomend for value and healthy food if you go to Sppedys , its a Deli just across the street). You have also the Empire States Building , Victoria Secrets , Macys , Gap in the same hotel block. The breakfast was ok : Orange juice , cofee , milk , bagels and cream chease. The Value ? I think it will depend of the season and if you have lucky to take a promotion or special package ; for us we research like one week through many options and didn't find anything better than this with all these stuff (position, breakfast, cleaness , value). I definatelly would be pleasure to stay at Stanford again!	
Aug 9 2009 	Great hospitality great location great price!	On the edge of Koreatown, with the subway on the corner, one block away from the Empire State Building, and with a continental breakfast, this hotel is hard to beat. Yes the elevator is small and slow, Yes the breakfast is only cold doughnuts, bagels, and rolls (with a toaster available). Yes we had a tiny window with no view. But the staff is exceptional, cleanliness and helpfulness is priority, and the upper floors are completely quiet. There is a small bar, bakery, and attached restaurant (beware that tips seem to be included without notice). If you like Asian food, you are surrounded by options, and if not, the Speedy deli across the intersection is open late. There are 2 computers available in the &quot;business center.&quot; Our bathroom had only a shower but was completely modernized with beautiful shiny tile and glass enclosed shower, with Bath &amp; Body Works toiletries. All the staff was really exceptional and we had a wonderful stay :)	
Jul 26 2009 	Nice hotel	I was a bit worried what kind of hotel we will end up. You can never know, eventually. There are always people who either like or dislike and everything does not suite for everyone.Checking in (and out) was fast and easy. Stuff was friendly and helpfulRoom was spacious and there was tv, table + chair, closet and refrigerator (which turned out to be very useful). I did not like the shower because there was only a tap high up but at least there was a private bathroom :)Breakfast was quite poor.. just bagels, donuts, juice, coffee and tea. But at least you got something to eat before leaving hotel. I felt it was easier to have something there than go somewhere else to have a breakfast so I was happy to eat breakfast at the hotel.Breakfast place was tiny so there was always queue.Location was great. Overall it was a nice place and this is a good choice if you want to be sure you will have a decent hotelroom.	
Jul 19 2009 	great find in nyc	my family and i stayd in nyc over nite and we were a lil worried about the hotel. a friend told us about this hotel and said it would be perfect cause of its location and the rooms could sleep all 5 of us. the room was perfect on the 6th floor 2 queens and a pull out couch. the price was also great for a midtown hotel. the breakfast was minimal but good enough to get started for the day in the city. clean rooms, friendly helpful staff in the entire hotel will definatley use this hotel for our trip next year 2 days in the city was not nearly enough time. will stay here 3 or 4 days next year.	
Jul 17 2009 	New York Gem	The reviews on here are spot on. We stayed here because of the great location, the good reviews but mostly the excellent price. The hotel is in a great location, busy but safe and all New York's attractions close by. We had a nice spacious room, bathroom with bath which was an added bonus. I was worried about being kept awake with the hustle &amp; bustle of NYC but never heard noise, traffic etc. The room was above an alley way, away from the street noise which was perfect really...I'd rather a good nights sleep. Breakfast was great, nice to see the hotel include it in the price. Staff extremely helpful. Would highly recommend Hotel Stanford.....and I actually enjoyed the old elevator (operated by handle - we had to use it because the main elevator was broken). I wish I had the courage to operate it myself but the main elevator was up &amp; running the next day.Nice to see the building maintain it's old features.	
Jul 16 2009 	Definitely stay again	Nicest people ever! Clean, spacious room, amazing bath. Only complaints-Elevator was slow and our room was a bit warm so they gave us a fan which worked great because it drowned out the noise from the street (horns from taxis, etc.)! Great location-subway 5 min. away, 2 blocks from Penn Station, and 2 blocks from Times Square!	
Jul 6 2009 	Stanford...great location...great experience for NYC....	The hotel is in a great location 5-7 minutes walking from Times Square...restaurants and shopping centers are very close..We had a suite room....very good and spacious for 4 persons, 2king size bed's,tv, a big couch and a nice bathroom.Staff very helpful.Not so expensive, very good for New York city.	
Jul 5 2009 	Excellent location rooms so-so	We stayed here for 4 nights. The location (hotel is situated in KoreaTown) was just perfect, subway was just around the corner. Staff is very friendly. Room itself was ok, but is not maintained well (under the bed was an old sock from a previous guest (!) and we were kept awake by a ticking airco (very annoying). Complimentary internet. Ok price/quality.	
Jun 23 2009 	Great Location	Stayed at the hotel stanford for one week and would definately stay there again. Having stayed in new york before we chose this hotel based on location and thought that would be a compromise on standard but not at all. polite and helpful staff, clean rooms, what more do you need.	
Jun 19 2009 	Quite basic but great value	We booked a room with two single beds. Upon arrival, we upgrade for a two doble beds room. It was spacious with a little desk.Window, facing a wall, was not closing so cold got in the room.Good points: new bathroom was spotless.Breakfast is free but not so good. only bagels, coffee and orange juice.With two computers to check your mail in a little room.Elevator was slow and always busy.not very friendly at reception: we ordered a taxi the last day to get us to the airport. It was a chineese car and driver didn't understand us...	
Jun 13 2009 	A great place for a great price at a great location.	My husband and I, along with our 2 teenage daughters, stayed 5 nights in this hotel. We had one of the suites with two queen beds, a sofa bed, chair, desk, small refrigerator, flat screen TV, room safe, large closet. The bathroom appeared to have been recently and beautifully renovated, with granite floors and tile shower, separate bathtub. Though the decor of the room was a bit drab, it was very comfortable and clean. The location was great---a stone's throw from a subway entrance that we used to travel all over Manhattan. It is on a block with lots of Korean restaurants and businesses, which gave a cool international feel to the place. We were right around the corner from a deli, a cafe, a drug store, a frozen yogurt place, a couple of blocks from Macy's and Penn Station, a block from the Empire State building. Our room was on the 7th floor; we heard a little street noise but it was not bad at all. We heard no hotel noise at all. Our only mild complaints were about the loud bathroom vent fan and a small slow elevator. The bellman and front desk staff were helpful and friendly. A continental breakfast was included, which was a nice perk---however, it was very light so we stocked our fridge with some breakfast items to supplement it. Best of all, we got a great rate on this hotel through their website, including a reduced rate for the 4th night. I did tons of internet research on hotels, and this was a great find--spacious, good amenities, great location, excellent price. We would stay there again most definitely.	
May 26 2009 	Clean friendly PERFECT location.	This will be my fifth time in two years staying at the Hotel Stanford, and each time it just gets better and better. The hotel is, in my opinion in the perfect spot city wise (Located on 43 West 32nd Street,) It’s right by the Empire State Building, but still a good ten blocks away from Times Square, so it’s close enough to get to if you want to check out any shows, but far enough to get away from all the hustle and bustle.The hotel has a little café attached to it, where you are entitled to a free breakfast each morning when you show your room key. It’s not much, just bagels and donuts, but it’s still delicious and one of the few places to still offer that. The rooms include a fridge, a small walk in closet, a flat screen TV and a safe.The hotel is in the process of updating all their rooms, which is great.What I love most about this hotel is that the staff are extremely friendly and now even remember me when I go back, which I think says a lot. I admit I’m a bit of a princess when it comes to hotels, so the main thing for me was that it was clean – which it was.This hotel is nothing fancy, but it’s a lovely warm, comfortable place to stay and I have felt incredibly safe there and when in the surrounding area – even at night. Also, the rooms are extremely quiet when considering the location. I have stayed in Times Square before and after staying here, I’d never do that again!! The rooms I have stayed in have only ever had views of the wall next door, but that has become a sort of running joke with my friends and I when we stay there now, so we don’t mind it at all (we actually like that it makes the room nice and dark for us when we go to sleep.)Walking distance to Penn Station, Times Square, Manhattan Mall, Subway next door...The hotel is now on Twitter, which is a great way to keep an eye on any deals they have coming up. You can follow them here http://twitter.com/hotelstanfordWould and have recommended this hotel to friends and family.	
May 9 2009 	Great location!	I got a great deal at this hotel, and knowing what hotels are like in new york, i was worried at first, but upon arriving, Hotel stanford is really clean and friendly. the rooms were a good size with clean bathrooms. there is free internet in the second floor and free breakfast in the morning. Elevator was a bit scary but thats all. close to macys and Penn station and a lot of fun korean restaurants. Would definitely stay here again	
May 6 2009 	Second trip to NYC	Second trip was fun!!!! Thsi time I was able to do way more things . The hotel offers breakfast which is alwasy a plus becasue at least you save some money on food. This hotel is very close to macys and the esb as well as the trains and buses. I do recomend to buy a metro card to use on buses and trains. I'll rather do this than to spend money on taxis lol. Um i dunno what else to say but that I had my plans all planned out therefore I wa sable to see and go everywhere. I recommend to go by coney island and the statue of liberty and the esb which once u been there theres nothing much to go back to but all the main palces are always fun to go to. Fifth Ave is like two blocks away from the hotel adn you can always to and from fifth ave as well as times square.. well i'm a walker so i dont mind walking for those who are lazy well take a bus or a train and you'll get there. If anyone ahs any questions feel free to coantact me. By the way the hotel is in Korea town its just like three blocks of Korean people so dont get scared thinking that its like a big Korean neighborhood lol. But for sure the rooms were SMALL!!!! But at the end we only used them to sleep and shower.	
Apr 29 2009 	Great place	Great location in midtown Manhattan. Clean and suprisingly quiet rooms, friendly and helpful staff. Cheap by NYC standards. Rooms pretty small but not claustrophobic in any way. Really exceeded expectations. The included breakfast however very basic - but still better than none.	
Apr 10 2009 	Good Value	My doughter and I stayed for 8 nights at hotel Stanford two weeks ago. We find the Hotel very comfortable anc cleen. Our room at 6´th floor was at normal size and so even the bathroom. We had not expected to find the hotel so good for the cheap price. the location was perfect for shopping and sightseeing and we felt totaly safe in the neighbourhood. The service was ordinary, the staff helped us when we asked for booking shuttelservice to the airport etc. The only thing that not was so good was teh breakfast. Donuts, bagels and coffee/tea. Nothing more. But that was not a big thing. There was a lot of delis and coffeshops etc round the corner. And expecting most of NY-hotels don´t have breakfast at all, we didn´t care at all.We can recomand the hotel for everyone and would definitivley book it again.	
Apr 3 2009 	Bad experience	Our room was really scruffy - clean yes - but the furniture was torn and everything was old. Bed was comfortable though. The first night we were kept awake all night by a drunk in a neighboring room who was having a verbal fight with a prostitute then later with a 'roommate' - doors were slammed all night and the cursing and threats were vile and loud. It was horrible - we were actually scared. The staff did nothing during then night (?) but aparently threw them out the next day. If children or senior citizens had been staying on our floor it would have been a horrendous experience for them but we were able to take it I guess. The staff were always friendly and helpful as we came and went. The location is very good and the neighborhood is good too - safe etc.. But the hotel seems to attract a mixed clientele - some of whom are rather undesirable. I would not stay again - there are are better choices, more reilable choices for the $$$.	
Mar 30 2009 	Value for Train Travlers but with Concerns about Heat/Air	Pros: 1.) 3 blocks from Penn station with a VERY easy walk for train travelers.  2.) Business center for free internet use 3.) Coffee, juice, bagel or donut continental breakfast. 4.) Clean room and lobby. 5.) Decent neighborhood in Korea Town with sub way only feet away and lots of restaurants, malls and shopping. Hearld Square only two blocks and times Square a 15 minute walk. 6.) Some updates in the room with nice bath tile and very nice bath products 7.) Very good rate while we were there and they usually have a last minute rate availabie on their website. 8.) Storage to hold luggage after check out until it was time for our train.Cons: 1.) Decor and furniture are dated but this was not a biggie to us per say. 2.) One slow elevator for all floors. Not convenient so get a lower level room and take the stairs. 3.) This is the BIGGIE. There is no temperature control in the room. The heat or air are either on or off as far as we could tell. We were told our radiator could be shut off but it did NOT shut off. At times there was a fine water mist coming from the radiator. (My husband knows about heating and cooling and this was clearly broken) We told them they were wasting money to heat a room that did not need it and told them to have their maintenance ck it out which they said they would. They offered to move us but we did not want the headache so we got by with opening the windows since it was March and cool enough. With this said, I would be hesitant to stay here in the summer with no assurance that the air conditioning would work. Please ck with other reviews to see what they may say about the air in the summer.	
Mar 23 2009 	Ideal location!!!	My friend and I stayed at this hotel for 5 days last week and were given a newly decorated room on the 3rd floor, the room was a good size, the beds were very comfortable especially after long days of shopping, the bathroom was a good size too and there was a safe in the room also which is always a plus. The room was cleaned everyday also. The only negatives about the room was its location as we could always hear people in the hall, we had no view at all so the room was always dark but we were out everyday and the radiators would always make noise early in the morning waking us up but over all this hotel is perfectly located next to Macys, Victorias Secret, Gap, Forever 21, American Eagle and the Manhattan Mall. There is a subway stop just feet from the door yet Times Square is within 10 blocks of the hotel. It is very safe at night but don't venture down Broadway past 32nd street its not the best area to walk around. We never ate at Cafe Ele any morning just because we like the Delis instead as there is plenty of choice. We had lunch in Cafe Martinique around the corner from the hotel it is not worth a visit, the food is only ok and the staff are terrible. I would stay here again, its excellent value for money.	
Mar 22 2009 	ideal base for shopping!!	Myself,sister and 2 friends stayed at Hotel Stanford for 4 nights in Jan 09 and have to say was very impressed. Rooms are quiet small but perfect for dumping bags of shopping,showering and sleeping(what else do you need!!)This was my 2nd trip to NY and hotel was right in the centre of great shopping, 5th ave to left from hotel and Macys to the right.Room was very warm during the night but it was snowing and -3 degrees when we were there. Would defo stay again ,excellent staff,location and all you need for a girlie shopping trip and price is great for what you get and where it is.	
Mar 17 2009 	Great location friendly service tatty decor noisy neighbours	The location of this hotel was fantastic - round the corner from the Empire State and close to great shops - two minutes and you're on 5th Avenue. Situated in Koreatown, local restaurants are definitely worth a visit. Our stay was only marred by the tatty decor and furniture in our room (although it was perfectly clean). We had a friend stay over one night and the hotel management were happy to provide a rollaway bed for a nominal charge. Unfortunately our first night was seriously disturbed by an altercation between people on our floor - much yelling, swearing and banging of doors - as well as smoking, although the hotel was a no smoking hotel. The hotel management were very apologetic the following morning and had got rid of the troublesome guests and our subsequent nights were quiet. I'm glad I didn't have my kids with me, but all in all, it was perfectly adequate - remember that you're in New York to see New York, not the inside of your hotel room!	
Feb 26 2009 	worth it	Five friends stayed in two rooms. One room had 2 double beds, this was a newly decorated room (flat screen TV, gorgeous bathroom etc) and the girls slept well for 4 nights. The other room had one double bed and had not been newly furnished but looked fine, we did not sleep at all on the first night due to what sounded like noisy pipes. The reception staff were excellent and moved us straight away to another room which was fine. There was a fridge,a hairdryer and toilettries in each room. There was only one lift but this was not a problem, never had to wait too long. The breakfast was tea/coffee/orange juice with bagel and cream cheese (no jams/jelly) and doughnuts. There was a toaster as well. I found this fine to start off the day but after a few mornings it would probably become too boring. There is a subway a couple of doors down and it is a good location for sight seeing (as are most hotels!). Overall good room, staff, service and breakfast for the price!	
Feb 19 2009 	Really Good. Nothing to complain!	I stayed in this hotel between 28/12 - 11/01/09 and it was excellent. Room 511 was great and there is a big closet with safe box. Bed was very good. Bathroom is illuminated, hot shower with pressure. Staff is very likeable. The location it´s the best. Near of Empire State, Macys, many stores and few steps of a big subway station.The breakfast its normal but every hotel in NY don´t have it.I definitively would be there again	
Feb 16 2009 	great location good hotel would book again.	Room was small, but it was quite nicely decorated and the bed was very comfy. nice marble bathroom. the lobby has a lovely 20s art deco feel. our room was kept impeccably clean throughout our whole stay. the staff are nice enough. the location is ideal - on the same block as the empire state building, there is a subway stop about 30 feet from the front door, penn station is two blocks away etc. the only downer i can think of, and i really do not rate this as important, is that the breakfast gets boring quite quickly (bagels with cream cheese and donuts). but thats hardly a big deal. i would definitely recommend this hotel - its clean, safe, cheap, friendly and the location is fantastic.	
Jan 30 2009 	Great value and great location	Stayed in this hotel in October 2007 for the first time. Noticed great difference in October 2008. Both times we stayed in a suite. Oct 2007 was a junior suite, October 2008 they had no junior suites left and they automatically upgraded us to full suite.The hotel must have had some refurbishment since 2007, it was much nicer room. The hotel is good location for Maceys, Empire State etc. Take advantage of booking your room on last day for late checkout, its worth paying for if you have a late flight home.Just remember you are probably in New York for sightseeing or shopping, rooms are adequate for that purpose.Speedys round the corner is good for food, good value.	
Jan 23 2009 	hotel	Hotel Stanford is a great hotel for the money you're paying.Its great value.Its very central...near macys,manhattan mall,a great restaurant around the corner and a shop,american eagle and many more stores.The bedroom which we stayed in was super!We had 2 double beds,a sofa couch which turned into a pull-out bed,a tv,a recliner chair,coffee table,big wardrobe,great big bathroom with shampoos,conditioner and shower lotions.Cleanners also come and make the beds everyday and replace the sheets.On the 2nd floor there is free internet access but only with 2 computers. Breakfact is served in a cafe next to the hotal as the breakfast room is under reservations.There's bagels,diff doughnuts,muffins,croissants,tea.coffee and orange juice.we would have no problems in staying here again!	
Jan 17 2009	Really nice place to stay!!	This hotel is lovely and so central. It's in hearld square, just right across the road from Macy's. The Empire state building is only a few blocks away, also, bryant park and times square are also so close. It is so clean, the rooms are lovely. The breakfast was ok, buns and donnuts, coffee, tea, orange juice, it could have had more variety! However, I would definitely stay here again. The staff are very nice and professional. Very good hotel.	
Jan 9 2009 	border line	I stayed at the hotel Stanford for 5 nights over new years eve 2008-2009. Hotels in NYC aren’t cheap – FACT, and the Hotel Stanford stands out for being more than competitive given it’s convenient midtown location. The hotel is located bang in the middle of Korea town on W 32nd between 5th and Broadway – 1 block from the Empire State building and 1 black from Macy’s, quite a convenient location for getting just about anywhere in Manhattan, perfect if you want to do some sightseeing.From what I’d seen and read about the hotel I was quite convinced I’d found a bargain – however upon arriving in a cab outside I was a little disappointed to be greeted by a whole load of scaffolding – not a bad thing I guess but upon entering the lobby the HS felt a little ‘tired’, everything was ‘OK’ but I think I expected more. On check in the staff (mainly Korean) were efficient enough, they initially requested that we pay the bill up front but when it transpired we didn’t have the right type of plastic (the HS doesn’t accept Maestro) we were given an extra day to pay up.After checking in we made our way up to our room and couldn’t really decide if we liked it or not – it was quite large with a walk in closet, a safe and a sizeable bathroom – however, it just seemed to lack a little something, maybe age was getting the better of it, the carpet was a little worn and dirty and outside the window was nothing more than a wall meaning there was no natural light (although in fairness this made it nice and quiet). I think the main complain was just that things were a little broken down and tatty – for example the chain lock on the door obviously come off at some point and had been refitted at an ‘odd’ angle and rubbish could be seen hiding behind the radiator. In addition to this the service elevator was outside our door... so every morning we were woken up by the sounds of maids busying themselves. The internet service provided in the ‘business center’ was horrible – very slow. My only other major complaint was the heating system. At some times it must have been close to boiling point and at others freezing... the transition from one to the other was accompanied by a cacophony of clattering pipes... although I guess that isn’t unexpected in an old NYC building. In summary – I wouldn’t choose this hotel again, although in fairness – you’re in NYC.... you shouldn’t be needing to spend too much time in your hotel room anyway! When it’s considered as a cheap place to leave your stuff and take a quick sleep the HS is adequate. I think if it had been any worse I wouldn’t have been happy but as it was I was just about almost satisfied.	
Jan 8 2009 	Shopping paradise!	The location of this hotel is unbeatable with Macys, Victoria Secret and Gap literally doors away! This is an ideal hotel for a shopping holiday or to sightsee. The staff are so friendly and helpful, I cannot fault them. There is only one lift but this wasn't really an issue for us as it was pretty much always there. The rooms are adequate and clean, the cleaners are excellent in this hotel and our room was always very clean on return. The negatives! We stayed on the fourth floor and there were very strange noises, all I can describe it as is an owl stuck in a cage! It was bizzare but bearable! The breakfast isn't up to much so we had breakfast elsewhere, usually in the Martinique cafe from the Radisson, food is good but service is very slow and rude. All in all, I would most certainly stay here again, the price is unbeatable for the location.For a brilliant pub, go to Foleys bar on 33rd street, so friendly and great food!	
Dec 12 2008	Will stay here again!	Stayed here with a friend from november 28 till december 2. Hotelroom was small, but big enough to store all the stuff we bought. The bathroom was good and clean, so were the beds. The carpet was old and with staines. That's a pity, because the room was actually OK but the carpet is the first thing you see. Just one hotellift, which is actually not enough for this hotel. However, we used the elevator when it was not busy so it did'nt matter for us. Same for the breakfast, we were there once at 8.oo and once at 09.00 hour and it was not crowded at all. Breakfast was OK, just donuts, cake, coffee, tea and orangejuice, but hey, it's free! We twice have had breakfast in de Cafe Martinique just round the corner, wich was very good. Go to Speedy's at the corner when you don't like to go out for dinner. They have very good take awayfood. Subway is at the corner and a busstop (the M-bus) stops at 6th Ave. We are two ladies in their fifties, but never we feld a moment unsafe in this area. Next time we will go again to the Stanford Hotel!	
Dec 3 2008 	Perfect facilites; Great buy	Hotel room was small, but perfect with remodeled bathroom, window view, responsive staff, great location in Koreatown right at subway a block from Empire State Bldg. Stayed here Thanksgiving time 2008 at great price of $150/night including good continental breakfast. We hope to come back here again.	
Dec 3 2008 	Ideal position in New York	Stayed in the Stanford. Large room - great bed and room facs, however the view from the window was of a wall - but hey it's New York - and you don't stay in your room! Breakfast in the cafe downstairs was fine and included in the price. Staff helpful and friendly - would recommend especially in expensive New York.	
Nov 30 2008 	Great Location and staff	Meet the expected. Excelent queen room. Good value and clean. The breakfast is very simple, but justifies the price.	
