	location is everything	i will agree with some of the earlier posts ,The decor does look slightly tired ,It could possibly do with a facelift ,BUT the location is superb ,the view of central park is spectacular,the subway is 2 minutes away ,as are 5th and 6th avenue.times square is 15 minutes walk as are the rockefeller centre and empire state building .A great alternative if you cannot afford the Plaza ,Ritz or Trump ,overall good value for money.	
Sep 15 2009 	A dump.	Dear Mr. Zahran,zackzahran@helmslehotels.comMy husband and I were very disappointed guests of the Park Lane hotel on the night of Thursday August 20th. We stayed in room 3612. I've attached some photos that I took of the condition of the room. The plaster/paint on the ceiling and all around the window was cracked and peeling. The condition of the furniture was horrible. When we arrived there was a ring around the toilet. It remained when we left. There is no convenient outlet for plugging ones computer into, there was no pen in the room. None of the phone's buttons to contact to specific departments in the hotel worked. The television screen had permanent damage to it. On the plus side, your turn-down service was good and the staff was pleasant (although we had to wait quite a while to retrieve our checked luggage, the lobby employees seemed rather disorganized). I was very surprised by our experience since I review our hotel choices on Tripadvisor.com prior to and upon completion of our stay. I intend to leave my review posted once I have received your reply. We did not stay in the most expensive room as this was a trip arranged around a corporate meeting being held in the hotel. However, all rooms in a reputable hotel should meet a certain standard and this one did not. Awaiting your reply,No reply recieved. ON top of it all, no sound proof glass on the windows. Sirens and horns all night. I've stayed at several other NYC hotels and never had such a negative experience.	
Aug 28 2009 	Needs some facelift	I stayed at this hotel early 2009 with a close family friend. She is an old lady and in her mind Hemsley's Park Lane is still the best hotel. This exactly how you would describe this hotel - old glory. Pro:&quot;LOCATION&quot; - can't stress enough. The hotel is located steps from Columbus circle, 5th Ave., Central Park. This alone CAN compensate all the negative impressions. Service: Staff was kind, very professional and efficient. I especially enjoyed breakfast in the restaurant, and everyone was friendly. The food was great, too. Yes, this is not the &quot;hippest&quot; restaurant you can find nearby, but the restaurant itself, with old-world style glamorous decor overlooking the central park with classical music playing was in itself quite an experience. Con:Dated facility and its decor - The old-style decor must have been applied a long time ago so that it shows its age. Antique is antique, but the bathroom drawers and sealant surrounding the bath tubs can and should be replaced. The dark colored silk bedspread was not crisp probably due to age (I don't want to think it is due to cleanliness). The carpet also showed age, as you would tell that it has been trodden. However, I do hot have too much complaints, as it was well-kept and clean: Overall, my stay was pleasant. Maybe I am not into continental style decor, therefore I was not able to appreciate this hotel. Given my taste, this hotel still needs some updates in order to keep up with its past glory. (Or was there one ever?)	
Aug 23 2009 	A Dream Stay	I've been at the Helmsley Park Lane one year ago, august 2008, with my girlfriend.I meant to write this review right away when all my memories was much more fresh but time slips away and already an year has gone.I am italian, I've travelled all around Europe but this was my first time in the States. I've chosen this hotel partially based on the tripadvisor reviews but some of them wasn't so spectacular and that worried me a little.All my concerns vanished when I first set foot in the hotel's lobby. Then, after the elevator brought us to our 12th floor, and the room door opened it was nothing less than a revelation.The room was so big We could have play tennis in it. Our king size bed was extremely confortable but the best part was the view from the giant window, I'll back on this subject in a sec.The hotel is on the 59th street, between 5th and 6th avenue. That means that You're not just close to the center, You ARE the center. If your room is on the park side the view from the window is stunning. We could have spend all our 10 days just watching the park from the windows and they wouldn't wasted.I can only imagine how amazing the view can be from the rooms of the higher floors.The room was elegant old style (a part from the big LCD TV screen) and we liked that, the only little problem was to understand how to turn on and off the lamps, it took few minutes. The service was excellent, I could mention many things on this subject.Anyway we didn't have our breakfasts in the hotel, we preferred to eat here and there around the place, there is a lot of choice (and I love cheesecake!). First morning we went to Sarabeth, just few meters from the hotel. It was a nice one, but a bit expensive. As I said the position is the best You can have in the city. Of course the place is big big big, so You'll need to use the subway and there is a stop very close to the hotel within a minute walking distance.One warning that doesn't have to do with the hotel: Don't trust the photography store that claim they can give You amazing stuff with sensational discount (like 60% or 70% off....&quot;only for today!&quot; then You come back the day after and the sign is still there of course), there are quite a few of them around the place and they're absolute cheaters. Look for serious dealers, for example there is a B&amp;H on the 9th avenue (between 34th and 35th street) which we found absolutely amazing.So, a dream stay in the most stunning place in the world, I just can't wait to come back and I already know I'll be back at the Helmsley Park Lane Hotel, I cannot think of better choice!	
Aug 21 2009 	Top Notch in every way !	Several of us on a recent and first visit to New York picked this hotel purely on the basis of its location in New York. We stayed for eight days and I can honestly say that from arrival to departure, this hotel was the jewel in the crown of our visit to the fabulous city of New York. The hotel itself is delightfully old-fashioned in a charming kind of way, but immaculately clean in every aspect. The staff in every department were courteous, friendly, and super efficient no matter what type of request we had on their services. The hotel restaurant served us the best steaks we had in New York ! The wine list, also, was better than good.As for the view of Central Park from our hotel bedroom.......it had to be seen to be believed.We will definitely be back.	
Jul 21 2009 	Impressive!	Was apprehensive as this hotel was booked as part of a tour &amp; I usually like to book my own! We arrived &amp; was very impressed! The hotel had 46 floors, we were on 22nd. Room wasn't quite ready but when it was it was great! Big, classy &amp; very clean &amp; comfortable. Nice pair of slippers each on a welcome mat! Big comfy robes. Nice toiletries in bathroom. Shower &amp; bath. Comfy bed &amp; pillows. Flat screen tv on wall. EVEN had umbrellas to use and it was raining! Hotel was right opposite Central Park, a short walk to Times Square/Broadway. Next day we had 77 degrees &amp; sunshine! Unfortunately we were only there one night but it was a good night! Staff welcoming &amp; helpful. It had a Harry's Bar! Beautiful restaurant overlooking the park with panoramic windows. We did a quick shop &amp; sightsee but all too soon had to leave the Helmsley Park Lane. If or when we return to NY we will definitely be back!	
Jul 20 2009 	Value For Money	I went to New York for 3 days and i stayed there. My room was on the 39th floor with a view to Central Park (junior suite). There was a large window about 4 meters through which you could see Central Park till the end and of course the skycrapers. The view was marvelous. The service was fast, breakfast was exactly the time i requested. Also the concierge was very helpful. However there was something that i didn't like. The day i checked out i called the bail to help me. I had 5 large suitcases. The bailman was like 75 years old, which was not helpful as i had to move the luggages, and of course i had to tip him. The bottom line is that i would highly recommend the hotel for a wonderful stay. You should ask defenately for a room with Central Park view and its totally value for money, as you can go next door to Plaza and pay three and four times the room price.	
Jul 14 2009 	Made my daughter's wedding perfect	My daughters wedding was at the boathouse and all the extended family stayed at the Park Lane. Beautiful hotel, all the rooms were well appointed and very clean. Only mishap was my check in and my room was not ready. I wanted to stay on the same floor as my family so the manager came to the rescue and gave me the deluxe suite for the first night with a magnificent view of the park. Can not thank you enough Park Lane. Mother of the Bride	
Jun 17 2009 	Rude unorganized and unprofessional.	Honestly the only timely and respectful hotel staff was the manager during the day. Most of them bounced me around the place, spoke in a very demeaning manner and does not reach any of my expectation that I gathered for this place. The rooms looked like they were renovated on budget, bath tub does not drain water immediatelly, room service was unsatisfactory and air conditioning was very loud and bothering. Also no on-demand movies, only your normal basic plan cable available at home. It might be a very nice accomodation at its days back in the '70s but all I can say, not anymore, I was truly dissapointed compared to the amount I paid for my room, not worth it.	
Jun 5 2009 	My favourite hotel ever	What can you say about this beautiful hotel. Great service. Great location. Prettiest view in winter. Haven't stayed in summer so can't say anything about the summer view! The people were just so lovely and accommodating. I couldn't say enough good things about this place. Also, hands down the best hot chocolate through room service that I have ever had. I would like to fly back to NYC and stay here just for another cup of their hot chocolate. Highly recommend this hotel. Just an indication of the standard we like, we have also stayed at Fairmont Chateau in Lake Louise, Mosaic Hotel in LA and other amazing places and this was by far the best. So clean, so relaxing.	
Jun 4 2009 	Great price for the location!	Our location couldn't have been better--it was our first tourist trip to New York--we normally go to eat and drink and visit friends but this time took my 11 year old nephew and saw every tourist attraction there was and this was a convenient safe location amidst much finer more expensive hotels- we had connecting rooms- one room was great with a king bed with new good mattress and powerful shower although the room was bright pinkish!--the other had 2 queen beds- old mattresses loud A/C and could hear the noise on the street . The staff was courteous and welcoming and think it was a fabulous deal for the location!!!	
May 28 2009 	Old Fashioned Glamour and Service	After reading some of the reviews on here before my trip I was nervous, but I was wrong to be. The Helmsley is old style glamour! I can see why some people would descibe the rooms as dated but I saw them as authentic and thought they were fantastic. We paid extra for the park view and it was well worth it - panoramic views of the park and north Manhattan from the 25th floor as well as a huge room and huge kingsize (and extremely comfortable) bed. The service was absolutely brilliant and the staff were incredibly helpful. We're talking old fashioned service where they can't do enough for you...rooms were cleaned brilliantly, beds turned down at night with my slippers (complimentary) laid out. The concierge service was also very good and definitely worth using. We were looking for a good restaurant nearby and within a few minutes were called back with our table reservation details. As for location you couldn't ask for a better one right on the park and within easy walking distance (or subway ride) of everything - including 5th Avenue, Natural History Museum, Guggenheim, Rockerfeller etc. I would recommend this hotel to friends and family and would definitely stay there again.	
May 27 2009 	Wonderful stay great location	We booked the king size park view room. Much larger than I'd expected and although the decor was a little &quot;twee&quot; for English tastes, there was everything in the room to make things comfortable - mini-fridge, lots of wardrobe space, robes and slippers etc. I am so glad we booked the park view room because the views were AMAZING. Large TV with regular programmes. I don't know about movies because we were so tired after sight-seeing all day, we were asleep by 9.30! The staff were friendly, but not in the overly-sweet false way most hotel staff seem to be. Harry's bar serves nice cocktails but very pricey. We didn't try the restaurant but there is a very good deli out the back door of the hotel to the left called greens, or turn left and left again out of the front door and there is a deli along there which does great waffles. Yes, the decor could do with a little updating, but if this were a french chateau you'd call it shabby chic! I would heartily recommend this hotel to anyone and would rate it as infinitely superior to the Waldorf Astoria.Because we booked through expedia we also got free international phone calls and use of the business centre / computer room.	
Apr 26 2009	A+ for Service...D for Physical Plant	Short and Sweet:How do I rate the people who work there? A+++The staff was absolutely kind and engaging. From check-in to security to room service to maid service, to the phone operator. The people who work there made it very evident they cared very much that we enjoyed our stay.How do I rate the physical plant? &quot;D&quot;This hotel is &quot;tired&quot;...the 1970's mirrored celings...the dirty and decrepit room #1903, while having an outstanding view of Central Park was close to 'shocking' with its peeling wallpaper, dirty bathroom floors, filthy bedspread (someone used the underside to polish his shoes) and the towels that, very obviously, were used to polish shoes possibly on that same bedspread?Would I recommend staying there? &quot;NO&quot;. You spend a lot to stay on Central Park and you will feel cheated if you have a room in that condition. If they update the hotel and keep the employees they have? Oh, yeah, I'd stay there in a flash.	
Apr 14 2009 	Very Old	I´m a travel agent and unfortunately the impression that I had during my stay (apartment 3416 from March 25th to 31th) did not correspond to the standards we are used to, in what concerns to the high pattern of the service found in the hotels we usually use. I was not able to get to know the superior cathegories of rooms that the hotel offer, cause I was not given the oportunity to check them out.1st - Mr Thomas (concierge) was indeed extremely attentious and nice to us.2nd - Most of the front desk staff were extremely rude and unpolite. I am not used to this kind of treatment, mainly in the States.3rd - The air conditioning of my room wasn´t working, and even though I called many times to complain, nothing was done. The Engineer went to my room to try to fix it and just said that it was like that, the thermostats just didn´t work properly.4th - For two days the housekeeper did not do the turn down. 5th - the rooms are very small and the furniture is the oldest in NYC.I was really badly impressed. As a five star hotel, I guess the service just didn´t reach the minimun expected.Dont go there! look for other hotel in central park area!	
Apr 6 2009 	Excellent value	My wife and I stayed at the Helmsley Park Lane the nights of March 17 &amp; 18, 2009. We paid $189 per night + $15 IT fee per night. So the real rate was $204 per night, plus taxes of $30.43 per night. This was for a &quot;city view&quot; room on the 23rd floor. This is an older hotel with somewhat dated furnishings, but that didn't bother us because we're a bit dated ourselves. Our room was clean and comfortable. The common areas were fine, too. The staff was courteous and helpful as needed. The location on Central Park South is great for tourist visitors. We'd definitely go back at this room rate.	
Mar 29 2009 	Very dated and dirty	Although this may have been a nice hotel at one time, it's in desperate need of a face lift. The rooms (we had two) were old and dirty with pealing wallpaper and stains on the carpet. There was mold in both bathrooms and the tubs didn't drain. When we complained, the staff was indifferent and told us there were no other rooms and we were welcome to check into another hotel but would not be refunded our deposit. The only thing this hotel has going for it is its location. We'll never stay here again and would advise others to stay somewhere else.	
Mar 26 2009 	So Pleased with Our Stay	Was in New York for the first time last week with my sister and 13-year-old niece. I thoroughly enjoyed our stay at the Helmsley. The location absolutely cannot be beat for the price. We were central to everything we wanted to do, and felt very safe in this area. Our room was clean and well-maintained. We had a park view room that was as great as I had hoped. Waking up every morning to the sun coming up over the park was glorious! The staff was friendly, courteous, and helpful. Would absolutely stay there again!	
Mar 24 2009 	Luxury	Stayed here for 6 nights, summer 2008. Service was in top. Beautiful interior.	
Mar 18 2009 	Tired and decrepit but fabulous location	We've just come back from a 4 day trip to New York, it was a last minute thing, as my husband was away in the US with work, and I managed to get a flight that connected in with his work.I booked this hotel quite last minute, maybe just over a week ago and for 4 nights, it cost me 775 dollars for a bog standard city view room. The location of this hotel was perfect for us. Everyone was an easy walk. We also got continental breakfast included in the price, but we preferred to find a New York deli.The room was spacious enough, but was tired. The bathroom looked like something out of another century. And we kept getting electric shocks off everything in the room and the hotel. It became really annoying after a while!!!!! This hotel needs a complete overhaul. I was happy enough with the price as it was short notice and the places I wanted to stay elsewhere in, were a good 500 Euros extra for the 4 days we were there. However, I found the Queen bed far too small for 2 of us and it was as uncomfy as hell. Like I said, bathroom was so old and needed ripping out. Beware, they charge you 15 dollars a day for internet, whether you use it or not. We complained to the front desk and they waived this fee. I dont mind being charged for internet if I used it, but not when I didnt use it???!!!!!!!!! I wouldnt go back to this hotel again, because it wasnt modern enough or comfortable enough for either myself or my husband. He travels frequently and likes a little luxury, so if that's you, I would recommend you finding another hotel.	
Mar 14 2009 	The Location is fabulous the carpet is lavender...	So, we stayed here sort of on a whim. We were getting ready to leave NYC with our family (it was a business trip for my husband, but we took my sister and our 6 month old babies with us!) and he got a call that he needed to stay another night. He pulled up to the next hotel we were driving by, this place, and we went in a made reservations. If we had been paying for this, I would have thought the price was way out of control, but I guess you pay for the view, which is spectacular. Anyway, we got to the room and my sister who was 18 thought it was awesome. It's like a 1980's upscale bedroom with wall to wall purple carpet, matching decor throughout, very hilarious. She thought it was the best, best room because it was so over the top fancy, but out of date. Lots of marble, gold, floral, etc. Anyway, it was clean. So this was where one of our twins took the first off the bed spill. Anywhere else this would have been quite a catastrophe, but he rolled off onto a very plush purple carpet and didn't get a single bump or bruise. So funny. The view is out of control amazing. The bed was not super comfortable, but it didn't have a mattress pad it seemed. We put the coverlet under the fitted sheet (I know, a no, no but goodness we couldn't sleep) and that made it so much better. Anyway, if you have to money and have teenage girls with you this is the best place. It would be great for a girls night out trip, etc.	
Mar 12 2009 	Fantastic view tired rooms	I booked this hotel on www.ghotw.com and felt the site overrated it, it does have a great view and good food but some of the rooms are a bit tired.	
Mar 2 2009 	Not that good	Well, this hotel is in a very good place, in front to the Central Park but most of the rooms don´t have a view (just for others windows). The service was avarage, the rooms was enought to sleep, not to stay any second more. The room was dark, had a couple of lamps but not enought and had some old look, the sealling of the restaurant was about to fall (but had some paint to cover it - and it didn´t) and the food was weak for the price. I think is a overpriced hotel.	
Feb 22 2009 	Central Location with nice views	We ended up here as the hotel we had booked was full, so not a great start but the staff at the Park Lane made us feel more than welcome. The concierge who took our bags up was very friendly and helpful - admittedly he was trying to earn his tip - but at least he tried to earn it rather than just expect it (even to the extent of showing us how the shower worked!).Room was perfect for our stay - yes it was small, but this is New York - if you want anything bigger you've got to be prepared to pay for it! Views on the first morning of Central Park were phenomenal.Biggest sell on this hotel was definitely the location - out the front door and 1 min to Central Park, 3 mins to 5th, and 10 mins max to Times Square - all on foot.I guess NY prices always take the pleasure out of it, and should maybe take that into account when reading these reviews. Should also mention that while we were on the 36th floor or something like that, sound insulation was still very good. One of the only hotels I've been in in NYC where you couldn't hear sirens and horns at all hours of the day and night.	
Feb 20 2009 	Wonderful Central Park Views!	We just returned from Valentine's weekend at the Park Lane with the breakfast package. I would highly recommend the Park View room, The view is beautiful and at night it is amazing and quite romantic. I recommend the breakfast package for no additional cost you can have a continental breakfast in a beautiful room with views of the Park, just book it online under &quot;specials&quot;. I really appreciated the hours breakfast began at 7AM as I was taking an analyst class over the weekend as well as celebrating Valentine's Day with my boyfriend. He did decide to add more to his breakfast our second day and you can do so for an additional cost, although it was expensive!I agree the rooms and hallways are dated, but the rooms are spacious, clean and for additional cost you can upgrade to a suite for a more elegant room. I stayed at the Plaza steps away for work and the room was $850 a night, so I truly appreciate the location the value. Sarabeth's next door has a lovely brunch menu which we have done in the past and I also recommend it.	
Feb 18 2009 	Great Location/Excellent Service	We stayed for one night as a little get away and were very pleased. We got an outstanding deal that included continental breakfast in the dining room and parking so we were able to save some $$ by driving in instead of taking the train... Our room was large (for NYC) and well appointed, if a bit outdated. The service was excellent and included a complimentary dried fruit tray and lovely personalized welcome note. Staff was friendly and helpful and we were within walking distance of great shopping &amp; dining and also close the the subway. We will definitely plan to stay again...	
