	Okay to stay at this hotel.	Liked this hotel eventhough it is in a funny area. 24 hr auto shop across the street, stables for the Central Park Horse just up the street and high rise building construction on one side. It looks like it's in the middle of nowhere but it is in fact close to everything. Felt safe enough to go out for a smoke at night. Not the biggest rooms but clean and the staff was friendly and recommanded an excellent restaurant for dinner.	
Jun 22 2009 	Not bad at all	I searched high an low for a good affordable hotel which was not rat infested!!!! The Western is not bad at all. It is basically a travelodge. Clean small sized room. Nice power shower. Had a safe. 10-15 minute walk from times square and Maceys. Breakfast consists of cereal, doughnuts and bagels.The hotel is opposite a 24hr mechanic which can be noisy therefore you ideally want a room at the back of the hotel rather than the front otherwise ear plugs do the job just fine.They are building skyscareprs either side of the hotel but never heard a peep from there so dont worry when u get there that it will noise central!!! It really isnt.The area does not look all that great but in a week never experienced any probs and on occassion was walking back at 2-3am.Overall it is a great hotel for the price	
Jun 21 2009 	Decent hotel at affordable rates	The hotel is good value for money. It is located slightly away from times square and Broadway, the buzzing areas of NYC. Otherwise, the hotel has good amenities, very helpful staff.	
May 9 2009 	Good enough!	It's a Best Western and knowing that NYC in this price range offers postage stamp-sized rooms, it worked out fine. I had some hesitation reading reviews here, but the staff was terrific, the rooms were fine, complimentary breakfast a huge convenience, and all in all was satisfied. Especially with the staff. I was one of the few Americans here, with Europeans making up the majority of guests. Breakfast was typical BW continental style. Remember that the rooms are very small (which is typical in NYC) and they could stand updating but free WiFi and breakfast with a relatively central location? You're good to go!	
Apr 17 2009 	Spend the Extra $ to stay somewhere else	My husband an I took Super Shuttle from the airport and were one of the last to get dropped off. We watched everyone go to these nice looking hotels and then drove through a not-very-nice looking part of time and voila, this was the Best Western. The help staff was very nice, however when we got to our floor, the entire floor smelled like smoke. And when we opened the door to the room it was almost as if the bed touched all four walls. I don't think our luggage would have even fit in the room with us. The place would be good for young travelers really trying to save some money, but for a married couple trying to have a nice stay in NYC it is not the place. We didn't stay the night and instead went to the Courtyard Marriott. Twice the price, but still a good deal for Manhattan and MUCH more comfortable.	
Mar 27 2009 	bit of the beaten track but good value	I ahve to admit the walk from Penn station a bit long about 15 mins and the area didn't look too good but overall the rooms were basic but it served a purpose and if you just want somewhere to get your head down it certainly does the job. Breakfast okay but it is free. Would possibly stay again if in New York.	
Feb 17 2009 	Couldn't beat price at that location	I raved about it. For midtown Manhattan the price was great. In fact, it was so good I was wary until I got there and saw my room. Small, sure, but I couldn't see much difference with a Holiday Inn Express room. Breakfast was basic, but filling and included in the price. WiFi in the room worked well, which is important to me when I travel. In fact the only quibble I had was when I asked where I could find a plug adapter for my laptop. I'd forgotten mine. The guy at the desk told me to go all the way to 48th and 8th Ave, but I found one only two blocks away on 8th Ave between 37th &amp; 38th.I recommended it to everyone I met on the trip.	
Jan 29 2009 	Great value!	I think that this was a great hotel for the money....via Priceline. The room was small but very clean and always pretty quiet. It is a little out of the way but you walk from Times Square, right near a firestation and then are there so it's not too bad plus there is always the taxi option.	
Jan 21 2009 	Economical and Nice Location	I stayed for 4 days there and it was very pleasant. I walked everyday to Times Square and Broadway, which is about 10-15 mins. Room was small and clean, but the bedskirt was ripped. Continental Breakfast was pretty good. This Hotel is really good for the people who are in NYC for sightseeing and spend most of the time outside their room.Hotel has a security service which charges $1 per bag to hold.	
Jan 4 2009	Worst Western	So, I obviously I stayed at a two star hotel, and I’m not expecting the amenities of the Ritz Carton, but this place was a TOTAL dump. Where do I start? First of all we got a King size bed, which was actually two beds put side by side to make it look like a king. That wasn’t that bad. But the room was SO small. The room had an armoire with hangers where you could hang up your clothes because there was no closet. But you couldn’t open up the armoire all the way because the room was too small and it hit the bed. The hotel’s location is pretty crappy because it’s about a 15 minute walk from the closest subway station. There’s nothing around the hotel, and the neighborhood is a bit shady. (next to a gentleman’s club) Our room was fairly clean minus the several pubic hairs I saw on our comforter, and on our counter in the bathroom. Gross!!! The thing that bugged me the most was that the major TV networks did not work on our TV. When I went to complain to the hotel, they said that there was nothing they could do because there was construction going on next door. I tried 2 times to talk to a manager about getting some sort of compensation, but the manager had not been on duty. I called the hotel and spoke with the manager and he said that because I had gotten a low rate through Priceline ($107 before taxes) that they couldn’t compensate me anymore. They did offer to give me a discount the next time I stayed there, and I explained to the manager thank you, but I will never stay there again. This should be rated a 1 star hotel. I do not recommend!!	
Dec 3 2008 	Nice -you get what you pay for location is worst feature	Clean, functional room. Good for a short stay where you will not be in the room very much. The location is bad (didn't feel unsafe, just not appealling), in a desolate area with construction and train noise once the sun comes up. So if you just need a clean, cheap place to sleep, don't mind an &quot;ugly&quot; location and can get a cheap price, this may be worth a try. I booked on Hotwire so wasn't sure what hotel I would get until I paid. I've done better for about the same price in NYC.	
Nov 1 2008	Bed Bugs	I am pretty positive I brought home bed bugs from this hotel. They started infesting my apartment around the same time we got home from our vacation. They have made our lives a nightmare.	
Sep 16 2008	Good hotle	We stayed in the hotel for 5 nights.Rooms are more than OK, not too small. it depens on what you seek. If you just seek a place to sleep this is a great hotel. Our room was always clean, fresh towells, fresh sheets etc etc.Breakfast was ok, no complains at all. Don't expect too much but it's goodThe neighbourhood is not unsafe, really we walked their at 2-3 AM, no probs at all. 10min walk from times square and subway.Fact is that they are working next to hotel so their is some noise very early but we never noticed it because we were so tired after a whole day of walking around the city :)If you want luxe you have to book the Hilton of the Plaza but you will also pay the prize.This is a very good for it's prize (if you compare with others) hotel with hard working people. Great for tourists	
Sep 10 2008 	Thieves in the room	When we checked in I foolishly mentioned that we'd just been to Mexico City. We got to our room and the room safe was locked closed. We called the front desk to report it and they said they would take care of it that evening or the next day. We hid our passports in our clothes and went out to dinner. When we got back our passports were gone. The keys are of the card type and are renewed upon each check in.	
Sep 3 2008 	First time in New York	If you are out and about you don't need a room at the Ritz, this hotel will serve your purpose. We stayed for 5 nights and returned each night to sleep and plan our next day. Rooms were clean but on the small side, the breakfast had a good selection and the walk to downtown was average distance. Made my way around to a play, the US open tennis and the David Letterman Show. Would love to return to Manhattan and would have no problem staying again at this location.	
Aug 27 2008 	Very convenient for a tourist stay in NYC	I book a room for 4 people. Two adults and two teenagers.The hotel is well located and good price compared to other hotel of NYC. The staff is very kind and works very hard. The breakfast is good.Only drawbacks: the only lift is very slow and the rooms are not large but the beds are comfortable. 10 minutes to reach the subway. A recommendation is to use the taxi by night, it's cheap : 7US$ from time square to the hotel and it's more safe.By the small window, you can see the river. Wifi is for free in the hotel and there is a safety box.	
Aug 24 2008 	A great hotel; Not the greatest location	I stayed at the Best Western Convention Center Hotel in New York City from August 15 - 22, 2008. I visit New York City almost every summer for about a week, and was a bit scared when I got this hotel through Priceline. The hotel itself is quite nice. The bed was comfortable, and the room wasn't too small. The best part about staying here was the free breakfast and free hi-speed internet. Internet is available at a terminal in the lobby, or you can borrow an ethernet cable to use with your laptop in your room. Breakfast was available between 7 and 10am, and consisted of various cereals, bagels, toast, danishes, muffins, apples and bananas, orange juice, apple juice and coffee. Simple, but just what you need to get you going in the morning.The location of the hotel was a bit of a downside. It took me almost half and hour to walk to one of the Broadway shows one evening just because there were so many people around. The hotel is located southwest of Times Square on 38th street at 10th Avenue. The neighbourhood isn't unsafe, but I'd avoid walking near the Port Authority. Lots of homeless people around there at night. I felt it was a bit far from many things. If you have problems walking, don't stay here. If you don't mind a good walk (I walked everywhere, from the hotel to the Guggenheim in the upper 80's, and to the southern tip of Manhattan Island), this hotel isn't so bad.There are many more centrally located hotels, but if you don't mind walking, this is an affordable alternative.	
Aug 6 2008 	MIRROR FELL ON TOP OF HUSBAND AND IT WAS PUT ON THE BILL!	My husband was going to take a shower before retiring for the evening. There was no rubber bath mat nor was there a towel type mat in the bathroom. A set of towels for each of us was provided, with no extra towel. He looked at the bottom of the tub, and there were faint gray ovals on the bottom of the tub. He assumed that this meant that it was a non-slip surface by looking at it, especially since no mat was provided. He turned on the water, and then started to get into the shower. His foot slipped out from under him and he fell heavily to the floor, taking the shower curtain and its rings with him. He fell with such force that the mirror fell from the wall above the sink, broke against the edge of the sink, and then landed on top of him. (The mirror was attached to the wall with only two small flat clips.) Small pieces of the mirror cut his chest, legs, hands, and near his ear. These were all small cuts, nothing major, and I always pack band-aids just to be on the safe side. Luckily he was not badly hurt, especially when you are talking about a 61 year old man falling in the manner that he did. I called the front desk and told them what had happened. A gentleman came up and tried to clean up the shards from the mirror, but there were small pieces that he was unable to get up with the broom. I called the front desk while he was in the room and asked if we could move to another room since the bathroom floor wasn’t safe to walk on without shoes, but I was told that no other room was available that evening. The man who came to help us got us a new shower curtain and brought up some ceiling tiles to put on the floor along with some extra towels. He couldn’t find any shower curtain rings, so he brought me some pieces of string for me to use to put the shower curtain up. I had cleaned up the blood with the wash cloth and he told me to just put that in the trash can, which I did. The next morning I went down to the front desk and asked to speak to the manager. I was told that he would not be in until Monday morning. Our phone number was taken down and I was given a card with the hotel information on it. I asked the man at the desk to please let housekeeping know that the floor really needed to be carefully mopped since there were still tiny pieces of mirror on the floor. This was done. No new shower curtain rings were put up; the mirror was not replaced. We were given a towel type bath mat.On Sunday morning we went to the front desk to check out and were told that a $130 charge for the mirror and a $10 charge for the curtain rings were added to our bill since we broke them. Once again I went through the entire account, and the young woman then removed the charges, but we were told that they might be put back on our bill on Monday. I reiterated that we wanted the manager to call us. Our daughter noticed that the notes that were sitting on the front desk had highlighted the statement that we broke the mirror, not that there was a fall and the mirror fell off the wall and broke on top of my husband.. This entire ordeal has left us extremely disappointed with Best Western Hotels. To begin with, this event never should have occurred. You either provide your guests with a bath mat of some sort, or your tubs have non-slip surfaces. You should also mount your mirrors with a stronger type of anchoring system than what was used. If and when an unfortunate event like this does occur, you do not bill your guests for damages that occurred through no fault of their own. We were upset that this happened to him to begin with, and billing us for the mirror and shower curtain rings made matters a hundred times worse. All that my husband wanted to do was take a shower safely. That certainly is not too much to ask of a hotel.The manager has yet to call us, and it is over a week since this happened. He told the Best Western people to say that he was sorry. They have also asked him repeatedly to call us. The charges were not added back on to the bill, and the owner did not make any other adjustment to our charges to compensate us for this. I can't imagine what would have happened if he had broken his hip when he fell.	
Jul 27 2008	Misleading Best Western - Parking almost a mile away	This place was absolutely horrible! I read a few reviews, and thought I'd take a chance because I usually like the Best Western brand and enjoy earning points for my stays.However, I would not recommend this place. Just as the other reviewers stated, the hotel is in an isolated area of Manhattan. It's just 2 blocks from the Lincoln Tunnel exit, and I wouldn't recommend walking to/from the hotel at night. Parking was the worst part. You leave the keys with Central Parking, the official parking for this Best Western hotel, and you walk 2 schleps (which are 2x regular city blocks), plus another 2.5 blocks to get to this hotel. The sidewalks you have to use to get to the hotel are all blocked off, under construction, or have potholes in them (I know - strange for sidewalks to have holes in them!). It's a long walk, and the hotel staff 'forgot' to mention this. Instead, they said, &quot;Oh it's not far away at all.&quot;It was.Also, the nearest subway station is just about as far as the parking lot, and the station is next to a NYPD police station -- so you can imagine the riftraft hanging near there after being released. I would highly, highly recommend staying at another hotel, even if it's pricier, because the inconvenience and lack of service at this hotel is not worth its 'low' price. Oh - and parking is an additional $30 by the way, which is NOT included in your hotel rate/stay. The hotel staff didn't even know where the nearest cabs were, nor did they have names or phone numbers so that we could call a cab...totally useless staff.	
Jul 20 2008 	Stay here only if you are DESPERATE	The All Star Game was being played in New York and every hotel room was taken, or so it seemed according to my travel agent. I was booked at this hotel. The people at the desk are nice and helpful. The problem is the room. It is essentially 12 feet by 12 feet.. no exaggeration. The bed, desk, lamps, chair and closet are all crowded into that little tiny. area. The hotel is located across from a 24/7 car repair shop that fixes New York cabs all night long so the tire machines and all the other related machinese are banging all night long. The Amtrak train track runs alonside the hotel so all the trains go up and down and you hear all that noise as well, in addition to New York's Finest Fireman racing to a fire and blaring their sirens as they go. The firehouse is only a block away. You don't have to go to Broadway for entertainment. You will get it live and in concert all night long.. I fully guarantee it.	
Jul 17 2008 	Hated this hotel	This is the last time I will use Priceline. For $179 a night, I dont think its too much to expect a clean place. This is a dirty run down hotel with EXTREMELY cramped rooms and very worn everything. But worse is the location, in the middle of a block of buildings all at various stages of construction, and with trains, trucks etc. running all night and a very noisy mechanics place right opposite the entrance. There are no restaurants or shops nearby and one has to walk a couple of blocks even to find a taxi, which do not cruise past the hotel. Under no circumstances would I recommend staying here.	
Jul 9 2008 	Good value cheerful staff and isolated location	The Best Western Convention Centre Hotel (BWCCH) is great value if you pay less than $200/night. I booked the BWCCH through Priceline and bid (and paid) $150/night. May sure you try even a lower bid, as others have paid less.Yes, as with other reviews, I was quite sad when I got the reply from Priceline that I got the BWCCH. Having lived in Manhattan and visited a number of times, I had no idea the BWCCH even existed. It really is in the middle of no where, except for being a block from the Jarvits Convention Centre. It's a very fast 12 minute walk to the A, C &amp; E subway line, which you can enter at 40th street and 8th avenue. I never felt unsafe walking back at 1 a.m. in the morning, but the area was quite deserted.I stayed in Room 1104 (top floor, 2 double beds). The room is actually quite a bit bigger than other Manhattan hotel rooms which I've stayed (in particular the minature-sized 30-30 Hotel). The bathroom is nice, clean and modern. The bed and mattress was very comfortable. I did notice that I got a few bites on my arms during my stay - not sure if it was bed bugs or something else I came into contact with during my stay in Manhattan.The free breakfast was okay. It consisted of: cereal, milk, juice, muffins, apples, bananas, doughnuts and bagels. It was not spectacular; rather, it did the trick until late lunch. I thought the coffee made in the hotel room tasted better than the free breakfast coffee.The location of the hotel is the main reason why I did not rate my experience as a 4 out of 5. Just being so deserted and isolated, made the walk back to the hotel very lonely and depressing. Be prepared for a walk if you stay here or paying a lot for taxis. The hotel and rooms are fine, clean and the staff is friendly. The cleaning staff even left me a 'thank-you' note when I left a small tip on the bed. The cleaning staff did a great job. Yes, for the right price and the right time of year (not winter or super hot summer months) I would stay here again.	
Jul 9 2008 	Good hotel for short stay those who don't mind walking	My husband and I stayed over the 4th of July weekend. The front desk staff were very helpful and friendly upon check-in. The location is not too convenient unless you are using the convention center. Rooms are a reasonable size for a New York City hotel. Bathrooms are small, but very nice and clean. We loved the bed - it had a memory foam mattress and was extremely comfortable. The noise from the trains and the shop across the street did not bother us, but it probably helped that we always take a white noise machine with us to hotels.Neighborhood is industrial, but not unsafe. Some of the reviews have said the neighborhood is dangerous, but we did not feel that way. You can definitely smell the horses from the barn next door, but not for long as we didn't hang out outside the hotel and went on our way. On future visits, I would prefer to stay elsewhere, but mostly for location.	
Jul 5 2008 	Exceeded expectations a bit like a "boutique" hotel	I wasn't so happy when I first got this hotel on Priceline. Web reviews were horrible and the neighborhood is full of car repair shops. No character there! However, I was more than pleasantly surprised and I would definitely stay there again. If you are at the Javits Center, it is only one-half block walk. The horse-drawn carriages are prepared out front so if you like horses you will be in heaven. The hotel is new, very clean, the staff are incredibly friendly and helpful. The bed was exceptionally comfortable and the fourth floor room by the elevator was the quietest I have ever had in NYC. The included breakfast was great for a continental style, lots of choices including fresh croissants, fruit, cereal, juices, doughnuts etc. The room had coffeemaker, safe and iron and ironing board. It is a quick and easy walk to Macy's, Penn Station, Madison Square Garden area. The hotel was filled with European travelers, my last day I finally met a family from Kentucky. They also loved the small boutique feeling that this Best Western offers. The only downs were the small room (I shared with a friend, we had two twins pushed together like a king) and the view. I'll be back!	
Jun 18 2008 	Below average	Good points:1) Somewhat close to Penn Station, where I entered the city.2) Relatively clean, but nowhere near pristine. About what I expected at this price.Bad points:1) They claimed that they were giving me a queen sized bed, but in fact, they took a queen sized headboard and put two twin beds together. This alone was pretty unacceptable, but when we approached the front desk, they were unhelpful and just said that all of their queen beds are like that. Are you serious??2) Nothing of interest within 5 blocks of this place. About what I expected at this price.3) Continental breakfast was pretty lousy. Again, what I expected at this price.Other points:1) The hotel is kind of off the beaten trail, and there is major construction being done next to the hotel. It isn't terribly well-lit, but I never really felt unsafe walking back to the hotel at 3am. That said, if I were a female and alone, I would exercise a little bit of caution.2) Only one elevator for the entire hotel. It's a smaller hotel but it went out for a little while when we were leaving and we had to walk down 10 flights of stairs.3) If you could get a room for $100/night (taxes included), I would probably recommend this hotel. However, I don't really know if that's a feasible price point. They advertise for roughly $220/night plus taxes, which is outrageous. I would stay in 20 other hotels in the city before this one at ~$260/night.Summary:I don't think I would stay here again, if only because of the bed situation. It's pretty sleazy to advertise a queen bed and then let your guests find out that they just mashed two twin beds together. I'd rather spend my money to stay somewhere in a nicer area.	
May 19 2008 	Would not stay here again! Bad neighborhood	The continental breakfast is not worth going down for. Although this is just a minor bit of why I wouldn't stay here again. If you are a tourist looking for a great place to stay, do not stay here. Too dangerous for tourists. If you are here for the convention, great location, but I rather stay at Travel Inn just a few streets down. Much better service and quality.I specifically called to make sure my guests name was on the reservation, which the operator confirmed. However, they did not update the hotel or it was not in the system. Therefore, my guest who arrived earlier then I did had a great problem checking in AND the front desk employees could not understand what we were explaining. But in the end, my guest pretended to be me, and then was able to check in. Which makes me weary because his ID was definitely not a girls name, but they still let him check in. What if he was a stranger. I am glad though, because otherwise since the operator made the mistake he might have been homeless. Since the operator didn't correctly update the reservation, an important package we had delivered to the hotel was refused and caused a great deal of stress to our business. My only other complaint is the noise level, which I didn't report because there was not much the hotel can do. The train is right outside our window and every time the train went by (which was early hours of the morning and throughout the day) it was very loud and we couldn't sleep. I loved the location although the surroundings were dangerous and smelly (due to the horses), but very close to the convention center. There is a strip club right next door which made me nervous to be outside alone and a 24 hour auto shop which made a lot of noise. Overall due to the miscommunication and surrounding neighborhood, I would not stay here again.	
May 18 2008	very basic and clean	The BW Convention Center is a very basic hotel that is a few blocks away from Broadway and Macy's. It is in an industrial area, but only a couple of blocks from 9th avenue where there are some reasonable restaurants. We booked our room through hotwire. It was the least expensive hotel we could find in midtown that had a private bath. We drove to the hotel and were directed to park at a lot 3 blocks away at a &quot;discounted&quot; rate of $30 a night. The hotel is just a place to crash at night. Not somewhere you would want to relax in. It is right across the street from a 24 hour garage. Our room faced the street and it was a bit noisy. I would ask for a room on the other side next time. The room was clean but small with basic furnishings. I felt the hotel was secure and the area safe to walk around despite the industrial feel of the area. For those on a budget it is fine.	
Apr 18 2008 	Nice hotel!	Got the hotel on Hotwire, so we actually not selected it ourselves.Paid 179 dollar + taxes for three persons (one week´s stay). Must be a good price on Manhattan. Stayed on the 11:th floor. It was rather small but very clean and neat. The Tempura mattresses was comfortable and it was nice to have a safe for money and tickets. The bathroom was very good.The breakfast was better than expected. There were fresh fruits, boiled eggs and cereals and lots of sweets like donuts and muffins (and people had it for breakfast!?)The staff didn´t great you mornings and evenings, exept for the cleaningladies. A little bit rude I think.There where no protestors the week we stayed.We thought the neighborhood was safe.We are very pleased with our stay and had a wonderful week in New York!	
Mar 29 2008 	Terrible experience with the hotel never again.	I have booked the hotel from hotels.com for my family vacation. We paid for 220.00/night for two nights, plus 100 for an additional person. The room is so small, no space for the luggages.. We have to put the luggage on the top of the chair. There is train path close to the hotel, each night, we would be waked up few times by the passing train noises. For price over $300.00 for the condition in NYC, it is much over priced.Our terrible experience came to the day of check out. First of all, it was our mistake remembering wrong check out date. We thought the check out date was 28 but it actually was 27.We came back to hotel at around 8:00PM, and the room was locked out. We came to the front desk and were told that we already passed the check out time, and would be charged a full day rate for the day and let us leave immediately. I talked to the on site manager that it was a mistake we made, and If we charged the full day rate, we should have the room for the night. But the manager told me that all the rooms were sold out, I can not get any room. I thought that the person who booked our room had not checked in yet, if we move out at this time, we actually not cause any financial lose to the hotel, I asked for a discount/half day charge if we can not stay at the night. I get refused, too. I asked to speak to the senior manager, The on-site manager talked to the senior manager over the phone, and told me that the senior manager was angry and yelling at him, so the price increased from 299.00 to 375.00 due to my asking for talking to the senior manager. This is ridicules! The total charge is 428.65 include tax for the late check out and we even can not have the room for the night! We have tried to talked to the on site manager for the matter until 10:00PM, then we have to drive out to find the new hotel for us for the night, we get a room in Super 8 at around 1:30 AM, a night mere to us for the New York trip. I found a lot of negative reviews to this hotel after I back home, and very regret did not read the reviews before booking. My advise to travelers is that read the review, the negative review has its reason and verify the check out date very carefully. Best Western Convention Center Hotel got an extra $428.65 from me for my vacation (They have a good profit for the room, a total charge over $800.00 for both my penalty and the new book for a single day with a motel level room), but they will lose my business forever include all my relatives &amp; friends.Wish you have a nice trip!	
Mar 27 2008 	Nice	We were really concerned after reading recent reviews of this hotel, but we found it to be a nice, relatively inexpensive place to spend the weekend. We did not see any protestors. We found the staff to be friendly and helpful, and our requests for a room change (first room was right next to the elevator) and extra linens were quickly met. We thought the location was great. We walked everywhere, and never felt unsafe. There was a large event at the convention center that might have accounted for more foot traffic in the area, but buildings across the street were occupied at all hours. Our room was clean and comfortable, with a great mattress. It was smaller than average, but we didn't feel cramped, and had plenty of room for our things and ourselves.There is quite a bit of construction next door during the week, but it did not bother us at all, and our room was on the side of the building closest to the site. We could sometimes hear noise from the auto shop across the street, but on the 5th floor it was not enough to keep us awake. Overall, we were very pleased with our stay, and would recommend the hotel to others.	
Mar 15 2008 	nice hotel- protestors a problem	i looked this hotel becuase the price was right at the time. Sor for the Pros:The room are nice and comfortable, but the rooms with the queens size bed is small- tight fit. Rooms were cleaned and bathrooms were also clean- no smells or problems with cleanliness. Room were stocked well everyday and cleaning ladies were nice but didnt know much english. Continestial breakfast was good and price per night were also well ranged. Cons:Arrived to hotel and the location was in the middle of other industrial buildings- all shopping areas, restuarants, attractions were a good walk away about 15 min walking. Scary to walk at night- would not recommend it- take a taxi if you can- you will be luck to even find a taxi going thru that street since its not a usual pick up place. you would have to walk to the main street. Also what may make you uneasy is a group of protestors outside that are screaming and bugging you as you walk in and out the hotel ( some workers compensation thing)- im all for rights- but it gets annoying... the door man is very helpfull in assisting you in and out constantly saying ignore them. Front desk attendents are not as friendly as you would expect- they really dont go out of thier way for you as a customer except for a young lady who was always very nice and helpful. Overall stay was not bad, however not to its potential- the price is good for a place to stay with comfortable rooms and if you can black out the minors things and walk the distance everyday.. do it!	
