	Crowne Plaza Times Square	Amazing hotel. Very posh and pricey but in a wonderful place with brilliant views of times square.	
Nov 10 2009 	Great location very nice experience	This was my first time here, we usually stay at the Westin Times Square, but wanted to try a new place with a friend who had never been to NY. The location was perfect for what we wanted to do (shopping, Today Show, Broadway Show, etc.) Breakfast was a great addition - lines were long but moved fairly quickly. Rooms were room, bathroom had a single large sink and lots of countertop space - great showerhead too. I would definitely stay there again.	
Nov 8 2009 	Fabulous central location but would have been out of price range if we didn't have loyalty points	I'd only recommend this to a very rich friend or someone who saves loyalty points for the Crowne Plaza / Holiday Inn. I visited New York with a female friend for a shopping weekend in New York.Service was quite interesting - not sure we looked like the usual guests there so the receptionist's service was a little bizarre at first. The receptionist's attitude changed for the better once she realised we were there on loyalty points and that we were English. We had a beautiful twin room (with two double beds) which I think was on the 20th floor overlooking Times Square. The lifts were very fast and almost dizzying. We couldn't believe you had to pay for WiFi here as this is not usualy in other hotels we've both stayed in the USA. We sampled the cocktails in the evening in the bar and we soon decided to moved on as the cocktails were not that great. It was a good though as it made us sample the delights NY had to offer outside the hotel. We know the hotel had sports facilities, swimming pool, restaurants etc but didn't have time to try them out as shopping was our main aim.	
Nov 7 2009 	Loved this hotel!!	My two sisters and I and our husbands stayed at this hotel for 2 nights (Oct 11 - 13/09) pre-cruise. We arrived at the hotel at 7 PM and there was only one person at the line-up before us. The check-in staff was very courteous and fast. We asked for higher floor rooms and we got 3 rooms on the 30th floor which were all spacious, have divan sofa and flatscreen TVs. My room was closest to the elevator but I didn't hear any noise. It was also a corner room with 2 windows: one window was facing Times Square. The lights outside didn't bother us because the window coverings were adequate. Our king size bed was so comfortable, I wish I could take it home with me. Our room key provided access to the business centre &amp; we were allowed 10 mins of free internet use per day. To access the internet, you need to swipe your credit card, which would NOT be charged for the 1st 10 mins of use. Please make sure that you log out properly and get a print-out of your usage, otherwise the minutes would keep ticking away and you may end up with a big charge on your credit card. When I logged out, the print-out showed that I owed over $150. I immediately complained to the front desk and was provided with a tel # to call and the customer service staff agreed to reverse the charges. It turned out that the print-out was for the guest who used the internet before me so I did her a good favor, complaining on her behalf. I was told that the hotel was fully booked during our stay yet I didn't find anything lacking in their service. There were 2 staff working at the concierge desk so I didn't have to wait for more than 2 minutes to speak with one of them to ask for maps, directions and their restaurant recommendations and to have them call our car service for pick-up when we were ready to leave the hotel. We checked out early and used their left-luggage facilities on the ground floor. We had buffet breakfast at the restaurant and the food selection and service was awesome. It was really nice to start our day with a good breakfast. We all bought 2-day NY passes and we walked to most of the attractions except when we needed to go to the financial district for our walking tour and to take the ferry to visit the Statue of Liberty. We also joined the midtown &quot;Food on Foot&quot; tour and it turned out that 9th Ave (between 43rd and 53rd) had the cheapest and yummiest eateries.We had such a great time in NYC and the major reason was because we enjoyed our stay at the Crowne Plaza Times Square. We will definitely return to this hotel again in our next visit.	
Nov 6 2009 	TERRIBLE STAFF AND SERVICE!!!	This hotel is fully dependant on location. The rudest staff I've ever had the pleasure of being served by. I've had to wait an hour for a bottle of water that I called up for three times now!!Charges to our credit card for services were complimentary, which was also not very nice!I would recommend for location, but that is all.	
Nov 4 2009 	Awesome city.	Hotel was nice. Good service. Bartender helped with nearest non stop alcohol Bar:D Hotel room with great view to Hudson river - I hope. Nice Lobby Bar...Good - Clean and Nice.	
Nov 2 2009 	Messed Up - though ideal location	We arrived at the hotel at approx 21:00 on a Saturday night - it was very busy with lots of families checking in, especially from the UK as it was the first weekend of the school holidays.We were immediately told that the room we had requested (and pre-paid) was not available for this night - this was a high-level twin-double room but we would be moved the following day. We were given a standard double room on the 16th floor. One single rollaway was put in the room which was insufficient - we had two kids with us - so we requested another which was shoehorned into the room - no additional pillows were provided despite our requests. We were provided with complimentary breakfast coupons by way of apology,On the following day, we were initially told we were to be moved to another room on the 16th floor - which again did not match what we had reserved. On protesting we were moved to the 41st floor. The room was fine with views over to the Hudson River. However, our luggage, which were told was being delivered to our new room then went missing. It took 4 phone calls to locate the luggage - in total over an hours delay.The hotel location is good - right on Times Square (if you like that kind of thing) - with a good restaurant and a very buzzy bar. However, it seems that it just cant handle the volume of guests and that complete lack of organisation really lets it down. Also...$32 per person for a buffet breakfast!!!!!One note; on check out we (after some negotiation) were given an $83 credit on my credit card for the room downgrade on the first night.	
Nov 1 2009 	Something's not right there	I checked out of my room and 5 minutes later realized that I had left my cellphone on the night table. When I called I was put in touch with a nasty women who worked in security. I asked them to check the room . When I called back they told me that my phone was nowhere to be found. It is now one week and several phone calls later and have not had any luck recovering my phone. Something is fishy about that!!!	
Oct 28 2009 	Outstanding...better than expected	Crowne Plaza Manhattan was absolutely the best choice we could have made. What an outstanding staff the people working there were the most gracious and most welcoming hotel staff we have ever encountered. From the time, we arrived with the Bellman, the Front desk staff and the Concierge team. The rooms were exceptionally beautiful with many extra comforts. I would recommend that if you want to see “the city”, you could not find a better place to stay. Each person made us feel that we were the most important guest in the hotel. They just could not do enough for us. It was a great experience and we would stay there repeatedly.	
Oct 28 2009 	Great location great rooms	This was our 1st New York experience and we weren't dissapointed. The only negative would be the reception staff, maybe they were just busy. Also concierge area always had queues, couldn't even get a question in. Anyway would recommend.	
Oct 24 2009 	are you SURE you need to stay on Times Square?	First let me say this hotel was perfectly acceptable for the price we paid.This hotel is an extremely big central hotel right on times square.When you plan a trip to NY you think you want to stay right on times square.It might not be such a great idea for everyone in fact. You would be much better off staying a few blocks off of times square in a quieter neighborhood.All the restaurants on Times Square are huge industrial factories where you have to wait for hours before getting a table. Much better to be in a less busy area and just around the corner from a great family run place.In any case you just take a taxi anywhere you want to go, staying right on Times Square is more of an inconvenience than a benefit.Staying in a nicer neighborhood and visiting Times Square by day would have been a much better choice for us.This hotel is a huge industrial hotel (for example, you must always wait in line to be able to speak to someone at the front desk no matter what time it is.. this annoys me already...)On the plus side, we staid in the executive floors and the rooms were well appointed (although wc stopped up and overflowed, maintenance brought a plunger within a reasonable delay).The executive floor lounge was really nice. You could have a lite breakfast or snack there, people could get out of the room and take their computers there or go watch TV. It was really nice to have this lounge.Note: they show a swimming pool in the photos; it is microscopic and filled with people who come every day to do laps (no room for hotel guests in the pool). Health club has OK equipment but is in a room with no windows.In-hotel dining is outrageously expensive. Go across the street (or rather take a taxi to another neighborhood you'll pay half the price for better service and food).	
Oct 24 2009 	I love New York	Had a great time shopping, hotel was beautiful, service was great!!	
Oct 24 2009 	Great Location - Poor Hotel 	We stayed at this establishment in September, we are not new to the Crowne Plaza brand and have stayed worldwide in their hotels and are platinum priority members. Unfortuately this one just doesn't meet the standard of a Crowne Plaza and is similar to a budget hotel but charging top dollar.The plus point is the location it is perfect, right bang in the middle of Times Square and should have everything going for it - the sad part is the hotel, management and staff let it down big style. The staff are very rude and have a couldn't careless attitude when dealing customers. I must add that the staff who work for tips (bellman, waiter etc) are in the main perfect and nothing is a trouble to them. When approcahing the front desk you almost feel as though you are imposing on the social gathering of the staff as they are always in deep conversation and never try calling the front desk as they never answer or if they do just put you on hold.Our rooms were Conceirge Class and they were no different to a normal room elsewhere, so god knows what their standard rooms are like. We had multiple issues with the room on check in, the toilet was full to the top with water, yet there was no running water in the room. It was evident that the room had never been used for a long time and had a funny odor - we were not moved but the maintenace man was good and got things fixed eventually. The management will tell you that the hotel has had a multi million dollar renovation programme done recently but there is little evidence of this - the beds and bedding was very uncomfortable.We did use the restaurant and this was very over priced for the quality, yes you expect to pay more in a hotel, but the quality should not be compromised. The location is great and there are plenty of eating houses around to choose from.Would we return to this hotel, no chance - it's simply not up to scratch for the premium they charge. If you are planning a business trip then this is the hotel for you if you are a tourist don't bother go elsewhere would be my advice.On check out I let my concerns be know and was told this was helpful as they want to become once again one of the best hotels in Manhattan - I would say they have a lot work ahead of them and a long way to travel before this dream becomes a reality!!	
Oct 21 2009 	Crowne Plaza not worth the money	We booked two concierge floor rooms requesting months in advance that the rooms be together. We called the week of our stay to make sure they had our request to be together because we have four children. Not only were our rooms not together, they were on seperate floors. After much begging, they put us on the 42nd floor in a king handicap and a double. We had to fight to get our free internet and keys to the concierge room. And they still acted like they were doing us a favor. The staff was rude, and the hotel subpar	
Oct 21 2009 	**Stay here! Dont listen to the bad reviews!**	I am a very honest person and i can say stay at the Crown Plaza Hotel in times Square! I could not fault it one bit! We stayed here as we were getting married in NY and had a few family members staying with us. My family could not fault this hotel either. We stayed for 7 nights, we were on the 40th floor. No noise and we had a corner room facing Times Square. Clean rooms, clean sheets, clean bathroom. Lifts did not take that long to get you up and down. The staff at this hotel were excellent and gave great customer service. Food seemed alittle overpriced so didnt eat here but the hotel is fab and would stay again! Thank you Crowne Plaza for making our wedding so special!	
Oct 20 2009 	Perfect	Right location, right level of comfort, stunning view and access to a private lounge away from the hustle and bustle. All in all very good stay and the staff were excellent and informative.	
Oct 18 2009 	Pleasantly Surprised. Great Location and Hotel.	I stayed here 1 night over the Columbus Day weekend. I was surprised by the hotel and its overall appearance. It was very good looking with a nice lobby and spacious rooms. I used my priority rewards points and had a great room on the 41st floor. I walked in and couldn't believe how contemporary and nice the room was. The location is awesome. I walked everywhere. I really liked the late night activity down Broadway Street. I would definitely stay here again.	
Oct 18 2009 	Our new favorite hotel in NYC!	Just returned from a 3 night stay...this place is awesome! We chose the Crowne Plaza for this trip mainly due to it's location. After a number of previous trips to NYC (w/ and w/ out kids in tow) we've just about covered all of the stereotypical sight-seeing stuff in the 'Big Apple.' This trip was about the theater, shopping, dining, cocktails, and basically just walking around and enjoying the city. For all that--and more--you SERIOUSLY cannot ask for a better location in a hotel. From what I understand the hotel has undergone renovations that five the hotel a very nice, contemporary look and feel. All of the staff we encountered during our stay (everyone from bell hops to the front desk to the bar) were really friendly and helpful if you needed something. Nobody working there acted rude or appeared to have an attitude whatsoever--it's almost as if they actually *get it* that without the hotel guests their jobs may not exist (maybe thethe management has something to do w/ it??). Our room was a good size--very clean plus a comfortable bed and nice flat screen HDTV. When we checked in (about an hour early) our room was ready and ended up having to switch rooms because we requested one away from the elevator, but somehow it ended up being right next to the elevator. No issues or attitude, though--they switched it immediately. The bell hop who brought our luggage up asked if we needed anything else--we said tweo more pillows and three were sent up almost immediately.A couple of misc. notes (some based on previous reviews): ~I believe the hotel was quite full during our stay, however the muliple (!!) times we walked by the front desk we only notice a small line a few times. ~As nice as this hotel is, it doesn' t have an &quot;uppity&quot;/&quot;snobbish&quot; feel to it. We felt the price was reasonable, too, considering the prime location.~This hotel truly is in the heart of all the action: the theater district; Times Square; shopping; resturants; the subway; and a few blocks from Rockerfeller Center/NBC and Radio City Music Hall. Also right next to the Hershey store and across from M&amp;M store. :)~One thing w/ Times Square is that yes, it can be crowded and there are people constantly trying to give you brochures or wanting you to go on tours or to shows, but all you have to do is politely ignore them if you aren't intersted.	
Oct 15 2009	Perfect location perfect holiday!	My mum and I stay in lots of hotels and we stayed at this hotel and arrived home yesterday. This hotel has the perfect location, we walked to everywhere we needed to go. The sight seeing buses pick up from just outside so is great. All within walking distance.... 5th Avenue, Rockefeller Centre, Times Square, Magnolia Bakery (Check it out, esp if you are a SATC fan!), Central Park and loads and loads more, it's basically close to everywhere!The hotel is modern and clean and the staff are very helpful and friendly. I am already planning on going back to New York and I will definately stay at this hotel.	
Oct 13 2009 	Great Hotel - Fab location cant ask for more	We stayed for 3 nights at The Crowne Plaza Times Square, then 1 night (our last night at The Barclay Hotel) The Barclay cost a lot more and we were staying there for a last night as a special treat, we wished we had stayed at the Crowne Plaza the whole time The Barclay was so expensive and tired in comparrison and miles away from anywhere, staff were rude, very dissapointing, we changed rooms it was no better, the bathrooms are old things in the room were broken such as the ironing board. Stop at The Crowne Plaza for a modern stay with friendly staff and great location. The Barclay Hotel isnt recomended unless you want a nice reception area as thats all thats nice about it.	
Oct 12 2009 	Nice Surprise	I was pleasantly surprised by the quality of the hotel, and customer service. Also, the location was wonderful. Much better than I had expected for a New York City hotel.	
Oct 11 2009 	Great Hotel could not get a better position	We stayed here for honymoon its was great position nad would go back. Price wise we found teh New Yorker better Value for monay..	
Oct 11 2009 	Avoid it like the plague especially if you want a King non-smoking...	My partner travels to New York several times a month for business so when I can get away I go. When he told me that we were staying at the Crown Plaza in Time Square I was excited as we have never stayed at this hotel. We arrived around 7:00 PM and when we got there we were given our room keys and went upstairs. When we finally reached our room we discovered that we had two beds instead of our king. We specifically asked for a king non-smoking. So my partner called the front desk to see if we could change. We were told that they didn't have non-smoking king but could get us a smoking king. He was put on hold and eventually we hung up because of the wait. So we called back and we asked for the manager and he tried to get us a smoking king but he said “Oh I am sorry but we no longer have any of those.” I about fell over. He said that he could change our room the next day but we said forget it. We were beat so decided to order dinner in. The food took about an hour to get to us. We had steak and salad. It was pretty good but way too EXPENSIVE. My partner ordered a beer and it was $9.00. I thought that was ridiculous. My advice is to avoid eating there – go to Ruby Foo's.So the bed situation was bad. My partner and I couldn't fit comfortably on the full size bed. It felt like a twin bed and like we were on a naughty camping trip. The maid service was good. The maids were friendly and fast. The room was spacious and the in room entertainment was great. I wouldn't stay here again and I would advise anyone I liked to stay here.	
Oct 11 2009 	Wow! What a great hotel/room!	From the bellmen, check-in staff, and room everything was just great. Our room overlooked Times Square on the 18th floor. Lovely room with all the best amenities. Every employee was friendly and spoke to you. I will definitely stay here again. Great location.	
Oct 10 2009 	THE perfect spot for a one night visit to NYC!	Absolutely perfect place to maximize our quick overnight to NYC! We parked our car on arrival and didn't see it again til we left! - and all right in Times Square!	
Oct 10 2009 	Great Hotel	Stayed at this hotel for two nights before taking a cruise, great location, and great hotel.We asked for a high floor and were given the 43rd floor!!This hotel only has a door entrance on times square the main car entrance is from a side street, you go up a level (Hershey’s shop in below the hotel) to a small hotel lobby, this was the only down side.The staff were very good the rooms were modern and very clean.The location is excellent.Stay here if you have an opportunity.	
Oct 9 2009 	Great location 	We really liked this hotel &amp; plan on staying there on our next visit to Manhattan. The breakfast buffet included in our rate was a full buffet with all the desired items. Service from concierge to wait staff to front desk/concierge was excellent. Rooms newly renovated with great beds and the corner king made for more room.	
Oct 9 2009 	Exactly what was needed for a theatre weekend.	Very nice hotel. It was the best location to secure Broadway show tickets at the TKTS booth. Don't eat breakfast in the restaurant, it's too pricey. Head over a block and a half to the Hotel Edison. Great breakfast for only $7.95.	
Oct 8 2009 	who could ask for anything more	I went with my sister in law to this hotel for a conference her work was having. I was there for pleasure. it was very clean and everyone was very friendly. we had a problem with the coffee maker (operater error) and the maintenance man came and showed us how to work it. The rooms were large enough for 3 people to share without bumping into each other. Our view was right over times square but we couldn't actually see the ball but all we had to do was step outside. great location, it was walking distance to most theaters as well as Rockefellar Center and Empire State Building. We are going back for the New Year.	
Oct 8 2009 	Birthday in New York	Great hotel in the center of all the action.Clean and quiet with great beds just what was needed after 2 weeks in europe on hard mattresses.	
Oct 8 2009 	Can't beat the location	Our first time in NYC with the family and wanted to be in a good central manhattan location. You can't beat the crown plaza for exactly that. Great location and nice rooms - although a bit cramped for 4. Mainly the desk is too close to the bed so you can't sit at it and have anyone walk by. But that is the only complain. Very clean. Quick elevators even though it is 49 stories. I didn't use the restaurants in the hotel at all because there is too much to explore nearby - broadway shows, plenty of restaurants, etc. The subway is also close. They also had a helpful concierge although there was usually a line.	
Oct 8 2009 	Crowne Plaza TS average hotel for price paid	Stayed recently with daughter and mother in a double room overlookng TS. Location was great. View was great. Hotel was very clean. Room size was about average. Bathroom was nice size but our water regulator was broke. We couldn't get hot water the first night we were there. Called front desk and they sent someone about half an hour later. He said it had to be set at a specific spot and had to run for about 10 minutes to get hot water. Daughter took a cold shower before this and mother had trouble with bath the next morning. Once we learned the trick, we all had hot water. But with the price of the hotel I don't think we should have had to learn a trick to get hot water. We were compensated for this though with a free breakfast the morning of check-out. We appreciated the gesture but the breakfast was just mediocre. The best item I had was the Rice Krispies with fresh blueberries and strawberries. If I would have had to pay the $26-32 that was listed as the rice for a breakfast buffett I would have ben upset but since it was free I didn't lose out on anything. The waiters don't do much serving. I think they only need to give you one cup of coffee and juice. They didn't come around to fill up cups after the initial serving. Parking is very expensive so we used an Icon parking garage about 3 blocks down 49th street and saved $90 for the 51 hour stay. At night security checked for room keys before entering the escaltor. Also it was very difficult to get the front desk at night, phone would just ring and ring.	
Oct 5 2009 	Great Location	We just returned from Crowne Plaza and this was an excellent hotel. We went Sept. 30th - Oct. 4th, 2009. Staying here gives you the true feeling of Times Square. The bed was very comfortable, big room with king size bed (rm. 3502), wonderful staff, and great views. We left the curtains open for the bright lights, that's part of NY to me. The hotel is located right beside Hersey's Choc. and across the street from the M &amp; M for all those choc. lovers. The best part of the trip other thant he hotel was winning tickets for the Late Show with David Letterman and the taping we attended was him telling about the affair with co workers, we all thought it was a joke until it was on the Today Show. Awesome trip and great hotel. It was expensive but so is everything else in NY. Well worth the money if you are wanting to be in the action of Times Sqaure. They do charge extra if you use the gym and internet.	
Oct 3 2009 	Made first NYC trip just perfect!	I can't recommend the Crowne Plaza TS highly enough! For us Brits it has to be a 4*star standard at least! Probably best of all is it's amazing Times Square/Broadway location, if you are lucky enough to get a higher floor room overlooking Times Sqre that will top it off. The staff are happy to accommodate requests or at least try their best we found, friendly and polite. Everything from arrival, the lobby up was impressive and efficient. We never ate or drink at the hotel so cant comment, just too many things outside and places to fit into a 4 day trip! Every floor has a great ice machine so was no problem having no fridge in room we found. Great tea/coffee machine tho that was so easy to use, makes a change! Room was really modern and obviously recently renovated just the right size, great bathroom, fab little safe, king bed was possibly the most comfy bed I've ever slept in!:) Being so central many of the top sights are within walking distance (don't forget your comfiest trainers for NYC!) Warning - Across the street from the M&amp;Ms store and next door to Reeces /Hersheys- will test your will power!! Will be back to NY next year fingers xxd and 100% will be staying at CPTS again, I dont think you could beat it! Made our first NYC trip really special!	
Sep 29 2009 	Awesome - if you have the means go	I was able to book 6 nights here on my Priority Club points. We got a corner room on the 35th floor overlooking the north and west of the city. I'm Platinum, so everything was comp'd (internet access at 19.95/day free, fitness room, 46th floor, etc). The room was great, with our only complaint that the shower had very low water pressure and almost no hot water. I did call about it but we were out and had the Do Not Disturb on when they came by. They left us a message but we failed to call back to have someone come back up. At checkout the manager implored me that we should have had it checked out to make our stay better. I assured him that if the only problem we had was only warm water and low water pressure, we could live with it. We never tried the hotel bar as it was always full in the evening (and it's not cheap). You're right in the middle of everything, 2 blocks from the N subway on 49th that brings you to 42nd and Times Square to get anywhere. Next time I go back to the city, this is where I'll be staying, until the points run out that is :)	
Sep 28 2009 	A Great Hotel	Just got back home today. My wife and I can't say enough about the Crowne,its in the middle of everything.Stayed on the 27 floor facing Times Square,the people in the hotel couldn't have been more helpful. The lights of Times square shine bright. Free internet would have made it perfect.Otherwise a VERY nice hotel with a lot of attention to detail.	
