	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Nov 8 2009 	We always stay at the Giraffe	The Giraffe is well located--quiet area, shops and restaurants within easy walking distance--but quiet in comparison with the up town hub-bub. The accomodations are pleasant and the staff always accomodating. We feel welcomed there.	
Nov 6 2009 	Comfy hotel in an easy location	I'm so happy that I chose this hotel for my 5 night stay in NYC. The location was great for several reasons:-easy to hail a cab (on Park ave)-close to subway stops-entrance to hotel on 26th is in a calmer area, so entering/exiting building doesn't feel rushed/busy-Gramercy area has lots of good restaurants in easy walking distance-Whether you're going to uptown or downtown, not a long trip/distance due to hotel being well situated.I was looking for a hotel that was quiet enough should I want to sleep late (into the afternoon), and this was a good choice. We were on the 6th floor, happened to be a corner room, and were never disturbed from noise coming from the hall or other rooms. The double pained windows helped keep out a lot of street noise, too, although I did use earplugs 2 nights when there was some early morning construction on the st below. The darkening shades also helped get that extra shut eye.I requested a mini fridge for my stay and did not get charged extra for that, which was very nice. 2 bottles of water are delivered at turn down service, so you always have something to drink. The wifi was great, had no trouble getting a signal or keeping the connection whether I was in the room or downstairs in the lobby/sitting area.I didn't have breakfast, but did stop by for some cheese one night and it was delicious! Laid out nicely and a wide selection of cheese and crackers along with raw veggies and dip.The bathroom had lots of counter space and the complimentary umbrella really helped us out for the rainy weather. (Saw more available downstairs if you need more than 1 per room.) There's also a door to the bedroom, which is helpful if someone is still sleeping and the other is making noise in the other part of room.The only slight negative thing I can think of is that the couch in the room didn't offer much support. There are no arms and the fabric is a bit slippery, so working at your computer as your sitting in that area of the room can be a little uncomfortable after awhile. Had to unplug a lamp or two to get all our chargers plugged in (a cell phone charger and laptop charger for 2 people, so 4 plugs), but that wasn't a problem for us.	
Nov 5 2009 	Great location great breakfast great cheeses great time	Enjoyed out time there, no complaints at all, after all how many hotels like this have wine and cheese gatherings at a piano bar, as well as great bagels in the AM with a paper.	
Nov 5 2009 	HIdden gem in NYC!	I found the Hotel Giraffe quite by accident and had a wonderful time at this elegant property. I cannot complement the staff enough for their great service and attention to every detail. The rooms are spacious, nicely appointed, and updated. We were pleased to find plush robes and complementary water. In the morning there is a complementary continental breakfast available in the lobby, a nice way to start your day. The hotel is a short walk to the subway which proved to be an added bonus for us. After a busy day of shopping and touring the city, we were pleasantly surprised with their evening wine and cheese reception in the lobby. It was a nice way to relax before heading out to dinner. New York truly is the city that never sleeps. When you're ready to sleep, I'd highly recommend the Hotel Giraffe, a hidden gem in a very busy city.	
Nov 4 2009 	Excellent hotel friendly staff would recommend	My wife, daughter and I stayed at the Hotel Giraffe for one night in late October. From arrival until departure the staff were friendly and attentive. They were also very considerate to my 11 year old daughter and made us all feel very welcome.The location is convenient being close to the subway and all the sites of NYC are easily accessible. The buffet breakfast was fresh, and the evening wine &amp; cheese selection a nice start to an evening.I'd recommend this hotel to anyone looking for a good value, comfortable hotel.	
Nov 4 2009 	A real pleasure to experience	We stayed at the hotel giraffe for 5 nights 27 Oct- 1Nov 2009.The staff were outstanding in providing excellent customer service, nothing was to much trouble and always with a smile.The rooms were immaculately clean and furnished to a very high standard with a lovely balcony, providing an wonderful view.The complimentary breakfast was ample with a very good choice to suite all tastes.Evening cheese and wine served between 5pm - 8pm Monday - Saturday always went down well and again the staff should be complimented for their immaculate service.Location was perfect only 2 mins from the subway.A real treat to stay here and cannot recommend this fantastic hotel highly enoughOur advise - book a room and see for yourself !!	
Nov 4 2009 	Outstanding	From the rooms to the service....top shelf....they do an excellent job here.	
Nov 4 2009 	Nice hotel and superb location!	Hotel Giraffe was found by me through the Trip Advisor's reviews. It is the third time we choose a hotel this way,and like the other times, it was absolutely precise on all descriptions. Hotel Giraffe is very conveniently located in Park Ave ,between Uptown and Downtown, served by 3 subway lines nearby,and the big Union Square subway almost 8 blocks down.The neighbohood is amazing ,and full of excellent restaurants (Voce ,at 26th st,Gramercy Tavern, at 20th St,, Union Square Cafe,at 18th St.) .The room is very nice and full of amenities. Breakfast is included ,and also very nice (only misses a cheese and ham offer) ,as well as a cheese and wine/champagne selection at the lobby, from 5 to 8 pm, which is a very convenient snack for those who have theatre or concert at 8pm,which is the average time.The girls attendants at the breakfast/wine and cheese are also SO NICE and friendly,as well as the rest of the staff !We will definitely stay at Hotel Giraffe by next time in NYC!	
Nov 2 2009 	What a nice hotel!	We enjoyed our trip at hotel Giraffe. The hotel staff was very kindly. We were in the &quot;terrace one bedroom suite&quot;.Only one negative point: there was no hot water during one morning in the week we spent.We'll come back to this hotel as soon as possible.	
Nov 1 2009 	Exceeded our expectations	We discovered Hotel Giraffe on Trip Advisor and were very pleased with everything about our recent stay there. We will definitely stay again and highly recommend it to those who are looking for a hotel that is trendy yet quiet with an appropriate atmosphere for families.The complimentary continental breakfast is wonderful and the lobby is a very pleasant place in which to enjoy a leisurely meal. Other meals were available through the hotel's association with two adjacent restaurants. The rooms are a good size, most with small balconies, and very well appointed. All in all, the Hotel Giraffe is the best value we have found in New York.	
Oct 29 2009 	Loved the Giraffe.	My husband and I really enjoyed our time at the Hotel Giraffe. We were very pleased with our room (although strangely, there was no bedcover on the bed - just sheets and a folded blanket at the foot of the bed - and one of the sheets was quite badly torn. This was changed, but a little odd for such a lovely hotel). The location was great (close to subway, restaurants and some lovely walks), the staff were very helpful, everything was spotlessly clean and I loved having a small balcony to step out onto in the mornings and evenings. The continental breakfast was more than adequate to keep us going through till lunchtime and the evening wine and cheese was lovely. We actually looked forward to that time of the day when we could relax with a glass of wine listening to the pianist before going out for dinner. It was terrific to have coffee/tea/hot chocolate as well as cookies and fruit available in the lobby all day for guests. We would have taken advantage of the rooftop terrace, but it was raining and a bit cold when we were there. We will certainly stay at this hotel if we are fortunate enough to return to New York City.	
Oct 28 2009 	When can we go back!!?	Visiting on our 25th Anniversary and our first long haul flight we were made to feel very welcome by the staff.We had requested a special welcome of &quot;Romantic Rendezvous&quot; – Rose petals, chocolate strawberries and champagne – and it was perfect…..better than Giraffes pictures…. see ours.The room with balcony was to a very high standard, spotlessly clean and very comfortable. Breakfast, buffet style was tasty, plentiful and beautifully presented in a very nice, relaxing setting. In the evening before going out for a meal we really enjoyed the complimentary cheese and wine. The location was good with the subway and some nice restaurants within easy walking distance. We comfortably walked to the Empire State building – 10 Mins – and Grand Central Station. Just around the corner was the beautiful Madison Square Park and Flat Iron building – all best seen at night with views of the Empire State Building.The staff were simply excellent. There to help but not in your face. Greeted warmly at breakfast and throughout the day they were happy to undertake tasks such as confirming bookings and calling cabs. They were all extremely professional and to a clear and consistent standard without losing the personal touch. They as much as the hotel made our stay so enjoyable. We loved the hotel and really our only disappointment would be the Rooftop Garden which was understandably closed for the season.Having read our review and looked again at the website we feel it does what it says. Well done Giraffe and thank you. We would not think of staying anywhere else in New York.	
Oct 28 2009 	fantastic	We had a wonderful time and enjoyed the hotel very much. By New York standards, the room was quite spacious, and very clean. The breakfast and wine and cheese exceeded our expectations. The staff was always friendly and very helpful.	
Oct 28 2009 	THe Giraffe	When in New York we ALWAYS stay at the Giraffe. The location is ideal, situated with access to the 6 train and 1 train and within easy walking distance to major tourist destinations; shopping, museums, theater, restaurants and parks.The Giraffe is very hospitable. The saff makes you feel welcome. The rooms are big and roomy with a large bathroom and closet. The balconey adds some outdoor space and makes the room feel even larger. The bed and linens are clean and confortable. Towels are fluffy. The evening cocktail reception is always nice. It allows a short break between day and night. You can sit and relax in the comfortable and catch your breath to get ready for the night. Always something to do in NYC.So , from check in to check out the Giraffe will always make a visit for any reason to NYC more enjoyable.	
Oct 26 2009 	The Giraffe is an outstanding midtown gem.	My partner and I thoroughly enjoyed our stay in this wonderful boutique property. The room was very well appointed and comfortable. In addition, the staff was A+, always available and helpful, but never in the way. Key amenities -- high speed internet, continental breakfast, and evening wine and cheese -- were all included in the daily rate. With the midtown location there was a lot going on nearby and uptown and downtown were easily accessible.	
Oct 24 2009 	Friendly Staff Great Location Superb Hotel	From arrival to departure the Hotel Giraffe was the right choice for us. All staff were superb, professional and friendly. Jose warmly welcomed us and helped us on our way every day. Laura was bright, chatty and a delight to talk to. The Hotel is spotless and was great wake up in and go back to at night. The morning started with the free continental breakfast, which we had every day. The cheese and wine was a relaxing start to the evening, but we only managed twice due to our busy schedule. Both are in the lobby of the hotel which, as a number of reviewers have mentioned, is not large, but we never had a problem getting a table. The Giraffe is in a superb location, close to the Flatiron Building and Madison Square Park. There are plenty of good eateries around to suit all pockets. All areas from the lower half of Central Park to Battery Park are walkable but we tended to either get the subway (at 23rd or 28th) or a taxi to where we wanted to go and then walked back or vice versa. The area is very safe and we felt comfortable walking about at night. We stayed 5 nights (Wednesday to Monday) in a deluxe double room on the 10th floor. There is of course a certain level of street noise but it is not even remotely intrusive and we slept soundly every night. The room was a relatively average size, and was fine for us and our teenage daughter. Very well appointed with balcony, great aircon, soft robes, toiletries, cable, DVD &amp; CD players (the hotel also has a library of music and film for you to choose from), ipod dock (though it didn't charge my itouch). Turndown service at night with bottled water and little chocolates were a nice touch.We went to New York to experience the city and this Hotel helped us do that to the full. We will stay at the Giraffe again and would highly recommend it.	
Oct 24 2009 	Just what we wanted.	Very nice hotel. The cheese and wine evenings are very relaxing after a day walking around New York. Helpful and friendly staff and classy decor. The little things make this hotel stand out such as free Wi Fi and access to computer in Lobby when other hotels charge for these sort of amenities. Only down side, no bar on side (at least when we stayed) but plenty of good ones in the vicinity. Near to subway for easy access to New York. Highly recommended.	
Oct 23 2009 	Excellent experience!	We really enjoyed this boutique hotel. We have stayed in several hotels in NYC and found this to be one of the best. Very cordial staff - rooms kept sparkling clean each day. We left a few notes for housekeeping for extra pillows and towels and they never failed to meet our requests. Location is key to many great restaurants and the Union Square farmer's market on Wednesday, Friday and Saturdays. Passes to nearby gym were a plus! We will return!	
Oct 21 2009 	Excellent service great vibe	We stayed at the Giraffe for a set of meetings in early October and really enjoyed it, great well trained staff and the use of the lobby for evening wine tasting and snacks was very impressive, rooms were adaquate but the staff are the added value here. Would certainly stay again.	
Oct 19 2009 	We love the Hotel Giraffe	Our favorite hotels are always small, boutique hotels that offer friendly service. We have been staying at Hotel Giraffe for the four years our daughter has attended the School of Visual Arts nearby. We enjoy the breakfast offered every morning and the wine and cheeese offered most evenings. Plus, the staff is wonderful, and the rooms are lovely.	
Oct 18 2009 	We highly recommend Hotel Giraffe!	The location, the ambiance, the complimentary breakfast , the complimentary &quot;Happy Hour&quot;, the suite, the service, the friendliness, the willingness to be of help - all added to our all- to-short stay. Was the Roof Top Terrace open? We were not told to check it out. I hope next time we will, because there will be a next time!	
Oct 18 2009 	Great place to stay - loved every minute of it	My fiancé and I stayed at the Hotel Giraffe (which is very close to the Flatiron Building, and very well situated in a safe neighbourhood) for a few days while staying in New York. I had booked this hotel because of the good reviews and we weren't disappointed. We enjoyed every minute of our stay. The room we had (5th floor) was quiet, even though it looked out on a busy street. The bed was very comfortable, with warm blankets and a lovely turndown service including little chocolates every evening. We had ordered the amenity &quot;milk and cookie&quot; service, which was great - we had our littel night time snack of fresh milk and lovely cookies every night. The bathroom was very big for a downtown hotel, with lovely soap, hair shampoo and conditioner, the most comfortable bathrobes as well as slippers. There was lots of light, a huge mirror and a make-up mirror as well. We had a mini bar, we had two bottles of water upon arrival and we really felt very much at home. We could choose the room temperature, and all in all I couldn't have had a better sleep after a busy day sight seeing. Breakfast was also very nice, the only downside was that it was in the lobby and sometimes was rather full, but it was never a problem. We had toast, there were various baked goodies, as well as coffee, juices, milk etc. We particularly liked the attentive lady who gave us our coffee and toast every morning. After three days she only had to see that we were coming and the toast was on the table. We could also leave our stuff there for a while after we had checked out, before going out to the airport. Also, there was a laptop in the lobby that was free for use - I didn't see a printer, though I didn't need one, so I wouldn't know if you could call that a business centre - but the laptop with the internet was great. I would go there again. Will recommend it to anyone I know, it made our New York experience even better than we thought it would be. So thank you.	
Oct 15 2009 	A special hotel in NYC	We've stayed many times at the Hotel Giraffe as our son graduated from NYU a few years ago and has now settled in Williamsburg. We feel the hotel service is excellent and whenever a request is made, there is usually no delay in a response. The continental breakfast is terrific, as well as the service provided by the woman who prepares it. We love the wine and cheese hour as it's nice to sit and relax before heading out on the town. The past few times we stayed we've received a bottle of wine or Prosecco upon our arrival. In the spring and summer the rooftop lounge is very popular. We recognized the room and outside area filmed for the SATC movie...that was fun! The Giraffe is in a great area near Union Square and the Blue Water Grill, a favorite of ours, not to mention Dos Caminos next door. As long as we're planning trips to the city, we'll be staying at the Hotel Giraffe.	
Oct 15 2009 	Oasis in the Manhattan Hotel desert	It is always a pleasure to stay here and enjoy the complementary breakfast with real (!) espresso and the evening snacks&amp;drinks offered by the house.The rooms are nice and bright with windows that let in light as well not just noise from the street. Even the lamps fill their purpose and are not primarily unpractical decoration as in most US (designer) hotels. Service is friendly and personal as one should expect in a small hotel. The noise from the street can be a bit disturbing at night but the top location next to subway and shopping &amp; gourmet district is worth it.So all in-all it stands out from the crowd - like a real Giraffe...	
Oct 14 2009 	Hotel Giraffe is a great find near Union Square	We booked about 2 months in advance. I looked online at their website and then called and spoke to reservations to help decide what room to request. When we arrived we were told that we had been upgraded to a suite which was great. I didn't see the regular rooms but I will really happy with the suite. They offer a buffet breakfast every morning and wine and cheese every night but Sunday. They both were great.They have a very nice lobby in which to sit and eat.	
Oct 14 2009 	Exceptional accommodation and service	The Hotel Giraffe was amazing. We were in NY for 5 days and the Hotel was exceptional. The staff was friendly and courteous. They organized travel to events, directions to subways, restaurants, etc, took care of our luggage, and arranged transportation.The breakfast was excellent with a selection of fresh bagels and pastries, fresh fruit, coffee, lattes, eggs, cereal, and juice. The staff responsible for the breakfast were very helpful and friendly, ensuring that the lobby was clean and the food was well stocked. The appetizers were great with wine (red and white) and a selection of vegetables, crackers. olives, cheese, etc. A pianist performed from 5-8 each evening and the atmosphere was comfortable and relaxing.The rooms were spacious, clean and had all the necessary amenities.We would definately stay at this hotel again. LOVED IT!	
Oct 13 2009 	Must stay Boutique Hotel in Manhattan	Second stay at this small, quiet, friendly, boutique hotel-my excellent impression on my first stay was no fluke. Arrived early (11:00am) on Sunday for anniversary prior to brunch reservation at Mesa Grill, checked bags, walked to restaurant and returned with room keys waiting and luggage in room. After dinner, returned to find complimentary bottle of Prosecca in room to celebrate anniversary. Great complimentary breakfast daily and evening wine (including Prosecca) and cheese daily except Sunday in lobby. Access to rooftop garden on 12th floor. Ask for a deluxe guestroom on the 12th floor. Quiet and reasonable location on Park Ave. close to 5th Ave. shopping, Madison Square Park, and Flatiron district (refreshing walk or short cab to Grand Central Station and Times Square). Eating tip-Blue Smoke around the corner on 27th St. is a small bar/restaurant joint (jazz downstairs) with great barbecue that is not going to &quot;break the bank.&quot;	
Oct 12 2009 	Very Pleasant Stay!	We had a very pleasant stay at the Hotel Giraffe. Location perfect for going around town, nice restaurants in the neighbourhood (e.g. Tabla at Madison Sq.Park, or the Mexican restaurant next door). Room was beautiful, big for NY standards, nice king-size bed and nicely decorated, windows can be opened, A/C didn't make too much noise. Also free wifi in the room. Our room was opposite the elevator, but doors are &quot;soundproof&quot;, didn't hear a thing. Complimentary breakfast was very good, nice coffee! Only thing about the breakfast: there are not many tables, and because it is so nice to sit there with a newspaper or your laptop, people tend to have breakfast longer than usual, you have to find the right time to go down... They serve wine and a small thing to eat during weekdays around 5 p.m., very nice when you come back from work or shopping/sightseeing! Employees were all very friendly and relaxed. Hope to come back next time when in NY!	
Oct 12 2009 	Great hotel in New York!	This was probably one of the best places I have stayed in New York. Great size rooms for the city, ideal location and great rates. I loved the breakfast in the morning and the wine receptions seemed to be a hit. Everyone was friendly and I would stay there again next trip.	
Oct 11 2009 	Excellent experience!	I stayed at Hotel Giraffe with my parents during Easter Holidays. We chose this hotel thanks to Tripadvisor's reviews. Staff was very kind, our room was spacious enough for three, very clean and comfortable. We had the Superior One Bedroom Suite, one of the best rooms with view on Park Av. South. There was one bedroom, a full size sleeper sofa and a wide bathroom. Breakfast was very good but the little things that made us appreciate our stay were the free internet connection, the free aperitif every evening with a live piano player, the lady who brought us chocolates every night at our room... Furthermore on the last days the hotel had issues with water and they refunded us with 50$ for this inconvenient. I recommend it for everyone!	
Oct 9 2009 	Great Hotel Bad Management Policies	Look out for the small print associated with the lowest &quot;pre-paid&quot; rate....make sure your plans are fully baked or you won't get your money back. I used to like this hotel but the management is making it hard for me to continue to do so. My assistant made a reservation for me but my plans changed at the last minute and I ended up having to cancel but found out that I couldn't! This is because she selected the lowest rate on the screen offered and it turned out to be a &quot;non-refundable&quot; rate. I called and spoke with the hotel manager who responded that despite an innocent mistake by my assistant (who does not understand these things well) they would be unable to cancel the reservation and make a refund. I also explained that I am a small business owner and avoidable expenses like this are very painful to a start-up.  I have been a fan of this hotel since the opening and stayed there at least 3-4 times and would love to choose it every time I am in NY. My recent experience with the management however leads me to hesitate - they seem to be more concerned about their refund policy than keeping good customers coming back.	
Oct 9 2009 	Excellent hotel	Very friendly staff and atmosphere with free breakfast and wine in the evening in the lobby.	
Oct 7 2009 	Great Place - Friendly Clean and	Very nice place to stay - friendly, easy access to many things, and comfortable. The only thing I could say that would be negative is the cost of the room.....as I was checking in, people who walked in off of the street got a cheaper rate than I received, having made a reservation in advance. I don't think that customers should have to haggle the price. If there is a less expensive offering, it should be made available to all. Thanks again for a great stay, and I would definitely stay again, and recommend it to friends and colleagues.	
Oct 6 2009 	Small but stlyish and extremely friendly hotel	I really enjoyed our stay here. Park Ave is rather noisy, so don't expect complete silence in your room. Subway stop is near (but only local 6 trains stop there). No restaurant, but I can highly recommend the mexican restaurant next to the hotel (very stylish, excellent value). The staff has been incredibly helpful and friendly. The breakfast is pretty OK. Will stay here again for sure.	
Oct 6 2009 	Happy australian	good location, friendly staff, free happy hour - what's not to likelovely roof garden	
Oct 6 2009 	Great stay at Hotel Giraffe.	Lovely hotel. We found the location great as being right in the centre you could get to both down and up town easily. Our room was huge, clean and had everything we needed (we stayed in a king room). The staff were always friendly and helpful, and on our first evening a bottle of wine was delivered to our room as it was my birthday. The complimentary breakfast was delicious, as was the cheese and wine reception. I cannot actually think of any negatives!	
Oct 6 2009 	Attention to all details	We stayed at the Hotel Giraffe for two weekend nights. It was outstanding in all ways. Our room was a good size, with very nice furnishings and amenities. Our small balcony looked out on Park Avenue, but the room was very quiet with the doors closed. The continental breakfast was very good and the evening wine and cheese reception was lavish. The staff is friendly and attentive. We like the location, which is not as hectic as many hotels, but still convenient to most things. One of the best hotels we've ever stayed in - and we stay in a lot of them!	
Oct 5 2009 	I really enjoyed my stay	I just stayed at Hotel Giraffe for the second time and I really enjoyed my stay on both occasions. The staff is friendly and always helpful. The location is great and it is always clean. My daughter lives in New York and I visit every few months and i will continue to stay at The Hotel Giraffe.	
Oct 3 2009 	Good atmosphere central location	The hotel was recommended to us by a friend. We were very satisfied. Giraffe has character and friendly and helpful staff. In the evenings wine and cheese was served in the lobby. The only problem was the loud noise from the street, especially early in the morning if window was kept open.	
Oct 1 2009 	Would go back	This is a great Midtown Manhattan hotel. It's basically rooms and a lobby. But the lobby is very pleasant and the Cheese and Wine every evening a nice touch. You can order food in you room from local restaurants but hey - in Manhattan why would you want to eat in? The staff cannot be more helpful. I only deduct one star because of the Tribeca Limos farce which is nothing to do with the Hotel (although arranged through them). I would definitely use the Hotel Giraffe again if nothing else to re-read the book in the room called Tall Blondes - about Giraffes!	
Sep 30 2009 	Wonderful hotel - we loved the Hotel Giraffe!	This is a lovely place to stay and a very convenient location. The service was excellent - everyone on the staff was friendly and eager to help in any way they could. The breakfast was fresh and delicious, and we really appreciated that it was available until 10:30 am. The wine, cheese and fresh veggies served in the evening was a welcome treat after our frenzied days in the city. The lounge where the breakfast and happy hour are served is elegant and comfortable - we enjoyed watching the activity on Park Ave. from this peaceful spot. A computer is set up in the lounge for free internet use. Our room was small, but we expect that in NY. It was spotless and quiet, with plenty of horizontal space to hold all the toiletries and various things my husband and I always seem to bring with us. We appreciated the free bottled water provided in the room, though we had to request it after the first day. The only negative was the bed. It wasn't horrible, but it fell below what you would expect in a 4 star hotel. I honestly felt the coils of the mattress - though the linens are excellent and we did end up getting used to the bed after the first night. Despite this, we would definitely stay here again!	
Sep 29 2009 	Great hotel great location excellent value	Stylish, discreet hotel in central location. Spacious room, tastefully decorated, with a balcony overlooking Park Avenue. Got an excellent 'early bird discount' by booking 30+ days in advance. Would certainly stay at this hotel again.	
Sep 28 2009 	Third year in a row - just wonderful	Again this year our stay was super. Easy check in and love the breakfast and evening wine. We have stayed in a variety of rooms and they are wonderful. You cannot beat the Juliet balcony. We hope to return next year as well.	
Sep 28 2009 	First stay at Hotel Giraffe - will not be the last!	We stayed at the Hotel Giraffe for two nights last week to celebrate my 50th birthday. The Giraffe is wonderful: great location, lovely rooms, weather was perfect for the rooftop bar, breakfast/appetizers were a great value and the staff was exceptional. This will be our destination for all future NYC visits!	
Sep 25 2009 	Wonderful hotel exceeded my expectations!	We decided to celebrate our Silver Wedding Anniversary in New York. I was just about to book the Hilton when my husband stopped me, he had just found a review of Hotel Giraffe. As it was a special trip we booked the Terraced Suite. We had a great flight and arrived full of excitement and a little trepidation, you know what it's like, you want something to be good and you can be a little disappointed. Not a bit of it, this place exceeded our expectations. The hotel is in a great location, literally a short stroll to the lovely Madison Park which is worth a visit - check out the live music on Saturday nights. We wanted to do as much by foot as possible and we found we could. But if you get tired there is a subway round the corner from the hotel.But what about the hotel itself? Our terraced suite was beautifully appointed, roomy and with lots of wardrobe space. The view from the 9th floor was great and we heard no traffic. The Roof Terrace is wonderful, a beautifully calm space.The breakfast was lovely. Everything was well stocked and fresh. I have to give a special mention to the staff who worked at breakfast and in the evening. They were so nice, always greeting you with a smile and nothing was any trouble. The cheese and wine is really good.I really loved this place. It has all the touches you expect of a good hotel, but none of the corporate stuff you tend to get in big chains. On our first night we were delighted to receive an anniversary card and complimentary wine.All I have to do now is save up for another trip, and it will be back to this hotel. Loved it. Great staff, great location and fabulous room.	
Sep 23 2009 	Luxury convenience and helpful staff.	We enjoyed the Giraffe for its location, for its comfortable, spacious, well-equipped rooms, convenient grab-it-and-go breakfast, and helpful staff.Our bedroom on the 10th floor was pretty quiet - especially for Manhattan. - and larger than we'd expected.We liked the free internet access from the hotel's laptop in the foyer, enabling us to print our flight boarding passes easily.Overall, a very pleasant stay at an unpretentious but classy hotel.	
