	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
Aug 10 2009 	Truly First Class	The staff at the Kimberly really go out of their way to meet your needs! From the doormen ( Silva, Kevin &amp; Gregory) to the front desk, all treated us with kindness! The hotel itself was fantastic! The one bedroom suite was more than what we expected. The balcony on the 19th floor (19D) gave us a great view of 2nd and Lexington Ave. The kitchen was a plus, although the stove was shut off after 9-11 the microwave did the job. The bathroom didn't have a fan, but that was quickly resolved by cracking the door open during shower time...no big deal:-) The location was perfect...Time Square, Grand Central Station, Rockafeller, U.N. are all within walking distance. Subway to and from Central Park and Chinatown can be accessed by taking the #6 train, which is just around the block. Restaurants are plentiful and are just blocks away. There's a diner next to the hotel, if you just want a quick bite without hurting your wallet. All in all, I will recommend the Kimberly to anyone looking for a FOUR star hotel, with a reasonable price! Definitely will go back with my wife and two teenagers!!!!!!	
Aug 8 2009	Best hotel in New York City	I just got back from the Kimberly Hotel in New York City. Don't think twice, stay in this hotel. I went to New York City with my 17 years old daughter and we had a great time. Everyone went out of their way to treat us well, it is a very clean hotel, everyone is extremely friendly, it is close to the subway and it is located in a safe area. The beds are very comfortable and the rooms are clean. I do need to say that Charles, Dusty, Gregory, Harry and everyone else in the hotel will give you any information you need regarding restaurants, events, shopping,etc. I go to NYC with my daughter every other year and always try a different hotel... well, I will stay at Kimberly from now on.	
Jul 21 2009 	The Kimberly is the best kept secret in NYC-a diamond in the rough	I hosted 50 people on my group to NYC this past weekend. The Kimberly staff including the sales office, front desk, bellmen, housekeeping, reservations, restaurant and concierge did everything possible to make my group feel like royalty. The hotel is in an excellent location close to Grand Central, Rockefeller Center, 5th Ave and so many other wonderful areas of NY. Rooms were spacious, comfortable, beautifully decorated, not to mention the amazing beds with their fine Italian linens. Although the hotel does not have a swimming pool,/fitness center onsite, their partnership with the NY Health/Racquet Club provides guests with all the most extensive network of sports facilities in Manhattan. The highlight for my group was the sunset cruise on the Kimberly yacht. I cannot imagine staying in NYC in any other hotel and look forward to seeing everyone's smiling faces the next time I return.	
Jul 9 2009 	Great location	Spent the weekend of the 4th in NYC. Great location for everything. Stayed in a one bedroom suite. The beds were awesome and having a balcony was great. Everyone was very nice and helpful. The doormen at the kimberly have to be the best in NYC. Looking forward to our next visit and will be staying here.	
Jun 29 2009 	Spacious rooms lousy service	We booked the hotel as we wanted a spacious room (a rarity in NYC) for the first leg of our honeymoon. We booked direct with the hotel and requested champagne and flowers on arrival (and received an automated email with this request clearly shown).We stayed in the Empire Suite and though very large and well appointed, it was a little tired around the edges. The lounge was large and had a nice dining area, the bed was very comfortable but the bathroom was tiny and out of proportion with the rest of the suite.The Champagne and flowers were not in our room on arrival and as British Airways had given us a complimentary bottle on the flight into New York we weren't too bothered. However, when we informed reception of this (to ensure we weren't charged for it) we were virtually told we had not requested it. Each morning in Ferros restaurant there was confusion regarding our $10 voucher as different reception staff had different policies regarding issuing this - it would have been nice to receive the vouchers upon check in. We requested a car to take us back to the airport on the morning of arrival - this never arrived and to make matters worse, none of the staff on duty at that time had been informed of this request. We ended up taking a taxi.In conclusion, if you are looking for a spacious room then this hotel is hard to beat for the price, but this room in particular and the elevators are in need of serious refurbishment and the service was pretty poor.	
Jun 17 2009 	Another great weekend at the Kimberly Hotel	Went to NYC and stayed at the Kimberly Hotel the weekend of June 12 thru June 14th. We were there to celebrate a birthday. It has been our third time there and again we were not disappointed. The doormen are all wonderful. Very friendly and helpful and just always really pleasant. Cannot say enough about all of them as well as the entire staff. Peter the hotel conceairge was great in getting me a ticket for a sold out show on Broadway. The rooms are great and the beds are so comfortable you dont want to get up . The location is great. We walked to the theater and the the restaurants. Just a fun and lovely weekend. Planning of going back in the Fall for more theater and of course we will stay here.	
Jun 17 2009 	Great staff.	We stayed at the Kimberly for 5 nights in early June. We booked through Hotels.ca and got an exceptional rate. The staff were great. The bellmen were wonderful. The beds are great but don't expect much from the pullout sofas -- they are incredibly uncomfortable. My mother ended up sleeping no the sofa proper which turned out to be alot more comfortable. While we were there, they were working on a new elevator but didn't start up the construction until about 9:00 a.m. which was courteous. We didn't bother eating at the restaurant. The only drawback was that we were in a back room that faced another building and it was quite dark. That being said, it was exceptionally quite as well which I would take over the brightness. The free internet in the business center was helpful. All in all, it was a great experience and I would go back in a heartbeat!	
Jun 9 2009 	Very nice LARGE hotel for Mid-town Manhattan	I was trying to find a hotel around mid town I had several on my list that I reviewed at TravelAdvisor.I picked this hotel because of its location and proximity to 5th Avenue and the MOMA.The room was very nice when I checkecd in clean spacious. The bed was very thick and comfortable. The bathroom had a rain shower head in the marble ceiling and it was great!!!! The room was a free upgrade because of the construction which I did not hear from 6p until after I left in morning around 10am. The room had a refrigerator stove top and sink which came in hand for all the shopping we did at a Joe store.Overall it was right next to a W Hotel which my brother staid at it was much smaller room than the room I was in. The Benjamin was next store on a very noisy corner.	
Jun 6 2009 	Great boutique hotel for extended stay	I was on a week long business trip, working near the UN, and stayed at the Kimberly. I wanted a hotel with a kitchenette, so that I could occassionally prepare my own meals. What a wonderful hotel and at a special rate of $160 per nt! The location was perfect--nearby grocery store, deli's, restaurants and retail stores. My suite included a galley-style kitchen, with a full size fridge, microwave, coffemaker, dishes/stemware. Living room with TV and balcony. Large, comfortable bedroom w/ queen size bed, lots of closet space.. The only negative review was the front desk staff. They were indifferent and gave little eye contact. But don't let that stop you from staying at this wonderful hotel.	
Jun 4 2009 	Forget the name brands... be sure to stay here instead	I'm a seasoned traveler and typically I don't venture away from the name brand hotels - however due to the high rates of the name brands I started searching for alternatives.The rates at the Kimberly were almost 1/2 of the neighboring brand hotels. I couldn't justify paying those rates for name brand hotel room, so I booked The Kimberly. I had some second thoughts when reading reviews.. but I figured what the heck... the worst thing that will happen will be that I will have to change hotels after 1 night (I was staying in the city for 3 nights)Although the lobby wasn't very fancy - don't judge a book by its cover. My room was awesome! Granted I was in a newly converted/upgraded/renovated room -- it was beautiful. In my studio suite I had a near full kitchen, a beautiful marble bathroom, new &quot;but looks like antique furniture&quot;, and a great bed. I've NEVER had this much space before in a New York City hotel room... it was HUGE compared to normal hotel rooms (and I wasn't even in a truely 1 bedroom suite -- I was in the studio suite!). The staff was great - including the waiters in the resturant, housekeeping, the front desk and the bellmen! Also having complimentary access to the NYC Health and Raquet Club just two short blocks away--- awesome benefit!!Be sure to consider this hotel the next time you book in New York City -- I'll be sure to stay here rather than the name brands... any time I'm near there.	
May 29 2009 	Very nice	The hotel staff were wonderful, especially the doorman Jose. What a friendly and helpful person. The room was big and very clean. Much of what you would expect in a 4 star hotel. The location was centraland we even ventured a ride on the subway which was down the block! We had dinner on and drinks one night in the restaurant - Ferros. The food was very good and the service was great, we loved our waitress Mari. The bartender Dee-ann was friendly and told us some nice places that we should visit while we were in town. The only drawback was we tried to talk to the manager Annie about booking a party as we were in town for a wedding and was disappointed in her lack of knowledge, after repeatedly trying to get in touch with her. Not really sure how some people do it unless they book with someone else.	
May 29 2009 	Awesome Staff Great location and a good night's sleep!	The service was awesome and staff always smiling, very helpful, andknowledgeable. From the time we pulled up to the time we left, the staffmade me feel right at home. The suite was beautiful and the beds are socomfy. We had a nice view of the city from the living area, the bedroom anddefinitely the balcony. The arched doors inside the suite was a nice changefrom the standard doors. The marble spacious bathroom is gorgeous. Therewas also a bar, microwave, coffee machine and refrigertor in the room. Wehad a small table in the living area which would be perfect for acandlelight dinner for two. The perfect romantic getaway. We were just afew blocks from Times Square and Rockefeller Center. There is a restuarantnext door with a great breakfast buffet. I think this is a great locationas the traffic was not what I had imagined it to be, and just to be able toget out and walk and enjoy the sites was fun. I really appreciate thestaff. The valet was just amazing at welcoming us to the hotel and theconcierge provided us the most helpful and useful information we needed toget around the city. One of my favorites about the hotel...the mostcomfortable beds. The only thing I missed having was in indoor pool/spa atthe hotel. The best way to describe it: Awesome Staff, Great location anda Good night's sleep!	
May 20 2009 	The Kimberly truly a first class hotel	From the minute we walked through the door, I was impressed. The entire staff should be reconized for their helpfulness and kindness. The suite was very impressive, clean and comfortable. The hotels is centrally located, close to Time Square, The theatre district, Fifth Ave. And most everything We are already planning a return trip to NYC and will be staying at the Kimberly again!!	
Apr 29 2009 	Perfect for Family of 4	Must say that I was very nervous after reading some of the trip advisor reviews especially the comment about the smell of cigarette smoke in the non-smoking rooms. I am happy to report that our family with a 12 and 14 year old thought the hotel was wonderful. We were not in a renovated suite but I did look at one. The renovated suite has more lovely details like marble bathrooms, sliding closet doors vs. our folding ones that didn't line up quite right, upholstered headboards and the kitchen is behind dark wood doors. Both rooms have french, antique replica style furniture - desks, tables and upholstered furniture. The rooms have a comfortable, lovely feel to them not a sleek, urban design. But most importantly, our room and bathroom were very clean and there was no smell of smoke. I expect all hotels to have discarded bedspreads by now and replaced them with comforters covered by duvets and this is what the Kimberly has done. We asked for a quiet room and got 20E which was as quiet as I can expect in NYC. The honking and noise were very faint. Elevators were smooth and we never waited too long. Very friendly front desk and Peter the concierge was extremely helpful whether I called him lost on the street or from our room. We never ate at the hotel but enjoyed our two breakfast spots immensely...around the corner for fabulous breakfast bagel sandwiches was Ess-a-bagel and across from Central Park was Sarabeth's with the lightest, yummiest lemon, ricotta pancakes. We originally booked at the Affinia 50 which is right next door as is the Benjamin Hotel but the Kimberly's rates were much lower as well as the parking rates. Would highly recommend.	
Apr 23 2009 	Great Location very spacious rooms	This Hotel is the favourite hotel of Jimmy Carter. Service is very good and location TOP. Rooms a big and have everything you could ask for.	
Apr 23 2009 	What an amazing experience	I know giving everything a rating of 5 may seem 'less helpful' and 'less poignant' but the point here is that my sister &amp; I went to New York with the intention of feeling absolutely free and coming back having 'experienced' New York's finest. Everything from the accomodations (the beds, the plugins, the washroom) to the location were impeccable. We had a decent (2 Queen) room without a balcony and still felt like the toast of the Town. Taxi's were flagged down for us, we received amazing service at the Hotel Restaurant and were charged EXACTLY what was expected. We are going back to New York this year and have already reserved at the Kimberly!!!	
Apr 13 2009 	Very nice!	Stayed April 3-5th. Spacious suite, clean tastefully decorated. Located in lovely neighborhood. Plan on returning soon!	
Apr 12 2009 	Bed too soft for my back - ouch!	While staying there for 10 nights, my work colleagues loved sinking deep into the beds and praised them for being soft as clouds--I thanked goodness for the sofa, because that's where I slept all 10 nights! The 1st night, I went to sleep in the softest bed I've ever met and was awakened two hours later by acute back pain. I pulled the thick comforter onto the floor next to the bed and tried to sleep there, but that was too hard so it hurt too much to sleep. Finally I removed the cushions lining the back of the sofa to free up more width and slept directly on the sofa with one pillow under my head and the comforter over me, and that was bliss. Each morning I put cushions, pillow and comforter back where they belonged.	
Mar 28 2009 	What a beautiful hotel!	Stayed in NYC with friend for May 17, the Norwegian national day. We were going to stay at another hotel, but a certain website messed up or reservation, and then they put us here. Whilte my friends got to stay in a pretty nice hotel, my boyfriend and I got to stay here for a lesser than normal price!! I have never stayed in a place with such a comfy matress, I'm guessing it was memory foam. Down covers with soft sheet.  I was really empressed with the bathroom. Gold fixtures, huge shower head, with jacuzzi. We had a balcony in our room with a great view of the city.	
Mar 6 2009 	Like Back to the Future but worse!!!!	We arrived in New York after a delayed flight eager to check in, unpack and get on with our four night trip. We took a cab (he seemed to be travelling at 88mph!) to the Kimberly and went in. Immediately we were struck by the decor in the reception area, it was like something from 1955! We put this to the back of our minds and checked in without any hassle at all. The bellboy took our bags up to the room, he was gone in no time, almost leaving a firey trail behind him as he went! We struggled to keep up with him, but managed to get him to slow down.We entered the room and the bellboy was stood there, and we looked past him to find another couple already unpacking..........we looked at them and they looked at us then we both looked at the bellboy who was just standing there. He went off to speak to the manager and eventually returned to put the other couple in a suite as an apology to them, leaving us with a pokey room that had not been cleaned since 1985 it seemed!We went out and enjoyed New York, returning late to find another couple on the bed watching TV! We asked them what they were doing and they said that they had just checked in that afternoon, and that our bags had been moved to another room down the hall! We couldn't believe it, but when we went to reception this was confirmed and we were given a new key. The new room was larger but we were still concerned that someone had re-packed our case for us, and had gone through my wife's smalls.Having confirmed that everything was where it should be, I went down to speak to the manager, who seemed to think that the larger room was adequate compensation for the hassle, and whose attitude stank worse than his aftershave!After 20min of arguing I realised that I was getting nowhere with this clown, and returned to my wife and settled for the night. At 4am, there was a loud noise from the next room, and loud shouts. We were annoyed at first, until we realised that the noises were from the next occupants who were in the middle of a drunken break-up! They were yelling at each other, trading insults and there was a loud thud against the back wall, but God only knows what that was!We eventually got back to sleep and woke up around 9am when we decided to complain about the night before at reception. To be fair, the receptionist seemed concerned but informed us that the room in question had been vacant for two days so who knows how they managed to get inside the room in the first place! She then transferred us to the manager of the hotel and yet again Mr Arrogant fobbed us off with the excuse of &quot;are you sure you weren't dreaming?&quot; I couldn't believe it and immediately I said that we were checking out and leaving at once. The hotel refused to refund the last two nights of our stay and have yet to acknowledge any email contact. If you want my advice then you'd be better off elsewhere!!	
Feb 26 2009 	Decent value - but nonsmoking rooms smells like smoke!	Hotel is in great location, and staff is nice. But if you are at all bothered by the smell of smoke, don't stay here. I was there for a week, in a &quot;nonsmoking&quot; room. Something is wrong with the ventilation, though, and the smell of smoke was constantly pumped into my room. My throat was raw. I was glad my husband didn't join me - he has asthma and would've been in the hospital. Their remedy for the smell was to spray this awful citrus disinfectant. I was so relieved when the week was over and my lungs and throat were able to find some respite!If you're a smoker, this is the place for you. Nice rooms, nice bathroom, nice everything else!	
Feb 8 2009 	Nice Surpise good hotel	After spending 4 days in midtown Manhattan and 2 days in lower Manhattan on vacation, we found out at the last minute that we needed to stay in the city one more night. We got a good rate at the Kimberly and booked it. With the hotel not garnishing a 5 or 4 diamond rating from AAA, I wasn’t expecting too much. Upon arrival, we were upgraded to a plush suite which greatly exceeded my expectations. It was fully stocked with a kitchen, living room, mini dining room, in addition to two flat screen TVs. However, the bathroom was a bit underwhelming and in need of a renovation. While I can’t comment on the ordinary accommodations, the suite was top notch and would challenge any 4 star hotel in the city. I can’t really comment on the service as our stay was very brief. We also did not use any of the other facilities or eat at any of the hotel restaurants. While the Kimberly does not rival any of the top hotels in NYC, overall our stay was very nice and free of any problems.	
Jan 21 2009 	Great Boutique in New York close to Rockefeller Center	I have spend a week in this wonderful hotel while been on a business trip to my company's New York office. I hade a 3-room suite, it was gorgeous!	
Jan 11 2009 	The Bains in New York	Our family had a suite at the Kimberley and the service was excellent.From the moment we arrived, we had great help, friendly conversation with all the staff, detailed information to help us with our for our first visit to New York. The family made friends with all of the staff. Kevin, Peter, Ralph and Silva were terrific! The location was central to everything and easy access to public transportation.We would definitely go back to this warm and friendly hotel. Everyone demonstrated great New York hospitality.Sandi BainMaple Ridge, British Columbia	
Jan 6 2009 	Average hotel	We stayed for 5 nights between Christmas and the new year in a two roomed suite. Over all I found the hotel clean and the staff friendly. However the decor is tired and the restaurant food is horrible. We had specifically wanted an apartment room with a kitchen to be able to cook some small meals, however on arrival we we informed by a print out on the cooker that the gas supply to all rooms had been terminated! This was very fustrating as we could have spent the same amount of money staying in a more luxurious hotel without cooking facilities! However the hotel has an excellent location and we did enjoy the stay.	
Jan 5 2009 	I think you could find nicer.	I stayed in a 2 bedroom apartment on the 27th floor of the Hotel, which provided a great view of the city. The apartment was very spacious but the decor is a tad dated, and we were disappointed to find that the cooker in the kitchenette didn't work. On arrival we were given $250 of vouchers to eat in the hotels restaurant, which seemed great, until we did and found out that you can only use $10 a head and the food in the restaurant is expensive and served lukewarm. So this is a bit of a gimmick and merely a way of getting you to spend more money in the hotel. The location was good and the door staff were very helpful and friendly. Overall It's not the worst hotel, however for the price I think you could find nicer.	
Jan 3 2009	Average Stay	The pluses: Great elevators, nice high floor suites, prompt housekeeping, good balcony, great iron and ironing board, good TVs. Nice little kitchen with great refrigerator and dishwasher. Excellent shower pressure. Very comfortable beds with great pillows and comforters. The minuses: Less than engaging front desk staff, raw edges to closet doors and other details, dirty hinges in bathroom cabinets, funky little coffee maker with no funky little filters. Had to traipse all over to find a fit. No DVD or CD player.We stayed for two weeks over Christmas. We usually stay in an Upper West or East Side area to escape the crowds, but no availabililty this year. That said, we picked the Kimberly and overall it was a good midtown hotel. Not the best, but certainly a far cry from the worst.Note that rates are higher than the value but if you are staying for a few days the location is great.	
Dec 30 2008 	Amazing time with my grown-up kids	I just wanted to say what a wonderful time I had with my three grown-up children (no partners) celebrating my 60th Birthday in New York. I had booked the hotel directly by telephone in March and sent them an email 6 days before to make sure that everything was OK. Having spoken to the hotel originally I had booked a double suite with sitting room, a view, a balcony (although I did think it would be superfluous seeing as it was December, but actually we did use it and have a number of pictures of us with the Chrysler Building in the background) - I have to write a review because it was because of Trip Advisor that I ended up booking this hotel - I looked at hundreds. Our room was on the 26th floor and the beds were the MOST comfortable beds I have every enjoyed in an hotel, which is saying something!! The rooms are not enormous and the bathrooms quite small but beds are much more important than bathrooms. The decor is a little faded but there was real coffee to use to make coffee in the mornings - this is the first time I have found this in an hotel and my children bought me flowers for the sitting room and my bedroom and they managed to find vases for me. We were only there for 3 days but had an itinerary which we mostly kept to. Went to see Radio City Christmas Extravaganzer - the Rockettes were wonderful and then on the following night to see Circque du Soleil, which was good but I had seen the Circque du Soleil '0' in Vegas last year and that was so incredible I did not think anything could better it - and it hasn't. We went to the Spotted Pig for dinner one night - great - but a friend had recommended The River Cafe which was absolutely wonderful. It had just started to snow as we left the theatre so we crossed the Brooklyn Bridge with snow falling! Very Christmassy! One of the things I probably wouldn't recommend is the horse-drawn buggy round a tiny corner of Central Park, although it added to the whole celebratory feel.Of course, the reason we really went was to skate in the Rockerfeller Centre and although it was drizzling slightly we had such fun - all in all, I haven't laughed so much in a long time - can there be anything better than laughing with your children? I don't think so. Stay at The Kimberly but my advice would be 'phone them directly.	
Dec 1 2008 	A great experience home from home	Stayed at the Kimberly Hotel 24 - 30th November 2008, it was everything i hoped for and more.Me and my mum booked a standard room, which had 2 double beds a fabulous bathroom and coffee making facilities, the beds were comfortable, feather duvets and lots of pillows.It was close to a shop 2 doors down, a bakery 3 blocks up and the subway 3 blocks away, 5th and the rock an easy walk.Ferro's next door was also great, good wine and salads for evening, and i have never seen such a breakfast spread and the eggs Benedict amazing!!I would defiantly return to the Kimberly.One word of caution, if the warm water runs brown, run the tap for a while, it is a old building, so rust can build up. Drinking cold water is fine different pipes.Overall i loved the Kimberly, good service, comfy beds and great coffee.	
Nov 21 2008 	Londoners	Stayed on the 12th November for 5nights i have never slept in a hotel as well as this, the beds are wonderful, everything was so clean, we stayed in a standard room but this was very large.Three years ago stayed at the Barclay intercontinental round the corner from the Kimberly,Barclay i found not a friendly hotel like the Kimberly and the rooms were smaller!Would recommend the Kimberly to anyone we are returning next year, cant wait.Well done Kimberly and thank you for a fantastic stay.	
Nov 14 2008 	Fantastic Hotel Even Better Location	Stayed here for 2 nights at the end of October. We booked a 1 bed apt through Quikbook. I rang the hotel a few weeks before arrival to ask for a room on a high floor(slightly less noise)and the lady in reservations said she would put the request onto our booking. She asked me what time our flight landed and as it was early she said she would also request an early check-in for us as we had young children.On arrival at the hotel both requests were honoured .Our room was 19E and was perfect. Spotless and spacious. The beds were very comfortable and the linen was first class.Only on our last day we discovered the remote controls for the beds!!!!!!!!!The staff were so helpful especially Kevin and Ralph .The location of the hotel is wonderful, between 3rd and Lexington on East 50th. There is a Starbucks beside the hotel, and the Subway is next to starbucks. You will hardly need it though as you are in walking distance of everything.Great Mexican restaurant &quot;Dos Caminos&quot; on 3rd avenue/East 50th crossroads (left out hotel front door - 2 mins). Make sure you try the guacamole - Wow, is it good.Loved New York. We will be back , and will stay at The Kimberely again, no doubt.	
Nov 5 2008 	Great hotel great location	Just come back from staying 3 nights at the Kimberley. The hotel is great and spotlessly clean. The location couldn't be better. You are walking distance of The Rockefeller, Empire State Building, Macys, Times Square etc. You are given $10 vouchers for the restaurant next door, but we didn't use these as we we're always somewhere else at mealtimes (so much to see and do). We just had a standard room but this was large and the bed hugh with 3 very big pillows each it was good to get back to after lots of walking. Flat screen TV on the wall, slippers, dressing gowns, coffee making facilities and fridge, everything you need. The staff were very friendly and always willing to help, especially the door staff. We had a 2 day hop on hop off tour for $49 each. For this you could see upper and lower Manhattan, have entry into museum of New York, visit Brooklyn and have a 75 min river cruise to Statue of Liberty (this only runs in season though, as we found out after walking all the way to the dock). You also get 10% off of Planet Holliwood on Times Square, so I think good value for money! If you want to see the Statue of Liberty go on the Statten Island Ferry, this is free and goes passed the Statue. If you are thinking of going to New York you should definitely go, we can't wait to go again and we will be staying at the Kimberly when we do!	
Nov 1 2008 	Excellent Hotel	This is our second time staying at this hotel. We chose to stay there again because we know it's in a safe central location, and the hotel itself is very good all around. All staff are excellent: friendly, courteous, helpful etc, but I have to give a special mention to Kevin and the other door staff, who made us feel very welcome.I would recommend this hotel to anyone who is spending time in New York.	
