	Quiet Haven Amidst the Noise	We celebrated our wedding anniversary with a trip into NYC and enjoyed the quiet of the Ritz Carlton. Our room was on 6th Avenue, but we were able to see Central Park. The room was spacious, spotless and serene. The service is impeccable. This hotel is highly recommended!	
Jun 7 2009 	The absolute finest in NYC	Over the years, I have stayed in many of New York's most expensive hotels. While there are many exceptionally strong hotels, the Ritz Central Park South, continues to be my favorite. First off, the location is supurb, nice walks to the park, shopping and transportation. The hotel itself is very elegant as it is romantic (unless I am alone for work). The lobby bar area is one of my favorites as is the food at this ritz. Rooms and service and top notch. Even the cheap rooms are very comfortable.	
May 26 2009 	Surprisingly kid friendly	Chose to stay here because of its location away from the main hustle and bustle of NYC tourism since we were travelling with our 1 year old. The doormen treated her like a queen and never minded her constant waving to them. We aslo received outlet covers and baby shampoo etc... I even walked down to the spa with her to check it out and the girls there gave her a coloring book and crayons and encouraged her to play with the exercise balls. A member of the food services even handed her a cheese stick as he was walking by her outside the restaurant. How your children are welcomed is a big deal to parents and the staff here out did themselves. As for adults the concierge was OK, but redeemed themselves in our eyes by recommending a terrific pizza place that delivers.	
May 21 2009 	amazing 1 nyt in NYC bcoz of RC-Central Park!	though i just stayed for a night, i had the most fab experience of NYC, to start off with this elegantly situated Ritz-Carlton Hotel facing central park! polite and friendly doormen, professional front desk officers and well-trained staff escorted me to my room and give me a brief orientation since i am new to the city. room is amazing, i have partial park view and other side facing a beautiful residences. bed is heaven - signature of the brand! A bit costly for one nighter yet value is worth it! though i wish i could stay longer but i was told the hotel is booked up and have to check-out at noon but they offer me an option to use the spa if i want to freshen up and offered to store my luggage so i could enjoy the city a bit more - that's a real service!	
May 17 2009 	Perfect: They seek to go above and beyond	The location is great; right at entrance to Central Park. The service/staff simply can not be better. After over 2,000,000 miles and over 1000 nights of overnight travel, with stays at about a dozen Ritz Carlton's, I would say that from a professionalism and service standpoint, this is the best one. It is what their Palm Beach location was 13 years ago. It is hard to imagine how this property can improve.	
May 2 2009 	Best Hotel in NYC - BAR NONE!	We stayed for four nights (my wife and I) at the Ritz Carlton, and had one of the best hotel experiences ever, and certainly the best we have had in Nyc. My main purpose was to attend a series of business meetings and functions, several of which were held in the hotel. All of the business meetings were superbly arranged by the hotel staff. The rooms had adequate supplies, pens, outlets, light, air, and space, and the breakfast and lunch set ups were better than most restaurants. The lunch set up (for a break in our meetings) had everything was curry chicken on croisants to mozzarella and tomato salad. In addition, there was always at least two people on standby near the meetings rooms in case we needed anything.The rooms, of course, are not huge -- but then again not much is large in NYC -- but we had a partial view of central park, a large and comfortable bathroom, and great amenities. The only suggestion I would make is for the hotel to upgrade its rooms to add iPod jacks for playing your music; instead, we found a 1990's Bose sound system with a CD player (note to the Ritz -- no one has CD's anymore!). Other than that, the flat screen tv and the comfortable bed made for a very relaxing (despite the stress of business) stay. I suggest you get access to the Club level, where you have drinks and appetizers virtually all day.	
May 1 2009 	One of the top hotels I've stayed in - ever!	I don't often write reviews, but I felt the need to share my experience at the RC Central Park. In a word, this hotel is amazing. I've stayed at the Four Seasons, St. Regis, and Peninsula in NYC and this one tops them all. For starters, the rooms- without question the most beautifully done hotel room I've stayed in anywhere. I believe they've been recently renovated. I was upgraded to a Park View Suite which in addition to an excellent view, was exceptionally clean and had all the little extras that set this apart from other hotels (things like a ring holder, telescope, even collar stays for men's dress shirts- first time I've seen that in a hotel). Also just replaced their tv's with new hd tv's, but a bit of a peeve of mine is these hotels that get these nice new hdtv's yet don't receive any channels in HD- go figure?!Didn't use the concierge much as I was there on business, but the one time I did, things were excellent and answered quickly and professionally. Did eat at the hotel's restaurant- BLT and it was quite good.Had one minor problem with the room's air conditioning but it was quickly addressed with a call to the front desk (took 2 trips actually, but oh well, just a minor hiccup).Overall a great hotel with great rooms in a fantastic location. Highly recommended and will definitely be my hotel of choice the next time I head to NYC.	
Apr 23 2009 	Superb	We had two rooms behind one lockable door which was brilliant with kids. Two bathrooms, tons of room and we could leave bedroom doors open at night. Concierge is best we've come across. Nothing was a problem, and great with getting tables, giving advice etc.Breakfast was delicious if pricey, but hey - it's the Ritz.Front door very attentive, went out of way to get taxis etc.	
Apr 12 2009 	Best hotel in New York!	I stayed at the Ritz-Carlton CP for 8 days, with the purpose of relaxing after a very busy end of the year. Could not have chosen a better place, and intend to go back as soon as possible.The rooms are not very large, but beautifully done and, what is more important to me, the bathrooms are wonderful. Another point that is most important|: the cleanliness.The hotel has the rare quality of being elegant and very discreet at the same time. The staff are friendly and will do anything to make you feel comfortable, without ever being pushy.And last but not least: the best bed ever!	
Mar 28 2009 	Best Hotel in NYC	We are regulars at the Ritz Carlton Central Park seeing as how we love New York! It is without doubt, one of the most expensive hotels in New York along with the Plaza, St. Regis and the Pierre. With an excellant location across from Central Park and situated on the corner of 6th Avenue and 59th Street, this hotel would sound noisy but is NOT AT ALL! We have had rooms with 6th Ave views and Park as well. The rooms are exactly the same but the view of the Park is certainly much nicer! We have also on occasion (this in particular) had Club access, which is nice if you can afford it but certainly not a neccesity. The LaPrairie Spa is great and pricey but worth it! Treatments are great like the Reflexology and 60 minute Skin Caviar Massage. I would strongly recommend it! BLT Market is the new dining room and latest creation of Laurent Tourarndel. It is ok for breakfast and lunch but went for dinner once and would not rush to return. The best restaurants in New York are usually not in hotels. However, the Star Lounge is fantastic for Afternoon Tea. One of the best in the city in my opinion, along with the St Regis' Astor Court. The concierge at the hotel are superb at recommending restaurants and Broadway shows. We like to see 2-3 shows per visit. This particular time we saw Billy Elliot, Radio City Rockette Christmas Spectacular and South Pacifc. They were all WONDERFUL!! We do nothing else but shop during the day, Madison Ave (such as Paul and Shark, Ralph Lauren and Barneys) as well as Fifth (Bergdorf Goodman, Saks, Louis Vuitton, Gucci, etc....) At night, we eat before or after shows. They recommend the best restaurants in the city such as Le Bernardin, Jean Georges (in the Trump International Hotel and Tower), La Grenouille, Adour Alain Ducasse (in the St Regis), Gordon Ramsay (the London Hotel), River Cafe, Bouley, 21 Club, Gramercy Tavern, La Goulue!!! There are so many amazing restaurants for dinner and fun ones for lunch like Fred's at Barneys and BG at Bergdorf Goodman. We go two-three times a year and will keep staying here!!	
Feb 28 2009 	I Finally Found The Best Hotel In New York!	After months of research, my family and I finally decided to stay in the Ritz Carlton on Central Park. We had stayed at the Battery Park location in the past and found it very nice, but removed from shopping (you can take a subway easily but we didn't want to) and the staff were fine, but not really great. We have also stayed at various other hotels in the four or five star category, but usually found that the price/quality ratio was pretty disappointing.It was a landmark birthday for me, so we thought we would try to stay in the RC CP. I am so glad we did. I don't know if it's the recession kicking in, or if it was always done this way, but I felt welcome (really, sincerely welcome) from the second we got out of the car until the second we had to get back in again to go to the airport. We payed a fair room rate for what is probably one of the best locations for a hotel in the entire world, and we had access to the Club Lounge, which in other cities at other Ritz Carlton hotels doesn't mean too much, but here was a real treat - no less because of the gorgeous view of Central Park outside the windows.The rooms were pretty spacious, and best of all, the bathrooms were too. I actually started a forum here called Who has the Best Bathrooms in NYC?, and I am happy to say I found them. Also, the Frederic Fekkai bath products were much appreciated, and didn't smell or feel like mass produced soaps stuffed into &quot;brand name&quot; bottles.The best thing really was the service though, I would have to say. I really felt that if I had a request or needed help, I was helped with no problems or long waits. The entire staff at the Ritz Carlton Central Park deserve a big hug and a raise because these people really know how to do their jobs. Oh - and the room service actually arrives BEFORE the time quoted. We ordered from RS 12 times, and it happened that way every time. Less than 30 minutes. You don't even get that from Four Seasons - and I stay at FS hotels regularly.I loved this hotel, and I can't wait to go back and see if the standards are regular or not.	
Feb 23 2009 	Fantastic Hotel!	Just returned from 5 days at the Ritz and it was wonderful. What really differentiates this hotel is the impeccable service - they really cannot do enough for you and it makes your stay very special. Although it has a wonderful location, beautiful rooms, excellent food, a very knowledgeable concierge, and a fantastic buzz - the best thing about this hotel can be summed up in three words - NORMAN THE BARTENDER. He's had 29 years with the Ritz and is a lovely man - he overheard me wishing my husband a happy birthday and all of a sudden we had glasses of champagne in front of us with beautiful strawberries, and later a chocolate cake with a candle. When we flew home I asked my husband what his most favourite moment was, and he said it was the first evening at the bar with Norman in jovial attendance, wishing him a happy birthday. This is a great hotel - and if you go, see the wonderful Norman.	
Jan 28 2009 	Loved This Hotel.	First of all, I cannot say enough about this hotel. From top to bottom, the service was great, and they know how to take care of guests. It was clean, the rooms were impeccable, and the food was great. The spa is excellent. I love the club room for the club level. I will be back to this hotel.	
Jan 8 2009 	A few issues	We stayed here for our anniversary as a family of 4 in December 2008. We have visited NYC 3 times and each trip we have always stayed at Ritz carlton hotels. We tend to visit Westchester R.C and Battery Park R.C, and therefore this was our first time to Central Park. Firstly, the location ,we feel, is absolutely perfect and the best place to be in the city. The hotel lobby is gorgeous and very traditionally furnished, exactly how we expected this hotel to be,especially around the festive season.Our room was ready and waiting but we requested a suite which was granted,although we did have to wait a couple of hours for it to be prepared. We had also paid for club level as an extra which was o.k to retreat and relax in but didn't seem to have the atmosphere and high level of service we have experienced and expected from other Ritz Carltons. It is quite difficult to explain exactly, the negative issues ,but if you travel widely and remain avid guests of this chain, I am sure you will understand the points that I am trying to raise and hopefully they will successfully be addressed. We found one waiter in particular very ignorant and rude who actually replied to us with a grunting noise, when we thanked him for a glass of wine. Other members of staff were o.k but we felt that none of them were actually friendly or very welcoming. And therefore all of this lead to a very unusual atmosphere, which we haven't experienced before, (not only in a club lounge but never ever in a Ritz Carlton club lounge!!)Our personal opinion of the staff was that the reception and concierge employees in the lobby were much more approachable and experienced with guests than the actual club concierge staff in the club lounge.They also chatted and showed an interest in our 2 children, which we felt was very nice and made them feel quite welcome and relaxed. In particular they took a liking to ABRAHAM on concierge who was very approachable and friendly toward them.We did manage to meet and speak with the manager at central park about our disappointments during our stay. He assured us that he would personally make ammendments to improve the club lounge entirely and hoped that we would return again soon.We were honest with him as to whether we would return as guests again and explained that standards in certain areas of the hotel have to be raised to retain the highest levels that the clients of Ritz Carlton are accustomed to. Unfortunately, also prior to checkout we had ordered a transfer to take us to the R.C at Battery Park, which they had forgot about.Then eventually after waiting the vehicle that arrived wasn't big enough for us all and our luggage and therefore another car had to be sent, which meant another delay but also more embarassment for the hotel!!I would like to conclude this review by adding that when a complaint was made staff were very polite and hospitable and immediately wanted to resolve the problem. But as guests, we feel that we shouldn't have to reach this stage and that is why we choose Ritz Carlton, and Central Park is 90% almost there but with just a little something missing.	
Jan 8 2009 	Beautiful Hotel - Can't wait to go again	New Year break and our first time in New York. Although we had booked a deluxe without park view we were up-graded to a fantastic large room overlooking Central Park. Wonderful bed (the most comfortable hotel bed ever) nice TV, good quality furniture, lovely toiletries and wonderful bathroom with tub and shower. Heaven.Very friendly and helpful staff. Check out is 12 noon and as we had a late flight they extended our time to 4.00. Is quite expensive but is worth it if you want to make an occasion special.Ditto the last review our beautfiul bedspread spent our entire stay in a canvas bag behind our armchair as well! And we only had one dressing gown which disapeared on the 3rd day. Housekeeping got me another straight away. And if that's the only bad thing I can think of then that's not so bad, is it.Could do with tea and coffee maker in room though.All in all, a lovely hotel, great location, very central and if you have a park view very pretty.	
Jan 3 2009 	Beautiful Hotel Excellent Service	I stayed 5 nights at the Ritz-Carlton Central Park - presidential election week. I had booked a non-view room, but was upgraded without cost to a room overlooking 6th Avenue which I greatly appreciated. I could actually see a sliver of Central Park. If you are a light sleeper - the non-view room might be a better option, however. I noticed some traffic noise although I had the fan on the a/c unit running and this blocked out external noise.I'm not sure what I can add to all of the accolades from previous reviewers. I can say ditto to just about everything. Every staff person I interacted with was excellent and welcoming.The hotel is very beautiful and service is stellar. I especially enjoyed the beautiful Star Lounge although the prices are obscene - $20.00 for a glass of chardonnay - oh well, this is New York and the service and atmosphere are worth it.My room was not cramped, but not as generously proportioned as one would expect from a hotel of this caliber but the richness and beauty of the furnishings were quite wonderful and gave the room a sophisticated but warm and inviting glow. I really enjoyed quiet time in my room to rest and relax. The bathrooms are great - separate shower and tub - beautiful marble and outstanding Frederic Fekkai toiletries. I usually don't notice things like this, but the Fekkai products are amazing.Now for some minor whining on 5 points: 1. My room did not have a coffee maker in the room - arrrgh! This means calling room service, or dressing and going out for a cup of coffee in the morning. 2. Also, after the first night, housekeeping folded the beautiful bedspread and put it in a large canvas bag behind the reading chair. It stayed there for the rest of my visit. I thought this was odd - although not a problem. The bed was made with a very nice down comforter everyday and the linens were excellent. It just seemed odd to have such a beautiful bedspread folded in a bag rather than on the bed so it could be displayed and enjoyed. 3. The room also did not have an iron and ironing board for touch ups.4. Fitness Facility: Really not up to par for a 5-star hotel. It is a very long and narrow room with virtually no windows. There was very little space to do push-ups, crunches, speed rope, drop lunges, etc. It has the usual machines and a few free weights. The locker room is very small and I don't think there was a steam room or sauna. I work out almost daily so I notice things like this.5. No flat screen TVs - the TV in my room wasn't that great - mediocre picture quality although good enough just to watch the news and keep current on election results.Whining complete!Although I was there in early November, the weather was unseasonably warm and I was glad that the A/C worked so well. All whining aside, this is a great hotel in an unbeatable location. Especially for taking the subway. There are multiple lines within a short walk of the hotel. I thoroughly enjoyed my stay and I would return.	
Dec 19 2008 	Ideal place	I booked the ritz carlton to stay for the weekend as a birthday trip for my husband, we had a great time here also we were up graded when checking in which made for a nice bonus.Everything about this hotel is luxurious, the rooms the decor the fabrics the bed linens everything! The staff were extemely helpful also we would definately re-book!	
Dec 16 2008 	Top Class	This is a property that delivers on its 5 star promise.  Our room old world luxury but with a very modern finish. I really liked the Bvlgari products in the bathroom. It was a very good size, particularly for New York standards.The concierge and reception staff epitomised professionalism. They did an excellent job arranging a special night for us. Hassan was particularly good. My boyfriend (now fiance!) planned to propose during our stay and, at his request, Hassan arranged Champagne, chocolates and strawberries in the room while we were out. Our favourtie music was playing on our return to the room along with a beautiful arrangement of petals.The next evening we asked for a cab to take us to a restaurant. Instead the hotel provided complimentary use of its Bently.My only small gripe was with breakfast. It is served in the hotel's BLT restaurant which can be accessed by the public via a side entrance. When we arrived to breakfast on Sunday morning it was extremely busy and we were asked if we had a reservation. We did not and we were told we would have to wait 10/15 minutes. I thought it was very unusual that guests of the hotel should require a breakfast reservation. Anyway, we only had to wait 5 minutes and breakfast was very good. This is just something to be aware of.Overall,the hotel delivered on everything I would expect of a 5 star establishment.	
Dec 16 2008 	Robbed by the Ritz	We sat down for a quick breakfast for 2 and the bill came to over $100. You may ask, what did you order??-2 cups of regular coffee ($10 each)-2 cups of OJ ($11 each AND not fresh)-1 bagel with cream chees/lox (~$30) -1 bowl of oatmeal (~$20)We felt absolutely sick after the meal, this was egregious, why would a hotel have a restaurant that overcharges guests during one of the worst economic downturns in history in NYC?!?We would NEVER return to this hotel because of our terrible experience at the restaurant. How short-sighted of the hotel to have such a restaurant and lose future hotel guests!PLEASE do not stay here, the hotel itself is about as good as a Sheraton, the rooms are non-descript and do not feel luxurious. The highlight of the room was the fact that it was clean.	
Nov 21 2008 	delightful	Had a wonderful stay here recently and completely fell in love with the atmosphere and location. I usually stay at the Four Seasons, and was worried I would be dissapointed in the room size and bathroom at the Ritz, but it couldn't have been better. While the ceilings are lower, and the rooms don't have that spectacular architectural feel of the FS, it is a wonderful alternative and offers a much more residential, cozy and warmer atmosphere. Just know that the rooms are quite small, but beautifully detailed. Low ceilings, and a huge armoire holding an outdated television overpowered my room a bit. (I was in a Park View Room. I also viewed a Deluxe Park View Suite, which had a plasma sitting on a console table in the living room, but walking into the suite and seeing the side of the TV is not the right solution) My room was exquisitely detailed with upholstered silk walls and thick mouldings, a truly lovely grey marble bath, and everything immaculately clean. A sublimely comfortable club chair, with a lamp and side table right where you need it make this the kind of hotel room you want to curl up and really live in. The park views are spectacular and you feel like you're staying in an elegant townhouse. The staff definitely works to achieve this friendly atmosphere, and they are clearly trying to be warmer and less rehearsed than Ritz employees have been in the past. Even though, I don't think it's necessary to shake hands with the doorman, who took off his white glove and extended his hand before I made it to the door from the car. Call me a germaphobe, but I think he could have made me feel just as welcome with a smile. Also, each employee gives you his or her name. It takes a little getting used to, and at first could strike some as fishing for tips, but it does enhance the warm almost family atmosphere. An odd detail was the housekeeping cart that was parked in the hallway each night. The first night I thought it was a mistake. But all 3 nights of my stay, there it was, parked within view of my door! Its a shame, because the hallways in the Ritz are probably the most attractive of any hotel in the city. Room service was fast and very good, but I did notice that unlike the FS, there was no felt padding underneath the table cloth, a minor detail, but this hotel is all about the details. Two pointers when booking a room: 1) Absolutely get park view. It is worth it, and you will not have the same experience if you don't. 2) The club is not a must, and the concept is different than other ritz hotels but there are some positives, more on that below.The club lounge itself is on the second floor next to the spa with a door you access with your room key. (you simply pay to add &quot;club access&quot; to any room)  For breakfast in the club, you have to take the elevator down practically to the lobby, so you feel like you need to get dressed up, in which case I'm going out to a restaraunt for a real breakfast. If you don't want to spend the extra money you could have a very nice experience here, and never miss it. Although I will say once inside, it is far more professional and elegant than other Ritz Club lounges. (servers in the lounge are most attentive, and constantly offer to replenish your drinks and snacks, whereas other Ritz lounges have become much more self serve). A very nice touch was the phone call from the club concierge the night before my departure, asking if I needed him to arrange an airport transfer or to print boarding passes. Again, its all in the details. Overall, a wonderful experience. I will definitely be back.	
Nov 2 2008 	Perfect location excellent service	Stayed four nights at the Ritz Carlton (Central Park South) with my 12yo daughter.The location of the Hotel is terrific, at walking distance from 5th Avenue and the shopping area.As soon as we arrived we felt pampered and welcomed by all the personnel, from the doormen to the receptionists (theye even knew my daughter's name!).We had one dedicated person who showed us our room and all the Hotel facilities.Coming from a long flight from Europe we wanted to have room-service dinner.It has been fast, good and accurate.So was the breakfast the morning after.The concierges are a real &quot;treasure&quot;: they suggested us very very good restaurants for our dinners and have been a very good help for everything in NY.The SPA (products La Prairie) is simply luxurious.Only negative note: on our departure day we had a snack at the Hotel Bar and the service was extremely long....Overall this Hotel is a bit expensive, but service, quality of the room and personnel are so good...Would highly recommend it.	
Sep 29 2008 	Probably as close to perfect as you can get	Without a question, the Ritz Carlton is one of the premium hotels in New York City. In contrast to some of the other big hotels in the area, however, the Ritz-Carltons's main entrance on Central Park South is rather inconspicuous and can easily be overlooked (our taxi driver drove right past the first time).The rooms are very spacious and luxuriously equipped. The interiors are designed in a very tasteful, classic fashion and, of course, impeccably clean. The bathrooms are simply stunning (and larger than the bedrooms in some other hotels).The staff are extremely helpful and friendly and make a point in making your stay as comfortable as possible. We arrived on a red-eye flight at about 5 am in the morning and technically would have had to wait until 3 pm for the official check-in time, but they let us check in right away.There were some very minor glitches (not to detract from the 5-star rating, though): the bathtub stopper didn't work (we fixed it ourselves), and the tea water we had ordered from the room service was barely lukewarm when it arrived and hence unsuitable for actually preparing tea. But, oh well, these things can happen sometimes. Even the Ritz-Carlton is just run by humans ;-)The price is in line with the typical &quot;New York price factor&quot;, that is, anywhere else than New York City you can get the same quality hotel for a lot less. Notably, a nightly rate of $595 did not buy us a park view (we had a rather depressing view of the backside of the building with various grimy tubes and vents).If you don't want a bad surprise (of which the hotel scene of New York City has plenty in store) then the Ritz-Carlton is a safe bet that won't disappoint.	
Sep 8 2008 	luxurious (as always)	Stayed here for 2 nights - wonderful as always. Very luxurious hotel, great location (across the street from Central Park). Had a low floor room with a view of the Park - enjoyed watching the horse carriages &amp; the people. Only had 1 night booked, but it was pouring rain when we returned after a Sat matinee, and decided to stay another night. When we got back to the hotel drenched, the doorman greeted us with dry towels, and even dried our umbrella! They were able to not only give us a room, but the same one we had the previous night, even though we had already checked out.All requests (room service, concierge, shoe polishing, etc) handled promptly and courtesly.The rooms are very comfortable - the beds &amp; linens are great - loved the Fredric Frekai (sp?) toiletries.Can't say enough good - it's not cheap (it is NYC), but well worth it!	
Aug 25 2008	Fantastic!	This hotel has a fantastic location, right on Central Park on West 59th Street at 6th Avenue (Avenue of the Americas). Every major designer store is within walking distance as is Bloomingdale's, Barney's, Bergdorf's and Saks. There is a complimentary Bentley Flying Spur with chaffeur at your free disposal to take you anywhere on the island of Manhattan you desire. The Front Desk team was fantastic upon arrival and checkout. The Concierge were extremely helpful in terms of transportation, theatre and dining. The room was very spacious and the bathroom was gorgeous as was the view of the park. The La Prarie Spa was fantastic for a massage and facial. The Club Lounge was a great place to relax after a fast paced day and night. The Star lounge was a beautiful bar . I am not too crazy about BLT Market as I think it is far too casual for the Upper West Side and the Ritz Carlton! It is also very pricey for breakfast!But I would go back in a heartbeat!	
Aug 23 2008 	Excellent Service	Excellent service from the moment my wife and I arrived. The entire staff was very attentive and accommodating. I booked through American Express Platinum Travel and was able to obtain upgrade upon request while checking in. The room was true Ritz Carlton decor. Marble bath with a separate water closet. Original room was shower only with a view of 6th Avenue.Traded back down for a separate shower and tub. Concierge was absolutely great. Abraham gave great suggestions for places to eat and party. He was able to get my wife and I on the list to get in a club called Room Service. He suggested Scalinatella and Remi for dinner (both Italian). Morimoto's on 10th Ave is definitely a must do if you like sushi and Seafood. Also if you like fish and chips A Salt and Battery in Greenwich Village is necessary. They were featured on Bobby Flay's Throwdown. He lost (so what does that tell you). True Brits - past the accents. This hotel is very convient to the subway and directly across the street from Central Park. Fifth Avenue is one block away - most of the shopping stores are within a four block radius. My wife had spa services at La Prairie and absolutely loved it. Her technician was Jaimie (guy). He was highly recommended by the Ritz. She had the 30 min. massage and the Luxe Moisture Indulgence and she raved about it. She said it was the best spa treatment she had ever had and my wife is very well traveled and has had numerous treatments here and abroad. The BLT restaurant was ok. It is very overpriced for what they serve. Having routine breakfasts and brunches at the Ritz Carlton in Buckhead (Atlanta) my expectations were high for this restaurant based on the location and reviews. It didn't overshadow the experience and service from the Ritz. If you are looking for consistency in wonderful service and attentiveness then you won't be disappointed.	
Aug 7 2008 	Luxurious Stay at the Ritz	Beautiful hotel overlooking Central Park. Staff were attentive and friendly and willing to accommodate our request fro early check-in. The room was tastefully decorated and very comfortable - it is nice to have a hotel room in NYC where you aren't tripping over yourself due to lack of space. Toiletries and amenities were luxurious and we enjoyed our stay. We have stayed in the Ritz in other cities where we were disappointed with the experience, but this stay felt like true Ritz hospitality.	
Aug 1 2008	Amazing absolutly superb!!!!!!!!!!!!!!!	What a great hotel! Right on the Park and walking distance to Madison and Fifth Avenue shops. The rooms are brand new and spacious, the staff superb, my favorite spa in the world! (La Prarie) and the afternoon tea is great, the restaurant is pretty good too.	
Aug 1 2008	It was wonderful	Been here twice and had a different experience from the last it was serberb the food was really good and the rooms were really awesome and had excellent service in the club and out.	
