	FIRST CLASS ALL THE WAY	Stayed at the Bryant Park Hotel for a quick overnighter with my friends. The room was gorgeous, bathroom was beyond amazing, and the amenities offered were first class.After running around the city looking for a fun place to go, we ended up at the Cellar Bar and were mad that we didn't come earlier! Music was great, crowd was fun, and the staff was very nice and funny.Only downfall was the &quot;late night&quot; menu -- food was obviously microwaved, but what else can you expect at 3 a.m.?	
Nov 5 2009 	Dont waste your time	The service at the hotel was fair however the front desk staff was incompetent, slow, and &quot;pushy&quot; to upgrade my room. With only one front desk rep and another hanging out in the back, the front desk rep &quot;Justin or Julian&quot; was rather rude and extra aggressive in pushing me to get a suite from a junior suite in which I booked.. The bellmen on staff were very nice, knowledgeable, and helpful (at least for 400 per night). Not to mention that we had to go to the front desk 6 times so our room keys could be adjusted.. My boyfriend and I found the bar to be wonderful in décor, but seemed cheap and low budget by the “smutty” outfits the girls had on. Furthermore, the music was sub-par. The best thing about this hotel was the restaurant Kio!! Next time we stay in New York, well probably try a hotel in the Meat packing district.. CB	
Nov 4 2009 	Tres Chic Tres Fabulous	Amazing stay at this hotel. Had a great time for our quick overnight stay. The rooms were very spacious by New York standards and the staff was friendly and professional. I never got the slightest feeling of snobbery. The Cellar Bar was great, we loved the fact that we bypassed the long line Saturday night and got in right away with our room key. Will be staying here again - even though I live here in New York!	
Nov 3 2009 	Nice try but not quite a hit	I returned to the Bryant Park Hotel this October for a special birthday trip having had a great stay in January this year. The return trip wasn't much to write home about.We arrived on mid afternoon on a Thursday and had to queue for about 15 minutes to check in. There was only one man on the desk and he wasn't coping with the influx of guests arriving Once we made it to the front of the queue, we were given the hard sell to upgrade our room, booked 2 months in advance, as we were told our 'deluxe' queen room only had a small bed and generally was small and not very good (hardly what you want to hear from the front desk!). First we were offered a suite at $100 per night extra per night, then a junior suite for $75 per night extra, but that wouldn't be available the first night. We then discovered that it was the weekend of the NY Marathon, so assumed that they were trying to get rid of expensive rooms by up-selling rather than upgrading people with 'deluxe queen' reservations. Bearing in mind that we were already paying an average rate of $350 per night, we were not keen to pay much more.Once we were finally given a room, we found were were on the 7th floor (lowest guest floor is 5, I think), and very close to the buildings industrial air-conditioning units just outside the window, which were fairly noisy at all times. The room was clean and nicely decorated but quite small, and the main ceiling light didn't work, probably due to being located at a prime position above the sofa resulting in hitting your head on it every time you stood up!Over the course of the weekend our room keys stopped working twice, one of the elevators was almost always broken and on one of the days our room hadn't been made up when we returned at 3.30pm. The bar, although a great spot when open, wasn't open on a Sunday, which was disappointing for a hotel of it's size.That said, the hotel is in a great location and is very well kitted out, however the level of service just wasn't what we would expect for $350 per night.	
Nov 2 2009 	Fabulous chic New York retreat!	My boyfriend and I recently stayed at the Bryant Park Hotel for a romantic weekend getaway to enjoy autumn in New York. The hotel was lovely, nicely upscale without being overstated. We really liked the elevators, nice touch! We loved the stylish European feel and the location was just wonderful, being right across the street from Bryant Park. Our room was very nicely decorated and I liked the sleek modern furniture. Bathroom was lovely. Most of the staff was very friendly and helpful. Check-in was smooth enough. The concierge was truly a breath of fresh air. Her name was Lindsey and she was warm, friendly and amazingly efficient and had an infectious smile. She knew where everything was and she actually got us reservations at the two restaurants that we thought would be impossible to get into (La Esquina and Babbo). The only downside was that the lobby was a little small and I'm not a huge fan of the music! Also, the hotel is on the pricier side, but all of the nice NY hotels are.	
Oct 29 2009 	My 2nd stay here and even better than before	This was my second stay at the Bryant Park in 12 months and it is a great hotel from many perspectives. The room service was great from the Koi restaurant and all the staff very friendly...I love this hotel and will definately stay here again.Great mid-town location as well.	
Oct 27 2009 	Management was incompetent horrible stay.	When I arrived the manager on duty told me my name wasn't attached to my wife's reservation ( although I had personally called a week before to verify that it was) and would not let me check in until she arrived- she was flying in and did not arrive until 11pm. When we finally checked in we got to our room and it was smoking (although we had requested non-smoking) when we complained they told me we had checked in too late. Our room REAKED of smoke and was noisy, Management said we were next to a generator or something. We paid almost $500 for that horrible room. We travel to New York for business almost monthly as do our colleagues. WE -and THEY will never stay there again.	
Oct 27 2009 	A luxury hotel which made our holiday	As a special present for my partner’s birthday I decided to book a trip to New York. Having never been to America before I wanted to learn as much as I could about New York before we left England.When looking at holidays I tend to do a lot of research into the place I am going to. This leads to late nights over the computer screen and headaches from looking into things. Using advice from Trip Advisor and various other hotel review sites I came to the conclusion that I wanted us to stay in the Bryant Park Hotel. The key factors in choosing this particular hotel were: location and luxury. As I said, having never been to America before I wanted to treat ourselves!I used Expedia to book our flights and hotel. The site gave us a choice of rooms and options. I requested a Deluxe Queen room with View (a view of Bryant Park) and for the room to be a non-smoking one. Once booked, I had to wait 6 weeks until our holiday. We were looking forward to it.Nearer to departure from England, I emailed the hotel with a couple of questions regarding check in. I not only received a quick and polite response to my questions but also was told that we would be upgraded to a Junior Suite room. A very nice surprise, i’ve never received a complimentary room upgrade before.On arriving at the hotel our bags were taken and we were checked in by a welcoming front desk. We were served by a guy who told us everything about the room, the hotel and events going on that evening. Having checked in, we then got taken up to our room (in the very funky red lit elevators). The room was lovely and such a welcome sight after a long journey. The room was large and the bathroom was a good size too. It was a nicely equipped room too with a decent sized TV screen hanging on the wall, a Bose radio and an iPod docking station. Oh and Molton Brown products in the bathroom, to my partner’s delight. Our room was on the 8th floor and we had good views of Bryant Park, the New York Public Library and the newly completed Bank of America tower.After a good day of sightseeing the following day, we went to the hotel’s Cellar Bar. As guests we were entitled to free drinks between 5 and 6pm. A bonus! I enjoyed having Nastro Azzurro while sitting in a intimate and social bar. The bar has a gothic style ceiling and moody lighting to match. We both enjoyed making conversation with other hotel guests. Good music too. The hotel also has a restaurant. While we did not go into it, it did seem popular and I have seen a number of favourable reviews of it on the net.Sometimes when you read about a luxury hotel you see that while they are luxurious, they lack in true charm and have a formal feel about them. I never felt that at the Bryant Park Hotel. It is luxurious, has a nice cosmopolitan charm about it and the staff were so friendly and accommodating, I didn’t feel like I was being a pain when I asked them some questions.The location of the hotel is pretty impressive too. A short walk west will take you to Times Square, a short walk East will take you to Grand Central Terminal, and a short walk South will take you to the Empire State Bulding. The hotel is also very close to 5th Avenue, and as a result we walked up it from the hotel a couple of times to see the sights and shops (!). One of the nice things about staying in the hotel is being able to walk for 30 seconds and be in the chilled out park opposite. It’s a nice relaxing spot.I shall be recommending the hotel to friends and family, and if I return to New York at a later date I shall stay here again.	
Oct 19 2009 	Totally Over- Priced Noisy Hotel with Zero Courtesy from the Staff	When my husband booked a room, the employee talked him into spending extra money for a suite with a park view. He agreed since it was a special get away from our 4 kids. He mentioned he needed to make sure we had a room up on the higher floors away from any noise. It was noted on the computer. When we arrived, they told us we were on the 5th floor and that it was the only room left. Since it was midnight we had no choice but to accept the situation. The floor in our room was dirty but since it was the last room I let it go. At 7:30am there was jackhammering outside in the street directly in front of the hotel. When we complained the staff said nothing they can do. Worst treatment I have ever experienced.	
Oct 9 2009 	Amazing for the whole family	I was wary of staying at a hotel in NYC with two toddlers (2.5 &amp; 18 months) and chose this one because of the great price for a NYC suite with 2 terraces and wood floors (cleaner than carpet!). We arrived on the day of a parade so it took us a little longer to get there but upon arrival everyone was so friendly and even though it might not seem &quot;child friendly&quot;, the man at the Guest Entertainment desk offered to help us find somewhere to eat and things to do with the kiddos. Our room was beautiful and very child-safe. Our kids loved the dual terraces (got to read them bedtime stories under the light of the empire state building and the stars). I would definitely go back, great location, loved the carousel in Bryant Park. We aren't fans of &quot;touristy&quot; spots and even though this is close to Times Square you don't feel the congestion of it. Love it, we will be back!	
Oct 6 2009	Best hotel in Midtown? I think so.	DATES: Fri/Sat – May 15-16th. A quick wknd getaway. ARRIVAL: Doorman was pleasant enough. Took the one suitcase and medium tote from the cab to the front desk where I was checking in. He didn’t offer to take the bags to the room, but that was fine as I probably would’ve have declined the offer anyway. When you enter the hotel, the front desk, concierge and bell captain areas are all in a rather small-ish room to your left. On your right as you enter the hotel is Koi (sushi) restaurant. (Didn’t eat there but some local friends said it was good, though a little pricey.) The elevators to the guest room are straight ahead as you enter the building. That said, there’s really no lobby to speak of in that there are only a few small benches to sit on near the entrance to the elevators. The lobby definitely isn’t somewhere you’d hang out and have a drink or cup of coffee, read the paper, etc. Check-in was unevetful. Front desk was efficient. I’d already prepaid through Expedia so there wasn’t much for them to do/talk about. Elevators were rather small and dimly lit w/red light – very lounge like. Some may not like that, but it didn’t bother me in the least. Strangely, I didn’t share an elevator with any other guests during the entire wknd. I know May is a slow month in NYC, especially in this economy, but it was still odd. Almost felt like I had my own private elevator. Anyway…. ROOM: Jr. Suite on the 9th floor. Very nice! It’s not a true suite in that there’s only one room with a sitting area, but overall the “suite” is still about twice the size of most other NYC hotel rooms that I’ve stayed in. There are two closets in the short entry way, one has the the honor bar and a few shelves, while the other closet was for hanging clothes. (There was also a complimentary large, wood-handled umbrella. You have to call down for an iron/board, which Ie did once. It was delivered in 5-10 min.) I liked the three well-placed coat hooks on left wall of the entry way...much easier to use than opening/closing closets and using hangers. Sitting area has an area rug with a chair, coffee table and chaise of sorts. Very comfortable and spacious to say the least. I think the furniture is nicer than it looks in the hotel pictures. Loved the wood floors and high ceiling…made me feel like I was at home. There’s a small desk/chair (w/cordless phone) on one side of the room and an entertainment center underneath the wall-mounted LCD TV on the window side of the room. The entertainment center has a Bose radio and a separate I-Pod docking station. On top of the center were various drink glasses and a small ice bucket (already filled with ice upon our arrival), though you have to call room service for additional ice which comes in a regular-sized ice bucket. Better yet, tons of natural light with four large windows overlooking Bryant Park – what a great view!! (All the Jr Suites face the park.) All the windows also open about 5-6” so you can get a good breeze if the wind is blowing right. Platform bed is nice, though I prefer the traditional box/mattress combo which I think is somewhat more comfortable. White-noise machine on one nightstand with phone w/digital time readout on the other side. There’s also a bedside “d-n-d” button that lights up a button next to the door outside the room so housekeeping won’t be knocking when you’re trying to sleep. Came in handy as I was out kind of late both nights.Bathroom is easily double in size compared to the dozen or so other nyc bathrooms that I’ve experienced. Full-size, deep-soaking tub. Separate shower, big enough for two. Bath products were top shelf. Plenty of towels. Nice bathrobes and slippers too. Room and bathroom were both very clean. Housekeeping was fine. No issues there. Any downsides to the room? Maybe a couple. If you want to be facing the park, then you’re going to have to deal with some street noise. I’m from Chicago so it didn’t bother me at all. I actually like the sound of the city, but if you’re a light sleeper, then you’re probably going to need to use the white-noise machine, or you should consider getting a room in the back of the hotel (no view though). Also, wood floors + big windows + high ceiling = loud. And while I didn’t hear anyone during our stay (there are only 5 or 6 rms per floor), if you happen to get some loud neighbors, then I suspect you’d probably be able to hear them rather easily given how the sound reflects around the room. Also, if you’re coming back to the hotel late on a thurs-sat, you might run into a line outside the hotel for the Cellar Bar – the hotel’s bar/club. Don’t think of waiting in line. Don’t even break stride as you approach. Just roll right up to the doormen, flash your hotel keycard and they’ll waive you in. Then once you’re back in the hotel, you can go straight into the club – should you so choose. I walked in on Sat night at around 1:30-2am and the place was packed - way beyond capacity. It was four deep at the bar, so I said forget it and called it a night. (Mainly a 20s-30s crowd from what I recall.)LOCATION: Can’t imagine there being a better place to stay in midtown. Being across from Bryant Park absolutely makes this place in that it gives you a bit of a break from the relentlessness of the City. There are hundreds of (free) chairs and lots of tables to sit at – just grab one. I’d suggest buying your breakfast/lunch at a nearby deli, sit in the park and enjoy the people-watching. The Bryant Park Grille, which is located on the east side of the park, is okay. (I had a late dinner there on Fri night). The atmosphere is nicer than the food (standard bar fare), but it’s got a really nice view of the park. The main bar area just to north of the restaurant is also popular with the happy hour crowd and was busy into Friday night. [If you’re looking to avoid mini-bar drink prices, there’a deli on the SW corner of 39th and 6th that sells wine (very small selection) and you can even buy single beers (I got a bottle of wine and 2 large Saporro cans for the price of one mini-bottle of wine at the hotel. If you’re only looking for food, there are also a couple deli-style places that are even closer - just east of the hotel on 40th - nice places both of them, but I think they close kind of early.]In addition, the hotel is only a 5-10 min walk to Times Square, Empire State Bldg, 5th Ave shopping, etc. And if you want to head either uptown (Central Park/Upper West Side, etc.) or downtown (Soho, Little Italy, Tribeca, etc.), there’s a subway stop about a block from the hotel. Even a cab down to Morimoto’s in the Meatpacking District @ 8pm on a sat night only took about 10min. [FYI…cab from LGA (Delta Shuttle terminal) to the hotel during Friday evening rush was $34 (tip and toll included), and it only took about 25 minutes. For the trip back to LGA late Sunday afternoon, It took less 20min to get there, and it only cost about $30 (tip and toll included).]  All-in-all, a great, centrally-located place to stay. Highly recommnded.	
Oct 5 2009 	The best hotel i've ever stayed at!!	What a hotel! I loved every minute of my stay and from now on i will only stay at the Bryant Park hotel when i'm in Manhattan.The location is fantastic, rooms are spacious and very chic, not to forget the bathrooms which are enormous. The house keeping is very good and turn down service is offered.The hotel has a nice gym, which is great for a gym freak like myself :)I loved all the small details such as; green apples to munch on after a tough work out, news paper every morning, a very well stocked minibar, Molton Brown bath products, robe and slippers and bed side ginger flavored chocolate.I will highly recommend this hotel to everyone i know and to be honest this is the best hotel i've ever stayed at!	
Sep 29 2009 	We loved The Bryant Park	Great hotel, fab rooms and wonderful staff. The location is pretty fantastic too.	
Sep 29 2009 	The Bryant Park Hotel is home in the big city	The excitement of the city is nicely complemented by the elegance and service at the Bryant Park Hotel. The staff is friendly and accommodating and the rooms are beautiful! We had a great time.	
Sep 17 2009 	Amazing experience at the cool and hip Bryant Park Hotel.	I travel weekly and I am lucky enough to stay at the Bryant Park Hotel in NYC. The amazing front desk and bell stand teams make guests feel welcome and important even though they are all super cool and good looking. For me personally, they are like family and I look forward to greeting them every morning and evening. Hotel management has built a great team and develops regular communication with the guests that stay often. Rooms are clean and modern, beds are great.If it is the first visit, please tell the front desk that a regular sent you!	
Sep 11 2009 	Loved the Bryant Park	This is a very late, late review of the hotel. I stayed at the BP with my Mum last November, and I am looking to go back again in the next couple of months. We did have some teething problems when we first arrived but these were soon sorte out and we had the most lovely time - it was the first time ever that my Mum had been anywhere in the States (we were travelling from the UK) and the staff tried very hard to make her stay a pleasant one, we looked forward to coming back to the hotel at the end of the day. For myself, being a jewellery designer, I found the location just great and I managed to combine my trip by both taking a holiday and doing some work and business at the same time - the hotel is close to lots of fab and interesting places. We were only sorry to go home just before the Christmas fair started over in Bryant Park. The hotel has an interesting bar/club which guests get priority passage into (my Mum opted out of that) but I am glad I went down and had a look - In the end, we almost had to prise ourselves out of the front door before we left because we had stayed ten days...but I am sure we will be back at some point, my Mum never stops talking about it - its a great place to conduct business from/around or as a girly shopping base; the only downside I felt was that there were no in-room drinks making facilities but to be fair I did know that before booking, there is of course a fridge etc and a great delicatessen just up the road. Thanks to the staff at Bryant Park but most specially to Darren.	
Sep 9 2009 	Excellent Labor Day Vacation	We loved the hotel. The location was outstanding, near everything. The hotel staff was very helpful and friendly. They recommended an excellent Italian restaurant near the hotel. Also they recommended the Red Flame restaurant for breakfast which was three blocks from the hotel and was very good. We asked the girl at the desk how to go to Elmhurst, I used to leave there in the 60s and she started looking for the address. She could not find it and told me that she will bring it to my room. Much to my surprise ten minutes later she showed up at our room with detailed directions, I was impressed. When we departed we told the concierge to get us a taxi. We checked out and when we went out he had the taxi ready with all of our bags already in the trunk. Our vacation was superb and we attribute a great part of it to the hotel. Highly recommended.	
Sep 9 2009	Comfortable and very nice location	This hotel is very recently renovated with very comfortable beds and updated bathrooms. Our room was large and was one of the few with 2 queen sized beds, which was perfect for me and my adult daughter. The park across the street is lovely, and while you have to walk a few blocks to get to where all the activity is at night (the hotel is in more of a commercial area---within 5 blocks of the theatre district and Times Square), it was worth it. There are several coffee shops and delis within a one block distance, but they are not always open.	
Sep 7 2009 	Hip sleek modern - love it!	I stayed here for one night while wrapping up my birthday weekend. The hotel itself is pretty hip, with house music playing in the lobby/elevator and dark colors (especially red) all over. The location is great for shoppers, and close to Times Square too.The doorman was polite, took my bags and led me in. The gal at the front desk was super sweet (I cant remember ber name but it started with an A) and upgraded me to one of the two Raymond Hood suites, so cool! The room is huge and very different from the lobby - light hardwood floors, white walls, and white/lavendar colors all over but kept with the minimalist look of downstairs. There was a huge living area, dining area with table &amp; 4 chairs, and a half bath off the living room. I had great views of Midtown and Bryant Park from TWO balconies. The bathroom is huge, seperate tub and shower but I wish there was more counter space. The towels and bathrobes were super softWe didnt dine at the restaurant or go to the bar but when we returned from dinner there was a crowd outside and a bouncer too.. Im guessing the bar is a pretty happening place (its open until 4am afterall!) It would have been fun to check it out if I wasnt so tiredMy one minot complaint- We had ordered room service for breakfast and though it was brought up rather quickly, the food was just room temperature - my waffles, his omelette, the fruit, but it was still pretty tastyOverall this is a fab hotel that looks great and has friendly quick service. I cant comment on the price unfortunately as it was a gift but I imagine it to be on the higher end - well worth it, I'd say! It;s definitely for younger people or singles (or young singles :) and i can see myself staying here again when Im in NYC - hopefully I'll visit the bar too!	
Aug 31 2009 	Great Midtown Hotel - Trendy way to spend the night	Just did a weekend trip and stayed at the Bryan park hotel. Very nice room, got a free upgrade to a view. Spacious room and great bathrooms. Helpful staff and clean throughout. The night club in the basement is overpriced and noisy but cannot be heard from the room.	
Aug 24 2009 	A Gem in Midtown	We frequent Manhattan about six times a year, staying over when we make plans for dinner and a show. This was our fist visit to TBPH but it won't be our last. In fact, if it's available we would dream of staying anywhere else. The room was beautiful and immaculately clean. The staff was pleasant, helpful and made us feel very welcome the moment we arrived. We highly recommend this wonderful hotel and with beautiful Bryant Park right across the street, you can't ask for more!!!! Bravo the staff at TBPH.	
Aug 18 2009 	Attitute at the concierge 	Walked into the Hotel our room wasn't ready, they offered me to store luggage (tha was good) this is around 1pm.When I went to the concierge desk he wasn't helpful it all, very snob &amp; looked at me like I was a tourist...he didn't have any idea on the new restaurants or lounges in town (example like &quot;The Gates&quot; or &quot;Griffin&quot; or &quot;Minetta Tavern&quot;) he couldn't get us a table or guest list because of a lame excuse!We come back in the afternoon around 6pm our room was ready, the we went to the bar around 7pm (it was empty with very OLD MUSIC PLAYIN') the hostess was very loud &amp; annoying.Overpriced drinks...! Room was a good size, necessary furniture...I like that!Bathroom lovely! Walls are looking old, the red in the lobby is so 90's NEEDS A MAKEOVER!Koi was outstanding!	
Aug 10 2009 	SWEET HOTEL!!!!	Stayed at the Bryant Park Hotel for one night on the 6th of August, to say this hotel is a delight to stay at is an understatement.Easily the most professional staff I've ever dealt with, particularly the front desk staff.! Hotel and location could not be better. Our room was on the 14th floor, even though it was facing on to Bryant Park, we had the most amazing nights sleep, no disturbances at all, absolutely beautiful views from the room onto the park and Library (NYC public library) The room itself was completely decked out in all modern amenities. We thought the Wi-Fi was a free option, turns out its paid service, which is no big deal, might be an issue for some business users. Bathroom was superb, free Molten Brown supplies and a service to buy more if needed.( im sure the hotel would provide some free samplers if needed) Dinner in the restaurant was pricey but delicious, can't really fault it at all. You pay for quality everywhere. Overall I can't recommend the Bryant highly enough, fantastic service, location and staff.Stay here, you wont regret it.!!!!	
Aug 4 2009	This hotel rocks! It has private balconies too!	OK, at the risk of having the place booked up every time I want to go, this is my new favorite home away from home in NYC. We stayed in the Raymond Hood Suite (top floor, only two suites up there) for two nights in July and the suite and the balconies were magnificent. There are two small, private stone patios off this suite - one off the living room, one off the bedroom. Totally private. Our suite overlooked Bryant Park and the NYC public library. Wood floors, high ceilings, incredibly lush bathrooms with separate showers (with multi heads and steam function) and deep soaking tub, marble, ....incredibly wonderful. The staff makes this place - young, hip, tremendous fun. We fell in love with Felix, the asst. front desk manager, who was friendly, helpful and a real joy to see as we went in and out. Valet parking is quick (and it was free on the Fri/Sat we were there.) The location is perfect, two blocks off Times Square, and lovely Bryant Park directly across the street. We went to Zeytinz market two doors down the street and bought breakfast and picnic lunches and ate them in the park, it was gorgeous. It was like the hotel's front yard. The only negative I can give this hotel, and it's kinda funny, and peculiar only to this suite, I believe, is that the bedroom in the one Raymond Hood Suite is directly adjoining the bedroom in the other Raymond Hood Suite (since they can connect for larger parties.) There is only a door separating them and you can hear the folks in the other room very easily, even normal level conversation. The second night we were there, we heard some amazing singing, and then some apparently amazing sex, in the room next door. Saw them on our way down in the elevator the next morning - two famous folks in the music biz. (So, if you're in that suite and planning to party like a rock star, do it in the living room.)	
Jul 28 2009 	Best Location Fabulous Hotel Amazing Restaurant Hot Bar!!	For our first time trip to NCY we couldn't have chosen better. Great location, very helpfull staff with the bonus of an amazing restaurant on the premises. The cellar bar was a great place to start the evening and a nice spot to end the day too. The rooms are spacious and the views spectacular. I do like to stay in different locations when visiting cities but on this occasion my next trip will see me heading straight back!! We were also lucky in the fact that we opted to get a ride to the Airport with the hotel driver, yes more expensive than a yellow cab but well worth it. The driver, gave us a detour (to avoid rush hour) showing us places we would not normally have seen...Fantastic!!If you can afford this Hotel GO!! if you can't then visit the restaurant (Koi) and cellar bar...Well worth it!!	
Jul 27 2009 	Loved the Bryant Park Hotel	The hotel staff is very professional and helpful. This is the best hotel that my family and I have stayed in. We had a room on the 19th floor - it was very quiet and we slept so well. The hotel is conveniently located near Times Square, the subways, shopping and eating establishments. There is a beautiful park across the street where you can sit and relax. They also have various entertainment events going on at the park, so you can take part in some New York culture.	
