	Fantastic Hotel Great Location	We stayed at the Blue Moon Hotel during November and had a great time.The hotel is lovely with little bits of history all over the place.Our room was lovely and with plenty of room, it also had a small balcony over looking the Williamsburg Bridge. The bed was firm ensuring a great nights sleep. The bathroom was well appointed, but you had to flush the toilet a few times for it to clear. The shower was powerful, but the towels for drying yourself were on the small side.The front of house guy who we met on our first day, Paul, was fantastic. So friendly and full of information. He really made a difference to our stay.We would definitely stay there again. The hotel is in a great location for getting around New York and the neighbour hood has some lovely restaurants in strolling distance.	
Jan 28 2009 	Lovely Weekend	I stayed for two night at the Blue Moon Hotel the weekend of January 16 - 18. My room was charming and meticulously clean. Everyone was as kind and helpful as could be desired. This hotel is for people who love the unique and the original, and a flavor of New York from long ago. I will definitely book a room at the Blue Moon next time I visit New York.	
Jan 25 2009 	Elegant history with all the extras	Blue Moon ranks at the top of all my travel experiences, and I'm a frugal, well-traveled, picky person. I am a self-employed writer, and every travel dollar has to be well spent because I don't have an expense account. But I like to treat myself well and feel safe, while experiencing whatever city I am in. Blue Moon met all my requirements, provided me with many special surprises: I'm a Hitchcock fan and Larry recommended a rarely seen film from their free-rental video collection. When I visit NYC (which is about once a quarter) I HAVE to have a good bagel, and the breakfast served downstairs every morning were some of the best bagels I've ever had (and even though I missed having whitefish salad, I'm glad they didn't have the smelly stuff in their lobby!). And the coffee was delicious, even though there was a Starbucks across the street, I felt no need to leave the hotel. The room was HUGE in NYC standards. I've stayed in many very nice hotels in the city from the Upper West Side to Park Central, I have never had a room this comfortable with a balcony and city view from my window for this comparable price. When I arrived I received elegant care from all the employees. Each one had their specialty, from sharing the history of the building to DVD recommendations to restaurant recommendations. I came and went several times throughout the day and into the wee hours of the night and yet whenever I arrived I was always greeted like I was a family member. I just realized, I probably should have been a better tipper, but I honestly felt so much like I was in a house full of my family that it didn't even occur to me. My bad. I hope they'll forgive me. But I guess that's another sign--that I never felt like anyone was doing anything for any other reason than they all just loved their &quot;home&quot; and wanted to make me feel comfortable. Larry did say he was from the South, so perhaps his innate sense of hospitality just came with ease. But that doesn't explain the rest of the staff.Besides the fabulous treatment, the rooms and lobby and particulars are all meticulously renovated in keeping with the 1920s or earlier (I may have the date wrong) history of the building, everything is very modern and well-equipped. I heard Richard Price the author stayed there for 3 months while looking for an apartment. If my fantasy of having a pied a terre in NYC ever comes true, I'll be living in the Blue Moon Hotel and taking my time picking out a residence.Blocks to Chinatown and Little Italy and Soho, it's the perfect location. If you need to be somewhere faster than the subway or your feet can carry you, the staff will call a car service for you in seconds. No more pricey than a taxi, and also very nice drivers. I could gush more, but I think the truth is in the fact that I already know where I will be staying when I return in July, and Oct , and next January.	
Jan 21 2009 	Friendly and fascinating	What a fabulous surprise the Blue Moon Hotel is. Its tucked away in the Lower East Side with no big flash frontage. But the minute you step inside the cheerful lobby, you feel as if you've been one of the family for ever.Coffee, tea and a glass of wine are on offer as a welcome. Everyone who worked there went out of their way to help with advice, restaurant recommendations, information about the area and background to the historic aspects of the building. There is a great sense of respect and admiration for the history of the area amongst the people who work at The Blue Moon and they love sharing this information with those who have an interest.The rooms are decorated in the period of the actors they are named after and each has its own distinct character. Rooms are well fitted out and have practical and aesthetically pleasing furniture which make them feel like a home from home. Great coffee supplied for the coffee makers in the room and a well appointed bathroom make the Blue Moon a very comfortable place to stay.I would happily go back next time I visit New York City.	
Jan 18 2009 	Manhattan Gem	The Blue Moon is a wonderful gem of a hotel—comfortable, ideally situated in Manhattan, and with a classy, artistic charm. The furnishing were all new, the rooms nearly soundproof, and the staff gracious and solicitous almost to a fault. The tastefully unified décor celebrates the history of the building, the neighborhood, and the stars of the early NYC theater. The location was perfect for our purposes, near Chinatown and Little Italy in the prime historic territory for tracing our ancestral roots. Even better than the facilities, though, were the people. Our family of two grownups and two teenage girls came from Orlando in December but were faced with what could have been a vacation from hell due to luggage that was not just misrouted but totally lost. The Blue Moon staff, thankfully, was tremendously helpful in easing our problems, even going so far as to lend me a topcoat so that we could buy clothing rather than having to face the NYC weather in our Orlando short-sleeves (we had packed our heavy coats in our luggage). They eagerly provided well-informed histories of the area, the locations of excellent restaurants of all flavors, and suggested sites to visit with simple directions. In all, we cannot say enough positive about the hotel and above all its people. You cannot go wrong by staying at the Blue Moon.	
Jan 18 2009 	Blue MoonThe Lower East Side Nostalga	My family went to NYC for a rare weekend getaway this past August.We went to The Blue Moon in the lower east side. What a trip to my youth . The hotel is a living museum. The entire place was painstakingly and lovingly restored. Art adorns every wall along with collages of actual newsprint and memorabilia. The lobby is so quaint and fun. Each room carries the name of the stars that I grew up with. Molly Picon,Jack Benny, Sid Ceaser.I found myself smiling, and enjoying the atmosphere. The rooms were well appointed,with a well stocked fridge,and coffeemaker, marvelous mattresses, indiv air conditioning controls, a DVD player and a T V. The lobby had a lending library of things to watch. Breakfast was informal. As soon as we went downstairs a fresh pot of coffee was prepared, the bagels and danishes were fresh and delicious.The entire family had a great time and everyone wants to go back again.We brought a car, but it is closely situated near many trains, and it's easy to get around the city from there.	
Jan 10 2009 	Elegant Artistic and Welcoming	I am an author/lecturer with a very busy travel schedule all over the United States. The business that invited me to lecture in New York City booked the hotel for me as usual, but this time I was pleasantly surprised with a new and unique hotel, the Blue Moon Hotel in Manhattan, New York. I was there for one night only, but they were very kind to letting me check in early since the room was ready. It had an atmosphere of artistic elegance but not pretentious and very comfortable. There was clear attention to detail, which I did not find in other NY hotels. The owners and staff were extremely kind, welcoming and helpful. I am looking forward to staying there again.	
Jan 7 2009 	Overpriced	I did a last-minute business trip to NY. Last time I stayed at The Rivington down the road, but fancied staying at the Blue Moon as the reviews seemed positive and I liked that it apparently had character.The price was exactly the same as The Rivington at $525, already an eye-watering New York price.My complaint is that I expect a seriously upmarket hotel experience for that amount of money (I travel a lot with work), even in New York. Rooms were fine, nice even with some careful furnishing with special attendence to the restoration of an old tenement property, but nothing special.I was already thinking this was way overpriced when I went down to breakfast. Lovely fresh bagels but served in the lobby with cream cheese from a packet on plastic plates with plastic knives and forks and coffee in a cardboard cup (coffee was also allowed to sit for too long as I discovered on the first day, urgh). For $525 I expect to at least eat off china, not airplane plastic, also no kitchen so impossible to order anything hot or even a capuccino. I complained to the manager who was perfectly nice and actually quite upset, who said that he very rarely got complaints, only from Europeans! I had to reschedule my breakfast meetings to The Rivington where they have a fantastic breakfast room and serve scrambled eggs! Also he said that rooms were smaller at The Rivington, but actually that was not my experience.If this hotel was $200 I would warmly recommend it, but for $525, I can't. It's little more than an upmarket B&amp;B.	
Dec 31 2008 	charming and great location	great place! the location is the draw but the hotel was charming and cosy.	
Dec 30 2008 	Amazing Experience	We were absolutely delighted by the charm of the parlor, the decor of the room, and the genuine friendliness of Larry and Andy. I have not stopped raving to everyone I know about the Blue Moon Hotel. Without hesitation, there is no other hotel we'd stay in while in NYC during future visits. Thanks to all there for an incredible experience.	
Dec 29 2008 	Exceptional Service Great Atmosphere	My husband, 16-year-old son and I stayed at the Blue Moon Hotel for two nights after Christmas.I hadn't been in downtown NYC since I worked there nearly 20 years ago. The Blue Moon Hotel was the perfect location to revisit the area and show our son why we love it so much.Upon our arrival, Larry greeted us warmly and offered us a complimentary glass of wine. We stayed in the Louis Armstrong room. It overlooks Orchard Street and we loved being able to observe the activity below. It really made us feel like a part of the neighborhood, not just visitors. The room was very comfortable and clean. Larry is a wealth of information, whether it be providing directions or detailing the history and renovation of this spectacular property. One truly senses what a labor of love the Blue Moon is for everyone from the owner, Randy to Larry, Bryan and housekeeping. Bryan, who also works at the front desk, is pleasant and very helpful as well.Randy gave us a wonderful restaurant recommendation, Tre, which is a lovely little Italian place on Ludlow. He even went ahead and phoned them to let us know we were coming. As a result, the restaurant gave us a complimentary dessert-a fantastic zepoli with a sinfully delicious cannoli filling.My son is gaining an interest in photographing cityscapes. We had intended to go up to Top of the Rock that evening and told him so. However, the fog made a visit to TOTR impossible. Randy graciously allowed us to enter the beautiful Eddie Cantor Room, so our son could take photos from the spectacular outdoor balcony.Blue Moon Hotel is a very warm, comfortable and welcoming place to explore the Lower East Side. The staff is very friendly and bends over backwards to ensure that your stay is exceptional. What's more, the hotel and its location offer convenience to all the sites and even better, a real feel for what it is like to live in the area. We are already planning a return trip in the Spring. We can't wait to go back and wholeheartedly recommend this hotel for those seeking great service and a true New York experience.	
Dec 12 2008 	Blue Moon excellent	My fiance and I spent 4 nights at the Blue Moon Manhattan in December 2008. Its location in Lr East Side is some way from the main tourist areas of Manhattan but the subway service both uptown and downtown was very good. The area in some ways represents more authentic New York than much of midtown. Manhattan hotels are very expensive but this was better than most, worked out at €485 per night including tax. This was their most basic level of room but still very spacious with a good size balcony.Breakfast was provided free, unusual in Manhattan though they do not have a restaurant for lunch or dinner. It's a small hotel with just 20 rooms - the upper level ones are fabulous with brilliant views but quite a lot more expensive. The managers are delightful, nothing was too much trouble and we got complimentary wine on arrival. The place had a great feel to it and we will certainly stay there next time we go to New York.	
Dec 7 2008 	Lower East Side Gem	We passed this hotel by chance last year while exploring the Lower East Side and were intrigued by its charm and character. On this visit, we stayed here for 3 nights and it fully lived up to our expectations.This converted tenement is obviously a labour of love for the owner whose meticulous attention to detail can be seen in every part of the hotel. The design of the spacious room was in keeping with the concept of the building, past and present.Staff were extremely friendly and helpful, especially Larry and Antonella, both a source of invaluable knowledge on the history of the hotel and surrounding area.We specifically wanted to stay in a downtown hotel to escape the usual midtown locations, preferring the feel of LES and the Village etc. However, you can quickly reach any part of the city from here as there are a few subway stops close to the hotel, the easiest being the F train from Delancey.Would definitely stay here again and have no hesitation recommending the Blue Moon Hotel for anyone planning to visit the staple NYC landmarks or those looking to experience Manhattan from a different perspective.	
Nov 21 2008 	Wonderful experience	Why stay anywhere else? I found this little gem by chance back in Nov 2006 and I was immediately impressed. The Blue Moon hotel is like no other hotel in NYC from the location, décor, history to the cleanliness and superb staff this is a must stay. Oh! Let me not forget to mention the great price for a room that is HUGE. This is not one of those places that only posts pictures of the biggest and nicest rooms on their website, all the rooms look like that. I just stayed there for the third time a few weeks ago. Coming from Washington DC I was greeted by Larry (and a glass of wine) who is not only a perfect gentleman put a great resource. He should write a book on customer service. He is truly and asset at the Hotel and I thank him for the great service and awesome dinner suggestions. The night I arrived I ran into Randy the owner. To my surprise he remembered me and welcomed me back. Then he said he was going to check on upgrading my room for the following night. The next day we got back from touring around to find they put us in the penthouse Eddie Cantor room. Words really can’t describe this room and the view. I could write and write about this place but you will just have to stay there for yourself. Let me just say if you want to get a true sense for this great city this is the place to go. The nightlife is energetic, neighborhood like and very safe and the service makes me think of what it must have been like in and what my parents would refer to as “the good ole days”	
Nov 20 2008 	Great character hotel	We didn't know too much about this place before booking, but were delighted when we stayed there. It's stylish, charming and quirky, and even the lower grade room we had booked turned out to be spacious and well equipped. Activity bustles in the lobby which also serves as the breakfast area. Take a window seat and soak up the atmosphere with a very generous continental breakfast. Manager Larry couldn't have been more helpful. He provided us with info and maps for getting about and took the trouble to walk us part way to a restaurant that he recommended close by - one among a number of very under-statedly fashionable bistros and bars in this area.We'll definately return to the Blue Moon. With the dollar/pound exchange rate it's not a cheap option for Brits at the moment., but on leaving we were promised a great discount on our next trip there.Mark &amp; Juliette	
Nov 16 2008 	Very Friendly	We took a chance and stayed here last weekend due to the proximity to my daughters apartment a block away..... and I'm glad we did. We arrived at 9:30AM, which was well before the normal check in but no problem with Larry at the front desk. Larry looked after us throughout our two night stay and was more than happy to tell the history of the hotel and surrounding area. This is a small property with larger than norm room size for a hotel of this type in New York. Decor was in keeping with the Lower East Side tenement district which made for some intersesting and pleasing viewing. If you like real deli bagels and pastry you will really appreciate what's put out for breakfast each morning. All fresh and local. The Hotel is very clean and we found the entire staff to be friendly and supportive. We had them call us a car to JFK and am pleased to report no upcharge for this service. This was our fourth stay in New York in the last 15 months. All of our previous visits were spent in Midtown, which is about 40 blocks away. I liked the location of the Blue Moon, more of a neighborhood feel versus the touristy Midtown.	
Nov 8 2008 	A secret gem in the midst of the city.	After staying at this hotel I must say that it was of the most pleasant and comfortable experiences I've had. I was very impressed by the large size of the room that I stayed in and the warmth and pleasantness of the service. Everything in the hotel is bursting with character, from the colorful art pieces and fascinating artifacts from the late 1920s. Most importantly it was a comfortable and unique experience, one that I would very much like to have again.	
Nov 3 2008 	Rooms with personality very helpful staff	I travel frequently for business and this time it was New York. I was very pleased with the beautifully decorated room, the relaxed atmosphere and the very helpful staff.So much better then these hotel chains: it was a memorable place to stay and I will definitely revisit when i'm back in New York.	
Nov 2 2008 	Great boutique hotel in fab location!	We stayed at the Blue Moon Hotel in New York's Lower East Side for five nights from the 21st-26th October 2008 to celebrate our second wedding anniversary. We wanted something different, and we certainly found it at the Blue Moon.The hotel is a converted tenement building and the decor of the hotel is very in-keeping with the era it has tried to re-create - sometimes you feel that you are staying in more of a museum than a hotel! Original artefacts adorn the walls and the lobby and the rooms are fantastic in that respect - lots of characterful wood, tasteful traditional decor, great character bathroom, very comfy bed, etc etc...We booked a 'cozy' room, which has a small balcony, but despite the name we were thrilled to find a large room oozing character - all of the rooms are named after local Lower East Side celebrities (we were in the 'Jimmy Durante' room). Whereas most NY hotel rooms are no bigger than the proverbial shoe box, this hotel boasts to have some of the biggest rooms in New York, and I can believe that.The hotel offers a complimentary continental breakfast in the lobby and this was a great way to start the day - again, many NY hotels are 'room only' so this was another quirk. We enjoyed a leisurely coffee and bagel whilst watching the locals of the area going about their morning business outside the hotel.We found a complimentary bottle of wine in our room with a card wishing us a happy anniversary, which was a lovely touch. The staff at the hotel are all very friendly and will help you with any queries you may have.The best thing about this hotel, however, is its location. The Lower East Side is buzzing with character, as well as lots of lovely restaurants and bars to spend pleasant evenings. The shops are really unique ('Guss' Pickles' less than a block away!!) and the whole area is fantastic for people-watching. This was our first visit to NY, and we spent all day every day walking and sightseeing all over Manhattan, so it was very refreshing to come back to a locals' neighbourhood and just fit in with everyone else. Geographically it's also an ideal base from which to head downtown into the financial district, uptown to the main tourist attractions of Midtown or, our favourite places, across town to the fantastic areas of Soho, Greenwich Village, Chelsea, East Village etc etc...We had a fantastic but tiring time so the Blue Moon and the Lower East Side really felt like a home-from-home for us during our stay. You certainly feel that you are in New York, not some faceless hotel where really you could be anywhere in the world. If you are a like-minded traveller who loves the quirks of life rather than someone who is only impressed by the big smoke, then you will love the Blue Moon and all it has to offer, as we did.	
Oct 31 2008	The Blue Moon Hotel	I stumbled onto this hotel through Orbitz and had to check it out on TA. I am not sure how anyone could not be pleased with quality of the room and the phenominal staff. Yes it is a little bit off the beaten path, but what a wonderful experience it was to stay in this unique property. Having traveled extensively on business and leisure to find a property in NYC with this level of service and its large and very confortable rooms was a real surprise. This is not to say it is a bargain as to price, but it is average for New York City. After all the city itself is expensive. I would strongly recommend it to anyone who enjoys small botique hotels in the middle of a city neighborhood with lots going on day and night. Yes, I did see on TA a few folks who were very irate about their stay and treatment, but you can't please everyone everytime. I will defitinitely be staying there the next time I have to go to NY an be downtown.and have already told others about the property. DFN from STL	
Oct 26 2008 	Fabulous stay	Great stay! Everything was great, especially Antonella who recommended a great Italian restaurant. Our bathroom had a view of the Empire state building and was very roomy. This hotel is extremely clean and very quiet. I would definitely stay here again!	
Oct 14 2008	Great Hotel	We reserved at The Blue Moon knowing little about it -- and what a wonderful surprise we got! The hotel was adorable, immaculate and warm. The staff was first rate and friendly, and our room was perfect.We heartily recommend The Blue Moon for anyone and everyone looking for a charming European style hotel experience in a hip, up &amp; coming New York neighborhood.	
Oct 4 2008 	My Blue Moon honeymoon	I spent my wedding night and a day at the Blue Moon Hotel in New York City, I had heard that it was a comfortable and friendly hotel. It was much more than that. When I made my reservation I had explained that it would be my first night with my bride. We arrived close to 1 AM and the owner himself greeted us. We were treated like royalty. The staff made themselves available at a moments notice. The first thing I noticed was the view of the Manhattan skyline. We ordered room service and we were attended to very quickly. The beds were very comfortable, the room and the bathroom was impeccably clean. The next morning a wonderful typical New York breakfast was offered with an open hand. We came down late, as can be expected the night after a wedding and the variety and freshness of the food was a pleasant suprise.The owner joked with us and made small talk and really made us feel like we were with family. The staff was so warm and friendly I couldnt believe I was in New York City.Over the years I had heard of New York's Lower east Side. I am a terrible shopper and even I loved going to all the stores in the neighborhhood. We went to the tenement museum and were very touched by the stories and history. Then we went out for lunch, also a plethora of choices greeted us. We then visited a couple of art galeries, did some more shopping in Chinatown which is really closeby. The whole area is so historic and so alive. We were both exhausted when we got back to the Blue Moon hotel. Exhausted but happy. I cant write enough of how wonderful our stay was and of the staff of the Blue Moon hotel. I look forward to going back there on my next trip to NYC. WHo doesnt like being spoiled after all?	
Oct 3 2008 	AMAZING HOTEL	Culture, art and history all in one place! Largest room I had in NY, great service, close to Seaport, SOHO, TRIBECA, East Village and Greenwich Village, i walked everywhere. I recommed it highly.	
Sep 27 2008 	Disappointed	I was excited to book a room at this hotel for my husband's birthday. I booked a mid priced room -- which was $650 for one night -- expecting that the ammenities would match the price tag. I also asked that since it was a special occasion I would appreciate getting the cutest room they had at that price range. I have stayed in many fine boutique hotels and have always been given the best room available, even if was above the range of the room paid for. I asked if the hotel was sold out and it was not but we just got a run of house room anyway. Well...honestly, the room was just ok. The bed was not comfortable, there were no nice little extra touches. The lighting in the room was bad. In the morning II just wanted to pack and leave as quickly as possible. The staff was very nice and friendly but the breakfast was just bagels and fruit and a few pastries, really inadequate. For the price tag, it should have been much nicer. I will not book here again. I wanted to really love it.	
Sep 22 2008 	MIxed feelings about the Blue Moon	My wife and I stayed at the Blue Moon in June for 3 days. Travelling from Australia, this was our third trip to New York in the last 4 years. After reviewing the fantastic feedback on TA I was enthusiastic about staying there. We found the room sizes excellent, and the staff extremely friendly and accomodating. The theme of the hotel however, I believe it is movie stars of the 1930's, leaves a little to be desired. The breakfast, whilst very fresh, was a disappointment, with simply bagels, pastries and some pieces of fruit. I did not feel that this hotel was great value for money and would not stay there again in the future.	
Sep 21 2008 	Fabulous service	We had 2 nights in this hotel. Larry and Antonella are a credit to the hotel. They provided great service and hospitality. They were a wealth of information and were so personable and friendly.Hotel is a couple blocks from a subway stop and is ideally situated for sightseeing.The view from the room was incredible.Free internet access is provided in the lobby.	
Sep 17 2008 	Great little find!	After popping in to see the charming lobby while wandering Orchard Street on a previous visit to NYC about 6 months, spent a nite in this little gem last week and found it a wonderful experience. My room, the Milton Berle, was on the funky side of &quot;deluxe&quot; but authentic , roomy and homey made up for it. The staff were terrific (especially Antonella, a most personal and helpful concierges; Larry, whose enthusiam for the history and the artifacts makes staying there feel like a privelege). I had the sense of setting up a temporary &quot;home&quot; there - in a way I've only experienced at B&amp;B's and never in the New York Area.	
Sep 16 2008 	Great Property But Awful Service	My girlfriends and I planned a one-night stay to the Blue Moon Hotel. Upon seeing their Web site and reading a handful of reviews, we were sold. The hotel is beautiful to look at, not like anything you've seen before.We loved our room. The view could have been a little bit nicer; plus we had no idea we'd be sharing the balcony with a neighboring room. That information was conveniently left out upon booking. Even worse, the balcony door didn't lock. Other than that, the room was fine.The problem then came later, or should I say a couple of days later. I checked my bank account (I paid with a debit card), and they charged me about $6,000 instead of the $600 that the room cost. You can imagine my panic. I called the hotel to ask them to reverse the charge -- this is just unacceptable. I was nice at first, it's an honest mistake. The man on the phone told me to call back! Okay, so my panic continues.I call back 30 minutes later to speak to a woman named Shayna, who was very rude. She didn't even apologize for the mistake. The amount was so astronomical, I have no shame telling you that it made my account negative! I was so upset and explained the situation to Shayna (I had negative dollars to my name and it's just not fair, she'd have to fix it as soon as possible). Instead of her kindness and compassion, what I got was rudeness. In fact, she was speaking to someone off the phone, and I heard her call me an &quot;irate customer&quot; and mocked the fact that I was upset. I was in tears at this point because I absolutely needed my account to be brought back up to the accurate amount in order to buy groceries and pay bills for the month.I asked Shayna if I can speak to her supervisor or someone else at the hotel who can assist me in a nice fashion, and she hung up the phone. I called back and told her that I needed for someone else to help me and she responds, &quot;I thought we were done. There's nothing else I can do for you.&quot; I've never encountered such poor service before in my life. In my line of work, I've gone to plenty of hotels and I've never received this kind of treatment. While the hotel is nice, the people that work in it (particularly this Shayna woman), not so nice. I will never go to this hotel again, let alone recommend it to any friends, relatives or the public.	
Sep 15 2008 	A Unique NY Experience	We wantied to experience another part of the city and this is a great place to feel more like a local than a tourist. Antonella and Larry aretwo of the best desk -clerks/concierge in town. So helpful with directions and great suggestions on dining. The views on the 5th floor and above seem to be the best. Very relaxing and cozy feel to the hotel. Nicely located to subway stops and easy cab ride to entire downtown area.	
Sep 9 2008 	Best boutique in NYC	Loved the location. Lower east side blew us away. Very up &amp; coming social scene. The hotel is right next to the subway for a quick ride uptown. The rooms were extremely large for New York standards and also very clean. The atmosphere, despite reviews to the contrary, was extremely quiet and tranquil. The bagels in the morning were delicious. The staff's service was truly impeccable. Larry, Andy, Antonella, and Randy were all excellent hosts! More than anything, they want you to have the best time possible. They are full of great recommendations and always go above and beyond your expectations. The only possible suggestion concerns the beds, which were a bit hard. Would highly recommend! Made a perfect romantic getaway.	
Aug 22 2008 	CARING SERVICE	The Blue Moon Hotel is a quaint hotel in a great location. It is close to Chinatown, Little Italy and a resonalbe cab fare to Time Square. We had some difficulty with the air conditioning but the kindness, caring and respect received from the manager and staff was overwhelming. They fixed the problem but continued to check that we were okay. Their advice was always available and they tried hard to please the customer. It was a breath of fresh air to have personable care in New York City.	
Aug 8 2008	Fine until the bill came.	First, the good. The hotel is very pretty, with a period theme, and nicely situated on the edge of Chinatown and within walking distance of little Italy and the East Village. The staff was very attentive and my stay was very pleasant. Continental breakfast was enjoyable, and the overall atmosphere was very positive. Now, the bad. I travelled on business and booked the hotel for myself and two other guests (in separate rooms) based on the somewhat affordable room rates ($365/night). While we were told that cancellation of our reservation must be made 72-hours in advance, we were not notified that if our stays ended early that we would be charged 100% of the room rentals for the remaining nights. Consequently, when our business concluded early, we were forced to pay an amount roughty 1/3 more than what the cost of the stay should have been. This has not been our experience with large NY hotels that host business travellers. The manager, who was very nice up to that point, refused to compromise, and it is unlikely that we will stay at the hotel again or recommend it to other travelers (in fact, given the personal attention of the manager/owner, based upon this review, we will probably not be invited back to the hotel).	
Aug 8 2008 	The nicest hotel I've ever stayed at!	I stayed in the &quot;Burns and Allen&quot; room for a week in late July '08, and every single aspect of the hotel and the service exceeded expectation. The room was amazingly spacious, comfortable, and appealingly designed, the staff were wonderful, and all in all it was great value. The Lower East Side neighborhood in which the Blue Moon is located is my favorite part of Manhattan: tourists planning to visit NYC shouldn't be put off by the idea that it's not &quot;central,&quot; as in fact it's right next to other great areas like SoHo and the Village, and so much more fun, and more peaceful, than staying in faceless, polluted Midtown. I will be recommending this hotel to everyone I know.	
Aug 7 2008 	Wonderful hotel	Wonderful hotel - full of character and cozy - friendly, competent staff, quiet.The only negative thing I found was that breakfast was served on disposable plate and &quot;silverware&quot; was plastic.	
Aug 6 2008 	A great place to stay in the Lower East Side	We stayed in the Blue Moon during the first week of August and enjoyed the stay. The rooms were tastefully decorated and bigger than what we expected for Manhattan. The noise level wasn't very high even though our room faced the street. The staff was very friendly and helpful and the owner himself, came over and talked to us. We will definitely stay there again if we are in the area.	
Aug 5 2008	Great value and location	Funky hotel, wonderful location in Lower East Side, quiet street just off Delancey. Fabulous price for NYC. Very friendly staff, delicious bagels for breakfast, old-fashioned rooms with modern bathrooms. Would definitely stay here again.	
Aug 4 2008 	Unique hidden jewel in Manhattan	What a wonderful hotel!! My husband and I stayed at the Blue Moon hotel recently and were extremely impressed with how historic, pristine and authentic everything was. The furnishings were antique and we were shown how the owners restored so much of this historic time period in New York that it is truly more than just a regular hotel stay.When we first walked into the lobby and were greeted, it felt like we were transported back in time with the music and restored furnishing. The room we stayed in was a Deluxe and everything was perfect right down to the antique furnishing and the LCD TV and mini fridge, we couldn't even hear anything street noise. The hotel is on Orchard Street which is a quiet street and right next door to The Tenement Museum. There is a nice French cafe feeling in the lobby where breakfast is served in the morning (fresh bakery goods, bagels, pastries, o.j., coffee, tea, etc.)There is so much to say about this hotel but all in all we will definitely be back and will recommend this hotel to friends visiting NY.	
Jul 29 2008	Made our Anniversary Memorable	My wife and I celebrated our 15th wedding anniversary at the Blue Moon Hotel on the lower east side in new york city on June 19th, 2008. We are from Texas and our usual iteniary starts with a five star hotel in mid-town. This time we tried something different and I'm so glad we did. The staff at this hotel was over the top friendly and made every effort to make our stay unique, custom, and first class. We stayed in the Eddie Cantor suite which was spacious with a double door balcony with a great view of the lower east side and midtown. The hotel &quot;artist&quot; gave us a tour of the various rooms, and a history of the hotel and it's remodel and local history. The artist and the front desk person, Olga, gave us great suggestions for restaurants/bars/shopping/and entertainment on the lower east side. The coolest thing was when we could not get reservations the hotel staff made a call and got us in VIP style. They were also able to make car and transportation hookups for us. Each night when we go out olga or other staff members would call ahead for us, arrange a car service, and print us detailed maps. This was on of the most unique and &quot;local&quot; experiences that we have ever had in New York. For the first time we felt less like tourist and more like people from the neiborhood. I can't say enough about Blue Moon. But it is the staff that makes it a memory that we will never forget.	
Jul 28 2008 	Like staying with friends	Stayed at the Blue Moon hotel for 2 nights, and loved it. We had spent the 3 nights before that in midtown, at the Royalton hotel. Truth be told, the area that Blue Moon is in is much more 'local', as compared to the area in midtown manhattan, however, the warmth and friendliness of the staff more than made up for it ! The rooms were very clean and very spacious. The breakfast was superb, local delights for the NY visitor to get an idea of the culture of the area : bagels and rugelach from local bakeries dating back 100 years old!! Yummy! They even doggy bagged (ziplocked, actually) some for us to take with us for the day! I would definitely stay there again, especially now that we know the area better. Actually, it is very close to the Soho, Little Italy, Chinatown area, so that would be a plus for anyone wanting to spend more time in those areas. Compared to the cold, and formal staff at other big hotels, this was a lovely change, especially when you're new to the city. Thank you, Blue Moon, for making the last 2 days in NY the best of the whole trip!	
Jul 18 2008	charming	My stay at the blue moon was exceptional. From the rooms to the staff , it was definitely first class. It's not your average NYC hotel, this place exudes charm. So if you're looking for somewhere to stay in NYC whether it's for a weekend or a week this is the place.	
Jul 18 2008 	Loved the Blue Moon!	I had the great fortune to stay at the Blue Moon Hotel this week and found it a little jewel!It is in the new hip area way downtown Manhattan and it has such a charming atmosphere.The staff (Randy, Andy, Larry) were all fantastic and so welcoming. I couldn't help but feel comfortable and relaxed.The hotel is restored and some beautiful features. I stayed in the Abbott and Costello room.Everything was fresh and clean.There is a cute lounge area in the front which hosted breakfast in the morning. We also had all of the amentities of other hotels, however, they also allowed usage of DVD players in my room and had DVD's for free in the lobby!I highly recommend the Blue Moon.I plan to go back.	
Jul 7 2008 	swiss experience in nyc	great stay in nyc thanks to blue moon hotel with its very friendly staff. fine rooms, very quiet. excellent location in downtown. highly recommandable	
Jun 30 2008 	Just a great place to stay	The room was incredibly comfortable. There was a lot of room so it felt more like a studio apartment than a hotel room. The staff was very helpful. They gave an excellent dinner recomendation and were just overall so nice and friendly.	
Jun 16 2008 	Five Stars For A Blue Moon	Cozie &amp; charming, this hotel welcomes new life to New York. Immediately upon entering into the lobby of this hotel, you feel as though you've traveled somewhere far abroad. Plush beaded pillows give the couches a warmth &amp; comfort, wonderful local artwork give the walls an inspirational glow, &amp; a free glass of wine upon arrival make this a relaxing place to hang out. The rooms put you at ease with their historical &amp; personal warmth. Beautiful faux painted walls, with big nice iron beds, fluffy pillows, a beautiful bathroom &amp; lots of room to unwind. Like a French flat from a forgotten time. The staff consists of all artists, which gives this whole scene a boho-chic appeal as well. It sits in the heart of Orchard Street, which is in the super-lux-hip Lower East Side. Seconds from some really groovy bars, fantastic restaurants, sinful shopping, &amp; much more. We heard that this was unlike any of the other hotels in New York, but now we have seen it for ourselves and will return with pleasure. Hats off to Olga, who recommended &quot;Jin&quot; a wonderful sushi restaurant to us. She had several other yummy places, but we didn't have enough time to wine &amp; dine ourselves at them all. But, another trip to the Blue Moon means more time to explore and adore.	
