	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
Aug 2 2009 	A few disappointments...	The hotel is located in a neighborhood that one could describe as Little India. There are a lot of nice Indian restaurants around (many of them completely vegetarian). We also tried many other types of restaurants nearby and were never disappointed. The hotel is on the green line of the subway (#6), which services a lot of museums and other tourist hotspots. Just walk around in all directions to get to know the neighborhood and you will eventually find what you are looking for. Free wireless that worked. The price was right.Now the bad side...I chose the hotel based on the reviews posted on the Trip Advisor website (the one with the mouse and the other with the cockroach were not posted then, otherwise I would not have booked with them!!!). Although efficient, the front desk staff are most unfriendly. They never greet you when you enter or exit the hotel. They just stare at you.We had a very small hotel room -- not ideal for working if you are there on business (a small desk was placed right next to the TV). There was a queen bed with very little space around for two people. It seemed quite clean, although I had an allergy to either the cleaning products or something else in the room. (Another guest was scratching uncontrollably in the elevator.) On some cleaning days, our room was cleaned to perfection. On others, they dropped clean towels and supplies in the bathroom, and did not bother doing the bed! We were there for ten days, and although I do not like wasting water on cleaning sheets excessively, I knew for sure that they did not change them until day 8 because I cut myself accidentally and got a blood spot on the sheets, which was there for an eternity! The bathroom smelled of pee when we got there, and the smell never disappeared. I don't think they clean the bathroom floors with disinfectant. For four days straight, our bathroom floor was never cleaned (the same hair was there -- and when it's so small, believe me, you notice). The remote control did not work. My husband went to the front desk to request new batteries. They sent the audio guy upstairs who showed up, I think, with the same remote. It worked while he tried it, and then it did not work again. I did not bother with it again.They encourage people to post good reviews on Trip Advisor, which I do not like very much. They should worry more about getting a supervisor to check the cleanliness of the rooms and about dealing with pest control. I did hear some suspicious noise one night.I will definitely not return, although I liked the location. The size of the room was not a big concern -- I was not expecting the Plaza for the price I paid --, but I do not tolerate uncleanliness and unwanted visitors.	
Jul 31 2009 	What a Surprise!	Selected this hotel based on Trip Advisor reviews and the great AAA price. First impressions? Large room with two very comfortable queen size beds, strong air conditioning, good location, fast free WIFI. The surprise? There was a mouse in our room! Need I say more?	
Jul 27 2009 	You get what you pay for.	My friend and I met up in NYC for a girls' weekend getaway. Initially, we were impressed by the size and cleanliness of the room. For an older building, it seemed to be quite well maintained and it was obvious that the rooms had been modernized. Still, it was nothing fancy but quite nice for the price.However, on our first evening, my friend found a cockroach in our coffee maker. Fortunately, we only saw and killed the one but where there's one cockroach, there are always many more. That was off-putting enough for us to keep all of our belongings zipped up in our suitcases for our entire stay. There was also a strange incident with some towels that were hanging in our closet. They were damp and left on hangers. Not sure why they were there, we left the closet door open one day so that the housekeeping staff would see the towels and change or remove them. However, the towels stayed there for our entire visit.The staff was competent. There weren't overly friendly or helpful but they weren't rude or unhelpful either. They served their function, nothing more or less and that was just fine with us. One slight annoyance with our check-out though. We contacted the front desk at approximately 11:15am (45 minutes before our departure) and asked them to call an airport limousine to pick us up at noon. Five minutes after our request, the front desk called our room and told us that our car had arrived, and to please come downstairs. It was a minor incident but irritating because we had to rush to finish packing and check ou of the hotel.On the plus side, we had booked a smoking room but were hoping that we could get a non-smoking room. The hotel wasn't able to accomodate us but the smoking room was was very clean and did not smell of smoke at all. If we didn't know that we were given a smoking room, we would not have been able to tell. Also, the beds were very comfortable.All in all, it was not the most enjoyable stay but it was by no means the worst. This hotel cost approximately $30/night less than any other hotel we could find of a comparable class/rating. We had originally reserved a room in another hotel which was brand new and I'm sure that we wouldn't have had the bug issues in the new hotel, but we decided to save a little money and go with this hotel.The problems weren't enough to put a damper on our visit, but it would have been much nicer to have a bug-free stay. It's an old building and I know there's only so much that one can really do to completely eliminate a cockroach infestation. This may be the reason why this hotel is available for a lower price than their competitors. We got exactly what we paid for. You need to consider your comfort level with cockroaches before booking with this hotel. If you're ok with them, then this hotel is a very good value. If they tend to gross you out, then it's worth the investment to book a more expensive hotel. Personally, I probably won't stay at this hotel again because of the cockroach issue. I understand the difficulties of dealing with cockroaches, but that doesn't mean I'm ok with sleeping with them.	
Jul 18 2009 	HIDDEN GEM!!!	this is such a great place...i don't think i/you should tell anyone!!! i wound up seeing many of the other hotels i checked while planning this trip - on the shuttle from laguardia (along lexington)!! even my driver made a good comment when he dropped me off!! the room i was in was perfect for me!! this place is on the no-frills side (no room service, you don't get escorted to your room upon check-in). one of my only real complaints would have to be about some of the staff!!! i needed to print my boarding pass for my flight, once i located the business center i went to print and there was no paper in the printer!!! i picked up the phone which automatically began to ring an extension, i told the person on the other end what i was calling about and was told to come back up to the front desk to get some!!! once upstairs i was handed about a half ream, I DON'T WORK HERE, i took the 4 sheets that i was going to need and finished my print job!!! one caution for families with small children...i noticed many doors left open leading to ominous looking fire escapes!! the room i was in (404) had been recently upgraded!!! although it was a smoking room...it did not smell of cigarettes past @ all!!! two suggestions that i would have for the hotel itself...the constant door slamming from other guest rooms is very jarring...not to mention that it makes it very difficult to sleep in!!! especially around the time that the housekeepers are making their rounds!!! the other suggestion would be to clean the windows!!! it has been very rainy in the city this summer - i get that - but there was a layer/film of dirt that looked like it had been there for a while!!! the room and the hotel were very well maintained!!! the restaurant next door looked very inviting!!! the train (6) is only 2 blocks away...very convenient!!! there are many things open late night and 24/7 around 28th/park which is where the entrances are (mcdonalds, duane reade). murray hill is not the center of the city - the in place to be - but it is centrally located to pretty much everything!! i will definitely make this the first place i check on my next trip to nyc!!!!	
Jul 15 2009 	An absolute value for money by New York standards.	It is a very clean and well managed hotel, with nice rooms, breakfast and wifi included in all the rooms at no extra cost. Some people may find the rooms too small, but by New York standards they are not really small. All real estate in New York is small. I almost want to suggest the owners of this property to get away from Ramada franchise and list it under their own brand. Not all Ramada properties are in good condition. Another suggestion I have for the property owners &quot;Apple Core&quot; is that they should indicate on their website about the AAA discount they offer on all their hotels.	
Jun 27 2009 	Very Pleased	We were absolutely pleased with this hotel. Was our 1st trip to NYC, You never know what you are going to get when you book a hotel, but the description listed was exactly what we got. Clean, great location, great staff and a bargain price.The bathroom is a very important to us and this was very clean and no mildew, breakfast bar was great, with a choice of 2 daily newspapers. The hotel is within walking distance of all major sites you want to visit, including the metro line. We will recommend this hotel to anyone wanting to spend a night or two in NYC. Thank you!	
Jun 11 2009 	A nice place to stay.	A nice place to stay. The best part was the staff. They helped me with everything. It was my first trip to NYC. I asked the front desk for a room with the must have features, and I got exactly what I needed and wanted. After long walks around NYC you need a place to come back to that will refresh you and this place did it. I usually travel and stay the first night at an expensive hotel (Which I did) and then try to budget with a second best place and get on with the trip. Usually the second place I stay is a let down. This hotel held its own against a very ritzy Time Square hotel in overall satisfaction.	
Jun 5 2009 	Couldn't have asked for a better place to stay!	We were absolutely thrilled with this hotel. You never know what you are going to get when you book a NYC hotel, but the description listed was exactly what we got. Clean, roomy, great location, great staff and a bargain price. We will stay there again! Thank you!	
Jun 4 2009 	Great location nice hotel close to restaurants and subway	I thought this was a great place to stay considering the other times I stayed in New York was in Manhattan. This was indeed a hidden gem and it was great to stay in Murray Hill. There is a lot of interesting things to see and do in Murray Hill and it was great to see all these restaurants nearby the hotel. I enjoyed the continential breakfast and was pleased with the service there. I also enjoyed using the free internet in the Business Center. There was also a printer you could use to print out info. from the internet if you wanted to and it was also free ! The hotel room was very clean and the bed was very comfortable.	
Jun 3 2009 	Just Perfect	Me and a friend chose this hotel after severals we found in the internet. We were looking for a quieter area but close to everything and affordable. Ramada Eastside did not disappointed our expectations. Clean, nice neighbourhood, recently refurbshided, excelent beds and with a fair complimentary coffe. Free wireless internet in the roon is a must. Staff is helpefull when needed. A nice coffe shop in the building always with lots of young people (it looked like they were students) with their lap tops and books. Although some reviews said elevators were slow we did not noticed that. We did our reservation by Ramada website and all went as it should be. Will came back for sure.	
Jun 1 2009 	Great Stay	Was in town for graduation and stayed for 9 days. Had a great stay. The staff was very professional, from the front desk, maid service and breakfast crew. The breakfast was continental and nothing to write home about, but it was fresh. Lots of casual restarants new by, esp those serving Indian foods. Subway was 2 blocks away. Grocery stores nearby if you want to have a picnic. This is the 3rd different Applecore I have stayed in and I enjoyed this one the most.	
May 25 2009 	Excellent value for what you pay.	Stayed here for three nights (May 6-8). Got the CAA rate - $99/night, an absolute steal for such a nice room in a great location.The room was clean, quiet and had blinds that darkened the room. The bed was really comfortable, good pillows too. There was a desk with nice leather chair. The bathroom was a bit cramped, but very clean. It had a powerful shower with different settings. A slight complaint about the lack of a towel rack, just a couple of hooks high up on the bathroom door, a strange place for them.Amenities that I took advantage of: flat screen TV, free coffee and tea, cordless phones with free local calls, bottles of shampoo/conditioner/hand lotion/soap, free internet in the little business centre.Breakfast consisted of toast, bagels, cereals, yogurt, hard boiled eggs, juice/coffee/tea, and even fruit (apples/oranges/bananas)! Nothing fancy, but it was included in the price, so it's hard to complain. It can be hard to get a seat in the breakfast room though.Overall, a great hotel in a greal location.	
May 19 2009 	Reasonably priced and centrally located	Took my girlfriend to NYC for a 5 days vacation from May 14-19. I looked for a reasonably priced hotel and the reviews I had found online were promising. The Ramada Lexington is centrally located (30th and Lexington), and the price is quite reasonable for Manhattan. The hotel is located two blocks from Line 6 of the Subway (28th and Lexington), which is quite convenient. The room was a bit small, and the bed (advertised as a queen sized) was a bit on the small size. I didn't have a tape measure, however I would guess that it wasn't the standard 60&quot;. The bathroom was super tiny, with a bathtub made for a 7 years old, lol. The water pressure in the bathroom was great. The room also offers a flat screen TV (also with HBO), and a nice fridge. So it's a mini room, but very well organized, it also offers a large closet (I mean large for the size of the room, lol), where you can store your luggage.. Everything was clean and the staff quite helpful. For the price you also get a continental breakfast. The breakfast room is located on the lower level, which can seem a bit odd for some people. The breakfast offering is: toast, bagels, coffee, hot tea, fruits and cereals. And I think I saw some boiled eggs as well. There is no ice at all in the breakfast room, so if you like iced tea like I do, I would encourage you to get an ice bucket and stop on the 6th of the 9th floor to get some ice before going downstairs. The breakfast room is not very large, so you might want to go early as you might have to wait for a table. They serve breakfast from 6am to 10am, and it is quite crowded the last two hours.From the hotel, it takes a 5 minutes the Empire State Building, located on 34th and 5th. The front desk clerk arranged for a limo back toe JFK, for a flat rate of $50 instead of the $45 that Taxi charge, however you can be sure they are on time. There is also a gym on the first floor, with a few exercise machines. And of course, the hotel offers free wireless access. That was nice. And it worked all the time!For the price, I will definitely be back.	
May 19 2009 	Exceptional value for money. Great place to stay in NYC.	I stayed at Ramada Eastside for 10 nights in early May, and have to say this is a really exceptional value-for-money hotel.I arrived at around 11pm and that was no problem (I let them know about it).The room was medium-sized, with a large flat TV screen and safe.The bathroom was really large for a hotel, with a bathtub and a big mirror. There were 9 towels (3 for each size), all of them replaced every day. It was all very clean.The safe didn't work, but was promptly fixed by the staff.The breakfast isn't anything special, but it's also free, so no complaints about it.The front-desk staff wasn't always so warm, but I didn't care that much. Moreover, they let me check-out two hours late.The location is very good: Midtown Manhattan, with a 5-minute walk from the subway.Liked best: value for money, room.Liked least: breakfast.	
May 19 2009 	What a great find!	This was an excellent find for Manhattan - the price was excellent and the hotel offered many many extras for free that you would pay for in other (more expensive) hotels. Free wifi, breakfast, use of computers and printers, check in kiosk for both the hotel and flights, in-room coffee maker etc... A small fridge would be nice but at this price, we're not complaining!The room was of a good size and the bathroom large and clean. We were on the 9th floor and even though we were on the corner of 30th and Lexington, the traffic noise was not a problem.The only complaints, if you could call them that, would be that there is no blind or curtain on the bathroom window (though the glass is frosted) and because the door to the bathroom was glass, the light from outside came into the bedroom. We fixed this the second night by having the closet door open to cover the glass door partially but a blind on the bathroom window would be useful. Secondly, it would be nice to see some more environmentally friendly table ware in the breakfast room - the cheap plastic cutlery and styrofoam plates were just a little cheap feeling and surely not good for the environment...All in all a fabulous experience - we will definitely be back and recommending to all our friends.	
May 17 2009 	A great NYC experience	I stayed at the Ramada 5/10-16/09 and found it to be an exceptional value for the price I paid. Breakfast was fresh and plenty of it and the only criticism with breakfast would be that there was no soap and paper towels at the sink to wash one hands if they get soiled or sticky. The room was exceptionally clean and fresh and as others said about the bathroom, there is no place to hang the towels after use. No towel bars at all. But, I'm being picky here and I did speak to the Mgr. about it. He said they were still in the process of their upgrades and would address the issue. There is an in room safe and a good closet.The area is nice with bus and subway close at hand. What more could you ask for in midtown Manhattan than a reasonable price, close to transportation, with your first meal of the day covered. I'll be back.	
May 11 2009 	Very clean quiet and in a good location.	During my stay here, both my mother and I very very impressed and appreciatiave of how clean the hotel is. The staff is very friendly and the hotel includes many great perks. It is one of the few in the area with a free breakfast, and it's a nice breakfast! The business center was also helpful. My only suggestion is that if you are getting a discount on the rate (AAA, etc.) you must present the card or proof of discount at the time of check in. I highly recommned getting a confirmation of this, such as having the staff make a copy of the discount, dating and signing it. I noted several people having trouble getting their discounts at the time of checkout. Otherwise, we were very happy with our stay and this hotel. I would recommend it and would not hesitiate to stay at this hotel again in the future.	
May 7 2009 	I wouldnot get better hotel and better service than Ramada Eastside.	I stayed at Ramada Eastside from April 30 through May 06, 2009 and it is never forgetable experience. The hotel was very clean with very friendly and proactive staff. The breakfast served was very fresh. On top of everything it is the best valued hotel. For the month of April, it was pretty reasonable. I won't get better hotel and better service than Ramada Eastside. it is perfect! i loved it.	
May 4 2009 	Great find in NYC	This was a great find in New York, given the cost of most other forms of accommodation in the city. As has been said often in the reviews here, it’s in an excellent location only a few blocks away from places like the Empire State Building and Madison Square Garden – and around a 15 minute walk or so from Grand Central Station. There’s also a subway station nearby. The room was clean and perfectly adequate with a nice, comfortable bed; well-sized flatscreen TV and a newish shower/bath. They also provided a free breakfast while I was staying there. I didn’t encounter too many problems with noise from outside the room, either. The only thing that bothered me was the customer service (or lack of it). Some of the staff seriously need to do a customer service course and/or to go to hotels in other parts of the world to learn about how to interact with (and even give an occasional smile to or indulge in a friendly conversation with) their guests. But, the further I travelled across the USA, the more a lack of customer service seemed to be standard practice in a lot of different parts of the country these days.	
May 1 2009 	Excellent value	We stayed here for 3 nights in April, and booked the hotel, after having enjoyed a stay last year.The hotel has been renovated in the meantime, and we had a large, nice double queen room. Our room was very clean and everything in perfect condition.The hotel is situated in Murray Hill, 2-3 blocks from the No. 6 Subway. Nice neighbourhood with lots of good restaurants.Breakfast ok, although breakfastroom in basement is too small.Friendly and helpful staff. Excellent value for money, and we will be back!	
Apr 24 2009 	Another Great Stay	Just had another great stay at the hotel. My family of three have stayed a few time &amp; this trip consisted of two moms &amp; 2 children under the age of 12. The staff is very friendly &amp; helpful. The rooms were clean &amp; updated. One complaint is that the bathrooms could use extra hooks or more counter space to put your gear. Other than that, great location good price. Thanks	
Apr 19 2009 	Excellent choice for a trip to New York	This is a really nice hotel which has recently been refurbished. Breakfast is included and there is plenty of choice. The rooms are clean and the bed are great. Staff are very helpful. About 10 minute walk to Empire State Building. We stayed here last year and this trip and would not hesitate to recommend this hotel. Excellent value for money.	
Apr 18 2009 	Pretty good deal for location.	I used Google Maps to locate hotels within reasonable walking distance from NYU College of Dentistry. I knew I wanted wireless internet, 24 hour front desk and breakfast included in the hotel I was going to stay at. This place was the cheapest that I found within 15-20 mins walking distance from the NYUCD areathat had these amenities. The guy working in the lobby was pretty nice and helpful!At around 130 dollars this place was pretty good. The toilet was kind of close to the wall but I did not mind too much (Perhaps it was just my room). My room was sort of noisy when I was trying to sleep but I think my window was open a little. I got a smoking room since that was all they seemed to have at the time but I don't think I could hold that against the hotel's rating. I would recommend this place if you are going for an interview at NYUCD. Close the the Koreatown area and the Empire State building. Take the New York Airport Service from La Guardia airport if you are trying to get here. It cost me 21 bucks (plus tips) round trip (they drop you off/pick up at Grand Central Station and a few other stations). I just walked (did not mind since I was sightseeing too) to the hotel from there. I think NYAS has a shuttle service to hotels from Grand Central but I just walked since I wanted to see the city closer.Overall I would stay here again bc/ of the relatively cheaper price compared to similarly equipped hotels.	
Feb 23 2009 	Reasonable hotel at a good price for the location	Stayed for two nights while in town on business - rate was ~$125 (AAA discounted) for a king bed room.Good:- Very clean and quiet room (even though it was facing Lexington Ave) on 10th floor- Good selection of food at the breakfast buffet- Wireless high-speed network was fast &amp; free- Good location in Murray Hill - lots of places to eat in the neighborhoodBad:- Slowest elevators I've experienced in years - Fitness room facilities were below par- Fairly old heating/cooling system in room - this should have been upgraded when they renovated the hotel- Breakfast area opened at 7 AM - this is pretty late for weekdays at most hotels	
Feb 18 2009 	Great value!!	Can't beat the price of this hotel, what an awesome value! Friendly helpful staff. Clean room and bathroom. Very comfortable bed. The continental breakfast hit the spot, good bagels, donuts and coffee. The neighborhood is nice with all the necessities near by, pizza, diner, bars, coffee house right next door, pharmacy, subway, etc. I am a single woman and stayed here by myself 4 nights and never once did I feel uncomfortable or unsafe. I would definitely stay here again.	
Feb 16 2009 	Fantastic Hotel	Ramada Inn East side New York City, truly fantastic hotelFebruary 13,2009My wife and i arrived from the Philippines for our exhibit attendance in Javits Center and we again tried Ramada Inn due to its price and proximity to location. We were here two years ago and we were comfortable with the location especially for us who knows very few things about New York. We were very gladly surprised with the new lay out and design of the rooms as well as the fantastic improvements they have made on the bed, the bathroom as well as the general cleanliness of the room. The breakfast was just right, the service good and men and women on the counter were helpful and of course the flat tv was just really a highlight.Ramada truly made our stay memorable and almost became a paradise to us after a 20 hour trip from the Philippines to New York.	
Jan 22 2009 	This is a great place to stay in NYC	I was very impressed with the Ramada Inn Eastside. I think the quality is unbeatable for the price, and will definitely stay here again when I am in NYC. The rooms are all newly refurnished and very tasteful, and clean-- everything new (I stayed in 2 different rooms during my stay-- one with 2 queens and one with 1 queen). The matresses are comfortable tempurpedic-style matresses, and there is an ipod dock and sound system built into the alarm clock. Given that the hotel is in donwtown Manhattan, it was fairly quiet, though NYC is noisy wherever you are. The rooms were decent size for NYC, and overall the hotel had a bright, clean, new vibe, but in an older New York building. I was very impressed, and didn't know that accomodations like this were available in NYC for this price. I have paid over twice the price for a room not nearly as nice. I will definitely stay here again.	
