	Amazing Service!	I was so happy with the overall value of this hotel. The service was incredible - the location was awesome - and the rooms were comfy!!! I loved the breakfast in the mornings - great coffee!! The free internet service was extremely helpful.... There was a complimentary bottle of Perseco and chocolates in the room.... Wine at night.. awh....The room was pretty good size - for NY, especially. They offered passes to the gym, but who wants to do that on vacation? I found NO complaints at all with this hotel. We could walk to 30 Rock and to Central Park. Subways are only a few blocks away... and 5th Avenue is only 1 block away! It doesn't get better than that.	
Oct 9 2009 	Terrific boutique hotel	Located in the heart of mid-town Manhattan yet on a quiet block. Great staff, nice continental breakfast. Room was very nice, even though it was at the back of the building, which may have helped to make it even quieter. Very elegant, yet comfortable. Parking was reasonable for NYC at $30/night. We were met at the curb when we arrived and the car was valet parked for us. When we checked out, our car was waiting at the curb for us without our ever saying a word. Awesome service, and the staff knows their stuff about NYC. They were even able to get us tickets to a sold-out Broadway show! The best trip ever to New York!	
Oct 9 2009 	Lovely hotel with capable helpful staff.	Their inclusion of breakfast in the room rates makes for a nice start to the day. We had a very comfortable stay and would book this hotel again.	
Oct 6 2009 	A great choice	Afer much research, we chose The Elysee for an extended stay in New York City. We were not disappointed in any way. Arriving from Melbourne, Australia - a long haul flight of 24 hours, the staff were extremely kind and anticipated and accommodated our needs in every way. We had requested a room with a king sized bed in a quiet part of the hotel and that's what we got. The room was large and the bed very confortable. The breakfast was more than adequate and the cocktail hour drinks a lovely touch. All day beverages, with a 'take away' option was an added bonus. Occasionally, having only one elevator was problematic, but that 'goes with the territory' of an old and small hotel. Staff were professional, always efficient, and always greeted us whenever we left or returned to the hotel. Should we return to New York City, we would choose The Elysee every time.	
Sep 26 2009 	Great value 	I really enjoyed staying at this hotel. It is within walking distance of many attractions &amp; the subway. I stayed for 4 nights with my partner. The service was always friendly, very helpful yet professional. Yes - the lift can be a problem - just catch it on the way up &amp; go for a ride if you don't like to wait ;)	
Sep 23 2009 	Once again faultless	Stayed there for 15 nights and once again was exceptional. Nice rooms, friendly staff, free breakfast and the three-hour 'happy hour' with the free wine and cheese! (although only used it once!).Good location, Bills across the road is worth a pre-meal drink. Nowhere better in New York.	
Sep 23 2009 	Great service and a friendly intimate atmosphere	Truly a boutique hotel with french charm. The staff was helpful, although not super-organized with show information. The breakfast and the daily happy hour in the salon were nice touches. They were also very accommodating with a small board room I needed to use for a conference call before my room was ready.	
Sep 9 2009 	High Praise from Texas	Traveled to NY to attend the US Open &amp; stayed at the Hotel Elysee. The Hotel is elegant with spacious rooms ... however, it's the service that's remarkable! The friendly staff offered maps, gave directions and recommended excellent restaurants. Other guests included US Open participants, family members, and vacationers from Europe &amp; the US. Will definitely stay there on my next NY visit.	
Sep 7 2009 	Elegant charming with great location	Me and my daughter (18) stayed there for 4 nights in august 2009.The hotel was just lovely. So small hotel, but yet big rooms, lovely beds, lots of pillows, and just so elegant and clean. The breakfast was really nice as well, served in some sort of living room type of room (club room) which made it something extra special. The breakfast choices were many and you could chose whether to eat healthy or a bit more &quot;unhealthy&quot;. There were several choices of coffees as well. The Club room was open all day serving coffee, fruits and biscuits. We never were there during the day, but every night we had some cheese and a glass of wine which was included in the price and tasted very nice. The people working there were so polite and helpful, but not personal, and that is how I like it.Location was great. 2 minutes walk to 5. ave, 5 minutes to Central park or Rockefeller Center. Time Square also just some blocks away.I had read some complaints about the elevator/lift and thought that then I could just use the stairs. I wasn't aware that in US hotels you are not allowed to use the stairs, so I actually see the elevator-point. We always had to wait. It didn't matter because we were there for leisure, but it might have been a bit annoying if we were in a hurry. The only other thing on the down side was the AC which was quite noisy in our room.But I will definitely return to this hotel next time in NYC. I have already recommended it to several others.	
Sep 3 2009 	Fabulous Hotel close to 5th Avenue	This was a really wonderful hotel located very close to fifth avenue. It is located between fifth avenue and park avenue! Not only was it in a great location, it was also a wonderful hotel. Upon walking in to the hotel, the staff were all very friendly and accommodating. Our room did not become available to us until an hour after the normal check in period and the front desk apologized profusely as well as provided us with a complimentary bottle of wine and chocolates. In addition, the room was very clean and nice. There was a little mini bar, refrigerator, and microwave in the room. In addition, there was a wonderful breakfast everyone morning and little snacks provided in the afternoon. It was a really great hotel and we would definitely stay there again!! In addition, there was a fabulous little Italian restaurant right across the street from the hotel. Definitely try it out one night! And definitely stay at this hotel!!! :)	
Sep 1 2009 	A fantastic place to stay in NYC	We returned to the Elysee this time with our 22 month old son. The room, staff, service and club room facilities were all excellent. The hotel staff arranged a baby sitter and put our minds at rest about travelling with a toddler. The hotel has a very personal feel to it and everyone ws very helpful and friendly. The hairdryer in my room didn't work but was replaced within minutes of informing house keeping. The staff sorted out any minor issues quickly and efficently and were happy to book and recommend restaurants or take aways. We had a fantastic NYC experience with thanks to the Elysee and our lovely friends who got married on our trip- also staying at the Elysee. Breakfast and evening nibbles and wine in the club room were fantastic. All round excellent hotel for quality service and relaxed friendly atmosphere. We will return!!	
Aug 30 2009 	My favorite NYC hotel!	I live in Asia and only get to NYC about once a year, but I try to only stay at the Elysee. The location is great, the staff is friendly and welcomes me back. The rooms are charming and it's not that big hotel chain feel. No walking for miles down a long hallway or waiting hours for room service. I hear the Monkey Bar and restaurant have been updated again and can't wait to get back this October. The second floor lounge for the complimentary breakfast or a glass of wine in the evening is a welcome respite from the noise and rush of the city.	
Aug 29 2009 	Soundproofing needed!	As stated in all reviews, there is an old world feel and lovely reception room, but the primary service of a hotel should be to provide a good night's sleep. Hotel Elysee should invest in more sound proof windows as New York is a city that never sleeps and neither did I! Rooms in the front of the hotel hear the constant noise of traffic, trucks unloading and garbage pickup throughout the night. The air conditioning units within the rooms are also extremely noisy. I am very surprised that no one mentions this in the many reviews of this hotel. The rooms in the back of the hotel have the constant noise of the air conditioning machinery of neighboring buildings as well as having no view whatsoever. I had very high expectations for our stay at this hotel and was disappointed.	
Aug 28 2009 	Nice hotel but nothing special	The hotel is in a more expensive area of town (not far from Rockerfeller Center, Times Square). It is not modern but clean and generally well kept. The free breakfast was a plus, although one sealed box of cereal was full of bugs and the racist comments from another guest soured the experience a bit. There is one computer with internet access in the guest lounge for general use. Our room was spacious by NY standards but dark. The airconditioning was relatively quiet and a life saver with over 90 degrees outside. Although hotel guests have access to a sports center, this is not in the hotel itself. Most of the guests were older than us by some years.	
Aug 25 2009 	great location best staff quiet oasis in NY!	After researching hotels online, decided to book here. What a great find--a quiet oasis in NY. Large suite plenty of room for 2 adults, 1 teen, and 1 child. The room was more of an apartment than anything with an old world style--beautiful. A real NY-feel: a doorman whose name we knew and front desk workers who not only guided us to restaurants, sites, etc., but asked later how we liked them. Price includes breakfast--a real deal and convenience.	
Aug 21 2009 	Absolutely lovely!!! We will return!!!	We kicked off our honeymoon at Hotel Elysee. A beautiful 2 day stay before going on to Mexico. We were upgraded to a superior suite which was larger than my old NYC 1.5 BR co-op. The staff was lovely, the accomodations impeccable. I really wanted to take the bed home with me, it was so deliciously comfortable. Guests were subdued and well-mannered. The sitting room/breakfast area is very nice. The continental breakfast offers a nice variety of fresh fruit salad, cereal, breads, baked goods tea and coffee.I am a very fussy traveler and am not easily impressed or pleased. We live in the NY region and will certainly return for special &quot;staycations.&quot;	
Aug 15 2009 	Another wonderful stay at the Hotel Elysee	This was my 4th stay at the Hotel Elysee and it will not be my last. The staff is absolutely wonderful. They are all so friendly and they cannot do enough for you. My room was immaculate and very quiet. I love the upscale continental breakfast in the morning and the wine, champagne, cheese and crackers reception every day at 5:00 p.m. I will be back soon!	
Aug 11 2009 	A real Gem!	This is a beautiful, small and elegant hotel. It has all your needs covered in Midtown. The staff was friendly, and yet professional. The breakfast was very well laid out, and so was the wine and cheese. I would recommend this hotel to the fussiest traveller.The rooms were clean, and large. The bed was very comfortable. This hotel is the best kept secret in town. I will be sure to stay there on the next trip in New York.	
Aug 10 2009 	Loved this hotel!	Location is great, staff representatives were beyond gracious &amp; accommodating. I happen to prefer an older property with personality &amp; character. If you want modern everything with 100% sound-proofing, this is not the hotel for you. But if you want the feel &amp; experience of a small, thoughtful, European-style boutique hotel, look no further. Complementary continental breakfast, newspapers, afternoon snacks and happy hour save much needed money in NYC.	
Aug 10 2009 	Great Hotel	I, just, spent three nights at Elysee Hotel. Few years back I had a reservation at this hotel and a family emergency came up where I had to cancel my booking within 24 hours and they were so gracious about it that I decided, in my next trip to NY, I will stay at this hotel.I travel a lot so I will quickly give my opinion of the hotel.Arrival - the lobby is tiny .. they do not have a concierge but the front desk staff helps you .. check in was quick .. they have only one elevator so sometimes you have to wait.Room .. I got a room that was right next to the elevator .. I am talking really right next .. but I was not bothered by any noise during the stay. The room was small .. air conditioning did not work and I had the repairman up to my room few times .. not an issue .. he always came back when he said he would and, eventually, it was fixed. The TV is so so .. do not have any movie channels like most hotels .. puts out a tremendous amount of heat. Internet .. free .. which is great.Bathroom .. very small .. reminds me of European hotels .. I kept on banging my head against the wall everytime I got up after using the toilet .. towels are nice and thick .. amenities are OK.Maid Service .. fantastic .. efficient.There is a very nice lounge on the 2nd floor for guest use .. Complimentary breakfast ( all carbs so no use for someone like me and can get quite crowded where you may not have a place to sit ) and wine in the afternoon. Nice place to sit and read during other times.Location of the hotel .. fabulous .. everything within walking distance.Will I come back? Absolutely .. Other info .. the best car service from JFK .. Golden Class Limo [--] .. $50 .. with gratuity and toll it is $ 65.50 .. that is the cheapest I found .. I used them 3 times and they were great.	
Aug 5 2009 	A great New York City experience	I have worked in NYC for over 20 years but I have been a commuter and I have never stayed in a hotel (with friends yes, but never in a hotel) so I decided to treat myself and my teenage daughter to a 2 night stay while my daughter was taking a one week intensive class on the east side. We chose Hotel Elysee because it was near to the school that she was attending and it was a great choice. It is a small boutique hotel with lots of amenities, including breakfast, late afternoon snacks and wine and coffee and cookies. Since I know my way around, I did not have to take advantage of concierge or front desk, but I did overhear the young men at the desk and they were taking excellent care with the tourists. The room was very large and exceptionally clean and luckily the air conditioning was full blast since it was scorching hot outside. The hotel is very conveniently located and in a great neighborhood, easy to get to from the theater district and lots of good restaurants on the east side nearby. While my daughter was in class, I needed to do some work and I easily got internet access in the room. The only issue I would raise, and it is a small point, is that they claim to provide a blow dryer in the room but it was more like a vacuum hose attached to the bathroom wall with very little air coming out, so ladies, if you have thick hair like I do, bring your own blowdryer. Otherwise it was a great find.	
Jul 28 2009 	Perfect boutique hotel in a perfect location!	I had a fabulous one week stay at the Hotel Elysee in April 09. This isn't the biggest hotel in NYC but it has a lot of character and elegance. I shared a twin room with my mother and we both had beautiful and comfortable queen size beds. The rooms aren't huge, but it's what you get in Manhattan. The breakfast is simple but filling, and they serve canapes between 5pm to 8pm including champagne and wine! You can also get tea, coffee and biscuits throughout the day. The service was fabulous and they really make you feel special. There is only one thing I hated about this hotel and that was there was only one lift and it was incredibly slow, some times it can take up to 10 minutes to even get in and down to the lobby. I would highly recommend this hotel to anyone wanting a central hotel in Manhattan with class and elegance that isn't outrageously expensive.	
Jul 25 2009 	Wonderful Staff	I wouldn't say this is the perfect hotel for children, but I will say that the staff was very friendly and wonderful to my two small children( ages 2 and 7) and made us feel very welcome. We accompanied my husband on a business trip to NYC and stayed at the hotel for 4 nights. Being by myself the majority of the time, I was very thankful to have so many wonderful people assist me with finding activities to do, child-friendly places to eat, and getting us a taxi any time we needed.  There is a great continental breakfast every morning, wine and hors d'oeuvres throughout the day, and cookies at night. There was usually staff in the breakfast room to help with anything special request (like warm milk before bed) and even helped me get the kids breakfast in the morning. The rooms were small, but very clean and cozy.  We were able to walk from the hotel to many attractions. A short walk away is the American Girl Store, F.A.O. Schwartz, Central Park, and lots of shopping. We also walked to Central Park and went ice-skating, took a ride on the carousel, and went on a horse-drawn carriage ride in central park. All in all, we had a lovely trip and would be happy to stay at Hotel Elysee again.	
Jul 14 2009 	Friendly Hotel in the heart of mid town	Stayed 7 nights at the Hotel Elysee and had a great vacation. We had never been to New York before, so was unsure what to expect but was glad to be welcomed by a very friendly and accommodating staff. Our room was larger then we expected, not much of a view, but we didn't come to New York to look out our window. Room was clean, but maybe a little tired, but was obviously attended too regularly. In fact the hair dryer in the bathroom was broken when we arrived, and although we never complained about it, it was fixed a day later (Obviously one of the cleaning staff noticed it and made sure it was taken care of).The only thing that was a bit of an annoyance was the elevator; it was very slow, especially during busy times, and the stairs where not accessible as another option (security reasons).The Hotel is in a great location. 10 min walk to Central park, Rockefeller Centre and Times Square, also easy access to the Subway. The hotel was also close to some great restaurants and shopping.The Hotel also had a great lounge area, which was a nice and quiet place to relax after a long day touring.We would gladly stay here again and recommend it to any of our friends.	
Jul 14 2009 	The Hotel Elysee is an elegant haven in a bustling Manhattan environment.	This is a very special hotel, elegant, sophisticated and spendidly quiet. In the heart of Manhattan, it feels as if yoiu are in the country. The breakfast and cocktail hour are extremely well done in a very relaxing and pleasureable environment.My wife and I olved the hotel and plan to stay there whenever we are in the area.Covenient access to the Theater Distric shopping and business sites, it is ideally located in Manhattan. Staff is very attentive, intelligent andattentive and well trained.Have stayed there several times and it is always a unique and lovely experience.	
Jul 13 2009 	Hotel Elysee is a calm oasis in a bustling city	After a great deal of research on multiple sites, I chose the Hotel Elysee for a brief visit in NYC with my teenage daughter because all the reviews were so positive and because it was in an ideal location for sightseeing and shopping. From first talking to the pleasant receptionist making the phone reservations, to the helpful attendant at the curb who took our bags and parked the car, to the lovely people at the reception desk, everyone at this hotel was extremely welcoming and gracious. Our room was very comfortable, spotlessly clean and beautifully appointed. At cocktail hour we were offered a delicious selection of cheeses and crudités as well as wine and fruit juice, and the complimentary breakfast had everything from fresh fruit and yogurt or cereal to muffins and croissants with cappuccino and juice. Initially I had considered staying at one of the larger five star hotels, but the Hotel Elysee turned out to be this lovely, quiet retreat just step from city's bustling sidewalks. I look forward to returning. It will be the only place I stay in NYC.	
Jul 9 2009 	Lovely small hotel	We have stayed at the Hotel Elysee on two consecutive trips to New York and were delighted both times. The rooms are spotless, well-appointed and cozy, and the street is a very quiet one. On our second stay we even had a large balcony outside our room, which is such a treat in NYC. The upper-midtown location is great, close enough to the park for a morning run or afternoon stroll (and close to Norma's in case you decide on a mega-breakfast, although the free breakfast provided at the hotel is pretty nice too). Service is efficient and gracious. We will definitely stay here again any time we are lucky enough to be in NYC.	
Jul 7 2009 	As I had expected	I reviewed several comments about NY hotels in this web and finally I decided to book for 6 days in this hotel as the first stop of my honeymoon.I choose the room with the Queen size bed and the breakfast and I found what I expected: a great room, silent -and it was next to the elevator- beatiful, a helpful staff and a conforting place to rest between our daytrips. Besides, it is placed in the 54th with Madison Avenue, in a walking distance of the MOMA; the subway, Fith Avenue and Central Park,...Although it was not cheap, the hotel was worth the price payed and if I had to come back to NY I would surely repeat.	
Jul 5 2009 	Gracious Staff; Elegant Setting	Location is ideal; staff works at making one feel welcome and rooms warm and comfortable.	
Jul 3 2009 	Exceptional bargain in an exceptional location in an expensive city	The hotel was fabulous and very service oriented. I understand now why it gets such high marks. The staff were exceptionally accommodating and friendly. The rooms were beautiful and well appointed, CLEAN, not noisy, and with all manner of conveniences. I am VERY particulary and fussy about my accommodations, and I could find no fault with this hotel. The free breakfast was luscious and diverse. The evening wine and cheese is not to be missed. The price, given the plush accommodations, prime location, and level of service, is a STEAL!! Location was central to all of our extensive sightseeing excursions. I will stay here again. SandyTexas, USA	
Jul 2 2009 	What a lovely hotel	We stayed at the Elysee in June for one night only, but had already booked a 5 night stay for October. I was relieved to find that the Elysee is a gem and we look forward to our return. The reception and lobby are attractive and welcoming, the reception staff very pleasant and efficient, if a little formal. A special mention for the doormen, who are delightful. Our room on the 7th floor was lovely, very pretty in pale blue and white with a good size bathroom and there is a nightly turn-down service. We had a partial view of the road outside, and at night there was the usual NYC noise. Some may have found the noise of the dustcarts a bit much, but we don't mind the noise of a city so it didn't bother us. We had a lot of trouble finding the club room, but when we did locate it we found it very comfortable, and it was nice to be able to help ourselves to coffee and biscuits etc when we wanted to. The breakfast was more than adequate, and front desk staff gave us excellent advice on local restaurants for dinner. All in all I found this a lovely hotel which I would have no hesitation in recommending.	
Jun 30 2009 	I recommend it!	We took a family vacation to NYC to see the sights, choose this hotel based on location and amenities. Loved the location, walking distance to Central Park, shopping on 5th Avenue, Rockefeller Center, Times Square, Grand Central Station. Of course, it seems you can be anywhere in Manhattan within 15 minutes on the subways..We wanted to be away from the crowds in Times Square, yet close to everything and this hotel fit the bill. PROS1) Great location2) Nice coffee bar/cold breakfast items in the Club Room, part of the hotel room cost3) Wine/snacks in the late afternoon/evening in the Club Room, also part of the room cost4) Staff were very nice/helpful5) Overall great valueCONS1) Older hotel, with 1 slow elevator2) Had to ask for an extra blanket 4 times over 2 days before one was finally delivered. Weird, considering the rest of the service was great. I've seen other posts about this....?NYC was great and we are looking forward to going back! Also, if you get a chance to see &quot;9 to 5&quot; on Broadway, see it! We saw it as a fluke and wasn't expecting much (wanted to see Wicked or Mama Mia), and LOVED it!	
Jun 27 2009 	Wonderful small hotel in Midtown East	Hotel Elysee is a wonderful hotel. Our suite and delux room were clean and comfortable. The suite was quite large - close to 600 sf and the delux room was about 400 sf. The amenities were very good as well - afternoon snacks with tea and coffee in the club room and free bottles of water and chocolate in the room. The bathrooms were spacious (and certainly were spacious for New York). The front desk is helpful and knowledgeable. The location is excellent - East 54th between Park and Madison. We would definitely stay here again.	
Jun 26 2009 	The Elevator Smells as Musty as the Burial Vault of the Great Pyramid . . .	And the rest of the hotel is not much better. Room trimmings are ancient. Desks and chairs are tiny. TV is old. No working wireless Internet for the entire stay, despite the fact that I specifically requested it before booking. The front desk even had the temerity to suggest, unhelpfully, that I do my computing at the hotel &quot;business center,&quot; which turned out to be a single, small PC on a desk in the happy hour lounge, with 3 or 4 people waiting in line to use it. As if this was going to allow me to get my work done. The lobby is cold, as in unwelcoming, and there is no full breakfast. I.e., even if you want bacon and eggs in the room, the most you'll get is a hardboiled egg and a bagel (brought up to you from the happy hour lounge). This is one of the poorer small-scale NYC hotels I have stayed at.	
Jun 26 2009 	Beautiful and Romantic	This place was beautiful. The front desk was nice but not in the way. Free happy hour w/ wine and crackers was nothing special. Best hotel I've stayed in and definitely worth every cent. Great location - esp if going to an event @ MSG as we were.	
Jun 18 2009 	NYC hotel bullseye!	I almost hate to reveal this hotel treasure to more people because it may mean I won't be able to get another reservation myself, but high quality should always be promoted. 15 floors, only 7 rooms per floor, an ideal location (54th between Madison and Park). When we stayed here in March my wife and I were in a double room with a walkout terrace (in NY? yes!): good size, comfortable. This week we took our 12 yr old granddaughter and stayed in a suite where she had the huge living room with the convertible sofa and we had the bedroom, both rooms with doors so we all had privacy. Generous continental breakfast and afternoon wine/cheese/crackers are free in a lovely lounge on the 2nd floor. Staff is very friendly, helpful and responsive (a clogged sink drain was fixed in a few hours). Only negatives are poor lighting in the bathroom and a single pc (as opposed to 2 or 3) in the lounge for those of us without laptops, I Phones or Blackberries.	
Jun 15 2009 	Great Hotel Great Location Great Bagels!	Just returned from a three night stay at the Hotel Elysee. We were in NYC for a family wedding and chose here due to it's location and TA reviews.We travelled with our six month old and were made more than welcome. Facilities were just what needed, good size rooms for NYC and plenty of storage for all our baby 'stuff'.The complementary breakfast was always well received, especially when being woken at 5am! The bagels were my favourite, but other 'continental style' offerings were available.We didn't get chance to sample the cheese and wine in the evenings as we were always out, but talking to other guests during or stay we missed out.Only problem during our stay was a loss of WiFi for a day or two. Shame as otherwise 100% perfect.Overall great place to stay, will hopefully be back again sometime soon.	
Jun 11 2009 	comfy bed lovely staff great location	We stayed for a week at Hotel Elysee and it was on the whole a great experience! We had a large room but it was really dark and had no view at all so it was a bit claustrophobic - and I mean NO view - just obscured glass onto what must be an internal yard full of air conditioners! Having said that the bed was really comfy and large and the staff couldn't have been nicer.Breakfast is great but go early, take your own laptop - the queue for the computer will drive you mad and the evening cheese and wine is a lovely affair. The Monkey Bar and the hotel sit a bit oddly - I don't think they really share much expect the building - prepare for a bit of snobbishness on the door - (not the doorman he's lovely!) the receptionsist/greeters - we were told it was closed at 10.45pm only for another greeter to say it was ok for us to go in - the bar wasn't in any way, shape or form closing! Once you;ve run the gamut of the superstyled staff - and you'll be glad you did - it really is a lovely bar - very atmospheric.i wouldn't say it was really a boutique hotel - it's comfy and well located though. All in all a great base to enjoy the city from!	
Jun 10 2009 	Central location reasonably priced (by NYC standards) excellent service	Just got back from a week-long stay at the Hotel Elysee. We took advantage of their &quot;recession special&quot; and booked the week for $280/night. Not bad (for New York standards, that is) and for what you get. In addition to beautiful decor and an amazingly comfortable bed, additional perks include free wifi, a better-than-average continental breakfast (with hot oatmeal, fruit and bagels) and an afternoon wine and cheese soiree (Mon-Fri). The staff was also first rate. When the Yankees game we bought tickets for got rained out, their concierge helped us figure out our options, who to contact, how to exchange the tickets, etc. (Thanks Ashley!!). It's centrally located, and only a few blocks to Central Park, MOMA, the Guggenheim and Times Square. We've been gone only a few days and we miss it already. We'll definitely go back.	
