	Clean pleasant convenient hotel.	My husband and I stayed here over Thanksgiving (2 nights). We purposely chose a hotel away from the craziness of the parade route, even though we knew we'd be going to watch it. This hotel is located less than one block from the W 4th St. subway entrance (a pleasant surprise), making it easy to come and go as we pleased. We quickly learned when getting off the subway here to follow exit signs for W 8th St. (not W 3rd). That brings you up to the Waverly Place and W 4th intersection, closest to the hotel. The hotel lobby is small, but clean and nicely decorated. There is only one small elevator, which was not a problem until morning hours when we had to wait for it to arrive. Continental breakfast was typical (croissants, muffins, fresh fruit, cereal, etc.) but I noticed people were waiting in line to be seated when we had finished. Glad we got there early. Our room was spacious for New York (if you can walk around the bed, it's spacious), and the bathroom was very clean and nicely appointed. I did not find the mattress that comfortable, but liked the bedding. The room was stuffy so we used the AC and it worked fine. Our windows looked out onto another building, but the view was unimportant to us since our plan was to go out and DO things vs. look out the window. However, it was a bit disconcerting to have no blinds/shade in the bathroom; just the bubbly privacy glass. And there WAS a room across the way where someone could have enjoyed voyeuristic views, I suppose. I just kept the bathroom light off. All in all, a pretty good experience.	
Aug 15 2009 	Excellent location in the heart of true New York	Friendly and helpfull hotel staff. Delux room we had was smaller than many American hotel/motel rooms, but good for a New York city hotel. Excellent location near a subway and lots of restaurants/bars/clubs in Greenwich Village. Good complimentary breakfast.Stay here if yuo want to experience a more authentic New York.	
Jul 23 2009 	Great bargain...will stay again!	My husband and I stayed here last winter and found it to be a very good value for the money. The neighborhood is about as good as it gets. The lobby is attractive, service friendly. My one complaint would be the lack of modern climate control in the rooms. This is very common in Manhattan, but still makes for an uncomfortable sleep. We actually had to turn on the AC in the middle of February because the room was so hot and there was no way to open a window. Other than that, a wonderful stay...small rooms of course, but it's Manhattan, what does one expect?	
Jul 7 2009 	Great location	Stayed at the Washington Square Hotel with my husband in April for a 6 night stay in New York and would most definitely recommend it. This was our first trip to New York and this hotel is in a great location with a metro station at the end of the street. Greenwich village is a great place to stay making all the sights still easily accessible and then having Blecker Street bars and restuarants within 5 min walk for evening entertainment. Yes, the rooms are small but they are clean and all you need for visiting such a city as New York. It probably is a little overpriced but for it's location, I think it is worth it and look forward to returning.	
Jul 6 2009 	Perfect location. Exceptionally friendly staff. Clean--- but very small rooms!	We arrived early from JFK (i.e. about 13:00) and the rooms (3 doubles weren't ready) although to be fair that was our fault not theirs.The luggage was locked away securely and the statff/conceige could not have been more helpful. They arranged a bus tour of the city which was perfect.We arrived back at about 17:00 and went to the rooms. They were all immacuately clean but be warned, especially if you have an internal one, they are very very small. We had three cases as we were due to go off on the QM2 and it took some ' juggling' to sort where they could live. Two afternoons of shopping didn't help!!!Breakfast was good but set. Bagels. Fruit. Cereal.All in all a good choice. 5 min walk from Broadway / 20 mins from China Town / 30 mins from Ground Zero. Also perfectly located for Greenwich Village which we all wished we had more time to explore.Would stay here again.	
Jun 29 2009 	It's okay just not special or as good as we expected.	Overall satisfied but not enough to consider recommending it to any friends or staying again. We were expecting the small room sizes (and the middle range room really is small, there's nowhere to put the suitcase as the wardrobe is too small and there's no space for a stand!) and it was extremely clean. There were however quite a few niggles. One day we arrived back to see the maids still making up the rooms at 4.30pm - ours hadn't been done and as we didn't feel like going out again we had to flick it to do not disturb and go without. This seems riddiculously late to be doing the cleaning up. Another gripe was that whilst they do provide some free wi-fi access there is no shared computer, we traveled without a wi-fi enabled device and at the other 3 places we stayed at a computer was provided for checking emails and other small things. The TV had few channels and didn't have an inbuilt menu where you can see what's coming up in the next couple hours, I'd rarely complain about TV but again this was something we had had in our other stays. The breakfast was also amazingly limited, a small basket of pasteries to share between two, a small bowl of melon and one glass of orange juice. I realise it's rare for a hotel to offer breakfast but we expected a continental breakfast to be buffet style (one of their 2 rooms you are waited on) with the feeling you can have more than 1 serving. One day we escaped for waffles at the nearby diner just to start the day on a full stomach. Finally the bathroom had the cheapest, flimsiest shower curtain possible, so that it clung to your body and then all the water escaped into a giant puddle on the floor. The reception staff were very mixed in their helpfulness, on one occasion we needed to do flight check in at 10.30pm and had to ask at reception for the nearest late internet café, the staff on duty very grumpily told us to take two rights and there's a place that might still be open. Luckily it was but they really didn't seem too concerned. Although when we checked out we did have a helpful lady who told us they could look after our luggage and booked us a car to the airport. The cocktail bar was incredibly difficult to find, we had to ask at reception, which is a shame as the drinks were lovely and quite cheap ($9).The barmaid was very friendly but we definitely got the impression she wished more people knew about it. Generally this hotel is in a good location with good transport links around NY, we just felt it was a tad overpriced. Having stayed at a lovely B&amp;B in Brooklyn earlier in our holiday for $75 less a night with massive rooms and delightful service we would happily take the 30 minute subway ride from Brooklyn to the centre over staying in this hotel again.	
Jun 25 2009 	Fab location excellent price wholly recommend it to anyone!	My husband and I stayed at the Washington Square hotel for 6 nights on a trip to visit friends and see the city. I had read reviews on Trip Advisor that warned of noisy rooms near the lift so was relieved to find ours was as far away as could be. The room was big enough for us (we are British so don't expect huge spaces) and was well equipped with safe, ironing board, hair dryer etc. The bathroom was compact but clean, and that's all you ever truly want from a bathroom anyway! The bed was really comfy and the air conditioning was as cold as needed to recover from stomping around a sticky city. The staff on the front desk as well as the lobby staff were helpful and polite, and there's free wifi in the lobby and the cafe, which served a decent cup of tea from 3pm. There was also a gym if you're that way inclined. The best thing about this hotel is the price for the location, you truly can't be in a better spot to get to anywhere in the city and beyond. I used to live in NYC and the park and surrounding area couldn't be anymore different from the past, almost sterile, and totally safe. Absolutely stay here, and have fun!	
May 26 2009 	Perfect location	We went for a quick overnight getaway to the Washington Square Hotel. The location was amazing, and we really enjoyed strolling through the adjacent park. For creative food, boutique shopping, and neighborhood walks, this is the best area of the city. The hotel staff was friendly and helpful. However, the rooms are on the small side. We asked for the larger king room, and fortunately, there was one available. The decor is Art Deco all the way to the mauve walls and the black and white photos of movie stars on the walls. Our bathroom was large and recently renovated to included two sinks and a couple's shower. The A/C was provided by window units, which worked fine. We found the street below to be noisy on the night we were there.The breakfast was included and was served in their restaurant below. Service was very prompt and the food was good. We had a pastry basket and fresh fruit with coffee and fresh-squeezed OJ. I believe there was also cereal and yogurt, but we didn't need any. Check-in and check-out went smoothly and quickly.Overall a good hotel if you want a fabulous location and don't care about some of the amenities you can get at a larger hotel (such as room service).	
Apr 14 2009 	Great hotel in the West Village	This was a return trip to the Washington Square Hotel and it is terrific. A great value, steeped in Greenwich Village tradition, close to subways, great restaurants, coffee places and more. We've stayed at &quot;nicer&quot; hotels at Times Square, but this is much more enjoyable. Love Ronnie, who is a veritable font of NY information!	
Mar 29 2009 	This place was great!	This hotel has a great little restaurant on the premesis. This worked well for a quick snack when we were exhausted from sightseeing. It also worked well for a convenient &amp; delicious breakfast.The rooms are small, but nicely appointed. For the price I thought they were very adequate.The hotel personnel were very hospitable, and were always onpoint with recommendations for things to consider on our outings.The location of this hotel is perferct. We were close to a subway stop, across the street from Washington Square Park, and in a perfect place launch our adventures each day.	
Mar 24 2009 	Beautiful art deco hotel	Wonderful hotel in great location for eating out street markets( we stayed over weekend) next to subway plenty shops in walking distance of China Town Rooms on small side but very clean and very pleasent staff and helpful I could not get past the busy tone for airport shuttle I just left deatails as requested by receptionist and night receptionist did it all at a quieter time Taxi from JFK $50 Shuttle $19 each I wanted to buy holdall to spread weight of luggage same receptionist printed out list and prices fro K-mart only 5minutes walk away Continental breakfast included I certainly recommend this wee gem only gripe was we had room next to lift bit noisy but worth it to sllep with Clark Gable over my bed!!	
Mar 22 2009 	Small small small rooms on a beautiful Square	The Washington Square Hotel is in one of the most beautiful, charming locations in NYC. As a former NYU student, I used to live nearby, and this hotel is on the north west corner of the Square, in the heart of Greenwich Village. There is worldclass dining at your doorstep (Babbo), and hundreds of things to do within a few short blocks. It is also steps away from NYU, which, despite its detractors, I think is nicely integrated into Greenwich Village. As for the hotel, the rooms are seriously small, though the bathrooms are a normal size. The &quot;interior&quot; rooms are on an airshaft - so avoid those unless you don't mind not having any natural light. The second time we stayed there, we booked a room with a window, and had a lovely view of the Empire State Building. The room includes breakfast, but it is so crowded we normally just go to a nearby cafe. The Washington Square Hotel is not expensive by NYC standards, but you could probably find a better rate for similar quality if you search; you just won't be in Greenwich Village.	
Feb 26 2009 	Great Location-Comfysafe w/ Art Deco(r)!	In heart of Greenwich Village-easy access to great restaurants(we booked Babbo's across street a month in advance-every morsel worth every expensive penny!!). Our trip was my Bucket List as a jazz fan-Village Vanguard, Blue Note, Iridium-all w/in walking distance. The staff had no NY Attitude-very kind &amp; breakfasts downstairs(North Side?) were excellent. Rooms had we wanted in great shape, clean.Very accomodating-have NO IDEA why anyone would rate this place 2 &amp;1/2 Stars! Easily a 4+! Book it &amp; relax folks. Enjoy.	
Feb 18 2009 	Ideal place to stay	On first impressions...impressive art-deco lobby, friendly reception &amp; then into the room. Small, but large enough for 2 for sure. Disappointed no coffee machine or proper ironing board &amp; there isn't very much wardrobe space for hanging clothes so prepare to live from your suitcase. However, for non fussy travellers, these little gripes do not take away from the ideal location this little hotel has - 5 mins walk from the door, east or west, you can get a subway to any part of NYC inclusing Brooklyn, Queens, Bronx &amp; any part of Manhatten. Greenwich Village is vibrant &amp; busy &amp; a remarkable amount of restaurants, bars etc are withing strolling distance. I love NY every time we stay &amp; have stayed in far more lavish surroundings previously, but this hotel in the heart of Greenwich &amp; NYU area will be getting my business every time.	
Feb 13 2009 	Nice little hotel in the Village	Hotel has a terrific location right on Washington Square in the Village. Rooms are NYC small. I had a Deluxe Queen which was about 11'x14' and faced out onto the Square--could be noisy at times but loved having a street view onto both MacDougal and Waverly. Free continental breakfast in hotel restaurant was an added plus.I paid $275/night in peak September period when other hotels were charging in excess of $300-$400 per night for basic accomodations. So, this wasn't a bargain but was a relatively good deal for that time of year. At other times of the year, better deals and accomodations can probably be found elsewhere.Hotel is one of the few family run properties left in NYC. Good management, some friendly employees and some not but not a deal breaker. Rooms are clean and generally well maintained.This is a good choice, if you can get a room at the right price, if you want to spend time living in vibrant Manhattan neighborhood, convenient to all the city has to offer. Not luxurious, but comfortable and clean.	
Jan 25 2009 	Cold Rooms Chilly Reception	I know everyone loves this hotel. The location is fantastic, on a street of old brownstones at the edge of the West Village. There are subways to the West Side and Downtown at the west end of the block, subways to the the East Side a couple of blocks away at Astor Place, easy taxis on Sixth Ave. Washington Square and Fifth Avenue are at the other end of the block. The price is great and the rooms are very clean and up to date. What's not to like? The heat for one thing and the front desk for another.I had a hard time feeling the warmth at this hotel. It is an old building with radiant baseboard heat below the window. There is a control to turn the heat up or down. I had two rooms during my stay. In the first room the heat worked but had a difficult time keeping up with the draft from the old air conditioner stuck in the middle of the little window. This first room was on a light well with pigeons.  After my first night I asked to be moved to a room with a better view. I was given a south facing room on the same fourth floor overlooking Waverly Pl. Fair enough. There really are not any views at this hotel. I have heard that some of the rooms in the back have a view of the Empire State Building, but none of these were offered to me. The second room had bigger windows. The heat barely worked and the room was was freezing. It had the same old air conditioner stuck in the middle of the window. I also see these same dirty, old air conditioners not being able to keep the rooms cool in the summer.  Another big problem with the drafty room is the window treatment. The windows have no real curtains on them, only a valence and fake drapes on the sides that do not close to cover the window completely. They rely on two sets of shades, one set filtered, one opaque. Neither covers the air conditioner and to accomplish this they use two side shades and a center shade that does not go down past the top of the air conditioner. There are big gaps between the shades letting in drafts and light. It is impossible to cover the drafty old air conditioner. The second room was so cold I couldn't shower. I was back in the first room before the day was over. In all fairness, the front desk did accommodate my room hopping without any problem, but never before or after my room changing were they very cordial. Every person who enters the hotel must go past the front desk and a &quot;security guard.&quot; Neither ever said hello or good day. I felt like I was doing something wrong by walking through the lobby. I'm a well mannered, clean cut guy who tips and pays the bill. I deserve a hello. One day I asked the security guard for directions to Charles Street. i knew it was off of Christopher Street and i wanted directions to Christopher Street. He sent me south down Sixth Ave. to Houston Street and up the West Side Highway, a mile out of my way on a cold, windy January day. Christopher Street was one block north of Waverly up Sixth. I would have thought it a mistake on his part had he not been so adamant that I did not want to take Christopher Street, his refusal to tell me where Christopher Street was, and his insistence that I go south down Sixth no matter what. The night before I left I called the front desk to order a &quot;taxi&quot; to the airport for the next morning. The desk clerk said it would not be a problem. The next morning I reported to the front desk at the appointed time to find out that the &quot;taxi&quot; was actually an in-house car service. Without time to go looking for a real taxi, I ended up paying $15 more than I should have to get to the airport. The same security guard that gave me the bogus directions took one of my bags to the car. No tip for him. I guess the only time the Washington Square Hotel is gay and warm is on a sunny day in May.	
Jan 22 2009 	an oasis in greenwich village	my wife and I spent 5 nights at the Washington Square just before Christmas 2008. Everything about our stay was perfect, the breakfast, the staff (friendly and helpful) and the room. ok the room was fairly small as NY hotel rooms do tend to be, but it never felt really cramped, and it was very clean and well maintained during our stay.You get a safe in the room, which is great. The location is great, with most things we wanted to see within walking distance, (we are fairly fit!) and a subway station on your doorstep if you need it. If we had one complaint it was the lack of wardrobe space, in summer, no problem, in winter, nowhere to hang those big wet coats! Management note! get some coat hooks on the wall!	
Jan 7 2009 	Fantastic Hotel. Best location	We stayed here for 4 nights a couple of weeks before Christmas. The hotel is fantastic and we would stay here if we ever came back to NY.Great location on Washington Square and near the shops and restaurants etc of Bleeker Street. Two minute walk to the subway station. The area was far less noisy and grimy than midtown. This area seems to be a great mix of studenty and upper class. Lovely buildings and very safe streets. Great for wandering.If you like walking its really nice to take a walk up along 5th avenue, or down to Battery, and to Chinatown and Little Italy.The hotel security man Ronnie was great. If youre shopping for something in particular tell him and he will direct you to the best place. He sent us to a shopping mall in Brooklyn that was exactly what we were after.	
Jan 2 2009 	Good Stay	Second time round in NYC in December and this hotel was certainly the right choice for us. We love the West Village and it's a 5 minute walk to Bleeker street and all it's independent shops, restaurants and live music. Subway was less than a 5 minute walk away with good connections.I knew from our last visit to NYC that you can't escape the noise; it's a busy city. But to our surprise, we found this hotel to be QUIET! We had a room at the back, Room 405 and we weren't disturbed once by noise - not even on New Year's Eve. The only noise was the hum of a heating unit below. Room was a modernised Queen Deluxe, Rm 405. It's not fancy, but it was clean and a decent size. Bed was comfy. Staff were friendly and helpful during our stay and the outside of the hotel looked lovely lit up at night with Christmas lights. We thought the breakfast was great - you don't often get fresh fruit salad as part of an American continental breakfast....Overall we were really pleased. Paid just over $300 per night between Christmas and NY and thought we got good value for money. Would definately stay again	
Dec 13 2008	Cute boutique hotel	This Hotel was in a great location, and the staff was very friendly. The rooms were very clean, and reasonably sized (compared to other NYC hotels at this price). The continental breakfast was also a nice treat. My only complaint is that the rooms on the lower levels are very noisy at night. Request an upper level room, other wise it will be difficult to sleep.	
Dec 4 2008 	A Beautiful hotel right in the Village	We stayed here after spending three nights uptown with friends and we were so pleased with our choice. The staff were so friendly and always happy to give directions to the Subway and tell us where we must visit. The hotel rooms were perfect, with lovely pictures of film idols from the golden age of cinema.I would definatly go to this hotel and could spend days just walking round the area, I will be going back one day!!	
Nov 24 2008 	Great stay!!!	Great location, near to the subway. It was my first time in New York and probably I will come back to this city and hotel again.Staff was very nice and the breakfast was very good. My husband and I had a great stay at the Washington Square Hotel. If you are looking for a good hotel, a good price and a great location then you will not go far wrong with the Washington Square.	
Nov 18 2008 	Nice place off the beaten tourist track	Nice little hotel right off Washington Square, convenient to a conference we were attending at NYU. Lots of restaurants around and it is nice to be not in the overcrowded midtown area. Our room was nice, and roomy for NYC, but there was a slight smell of old socks. It wasn't overpowering, so we just opened the window (it was nice to have windows that open). Our room was on the first floor, right on the street, so street noise was an issue. I would stay again, but would request an upper floor. Staff was very nice and the breakfast (which was included) was good.	
Nov 13 2008 	Great stay booked again for next year	I have just returned from a 3 night stay in New York and must say that the Hotel is in a great location. this was my 3rd visit to the city and so far this is the best hotel for price and location that i have stayed in. We were a group of nine over for a lads weekend and our check in was hassle free and we found the staff very friendly. The rooms were small but were kept spotlessly clean. One thing that we did miss were tea and coffee making facilities in the room but that is just a minor detail everything else you could need was provided. Breakfast was fine with fresh fruit , pastries,fruit juice and coffee a good start to the day.All in all we had a great stay at the Washington Square Hotel and i have already booked for next year to go back with my wife. If you are looking for a good hotel for a reasonable price in a great location then you will not go far wrong with the Washington Square	
