	Disappointment	I had high expectations for this hotel given its reputation, and was really wowed by the architecture upon entering. Things went mostly downhill from there. The staff lacked the warmth and willingness to assist I would expect from a Four Seasons. This was obvious from the moment we checked in, but got worse when we notified the front desk that we had no hot water. They said they would flip a switch and get the hot water running, but that did not happen. When we called again, they finally sent a repairman (rather than simply send us to a room that had hot water). He still did not get it fixed. After calling one more time and getting blown off, we just shivered for the rest of our visit (it was snowing outside). Smaller issues, but ones that I would not expect at this hotel: dirty dishes stacked up and abandoned on a tray next to us at the restaurant; a 45-minute wait for room service to bring granola and coffee, with no explanation offered. The room is big by NY standards and of course the location is great, but St. Regis and Ritz-Carlton are far superior in terms of the appointment of the rooms and service in this area.	
Dec 14 2008 	So disappointing	We have been all over the world and have stayed at many Four Seasons. The New York Four Seasons is just not even in the same league as its fellow FS hotels. You expect absolute cleanliness, at a minimum, at a FS property. Not the case in NY. The carpet in the hallways is dated, stained, sewn in places on the 15th floor where we stayed. The air was stale, and filled with that old smoke filled hotel room smell. Our room needed a thorough dusting. Let's be frank, if you've got the money to stay at a FS, your home probably has flat screens, big bathrooms, and nice furniture and lighting. Why leave home for leisure time if you don't get a more superlative experience with personal attention, perfect cleanliness, and a bit of pampering? If you're looking for that kind of experience at a Four Season property, go to their Jackson Hole or Vancouver spots. We'll stay at the Peninsula or the Ritz Carlton the next time.....Probably the Peninsula as they have pool and new spa opening in a couple of weeks. How sad........	
Oct 25 2008 	Completes the Four Seasons chain	I booked through the hotel's website. Simple and easy. From leaving the limo out front, you have someone to take your bags and another to open the doors. The Four Seasons always has perfect service.The lobby is beautiful and has a marble-look feel. It reminds me of a calm, cozy coffee shop but hotel-style. Check-in was simple and we went straight up to our rooms.There is no pool though, which was kind of a disappointment. But, the spa was very lavish and the staff was extremely friendly. I've stayed at many Four Seasons before and this is definately in my top 5. My other favorites include Las Vegas (quiet sanctuary in crazy city), Miami (relaxing atmosphere by ocean), Bora Bora (cultural journey), and Beverley wilshire (classic stay). NY just completed the pack with (sophisticated and warming)	
Aug 25 2008	Classic perfection in modern setting	first rate amid the hustle and bustle of NYC, thoughtful (umbrellas for all guests to take when it rains) great Restaurant.Rooms picture perfect.	
Aug 16 2008 	Pure Perfection	Let me start off by saying that my expectations were surpassed in my 2 night stay. It was my Birthday weekend and I was greeted with a wonderful cake and a bottle of champagne in my room. The room itself was immaculately maintained, spacious, quiet and clean. Yevgeniy (the bellman) assisted me with my luggage, he did a wonderful job going over everything in the room. He was very kind and efficient. The hotels restaurant was nice, amazing food, and has one of a kind chef Nick who's just a star! He truly knows how to wow people; it was the level of service, friendliness, and professionalism that did it all. My friends and I were treated like royalty. All in all the service was impeccable and genuine; a perfect balance between formality and familiarity. Thanks for everything!	
Aug 4 2008 	Fabulous Weekend in NYC	My husband and I just celebrated our anniversary with a weekend stay at the Four Seasons New York. It was such an indulgent treat in many ways - the beautiful and spacious park suite, the luxurious room amenities, the incredible view...all signs of a great hotel. Another sign - the gracious and attentive staff. The spa staff, bellmen, front desk, concierge, room service, housekeeping - they all deserve high praise. It was a wonderful experience from start to finish. Next time, perhaps we'll have the chance to try the restaurants. On Saturday night, we opted for one closeby (on 61st) called Aureole, which was phenomenal. Thanks to the concierge who suggested it.	
Jul 25 2008 	Everything works at Four Season NYC	I had a very pleasant stay in July at Four Seasons New York. At the arrival we got upgraded to a room with a balcony, which was just wonderful, and although we were below floor 10, the traffic noise didn't bother.In-room breakfast was delivered quickly and it was deliciuos. It is actually nicer than eating breakfast down at the reastaurant, which is a bit crowded.Location is very good indeed, so many things are within walking distance. Consierge services are impeccable. I had problems with charging my mobile, but they took care of it, they book us a table to a restaurant in Village which is nearly impoosible to get table in, and in so many other ways they were able to help with the most polite and friendly attitude. Very professional!I was not too impressed by the spa services though. The spa area is nice and tidy, though. And if you have a late flight, they allow you to use the spa facilities the whole check out day, which is nice.I feel that the front desk staff was also very frendly and efficient. If you want everything to work fine and like to trust that &quot;my hotel can help me with this&quot;, go to four seasons nyc.	
Jul 20 2008 	Perfect location	We stayed here last December and had an exceptional stay. Spacious room, masses of wardrobe space, huge and perfect bathroom, fantastic views and the most helpful staff &amp; concierge Ive ever met. It is in a fantastic location - and is absolubtly everything a good hotel should be.Only negative - was the Joel Robuchon restaurant, the food wasnt bad but portions were tiny and despite ordering twice the reccomended amount we didnt stumble across a single dish we would rave about. Not a disaster - but there are an abundance of better places about. Wouldnt go back to Atelier - but would return to the hotel anytime.	
Jul 17 2008 	Not Great !!!!	Really poor for this normally excellent chain of hotels. Rooms although big are uncomfortable and you can hear everything in the hallways. Rude reception staff, I was obviously not a big enough mover or shaker for them. I will not return far more better hotels to stay in.	
Jun 25 2008	a disappointment...	Stayed four nights at FSNY June 2008. Check in was quick and we were taken to room by front desk rep. A good start. The room was dated at best. The bedspread needed replacing and we put it away for the rest of our stay. The room furnishings were worn (leather chairs were scratched, etc...) The bathroom had peeling paint on the ceiling and the shower handle fell off and we had to call maintenance which did fix it. The terrace had so much mold on the floor (Room 705) that we could not be outside without shoes on. The terrace table was covered in dirt and unusable. Weeds were growing on the corner of the terrace.Room service was late every time and did not even include water. At these prices, a dirty tablecloth on the room service tray is not acceptable. Our hallway was full of marks from luggage, etc.. and needed repainting. Housekeeping was good. Bathrooms are dated as is the hotel in general. There is no room in the lobby to sit down unless you are eating in one of the restaurants. Location is great, as is the house car (a silver Phantom) if you are lucky enough to snag it.This hotel is not in the same league as the Mandarin or St. Regis. The service is not there and the maintenance is not there. The prices are on par with the best New York Hotels, however.	
Jun 25 2008 	Save Your Money!!! Not Worth It!!!	I stayed at the Four Seasons in New York for 2 nights, and all I can say is....Don't ever stay here. I thought it was the worst Four Seasons and Worst hotel I had ever stayed in. My room was spacious, but dirty, the wood lamp in the room was peeling and cracked, there was a paste substance that I did not know where it came from were in the cracks of the sofa. The management was not any help. They offered a small discount, but for the price I paid, which was $900 a night, was not at the least worth it. The staff were not helpful. All they did was merely apologize and that was it. The lobby was nice and clean and the food was decent, but don't judge a book by it's cover on this hotel.	
Jun 8 2008 	Will never go back	We just returned from a two day stay at the Four Seasons in Manhatton. It was the worst 5 star hotel experience I have ever had. I would not stay there again if the room was free.Upon arriving to our room, we discovered we did not have the room we reserved. We called the manager, and he said it was a nice room. I told him it was not a nice room and it was certainly not the room we had requested or had been promised. It was a small room (called a suite). The living room, dining room and bedroom were all in one common space. And, that common space was not very big. This room cost $2995 a night.When we asked for the room we had specifically reserved, we were told the room was not available---it had been given to someone else. However, like a used car salesman, the manager said that we could have a room sort of like we had reserved for an additional $1200 per night. I have never felt so violated in my life. Shame on the Four Seasons.That was a bad start, but it got much worse. It was about 95 degrees outside. We noticed it was very hot in our room and reported it to the front desk. They said, not problem we will fix it. By bedtime on our first night, it was 88 degress in our room and we did not sleep much at all. The next morning we reported the problem three times before we left for the day, just so there was no confusion about the problem. We returned to our room at 11:30 PM that evening only to find the room was 88 degress again. We called the manager, who said &quot;that was corrected earlier&quot;. At that time I asked that he please come to our room to see this for himself. He did, and was appalled about the A/C not working. Somewhere around 1:00 PM, our air conditioner was working. We had a 9 AM filght the next day, so this was not much fun. Aslo, by this time, we also discovered that housekeeping had not cleaned our coffee pot (day old filter and coffee were still in the coffee maker). And, housekeeping had neglected to leave a single wastecan. Our simple requests for plenty of extra water was ignored each day.There were several other things wrong, but it would take me a hour to explain the experiece.I think that since there is new ownership, they are trying to cut corners at the expense of their customers. They also seem to be falling all over themselves to accomodate foreign customers which is fine. I am an American, and will not stay at a hotel that doesn't appreciate domestic travelers.I will never stay at a Four Seasons again (certainly not in NY). They are very overpriced and don't deliver the service that justifys their price tag.Gary W.	
Jun 7 2008 	Start Spreadin' The News--This is the best hotel in NYC	The quintessential NYC experience. We were on the 44th floor with views of this incredible city and, more specifically, Central Park. I simply have not had a bad service experience with four seasons hotels and this was no exception. Nice people, going out of their way to make us feel important and welcome was what we experienced here. Our room was very large and tastefully decorated. The tub filled up in about 50 seconds. The large head shower was like showering in a waterfall.The location of the hotel is wonderful being a short walk from Central Park on 57th, 5th, Madison and Park Avenues.The hotel has that buzz of an important place with investment bankers and lawyers more prevalent than lobbyists in DC. The clientele is also a cosmopolitan set from the corners of the world.There is a swanky bar that serves cool drinks and, while in NYC, one just feels like being cool for a few days.The only surprise was that upon checking in, we were given $100 towards our breakfast which seemed a deal. When I received our bill, a few eggs and a bowl of fruit for two adults and two little kids came to over $200. My breakfast has become an expensive meal!Other than that, it was a great stay and we'll be back when we return to NYC.	
Jun 2 2008 	One night is not enough ...	I wish we could stay longer, but living in NYC and staying in hotels is something we do only after we're not in any condition to hail a cab after dinner (hotel's L'Atelier de Joel Robuchon is exceptional) :-DEverything from the check-in to the room service to a few concierge assignments was flawless. Our room, a corner City View Tower Room, was spacious for one night, but we'd probably prefer something a tad bigger if we were staying an extra few nights. It was spotless and very bright, with UES views from its 37th floor. As always, everything requested during our stay was delivered instantly and I don't have anything negative to add or even anything to suggest to make the place better. I doubt we'll ever get to experience the NYC location for more than one night, that's when it'd be possible to review the property a bit better, but as it stands right now, our stay was perfect.	
Jun 2 2008 	Wonderful weekend stay	Just returned from a weekend at the wonderful Four Seasons Hotel, New York City. What's best about this hotel? Fabulous location, beautiful physical property and the incredible staff and service. We truly enjoyed the oversized rooms, amazingly comfortable beds and sheets and glorious bathrooms. The only flaw in our experience was the hotel charge of $8 per page to print our boarding passes...insignificant when considering the bill for our stay, but, irritating nonetheless.	
May 31 2008 	Fantastic as always.....	As usual, we stayed at The Four Seasons on our way back to The Hamptons. Great service as always, but what really made our stay special was that they helped us find a &quot;special protection company&quot; while we were here in NYC to help us get around. The company worked seamlessly with the hotel in catering to our special protective needs. Since my chauffer / bodyguard was unavailable that weekend due to a family situation. I don't like to travel w/o protection for my family. So, they contacted a company called &quot;Verdad Investigations &amp; Protection, Inc.&quot;. Apparently they have used them before, as evidenced by their professional services. We dealt with a wonderful man named Sean Noonan (Executive VP of Verdad). He was attentive to our needs and quite frankly, we would use their services again while we were in NYC. The hotel even worked directly with him and the concierge services. A great experience, as always. --Preston	
May 9 2008 	Four Seasons NYC the best in the world bar none	I booked two rooms for my wife's 50th birthday, one for my love and I, and one for our three children. Since, we are close to NYC, we opted to use Airbrook limo services to get there and back. The reason being that parking in Manhattan, especially valet parking is extremely dear. We actually saved money by using a limo service.Our experiences with the Four Seasons began in Philadelphia. One of my daughters is in university there. We decided to spend a weekend at Four Seasons philly, during move-in and were so satisfied, that it is now the only place we will stay in philly.ManhattanThe second we arrived, we were treated like honored family. We observed people that took this excellent service as their due. They were, in my opinion, snotty, self-indulgent and rude. We actually saw an older couple wearing His and Hers mink coats, LOL. Through it all, the staff were always the best.I had booked a balconey suite, though it was January in NYC. At check in, we were offered the 50th floor south suite. This has to be one of the most spectacular hotel rooms in the world. I'm sure that the 51st and Penthouse on the 52nd floor are superior. But the views cannot be any better. I say it again, there cannot be any better city view in the world. We could see the flashes of the cameras on the Empire State Building observation desk. The east balcony had views that ranged from Conn. to the statue of Liberty. The west balcony had views from Alpine to Long Island.ServiceSuperb, fantastic, what else can I say. My wife received extraordinary birthday favors delivered to the room. Champagne, chocolate covered fruits, robes, slippers, heated bathroom floors. etc.By the way, the tub has a sign that says it will fill in under 2 minutes and it Does!RestaurantL'Atelier, you need a new mortgage to eat here, but it is well worth it. We are foodies and truly enjoyed the tastings dinner.The concierge arranged a pre-theatre dinner at the Rainbow Room (tourist trap) but that was what we wanted. It was not an easy reservation to procure, especially the same day.On the other hand, I'm a smoker and I spent alot of time hanging out with the doormen outside. They were the epitome of real caring New Yorkers. All the staff are superb, we were very impressed with the level of service.My kids want me to list the stars and famous people they saw and met here. I'd have to say I only saw other guests. Then again, I'm a dummy.No better place in any city in the world.Unless it is on the company, be prepared to indulge the love of your life. She is worth it, as is mine.	
Apr 23 2008	enjoyable splurge	I stayed here for 3 wonderful nights late last month using a certificate for a free 3rd night that Four Seasons graciously sent me. I had stayed here before about 10 years ago and little seems changed in the public areas. The former 5757 restaurant is now the hot L'Atelier de Joel Robuchon, and the TY lounge was an unused space before, as was the area opposite the reception area, which is now a small art gallery with rotating exhibits. The hotel is very modern, designed by I. M. Pei, and was built from the ground up. The entry/lobby is grand, with a high &quot;wow&quot; factor. Service is top notch.I was given a considerable room upgrade to a deluxe premium--a corner room on the 24th floor (out of 52 floors) with huge windows on 2 sides. The room was quite large and as such seemed sparsely furnished but it really did not lack anything. Lines are clean, modern, simple. The room and dressing area are paneled with blond wood, the bath all marble, and the tub really does fill up in 60 seconds as widely touted.My package included breakfast--$100 could be spent anywhere. Breakfast is served in 3 venues downstairs, plus there's room service. Needless to say, everything is expensive, but $100 can adequately feed 2 people. The spa/fitness center, 4 levels below ground, is smallish but has all the needed amenities--spa, steam room, sauna, etc.I had been having shoulder problems, but was able to sleep well here--great bed! Given the luxurious surroundings, plus the included breakfast, I found I did not get out and about in the city nearly as early as in prior NYC visits. I didn't leave the hotel before 10 am, a good 2-3 hours later than usual.It is well known NYC has very high hotel room rates, and the Four Seasons surely is one of the more expensive, but this was a thoroughly enjoyable, decadent splurge.	
Apr 5 2008	Poor service - especially given the price	Staff didn't even know that there are two breakfast locations! We made reservations to meet friends. We asked where breakfast was served.Told only one place but they had no reservation. Meanwhile our friends were waiting at the second location - where there was a reservation under our name.At the exhorbitant prices the Four Seasons charges the staff should be more knowledgeable and better trained and when our reservation didn't show up it should have been suggested that there was an alternative location.And despite my leaving my phone number no manager has called to explain this embarassing snafu. The Four Seasons prides itself on superior service but failed miserably.And no the breakfast wasn't as good as it used to be either.	
