	I LOVE SOHO GRAND HOTEL!!! ;)	Hello there,I stayed at Soho Grand one time but it was a fantastic experience. The room was very noisy the first day so I asked to change the room and they gave me one at the 15th floor with great views. All staff was very nice and helpful so I left good tips ;) I am going back in January and have booked it again there.Relation quality - price: Excellent.	
May 19 2009 	Great if you want to pay a lot for a closet	The only good thing about this hotel is location. Otherwise, the rooms are small, it's loud, it's filled with stupid hipsters and it's way, way over priced. We asked for a quite room so they decided to put near the pantry where the free coffee is (that's right -- a &quot;four star&quot; hotel without coffee in the room) so every morning you'd hear dozens of slamming doors. The hotel was sold out during the weekend so there was no moving.The bed was tiny, the room was crappy -- it wasn't even well decorated. The bottom line find another hotel if you want a good time in NYC.	
May 16 2009 	This is a huge hotel	I love the hotel- we had a beautiful suite-incredible design and quite comfortable. The staff was friendly and professional. . Location was great- soho, little italy, china town. I would recommend the hotel.	
Apr 28 2009 	Another Solid Stay	This was our 4th stay at the Soho Grand over the past 2 years. The location cannot be beat and the rooms have always been more than adequate. The service has always been excellent. We would not hesitate to come back.	
Apr 23 2009 	Loved the Soho Grand	We just returned from a week in New York, where we stayed at the Soho Grand hotel. We loved the location! It's a very edgy, hip hotel, with a great lobby bar area. The lobby was busy all the time, people coming and going, meeting friends, etc. The food is good, and light meals are available at least until midnight. The room was very comfortable, although small, and amenities were excellent. The staff is unsurpassed! Excellent service, alot of attention, helpful, as pleasant as can be. The location is perfect. Two subway stations - one around the corner, one a few blocks away. And there are always taxi's available in front. Concierge couldn't have been more helpful, and very well informed. Breakfast at the hotel is terrific, and we also went to Pain Quotidien, about 3 blocks away. We have been to their location in ABC Carpet and Home, and have always loved it. The Soho outpost is just as good. Many great restaurants nearby. Walk to Greenwich Village, lower east side, Tribeca (film festival one block away). Wonderful 5 days!	
Apr 19 2009 	Past its glory days	When at the Soho Grand, it's not hard to imagine what an exciting and hip place it must have been when it first opened. The common spaces (lounge and bar) are still beautiful. However, the rooms and interiors are due for updating.Pros:* Decent Soho location* Good bar area* 24 hour gym* Overall a sophisticated ambianceCons:* Small rooms, not atypical of NYC but less tolerable since rooms also dated. Bathrooms in particular could be upgraded.* Slow wireless access (at times not working). Perhaps their typical leisure guest does not care much about this.Overall, I would suggest checking prices of other options before committing to this hotel.	
Apr 11 2009 	Excellent Stay	Very lean rooms, big-for-NY, amazing location. The bed was very comfortable. Free wireless Internet.	
Mar 30 2009 	Long in the day faded Glory	I remember when the Soho Grand first opened in the 1990s. It was a super trendy spot where media and entertainment types stayed when visiting NYC. It was the first cool hotel to open downtown. The bar buzzed at night, power breakfasts happened in the lobby, and actors on junkets demanded to stay there.But since then, a variety of hotel options have opened below 14th Street -- The Bowery, The Tribeca Grand, The Mercer, and more. And the Soho Grand has not been updated since it opened. I stayed there recently while in town on business, and moved out after one night.The location is good -- at the intersection of Soho, Chinatown, and Tribeca. But not as good as the above mentioned hotels which are in the middle of neighborhoods, not on the fringes.The rooms are tiny. And when it first opened, you could forgive this as it was truly the only option downtown. But now there are more options with spacious rooms.All the above would be OK if the owners had kept up the hotel. And the lobby is still in good condition (although the decor is dated.) But the rooms are dumps. Mine smelled like cigarette smoke. I was assured by the management that the room had always been non-smoking, but it was clear that a lot of people had smoked in it -- and the carpet/vents hadn't been replaced in ages. With the AC off, the smell of stale smoke held in the air. The AC unit itself was very noisy and uneven. The windows were filthy. The TV (flatscreen) got fuzzy reception as if the cable was illegal. The sheets were scratchy. (Come on, people, even the W hotels have high thread count sheets these days.) The mattress was old, worn, and sunk in towards the middle. I had a restless night's sleep in a sunken bed with scratchy sheets and a loud AC. Woke with a neckache and stuffy nose from the smoke smell. My co-worker who was staying in another room said to me &quot;What in the world happened to this place?&quot; He had the same experience.I moved in with a friend for the next night.It felt like the management knows it can't compete with all the nicer hotels that have opened so aren't putting money into the place. Judging from all the Euros on a holiday in the lobby, this is a package hotel. No more cool actors or models here. Our rate was good for NY --$225 a night -- but the room was the same as if we had stayed at Chinatown Holiday Inn.The owners can't improve on the room size but they could: Rip out the old carpets and put wood flooring in the rooms, wash the windows (interior and exterior), brighten up the rooms, upgrade the AC units, get new mattresses and sheets and fumigate.Service was good. Bathrooms were nice and calm (they should used the bathroom as an example of how to make a small space feel comfortable).	
Mar 17 2009 	Poor housekeeping...and watch the mini bar	This hotel is OK if you can get a good discount but not if you pay the rack rate. The location is excellent if you like the seedy fringe of Soho next to China Town (which I do), but not if you need to be in mid town for an early meeting or are nervous about the dingier parts of Manhattan. The rooms are small and comfortable but the housekeeping is consistently poor. The lobby and hallways are grimy and in need of refurbishment. On a recent stay the cleaner removed the soap and the toilet paper and two light bulbs, and did not replace them. On another occasion, the television remote control was missing and a replacement never arrived. After my last stay there mini bar charges were incorrecttly added to my credit card one week after I had left. I never use hotel mini bars but when I contacted the hotel they refused to reverse the charges and I eventually gave up trying to do anything about them.	
Mar 14 2009 	Amazing Stay.	I stayed at the Grand Soho Hotel during a very busy night, Valentines day. The location is pretty good, about two blocks away from a major subway terminal (Canal Street). The hotel is situated by a very busy area, however the entrance is on a less populated block. There are 24 hour restaurants in the China Town area and a 24 hour Deli directly across the street from the entrance. The employees are all REALLY nice, they never came off as &quot;snotty&quot;. Upon check-in all guests received free champagne, they filled our cups to the top... NICE. The rooms are very clean, the bathrooms have nice artistic wallpaper and are designed nicely. The tub is larger than standard size. The shower has some great water pressure, a feature adjustable. The beds are very soft and easy to sleep in. The beds are Queens size, my boyfriend is 6'2 and had no problems sleeping in it, his feet were not hanging out, etc. Their television is a bit out dated, however it has cable and you can watch DVDs (if you bring your own - the player is free to use). The mini bar is a bit expensive, I would recommend to go across the street and purchase whatever you need. The rooms are very quiet as well, on a busy day I expected to hear lots of noise.... but I was left undisturbed. The hotel has multiple elevators, I never waited more than a minute to use them. Pets are also allowed in the hotel, which is very obvious from the artwork to the pet food on the menu. There is also a machine on every floor that disburses free coffee, tea, hot chocolate, ice and water. Overall this was an excellent experience.	
Mar 3 2009 	Friendly staff and great views if you get the right room	I had two rooms during my split stay, one was luckily north facing and on the 16th floor enabling me to see the Chrysler Building and the Rockefeller Centre. Absolutely stunning at night...The service was great and the rooms and hotel averall are modern, stylish and clean. THe downside is that this all comes at a cost. Breakfast for two as room service will set you back at least $70, but having stayed elsewhere in New York then it's worth the extra if you can afford it. The location is superb too.	
Feb 3 2009 	Great location for dining and shopping	Stayed at S.G. last weekend, loved the restaurants on corner - Ate at Lusso, and had a great time. Shopped up and down West Broadway then over to Broadway. Eveerything was close by, and the doormen at S.G. were very helpful..	
Jan 29 2009 	Great looking and a good location but nothing else	We stayed at the Soho Grand for a weekend away and it is very aesthetically pleasing, but that is pretty much all I can say. The staff seemed like they were doing me a favor versus actually providing customer service. The rooms were nicely appointed, but small and the bathrooms were very small. Plus, there was absolutely no counter top, which I can't stand in a hotel. I found the price reasonable as compared to any other hotel in the city. It is in a great neighborhood, but I was just expecting more. The $8 beer we got from the mini-fridge was completely flat and we could not get the room service folks to understand that we felt owed a new beer.	
Jan 27 2009 	Best Stay in New York in 25 years	Agonised over where to stay for nine nights in NYC. Have been there every couple of years since 1985. Have never been treated as well in a New York Hotel as we were at the Soho Grand. Surprising for an establishment frequented by the odd celebrity but never for a moment felt anything other than genuinely cared for by great people. Smallish King bed room for two people for nine nights but very good use of space made it absolutely fine. And overall tremendous value for money. Seriously impressive place and people.	
Jan 12 2009	Perfect weekend getaway!	My husband picked the Soho Grand because of it's great location, which was all that really mattered to me initially, but my stay was one pleasant surprise after another.Our room was part of a &quot;Seduction in Soho&quot; package, so we were offered champagne upon arrival, which was nice. But the real treat was the staff. I kept thinking that someone had informed them it was our anniversary because everywhere I turned, someone was being warm and helpful (and not in the annoying overbearing way I find in some of the places I visit in the city). It turns out, that's just the way they are. Thanks to all of them, every transition was smooth, I got everything I needed, got great directions easily, was introduced to my new favorite dessert (warm berry crisp with ice cream) and enjoyed a worry-free, relaxing weekend. I'm generally more a fan of the raw and gritty NYC and often choose to stay in hotels like the Chelsea Hotel to avoid too much of the trendy and &quot;sceney&quot;, but this was just right. Comfort, culture, colorful people. And I found the lounge a great place to take it all in. We stayed in room 1606 with a great skyline view, featuring the Empire State Building. Rose petals and chocolates were a nice touch and our package also treated us to cocktails in the lounge (they have some great ones!) and a nice breakfast (in-room service if you like). Comfortable beds, good bathroom lighting and a &quot;skinny&quot; full-length mirror were some other room features that kept me in good spirits.Based on this stay, we've decided to make the Soho Grand our new NYC headquarters. We'll be back soon.	
Jan 6 2009 	Great Hotel Great Location	Stayed at the SoHo Grand on my 3rd visit to New York and loved it. I had worried from reviews that it may be a bit pretentious but the staff were very friendly and I felt very comfortable there. The location is brilliant, with designer shops all around, great breakfast bars and restaurants, and walking distance down to Chinatown, Little Italy, the Financial District and Staten Island ferry. Loved my stay here, would stay there again and definitely recommend it.	
Jan 4 2009 	soho grand	really a very nice hotel, design and decor was great. The rooms are a bit small but very nice in forniture and the linen are FANTASTIC. Only a problem during the stay we wait 45 minutes for someone that pick up our luggages from the room...	
Dec 30 2008 	Love at first sight....	Walked by Soho Grand at my first visit back in 2006 and had a sneek peek in the lobby and told my self that at the next visit to New York I was definately going to stay here. Arrived early one sunday morning in October and got my room immidiately, not the biggest room that i have ever stayed in but the view was definately the best that i have ever had.A swift and very curtious checkin, great consierge desk and the porters and doormen were always very attentive. Loved the design, some reviews say that it´s starting to get run down I say It´s a design that only becomes more beautiful with age, I belive that it adds to the great character of the Hotel, even though it´s only 10 years old It has that comfortable, stable feel, like sitting at your grandparents, it might not be the latest design but it´s &quot;homey&quot;.My only concern is actually the lounge it looked nice but the seating was horrible, also I think that if you reccommend a bottle of wine to a party of 8 you make sure that you have more than one bottle of it and also when you then reccomend your next bottle, the house wine, it should not be twice as expensive as the first bottle. Just very strange and not very customer friendly. And as a Swede that loves his breakfast the Grand Continental breakfast was a joke, 4 cokkies a croissant and some jam.... please.... but maybe thats just me. Loved it and will definately stay again, a great hotel. Almost forgot to mention that Housekeeping was great as well, very good cleaning of the room.	
Nov 17 2008 	hotel interior looking a little tired	our second time staying at the Grand, Dec. '05 was are first and we loved the comfort of the room. This time i found that the hallways were looking a litle worn. Excellent staff, an very friendly. Expedia rated the hotel a 4 star, i would say 31/2. having to travel to NYC every month on business, i take advantage of all the Hotels in the city to compare one to the other. Overall, The &quot;Grand&quot; is not so grand, but i hope they read this and seriously take a look at the halls.	
Nov 13 2008	classic gotham	Hotel prices in Manhattan seem to have been going up quite steadily, so I was happy to find a decent deal at the Soho Grand. if you're intending to spend time around Soho, the location is very good, on par with the likes of 60 Thompson. The atmosphere at the hotel is very dark and moody, in a nice way - the dimly lit interior has a very classic &quot;Gotham City&quot; type of feel to it. My room was small as expected, but quite convenient. nothing very notable, except that I was able to fit my hand half way through the gap under the room door. this means you can hear everything from the hallway clearly, thankfully the room was at the end of it though. One thing I was unpleased with was the wireless internet, which was unbearably slow and at times not working at all. I had to do some work on several evenings but was actually far better off hooking my cellphone to the laptop, as the wifi was completely jammed. Service on the other hand was friendly both at the door, where you could always find several bellhops opening doors and hailing cabs, as well as at the front desk.Overall I'd gladly recommend the hotel to anyone looking for a nice accomodation near Soho, but then again there are several other fairly similar options in the same price range, so it really depends on what kind of a price you're able to find.	
Nov 3 2008 	Awesome Design but a little worn 	I LOVE NEW YORK! I go a lot.. and I love staying in SoHo. For my fiance's birthday this year we wanted to go bak to NYC for a special weekend, but wanted to be sure to create new memories &amp; not tamper with the old, spectacular ones from the previous year. So... I booked the SoHo Grand thinking it would be a great location.. and has a good reputation with a fair price. Well- we walked in &amp; were immediately wow'ed by the vintage touches &amp; unique design. We were very impressed. We were given Champagne at check in &amp; the front staff was amazing to accomidate us while they finished preparing our roo (we were in by 10am.) When we got to our room, we found a typical NYC tiny hotel room. Not very impressive- but expected. So we trudgd on... soon after, the smell of cigarette smoke started to come into our room, and we all know that isn't allowed in NYC (*the floor was called Non Smoking). When we called the front desk &amp; they told me they couldn't handle my question, but someone would call me back. An hour &amp; A half later, no call back. We were leaving for dinner so I called again. Same thing-- no one could help me.... but they'd get back to me &amp; I made the kid promise me SOMEONE would call back. When we got back from dinner, our room was SUPER hot &amp; the smell of smoke was enough to keep us from falling asleep. Still no call back from a manager. The next morning I got up &amp; called again.. this time they said they would change our rooms for us &quot;No problem&quot;-- after 3 guest calls just to get someone to listen to me? I'd say there's a problem. The manager didn't apologize for the lazy response or offer any discount or any relief for the awful first night we spent @ their hotel. The next room was bigger &amp; the temperature was more comfortable. The mini bar was hot-- so they had to come &amp; change the whole thing out for a different one which took 45 minutes... and still out requested ammenities as prt of their &quot;Grand Guest&quot; program had not showed up (Ipod player, newspaper, pet fish fo the weekend... hey- they offered!) When we checked out on Sunday-- no mention again of the room change disruption or &quot;how was your stay?&quot; Just took my credit card &amp; said goodbye. When I asked to speak to the manager again about the lack of response to our uncomfortable stay-- she offered little more than the assurance that thir communication as a team was being addressed so it wouldn't happen again-- but nothing for us, the poor saps who endured it for the 2 nights we were in the city @ their hotel. When I got home-- it irritated me more &amp; more. The rooms were not cheap by any means... and frankly I have had much better service &amp; stays at other lower cost hotels in Manhattan. So-- I tried one more time to write a letter to the manager. I penned an email almost identical to this descripion just saying I am in the service industry &amp; if i heard any of my clients had received treatment like this-- I'd want to know about it and make it right with the customer. The manager called me &amp; left a message for me to return his call. I did so-- to get his voice mail. In the message, I stated clearly when I would be availble for him to reach me-- and of course-- NO CALL BACK&gt;I'm sorry but the SoHo Grand dropped the ball bigtime with me. I would not reccommend it to friends-- there are much more capable hotels for the money youwill spend at the SoHo Grand.	
Nov 2 2008 	Confused checkin Great Hotel	We arrived, checked in and made our way to our room (dragging our own bags as bellboys seemed thin on the ground). Arriving at the room we discovered a group of guests still inside.A phone call downstairs led to some confusion. Irritatingly they asked me to come downstairs rather than immediately coming to find us and remedy the situation.We were assigned and sent to find a new (upgraded) room, however this non-smoking room stank of stale smoke. We complained and were shown two more rooms. The final room neither smelt of smoke nor contained other guests and so we took it.Following this very protracted checkin we had a wonderful stay and enjoyed everything else about the hotel. Zoe the check-in manager was very helpful and genuinely sorry for the mixup.	
Nov 1 2008 	showering in bottled water..	That's right. I washed up with bottled water when I stayed at the Soho Grand...Granted, I may have some ridiculous standards when it comes to my hotel rooms (including functioning plumbing and a prompt and responsive staff). However, the Soho Grand certainly failed in providing these. During my stay on October 30, 2008, I woke up to get ready for an important client meeting when I discovered that the water coming out of the sink faucet was a murky brown color. Next, I tried the shower, only to find that the water there was also brownish in color.I promptly called the front desk, and they said that that someone would be up immediately to address the problem. After nearly 10 minutes and no response, I called back, and the staff again reassured me that someone would be up to address the situation. Again, after several minutes, I called the front desk asking to be transferred to another room so that I could shower. Now, the staff told me that this was neighborhood problem and nothing could be done to correct the problem. The staff then connected me to room service, who after explaining the situation, sent up four glass bottles of ice cold Saratoga water.I truly am grateful for the opportunity to shower with bottled water; however, the hotel staff clearly lacks an understand of how best to address such problems. First, if it is a neighborhood problem (and thus out of the hotel's control), please tell me that it is rather than telling me to waste my time waiting for maintenance. Second, if you are going to provide me with water to wash up, it may be better to send something that didn't come directly from the Arctics to my room.Overall, a very disappointing (and retrospectively hilarious) experience.	
Oct 18 2008 	Awesome quintissential New York great location	My husband and I stayed here for a few days during one of his work trips. It was my first trip to New York as an adult and the hotel was simply wonderful. Great architecture, great decor, loved the main bar, and the styilshness of the place. Our room was just right, and a good size for New York apparently. Lovely high bed, and good facilities in the room. The hotel is in a great location for exploring Manhattan, both north and south. We loved the shopping in Soho, a bit of something for everyone with some interesting art galleries, fashion, food etc.	
Oct 13 2008 	Fabulous Hotel!!	We booked this hotel through Lastminute.com for our honeymoon. After reading some reviews I emailed through to request a high level room. We were allocated a superb corner room on the 7th floor.We could not fault this hotel. Staff were unbelievably friendly - especially the doormen where nothing was beyond them. Always a friendly hello and goodbye. They were able to get taxi's at the drop of a hat and were very 'in the know'.The gentleman who was on duty in the bar/lounge area during our stay was brilliant. He knew all the places to go and gave great advice on local amenities. I'm only sorry I didnt take his name to write and let the hotel know (he was working on Tuesday &amp; Wednesday). The welcome we received was lovely and as it was our honeymoon we received a bottle of bubbly and some gorgeous strawberries to dip in a lovely jar of melted chocolate. It was a very thoughtful touch.The room wasnt huge (none are in New York) but it was immaculate and had all the facilities we needed (and some that were added bonuses!!) The bathroom was very cool and clean and the toiletries very nice indeed!Bathrobes provided, flat screen tv, dvd player, hairdryer were all included (as you'd expect) but they also provided an umbrella for your use while you were there - very cool (and thankfully not needed as the weather was amazing)A huge bowl of shiny red apples in the lobby ensured we got at least some vitamins while we were there!!All in all, if we are lucky enough to go back to New York, we would DEFINITELY stay here again and have no hesitation in recommending it to others.	
Oct 12 2008	Awful amenities terrible price gouging.	Where to begin? They short-changed me twice at checkout. They told me the I had deducted a $IOO deposit on my credit card when in fact they had deducted $150. When I complained they suddenly &quot;found&quot; the extra money. I paid for the amenties in cash, and they short-changed me yet again by $8 on a $36 dollar bill. They have yet to return my credit card deposit. The room-service bill was a total ripoff. They charged me a $5 delivery charge AND a mandatory tip. There was a space on the bill for &quot;additional&quot; tip. When I didn't add this additional tip, the room service man gave me a filthy look. There was a 40 watt bulb in the reading lamp next to the bed, not enough to read by. I called and asked for a stronger bulb, they said they didn't have any anywhere in the hotel. The TV was horrible. Terrible picture, and it was stuck on wide-screen which distorted everything and made all the people look fat.  I was booked for three nights, left after one night and slept on a friend's sofa instead.	
Aug 26 2008	Great Location. OK Hotel.	I recently had a 4 night stay in the Soho Grand. This was my third trip to New York and this time I wanted to stay in the Soho area. In my previous visits I stayed off Lexington Ave. The area of Soho was a much better place to stay with many shops, bars, restaurants and clubs within stumbling block from the hotel. I knew that New York hotels were expensive but we pushed the boat out a little further in order to get a luxurious, top class hotel in the Soho area. The Soho Grand can not put in this category. First impressions were good. Check-in was fast and the glass of champagne while checking in was a nice touch. When we arrived at the room we had to question if we were given the correct room type. We had paid for an upgrade. The room was small, which I expected. The bathroom was okay, but the only luxurious thing in there was the Malin + Goetz products. The curtains and Blackout blinds were worn with some tears. The bed was comfortable and the room was clean. The view was of a building site. We asked to change the room but, as the hotel was full the only thing that they could offer would be to take a downgrade ,with a better view, which was available the following day. We decided to stay as we were. The bar had a really good vibe to it but the prices are very expensive by any standards. We only used the concierge to obtain an area map so can not comment there but the Front door guys were always very welcoming and friendly. Overall, we enjoyed our weekend in New York and loved staying in the Soho area. I probably would not stay in the Soho Grand again. I think, for the money, there is much better quality out there.	
