	The Manhattan Club	I found this hotel to have very comfortable accomodations. Travelling with a family or group, it is ideal as a place to sleep and relax. The services were excellent, catering to just about every need and giving excellent suggestions, whether it be for dining or theatre or a museum. The location is perfect. Right between Times Square and Central Park and across the street from Carnegie Hall	
Jun 15 2009 	Great Location	Stayed at the Manhattan club for four nights on a shopping trip to New York in December 2008. We booked a suite for 4 adults it was a bit cramped but we asked for a rollaway bed and that was provided. However we were charged extra for it. The hotel is in a fabulous location for shopping, eating, drinking and the theatre. Would recommend it for a short break.	
May 20 2009 	Location Location Location	This was my fourth stay at the Manhattan Club and on this visit we landed a huge, two bathroom suite on the 22nd floor. It was by far the nicest room I've ever had in NYC. I've stayed in smaller units here which are nice but somewhat cramped. We love the refrigerator, microwave and dishwasher, which makes it nice for leftovers. The king size bed had thick comforters and even the pull out couch was comfortable. Large towels, daily maid service, robes, made it even nicer.One of the best things is the location. The subway station is just down the block so you can get anywhere in Manhattan. You are only two blocks from Central Park and across the street from Carnegie Hall. Down on 7th Ave. are the Carnegie Deli and Stage Deli to grab a huge sandwich - you can store your leftovers in the frige. You can easily walk to Times Square. The staff is adequate, not overly friendly. They had to search awhile for my reservation but once they found it, everything was fine. I would highly recommend this hotel. It is clean and very convenient to get anywhere in the City. Only gripe is elevator is very slow.	
May 14 2009 	Dissappointing	I would not class these suites as 4* we booked a suite for 2couples which was very small and cramped. It was a open plan with living area with sofa bed and small bathroom with no window so got very steamy &amp; stuffy.Our air conditioning didnt work and the heat was horendous when we opened the window for fresh air it was noisy. There was just enough room to get the sofa bed opened out in the living area, when opened out it was almost touching the fridge &amp; units and the couple that slept on it ended up sleeping with the fridge door opened to try cool down. The carpet in the suite&amp; the corriders was worn and tired. The location was good but everything else was really dissappointing especially when it was fairly expensive the pictures were very very deceiving. Much better to stay in a hotel	
Apr 15 2009 	When is a suite not a suite?	I booked one of the Manhattan Club's Metropolitan Suites (through Expedia.com) for 1st week in March for my birthday. I was very , very disappointed! On my initial booking request form I asked for an outward looking suite and as high up as was available - preferably above the 9th floor. When we arrived we discovered that our suite was on the second floor. I questioned this and pointed out that I had specifically stated that I wanted a high floor but was informed, by very dismissive staff, that ALL the Metropolitan Suites are situated on the second floor! I was really flaming mad as no one had had the courtesy or the decency to let me know when I was booking, that this was the case.Then we went up to our 'suite' only to discover that it was not a 'suite' but one room with a pull down setee! Not enough room to swing the proverbial cat in and when the sofa was pulled down you could not even squeeze past it to get to the bathroom - you had to jump over it! We had booked the 'suite' as it was supposed to have a separate bedroom (according to the descprition and photograph on the web page of their ad.) and accommodate 4 people, there were three of us, myself, my brother and my female friend, she then had to stay with my sister and other friends, as there was absolutely no way we all could have stayed there comfortably for one week. After travelling 3,000 miles from Scotland to say that I was bitterly disappointed is an understatement. I did complain to the sultry, disinterested staff who informed me that it had nothing to do with the Manhattan Club, I would have to complain to Expedia and that it could take two days to get a hold of them.I'm afraid I feel I was well and truly very expensively conned and would not recommend the web site or the Manhattan Club to anyone I know intending to spend time in NY. First impressions are usually lasting ones!	
Apr 11 2009 	EXCELLENT LOCATION	My husband &amp; I were on our first visit to New York to celebrate our 10th wedding anniversary. We used our points system and booked the Manhattan Club 10 months in advance of our trip. Our accommodation was a junior studio which was ideal for our purpose. It was clean, functional and the bed was so comfortable (I want their pillows). There was limited cooking facilities but we had no intention of doing any cooking. Making coffee was our limit. The location was absolutely perfect for getting around New York especially Broadway, Times Square, Central Park, 5th Avenue and subways. During our week we received one phone call about attending a presentation, which we declined, and were never bothered again. Yes, we could have received vouchers for meals, tickets for shows but our time was more valuable. The only day we had a problem waiting for lifts was on check out, but it wasn't unbearable . When we go back to New York we will definately try and stay at the Manhattan Club.	
Mar 29 2009 	Great location good amenities but beware of the shower water temp.	I love where this hotel is located. It is across the street from Carnegie Hall, and a few blocks from Central Park, two subway stations, and easy walking distance to Times Square. The rooms are nice, and the beds are very comfortable. The elevator issue seemed to be fixed, and we didn't get hounded to purchase a timeshare. We attended the presentation, said &quot;no&quot; and received our gift cards to the restaurants. The things to beware of--if you book for a presentation and they drop the price, you will not get your rate adjusted. Also, and this was the biggest headache--the water temperature was absolutely horrible. It would go from scalding to freezing, and scalding again. Finally, even though it was only a three dollar charge, we were told when we made our initial reservation that our room was completely paid for and yet we still had a three dollar bill (it wasn't for any incidentals--it was the room charge balance).	
Mar 25 2009 	Too many obstacles tarnish otherwise great location.	This time share/hotel is in a great location on W56, between 7th and 8th Aves. Close to Central Park, Carnegie Hall and Lincoln Center. The elevator wait daily was horrible. The persistent phone calls from time share sales staff wanting &quot;90 minutes of your time&quot; was very bothersome. Bellmen and front desk staff were very indifferent. there is a lounge on the 26th floor, open to members and hotel guests alike. Michael, one of the bartenders, was an asset to this property. If you are able to secure a great room rate, don't mind long elevator waits and can handle your room phone ringing when trying to relax, then go for it. Otherwise, I say find a reputable hotel that has a repuation for customer service.	
Mar 22 2009 	Timeshare Bully	There was a lady sales representative that had a &quot;you owe me attitude&quot; trying to sell us a timeshare. She was very rude, unprofessional, and her &quot;aggressive&quot; sales tactics were a total turn off. If I had a $100,000 in my back pocket, I would not buy a timeshare at this location. Everyone that we met in New York was very nice except for this one chick. I know that economic times are bad, however no one should be that desperate for a sale. She made comments such as, &quot;you lied...&quot; &quot;your aunt lied...&quot; &quot;are you not in the same financial bracket as your aunt...&quot; These comments were totally uncalled for by this so-called professional. She needs to get one thing straight--I am the customer, and you SIMPLY work there. If you are there for the timeshare promotion, I am hoping that you are treated with respect. The RESPECT that I did not receive at the presentation. I love New York...not Tiffany!	
Mar 5 2009 	Rooms are small and Overpriced	Couch and Chair in room had worn out fabric. The showerhead was broken and did not work right. Bathroom has small sink with no counter. Pull out bed was no good. Save your money and stay in a regular hotel.	
Feb 26 2009 	Great Location Better than we expected	We traded one of our RCI weeks and booked close to a year in advance. We had a one bed room suite that had a private bedroom and bath. This unit also had a lovely living area with a pull out couch and another bath with a shower. We travelled with one teenager. When we checked in, we were given a smaller unit than we had been promised, but once we saw the room, we returned to the Front Desk and a new room was assigned with out any hesiation. Minor error ! Our room was on the 25th floor, a view to 7th Avenue... The room was very clean and well stocked for our purposes.Daily maid service, which you pay a small service fee for ,was well worth it. After staying at a high end hotel in NYC before, it was great to have a living space with a small kitchenette . We found a great wine shop around the corner on Broadway and there was a great PAX deli as well as a small supermarket ...We like to have Breakfast in our unit and this trip we found that after enjoying some fabulous lunches around the city, we did not want to eat another meal before the Theatre....Between PAX and the market( Morton and Williams) we were able to enjoy a lighter meal and rest before we headed out on the town again. Transportation around the city from this location is ideal...we liked to walk....and used the Double Decker tour bus to see more of the city. Would use the subway , but it was our daughter`s first trip and either City Sights or Gray LIne will give you Hop on Hop off tours to Manhattan and Brooklyn.Make sure you ask these tour operators for an extra day or 2 for the same price...always a deal in NYC. We did the theatre twice and most theatres were in walking distance. We always go directly to the Box Office for tickets as sometimes we get better seats at a better price....there is a discount ticket agent TKS in Time`s Square, but would rather not waste our New York Minutes waiting in line ups. We did not use the Lounge or the Fitness Center, however a number of guests we met were happy with the service. Elevators were not a big inconvenience, although I must admit they are a bit slow.Overall, we hope to return to The Manhattan Club.I do not think you can beat the location and the accommodations were better than we expected....and I admit I am a really picky when it comes to cleanliness...kudos to the housekeeping staff! I had read all the Horror stories about this hotel before we arrived and it was not part of our experience at all. To those going to visit soon, enjoy your stay and be thankful for the location and to those that are considering a trip, give it a try....New York is such a wonderful city to explore ...and The Manhattan Club is in the heart of it all	
Feb 24 2009 	Lucky Trade! Amazing Week!	We lucked into the Manhattan Club as a timeshare trade and were thrilled to get it. Reading the negative reviews, we were mildly concerned but didn't need to be. The room on the 22nd floor had Central Park views, two large, very clean bathrooms, and a well equipped kitchenette. Elevators worked fine, furnishings weren't luxe but were clean, housekeeping was well done and attentive, windows opened (love that city noise, even when it's cold outside), bartender in club bar was great, location was fabulous. Business center was never full--computer access 24 hours, but the printers were out of service. Gym looked okay but we didn't use it--walked to Brooklyn for pizza instead of working out. Front desk staff seemed a little cold, but we got a great room so who needs warm chit chat?	
Feb 23 2009 	Great location very comfortable beds nice hotel -- crummy hospitality fee	It's all about location, location, location. Manhattan Club was a perfect location and in walking distance of almost everything we wanted to do. The one bedroom unit, which had 2 bathrooms, was perfect for a couple but would have been a little too crowded for 4 people. The beds were very comfortable and the unit was quiet. We have a great week in New York City. We did not like the fact that we paid upfront through RCI and through our time share, then Manhattan Club wants to tack on a &quot;hospitality fee&quot; of $25 per day. My definition of hospitality is entertaining guests or visitors with liberality and goodwill. So, now we have to pay people to be nice to us?? We had a great vacation and enjoyed the location. Would we go back, of course.	
Jan 31 2009	worth waiting for	It took a very long time but we were able to book an RCI exchange six months prior to our stay. From the sound of the agent at RCI it was like winning the lottery. They simply don't see space coming up at the Manhattan Club. I then spent the next six months reading alot of very bad reviews and was more than a little nervousl. Our visit was wonderful. I had phoned and requested a specific type of room and on arrival they said the room set aside for us wasn't ready but if I wanted another room very similar to what we booked we could have it. We chose to wait and went for a walk in Central Park which is about five minutes away. On return the room was ready . The one bedroom unit had two baths a kitchen and a living room with an eating area. There was more than ample storage including in the bathroom which is almost unheard of. The bed was great with fresh linens and a duvet. There was a door to close off the bedroom and one bath. There is no question that the room showed some wear and tear but not in any way that made us feel uncomfortable. There were lots of towels and supplies both in the bath and kitchen. The elevators worked very well. We never heard a sound from any other room. The staff was helpful and pleasant with one exception on checkout. I attempted to pay with travellers cheques and was told they don't accept them. The hotel would cash them but not accept them as payment. The young women was rude as well as unknowledgeable. I asked for the manager and she then phoned someone who told her they were accepted. The location is perfect for wakling and the subway. If you go out via the Park Central Hotel there is a subway about 30 seconds from the door. Buses run crosstown on 57th one block north. We did go to the presentation and were shocked at the cost to buy a timeshare unit. The manager who came out after the salespitch found it very hard to accept that we couldn't afford it. He did not like taking no for an answer. We loved Nocello for dinner which was good value and delicous. The theatre is so easy to get to by subway taking about 20 minutes max from door to door. I would go back in a heartbeat.	
Jan 13 2009 	Pleasant experience	We stayed here as a timeshare, and after reading a lot of negative reviews, we were apprehensive. However, our stay was very positive. We had no trouble with the elevators. The staff was very courteous. We asked for an outside facing room which we were given which turned out to be more than adequate. The location is excellent. We were called once to see if we were interested in their timeshare presentation. We declined and were not bothered again. All in all, we would highly recommend this hotel.	
Dec 28 2008	Totally ruined our trip to NYC	I don't normally write these types of reviews, in fact I think I've done this once in the past ten years, despite staying in hotels all over the world. But the experience at this place was, in a word, awful. The first night (which was a warm, humid evening in early November), the room felt quite warm as we went to bed. We adjusted the thermostat as low as it would go and turned in. By three a.m., we were all awake - the room was an oven. A call to the front desk informed us that this place had a &quot;single pipe&quot; system - hot or cold only. Due to it being early Nov, it was now heat only. We opened the door into the hallway - no relief. They told us to open the windows (16th floor, small kids in room...), which we did as much as safely possible. A fan was eventually delivered. When we asked for a second fan, we were told they were now out of them - others were presumably suffering this pressure cooker experience also. The second night things got far worse. We awoke to the sound of water dripping, fast and strong - the ceiling was leaking, dripping onto our sleeping children. The ceiling felt soggy, a weird rectangle appeared, like the panel might collapse down. A hotel &quot;engineer&quot; arrived. He agreed with my recommendation - we move rooms. At 3am, we carried our half-awake children and belongings to another room (no, it wasn't next door.) After two hours of lost sleep, we collapsed. The next morning, exhausted and red eyed, we discovered that this new room also had a leak - a badly leaking window (the saturated towel sitting on the sill when we arrived was the giveaway), and also, the shower leaked water to the point that literally 1/8&quot; to 1/4&quot; of water remained on the floor after use, noticeably rotting out the bottom of all furniture in the bathroom (obviously a long-term, unfixed problem). After we finally checked out, we were given the number of the Manhattan Club's Exec Director to ask for an adjustment to our bill. This man was something to behold. I mean, amazing, right out of a bad movie... not only unsympathetic (offering an apology only after being told we hadn't gotten one), but rude, arrogant and... he actually seemed to be enjoying himself being that way. Dripping with sarcasm over a speakerphone, shuffling papers loudly, he said it wasn't their policy to issue any credits, no matter what the circumstances, and that was &quot;what made this country great - that we can disagree about this. You think you deserve some kind of credit, and I can say no.&quot; Yes, that's a direct quote. He confirmed that we had received the coupon for a free continental breakfast (Perhaps a $10 value, even in NYC - Bagels, carton juice etc.) And that was the end of that. And the end of any stays for us this &quot;timeshare.&quot; In thinking back over this place, even setting aside our individual awful experience, it was a rotten core. Every time I rode the elevator in that 2 1/2 days, people commented on how long the line was to use the elevator in the lobby (there were never less than a dozen people in line - yes, actually in line, day and night) or how long they had waited on their floor for it (think ten minutes, not 2-3.) The lobby itself was a rush hour traffic jam of people and suitcases for the several hours around check in or check out. And even as we approached the front desk when we first arrived, the first thing we saw was a very angry/heated exchange between a guest and a manager. We should have known then. And now, you know. And have been warned...	
Dec 17 2008	great time was had by all	We let our daughter and her husband stay at our time share and we stayed at a different location. Boy, were we sorry! They certainly got the better of the deal. They raved about the accommodations, the service, and the location for months afterwords.Next time we're giving them the &quot;other&quot; location and we're taking the Manhattan Club.	
Dec 16 2008 	LOVED Manhattan Club	We used our RCI timeshare and booked this 10 months in advance (3 nights). Was very nervous when reading recent reviews, but our experience was wonderful. The room must have been recently renovated, because everything was new, the room was modern and quite pretty, bathroom was wonderful, towels plush, bedding plush, quiet room, free internet access, flat screen TV, robes, excellent housekeeping. the front desk was friendly. We were offered tour for timeshare for $100 dinner voucher, but we didn't go and they weren't pushy. the location is so excellent, across from carnegie hall, blocks from rockefeller center, time warner/columbus circle, radio city music hall, multiple subway lines. We didn't use the gym, but it looked nice. We were on the second floor, so we just took the stairs. but when we did use elevators, it was pretty fast. We would love to do it again!	
Dec 16 2008 	Autumn in New York	We have been at the Manhattan Club for 2 weeks. Wonderful romantic view over Central Park, and therefor excellent location at midtown. The apt 1705 was on the corner of the buildind with 2 sides and 3 windows overlooking the 7th Av and the 56th Street. The apt was warm and cozy, two bathrooms, one bedroom, livingroom, and kitchenette. At the last floor there's a business center (free use of computers) and a big bar and common livingroom where you can find free newspapers and free cofee, tea, and biscuits from 11am to 4 pm.	
Dec 16 2008	Manhattan Club Suites aka Manhattan Time share Hotel 200 West 56th Street NY 100	Well placed hotel undergoing change. We were offered timeshare whilst checking in!The 'remodelled rooms' are small but have above average decor. The main drawback is that many rooms face inwards into a central shaft that lets in barely any light so your room is in permanent darkness. If you stay at this hotel make sure you get an outward facing room. Staff range from helpful to inefficient and surly dependant on how busy they are. Lifts are programmed badly so you have to wait forever unless you are prepared to use the staircase. Not feasable for elderly or those with young children.Despite all this the hotel was crowded with out of town guests coming into NY for Christmas shopping and the shows. If you can get an outside facing room and resist the timeshare sales spiel it is worth staying here	
Dec 6 2008 	good location but disappointing hotel	Spent 5 days here and upon arrival informed of 4pm check in which was fine and bags happily accommodated by concierge but when attempting to get to 23rd floor later with baggage had at least 10 mins wait to access the one working lift!! Long queue of people behind us becoming more and more frustrated.As the only lift working stopped at practically every floor on its way up and down it became really difficult to remain patient particularly by day 5 and the service lift was also out of action by now.We took to walking up/down several times before realising you could use the lift in the adjoining Park Central hotel from floor 11 down and back up to 23rd floor from their lobby. But no-one from the Manhattan Club informed us of this and seeing previous reports on this site I can now see it is an ongoing problem for the hotel and fail to understand why it has not been addressed before now.The room was ok but cold and the heating system was not working. A phone call to reception and we were informed an engineer would have to be called out! As we were now exhausted after flight we gave up waiting half hour later and went to bed. The bathroom was quite dated and the towels small and thin. No complimentary bottles of water but tea/coffee facilites and fridge and microwave in room.The only real advantage of this hotel was the location and the fact that we were out all day and came back to climb the stairs to fall asleep!	
Nov 16 2008 	fantastic hotel	I had read a lot of negative reviews about this hotel before I left but found it to be excellent! The staff were very friendly, it is 5 mins walk from times square and 4 of us (friends) shared a suite which had a lovely kitchen area, two double beds (one was sofa-but very comfortable and a lovely bathroom&gt; We couldn't check in until 4 when we arrived but our bags were minded for us and a lovely local restaurant was recommended- we were also able to sit upstairs and enjoy complimentary tea/coffee/biscuits while we waited. The concierge was very helpful. a lot of people mentioned that the lifts were very slow but at the end of the day it was not a big deal. I would definitley recommend this hotel	
Oct 18 2008	Room pleasant good location but wouldn't buy	My husband and I recently stayed for a weekend to celebrate our anniversary. I found out about it from a friend. We spent our obligatory 90 minutes and had to fend off 2 hard -sell sales people before we said &quot;No thanks&quot;. For that we got 2 tickets to the Blue Man Group, which was really fun.The room was not ready for a long time after it should have been. There were many grumpy people in the lobby. When the room was finally ready it was after dark. It was definately a nice sized space for NY and in a great location, but lot of time was wasted from our day. The room was a little run down... holes in the wall, missing wallpaper in BR and a broken cabinet in kitchenette, but it was clean and the bed was very comfortable.Oddly, the kind of suite we stayed in was not for sale. They tried to sell us a tiny room for a lot of money. As our sales person was trying to part us of our money, she kept calling on her cell phone to check on her investments. (!) It was weird and awkward. Although we did get free theater tickets I have to say, I would not buy there and probably would not want to go through the sales pitch again, when there are plenty of other hotels in the area in the $same price range.	
Oct 15 2008 	Slow elevator so what!	OK, so if you have an appointment, you've got to give yourself a little extra time with the elevators, which may or may not be working, but, wow, this place is so great for weekend visitors! It's on a pretty quiet street that's near theaters, museums, shopping and best of all Central Park! And our suite was just fabulous, with TWO BATHROOMS. And I can tell you, for two women weekending in NYC, this perk is worth a wait at the elevator! Friendly staff too. No restaurant, but I can recommend the Redeye Grill across the street and Trattoria Del Arte. Rooms have fridge and microwave too.	
Oct 5 2008 	Great location and acceptable room	In short - We stayed four nights at the Manhattan Club and overall found our Quad room comfortable (if a little on the small side) for our family of two adults and two children (6 and 7 year old boys). We chose the hotel because of price and location and it worked out well on both counts.In detail - when I first opened the door of our room I was taken back by how small it was. Then I remembered I was in New York! It had been 9 years since my last visit and I had forgotten how small the rooms in New York can be. The room was about standard for a New York hotel.We had what was called a &quot;Quad&quot; room. It consisted of a Queen size bed and a sofa bed. The sofa bed was just acceptable for our boys to sleep on. The mattress was so thin that an adult would have not slept due to the supporting frame of the mattress pushing into the middle of their back. Also, with the bed folded out the foot of the bed was too close too a glass topped coffee table for our liking - we felt it was awkward and dangerous. To solve this we took the glass top off and stored it under our bed and stood the coffee table on its end in a corner. In hindsight we should have asked the staff to remove the table. But the work around was fine.Other than the issues with the bed the room was completely fine. Our queen bed was quite comfortable and we slept well in it.Other guests have commented previously on the slowness of the lifts (elevators). We didn't have a problem with them, never more than a minute wait. I understand from one of the regular guests that the maintenance work on the lifts that had been going on for some time had been completed and that the accessibility of the lifts had improved significantly ever since.We did receive one call from hotel staff selling time share. They offered tickets to a show or a $150 Visa Cash card for attending one of their &quot;60 to 90 minute presentations&quot;. But they weren't too pushy about it and when I explained that we didn't visit often and hadn't been to New York for 9 years they backed right off and we did not hear from them again during our stay.We also found a couple of great, reasonably priced restaurants near our hotel. We had great pizza on 57th street and also went to a lovely asian restaurant on 7th avenue called Lili's that did Chinese food and Sushi.The real winner for us was the location. Being close to the subway and Central Park and a few minutes stroll to 5th Avenue and Times Square made this a great place to be based. When our boys had enough of the city we just wandered up to Central Park so they could run around and let off steam ,	
Sep 19 2008 	Manhattan Club Great location	The Manhattan Club is in a great location. 3 blocks from Central Park. Easy subway access, Close to Time Square and many other NYC attractions. Lots of restraunts nearby. Very helpful staff.the one bedroom suite has 2 full bathrooms which worked out nice for 2 couples. the fold out bed was not comfortable and we took the mattress out of the couch and put it on the floor to make it more comfortable. The kitchen does not have a stove. Overall we had a great stay and would stay again	
Sep 19 2008	Wasn't worth the money we saved	We used RCI points, so our stay for a week was about $85. It was not worth the savings. I would easily spend $500 a night for a better place. There weren't enough elevators to for the number of guests they had. There are no amenities at this hotel.	
Sep 3 2008 	This place was awesome	this hotel was amazing great location lots to do...great staff....the rooms were always cleaned..we had 4 guys for a trip to the yankees game and they gave us 2 cots for the room plus we had a doubble bed and pullout couch....also had our own kitchen. times square is just minutes away ...Hooters accross the street and oh ya the blue jays won.....YANKEES SUCK....	
Sep 2 2008 	Manhatten Club in a SCAM- Prospective Timeshare Buyer BEWARE!!	We have been a Timeshare owners at the Manhattan Club for over seven years now and we very much regrate ever doing business with this SCAM that called the Manhattan Club.When we joined they were very nice to us. The fee for the week we owned was about $600 and they told us that we own a suit for a certain week of the year we can change it to any week we desired. We have also been told that the week of this Unit we own is Flexible and as owners we are entitled to change our week to any 7 consecutive or non-consecutive nights at our option, and including 3 weekend stays par year. By now The weekly rate jamped to over $2,000 (more than tripled) which we have to pay at the begining of the year but we COULD NEVER GET A WEEK OR EVEN SOME DAYS. FORGET ABOUT WEEKENDS. They keep saying it is all booked for any week or even days we requests BUT WHEN WE CALLED THIER OFFICE IN PHILADELPHIA WE COULD GET THE SAME WEEK THEY HAVE TOLD US WAS TOTTALY BOOKED IF WE WOULD PAY THE RIGHT PRICE. We have purchased our unit because the location was good and still is but, when we did manage to get a room for a couple of days 3 years ago we found out that the service that used to be fair turned to be almost unbearable, the front dask agents are rude and impatience and the stay was no fun. We could get over the bad service because of the location but, we are tierd of bagging and being TURNED DOWN for a week that we paid a lot of money for and we CAN NEVER receive. POTANTIAL TIMESHARE BUYER AT THE MANHATTEN CLUB, BEWARE!!!	
