	Great Location	My friend and I stayed at the Comfort Inn in November for a week. We found the reception people most helpful and friendly. The food in Brendan's was very good, don't forget to use your key room card to get money off-we did-and they don't ask!!! The hotel may be a bit dated, but it was very clean. What a fantasic location. The subway, Macy's and the Empire State Building within 5 minutes. On the whole we loved our stay here. A bit of paint would help brighten it up. It was noisy at night with the dustbins being collected and the New Yorkers do like to use their car horns!!!	
Jul 15 2009	Great location - great service!	We stayed at the Comfort Inn Manhattan in March of 2009 with a group of 30 teenage Foreign Exchange Students. The hotel was in a quiet and safe location and was jan easy walk (about 20 minutes) to Times Square. The staff was wonderful and very accomodating to WHATEVER we threw at them. There are 2 elevators and although they are a bit small and slow, we never had to wait very long. There are also stairs right across from the elevators so you could always use those if you were in a real hurry. The room rates were good and they were clean and fairly large. There is a nice restaurant/bar attached to the hotel and a number of Irish bars within a stones throw from the hotel. This is an older hotel but it it is gem! I just emailed the Hotel Manager yesterday to check availability again in March of 2010 so that has to tell you something! Althought the entire staff was great, 2 people deserved some major kudos. Tony the Manager and Brian who workes at the front desk. Tony went above and beyond to help us and his response was always &quot;sure, you can do that!&quot; Brian helped out one of the chaperones BIG TIME as well. After we left the hotel en route to DC by bus, the chaperone realized that she left her wallet at the small cafe next door. When she called the hotel, Brian ran next door and found it and then proceeded to overnight it to her in DC and she received it the next day. Now that is an honest man! We are looking forward to staying at the CI MAnhattan again and would recommend it to anyone who is looking for a clean place to stay and to save some money in NY.	
Jul 10 2009 	great location good room - very satisfied	This comfort inn is in a great midtown location right next to the empire state building. The hotel reception staff were friendly and helpful. The room was spacious and comfortable (queen bed - should have gone for king). Very clean. Free breakfast is basic but better than nothing.Overall very happy with this. Unfortunately staff couldn't accomodate an early checkin request as I arrived in NYC at 7am and had to wait till 1230 to check in.	
Jul 8 2009	Not great value for the money	I stayed here as part of a large group and did not think it was great value for the $200 a night rate that they charged. On the positive side, the rooms were reasonably clean and quiet and the service was friendly and efficient. Also, it was located just up the street from a subway station.In terms of complaints, my biggest dissappointment was that our room had a window which, due to the fact that it's exterior was covered in a thick film of grime and that it faced a brick wall, provided little, if any, natural light. It felt as though we were in a cave. I thought the colour scheme (gold walls and black doors, furniture &amp; detailing) contributed to the dark, dingey atmosphere. The bathroom, was bright and modern but had a very tiny sink which is less than what you would expect in a room with two double beds. The photos of the rooms, lobby, and restaurant on the internet give the impression of much brighter and roomier spaces than in real life. Also, our electronic key lost its magneticness constantly so that we got in the habit of asking the front desk to re-scan it everytime we came in. Not a huge deal, but annoying, especially if there was already someone at the front desk being helped. Finally, I thought that the block that the hotel was on was a bit grimey and run down. Anyway, I compared the rate with that of a few hotels in the same area that had more modern and brighter lobbies and the Comfort Inn was actually more expensive. Of course I don't know if those other hotels would have had superior rooms to the Comfort Inn, but it is hard to imagine them not being, at the very least, comparable. Overall, I concluded that there is likely much better value to be had at other Manhattan hotels.	
Jul 8 2009 	Adventures in the Big Apple	A small friendly hotel,dated yes but is that not history in the making???? [check out the stained glass windows in reception/bar area] Our room was on the 12th floor which we requested, it was clean and roomy with the added bonus of a magnificent view of The Empire State ;the bathroom was adequate with plenty of hot water and a daily abundance of fresh towels, soaps, shampoo etc.The staff that we encountered were more than helpful and the lady that worked reception through the night was lovely,always available with advice and for a chat and even booked us in on line for our journey home bless her!!!! The location of this hotel was ace,we were within walking distance of so many of the attractions and those that were further afield we walked to anyway as to see New York you have to do it on foot in order not to miss anything!! [take VERY comfortable shoes]!!!!!!!!! Breakfast was a bonus and kept us going until mid afternoon and Brendans Bar served delicious food-the lamb chops were gorgeous and the staff in there were a friendly bunch too.On the whole, if what you are looking for is a hotel in a good location,that's clean,friendly and doesn't cost mega bucks this is the one.New York was our first trip to &quot;The States&quot; we are now planning on visiting elsewhere in the good old U S of A.	
Jul 6 2009 	Great location friendly staff decor a bit tired.	Reviews on this site very useful and realistic. Hotel was ina very handy location for visiting all tourist attractions. Every staff member friendly and keen to help and advise. room spacious for a city, especially compared to European hotels. Room decor a little sad and tired eg broken floor tiles in bathroom. However didn't spend much time in hotel too much to see. New York a fantastic city, felt completely safe at all times.Open top tourist buses great value, we had a 3 day ticket and used it to get everywhere.Food at Brendan's very tasty and good prices with the 15% off. 2 Irish bars across the road also good,especially if you've had a hectic day.	
Jul 6 2009 	great location quiet room awesome bed!!	we loved this place - it's not fancy but it's SUPER clean, the location is great (W. 32nd, AKA Korean Way - lots of places on the street open for noodles, etc. 24/7), the bed has a memory foam mattress that was divine to come home to after beating the pavement sun up to sun down every day, and we didn't hear a PEEP of street noise - partial thanks to the in-room AC unit which we ran all night. in room safe was also a plus. rooms are not huge, but this is generally to be expected in NY and since we weren't planning to do in-room gymnastics we didn't find this to be a problem. drawbacks? walls are a little thin and we had inconsiderate neighbors slamming doors on the first night (we always carry earplugs for just such a thing but this was really loud...). also the free breakfast is a feeding frenzy - good for a quick pick me up before you hit the streets, but might do better to grab a bite &amp; head for the room like we did. elevators are a little slow but that didn't bother us. last time i was in NY i stayed at Affinia for about $250 a night, and i got MUCH better rest here, MUCH better value. VERY PLEASED and WILL STAY HERE AGAIN!	
Jul 3 2009 	Great position of hotel	Just returned from a 5 night stay, hotel was in a perfect position. Right by the Empire State Building, and at the end of the block Mac'ys. Times square was about a 10 min walk away. Our room was 807 which has been refurbished and when you looked out of the window you could see the Empire State building. Room was cleaned every day and clean towells left. Large closet and plenty of storage space. Breakfast was good, bagels, toast cereals, fruit, waffles. We never had to wait for a table usually got there between 8.30-9.00. Loverly Korean restaurant opposite hotel very reasonable too. We bought a New York City Tours 3 day bus ticket which cost £48 each, which included entry to Emprie State building and ferry ride over to Statue of Libery. Their night tour also stopped in Brooklyn and you were able to get off and take pictures of Brooklyn bridge and New York Skyline. Would definately stay at this hotel again.	
Jul 1 2009 	Value for Money Great Location Beware of differences in rooms	Literally just got back from NY. Stayed 3 nights in the Comfort Inn. The location was brilliant. Couldn't have chosen better. The reception was clean and welcoming, most of the staff were very helpful and chatty. Beware of the Spanish, middle aged female receptionist. She is not friendly and not helpful and we witnessed her arguing with the guests on more than one occasion. All other desk staff were really friendly and helpful. Just steer clear of her and you'll be fine. :)There is a difference in rooms. If your unlucky enough to be given one of the side rooms with one window and no light ask to change immediatley to a front room or back room. The windows make a big difference to the rooms. We asked to change. First the Spanish lady said no, there was no room, not possible. She was lying as the one of the guys swapped us a few hours later to a room at the front of the hotel. The difference was amazing. The rooms were clean and welcoming. A little old in decor and the aircon noisy but relly and truly for the price the rooms are a good deal. Much better than staying a hostel. The showers in both rooms were fantastic and despite reading reviews prior to our trip we thught the bathroom was clean and adequate and not small.With the coffee cafe next door and Brendans restaurant on the other side you are not short food or caffine.Do not try the coffee machine in reception! YUKInternet was free in reception, but there can be a long que.Two main lifts which were adequate but slow.Breakfast was not luxe. It was ok. Bread/toast/bagels/donuts/cereal and muffins. It was good enough although repetative. Plastic cutlery, plates and cups were interesting.Take margerine with you. Unless you fancy defrosting the butter with your lighter you will have problems! Good idea to take your own jams, peanut butter, marmite etc. to jazz up breakfast.Macy's and Broadway forty meters away. Empire State building right behind the hotel.The windows in the second room opened without problem and the aircon worked. We did not find the noise from the street that bad.Construction is going on in the building next door but we didn't hear anything while we were there.The hotel is old, but it does have character and considering the price we were more than happy. It's right opposite the Hilton which costs tons more.Didn't actually see the maids but the room was clean and the beds were fresh. Plenty of towels in the bathroom.The safe worked well and was big enough for all documents, ipods, camaras etc.Easy to catch taxi's in front of the hotel or in front of Macy's.Big cheap Old Navy store down the side of Macy's. Value for money.Area felt safe.In general, bargain for price - just beware of the receptionist mentioned above!	
Jun 22 2009 	great location ideal for the money should not complain!	The staff was ok, the lady receptionist's very helpful opposed to the males who were a little on the grumpy side. The breakie was abundant, eat as much as you like with good service. The room was large, could of done having double glazing to keep the noise out, but anyhow thats NY loud and full of life. Location was ideal, everything you want is within 30 mins walk. Ideal place if you are on a budget, dont expect the Waldorf here as you get what you pay for.	
Jun 18 2009 	Couldn't get a better location	Stayed here as part of a Virgin package for four days.Room typical city centre with one exception...a great top to bottom view of the Empire State Building out of our hotel window.500 yards to the Empire State or Macy's, 7 blocks from Times Square and the theatres.This was an ideally located hotel in the heart of the city. Breakfast pretty good also.Would recommend.	
Jun 2 2009 	Great location not so great hotel	Me and my husband did a twin holiday with Virgin going to New York and Las Vegas. On arrival to this hotel we were greeted by staff who weren't that friendly and really quite grumpy. Our room had a good view of the Empire State building but there was some building work going on outside which continued thoughout the night. When asked to move rooms staff didn't seem to care or want to help. Also the cold tap in our room didn't work and our toilet got blocked. We went to breakfast to find we had to use plastic knives and forks and paper plates and plastic cups which we drank watered down juice from. Overall the location of this hotel is great but the hotel is not so great. All we were looking for was a place to sleep and use as a base, however the disruptions in the night meant we didn't even get a good nights sleep!	
Jun 2 2009 	Location Location Location	We did read some bad reviews but were surprized that the Hotel was so good for the price paid. Virgin Holidays 4 nights including flights and transfers £600 per person, what a bargain. Hotel so very central. Good staff at reception very busy but efficient. Free Internet. Rooms Clean and OK but have a look at your room first, we gathered that they were not all as good as ours. Plenty of clean towels and hot water An old hotel but plenty of character. Breakfast OK Orange Juice and coffee and toast plentiful. I bought a jar of marmelade and took it down with me. Not much seating but we used the bar area and sat in the window..great. Overall a very good experience for four Saga louts !We ate out all the time, once you get out of the centre it gets much cheaper and the food much better. Wine £30 bottle on average. Little Italy is great for people watching. We avoided the loop bus at $44 and stayed on the public buses which were great and frequent. We even went to Harlem and got off the bus had a meal and the got back on the bus and did the complete circle. Everyone is very chatty on the bus and advice is plentyful. They only accept loose change and the bus fare is $2 each where ever you go and you can change buses as long as it is within 2 hours. Had a super break. If you want a museum then go the The Frick your mouth will drop open what an experience	
May 27 2009 	Ideal place to stay	I stayed here with my husband and young sons last week. I was a little wary after reading certain reviews so was very pleasantly surprised on arrival. The receptionist who dealt with us on arrival was very friendly and helpful - in fact, all of the staff we encountered during our stay were. We were greeted whenever we walked past reception and wished a good day by staff we passed in the corridors and lift. Our room was slightly dated decor-wise but was clean, comfortable and a good size. The bathroom was surprisingly a decent size too. Our room had a walk-in closet, flat screen TV, fridge and microwave.The included breakfast was a good start to the day - the buffet selection being cereal, toast, fruit, bagels, waffles, donuts, muffins, juices, tea and coffee - and the adjoining restaurant where breakfast is served is lovely. Tea and coffee is also available at all times, free of charge, in the reception area. There is also a guest computer and printer there too.The hotel is very well located for exploring the city. The Empire State Building is just around the corner, Macys is across the road at other end of the street. Times Square is a 10 minutes walk away (maybe less!) and a subway station is at the end of the street. Top Of The Rock is quite close by too, 10-15 minutes on foot. This wasn't my first time in New York but it was the first time I'd stayed at this hotel and I would certainly stay here next time!	
May 22 2009 	Much better than expected	After reading some of the reviews before setting off i was a little concered. On arrival we were greeted (if thats what you can call it) by the staff who hardly spoke unless it was to each other!! Once we were in the room, we stayed on the 6th floor in 609 and it was lovely, Clean, nice size, Very comfy queen size bed, View of the empire state building. Flat screen tv, nice size bathroom, safe (which you have to pay $1.09 per day for) in all pretty good. We did not try the breakfast, room service or the connecting restaurant. The location was fantastic, right between Macy's and the empire state building. Subway station just on the corner which was very handy. A wicked pizza place on the same corner (try the pepperoni roll, very nice).The only really bad thing to say which wasn't the hotels doing, was behind the hotel they are building, and banging and drilling at all hours through the night. Don't let this put you off though because In all I would stay here again for its location and cleanliness.	
May 18 2009 	Great location and a comfy stay	Me and friends decided to spend a week over New Years in this hotel and was very pleased. The room was basic but we expected it to be due to our budget and the title of the hotel. We had everything we needed though. The staff we so helpful as this was our first time in New York the receptionist got a map out and spent the next 30-45mins showing us where to go which was nice as we had in our heads what to do but he showed us the best way of doing it in the time we had.We had breakfast included in our deal which was in the resturant next door. The buffet offered everything you could think of tea, coffee, juice, bagels, toast, ceral the lot!!!The hotel was in a prime location with only a short walk to all the main sights. I would definatly think of staying here again due to the friendly staff and price.	
May 14 2009 	Excellent value!	This is an excellent choice for comfort and convenience at a reasonable cost. My room was small but clean and recently remodeled, it seems. The staff is friendly and helpful. Rooms on the streetside can be noisy, but new york is a noisy place.	
May 10 2009 	Ideal base for your holiday.	Me and my partner visited this hotel on a twin centre holiday in December '08 with Virgin Holidays (twinned with Las Vegas).The hotel is in an ideal location for exploring all of Manhattan, its very central, turn left youve got Macy's at the end of the street turn left and your on 5th Avenue and at the Empire State Building!The hotel is small and tired but as this was my first time to New York i didnt know what to expect but from what i know now unless you pay top dollar this is the norm. In all fairness it is just a base for your holiday. Eat breakfast somewhere else though! We ate breakfast in the hotel restaurant once and you had to eat from a paper plate with a plastic knife and fork! Yet during the day in the same place they serve delicious food and and drinks with great service.. couldnt work this one out!The staff in the hotel were very friendly and helpfull. But is is one of those hotels that your sat on the coach waiting to be dropped at your hotel and think 'ooh hope thats not mine' and it is!I highly recommend a full helicopter trip! Highlight of the whole holiday!	
May 8 2009 	all you could want...and shopping nearby	this was our first trip to the big apple and we couldnt have chosen a better place to stay for sightseeing and shopping , macys one way and 5th ave the other , the staff were friendly and polite and the breakfast was a bonus and not muddles or unorganised at allthe room was large (we chose a twin) and it was warm and homely considering that it was -6 outside and snowing we didnt have much of a view but whos looking for one when there is so much to do outside anywaycoffee and tea on tap in the recetption area was very welcome, and also internet access.all in all a very pleasent stayreccomended	
May 1 2009 	Great hotel very kind staff and great location!!	We stayed four days in hotel and it was realy nice expirience. We were suprised how near is Times Square. The staff were realy kind. We had even breakfast in our price, which is not so tipically for hotels in NYC. We were also suprised how quite was in room.I would definietly recommend this hotel and I we will probably come back one day in this hotel. WE LOVE NYC!!!!!!!!!!!!!	
Apr 23 2009 	execllent value	we stayed there 3 times in total,a girlie trip,a part honeymoon trip. and a cuppels trip, every thing is with in walking distance,easy to get around, a great base , getting to and from.would like some tea and coffee making facilities that would be haven on earth after sight seeing and shopping all day,also set you up first thing in the morning,with out having to go down bug eyed to breakfast, having said all that , i would go back there again after all, its location, location,location	
Apr 3 2009	cheapcomfortablecentralcleancome stay there .	I had read reviews of this hotel and wondered what on earth i was letting myself in for,even pulling up to the hotel i was rather dubious but once in the reception was greeted by the desk staff in a friendly way that put any niggling doubts to rest,lady behind the desk gave mummy and myself maps and lots of useful info and reminded us that the breakfast was complimentary .Rooms were a good size(by NYC standards) clean and had all we needed, at this point i must question the doubting thomases who complain about the rooms,what exactly are you looking for ? surely a bedroom in NYC is a base from which to explore the city,it is not known as a city that attracts people to book a room in which to stay in all day and relax,surely other wonderful cities would suit far better for&quot;getting away and unwinding&quot;. Location is spot on,empire state building to the right,macys to the left,subway a hop,skip and jump away........now what more could you need ? Others have &quot;dissed&quot;the breakfast but my mother and i were very happy with it,oatmeal,toast,bagels,cereal,buns,donuts,juice,hot drinks-a lovely choice and if that doesnt set you up in the morning then sure you can go expand the waistline and arterys all you like in one of the many diners close by. If you have booked this hotel and are now worried about some reviews then please put those worries aside,by all means it is not the waldorf astoria but if that is your usual standard of hotel then pay an awfully lot more ,but for reasonable rate stay here,(all the more spending pennies for the shops) :-) Tip: transfers can be expensive-book super shuttle,hotel-jfk 2 people 38$. hotel will give you number.	
Mar 28 2009	Great location for a tour group	I stayed at this hotel with a school group of 30 kids and would highly recommend it for its central location, close to Herald Square, Times Square, Penn Station, Madison Square Gardens, subway access &amp; plenty of shopping for our students! If you're a budget traveler who doesn't need to be surrounded by luxury to survive a holiday, and would rather get out on the street to experience the city, this is the place to stay. We liked the quaint old-fashioned spiraling staircase &amp; outside mason brick exterior; sure beats the modern-day boxy looking concrete buildings.There was a bit of construction/renovation noise to deal with but we were up early every day so that didn't really affect our visit. My only disappointment was with the breakfast buffet, which featured mostly starchy 'white food' like bread, muffins, toaster waffles, baked (not boiled) bagels, boiled eggs and 2 types of cereal. The only fruit was whole oranges and apples. This became tedious after a week and we found ourselves hunting for other varieties of fruit &amp; cereals for breakfast. There were no refrigerators in the rooms to keep our own supply of snacks.We chaperones had dinner in the pub/restaurant downstairs one night and thoroughly enjoyed our meal. The place sure was hopping on St Patrick's Day!	
