	Nice hotel	I agree with great service and very nice room. We upgraded to a one bedroom suite and it felt like we were in our apartment in NYC. A nice apartment at that. Everyone was very helpful.Now onto the opinion side of things. This is a great hotel if you want to be in a residential part of NYC and not close to the big attraction. If you want to party, stay in the meatpacking district. This is not a party hotel. It does have a nice bar downstairs, but you are not getting in at night just because you stay there. The rooftop was a dissapointment because it was enclosed and stuffy and not much of a view. If you wanna party ,stay at the Standard. If you want a rooftop, check out the Gansevoort. This hotel just seemed dark and stuffy. The W-Union Square, which is close by and closer to hustle and bustle, looked more airy and more people hanging out in lobby.I think I was just looking for a little bit more fun hotel. This hotel is a good place if you want a quiet getaway to NYC and want to stay in your room. Which I don't know who is looking for that? Celebs that don't want paprazzi? It is a &quot;nice hotel&quot; just not what I was looking for this time in NYC.	
May 18 2009 	A change for Schrager it really works....and yes I bought the t-shirt	Stayed at the GPH and have to say it was terrific. Service was spot on from getting out of the taxi til the time I left. Brilliant design that is nostalgic and timeless but not in a glamour way with all things bright and shiny and new. More of a mansion from &quot;Gangs of New York&quot; with untreated timbers and rich, dark, ripe colours and hues. The rooms are dark, there are dimmers but if there was a suggestion is that you should be able to turn up the voltage in the bathroom. Shaving was a little more difficult than usual. All other elements very comfortable, excellent minibar (bought the art t-shirt as a last minute gift) Had drinks in the bar and the list was interesting and well thought out. Location worked for me because this time I had stuff to do down town. I have previously stayed at W Union Square but actually prefer this now. The only downside was the gym with the low ceiling and limited equipment. I'm hardly the jolly green giant but I felt it was compromised.Apart from that, loved it. Will return.	
Apr 25 2009 	Unique Hotel	I've read some of the negative reviews and had to add my opinion. I have stayed at the Gramercy Park Hotel twice and find it unique, interesting...and SO much better than almost every other NYC hotel I have occupied. The rooms ARE dark, and yes, I had to call for extra soap as well, but the location is great, the service is wonderful and the rooms comfortable. I have no reservation recommending this hotel.	
Apr 24 2009 	Sexy Chic Hotel	We spent 3 nights here in January w/ Amex Platinum card with the 3rd night free-so they give you the room upgrade, free breakfast, and a complimentary lunch. It is such a chic, beautiful hotel, with amazing original art hanging in the lobby and bars and located in a great area--Gramercy park, which is such a nice area in Manhattan. You feel like you are in a private club when you are here. Yes it is very expensive--the Jade Bar is so expensive for drinks and the Rose Bar is by reservation only whether or not you are a hotel guest--celebrity spot--one night we were there we saw Kate Hudson, Sean Penn, Josh Brolin, and Anne Hathaway. A round of drinks for 2 can run you minimum of $40 ( unless you get beer). The Rooftop bar is open only for hotel guests and their friends. It is one of the most beautiful hotel rooftops in Manhattan. From Breakfast to sunset drinks its awesome. The service is great here also, and very attentive. We brought our own bottle of Veuve Cliquot Champagne for a special occasion and they let us have it in the rooftop. Nice staff, beautiful hotel, would definitely go back again.	
Apr 23 2009 	LOVELY - GRAMERCY PARK HOTEL	As a seasoned luxury traveler, I expect a quality product and greatservice at the hotels I choose - especially in major metropolitan areaslike New York. I stayed at Gramercy Park Hotel recently and receivedjust that. A lovely property with spectacular design and a team ofemployees that were just as nice as possible (especially the Front Deskand Concierge). What a gem!	
Mar 28 2009 	Over-rated Ripped-Off Fed-Up	Unfortunately, read the latest reviews here and trust them - I wish I did. This hotel does not deserve 5-stars but does deserve the disapointing ratings listed here. We arrived at 4:00 pm (after having informed the hotel that we would likely arrive then) aftter a long transatlantic flight and were told that our room was not ready but that if we paid 150 USD more per night we would get the next category of room right away. I told them that we were insulted by this and that we reserved a month earlier , reconfirmed and were disappointed to have to wait. They told to wait in the bar - where they did not offer us water, tea or anything - instead we paid 11 USD for a beer and 9 for a water and waited 20 or 30 minutes for our room. The internet noted that the rate for our room was 452 per night with a special for every other night at 50% discount. We were charged 595 per night (with 50% on the second night) - when I inquired why not the internet rate we booked I was told that if you do the math the actual price per night is 452. The internet info was highly mis-leading. The room was okay - nothing impressive and VERY dark and certainly not worth 595 per night. The bath area opens into the room and is very small and too dark for putting on make-up. I had to ask for body lotion and they never refilled the shampoo or lotion during our 5-day stay. We only had one roll of TP, and had to call to get more. There is no room for anything on the bathroom counter and towels and tissues are placed under the sink. No amenities like cotton swabs or nail files. The table in the room was placed in front of a sofa - fine for relaxing but terrible for working. No working light, no electrical plugs for a laptop, telephone charger, etc. This is not a good hotel for a business traveller - the business center is literally a small closet off the front desk - only room for one person at a time at a tiny desk. They charge 16 USD per day for using internet in your room. But the hotel bed was comfy, though. If you don't have advance reservations, you can't get into the bar for a drink. We asked if we could have tea or wine on the sofa in the lobby - absolutely not - the only offer was to make us a bar reservation for the next night. The roof-top garden area is lovely for breakfast, but costly! Two orders of egg benedict, coffee and juice was about 125 USD. On the internet the gym looks great - but it is a small room with 2 &quot;nordic trainers&quot;, 2 treadmills, 1 recumbant bike, a couple of weight machines. The hotel has some nice art, the lobby is small, not much personnel around. The employees and bar guests are all in their mid-20s. When I asked directions to the Gramercy Tavern (nearby well-known restaurant I recommend ) the casual girl at the front desk pointed right and said go left a couple of blocks but didn't know the names or numbers of the streets - she didn't seem to have a map to offer. She really didn't know where to send us or offer to call but we managed to find our way there with help of asking passing pedistrians (the clerks directions were completely off!). The hotel is in a fun part of town, if you want to pre-book to hang out in the bar with the young and lovely you might find the hotel worth staying at - and if you like dark, slightly dank rooms that feel like your old Aunt Edna's parlor (complete with lacy throw on the sofa and kitchy chairs) and you like spending a lot of money for not much, then this may be the hotel for you. If you can't get into the bar to pay 20 USD for a GT, you can relax in your room with one of the only free things in the hotel - the loan of a DVD from their collection. Oh, they don't leave newspapers on your door, and when I left shoes out to be shined the night before, I had to call in the morning to get them back. And when we sent laundry out with normal service requested they tried to charge 50% for express.	
Mar 26 2009 	Overrated	Ian Schrager treatment so hip yes, worth it ? Negative. Not only overpriced, hotel is cheap! 1k per night for penthouse level but one bar of soap and had to call for a bar for the shower and had to call for lotion. Get this; $70 per night to valet park your car? Give me a break. Bright spot is the Rose Bar which you must reserve with concierge even if in residence. Rose Bar on Wed. is Okay but DJ a litle strange. Thursday night is a different vibe and definitely filled with hotties. I did resent being asked to give up my seat so a large party could be seated. At these rates plus $20 martinis, NO ONE should ask me to move anything. They should be plying ME with drinks and stand over me with a fan.	
Mar 24 2009 	Don't even consider this hotel. It is awful	Uncomfortable, tiny cramped room switched for mucho moolah to a bigger dorm-style room with still the same tiny cramped cold bathroom! They redid the decor--frightful--but left the old NYC bathrooms intact. The room was very COLD and we couldn't get the temperature to rise. There were no shampoo, conditioner, body cleanser or body lotion, we had to request them--TWICE--because the front desk insisted we must have missed them (we didn't). We even had to ask for toilet paper because it ran out after two days and there was no replacement. Overpriced. Overrated. Not a find. Should not be in this class of hotel.	
Mar 15 2009 	Love it!	What a unique place. My room was fabulous, although a little dark. Bathroom on the small side but on the whole - the room was superb. Huge, comfortable beds &amp; beautiful crystal glasses for the well stocked mini bar. Bar was a great scene on Friday &amp; Saturday. Highly recommended. This place is cheaper than the St. Regis by far - and does not skimp on quality. Oh and the staff were extremely helpful!	
Feb 22 2009 	Hated It	Booked for 2 nights on expedia. The place looks nice but it's like a movie set. Lots of pretty coverings but underneath--ecch. The air conditioner kept me up the whole night. When I told them I wanted to leave, they said they would take care of the bill for the 2nd night with Expedia. I believed them. BIG MISTAKE. They lied. Plain and simple. Took me DAYS to unravel the whole thing and finally get my charge taken off my credit card. The people at the front desk were NO HELP when I called. As if I had never been there. GPH is a BIG RIPOFF. If you're 20 years old with tons of money to spare and no taste, then you will like it. There seemed like a lot of partying frat types running around the halls. Save yourself the headache and have a drink there if they let you up to the roof garden. But don't stay there.	
Feb 18 2009 	A superficial shambles completely lacking in style	The one positive thing I can say is that this place and its staff look pretty and are situated in a great location for walking (or taking quick cab journeys) to the best bits of the city. I wish I'd read some of the reviews on here before I booked... in retrospect, I am not surprised by stories of people being served drinks in broken glasses in the Jade Room or being left to see in the New Year on the freezing pavement.The Gramercy is, of course, primarily a hotel so – before turning to the “extraordinary” entertainment facilities – here is what hundreds of dollars a night can buy you: tiny bathrooms with brown running water that is intermittently too hot or too cold, broken bathroom taps, a heating system so noisy it wakes you up, towel rails that fall off, internet access at $16 a day, and further unnecessarily extortionate charges just to listen to music on the in-room entertainment system.The Gramercy, however, likes to market itself as more than a hotel, with its “original and exciting” spaces with “unique” atmospheres: The Roof Club, The Rose Room and The Jade Room. We spent 4 nights at the hotel, and the Rose Bar was booked out for private events every single one of those nights (the Jade Room, by the way, is not a separate bar; it is a small entrance hall to the Rose Room, where you can get a drink). This meant no access for hotel guests, although the concierge told us we would be able to get in after 1am, which actually suited us. At 2am we returned to be told - quite rudely - by the doorman that there was no way we were getting in until later. We did have access to the Roof Club (although on one night this closed at midnight, meaning there was nowhere for us to go in the hotel for a drink). I’m sure the Roof Bar is lovely in the summer, but in winter it is totally lacking in atmosphere, has a terrible soundtrack, and is serviced by the Gramercy trademark of beautifully bland waiters. The Roof Club is the acting hotel restaurant. There was an extremely limited food menu and the (pretty frosty) waitress told us that this was because the menu was totally separate from the room service menu (despite all of the items clearly being taken from the room service menu, cooked in the same kitchen, by the same people, in the same hotel). We did stop by the Rose/Jade Room during the day for a quick post-shopping snack to find the same deal: a slightly different, very limited menu, again with everything appearing on the full Room Service menu and therefore being cooked in the same kitchen, by the same people, in the same hotel, but with no flexibility in ordering.We sat at the bar, where the barman and a couple of staff talked very loudly about how crap their jobs were, how boring it was working there during the daytime and how dull the guests were – a laughable error considering one of our party is a travel journalist for a national broadsheet. These miserable failed models could not care less that we were in earshot. Admittedly, we were more interested in talking to each other than entertaining the staff - our mistake, clearly. How this place manages to encourage people to continue to spend money for the privilege of staying there is simple: it’s got a very good PR agent that gets it onto ‘hot lists’, and has a doorman that makes it difficult to get into the (overwhelmingly disappointing bar) in order to maintain the hype. In reality, this place is both run and patronized by people who have no idea what true style is. There are many ways to spend your money in NY; I urge you not to do so funding this superficial shambles of a hotel.	
Feb 16 2009 	Where's the amenities?	My husband and I just returned from a Valentine's Day overnight at the GPH and we were very disappointed. We chose this hotel because our dinner reservations were downtown and thought it would be more convenient. Also, the last time we stayed overnight, we stayed uptown. We will not return to this hotel. We were triple upgraded to a one bedroom suite and at checkin thought this was awesome. Well, not so awesome. The room itself was really cool. Great art, great colors. The bathroom was horrible. The toilet was on top of the shower. I felt like I was on a boat. The shower was not a separate stall but a bathtub/shower with a curtain. A curtain, yuck! The water pressure was great but so strong that it created a wind effect that caused my husband to do a dance in order to avoid contact with the shower curtain. Turndown was a joke. No slippers, no water bottles next to the bed, the towels used to clean up the tons of water from the shower incident were not replaced and the tissue box was empty. How is that service? We recently stayed at The Lowell and can tell you that the luxury and contrast is like night and day. While the rooftop bar was awesome but visiting it is not worth it if it means having to stay at the hotel.	
Jan 6 2009	"Dropped the Ball on New Year's Eve" Part II	I was the other shivering person in the incident described in the review below mine (&quot;Dropped the Ball on New Year's Eve&quot;). Thought I'd chime in too, but want to make clear this isn't some *other* incident that the hotel screwed up. I'm just elaborating.I'm the one who booked the reservation. I've stayed at GPH before -- more than once -- and liked it.I had already booked a regular room there for NYE but then received one of their marketing emails for a special New Year's Eve package, which required upgrading to one of their suites. Suites are often (not always) a bit wasted on me -- I don't throw wild parties or live like a rock star or do illegal things in the bathroom -- so the only reason I changed my reservation and upgraded was because of the special bells and whistles that were supposed to come with this special, super-cool NYE package. The two bells and whistles I cared about were (1) guaranteed access to the Rose Bar and (2) late check-out. I was perfectly happy to pay a premium to ensure that we wouldn't be standing around freezing our asses off not getting in anywhere at midnight on New Year's Eve. Which is exactly what happened, after two different staffers turned us away from the Rose Bar and we ended up listening to the count-down from the street (failure #1.) The staffers had never heard of this NYE package, or the guaranteed access part of it, and they didn't bother to check internally to find out if we could possibly be telling the truth (failure #2).By the time I found a manager who said that &quot;of course&quot; access to the Rose Bar was part of the deal, midnight had come and gone. Failure #3: no attempt to make amends. Not even a comped glass of champagne.Failure #4: even though that particular manager knew that this had all gone pear-shaped for us, there was apparently no communication internally about what had happened or any kind of hand-off to the day shift, because when we checked out the next day, the other person on duty was surprised to hear my reply to the standard-procedure &quot;how did you like your stay?&quot; Failure #5: When I told her about the Rose Bar problem, she offered to comp us breakfast, but then realized that breakfast was supposed to be included in the rate as well. (When no other offer was forthcoming -- all while she's finalizing our bill and closing out the valet parking -- DoINeedAVisa suggested that it might be a nice gesture to comp us the $50+ charge for the valet parking, which she did.) Failure #6: She asked why we were checking out so early when our rate gave us a check-out time of 2. I told her I had asked expressly about check-out time the night before and had been told noon. (She was sorry about that too. She did offer to let us stay in the room, but we'd already cleared out by then.)If I had wanted to be a hard-[--] about this (and I never am in these situations, I just vote with my feet), I would have expected the following: comp us the room for that night, or offer us a room on the house for some future stay. I had such a great time overall on NYE that I wasn't in the mood to have some hissy-fit with the front desk over a hotel snafu. But DoINeedAVisa and I agreed it made sense to share the story here, since we both benefit from TripAdvisor reviews regularly.In the meantime, it's back to the Mercer for me, although I'd gladly return to GPH just to hang at the Roof Bar.	
Jan 3 2009	Dropped The Ball on New Years Eve	The Gramercy Park is a gorgeous hotel, and its roof club is perhaps my new favorite place to hang out in the world, but they made a completely unacceptable error on New Year's Eve. We reserved a package that included guaranteed access to the Rose Bar (and double-checked that this was the case), but when we showed up at 11:55 on NYEve no one seemed to have heard of this package and we were refused entry at two different doors. We ushered in the new year shivering on the sidewalk in front of the bar.The next day the hotel made several good faith efforts to recover from this lapse, including comping our breakfast at the roof club, but still...	
Jan 1 2009 	Polished friendly and comfortable	Unlike many boutique hotels, I found the staff at the GPH to be extremely friendly and helpful. They were all young and cute, but they had none of the attitude that you often find among the ranks of the stylish youth that seem to run the world of hip hotels.The hotel itself did not disappoint either. Arriving for a long weekend right after Christmas the lobby could not have been cozier with a fire in the oversized fireplace and a beautiful twinkly Christmas tree. In fact, all of the public and private areas of the hotel were not only stylish and beautifully decorated (with a great art collection) but everything was in pristine condition. Perhaps it is the relative newness of the hotel, but it is rare to find a hotel where all of the finishes are intact, nothing is worn, no stains or chipping, or scuffing.Trying not to spend a fortune on a hotel in NYC, four of us stayed in a double/double which was surprisingly big and comfortable. Like the rest of the hotel, the room had a &quot;dark&quot; feel to it, but unlike other dark boutique hotels, there was plenty of lighting by the beds and the desk. where it is most needed. Nothing I hate more than not being able to read in a hotel. That was no problem here. The room was beautifully decorated, with plenty of closet space, comfortable chairs, big TV, beautifully stocked mini-bar with very nice crystal and other accessories.The rooftop lounge/garden is truly spectacular. Very cool, comfortable decor, lots of different places to sit--although not much light to read in the interior lounges--a great place for a delicious but pricey breakfast or a delicious but pricey martini ($19). The bar off of the lobby is also great space that requires reservations after 10 pm.The fitness center is small but very nice and complete. Various free weights and weight machines, punching bag, about four cardio machines overlooking Gramercy Park.Another perk of the hotel is access to the private Gramercy Park. Open only to residents on the square and guests of the hotel, it is a wonderful green oasis. With an unseasonably warm 63 degrees on a December day, I spent a half hour sitting in the park with a book. Make sure you bring your cell phone, however, the staff not only have to walk across the street to let you in, but they also have to come back over to let you out.Although the rooms were very quiet, we were on the 17th floor just below the rooftop/lounge garden level which meant a bit of furniture moving noises late at night and early in the morning. It didn't really bother us much, but light sleepers or the easily annoyed would probably have had a fit.We booked directly on the hotel website using a non-refundable, advanced purchase rate saving a little more money. With no actual contact with the hotel staff I was amazed that all of my requests were honored (high floor, no feathers, non-smoking, New York Times in the morning).A great stay.	
