	Will not say Good ... just OK types	Travel Time: November 2006Reviewer : Gaurav KumarI happened to Stay at this hotel during a business trip to New York. I stayed here for about a month. It was convenient for me to stay at this hotel as this was very close to my office, which was at 1180 Avenue of the Americas.The location of this hotel is excellent as it is at walking distance from Times Square, plus being in Manhattan has a lot of eating options around it.The was comfortable although the staff wasn't very courteous (at times even rude). After Check in I discovered the phone in my room was not working properly. I was unable to take calls in my room, On complaining I was told that this is a problem which only the IT could handle and the next two days being a holiday, it would be done only on the third day.They could not change my room as no rooms were available in the category in which I had a booking. I had to run down to the reception to take calls. Anyways after two days when the IT guy finally came in, I was told there was some wiring problem which would take another day or two. I finally had to put my foot down and after a lot of arguments I was finally upgraded to higher category room :) Leaving this aside the stay was OK.	
Sep 24 2009 	Would stay there again for sure	Great Location. 2 blocks from times sq. East walk to subway. Very Clean and comfortable. the staff was always on the ball. it has onsite dining and a lounge perfect for meetings. The gym could be a bit bigger and have more equipt but it had ice cold water dispenser and that was great. The rooms were small but comfy and the desk workspace was just perfect. I will stay ther again. Great wireless internet for free too.	
Sep 23 2009 	Clean and great location	Smaller than expected rooms, but we didn't spend too much time in the room. The staff was very helpful and courteous. The hotel was 3 blocks away from Time Square and 3 blocks away from Grand Central Station. Simple and worth every penny.	
Sep 23 2009 	Great location clean and comfortable	I read some of the reviews of this hotel before we left and frankly was not expecting a good experience... Well I'm delighted to say we had a very pleasant stay. The staff were friendly and helpful, our standard room was more than adequate and comfortable, bathroom very clean and shower efficient. The location is excellent, a short walk to 5th Avenue or Times Square. Only complaint...the lift is rather slow!	
Sep 18 2009 	Great Place to Sleep...not Stay	There's a joke amongst business travelers who stay there that the Club Quarters to them is the Close Quarters. The rooms are so small and cramped we confused the closet door for the room door several times. The Internet didn't work. The location was great, service wasn't too good and the rooms are great if you are not in them awake.	
Sep 10 2009 	Excellent Location	This hotel is in an excellent location only minutes walk to times square. Rooms:- I had booked a studio and ended up with the executive suite 5th floor room 508 &amp; 509 which in essence were two identical rooms with queen size beds in each room &amp; a desk, they had seperate doors and then a single outer door which we did not have a key for so this was a bit strange and annoying as when we went out you had to clip the outer door open and close both the room doors having two keys . We asked to be moved but they could only offer a much smaller room than just one of the rooms we already had, so we had two rooms and pinned open the doors to move around between them more easily.We overlooked the air con units which were quite nosey and our air con in one of the rooms was faulty, but staff fixed it asap when informed.The rooms were very dusty but bed made by staff and clean towels every day if you wished.Staff appeared miserable but they did help if asked.	
Sep 9 2009 	Not terrible but impersonal	I am currently staying here.The pluses - low price as I do my part to save T&amp;E expenses for my employer, great location, delivery menus for nearby restaurants in room, clean room, free wireless interenetThe minuses - impersonal - staff do not reply when I say good morning. I was directed to a computer to check in. OK with me. I do not need the staff I guess. No closet in room which is small even for NY standards. I do not like hanging my clothes from hangers on sticks protruding from the wall and have no choice.. Temperature control on air conditioner is there but ignored and I freeze, cheap poly blend sheets and pillow cases, I wake up itchy. Maid does not replace or add new soap or shampoo so I have gone two nights so far with my mini supplies.If you are on a super budget and get a good price stay here - otherwise, skip it. I would pay the difference out of pocket next time to be more comfortable.	
Aug 21 2009 	I Luv New York 	Spent 3 fantastic nights at the Club Quarters Midtown location. I had previously stayed &amp; really enjoyed their location on Wall Street but wanted to be closer to all the action in Times Square so decided to try their Midtown location. My friend and I had a wonderful experience &amp; I recommend this hotel highly. First it's very, very clean, including the bathrooms. Also, the sitting room is beautiful &amp; there are 2 computers with free internet use. They also have a tiny gym with all the free bottled water you can drink. The location is perfectly located close to all the major New York attractions &amp; amazing restaurants. Don't forget to eat at Junior's restaurant but make sure to go when you're really really hungry because the portion sizes, including a regular cup of coffee are gigantic but the cheesecake (some many different kinds to choose from) is to die for. I visit New York all the time &amp; really enjoyed myself on this visit. Also, the hotel is very quiet especially at night even though it's in the heart of the downtown. Do visit this hotel, i'm sure you'll enjoy your stay! Thanks Club Quarters!!!!	
Aug 16 2009 	Great Value for Money	Got this room on Priceline for a steal in March 09. Stayed for 5 nights. Hotel location on E 44th Street couldn't be better. 5 minutes from Times Square, 2 minutes from the nearest station Bryant Park station (if I recall correctly). Hotel check in was automated... however, we had some problems, as the credit card name didn't match the booking name. So make sure this is correct when making the booking. We booked a standard room but I believed we were upgraded to the next room category has the room was LARGE with plenty of space. Bathroom is a bit tight, and shower was tempermental, but nothing serious enough to warrant a bad rating. Tiny window at the back of the room which offered little light. There are also two internet terminals and printer at the lounge for guest use. The lounge also offers free coffee and tea every morning. The cafe directly opposite the hotel is excellent. Although we booked and paid online through Priceline, when we checked out, the hotel charged us again. We had to email the hotel to reverse the charge... and we lost some money due to forex fluctuation. Unnecessary hassle which should have been avoided.If you are using the hotel just as a place to rest your legs after being out the whole day in wonderful NYC, you couldn't do any better than this. Location is ace. I would come back to this place again if I can get the wonderful rates I got on Priceline.	
Aug 14 2009 	Poor service - Expected better after reading the reviews	Downside: I booked a standard room 3 weeks in advance and confirmed my reservation a week before hand. We arrived at the hotel front desk at noon and was told that no rooms were immediately available as they needed to be cleaned. We left my bags at the hotel and went out for the day. We arrived back at the Hotel at 11pm and was then told that all the standard rooms were taken and only club rooms were available. Why did they not check me in as soon as a room was available? Well, they didn't have an answer. People at the front desk were not friendly either. The club room is very small - use this only if you're staying alone.Rooms are not well insulated from noise and my neighbours were very noisy. I could hear the entire movie being watched in the adjacent room. Don't get a road facing room; its very noisy - lots of hooting. Hotel is old and plumbing is not great. Had a problem with the tiolet not flushing. The plumber was not quick to arrive, but he sorted the out the problem quickly after he arrived. Upside: Rooms were clean and neat. Location is good - close to 5th ave, rockerfeller and times square - but so are many other hotels.Verdict:They had offered a 10% discount for my next stay at the hotel, but I would pay more and stay elsewhere. We stayed at the Marriott Courtyard on 40th street on our first visit and we should have paid the extra few $ and had a far more pleasant experience.	
Jul 25 2009 	Great quality for great price in the center of NYC	Very comfortable room with soft bed, table and chair. Free WiFI. Coffeemaker with coffee.But it's not all that important, because it's a great value and it's located in 5 minutes of walking from TImes Square.	
Jul 9 2009 	Great value and location in Manhatten	Although the room I had on my first night was very small and had a 'view' of a brick wall and a bunch of air conditioning units, I moved to a higher floor for the rest of my stay and had a perfectly nice room -- large comfortable bed, decent desk to work at, and a nice modern bathroom. The staff were helpful in giving me directions and arranging for a ride to the airport upon departure. At times the elevators were very busy -- many time there was only one working, leaving one small elevator in service for the entire hotel. The only unwanted noises I heard were the slamming of guest room doors (on the up side, there was no risk they were not going to close and lock behind you as you leave your room). There was also a small technical problem with the Internet printing service the hotel had. It didn't work, and the lady at the front desk had little clue about it. They have two PCs in the lounge on the first floor and a laser printer, so I just brought down my documents on a USB stick and printed them there. A few doors down from the hotel is a great Kosher restaurant, the Milk'N Honey. It was where I went for breakfast every day (http://www.milknhoneykosher.com/).	
Jul 4 2009 	Clean small biz hotel	Good corporate rate. Clean rooms. Okay sized rooms. Free internet. Perfect for crashing at night - don't expect to spend much time in the building. Great midtown location. No soap or shampoo so stop by CVS.	
Jun 30 2009 	Location location location (plus service)	There have been a few reviews here of this property criticizing the concierge/desk personnel for being unfriendly. I didn't find that AT ALL. They were welcoming, warm, helpful, and eager to assist me in any way during my stay. I got a good rate on this hotel through Priceline and I was very pleased with the choice.The location is great -- walking distance to many places (I walked to/from Times Square, Rockefeller Center, and Grand Central Terminal, among other places), and centrally located to uptown buses (Madison Ave) and downtown buses (5th Ave) as well as subway stations (Times Square and Rockefeller Center).Housekeeping on my room was great, and the room was very quiet, larger than I expected, and I loved the free internet. I also liked that I could turn on a &quot;fan&quot; with the AC system, since it was chilly enough (even in June) during my stay that the AC didn't &quot;want&quot; to turn on -- but I wanted the moving air and the fan setting let me have it.I loved having the refrigerator and microwave in the room as well (I was in something the website calls something like a &quot;suite&quot; or &quot;minisuite&quot; or &quot;junior suite&quot;). I used the hotel's shopping service to bring in some sodas (so I wouldn't have to haul them around myself) and that worked well. This business center and free printing were great!I recommend this place -- and I think (maybe because of the reports here at Trip Advisor) they are working hard on coming across as more &quot;friendly&quot; to guests. I was very pleased.	
Jun 25 2009 	Excellent location and friendly staff made this an A+ experience	Stayed at the Club Quarters Midtown May 26-30, 2009 after winning a bid on Shatner's website. Hotel is in a prime location between 5th and 6th Avenues, seconds from 5th Avenue shopping and just a 2 minute walk from Broadway. Unlike other reviewers we had nothing but polite and helpful attention from the staff. They walked us through the semi-self check-in process. Elevators were tiny but we and our luggage fit just fine. Our room was cozy - typical for a NYC hotel room - and we never felt cramped. Plenty of storage for our stuff. Bathroom was small but reminiscent of a cruiseship bathroom - ingenious storage and room for everything. Room had two windows that faced an unattractive inner courtyard - but we were not staying here for the room view. Comfortable bed, extra pillows upon request and room was spotlessly clean. Free wifi worked at all hours. Absolutely nothing negative to say about this hotel and we would stay here again in a heartbeat.	
Jun 9 2009 	Great Hotel/ Location/ Love it!!	We stayed at CQ for 5 nights, walked in and service was great. The employee at the front desk was very friendly ( I was a little worried from other reviews) but he was great. Showed us how to use the self check in... Went up to our room on the 4th floor. Got to our room, it was lovely... Everything that I had thought it would be and more. The room was a little small but I expected that. There was a cute ( not working) fireplace against the wall... the washroom was clean... was a great deal! The first day we left the shower matt on the floor which attracted ants, we call the front desk and within minutes there was someone there cleaning them up and getting rid of them! They never returned! Other then that... which really wasn't a big deal the hotel was great! On the last day we did the self-check out and they took our bags as we were flying later that night. They advised to return at least 10 mins before we needed to leave so that they could go get them... we returned... no issues... did not cost more money. Great!This hotel is awesome! Walking distance to everything/ small enough that you feel like you are in a boutique hotel! The room was clean/ comfortable... I would stay there again and recommend it to anyone and everyone! We had a wonderful trip to NYC! Thank you CQ!!** Head down to Hells Kitchen on 9th Avenue for dinner... its only a few min walk and there is some amazing food!	
Jun 5 2009 	Nice hotel in great location	We thoroughly enjoyed a one-week stay at the Club Quarters Hotel, located in the heart of NY Midtown. 5th Ave is just around the corner, in walking distance to the Empire State Building, Times Square and Central Park - not to mention all the fine shops and restaurants.Some reviewers seemed to have issues with the hotel staff, especially the personel at the front desk. Although the employees didn't appear to be very friendly (e.g. didn't greet upon entering the lobby), their use for the hotel guest is rather limited as all check-in and check-out procedures are totally computer-based. As far as the room service staff we were very satisfied as they were extremly helpful whenever additional items such as towels, toilet paper, etc. were needed.We didn't make any use of the breakfast arrangement as it didn't seem to be worth the price ($5 for a bagel, an apple and a bottle of water). Just opposite the hotel is a nice café which offers a large variety of whatever your heart desires - quality and pricing are good.The only thing rather annoying was the extremly loud air-conditiong system located in the back yard of the hotel. The system ran day and night, mostly at high speed. Unfortunately all rooms seem to have windows facing that particular part of the building. However, as touring NY demands such a great deal of energy from you we fell asleep immediately and didn't notice much of the noice.All in all Club Quarters Midtown is a great place to enjoy your stay in New York!	
Jun 3 2009 	It's all about location	We took a trip to NYC to catch a couple of Broadway shows and from the hotel it is a short walk to Times Square. For the price, the location was excellent. Could we have found better? Probably...but we probably would have paid more too. There is a desk by the front door which was always staffed everytime we passed by it but the only time we actually dealt with the staff member there was when she motioned us to the kiosk to check in and out of the hotel. We never saw any other staff in the hotel the entire time we were there. So if you are someone who relies on hotel staff for anything, this is probably not the place for you.The hotel is old and showing some wear. The elevators are tiny and slow. The lighting in the hallways and in the rooms was a little on the dark side as well. The rooms were small but clean. Ours had a small sofa in it along with a small kitchen-type area where there was a sink and a small refrigerator. The bathrooms were clean but it looked like they made a very sloppy repair on the tile on the shower floor. It also looked like they made a repair in the ceiling in the room but used glossy paint instead of flat paint so they ceiling had a few odd paint streaks. (See pictures.) There is a large room on the first floor just past the elevators that had 2 computers for public use. We were able to check our e-mail from there.Overall it's a fine no frills hotel with a fantastic location. I would not hesitate to stay here again.	
May 26 2009 	Fine hotel in good location	This is a good base to explore manhatten. On a side street between 5th and 6th avenues is is quiet but central enough that you can walk everywhere in midtown. The rooms were small but functional and the staff were helpful.	
May 17 2009 	Horrible Experience	Terrible customer service, overbooked on rooms, flat out lying. Lots of better more reliable hotels nearby.	
May 11 2009 	Perfect Location!	Could not be happier with our stay at Club Quarters Midtown. The location was perfect. We were just a short 1 block walk to Times Square, Grand Central, and shopping on 5th Avenue. Having everything at our fingertips made our weekend in NYC very enjoyable. I would def. recommend and/or stay here again. The room appeared to have been recently updated. While it was a small room and bathroom, we were not in the room except to change/sleep, so it suited us just fine. Very similar to European hotels we have visited before.	
May 3 2009 	Okay - nothing great nothing horrible	The room was clean (halls smelled though of insecticide - just like my old apartment building when I lived in Manhattan). It was small but certainly adequate. Location is good. Service is non-existent. When you can get someone they are not the most polite. If you get a great price, great. If not, you might as well go somewhere with an actual staff.	
Apr 18 2009 	Great value for the location	I had never stayed at a Club Quarters so I wasn't sure what to expect. I got a terrific rate (~$140 including all taxes) on Hotwire. Turns out that I had a wonderful experience and I would definitely stay at a Club Quarters again. This one is in a terrific location just off of Times Square - very close to everything but not in the immediate gridlock of people, traffic, and noise so it was a nice reprieve from the chaos outside. The lobby is basic but professional, and the rooms are clean and well-kept. The only negative commentary that I have is that there are only two (very tiny) elevators so it may take quite a bit of time to go up and down to your room. Also, I had left my bags earlier in the day since I arrived before check-in; someone was supposed to bring them up in a few minutes - and I had to call a half hour later to tell them that I needed the bags b/c I was going out for the evening. All and all, though, I would encourage people to stay here - it's definitely significantly cheaper (even at the full price rate) than many other hotels in the area and it is just as good (if not better) than most of them.	
Mar 9 2009 	Good location	Stayed at the hotel over the weekend and found it to be a pretty good place. The location is tops about five minute walk to times square and a minute or two to fifth avenue. Reception is pretty basic with just one person to help with a self check type system, but it was quick and easy. The room was very comfortable and quiet, maybe a bit small by US standards but not small like main European cities. Overall it was great value for money.	
Mar 7 2009 	Couldn't believe they charged extra for my husband	We stayed in this hotel on Valentines weekend. We had reserved the small suite as my daughters were with us. On check in we were told that there was a $20/per person/per night charge for my husband and two daughters! That increased the price an extra amount, and we could have stayed in a much nicer place. The suite was tiny, bathrooms were tiny.Good thing we had lots to do. Won't be staying here again	
Feb 23 2009 	Club Quarters MidTown - Great Spot	We had a great time in NYC over 3 days, and stayed in the Club Quarters Midtown location --- a great spot located near Times Square, the theater and movie districts and good restaurant options in areas like the Hell's Kitchen section of NYC. Close by Grand Central and Subway spots, the room was modestly size but plenty big for the two of us. Staff were very service oriented, and the one time we dined in the hotel it was very good and the price most reasonable. We had a few room hiccups, but each time they were quickly corrected and the service staff were very cordial and helpful.	
Feb 21 2009 	Great Location in NY	Only stayed here for Valentines night but was very glad we chose this hotel on our quick stop. The location is excellent being just a block away from Times Square and within easy walking distance of numerous sites including Grand Central Station, Rockefeller Center and slightly further Central Park. There's a handy Starbucks across the road and the parking garage we used was on the next block ($42 for 24 hours).Booking in was hassle free just a case of entering our names onto a kiosk and printing out our key cards. The room although small was functional and clean. The view was terrible and the bathroom tiny but it's all exactly what we expected for the location and price.Overall it's a decent 3 star accommodation and ideal for a couple of nights, if your staying longer and plan to spend any extended time in your room (why would you in New York?) I'd choose somewhere a bit further out with bigger rooms and bigger prices.	
Feb 19 2009 	Very good location and price rocky start	I stayed at the Club Quarters Midtown New York from Feb 14 to 18th and I would like to say that the hotel was a pleasant surprise due to previous problems with acommodations in NYC in most famous locations. However, I was a little bit worried when arriving since the room I booked online on the hotel own website was not available. I was told that the previous guests had not left when expected and that I had to stay in a smaller room, cheaper. I said ok but could not lie that I was worried about this rocky start and the possibility that I was not going to be able to get a room after a 10-hour flight . After this small inconvenience, however, the stay was extremely good and the hotel services quite upstanding. In NYC it is very hard to find good hotels with reasonable prices and quality rooms, service and housekeeping and the Club Quarters provided it all. Also, the location is perfect for work and leisure.	
Feb 3 2009 	This hotel is an excellent deal!	We arrived in New York on Jan. 16, a record-setting cold day...13 degrees! Though we arrived at Club Quarters Midtown earlier than 3 p.m., our room was ready and we were able to check in. Having read earlier reviews, I was concerned about the staff, but everyone was friendly and responsive to our requests. We asked for a rollaway bed, which was brought promptly, and a problem with hot water was quickly rectified. Yes, the elevators are tiny but this is a minor inconvenience.Club Quarters Midtown appears to be an older hotel that has been handsomely restored. The rooms are very clean and the space more than adequate for a city in which you are only in your room to sleep and shower. The location couldn't be better, within easy walking distance of shopping, shows, everything you could want. We didn't eat in the hotel restaurants, but liked Cafe Manhattan across the street for breakfast and deli items. Nation, a few doors down, is a relaxed neighborhood bar with good food and knowledgeable servers (hi, Josh!).Our experience with Club Quarters Midtown was very positive and I would certainly stay there again. The staff is not effusive, but professional and competent. We were very satisfied with this hotel and the entire trip...except for the 13 degrees!-Miami Family	
Jan 13 2009 	Ideal NY location	Went to NY to see in the New Year 2009. Stayed at QC Midtown for the week and were quite satisfied with what we got. Standard room, although not overly generous size wise, was perfectly adequate for the two of us and I believe not uncommonly small by NY standards. Check-in and check-out extremely efficient, but apart from the internet access we didn't use any other hotel facilities. Great Deli right across the road for breakfast, and plenty of other eating places nearby .Location was great with just a short walk to many of the areas we wanted to be, and being in a room towards the back, it was nice and quiet too when we wanted to relax after a hard day doing all the touristy things. We would certainly use QC again when visiting NY.	
Jan 4 2009 	We gave your room away....sorry!!	Made a reservation on a major travel website for the new year's eve at this hotel. When we got there, we are told the hotel is completely booked and our room was given away!!!!! They offer to relocate us to a different CQ, with a $50 for our trouble (saying that it will cover a weekend night at a CQ while the regular night runs for 120 bucks!!!!!). At this point, all we wanted was a room with a queen bed (we are a couple) and non smoking in the other hotel which they confirm true. Once we get to the new hotel, we are told, the only rooms they have left are either one with two twin bed which &quot;we can push them together if you want&quot; or queen bed smoking......Seriously??? Keep in mind we paid close to $500 for 2 nights.....a TOTAL RIP OFF!!!	
Dec 27 2008	CQ Midtown is simple central not overpriced	My family stays here every time they visit and quality has always been high. Rooms are small and basic, but completely clean and cozy. Service is spare, unpretentious and you won't be pampered, but you are well taken care of. There are often good deals for this place online, usually at very good prices given the central location and quality of the rooms.	
Dec 20 2008 	Fine for a quick business stay	I was in Manhattan on business and stayed one night here, by myself. I felt safe here - the hallways are well-lit, with multiple fire doors. The property is in an excellent Midtown location. Don't expect fancy amenities - you check yourself in at a kiosk - but that's fine for me. The room was nice, clean, quiet, and a fair size, for Manhattan standards. Would certainly stay here again.	
Dec 12 2008 	great location and value in overpriced NYC	Club Quarters provides a nice base for midtown sightseeing....convenient to subway and buses and easy walking distance to Times Square, Rockefeller Center, and 5th Avenue shopping. My room was small, well organized, with a good bed and bedding, flat screen TV and a window facing a wall - quiet but no natural light. The bathroom was also small and well appointed. The whole place reminds me of small European hotels.....and of course, why stay in the room when all of NYC awaits. The public areas of the hotel are quite nice, with a salon with free computers and comfortable seating areas to work or read the paper. There is a dining room with an overpriced breakfast and adequate dinner menu. Food was mediocre and service was good. The hotel endeavors to be somewhat 'self-service', but there was always someone available to help and answer questions. Overall I would say a very good value for the money.	
Oct 31 2008 	Good locations reasonable price don't expect too much service	A lot has already been said in previous reviews, so I'll just summarize my experience with this hotel:Location: Good location, very centrally in midtown New York. Hotel itself: The elevators are small, causing congestion on check-out moments and people with suitcases.Room: Good enough for a stay in New York. Rooms aren't big, but aren't too small either. Only problem was the TV, which by default turned on with the volume fully blown. Very irritating for your neighbours. In the room there is wireless internet available, free of charge.Staff: They do their job, but don't expect them to go out of their way to accomplish you. They do what they need to do and that's it.	
Oct 28 2008 	Super Location	If you want an exceptional location in NYC, this is the place. The hotel is very clean, although the rooms are small. If you are a traveler, who needs a huge room? The price I paid was great for that area in NYC. It is in a very safe location with lots of businesses around and is about two blocks from Times Square. Many people have commented on the rude staff, but when I asked questions (and my needs are few), I was given directions in a courteous manner. I require very little as a traveler and would stay at this place again and again.	
Sep 30 2008 	Would not recommend not 3*	I had never heard of this hotel until my bid was accepted through Priceline as a 3* hotel. This is definitely NOT a 3* hotel. First, the staff was very rude and unhelpful numerous times throughout our 4 day stay. The elevators were small and rickety, holding a MAX of 6 people and that was squished. Then when we got to our floor, we couldn't find our room right away because you had to go into the stairwell to get to it. Then, in the stairwell you had to go through another door, and there were 4 rooms together. I think this is a safety issue, I would not have been comfortable if I were alone. The room was tiny but the bathroom was even worse. There was only a shower, no tub. 2 people could not fit in there at one time. There was no where to put a suitcase. Although it was in close proximity to Times Square, that's about the only good thing I have to say. And the &quot;fitness room&quot; was 2 treadmills, a stairmaster and an eliptical trainer in a tiny room with the ice machine and a coke machine. Not what most people have in mind. When we checked out, no one said anyhting to us, not even thanks for staying with us which normally is said during check out. I know they are independently rated and they are over-rating themselves as 3*. I would not recommend this hotel.	
Sep 20 2008 	Terrible serivce - Not close to normal CQ standards	Have stayed with Club Quarters in both London and Phillly and had extremely good experiences so this was very disappointingThe good: location is great. pricing VERY variable but reasonableThe bad: The serivce was terrible from start to finish. The lobby staff were shouting and boisterous with each other when we arrived and made us feel like an imposition for needing check in. We booked and re-confirmed early check-in (normally a $35 service with CQ) but it was unavailable on arrival, the staff acted like we were crazy for even asking. We had booked a suite and adjoining room but had to be put on seperate floors.The phone in one of the rooms wasn't working. Despite asking about it 4 separate times and being assured it would be fixed immediately, no-one had even come to look at it 2 days later when we checked out.We had to check luggage when the room wasn't ready but when we finally got into the room it took 60 minutes, 3 phone calls from my cell phone (see above!) and 2 returns to the lobby to get the luggage back again.There were several other other smaller annoyances (such as trash left unmoved on a table of the sitting area for 2 straight days).Finally when I asked to speak with the manager, I was told that I couldn't. The desk person insisted that I had to tell him the problems again... That's a new one on me!	
Sep 18 2008 	Fine stay at the Quarters	Ideally located near Times Square, the hotel is perfect for a short stay in the Big Apple. The rooms are small but if you’re there for a brief visit, you won’t be spending much time in the room. If you’re there for business, the hotel boasts all the essential business amenities.	
