	Great comfortable room in a stylish hotel	We booked two deluxe double doubles and the rooms were spacious. The beds were comfortable. The room was very hot despite turning off the heat and turning on the A/C. The second room had some plumbing issues. The staff was really friendly and helpful and displayed none of the superior attitude that you often encounter in upscale hotels.	
Sep 19 2009 	Hit or miss but a big miss!	I've stayed at the Marcel twice now. The first visit was quite pleasant, hence the second stay. The first time there, I had a nice clean room, and not too much trouble. The one problem I did have both times was that if you book through Expedia or some other online service, they don't seem to have a clue and have to research it for an hour. I can deal with that, but my second visit, they only had a room in smoking left on the second floor. Fine with me since I smoke. I usually get non-smoking since they are often cleaner, but I figured it would be fine. The room was tiny, dirty, and had mosquitoes! When I told them and showed them the bites, they said sorry, but had no other room. The small and dirty I could deal with, but I've now got about 10 bites all over my body and face. I could hear the buzzing next to my ear at night! I've camped out and gotten less bites!	
Sep 17 2009 	Great location - good for solo person	Honestly, after all the mixed reviews I'd seen I almost cancelled my reservation for this hotel. I didn't, and everything worked out fine. The staff was friendly, I wasn't ripped off in anyway. The standard room is really small. Not bad for an individual for a few nights, not good for more than one unless you are both really tiny or madly in love. Restaurant trendy Italian and packed everynight. Great neighborhood, everything you could possibly want close by, but not touristy. Free computers in lounge, in room internet $11.94 for 24 hours. Minor annoyances: many blinking lights on mini-bar at eye level distracting in the dark (actually covered it with a towel at night) and it partly blocked the door (who uses the mini-bar in NY anyway?), loud fan in bathroom, no drawers for clothes.Generally good, I would stay there again.	
Sep 12 2009	Rude Incompetent Management Resulted in No Room at the Inn	Booked a room for three adults, two double beds.When the room was finally ready, gave us a room with one king in a room so small there was no space for a rollaway.Told by desk that &quot;unfortunately,&quot; there was no room with two beds available and no additional room to accommodate us.When asked to speak with the manager, told she was &quot;off site,&quot; but that she would be called. 45 minutes later received a call from &quot;Robin,&quot; the manager, who was rude. She told us that a room for &quot;three persons&quot; does not mean a room with two beds. I informed her that there was no hotel in the country that would book three adults into one bed. She said that we could either sleep three to the bed for one night or go uptown to their sister hotel for one night and then return the next morning. We explained that we had plans in the Village and no longer had time to go all the way uptown, get ready and then return downtown. As a result, we asked the front desk clerk to find us an alternate hotel closer to the Marcel. She agreed; however, when I went to the front desk 45 minutes later to check, I learned that she did not check alternate hotels, and went on a break instead, knowing we had to make our reservation soon. We finally agreed, after the manager claimed that the entire city was sold out, that we would get ready at the Marcel, pack our bags and leave them at the desk, pick them up after our evening was over, go uptown to the sister hotel. Robin did agree that we would not have to pay for the first night. We asked the Marcel to call us and confirm that we would have a room with two double beds for our remaining two nights. They called later that evening. Again, in the morning, we called the Marcel to confirm that they would have our room with two double beds. They confirmed. We packed our bags, left them at the front desk of the sister hotel, did our sightseeing and returned for our bags, hopped into a cab, and returned to the Marcel. Upon our return, they claimed that they didn't know we were coming back (after they confirmed twice the availability of our room with two doubles) and so gave our room away earlier that day to a group that had arrived. We asked them to find us a room at another hotel. They refused. We found alternate arrangements on our own (lo and behold the city was not sold out) and left. The management was rude, incompetent and totally lacking in customer service orientation.	
Sep 10 2009 	Compact and modern	Great place to stay. A little compact, but everything is modern and in good taste. Lovers of classic design or furniture need not apply. Nothing glamorous from outside either, but a good location, depending on your preferences. I got a special deal, so wouldn't know regular prices, so that decision would be up to you depending on how much it costs.	
Sep 9 2009 	Recommended	The entrance to the hotel is quite low key, but once inside we were very impressed. Check-in staff were very friendly and welcoming. The rooms are quite small, but very modern, clean and the beds amazingly comfortable with lovely crisp white sheets and soft pillows. Powerful Aircon is available in each room, which was good on the hot days. It would have been nice to have a coffee or tea machine in the room, but the hotel does provide coffee all day on the 10th floor. Luckily there is a Starbucks 2 minutes walk away for those of us who prefer tea. We were surprised at the non-inclusive continental breakfast price at over $12 + taxes. We had excellent hot, large breakfasts at a range of local diners for less than $10 each, so wouldn't recommend the hotel cold cereal offering. Not sure how $12+ is justified.Internet is free on the 10th floor, which was definitely appreciated and a plus point. The 10th floor also has a roof terrace area, which we used once to sunbathe and to read while waiting for a computer to come free. All in all, we loved this hotel. Good location and very comfortable. Very friendly staff and 5 good night's sleep!	
Aug 27 2009 	Excellent	Had a an opportunity to stay at this beautiful property, taking advantage of their introductory rates. Very nice modern rooms, and excellent staff. Valentina, front desk person was able to help us with many different questions. It wasa pleasure to stay at this small intimate property.	
Aug 22 2009 	Bait 	I stayed at the Marcel in February 2009 and loved it, so I was very much looking forward to staying again. I booked a very good rate online for a Saturday night in August. But when I arrived, the staff told me they didn't have the two-bed room I'd reserved. (I was traveling with someone I didn't know all that well.) To &quot;make up for it,&quot; they sent me to their &quot;sister&quot; hotel, the Ameritania Hotel near Times Square, an area which I'd intentionally been trying to avoid. The Ameritania was a total dump. Noisy neighborhood, very little furniture in the rooms, the couch had several holes in it, the bed was saggy, the bathroom was all scratched up, the hallway had a weird smell, there was no breakfast room, and no amenities. The Marcel did pay for our cab ride across town and they got us a room &quot;upgrade&quot; at the Ameritania (two bedrooms) but a large room in a dump is still a bad deal. I'm shocked that hotels can overbook, as the Marcel has done before according to other reviews. And I'm equally shocked that when they do, they can send you to just any old place--there seem to be no quality standards. I would never have paid that price for the Ameritania Hotel. (By comparison, I know from staying there before that the Marcel has new and nicely appointed rooms, great beds, good showers, a wonderful breakfast/lounge area with free espresso &amp; internet, and it's in a quietish area near lots of affordable restaurants.) And this is not the first time the Marcel has done this: I've read at least two other reviews with the exact same story. Beware! My assumption is that I got bumped because I got a discount price. My arrival time was 5pm.	
Aug 16 2009 	Perfect stay in NYC	The stay at The Marcel at Gramercy was perfect in every way: Location, view, room, staff. Many attractions are not far away (both uptown and downtown) and the metro is only a few blocks away (23th street and Lexington). Supermarket 50 meters, Bagel Express 30 meters. We are deffinetly staying here if we come to NYC again!	
Aug 15 2009 	Small but "Very Clean"	We got a great rate on Travelzoo and gave this hotel a try for a couple of nights. It was a great overall value and we were impresed by the cleanliness and efficiency of the rooms. Having travelled to New York frequently, we were well aware that the rooms would be relatively small and we probably would not have wanted to stay over a couple of nights due to the lack of packing space. The check-in and check-out was seamless and the rooms were cool, quiet, and the bed was fabulous. We didn't eat at the restaurant but it was full every night and we found a great Greek diner around the corner that served a good and reasonably priced breakfast. Overall, not a single complaint and that is a good thing.	
Aug 1 2009 	Jacqueline saved the day	After checking in with a TOTALLY CLUELESS clerk,I was finally given a decent room and a kind word from asst manager Jacqueline... The hotel is nice,but the planners created very small rooms which can be annoying after a day.Fortunately our stay was for one night....Thanks Jackie....please train that bimbo!..	
Jul 22 2009 	Irritating	Very small rooms. Couldn't even open our suitcase on floor in first room. The furniture was so squeezed into the room that it made it hard to get around the bed. Smiling, but irritating service. Every morning we packed our bags, having been told they would be moved to a larger room, and every day we came back to find that the larger room &quot;was not been available&quot; - until our last night.The breakfast buffet consists of a few rolls in a basket, coffee in paper cups, and a jug of orange juice, served next to the two computers providing free internet.Wireless access is expensive and slow.Nice location.The Junior Suite we were upgraded to had a king sized bed and ... that was that. The listed price is absurd.	
Jul 6 2009 	Small but perfectly formed	Small room, however very clean (room made-up, fresh towels &amp; toiletries every day). There was no air-con, so it was pretty warm in the room, despite it being quite nippy outside. Some great places to eat nearby, the sunflower cafe was great for breakfast and much cheaper than the hotel too!Would recommend as a good launch pad for a city break.	
Jun 30 2009 	Loved the Marcel!	I stayed at the Marcel in mid-June for 3 nights with my two daughters - both in their 20's. We had to make a choice between the Marcel and the Rogers Smith, both of which I received a great deal on. Seeing how &quot;hip&quot; the Marcel seemed to be, I chose it because I thought my girls would enjoy it. I was right - to say we all loved the Marcel and the room we were given is an understatement. We had checked in early from a very early flight. Needless to say the room was not ready but I had asked Ursula (manager at the front desk) for as large a double double as possible for 3 people - she ended up giving us Room 814 (not much of a view, but everything else about it was excellent) - definitely the largest room of that type with lots of space, ample storage (could have been a bit more for 3 people), beautiful linens and comfortable beds. Nice bathroom - small square sink was not the most practical, although stylish - however, there were 3 big shelves against the wall - more storage space than I have seen in most other hotels. Although a couple of prior reviews had said something about half the double shower door not closing properly, give it a good tug - it closes just fine and there is no water on the floor.In terms of the room sizes, there is actually a floor layout with room sizes posted on the door. There are known to be some tiny rooms here - if that matters to you I would definitely pay a bit more and book a Deluxe King or Deluxe Double Double (rather than a standard). At least you should be assured of receiving a decent size room (where you don't have to leave it to change your mind, as one reviewer noted).Service - when I returned home to Ottawa I received a message from Ursula at 3 pm on the first day we had arrived (she must have thought she was calling my cell phone) letting me know the room was ready - I had never requested that she call. Also, we needed more towels as we were three people. A few minutes after my call, there was a knock on the door with a bellboy carrying a huge number of towels, 2 more glasses and a huge plastic bag of bath products. I couldn't believe it. Not to mention the excellent service by the bellboys and the front desk during our entire 4 day stay. You can't ask for much better than that.Lounge and terrace- its already been said but I can tell you the pictures you see here do not do them justice. The lounge is beautiful as is the terrace - many lounge chairs on the terrace as well as tables and chairs. The two free computers and printer was a plus for us as well, and I took advantage of the free coffee, especially at breakfast time. Unfortunately, there is no longer any wine and cheese which has recently stopped and which I was looking forward to my first day there as we had actually gone back to the hotel at 6 pm (the time they used to have it). I wonder if this is due in part to the addition of the restaurant and bar on the ground level called Inoteca - we didn't end up eating there but did check it out and it looked very nice (and busy!) - open to the wee hours apparently.I believe we paid $500 US for 3 nights for 3 people and that is a fantastic rate for New York - especially in a hotel as beautiful and hip as this one. Yes, there are gold and black leather sofas in the lobby - if this is not your style, maybe this place isn't for you. If it is, you can't go wrong. The location is close to SOHO and not far from everything else either. 5th Ave. in that part of town is also very nice and after always having stayed in the Times Square area I can honestly say that I prefer this part of town. This is the posh Gramercy area which is absolutely beautiful. Services and food (Lyric Diner down the street for breakfast) are less expensive and very plentiful. I would also recommend Posto for excellent pizza and salads where we waited to get in at 10pm on a rainy Saturday evening, but was well worth it.I have a list of friends who are now considering the Marcel for their upcoming visits to New York and I cannot recommend this hotel highly enough. I did e-mail someone through Trip Advisor before we left and her answers to my questions were extremely helpful in making my decision to stay here. If I can be of any help, please feel free to e-mail me.	
Jun 30 2009 	Great Value - Will stay here again!	I stayed at The Marcel at Gramercy for 5 nights and overall I was very happy with the stay. The bed was great, it was a King and was extremely comfortable (pillow top). The room and hotel are very trendy looking. The bathroom was very nice - the shower has two nozzels and the pressure was great. The location is excellent with lots of reasturants within walking distance. The negatives I found were that I could hear the traffic below (I was on the 9th floor) but I guess that is NY for you. I called and asked for a recommendation of a Chinese Restarant and they said they would bring up some menus. After 45 minutes they finally brought them up (after two calls from me) and they gave me 5 copies of the same menu. The food was fine though. I called on my last night because I could not find the remote to the TV and they said they would send someone up and no one ever came. Other than that, I definitly plan on staying here again because you can not beat the price and the comfort level.	
