	It's a place to sleep between activities	•Clean•Good Location for parade &amp; museum, local food 24x7•Close enough to Subway lines•Good mattress•Desk helpful and responsive•Toilet so close to walls on both sides, that …&lt;censored&gt;… (couldn’t use)•Wind loudly whistling through the closed/locked window one night•No window screen to allow room to cool down w/o risking bird entry•Bed too short – need queen sizes, but room too small•Nobody at desk for a time one morning	
Aug 24 2009 	Good location but room was like a shoe box!	We stayed at Park 79 for 4 nights to explore the city of New York. The internet photos make one believe the place is a lot swankier than it actually is. Our bedroom and bathroom were tiny. The bedroom was certainly in need of a touch of paint. The hotel is in a good location, extremely close to Central Park and the National History Museum. Other than location this hotel is poor value for money: the rooms are pokey, one particular member of staff was extremely rude towards us and coffee is served in cheap styrofoam cups.	
Aug 11 2009 	Great location great price!	My family just returned from 5 night stay at Park 79. Unlike a previous poster, we confirmed our reservations prior to arrival and had no problems at check in. We arrived 5 hours befoe check-in but the hotel personnel gladly held our luggage for us while we toured NYC until our room was ready. The hotel staff gladly gave recommendations for restaurants, instructions for the subway, and other requested information. Our room, a suite, was very small but for the price, was fine. The room was equipped with two televisions, (one a mounted flat screen in the bedroom), a small refridgerator, small microwave oven, and a private bath. The location of Park 79 couldn't be better. Close to everything yet not in a crowded area like some of the hotels. The only complaints I have are: 1) the elevator is very small and ever so slow! and 2) the cleaning crew kept shorting us on wash cloths so we always had to request some more.All in all, we had a pleasant visit and for the price, would definitely stay at Park 79 again, without hesitation.	
Aug 6 2009 	Avoind this hotel at all costs!	We reserved a room ahead of time online through expedia. Upon arrival, we were told there was an &quot;emergency&quot; and there are no rooms available. We were stuck with no hotel on the street. The front desk people were extremely rude, told us we have a &quot;bad attitude&quot; and didn't help us at all. They also said things like &quot;emergencies happen&quot;, &quot;there is always a first time for everything&quot;, and didn't even bother to apologize. We ended up looking for another hotel on our own. our experience was horrible and this is why we are writing this review. Bottom line: Don't trust this hotel. Keep looking.	
Aug 2 2009 	Does the job - at a reasonable price	I paid $119 / night (plus taxes) for a room with private facilities. Yes, the room was small, but everything was clean and worked: air con., flat screen. Only comment: Shower needed to be run for an age to get some hot water, but it arrived eventually! Great location on Upper West Side, across from the Natural History Museum. You get what you pay for, and this hotel does the job for a very fair price. I would stay here again, no problem. It gets 4 stars --relative to the price I paid.	
Jun 30 2009 	Cheap Clean and Cute!	This Hotel was a fantastic place to stay in NYC. My partner and I stayed here for a week and loved it! The rooms were cleaned each day, no matter what time we left the Hotel. The front desk is super helpful, and even checked us in early because the room was cleaned and ready early. Room was a bit small, but private bath made up for that. The bathroom was T-I-N-Y, but otherwise efficient. Interior is charming, a bit on the old side, but clean, which is all you can ask for in a Hotel at this price in the city.	
Jun 26 2009 	Small but nice!	We stayed in a suite (4 adults) and we all thought it was wonderful. The room was clean and served our needs very well. The staff is super friendly and you can't beat the price. The room was small, but again, you can't beat the price.	
Jun 18 2009 	Great Hotel for the Price	I have read through some of these reviews and have to say...yes, the rooms are very small-but it's under $150 in NYC-what do you want at that price? If you want large rooms pay for them. The rooms were CLEAN, the staff was so friendly...we had a late flight and knew we would want to freshen up after our last day of sight-seeing before our flight, not only did they offer us a spot to freshen up, but they gave us a room to use to shower-that is going above and beyond! We are staying there again this July and I can't wait!	
Jun 13 2009 	Excellent value location cleanliness	We really enjoyed our stay here. For Manhattan, this is a real deal. The staff is helpful, the rooms absolutely immaculate, (of course they are not large, as is usually the case in an older NY hotel...but so what?....) and it was also quiet. Renovations of the lobby are planned; hopefully this will not raise the price too much!	
Jun 2 2009 	It's Clean clean clean and excellent location	I needed to stay in NYC for only one night, and I chose Park 79 Hotel because of the value and reviews.Value: Excellent. I chose a room that cost a little bit more because I did not want to share a bathroom. I still only paid $109 for a room in NYC!!! (Two single beds). At the time I booked the shared bathroom rooms were about $79. These are excellent prices for NYC.Cleanliness: This hotel is VERY clean. Hallways, room and especially bathroom - super clean. It is an older building, and because real estate is premium price in NYC the rooms in the older buildings are usually smaller than the newer hotels. But that's part of the charm of NYC. If you expect it, it won't be a problem. We had plenty of room between the beds and the walls. In my room there was even a little area where the closet was. The beds were a little firm, but I had no problem sleeping. My daughter also said she slept well. The rooms are equipped with iron and ironing board, phone, clock, TV (flat screen mounted on the wall), hair dryer., closet. The room air conditioner worked well (although it is - like all of the room air conditioners that fit in the windows - a little noisy - but it didn't bother my sleep). I asked for a quiet room when I booked the hotel, and they gave me one. It was on the 5th floor and it had no view (doesn't bother me any - I'm not sight seeing from my room) and there was NO street noise. Yay! I did not have any problem with people noise either. There was a door that I believe led to the room next door. There was a permanent lock on it and one time I did hear people talking. I could not understand them, but heard them. So I believe, the complaints of the walls being thin is really the noise through the doors. You can see that the walls are thick plaster. Room was decorated nicely, adequate lighting. Food: There are absoutely so many food choices in NYC. We walked up and down Amsterdam Ave in the evening looking for a light snack. There were all options and types of restaurants, bars, delis, etc. My daughter got a slice of pizza - and she was pleased. You can spend any amount of money, there were expensive and resonable places. One of the pubs had a &quot;happy hour&quot; - $2.00 cans of Bud Light. WOW! Couldn't believe the price - especially for NYC. We felt safe in the neighborhood. Convenient too. If you walk a couple blocks to Broadway and 79th, there is a subway. I was able to find a parking spot on the street. I was SOOOO LUCKY to find one. Before 11:30 am, you MUST move your vehicle to the other side of the street or it wil be towed. I did not have to worry becasue we left before then. When I booked the hotel room, I called and they told me there is parking garage available that they give discounts for. The staff was very helpful. I didn't really requre much from them, but they were willing and friendly. I would definitely stay there again.	
May 28 2009 	Magnificent Staff	This hotel is situated on a Quiet street within two blocks walk of two subway stations and close to many bus stops. The front desk staff are all very kind and helpful. The hotel provides free Wifi and morning coffee.The rooms are quite sufficient for the price. They are not attractive or large. They are clean and have all those bath goodies and even a shower cap, ironing board, hair dryer etc. The pillows were a bit lumpy. I will bring my own next time. The room doors are heavy so if a guest is a door slammer this may upset your generally kind nature.	
May 12 2009	Excellent Service and Location beat smaller quircks	Overall, this is a good hotel, which is conveniently located - it is within walking distance of the Lincoln Center, Central Park, Natural History Museum and many good stores and restaurants. What makes it excellent though is the service. We had outstanding help and service from ALL members of the staff with all requests we had. We had a problem with the room, but that was handled quickly and efficiently. Same for smaller requests like a vase for the flowers, advice, etc.On the downside, the building is a bit shabby, and there is only one elevator, so sometimes you have to wait a while. Also the doors/walls are not soundproof, so you can hear a lot, but, frankly, the outstanding service and great location more than make up for these details. Oh yeah, complimentary Internet too! (Though the signal is not always good).If you are in NY for a week or less and you are not looking for posh and luxurious accomodation, I'd recommend Park 79 as a reliable and affordable option.	
Apr 30 2009 	Comfortable	If you want a quiet place to relax, this is it. After a long day at work, I would come back to my cool, comfortable room. Housekeeping kept everything neat. The front desk was very polite and had menus for me to order off of when I felt like staying in for dinner. Central Park is nearby and so are several restaurants.	
Apr 29 2009 	Great little hotel good value for money	The good: location - just off Columbus Avenue, near Central Park and the Museum of Natural History. Really could not fault the service - we arrived near midnight and we were checked in quickly and efficiently. The room was a decent size - it managed to accommodate me, my friend and our suitcases without us tripping over each other or the furniture - and clean, and the shower was excellent. The not so good: there is no breakfast room, but free coffee was available in the reception in the morning and there are great breakfast places in the neighbourhood. The bathroom was really quite small with no hooks for hanging towels or bathrobes. We could hear just about everything that went on in the corridor outside the room, but we were so exhausted from roaming the city that it didn't keep us awake. Overall: I'd say this was a great little hotel, good value for money (we paid $149 for our twin room) and a good uptown location.	
Apr 25 2009 	Terrible way to treat guests	I can't review the actual hotel because when I arrived in mid-afternoon, despite having confirmed reservations months earlier, I was told they had overbooked and there were no rooms available. Then the woman at the front desk had the nerve to tell me it was because of the marathon -- which, by the way, is in November, not April. They found me a room in a dump of a hotel with peeling paint, many blocks from where I wanted to be -- which I took because I was too exhausted to search out vacancies elsewhere. Very poor way to run a business.	
Apr 25 2009 	Okay but noisy!	I stayed at this hotel for 5 days. Like others have said, the rooms are quite tiny! (Especially the bathroom, you can't even sit comfortably on the toilet! But the shower is okay and the interior is amazing, like the tiling) But they are very clean and quite nicely decorated (I had a mirror and a picture of Central Park in mine). Hotel is close to the 79th Str. subway, and the 81th Str. subway, so excellent connections all over Manhattan and close to restaurants, museums and Central Park. The only thing that really annoyed me is the noise. The walls seems to be very thin, which means you can hear everything going on with your neighbours. Two nights were absolutely horrible for me, one night there was a guy who was being very loud in the middle of the night, flushing his toilet all the time and throwing up (and yes, I could hear all of it very clearly!!), then another time a drunk couple came to their room, put on the tv very loud, were being loud themselves and then put music on in the middle of the night. The cleaning staff was pretty loud as well, them shouting to eachother from across the hallway was pretty much what I woke up from every morning. Also, I hung the &quot;Do not disturb&quot; sign on my door, to get a good rest, yet they called me on the phone to ask if I wanted fresh towels. All in all, it was an okay stay. Most of the staff at the front desk were very friendly and helpful and helped me on my way more than once. (The men were a lot more helpful than the women though, they seemed to be bothered by my questions..) Internet worked really well (got a quite quick connection, even being on the 7th floor) and it being free is definitely a big plus!To put it in short: if you're looking to stay at a great location for an okay price, this the place to be. If you are looking for a quiet, comfortable environment, I would recommend you try another hotel.	
Apr 19 2009 	What a great place to stay	I have traveled with my best friend to NYC almost every year now. We have had wonderful &quot;free&quot; accomodations but this time it didn't work out. So, we booked Park 79 after spending countless hours on the internet. Of course, always sceptical but to our surprise - we were very pleased. We had a room on the first floor which made it extremely convient, we were bumped up to a deluxe room instead of a standard (their idea - not ours) and the room (was small) had everything we needed. Coffee in the morning, great recommendations for restaurants, great location, pretty quiet streets and room, clean room and bathroom, fair price, and what the heck...it is NYC. Overall, I would stay at Park 79 in a heartbeat and I have already recommended it to others. It was a great place to stay.	
Apr 18 2009 	Don't be fooled by the website...	I booked this hotel based on how great it looked on the website - all white and clean, modern with a hint of colonial, and lots of dark wood. In fact it looked so good I was commissioned to review it for a well-known international travel magazine. Well, it was nothing like the website. It was tatty, run down, and altogether rather naff. Add to that claims such as &quot;24 hour tea and coffee&quot; were actually an urn of hot water on a foldaway table in the foyer with some sachets that was put away at 11am meant that all in we felt like we had been duped. Other annoyances include insanely loud cleaning staff (who thumbed on our door and entered without waiting for a reply before 9am), the apathetic staff, a door key that kept breaking and the slowest lift on the planet. I could actually see myself age while I waited. Maybe I'd stay again - it's hard to find mid range hotels in NYC - but I'll avoid it. PS I even wrote to the hotel saying I was going to review it and they didn't write back or indeed acknowledge that a journalist from a high profile mag was reviewing their hotel... Sigh...	
Apr 7 2009 	An OK hotel in a very good location	I stayed at the hotel in March 2009. Due to a change in plans I had 2 separate reservations, one for the first night and another one for the next 2 nights. Despite the first reservation corresponded to another room category, the receptionist quickly worked it out so that I didn't have to switch rooms during my whole stay. The hotel is close to the Natural History Museum, in the Upper West Side and therefore close to Central Park too. It is less than 2 (long) blocks to the subway station that takes you Uptown or Downtown. The location is great, there are many restaurants and stores within walking distance.I was assigned a room on the fourth floor overlooking 79 Street. It was small but not tiny, it had a bigTV set, a sink and the bed was very comfortable. I could hear the noise from the street but it wasn't a problem. Everyday, my room was made up and towels were changed.I had read in the Internet that the bathrooms were shared by 2 rooms only however this is not true. There is quite a large number of rooms per floor, and there are only 2 bathrooms to be shared. To access them you have to use your room key. You can also use the bathrooms on other floors if those on yours are occupied. Most of the times I had to do this because either my room key didn't work or there was someone in the bathrooms on my floor.Cleanliness of the shared bathrooms wasn't great and there was a plunger next to the toilet which I had to use once. The hotel has free wi-fi Internet however I could never connect to it during my whole stay. From the morning till the afternoon, there is complimentary coffee at the reception desk.The staff was very helpful and I would consider staying here again because of the friendly staff and convenient location.	
Mar 19 2009 	Bippidy Boo and Noisy Too	First, allow me to explain the title of my review: we were rooming next-door to an obviously disturbed individual who all night shouted, &quot;Bippidy BOO!&quot; and other treats for the senses including, but not limited to, &quot;Yes it do!&quot; and &quot;Little girl!&quot;, which really spooked us and almost had us packing up to leave at 2 a.m. What was he doing in his room all night on a Friday and a Saturday?The good first: the location is dynamite! You step outside into a lovely residential neighborhood full of great stuff to see and do, and a plethora of great places to eat.Also notable, is the doorman at Park 79, and very helpful and courteous young man named Julio. Now for the negative: If you are used to staying in youth hostels you will be right at home here. The pictures on the website are quite deceiving. The hotel must have spent its money on their outside facade as the inside is in need of a major overhaul. On our floor, for example, the once beautiful inlaid wood floors were torn up in some spots. Our &quot;deluxe&quot; room was so small we had to straddle a column in the bathroom while on the toilet or getting into the small tub. The bed was comfortable, however very firm and the headboard flimsy. There was too much furniture in the small room, too, making it very tight. All in all, it seemed as though it was a closet converted into a room.The worst thing for us was the noise factor. This place rocked and rolled all night long...aside from &quot;Bippidy Boo&quot; next-door, we were privvy to other guests' toilet flushing marathons and shower-taking. Yes, all night long. I wondered if there was any insulation in the walls as every pipe in the establishment seemed to drain, rattle, and clank in our ears.We will not be returning to this hotel. Bippidy Boppidy BYE-BYE!	
Mar 12 2009 	Spoilt for choice with bars and restaurants	Just returned from a fab stay at Park 79. Was pleased with reviews prior to us going and found the room we were allocated (room 112 on ground level) to be clean, warm and comfortable with lots of hot water and a large LCD tv on the wall. To be fair though, we had the tv on about 20 minutes during our 6 day stay as we were busy seeing the sights and shopping..blah blah blah! Upon check-in, we got a shock as we thought we had paid with our credit card prior to us arriving, so when we were asked for full payment it came as a shock, thinking we were being billed twice. However, upon checking our online banking, they hadn’t taken a penny until we arrived, so our mistake!Remember, at this hotel there are no tea or coffee making facilities in the room, and all that is on offer is a tea and coffee urn in reception in the morning to perk you up. We were recommended to have breakfast at The Shining Star restaurant/café which is open 24 hours just around the corner on Amsterdam avenue. We found it to be a little expensive, and found somewhere more to our liking near Colombus Circle called Lenny’s (bear in mind though it’s a 5 minute ride on the Subway though). At The Shining Star café, avoid the ‘Irish sausages’ which can be ordered for breakfast, they’re disgusting and taste like nothing we’ve ever tasted before!Also within a 5 minute walk of the hotel are several bars that do special offers on beers. On of them is called ‘Bourbon street’, but be careful as they add a sneaky ‘cover charge’ of about $4 per round of drinks. Whereas, across the road still on Amsterdam avenue but a further 2 minute walk is ‘The Gin Mill’ bar where they do a draught beer for $1 on Monday nights with no cover charge. On the same side is a small poky looking place called ‘Brother Jimmy’s’. The food is absolutely spot on and they serve mainly American fayre, fried stuff, but the ribs are to die for, especially the ‘Northern style’ ones. Prices are quite reasonable and you’ll get a nice cold beer here too, so don’t judge a book by its cover as its nice inside once you get through the door.There is an Indian restaurant called Swagat where the food isn’t too bad either. Whatever dish you order, it seems to be laced with copious amounts of garlic so beware. The beers/wines are very expensive here so beware.I got talking to a homeless guy called Jim who sits outside the church on Broadway with its junction with 79th street who is extremely approachable to chat with. Not once did he ask me for money whatsoever and he said he was about to be housed shortly. If you’re passing, say hello to him and mention Graham and Tracey from England were asking about him!We visited the Empire States building in the evening (dusk to nightfall) and is a better experience than during the daytime, so consider which time to go.We also found an Irish pub where again the food was superb near Times Square called O’Lunneys.Drop us a line if you need to know anything else..Graham and Tracey, Oldham, UK	
Mar 9 2009 	Great value snooty service	The location and price of the hotel make it worth the stay but as far as the staff goes, the women were very short and rude. They also acted like it troubled them to answer the front desk calls. Also on another note each room does NOT include a bathroom. Each floor has about twenty rooms, and each floor has 2 bathrooms accessible and A and a B bathroom to which each guest has to exit the privacy of their own room walk down the hall to the community restroom. It is very annoying especially when your in need of one and they are both full and you have to travel to a seperate floor just to use the facilities.	
Mar 1 2009 	Good Basic Hotel	I booked one night at the Park 79 to extend a business trip at a rate cheaper than the hotel I spent the rest of the trip in. The room was small, but modern and clean. Since I really just needed the room for an extra night to sleep, the small size was fine. The bed was comfortable and I enjoyed the down comforter. The hotel itself was quiet (no hallway noise), but my window looked out onto their flag pole (room 201), which rattled most of the night in the wind. Since I am a heavy sleeper it wasn't an issue, but I could see someone having a restless night as a result of this.My private bathroom was small but gorgeous (marble tile). A large person would have had a hard time sitting down on the toilet in the narrow space. The room was also hot, but once I found the knob and turned off the steam heat I was fine.For $89 a night, this was definitely a good hotel. The $205 a night hotel down the street that I spent the rest of my trip in was much nicer and larger, but it was also more than twice the price.	
Feb 28 2009 	Great price; Good staff	The Park 79 offered a great price for a recent weekend stay in NYC. Although small, the room and bathroom was updated, clean and very serviceable. The staff were friendly and helpful -- highly recommended for an economical stay!	
Feb 26 2009 	Basic impeccably clean outstanding location	We were in a suite, which consisted of a very small bedroom with an extremely comfortable double bed, and a separate living room with a foldout bed. There was a small microwave and refrigerator. The bathroom was tiny and hard to maneuver in. However, everything was spotless--our major criterion. The building is very old; our bedroom was heated by steam pipes that produced loud knocking sounds the first night. We didn't hear anything the second night, but that could be because we slept well. There was a tiny, slow elevator that took forever to arrive, so we ended up mostly taking the stairs This is a very basic place, staffed by business-like front desk people who were pleasant enough. Parking at a garage on W. 83 St. was only $30 a night if you had the hotel stamp your ticket--a bargain in NYC. Location can't be beat, close to everything you'd ever need on the Upper West Side--Natural History Museum, several subway lines, Central Park, scores of restaurants, great shopping, you name it.	
Feb 26 2009 	Hot and Noisy but Staff was Quick to Fix	Ok, so we checked in Saturday at 3:00 pm, had booked two twin beds in one room, but they gave us two rooms because the room with the two single beds wasn't available! So we took the two rooms. One was a twin with no bathroom, the other a double with a bathroom - Room 508. My friend and I said the double was fine, we didn't need the two rooms. However, the temperature had to be in the 80's, very noisy, doors slamming, people talking, laughing at 4 am...you could hear it all! Thank goodness there was a window, but even opened fully, it didn't cool things off, and it was about 35 degrees outside. In the morning, I requested any other room that could accomodate two that was quiet and NOT HOT! They put us in 511...perfect...AND at my request, they turned off the heating unit in the room. The bed was just so-so (rather thin mattress), but we slept better than the first night. All in all, the desk staff was accomodating, but not overly smiley or friendly. For the price - $100 bucks a night - it was worth the stay, and the location is great. We lucked out and found a parking spot on the street for the weekend, so parking was free!	
Feb 26 2009 	Great value - friendliest staff	On my second trip to NYC, I wanted to find a hotel that was more inexpensive than the one I had stayed in previously so I found Park 79 online. I was leery about choosing a room that didn't have a private bathroom but decided to go for it. I was pleasantly surprised when I got to my room. The set up of the floor was so that it seemed very private; there were two bathrooms shared per floor and I never came across a time when both were occupied. The room did have its own sink for quick washups. I stayed there 8 nights. The building is older as are most in Manhattan but it was well kept up and very clean. Worst thing I could say is that the floors were squeaky. The rooms were very tiny but adequate - I wasn't there to hang around the room. The front desk staff and doormen were very helpful and courteous, especially compared to the other 5 hotels I have used in NYC. Location was a nice, quiet area, close to Central Park and Museums although a little far from where I spent most of my time in the Times Square area. If only it was a little closer in, it would have been perfect. I also wish they had vending machines or something in there because when you get the munchies in the middle of the night, there is nowhere to go and there's no coffee facilities in the room even. All in all, I would recommend this hotel to anyone, and I have done.	
Jan 20 2009	Great value great location	Park 79 was an excellent hotel which served our needs perfectly. It is in a great location, and a truly great value. Our room was very clean, with a comfortable bed, a nice flat screen TV and a good shower. Most imortantly, the hotel was quiet! The staff was also very friendly and helpful. I would definitely stay here again.	
Jan 19 2009 	Great value	My husband, daughters (ages 17 &amp; 20), and I stayed in two rooms at the Park 79 in August 2008. This was our first vacation in NYC and I was concerned about how much we would have to pay for decent accomodations. In the end we stayed at Park 79 by trading two timeshare weeks through RCI. It absolutely met our needs. The rooms were small but clean and at the end of a hall so they were quiet. The coffee service in the morning was nice and we got to sitting on the outside steps watching the city wake up. The location of the hotel was in easy walking distance of several of the different subway lines also many local restaurants. As we were in town on vacation, we spent most of the day away from the hotel. We had no trouble with the internet service. The staff were helpful although on our last day I requested a minivan taxi to take us and our luggage to the airport. Price ended up being twice what I expected.	
Jan 6 2009	Great location	Excellent location. Room had a pullout sofa and seperate bedroom. Room was very clean. Nothing fancy but clean and comfortable. How much time do you actually spend in your room?Hotel offered coffee, tea and hot chocolate in lobby during AM hours. Staff was friendly and helpful. Will come back again and recommend hotel to those who want a great location and clean, comfortable basic room.	
Dec 21 2008 	Friendly staff tiny rooms!	My boyfriend and I stayed at Park 79 for three nights in December 2008. We were staying with friends but checked into a hotel last minute because I was ill - Park 79 was the cheapest last minute option in the Upper West Side!The standard double room was absolutely tiny, but this is the norm in New York so we weren't that surprised. It would have been too cramped for a longer stay, but we just about managed with 2 of us in the room. There was no wardrobe or chest of drawers which was a shame (just a railing with hangers) but there was a table and bedside cabinet. The bathroom was also very small (unusable for anything like drying yourself!), but the shower was very good.The staff were helpful and friendly and knew the area well. One night the hotel had no heating or hot water, but got some money off our bill without any trouble. The location of the hotel was fantastic, close to the 79th St Subway and within walking distance of midtown. I really recommend the Upper West Side!There was free tea and coffee that was advertised as being from 7am-11am, but was actually there most of the day and evening.OK hotel but nothing special, suitable for short stays but if you're staying for a week or more, I'd recommend spending more money for more space.	
Dec 20 2008 	great location	Just come back from a 4 day stay in this hotel. The hotel location is excellent, few minutes walk from the nearest subway and lots of restaurants within walking distance. We had a twin room which was very clean and the beds were very comfortable. The room was small but adequate, with every amenity you could wish for, including ironing board and iron. Was a bit disappointed on arrival as the public areas are very shabby, however the rooms themselves were not at all. Would stay here again, mainly because of the price, we paid around £650 for 4 nights in a twin room which is quite cheap for New York. Upon arrival we were put in two separate rooms as there was a problem with the plumbing, these 2 rooms were at the front of the hotel and were very very noisy. However, when our twin room was available the next night we asked to be put in a quiet room and this proved to be much better.	
Dec 12 2008 	Would not stay again	I had to book a last minute business trip to NYC for a multiple night stay. This hotel had availability. I was skepticle because of the price - it was less than $200 on the upper east side. The photos looked ok, plus I was desperate not to spend $400 a night so I took a shot. The pros - obviously cost. Location, although of no value to me on this trip. There have been obvious attempts to update and modernize. The bathroom is somewhat new but was installed haphazardly. The towels were new and clean. The bed linens smelled clean and also looked new. I was lucky enough to have booked a larger room so the room size was fine. The interaction I had with the staff was fine. Cons: The lobby and hallway to my room were run down and shabby looking. I walked into my room thinking that this must be the worst room in the place. I thought of leaving but they had just charged me for all three nights of my stay. I really should have complained. The room backed up to the lobby desk. I could here every person entering, exiting, laughing, and messing around at all hours of the night. The room is also right on 79th. It's very busy with a lot of car traffic at all hours. When people walked by I felt like they were standing next to me. Unfortunately for me the cons outweighed the pros. This hotel may work for someone who is on a tight budget who can overlook things and or someone that is willing to complain about things that aren't right unlike I did.	
