	Would not recommend this hotel	We stayed with Loews hotel in November 2009 and booked a non-smoking twin room. On arrival we were given a smoking double room. When we pointed out the error we were told that the room type was not guaranteed and were given very little by way of apology. We were met with a similar response when the issue was raised again on check out. In addition to the poor service, the hotel looked very tired and was in need of refurbishment. The location is good but there are much better hotels in the area for a similar price.	
Jul 3 2009 	Comfortable Stay	Good location on Manhattans Upper East. Excellent room,very clean and comfortable. Friendly Doorstaff and Bellhop.not so friendly duty manager,checked in late so might have had a hard day,either way at these prices you expect service with a hint of a smile!Overall one of New Yorks nicer locations with a top dining experience to boot!	
Jul 3 2009 	Stayed 3 days - super pleasant experience with kids	We stayed in this hotel for 3 nights in mid April. We had a great 2-bedroom family suite. The locations is superb for kids and shopping and the staff were very professional. Room service was excellent and overall it was great value for money. The decor is a bit dated but the rooms were quiet and very functional with kitchenette in the suites - very good if travelling with small children. Will stay there again.	
Jun 27 2009 	A Customer service nightmare	I stayed one night at the Loews Regency New York and I will never make that mistake again. They were perfunctory in every respect. The check-in was late and the clerk tried to pretend with a smirk and a nod that he was &quot;taking care of us&quot;. We were given the same room we would have been given, but the pretense was almost comic. A few days after we checked out, I realized that I had left a dress in the closet of the room. I called and was connected to housekeeping which began what I can only describe as a farce for the next three weeks. I ultimately received the dress after two weeks of phone calls (I honestly believe, I am sorry to say, that someone in housekeeping had claimed my dress for herself and was made to bring it back to work). I paid for shipping and received the dress in ridiculous condition. There were six deliberately made burn marks in it, rips, tears, and some of the seams were shredded. When I called to complain, the manager on duty disconnected me &quot;accidentally&quot;, then re-directed me back to the same woman in housekeeping with whom I had already dealt. She left me a voice mail telling me that the dress was sent to me in perfect condition. Since the packaging in which it was sent was completely intact and still is, this is impossible. Business ethics are not present at this hotel. I am now out the price of the dress, the cost of shipping, the expense of the phone calls, and my time. Spare yourself and find a place that deserves its stars.	
May 24 2009 	Beyond expectations	I was pleasantly surprised with this hotel. Everything was as described in the ads. The room was a good size with large well equipped bathroom, two closets, triple glazing, impeccable housekeeping (room was cleaned twice a day!), doormen who were always there to stop cabs and greet you, concierge who was truly helpful in any questions or suggestions. The slashed prices of the recession were truly the icing on the cake. A big bowl of fresh apples near the elevator was refreshing. Proximity to Central Park and great shopping was indeed a plus. The feeling that security in the hotel worked was quieting. This is definitely a place to recommend and return to.	
May 6 2009 	How To Handle A Problem	We reserved a very comfortable and well-appointed 2-bedroom suite at the Park Avenue Loews Regency New York for a weekend beginning May 1, three nights at $793 a night. Virtually everything was to our expectation, and our 4-person party enjoyed their stay, particularly breakfast in the &quot;Library&quot;, absolute joy. Several times we discussed returning again to use the same space. But everything changed Sunday evening. The adjoining suite erupted in an extremely noisy party, every shouted word of which filled the living room of our suite. We called Guest Services and said we could not use our living room and please have the party quieted down. Nothing happened. For the remainder of Sunday we abandoned the living room of the suite, as we had no choice but to confine ourselves to the most distant bedroom. The next morning, paying my $2600 bill at checkout, I went over it all again, and was assured that I would soon be contacted by Management. Subsequently the Front Desk Manager telephoned me with a very sincere apology, and volunteered an adjustment amount to my bill that clearly reflected that they took the situation very seriously. We'll go back soon.	
May 5 2009 	Not worth it..snooty staff that act like they own Park Ave.!!	Im a pretty regular travelor and have been to many hotels in my day, and was very excited for my newborn's first trip to NYC and first hotel stay of his life! I searched out many hotels in NYC and was looking for a spacious, affordable, and kid-friendly hotel. Based on reviews, Loews seemed to be the best of all worlds, but I was quite surprised to find that the Regency, NYC lacked in all of those respects. First, the front desk staff was disinterested, aloof, and pretty much as snooty as Park Ave. itself. I asked for a room and they pushed for a kitchenette which would cost $40 more per night, and I said I didnt need one. Sure enough, they gave me a room w/ a kitchenette, but didnt charge me for it..bonus, but not sure what the deal was. I requested a crib upon arrival, and when I got there at 6:30pm, we were taken up to the room by an excellent bellman, but the crib wasnt there yet. When i asked the bellman if I should call downstairs to get it, he said that he was going to take care of it. When we returned from dinner around 10pm with my child sleeping in my arms, still no crib! We called downstairs and they finally came by 11:30 to assemble the crib, which took a half hour, while my child slept on our bed. Next, my room key deactivated twice and I couldn't get into the room, and you would think by the second time, they would have sincerely apologized, but the lady at the front desk barely looked me in the eye, let alone apologized. My wife ordered room service one night, and I know that NYC prices are up there, but she got a grilled cheese and a side salad, which came out to $58...come on! Lastly, the rooms were supposed to be spacious, by NYC standards, yet the bathroom was so tiny that my legs stuck out the door when I sat on the toilet and I hit my head twice on the mirror above the toilet, while knocking the toilet phone off the hook every time I entered the bathroom. So, in summation, crappy experience, staff that was unattentive and snooty..all around bad experience! I expected more of you , Loews!	
May 3 2009 	Bring your own laptop!	We stayed at the Regency for a week in November so my husband could run the marathon. We have 3 small children and reserved a 2 bedroom suite. The rooms were well appointed with small kitchen and large living room--plenty of space and with just enough dings and scrapes on the woodwork and walls to make us feel like our kids wouldn't damage the place too much. We had excellent service from everyone...The real problem was computer access. We did not have our laptops and so had to use the business center: $1 a minute!!! With 2 people checking emails it gets expensive in a hurry. The hotel had wifi that we tried to access with our iPhones but you had to agree to similar rates--no thanks! We were paying a small fortune for the rooms and my husband had a fit that we had to pay that much for internet use. We would stay here again for the location and rooms but next time will bring our gadgets!	
Apr 19 2009 	Woman travelling alone	When I am in NYC on business, the Regency is my hotel of choice. Although the hotel facility is very inice, I feel that what I am really paying for is unparallelled service and security. Guests are greeted by name and they do know who you are! When, at the last minute, my (very distinguished looking husband) husband was in town and able to join me, I was impressed with the security that was enforced before they even contacted me that he was in the lobby. Restaurant and room service also excellent. The concierge was extremely helpful with entertainment recommendatons and securing reservations for us.	
Apr 11 2009 	Perfect for Families and Pet Owners	Loew's is the perfect hotel for pets and families, so I have no idea why everyone keeps thinking they aren't.They guaranteed us connecting rooms for the simple fact that we have children.Feinstein's offers a magic show on Sundays and they looked after our little ones so we could have dinner alone for the evening.Not only that, but we brought our dog and it was only $25!Both our children and our dog receive welcome ammenities, and they did everything they could to make our stay company.I would strongly suggest becoming a Loew's YouFIrst member, as we got an upgrade upon arrival for being a member and a late check-out.Also you should most certainly book through MagellanVacations at NewYorkCityLuxuryHotels.com. They got us a phenomenal rate on our room and they also rebooked us at lower rates twice before our stay.	
Jan 20 2009 	Great Location !	Was worried about going to this hotel after reading a couple of reviews, but after arriving and checking in, felt very pleased with my choice. Staff very attentive and friendly We stayed in Room 505, didnt overlook Park Avenue but was the quietest hotel room I think I have ever stayed in, didnt hear anything ever. Housekeeping staff very nice, and did a good job in the room tidying up all my shopping bags for me.Only used the restaurant once for a late night snack, was very yummy, and quite pricey but no more pricey than the rest of NYC.Bar staff very chatty and friendly, nice atmosphere in the lounge bar area, just what you needed after a long day.Room was tidy, the bathroom was modern in the seventies, definately needs a new bathroom ! However saying that the shower was very powerful and the towels were very fluffy, it was just a bit old.Great location within easy walking distance of Central Park and some great shops, Bloomingdales 2 blocks away, but I prefered Macys which is a good 20 minute walk away, but can be done.Great italian restaurant around the corner called serofina. Breakfast we walked to the Wellington Hotel opposite park central and sat in a diner there for breakfast and there is the brooklyn diner opp Carnegie Hall, about 15 mins walk. And Im a slow walker.I dont think I would stay at this hotel again as I do like a nice bathroom !!!! But that is the only reason I would not go back here.	
Dec 8 2008 	Your home in NYC	Having stayed at the hotel before, we nearly made the mistake of trying another hotel, for a change. How pleased we were that we decided to stick with The Regency.We reserved a Park Avenue room, with more than ample space for tw persons, and indeed it could easily hold your two children as well!The position of the hotel is perfect if you want to be near most stores and museums, yet be in a calm neighbourhood. The staff, many who have been at the hotel for many years, are just so guest orientated that you might be in the Four Seasons, but 4S is just too big to be comfortable.Restaurants abound, and the subway is near. The only drawback is the current woeful value of the British Pound, makes NYC much more expensive than a year ago.Hope this helps.	
Nov 15 2008 	Classy but with flaws	Why classy?? * Great location:  * Just a couple of blocks from Central Park * Very close to the Metros which will get you anywhere you want to go * Staff was outstanding: always willing and able to take care of any needs. Very responsive. * Hotel room: * Room was quite large. * Bed was very comfortable * Kitchenette was nice plusWhy flaws?? Given the price of the hotel, I would have expected 5+ star quality in all areas and it was good but not great. * Rooms are somewhat dated and could use some upgrading. * Bathroom plumbing: drains in sink and tub were very slow to drain. Had to finally call maintenance to come and work on them. They finally got them to flow. * Hallway carpet: hallway carpet on at least two of the floors seemed to be dirty. Certainly not up to the standard expected.	
Oct 8 2008 	Great room for a Girls' Weekend	Management went above and beyond to make our weekend special; we were two moms and two teenage daughters celebrating High School graduation and Sweet sixteen events. Our double bedded room was HUGE by Manhattan standards and an exceptional value for the money. The fitness center was available at no charge with luxurious facilities and all the amenities one would want. Great location on Park Avenue, very close to several subway entrances. I have stayed in New York several times per year for twenty years and from now on I will make this may first choice from now on for New York City!	
Oct 5 2008 	Impressive	Great hotel, good size room. Loved the one cup coffee brewer.Bed was very comfortable. Staff helpful - helped us find a nearyby subway entrance and gave us a map and instructions for our first subway experience. Nice touch with the bowl of apples and lemonade stand in the lobby. Not very conveniently located for Broadway shows or Times Square area but great locatiion near Central Park.	
Sep 16 2008 	dirty stay	I have traveled all over the world. I generally stay at Four Seasons and Ritz Carlton, and also have stayed in Westins. I was VERY disappointed at the NY location. We stayed at the suite. The hotel was very disappointingly dirty. I am not sure how they are able to manage a business with unacceptable cleanliness. I feel this situation is due to neglect of the management. The room carpets had so many stains. The play area in the breakfast restaurant had crumbs of food. Please clean your act. I own several businesses. I could understand the expenses involved in renovation, but we spent $1000 a night including taxes. If you need to command this price, please follow with a clean location. We almost checked out due to the cleanliness, but decided not to ruin our wedding anniversary. I generally would not write comments, but hopefully accept this as a constructive criticism. I will never stay in another Lowes Hotel due to this experience. We stayed in Room #725. The staff was very helpful.	
Sep 15 2008 	Indifferent service and tired accomodations	I had high expectations, and most were not met. An indifferent front door staff -- we were ignored as we struggled to get luggage out of the taxi, as they stood by and watched, and NEVER ONCE in 3 days was a front door opened for us as we entered or left the hotel. The room (Superior King) was spacious, but with an itty-bitty, tiny bath. The rooms and hallways were old and tired, and all a bit dingy. IMPORTANT NOTE: the lack of sound proofing of the rooms was appalling - we could hear every word of the people speaking in the rooms adjacent to ours. The location is excellent, the prices high (the food and drinks were outrageous) and the overall experience more 3-star than 4 or 5-star.	
Sep 3 2008 	Loved the Regency	Enjoyed a 3 night stay at this upper east side hotel over labor day weekend. Service was excellent and very helpful. King bed in standard room had excellent linens and room was very comfortable. Good work space provided. Beautiful setting on Park Terrace at 61st. Two block walk to Central Park was great for morning jogs. Quiet area with high end shopping one block over on Madison. Convenient for museums. Number of small cafes and bistros within 3 blocks for evening meals. The hotel's Library Bar is a great place to hang out or eat small meals (but very pricy). Found a great deal on the internet and hope to return again.	
Sep 2 2008 	Big rooms and great staff!	This was my first trip to NYC and wasn't sure where to stay. I had heard that most rooms in the city were very small so I was prepared. When I opened the door to our room at the Loews Regency I was shocked at how big it was. We had 2 very nice sized closets, a dining table and comfy chair. The staff were also very nice and accommodating. The hotel is in a great location, very close to shopping and Central Park. I would stay here again.	
Sep 2 2008	Great Hotel Good Service Excellent Location!	Great hotel, friendly and good location. Rooms not overly luxurious but large and spacious. Great room service but VERY EXPENSIVE! ie $13 for a soft drink from the mini bar!!!$30 for a sandwich (but bloody tasty!!)	
Aug 9 2008 	Park Avenue Gem	We stayed at the Regency for three nights this past week. We love the location on Park Avenue and the neighborhood. Check in is extremely fast and there is an excellent door and front desk staff. Our room on the 10th floor was comfortable, spacious and very clean. The bed and pillows were comfy. Bathroom amenities were very good. Bathroom did not have a fan which is a minus. The hotel floors are quiet, elevators are prompt and housekeeping and turndown services superb. We had drinks in the bar one evening and at $21 per were overpriced even by NYC standards. Nice coffee makers in the room. This is a hotel we return to time after time.	
Jul 17 2008 	Nice Very Nice	The friendliest staff I have ever met in a hotel. Welcoming, smiling, check in was a breeze, the room (suite) was excellent. Breakfast at the Regency is a great experience (make a reservation or you won't get in). A helpful concierge gave us lots of things to do.Give yourself a reason to stay there and then enjoy one fine experience.	
Jun 29 2008 	Very impressed!	My sister and I usually stay at the Barclay Intercontinental when in New York, but it was booked and we found an affordable promotion through the hotel's web site. We were very impressed with the hotel and liked it much better than the Barclay for many reasons. Although the folks at the front desk were a little aloof, the rest of the staff was cheery, friendly and helpful, even the poor man who had to fix our toilet at 11:00 p.m.! We had requested a non-smoking room and got one, however it was clear the previous guest had smoked and so we requested another room. We were upgraded to a larger room right next door. Although the hallways were a little worn, the room was very well decorated and included a large flat-screen TV and Jonathan Adler pottery. Room service was extremely expensive so we opted to eat downstairs in The Library. Breakfast was yummy and, to top it off, there were bowls of M&amp;Ms everywhere! It is a kid-friendly and pet-friendly hotel and even has a place for kids to play right next to the restaurant.If we can afford it we will definitely return to the Loews Regency.	
May 19 2008 	Very Comfortable NYC Hotel	We really enjoyed our stay at the Loew's Regency. It is a smaller hotel with an intimate feel, but unlike many boutique hotels is full service with a nice, albeit small lobby.The Regency is in a lovely residential area on Park Avenue and 61st Street--so if you need to be in the heart of the tourist hubbub--this may not be the place for you. Walking in the nearby neighborhood is a great way to see one of the finest (and wealthiest) NYC neighborhoods.The staff was excellent, from the doormen to the front desk to housekeeping. The rooms are very comfortable with large flat screen TVs, a granite topped desk, and a comfortable chair. The rooms mostly have large picture windows. Excellent bedding and comfortable bed.The little things like providing umbrellas when raining, or having iced tea and apples in the lobby is a great touch and makes you feel like you are home away from home.The hotel is getting near to the time that it needs to be renovated. It's the little things like chipped paint and scratched furniture--but because it is clean and very luxurious, the property is aging gracefully.The Library bar/ restaurant is fun--great for people watching, very intimate and comfortable--but beware of some sticker shock on prices, especially breakfast. We've stayed at a number of NYC hotels and when we want to be on the Upper East Side--this is the place.	
May 3 2008 	very nice	We had a room with a king sized bed on the third floor. the view was of an elementary school next door. the room was on the small side for a hotel of this level, but had all of the amenitites. Soft, comfy sheets and great pillow. Plenty of towels and toiletries. My best friend and I traveled to NYC for a girls' weekend to sight see and go to a Broadway show. This hotel seems to be more for business than pleasure stays. The location is more high end residential and is a little out of the way for tourists. There are no late night eateries close by. I would not recommend this hotel for tourists on a tight schedule, due to the distance from tourist attractions.	
Apr 10 2008 	Nice New York Hotel	Enjoyable Stay at the Loews- Huge Luxury King Room- Very comfortable room- Nice Big Bed with Lots of pillows- Flat Panel TV- Bathroom Okey, kinda small- Big Work space- Service quality mixed. Doormen greet you by name, but Reception counter staff are generally aloof- Located on Park Avenue. Comfortable walk to 5th ave, Apple Store, Central Park, Rockefeller Center, even to Grand Central Station.- Quiet Part of midtown.- The Free Hot Chocolate during winter is very good and rich.Had a very nice enjoyable stay. Highly Recommended.It was much better than Sheraton Manhattan hotel.Got a great deal from Quikbook online. 2+1 night free.	
Mar 28 2008 	Loved staying here	I really liked everything about this hotel. The rooms were fabulous and the service was terrific. A great location as well. I especially liked that it was a small hotel , The beds were very comfortable .	
