	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Sep 30 2009 	Great location and value!	If you want to experience New York fully and to have a quiet place to sleep with a reasonable price, this IS the place. I booked through Expedia, which gave me 35% off of the room. Central Park and Riverside Park are just a few block away. My husband and I enjoyed a free kayaking on Hudson on weekend. As far as dinning options are concerned, I would recommend delis at Zabar's or Westside Market. You can get all kinds of wonderful meals in a very reasonable price.I would recommend purchasing 7-day regular Metro Card ($21), which takes you everywhere in NYC via subway or bus. The hotel gives you a day pass for the Jewish Community Center pool (one block away to the east). It has a great facility and would have a chance to mingle with locals.I was quite surprised how courteous New Yorkers are – including the staff at the Milburn or people on the subway.Yes, the hotel has a bit of maintenance issues and breakfast room can be busy at a time. However, I would not hesitate to book this hotel when I go to NYC next time!	
Sep 28 2009 	Great Hotel Great Location Great Price	We stayed at the Milburn for 10 days with two small children and my elderly mother in law. ROOMS: Were great, We stayed in a one bedroom suite which has 2 very very comfy double beds in one room and a sofa bed in the other. The rooms were spacious with TVs in both rooms, full bathroom and kitchenette. We spent a lot of time in our room as one of our son's were ill and did not get cabin fever. The kitchenette is not very well equipped but the staff were always happy to provide anything you needed. The bathroom may be a bit on the tired side but it was clean and the rooms were serviced daily. LOCATION: I cannot fault this location especially for a family with small children. This hotel is not in the heart and hub bub of downtown so you do actually feel comfortable wandering around at any hour to the 24 hour grocery store around the corner. While being out of the craziness of downtown you are only 1 subway stop (on the 2 train from 72nd street) away from Times Square. You are on the same line (the 1 train from 72nd street) as the ferries to Staten Island and Statue of Liberty, You are a couple of stops from the Museum of Natural History (a must esp the planetarium) on the M79 bus from 79th Street. You can walk to downtown - it took me 20 mins to get to 58th street and you are a couple of long blocks from Central Park. The shopping in the local area is great - a Barneys around the corner, a Loehmans one block down and a Filenes Basement on the cnr of 79th street. The local restaurants are adequate. THE SERVCE: I thought the staff were great. As mentioned our son was ill and they were very helpful with information about Drs etc. The free breakfast is a great bonus and am not sure what the previous reviewers issues were about - you have a choice of cereal, fruit, pastries and bagels, tea, coffee, juice and water. If you want more than that I suggest you go elsewhere and put your hand in your pocket. Yes sometimes there was no room left in the dining room but this was rare and easily solved by picking your time or taking your selection back to your room to eat. We had no problem with getting any assistance including having a town car booked for our return trip to the airport on our behalf. For the price of this hotel I think you get excellent, above expectations value. I could not recommend it enough.	
Sep 23 2009 	A great hotel ideally located	The Milburn was one of the few hotels we found which included breakfast at a reasonable price. Located on 76th street just off Broadway Ave the Milburn is just a few minutes walk from Central Park with the subway available just a few blocks away at 72nd &amp; 79th street.Breakfast consisted of bagels, cereals, fruit, juice, muffins, cookies, tea and coffee and was served in a small dining room close to reception. This did get a little crowded depending on what time you arrived but you could always grab something and take it back to your room as many people did. There were 3 free Internet terminals available; you just needed an access number available from reception, which gave you 30 minutes free access. There was also a small gym, a library and free access to a local swimming pool just a block away. To obtain the free access you asked reception for a pass for which you needed id. To use the pool you were required to wear a swimming cap.The staff couldn’t have been more helpful and the room we had provided a good-sized bathroom as well as a decent sized bedroom/kitchenette area plus a safe. Tea and coffee making facilities were supplied along with a microwave. There was a DVD connected to the TV and a library of free films was available from reception.Overall a great place to stay if you want to be reasonably close to Times Square but in a quieter area. There were also plenty of places to eat close to the hotel. If we go to New York again we would very likely stay here.	
Sep 13 2009 	Great location service and amenities need work.	The location was great, as I prefer to be away from the madness of mid-town and Time Square, with subwayu stops within a few blocks in either direction. Countless places to eat and shop within a few blocks. The facilities were spotlessly clean. The breakfast was adequate, but some healthy choices such as fruit and yogurt would have been nice. The small kitchenette was great, but needs such basics as a sharp knife. The television and internet reception was also spotty, perhaps because my room was in the back. And the front desk was less than helpful when I inquired about such simple things as the options for airport transportation. Overall, a good deal in a good location.	
Sep 12 2009 	Wonderful Location Excellent Value Would Definitely Return	Other Trip Advisor reviews didn't fail -- I was very happy with this hotel choice for my first visit to NYC. I found it easy to navigate my way from Newark Airport, using the train from the airport to Penn Station, followed by a quick subway ride and a 4-block walk. Easy! The hotel's location is terrific. The Upper West Side is a wonderful neighborhood, with lots of good, reasonably priced restaurants and a variety of shopping. It felt safe, friendly, and was a quiet respite from the frenzied pace in other parts of the City.I had the Milburn's smallest accommodation, the studio, but it was by no means tiny. I found the room size to be generous, with a comfy chair &amp; ottoman, dining table &amp; chairs, and 2 closets (one with a safe) -- and I loved the convenience of the kitchenette. The bathroom was small, but was clean, well organized, and bright. The bed was extremely comfortable, with great pillows and nice bedding. There was a large, flat-panel television with excellent station selection.In early September, I did need to use the a/c during part of my stay, and I thought the window unit was noisier than it should have been. However, I was also delighted that the room's large window could actually be opened, and when the temps cooled down, I turned off the a/c and enjoyed the fresh air, instead.The hotel was completely full during my stay, but I never heard room noise, and the lobby was busy but peaceful. There are several computer workstations for travelers who don't bring a laptop, and use is free (as is the in-room wifi). The continental breakfast included bagels, pastries, coffee, juice, fruit -- you could easily start your day with it, but on a couple of mornings, I chose to go for a full breakfast at one of the nearby restaurants. I found the Milburn to be comfortable, friendly, and a good value for New York, and I loved the Upper West Side neighborhood. I would absolutely stay there again.	
Sep 7 2009 	Basic Accomodation	It was my first time in New York city - we were there for 8 days and loved every minute of it.The Milburn Hotel was located very well in the Upper West side. Handy to Central Park, Museums &amp; the Metro. The king sized bed we had was extremely comfortable. The flat screen TV was a nice feature as well. We selected this hotel because of the reviews on Trip Advisor and by a friend. The price was right for NY and the location was quiet. However, you do get what you pay for. My complaints are the following: I rely on the internet for my job, and that is one of the reasons that we chose the Milburn - being free was a bonus. Basically it was unbelievably slow when it did work at all. When I called the front desk, they told me to call the company that provided the service, however they didn`t know the phone number. Stay elsewhere if this is important to you!!! The bathrooms were small and in need of an extreme makeover. The air conditioner worked, but it was so noisy I couldn`t sleep for the first 2 nights until I got used to it. The free breakfasts that were included were a joke - little boxes of cereal or bagels. The coffee was lousy too.Other than these complaints, it was acceptable accomodation but I wouldn`t hurry back. We changed hotels after 5 nights	
Sep 4 2009 	Exceptional service - great accomodations - one warning!	We are a family of four - kids 8 and 12. We spent two nights at the Milburn in August. Accommodations exceeded our expectations. Location was perfect - short walk to Central Park, and a great neighborhood, but away from the madness of Times Square area. The Continental Breakfast was a nice bonus (get there early but the coffee is fine!). All this for well under $ 200 US per night.The hotel is rated two starts but their service from beginning to end of our stay was definitely 5 stars +. After an 8 hour drive to NYC we parked in a 15 minute unloading zone directly in front of the hotel and went in with our luggage to check in. The clerk noticed immediately that we were being issued a parking ticket. When I ran back out to explain our situation to the police officer the manager followed me out, and when I was told the ticket could not be retracted, the manager took it off my hands.As if that wasn't enough - we'd requested the lowest floor possible (elevator-phobia) and found out our standard room was on the 5th floor, but once again - and without us even asking - the manager stepped in and upgraded us to a suite on the second floor at no extra charge.We would not hesitate to book at the Milburn for our next NYC trip and would recommend it to anyone visiting NYC. Thanks to everyone at the Milburn for service above and beyond. We will definitely be back.One important warning - the Milburn subscribes to a domestic cable TV package that includes an access channel (55?) that broadcasts infomercials late at night for Escort Services and these infomercials border on pornographic.Do not leave your kids unsupervised in front of the TV late at night.	
Aug 28 2009 	Nice hotel with good location but management intentionally overcharges you.	I had a very pleasant stay with my family at the Milburn. However, when I checked out in the early morning I noticed that I had been overcharged for two days. I pointed this out to the cashier and he acknowleged it was wrong and this happened &quot;all the time&quot; but only the general manager could adjust the bill and would do so in a few hours when he came in. I signed the bill assuming that I was dealing with a reputable hotel and the adjustment would be made. It wasn't and because I signed the bill I had accepted the fraudulent charges and they weren't going to adjust them.	
Aug 24 2009 	great value	we just spent 9 days at the milburn and w thought it great value,the rooms with small kitchen and very comfortable bed were clean and serviced daily.the staff were very helpful and friendly and the location great(3blocks from subway).we bought a 7day pass and found the 1 line took us most of the places you need to go.the only downside was no views from the rooms.we would recommend this hotel to anyone wanting a budget hotel in manhattan,it even includes a basic breakfast with good coffee	
Aug 15 2009 	Very good value for money	Hotel very convenient for families with children.No fancy stuff but everything you need and the price was definitely right (less that 200 usd/night).Location close to CP, subway station, and if you don't mind to walk you can easiliy reach 5th avenue or Times Square in half hour or so.	
Aug 11 2009 	Great deal in NYC	My son and I stayed at the Milburn for one night while in NYC to visit colleges. It exceeded our expectations at every opportunity. The Upper West Side location (Broadway and 76th St.) was very convenient to Columbia University - a 3 block walk up Broadway to the subway station and then a short 5-stop ride to 116th St. Also, the hotel is close to the Museum of Natural History and Central Park. We liked the restaurant options in the neighborhood. It's a nice change from mid-town. Our room was quite spacious - most unusual for a NYC hotel. Our room had 2 queen sized bedsand space for a couch and chairs, as well as a small kitchenette. The continental breakfast served downstairs was a good selection of cereal, yogurt, fruit, bagels juices, etc. Free wireless internet throughout the hotel.This is an older property, but we found it to be clean and well maintained. The staff was friendly and helpful.I can't believe we found this place in NYC!	
Aug 10 2009 	Great family hotel in NYC	We had never traveled to NYC, so our research online using TripAdvisor was very helpful in finding the Milburn. We were encouraged by a local friend to stay away from the Times Square/Midtown area to get away from the mayhem and better experience life in a New York neighborhood. I am so glad we stayed in this upper west side location! The room at the Milburn was tiny - this was not a surprise based on everything I read about NYC hotel rooms. We had the studio double - two double beds, a tiny table with two chairs, very small bathroom, and a small kitchenette with microwave, refrigerator, some plates/silverware, and countertop (the kitchenette also had some shelves and ended up being an alternate location for one of our suitcases and belongings). There were four of us - my husband and I, and our two young adult daughters. We did get a pretty good rate through hotels.com (~$137 a night) - expensive for us, but reasonable for New York. If money were no object, we would get two rooms, but.....On the plus side, the beds were very comfortable (I generally have a hard time sleeping in hotels because of the super-hard beds) and had nice linens, delightful pillows. Room was quiet - we did not face out onto the street, but we were near the elevator and did not have a problem. The bathroom had seen better days (heavy on the caulk), but it was clean and worked fine for us.Lots of families at this hotel. They did provide a free continental breakfast - fresh bagels, juice, fruit - but it was often very crowded. Also free wireless internet in the rooms and three computer stations in the lobby for public use. They have a sharing library of books and also videos/video games that can be checked out for free.The front desk staff members were extremely helpful. They greeted us warmly, provided directions and helpful tips, arranged our transportation back to the airport.The only strange thing is that the ice machine and the soda machine are in the basement. The first time I took the elevator down there, I thought it was a mistake - there were housekeeping staff and old mattresses and cleaning supplies everywhere. But there's a tiny room just across from the elevator that houses those items.The neighborhood is wonderful - lots of grocery stores, pharmacies, Filene's Basement and Loehman's nearby, other small specialty shops. Two blocks to the 79th St. subway station - same intersection is where you catch the crosstown bus (M79) that takes you to Central Park and beyond. If you go the other way, you're about 4 blocks from the 72nd St. subway station (there's a Gray's Papaya hot dog place right there that's great). Easy to get to Times Square/Broadway shows. I felt it was very safe.High spots:Manhattan Diner (on Broadway, I think on the corner at 77th?) - wonderful breakfast, get the challah French toast; they also have good desserts.Levain Bakery - just east of the intersection of Amsterdam and 74th - a tiny basement bakery with GIANT warm yummy cookies - the chocolate chip walnut and chocolate peanut butter chip ones were delicious, oatmeal raisin good, tooGray's Papaya (near the 72nd street subway station) - plain grilled hot dogs with mustard and toasted buns. Get the pineapple juice instead of the papaya.Fairway Grocery (corner of 74th and Broadway) - for a Texas girl, this was an amazing glimpse of a &quot;big&quot; New York grocery store. Beautiful fresh produce, extensive bakery and deli. I will say that the deli attendant was yelling at a customer for missing her number being called - a bit intimidating - and the checkout process is fast and crammed. You better be ready and on your A game - this is no Wal-Mart! We bought fruit, veggies, bread, and butter to have in the room for snacks.Also, we got good breakfast sandwiches (bagel with eggs, bacon, cheese) and fresh squeezed orange juice at a hole in the wall place on Amsterdam, maybe called Bagel O?Get the unlimited Metro card and ride subways/buses to your heart's content.I would definitely come back to this hotel and appreciate the fine service we received while there.	
Aug 6 2009 	great	I can't wait to go back. I really loved this hotel. It's in the upper West side not far to Central Park and museum mile.By MTA not far to Downtown Manhattan.	
Aug 3 2009 	Excelent option(roombreakfastinternetlocation) with afordable budget.	It was an amazing option.Its not a luxury hotel and the prices arent of a luxury hotel. An old building but in excelent conditions with good and friendly service.Room in excelent conditions and cleanness with 1 kingsize bedroom and 1 living room with sofa (my 2 children slept in it very well), each with LCD TVs, sound system, air conditioners. Good bathroom and a small kitchen. Included (free) breakfast and internet access.Excelent neighboorhood, 3 blocks from Central Park ( American Museum of Natural History ), 3 blocks from subway, half block from Broadway street, lots of taxis, restaurants.	
Jul 27 2009 	Excellent stay w/large clean room!	Husband, Wife, 10-year-old.We were pleasantly surprised by our recent stay at the Milburn. We chose the hotel because of the location -- two blocks from relatives -- and were a bit concerned about cleanliness because of a couple of reviews. (Had the option of the Belleclaire and the Lucerne, both for a little less money, but the Belleclaire had some construction going on -- light sleepers -- and the Lucerne was a little farther away than we wanted to be.) We checked in in the morning, before the rooms were ready, but wanted to get the king sized bed, which they wouldn't guarantee over the phone, and wanted to see about getting a quiet room. We were given a really nice sized room on the 12th floor. King bed (simmons beautyrest....excellent), big flat screen tv w/cable, desk with free internet, small kitchen w/fridge, microwave and sink, closet w/safe, and a large CLEAN bathroom that had obviously recently been renovated. Everything was clean, there were tons of pillows, and we were really pleased. Contintental breakfast with cereal, a good variety of bagels, muffins, etc . . . all included in the price. There was a DVD player and a VCR in the room and the hotel has hundreds of movies available, at no charge, at the desk! Lastly, in addition to their own exercise room, swimming is available, for free, at the JCC across the street . . . nice place! Also, they have 24-hour room service with the Manhattan Diner across the street . . . less than 30 minutes for delivery and the prices aren't marked up. Let's just say there was nothing wrong with this stay! The staff were helpful, pleasant, and we were pleased.A few thoughts: Because it's summer, we were running the air conditioner the whole time. Since the air conditioner was running the whole time, we barely heard any noise in the hotel. Our room looked out over the inner block, not the street, so there was no real street noise to speak of anyway, however the hotel does use the doors with electronic keys which means they need to be slammed a bit to close. Also, our room was across the hall from the stairs -- doesn't really matter on the 12th floor -- and also right by the elevator. Without the air conditioner, we might have heard more of the people in the halls and other TVs . . . standard hotel stuff but, perhaps, a bit more evident in an older building?Two standard pet peeves: I'll probably write this in every review but hotel designers should be required to spend one week in every room they remodel!1. The big flat screen tv was great, however it has a BRIGHT blue power light that stays on when the TV is off. Really bright . . . two towels thick bright, if you know what I mean.2. The completely remodeled bathroom has no shelves. I don't know why this is so common. There's a toilet, with a back . . . put a small shelf there for stuff. There are wrap-around mirrors but only one hook on the door. EVERY traveler travels with toothbrush, toothpaste, drugs, etc. There should always be a place to put them.I highly recommend this hotel to anyone traveling to New York and staying on the Upper West Side. The restaurants and shopping in the neighborhood are great, you're walking distance to the subway, Museum of Natural History, Central Park, Beacon Theatre....really convenient.	
Jul 14 2009	Good overall	Great neighbourhood, excellent value and thrilled to see they have extended the breakfast to everyday (last fall it was only Mon-Thurs). My recent stay last week was the third time at the Milburn (which says a lot in itself)....but they seem to have let the 9th floor slide on cleanliness. Maybe it's the next floor scheduled for renovations? We arrived to long, black hair in clumps on the bathroom floor (the toilet had the sanitation seal on it from recent cleaning), the dishes in the cupboard were covered in oil and food, as was the kitchen countertops and light switch. The telephone and night stand had not seen a wipe down in a very long time either. Overall the room was fine (clean linens on the beds, and boy, they are sooooo comfortable), but when we told the front desk about the dishes needing cleaning the room staff only left a clean set on the counter with the dirty dishes remaining in the cupboard.	
Jul 3 2009 	Best kept secret!	My husband and I stayed in the Mlburn for three nights with four young children. Everything about our stay was fabulous. The price (for NY) was extremely reasonable, the location (upper West Side) was very convienent, the room siz (again, for NY) was more than adequate and the staff was friendly and helpful at all times. We were able to book a suite two days before arriving at more than 1/2 the cost we were quoted at other hotels.	
Jul 1 2009 	Great Location Comfortable Accomodations!	Milburn Hotel was an excellent value for NYC.....our room on the 6th floor was large and very comfortable. Some of the decor is dated...but the tv's (flat screen) were current. We had a living room area complete with a sofa which pulled out to a bed. Small kitchenette area (decent size fridge/microwave/sink)...small bathroom (hard to store toiletries). King sized bed was a delight to come back to....slept like a baby. Great pillows too. Room was very clean. Walls were thick...barely heard any noise. No view from our windows...just looked onto some bldg's. Great location....easy walk to subway, grocery store, shopping, decent restaurants, Central Park, etc. Free use of computers (only time we used it was to print our boarding passes...which they did for us). Small workout room. No restaurant in the hotel....but a free bfast was nice. They served mainly bagels, cereal, juices, etc. I would definitely stay at this hotel again.	
Jun 29 2009 	FANTASTIC LOCATION GREAT VALUE	The Milburn is located in the Upper West Side of NYC, about 5 blocks from Central Park and seconds from the Subway. We stayed in room 1006. It was surprisingly spacious, king size bed, flat screen TV, air conditioner, kitchenette with small refridgerator, coffee maker, iron and ironing board, good sized bathroom. The bed was fabulous, very comfortable and no polyester blankets! No view from this room. The windows faced 3 other buildings. The overall customer service there was great, felt so welcomed. Free continental breakfast, nothing to get excited about, cereal, coffee juice but all and all great deal for total package!We drove from Boston, parked the car out front to unload our bags and asked about parking. The concierge noted the Hertz on Amsterdam and Broadway charges $25.00 per day (if they have spaces) for Milburn guests or the other garages are $50.00 a day....the door man suggested street parking. We found street parking on the same block as the hotel for free on a Saturday night! No problems!!The neighborhood was gorgeous, lots of fresh markets, flea market on Sundays, and the Manhattan Diner a block away with 24 hour service and amazing food!Perfect location and quality for price. Paid $169.00 per night plus taxes came to $198.00Will definitely return!	
May 28 2009 	Best value in NYC!	Instead of an itsy-bitsy room, for the same price at The Milburn you get a suite with living room, separate bedroom and kitchenette, fridge &amp; microwave. Comfortable furnishings, 2 flat screen tv's, roomier-than-usual bath, PLUS the free continental breakfast with wonderful NYC bagels &amp; orange juice. Also free wifi. At 76th &amp; Broadway, we never had to wait for a cab -- nice, quiet neighborhood with grocery store around the corner. In our humble opinion, this is the best value in New York! Very accommodating front desk staff -- never had to wait to ask a question. Printed off our boarding passes for free.	
May 28 2009 	Excellent rapport between quality and price	We have just returned from New York having spent a week in the Milburn Hotel.This was our second visit and we were even more pleased.We had a very spacious room on the 13th floor.The room had a very nice balcony with a view of the Hudson river.We were fortunate to have a large bathroom .The staff in this hotel are really friendly and we noticed there seem to be very little change over of staff which we take to be a good sigh.True as other reviews have noted its not the most modern hotel but give me good service and friendly professional staff any time.The location is terrific.A really lovely neighbourhood with everything at hand.I just love the Manhatten Diner across the road.The breakfast in the Hotel is very disappointing but the diner is great and we thought a real New York Experience.The Hotel provides free wi fi which is pretty standard now.We travelled from Ireland and didnt bring a lap top .No need as there are three pcs with internet access for residents use.The are is very well catered for with some excellent delis on Broadway.In particular Zabars is outstanding and just a little walk up Broadway.I would recommend this hotel to anyone who wants a little peace in the centre of Manhatten.	
Apr 3 2009 	The Milburn Delivers Again	We won't stay anywhere else when we visit New York. However, this is NOT a luxury hotel. If you like new shiny Hiltons or Sheratons and don't know New York, you may not like this hotel. But it is a REAL bargain in Manhattan. In an Upper West Side neighborhood, close to restaurants and grocery shopping--and all kinds of other shopping. Three blocks from the cross-town bus or the subway. About 10 blocks from Lincoln Center (if you're a walker, Times Square is only 35 blocks away, but the express subway from 72nd street will take you there with no stops). Two blocks from the park. Quieter than the Times Square hotels and cleaner. The continental breakfast is a nice addition. It's also handy to have a kitchenette, however small. Although there is no restaurant, there is room service through the front desk from local restaurants--and the prices are reasonable. This time, we had a king suite (usually stay in a junior suite) and the space was wonderful. Except for the bathroom. The bathrooms here are infinitesimal. You can barely turn around, no matter what the size of the room. It's an old building, the carpeting is worn, but it's clean. The bed was very comfortable. Staff was friendly and helpful as ever. The swimming pool and fitness center are not on the premises. Although they say they have laundry facilities, they are industrial-size washers that cost $4 to wash and $2 to dry. If you have a huge amount of stuff to wash, that might be a deal, but if you pack light, there's a laundromat a block away on 75th where a wash is $2 and dry is .25 for each 7.5 minutes.	
