	Great position and excellent rooms with a view	This was my third stay at the London in the past 12 months and it continues to be excellent.Book a &quot;Vista Suite&quot; and you will get a room with a separate, generously proportioned sitting area with a bay window and a big curved sofa where you can sit and read the New York Times over coffee and a spectacular view up Central Park (and both rivers if you are on a high enough floor). I really believe these rooms to be great value considering size/cost options of other mid town hotels of this standard. Located just a couple of blocks from the park, shopping on 5th avenue, Carnegie hall and only half a block from Moma, this is the ideal position for a long weekend in NYC. It feels like your very own private apartment. While some of the newer boutique (hip) hotels may eclipse the London for the &quot;cool factor&quot; , this hotel offers good looking, functional, immaculately clean rooms (that still smell brand new because they have never been smoked in) that are above all, quiet. I am getting too old to want to hear the thumping of a hotel bar at 3:00AM and the London is pleasantly peaceful. The restaurant food is good, especially the breakfast selection. The gym is very well equipped and there is free WiFi. The concierge department are very helpful but the doormen remain just a touch edgy. In all, you cannot go wrong with choosing the London.	
Oct 8 2009 	Beautiful Hotel in Midtown	The hotel and staff was wonderful during our weekend stay in October. The rooms are spacious, clean, updated and hip. The concierge service was outstanding and very helpful in booking last minute dinner reservations. I would also recommend making reservations for high tea which is a little bit of London in NYC. We will definitely be back and recommend this hotel to our friends.	
Oct 6 2009	Great Hotel	The room was nice. Double headed shower-awesome. The famous Chef Ramsey has a restaurant inside which is also pretty cool	
Oct 5 2009 	THE LONDON SUCKS	They messed up our room reservation, gave me unwanted wake up calls at 3am, and charged me for minibar items i never got!! all with no apologies.... the people at the front desk are rude and inconsiderate!	
Oct 4 2009 	A top place	This is a special place, it was advertised in the Centurion magazine and had a few perks to attract new clientele.I was treated in the most polite and professional manner throughout the 5 days I spent here, the Front Desk Manager really went the extra mile to give me and the two friends I travelled with a wonderful experience. He locked off two of the end rooms so we had 2 suites to ourselves with interconnecting doors.You can complain about price but this is New York, there isn't really a massive difference for the area. One thing that always appeals to me is when guests dress up a little even for breakfast, that was the case over here - very classy.The breakfast buffet has all the things you would expect and there is a Ramsay restaurant I believe.The location is pretty dead on perfect, a few blocks up from Times Square, you don't get to see all the foot-traffic passing the hotel which is nice. You have the proximity to Central Park and the shopping on 5th Avenue, Hells Kitchen is just round the corner.When I went, there was a sudden snowstorm on the 1st of March - I will never forget the experience of NY with a carpet of fresh white snow - I wished the planes were grounded so I could stay another day....shame but a beautiful memory.Take a punt and go for this hotel - you will not be disappointed. Enjoy!	
Sep 30 2009 	Will Stay Here Again	I stayed here during the UN General Assembly week and it was the least expensive Amex Platinum property I could find. We were impressed with the rooms and the hotel in general. Great location. The staff at breakfast is not great and the food ok but since we had brkfst included we did not complain. Will check The London out when making future plans for NYC&gt;	
Sep 30 2009 	Great rooms great location.	Stayed here with my daughter for 7 nights. Rooms were huge by city standards, beautifully furnished and immaculate. Staff at check in were friendly and helpful as were all the staff we encountered during our stay. The location couldn't be better as everyone else has said, walk in minutes to Central Park, Times Square (though why you would I'm not sure) and between 6th and 7th Avenues so excellent for shopaholics.The Gordon Ramsay Restaurant provided a superb dining experience on our last night and the staff there were delightful.Would recommend The London unreservedly.	
Sep 28 2009 	Great Hotel but...	Let me start this by saying that we had a great time at this hotel. We have stayed here 6 or 7 times, and enjoyed each time. This was perhaps our best stay. But, when check out time came, the rates had been increased by a total of about $600 for 4 nights. I spoke with the assistant manager and she said that since I didnt have my confirmation email, there was &quot;nothing&quot; she could do (of course I know as does every one reading this that she could have &quot;discounted&quot; the rate if she would have wanted to.) Next time I will print and keep the confirmation email. Overall a great hotel but I would not have booked at this higher price.	
Sep 28 2009 	My new NYC favourite	Well, the usual disclaimer; over 150 nights in hotels across the globe a year, from the Holiday Inn Express to the Four Seasons. Member of every top tier hotel loyalty programme, noise phobic, hygiene obsessed and damn fussy.I get to NYC about 5-6 times a year for the past 15 years. I started at the Pierre, moved to the Plaza Athenee and then ten years ago discovered the Ritz Carlton at Central Park. In-between, I must have done every other 5-Star NYC hotel, including the St Regis, Peninsula, Mandarin Oriental and Trump. So, I know what I am talking about when it comes to NYC hotels.I tried to book the RC, but it was UN Week and they were full, so headed to the London, as it was recommended to me by an equally fussy traveller.Well, wow. I tried to find fault, tried to pick the place apart. I read every bad review on here so I could look for the bad things. But I didn’t find a single thing wrong. In fact, I am delighted to suggest that this may just be the finest hotel in NYC.Ok, so it’s not got that clubby Hamptons-Wall Street exclusivity of the Ritz or the Peninsula, and nor does it have the painful trendiness of Soho House or the Tribeca Grand. But it’s also a different planet from the pack and stack of the Hilton or Sheraton or even the Parker up the road.The location too is perfect. Central Park-5mins. Times Sq/Braodway-10mins. 5th Av-5mins. Downtown-20mins. My favourite Deli, the Carniege-2mins.The door staff are great, the Concierge full of self importance (but find me anything else in New York City), front desk very attentive and every one I came across was friendly and efficient.I set a few tests when I arrive; how quick do they come and pick up my shirts and press them when I arrive, how fast do they bring me my foam pillows, and is it clean under the bed. Well, record time to the first two and spotless to the last.I was on the 52nd floor facing over the park. If it wasn’t for the office block opposite it would be the best view in Manhattan-but I got up to the Washington Bridge on one side and the Triboro on the other, with a fair amount of the park below.The room/suite is fantastic. Larger than two RC’s rooms put together. I like contemporary, and these guys have nailed it. Simple, unpretentious and very functional.Great working desk, super large table, lovely rocking chair, loads of storage and a fantastic bed. This is seriously a great bed. The bathroom was nice, with a double shower-but I would have liked a bath.All the technology worked effortlessly and I loved the free internet for my two laptops.Most importantly for me was the noise. Not a sound from upstairs or next door, and once you shut the doors to the bedroom area, nothing too from the hallway. I have never slept in a more silent hotel room in the middle of the world’s noisiest city. Simply mind-blowing.I even phoned the manager when I was there to say what a great hotel the London is. I feel a slight betrayal to the RC, but sorry guys I am going to leave your chintzy exclusivity to the Hampton set , as I have a new home in New York.You would be insane to stay anywhere else.	
Sep 24 2009 	We'll be back- great value	This was a great value for a NYC luxury hotel. We normally stay at the Mandarin Oriental, but found the London NYC to be a great value at about half the price. The rooms at the London were much larger, two room suites in fact which is really a luxury compared to most hotel room sizes in the city. It was so nice to have a separate bedroom and sitting room. Maze is a great restaurant and there are plenty more within a couple of blocks. I would and will stay here again.	
Sep 20 2009 	The Best in NYC	Loved our stay at the London once again. We keep coming back to this hotel. Great service, big beautiful room &amp; bath, wonderful top notch restaurant, not in the chaos of Time Square or Central Park...but just a few blocks away, so great location! We would definately stay here again &amp; bring friends. Their 2bedroom suites are awesome for staying with another couple or with children also. You really need to give the London NYC a try...you will be so glad you did!	
Sep 16 2009 	My home from home in NYC	I have stayed in many of the top hotels in NYC and The London is by far and away my favourite. The rooms are huge with a reception area, living room, bedroom, closet area and a massive shower room. Rooms abound with stylish and convenient touches such as powered drapes, dimming lights, flat screen TV's, and complimentary internet. The furniture is very stylish but never at the expense of function. You have a choice of two showers and effective heating/cooling. Cleanliness is never a concern with crisp sheets and not a hint of dust anywhere. I have always had positive experiences with the staff and find the Hotel conveniently located for midtown. My only gripe is around the room service and minibar prices which are on the high side even for NY but hey, why are you ordering room service in NY!My colleagues often opt to stay at The W but in my opinion, the London is in a different league altogether delivering both style and substance and truly making its guests feel welcome.	
Sep 14 2009 	A great stay at the London	We stayed at the London for 3 nights during Labor day weekend to celebrate my little girl's birthday. The hotel was everything that I expected. We stayed on the 32nd floor in a London Suite. It was huge compared to other hotel rooms or residential apartments in Manhattan. We used to live in NYC so we really appreciated the size of the suite. It had a great living area where we hung out with the kids. We were able to put my son's roll away bed there. The bedroom had a great king size bed. The best part of the suite was the huge bathroom and double showers. The kids got a kick out of it. The rooms were super clean and very modern. It was not one of those typical stuffy, traditional rooms like other hotels in the area. We really liked the modern furniture and design. Everything looked new and clean which is key to a happy stay.Since we use to live in NYC, we didn't use much of the services at the hotel. I can't provide any input on the concierge service, room service etc. The location is super and close to many subways. We would come back and stay here again and recommend the hotel to our friends visiting NYC.	
Sep 14 2009 	Best. Hotel. Ever.	This hotel was fantastic. I've stayed in a lot of hotels and I can safely say that this was my favourite. Typically rooms in NYC are quite tiny. Shoebox tiny. Our room was a regular rate room and it was very spacious, with a small foyer, living room, separate bedroom and large, spa-like bathroom. The room was very clean, and the fact that the living room had hardwood flooring rather than carpeting made a huge difference. Carpeting grosses me out. The hotel is quite new and therefore very inexpensive, relative to other NYC hotels. Very chic...it's a boutique hotel with high style. The location is fantastic. Only about a 15 minute walk to all the action on Broadway. 5 minute walk to David Letterman's studio. It is an absolute no-brainer that this will be our new default hotel in NYC. I'm thrilled that we found it. If I had one complaint, it would be the astronomical prices in the Wolfgang Puck restaurant. My husband and I had a quick 5 minute breakfast (a bowl of berries each and some bread, etc. from the buffet) and it cost us USD$60. Next time we will take the 2 minute walk to Au Bon Pain.	
Sep 13 2009 	Amazing hotel in an amazing location!	We stayed at The London NYC for 5 nights and we think we made the absolute best choice of accommodation. We booked through expedia and got an excellent rate for such a fabulous property. The accommodation is all suites and the bedroom and living area are huge! Beautiful glass and tile bathrooms with double showers - some rooms had a single shower and a bathtub. The service was excellent - we had coffee to the room each morning and it arrived very quickly. We had a problem opening the minibar and they sent someone up to remedy it at once. The front desk and concierge staff were also most helpful. AND......the location - it couldn't be any better! We were 2 blocks from Central Park and right between 6th and 7th Ave so everything was on our doorstep. We walked to shopping, restaurants, theatre, Central Park and sightseeing, There were subway stops all around us depending where we wanted to go. I'd highly recommend this hotel!	
Sep 8 2009 	A pleasant surprise	We lucked out in choosing The London. Our room was comfortable, clean, and nicely appointed with modern furnishings. The location was unbeatable. The unexpected gifts for our birthdays was a special touch. The food at Gordon Ramsey's restaurant was delectable. The only thing that was not worth the money was room-service breakfast—way too expensive for what you get. Overall, I'd recommend this place to friends, family, and everyone else. Contact one of their customer service reps, Julie Andrews, before your stay and tell her anything you need. She's great!	
Sep 7 2009 	Excellent upscale play to stay in the city	Rooms very modern and comfortable. Concierge helpful.Parking was the only negative.	
Sep 4 2009 	Spacious rooms Extraordinary service Nice decor	I chose the London for a personal trip in August based on reviews that stated the rooms were much larger and its midtown location. My husband and I arrived with a multitude of bags and the valet was very quick to get a bell cart, whisked it away and the next time we saw everything was in our room. Check in was quick and efficient, they noticed that I had made a request for a higher floor and honored it.The rooms are very spacious for a hotel at this price range. Most high end boutique hotels will have a well furnised but tiny room, here you had an entry way, a sitting area that could be closed off with frech doors, a small workspace next to the windows, a large king sized bed, a closet area and then a bath that was huge as well. I do want to note that the closet area was completely open, and only had the space for us to hang items from. I did miss having a chest or shelves to put away some of my smaller items. The room was the one that you saw right off the elevator, given its location, I did wonder if perhaps some of the other rooms might have had a different layout. The closet design was a small issue though, and I really appreciated having the space to spread out and almost feel like you are in a small apartment rather than a hotel room. The room also had large windows and you had a lot of light. It was furnished in shades of light blue and was very pleasant and had a boutique yet homey vibe. The bed was big, well made with comfortable linen.The bathroom had a great shower and lots of space to walk around, though like the closets I was perplexed by the lack of counterspace and hooks to hang towels, bathrobes from. Flat screen TVs in both the sitting and sleeping area as well as free Wifi made for convenient entertainment.Service was impeccable, friendly without being intrusive. The clientele seemed mostly European. The midtown location is convenient for fifth ave shopping, its close to the park etc.I did not get to sample wares at the famous Ramsey restaurant, though we did spend some time at the bar and had some really great cocktails. Both my husband and I commented that you felt like you were in London rather than in New York while inside the hotel!I used the fitness center for yoga one day, it was spacious with some good high end machines. Unfortunately my trip was cut short abruptly and I had to leave in a hurry. I called at about 10 am, to let them know that I would come after noon to check out. They were extremely gracious during checkout and in fact despite the fact that I packed up at about 2 pm, they did not charge me for an extra day. I had left some items with the concierge for pick up and we had a small issue as they were not able to locate it when I asked for it. However, they diligently followed up with me via e-mail, ensure that they found it and kept the package ready for pick up.In all, I do think the Hotel desrves its extreamely high ratings for service and spaciousneess. I like the room layouts a lot. Free wifi is very welcome. I did feel they could think a little more about storage re: closets and usage in the bathroom. But this was a minor want and the plusses far outweight the minuses at the hotel.I would definitly stay here again and would highly recommend it to families who will really appreciate the extra space. Its great value for money. The friendly and efficient service is a cherry on top!	
Sep 3 2009 	What a exceptional experience staying at the London	The suite they gave us at the London was beautiful, spacious and the service was outstanding.We dined at Gordon Ramsey's restaurant and the food and service was excellent we willmake it a point to stay at the London Hotel on our next visit to NYC	
Aug 31 2009 	very good hotel great location some areas need improvement	This hotel is really very suited for Business travellers. My brother in law travels to NYC alot and has started staying here. I was planning a trip to NYC wiyth my mother who has never been so decided to splash out a little. The feedback on the hotel was very good so after much deliberation i booked a room (suite).the plus points : GREAT location - located on 54th street - ideally located for all the best attractionsGREAT Breakfast - a very nice selection that should cater for most tastes. breakfast service is also very good and it takes place in the MAZE (a gordon ramsay restaurant)GREAT ROOMS. they are very clean, spacious for new york. I needed a room with two beds and i got this . Rooms are very well equiped both for comfort and technically for the business traveller. the bathrooms are huge also - although we did not need it - it had a combined his and her shower. lots of storage in the room. GREAT Concierge staff. JARED and Ritchie who assisted me a great deal are brilliant. They all are very helpful. only i had more dealings with Jared and Ritchie. The guys are very helpful and nothing is too much trouble. If you wanna get into a club or restaurant that is hard to get into - then these guys can work wonders. - the real deal on Conceirge !the BAR is a very nice to chill and have a drink. it certainly gets a certain standard of clientele.The GYM is excellent. its got the latest TECHNO GYM equipment. very spacious and very well equippednegative points1. no BBC world service on TV2. my check in was not great so i told the front office manager who assured me that he was going to have words. dont be served by Anna. Other wise they are very good and very helpful.3. the breakfast bill arrived too early on into my breakfast. other than that - the whole breakfast package was very good.other points : the hotel offers a complimentary car to take you 20 blocks . north or south of the hotel. that means up to 74th street and down as far as 34th street. I never got told this during the checkin process and the door men were telling me different stories regarding how far the car (which is used on a 1st come 1st served basis) could be taken, so after getting annoyed i told them to i wanted to go and they took me. did not like that . but iuf you stay here its worth noting....after all it all part of the package. Look out for the car with a number plate called GOLD 5 - this is the hotel comp car...Would i go back ? - only on Business. Its not suited to a family. if you need two beds in a room, this is a great hotel. the rooms as i mentioned are a great size having stayed in a few very nice hotels (*e.g. ROYALTON rooms are very small in comparison)it not suited to families in my opinion. the Hilton i think would be a better choice for the area. Because of the service i received i have given it 3 stars - otherwise it would have been 5.the important thing is that my mother enjoyed her stay and trip.best of luck !	
Aug 25 2009 	Perfect 25th Anniversary Stay	We just returned from a lovely stay in a Vista suite at the London. Upon entering our suite on the 38th floor, I saw 2 dozen roses. My husband had contacted the concierge to arrange for their delivery and was quite pleased with the quality and price. Both the living room and bedroom had views of Central Park. The room was scrupulously clean and was kept so throughout our stay. We loved the clean, modern, yet warm, decor. We had a memorable dinner at maze by Gordon Ramsay, as well as a delightful afternoon tea. The London Bar is a quiet refuge for an afternoon drink (delicious mojitos!) Food is expensive but of very high quality. For the rate we paid (from $339-389 per night) we feel that we received an excellent value.	
Aug 23 2009 	Great location great room and friendly staff.	We spent a weekend in New York with friends from Wisconsin. We picked the London because of a recommendation from friends and special summer rates. We were not disappointed. The staff was attentive and friendly - starting with the greeting from the doorman. The room was quite large by New York standards - we enjoyed our stay and look forward to returning to the London.	
Aug 20 2009 	Great Hotel	We were in New York for a wedding and some shopping. This hotel was ideally located, walking distance to most of the things that we wanted to do. At check-in we were given lots of choices and options for our room, and they accommodated our early check-in happily. Our room was spotless, large, and very comfortable. Throughout our stay we found the staff to be very helpful and pleasant. We will definitely stay here the next time we are in NYC.	
Aug 18 2009 	New York at her best!	My sister and I stayed at The London this past weekend on the recommendation of a friend who goes to NYC about every 2 months. He raved about The London and we were not disappointed. We are all about cleanliness and loved the wood floors and the immaculate comfortors on the beds. The staff made us feel like royalty. The only thing missing were 2 comfy chairs in front of the huge window overlooking the city (instead of the leather covered bench). We loved The London!	
Aug 17 2009 	Suite Luxury in Midtown Manhattan	Spent two nights at this all suite hotel as part of my round the world vacation. Was booked through the American Express Fine Hotels &amp; Resorts programme so some additional amenities are included in the rate. Check in was reasonably efficient and had been told I was now in a corner room....cool I thought. On arriving in the room it was clear it had corners but was not in fact on a corner! When I queried reception they claimed this was a corner room....they must have seen me coming! The actual room was fine and I was not planning to spend time gazing out the window so did not request a change.The room itself is tastefully decorated and had a nice bay window in the lounge room with a couch (which had footprints on it, I suggest housekeeping rather than design) and cool light fittings. The desk (with complimentary internet) was a good size although the chair was not all that comfortable. A nice big bed with great pillows was in the next room as well as a separate walk in robe. The bathroom was all marble/granite although my room had a shower only. Nice amenities and towels were also present.I had some trouble with the TV in the bedroom which did not work but this was rectified the next day. The room was certainly showing some dents and scratches even though it is relatviely new. It was also odd that there were no tea and coffee making facilities in the room - almost standard these days even in hotels with less stars than this one.Breakfast was included and served in the Gordon Ramsay Restaurant on the ground floor. A nice setting but the Continental Selection was a little meagre for the price (if I had to pay). For a little more you could also choose off the menu and the food was pretty good. I also took advantage of my other included &quot;amenity&quot; which was high tea in the same restaurant. A great selection of traditional English afternoon tea delights were served on a tiered tray with a range of teas.The staff in the restaurant were efficient if not that friendly.The location is excellent (on 54th between 6th and 7th) and you are certainly in walking distance to many places in the city. Overall it was a very comfortable and pleasant stay. I would certainly wish to stay there again.	
Aug 15 2009 	The best located hotel in New York	How I loved the London-- let me count the ways. This may well have been my favorite hotel in New York. Having a 500 square foot suite was wonderful. I had space to spread out, room to move about-- it was divine. The bed was fabulous, very comfortable at the end of a long day. I also thoroughly enjoyed the huge bathroom. There was enough room for two or three people in that shower! Being a woman traveler in my late twenties, I found the hotel to be the perfect combination of luxury, comfort and cool. When I went down for appetizers and drinks, Maze was a buzz of activity. Service was quick and efficient, the food was outstanding, and the drinks were tasty. I liked that the hotel always had a sense of life to it. I never saw the lobby empty, but nor did it feel crowded. It was the ideal mix of action and calm.Also, the location can't be beat. I've heard that the London is known as the best-located hotel in New York, and I can see why. You're minutes away from the theaters, Central Park, shopping, fabulous restaurants-- everything you could possibly want to do in Midtown is only five to ten minutes away!Absolutely loved it.	
Aug 13 2009 	Excellent Customer Service	I booked a reservation at this hotel and ended up finding a lower rate on another site. According to their best rate guarantee on their website, they would match the lower rate and deduct an additional 20% off. I called up the number listed and was unable to reach anyone so I called the hotel directly and at first they were not able to do anything for me. I finally reached a Front Desk Agent named Angel (aptly named) who personally took it upon himself to help me get the best rate deduction off my reservation. He went through a lot of red tape at the hotel and was very pleasant and helpful to me. He spoke with the management who were in charge of authorizing the discount and he put it through for me. I really appreciated his efforts and he get an A+++ for customer service!	
Aug 12 2009 	From a Native New Yorker - Best Hotel Experience in Years	Just returned from NYC for a family weekend. The hotel came recommended but exceeded our expectations. Plenty of staff - all so helpful and genuinely cared about our comfort. Rooms were very large and comfortable. Loved the double shower and comfy bed. Location was great - right near the subway, restaurants and midtown. I hope the prices don't go up too much- I can't wait to return.	
Aug 12 2009 	London NYC did not disappoint on our return visit	We stayed at The London NYC two years ago and returned again this weekend. We felt that the rooms were very well maintained. We love having a suite with so much space in a city where hotels rooms are often cramped. We were fortunate to get a weekend rate which we considered to be a true bargain. The front desk and the rest of the staff were very polite and efficient. (we did not use the concierge service.) The workout room was well-equipped and very attractive. And we love the location, walking to theater, shopping, and Central Park.Definitely our hotel of choice when we visit New York.	
Aug 11 2009 	Great Hotel and Great Value	Stayed here in Feb 2008. Had a 2 room suite. Very large and clean rooms. I only paid about $300/night for 3 nights. Great service, and great location. Will stay here again.	
Aug 10 2009	Wonderful Hotel	We stayed at The London NYC for 4 nights and had a brilliant experience.Our two bedroom/two bathroom suite was spacious and very well equiped.Having booked through 'What a hotel.com' we had continental breakfast thrown in and we had four lovely breakfasts in the bar area. The staff were extremely helpful and always greeted guests with a smile and a comment.We ate at Maze and the food and service were of the highest standard.There was a great 'buzzy' atmosphere in the restaurant.We would definitely stay there again and cannot recommend it highly enough.	
Aug 8 2009 	Like having a luxury apartment!	My husband and I traveled to NYC for our 10th anniversary and stayed at the London for 7 nights. It was a gorgeous room and perfect location in midtown, convenient to all parts of the city by walking, subway, bus, or car. We got a great deal by booking a package through AAA (who uses Travelocity). The suite was like having an apartment - a spacious living room with large flat screen TV connected by French doors to the large bedroom with a very comfortable bed and another mounted flat screen. The bathroom was like a spa and had a huge double shower, one side having a Rainmaker shower head that was a perfect end to a day trekking around the city. (Those who have been know you have to wash the city off at the end of the day!) The hotel concierge was extremely helpful all week. The hotel also has a complementary car that can give you a ride to locations between 30th and 70th streets when it is available. This was a pleasant surprise. We ride the subway when we go, and you can pick up all of the lines near the hotel. We would stay there again in a heartbeat and enthusiastically recommend it for all who visit the city!	
Aug 7 2009 	Fantastic	My new favorite hotel in NY. Service was outstanding (a rarity in NY). Room was tastefully decorated and spacious. Highly recommended.	
Aug 7 2009 	The best of the best	I stayed at the London Hotel and would rate this hotel the best I have ever stayed at.The warmth and attentiveness of the staff made me feel at home. They could have not been more acccomodating, especially the manager Elvi who went out of his way to make sure we had everything we needed!Everytime you walked in or out, every employee smiled, and asked if there was anything we needed.The rooms were spotless amd the comfort of the bed was better than mine at home.Lastly, the location is a throw to anything and everything.I am extremely fussy, so believe me, this hotel is rated as only the Best.This is the place to stay!	
Aug 4 2009 	Fabulous	We loved our stay @ the London. Our room was beautiful, clean and had a wonderful view. The beds and linens were high quality as well as comfortable. The hotel is in a great location. We had the most delicious dinners recommended by the conceirge. The staff couldn't have been any more professional and courteous. We are looking forward to our next visit!	
