	Not recommended	This Hotel really sucks... from outside it looks nice and is close to Times Square, however, the hotel does not deserve 4 Stars.Its an old Hotel and the Hotel Lobby is nice, but the rooms are really bad and small.... I was there with my Mother and we had to split a Queen size bed, they said that they dont have double beds and not even King beds and that i received a complimentary upgrade to Queen Size Bed anyways....usually they give out full size... even for 2 people...I found out then that they had Kingsize Beds and did not gives us those...Anyways, rooms are really small and very dark...some rooms doesnt have a window etc...If you get a nice room, it might be ok... but the standard for this Hotel is not 4 Stars !!	
Oct 25 2009 	PERFECTION PERSONIFIED!!	Myself and a friend stayed here for 4 nights for a short trip to New York. I can honestly say, that the hotel was very clean, the beds and the pillows are amazing, I have never slept in such a comfortable bed anywhere else. The rooms are not the largest, but they offer most that is required and I would rather have a smaller room that is quiet, clean and well equipt than a large room that is poorly decorated and adequate!! The only things that I would suggest to the hotel is that it would be nice to have a small fridge or mini bar in the room, the hotel provide, courtesy, bottled water, but there are no means to keep these cold when the weather is of a hotter climate!! It would also be nice to have tea/coffee making facitities to set you up for the start of your day. There is a safe in the room and there is no charge for this, this is a real bonus as a british visitor as there are normally charges for this addiional feature. We did not eat in the hotel so cannot comment on the food, however, we did have a drink one evening and we did find this to be a little expensive, we ordered 1 x schnapps with lemonade and 1 x glass of wine and it came to $28!! The same two drinks in a bar would be $11, so its worth shopping around the bars for the best price. We also met Matilda the cat, she is gorgeous, although she was not in the mood for guests when we met her. The location of the hotel is fantastic, close to everything you need, we only used taxi's on our last day as our legs could physically do no more walking.... This hotel is well deserved of the 4* rating and the staff are very attentive and polite - we shall definiately return without any hesitation!!!	
Oct 24 2009 	A Great Place	Our 2nd trip to this hotel. We're from NJ and use the Broadway night out package which includes parking and breakfast. A great value. The last time, we booked a suite and it was lovely. We've already booked a suite for after Christmas and are planning to stay there again in February 2010 when we have a concert in the city. I even took my daughter there during a day trip to NYC and we had snacks in the bar. I also brought some friends there for drinks after a day of shopping. It was so relaxing. A wonderful oasis in midtown. Staff is great!!!!	
Oct 17 2009 	For this price there are far better quality facilities and service in NY!	1. $400 per night2. Very small room and bath3. Thick gray dust along edges of carpet, corners and anywhere it would be too much trouble to clean4. Heat wasn't working right. Called 3 times for resolve, engineering never showed. Went to front desk and talk to manager (who seemed to care less), still no show. Told concierge on way out to a biz dinner if not corrected by return, wanted another room5. Returned. Heat way high now and no way to control Tired of complaining6. Room service food was average, asked hamburger medium, came close to raw. Got part of order wrong as well with automatic delivery fee and 18% gratuity (guidelines say up to 15% auto with discretion to tipper for more) - not here! Oldest running hotel? It shows!	
Oct 14 2009 	Ear plugs needed	Stayed here for 5 days as part of a trip around the US for our honeymoon. The hotel is in walking distance of times square, broadway and close to the subway. The rooms are tiny but I believe that is standard in New York. The problem for us was how noisey the room was, it was impossible to sleep or chill out with the noise from the road. We were on the 7th floor at the front of the hotel, it was so loud with noise from the road, people walking past, building work that I was convinced that the window was open! The noise didn't seem to stop even in the middle of the evening. The thing is after a busy day/evening in New York I want to come back. relax and sleep - i found this impossible and therefore could not recommend this hotel.	
Oct 14 2009 	Worst hotel experience of my life.	1. There isn't a 4* hotel room in the English speaking world with only a double bed. 2. The bathroom was disgusting - wallpaper peeling, mold all over the walls.3. The room was exceptionally hot and the a/c would not cool the room down. This was on a September day. 4. The elevators are small, slow, and underserve the hotel. Had to take the stairs a few times.5. When factoring in price, star level, cleanliness, and room setup, this was by far the worst hotel stay that I have ever had.	
Oct 12 2009 	not much value here	Awful elevators, often only one little elevator in service. Disinterested staff, doormen sat and watched us struggle with the doors. I dont really demand big hotel rooms in NYC, but this &quot;classic room&quot; at &gt; $300 per night was literally too small to have both suitcases open at once. No bathtub, a shower only (and not very clean or appealing one at that) was dissappointing. Alarm clock did not work AND could NEVER get the operator to pick up for wake up calls (only got a recording saying &quot;message received&quot; ????) Incorrect charges on the bill (telephone calls we never made) and then when the desk clerk said &quot;forget about those charges&quot; I asked them for a statement showing a zero balance the desk clerk said she &quot;can't give receipts to people who book on Travelocity...&quot; I've never heard THAT before...So, yes, the hotel has a storied history and a charming lobby but in the end, it is a dump.	
Oct 8 2009 	Retro boutique hotel	My husband and 12th months old baby stayed one night in the Algonquin Hotel in 2 room suite. The room were small even though it was a suite. Staff was nice and polite. Breakfast was offered as a part of an Expedia package (it included, tea/coffee, fruits, juice and pastries).The hotel itself is small and has the charm of a boutique hotel retro 1930's. Bathroom style with old antique furniture. &quot;Bath and Body Works&quot; brand bathroom miniatures were nice as well.Located in a very central area that is a mix of a touristic and business district (6th avenue and close to times square) its clientele is mostly business (a very nice restaurant and lobby, even if small) and foreigners touristis thinking &quot;broadway getway&quot;.I would say that the only problem with this hotel are the elevators. They are small and most of the time only one working. Between the hours of 7am to 9am it could take you 20 minutes wait to get on one. Most of the staff uses the stairs unless they have a cart (and if they do enter you have no more space). Some people complain about the cleaniness of the place, we thought it was clean, but if if it's about timing, I can clearly see why the cleaning crew cannot do as fast as they would want to, they can't get in an elevator!!! I would have taken the stairs myself but with the baby and the stroller and the diaperbag I did not feel like clinmbing more than 8 floors to reach our room on the 12 (if I recall right). So think also about your luggages!!Overall a one night that was fine, but the all issue with the elevator would have been unbearable if we had to stay longer. I would still recommend the hotel to a friend (the place is nice) and tell him to ask for a 2nd or 3rd floor max. Have the luggages with the valet during the day, and climb the stairs if with no children!.	
Oct 8 2009 	Time machine with room to spare	The Algonquin Hotel is a beautiful old hotel in one of the best locations in the city. We took the time to see the movie Mrs. Parker's Vicious Circle before we arrived, so we new some of the hotel's history. The Algonquin is very elegant and had live entertainment at least some of the evenings we stayed there. If you want shiney and new, this is not for you. But we had a one bedroom suite so my husband and I had our own room and the kids slept on the sofa bed in the living room. In addition to privacy, this gave us more room than any other hotel we stayed at during our trip. Although this is not a &quot;kids&quot; hotel, the staff was charming to my children (9 and 11). They even went on a hunt for the hotel cat, Matilda. If I had to give it some constructive criticism, the elevators were small and slow - but this really isn't too important. We really enjoyed our stay!	
Oct 7 2009 	Quiet very well located but ideal for seniors	The Hotel is ideally located, 2 blocks from Times Square and close to everything. Check-in was easy, got room 603. Entered the room and found it to be really small (max. 12 x 12). The king size bed was just what could fit in this room. At the end of the bed, there is no place for a dresser. Even though the room was small, it didn't bother me, since a was travelling alone. To me, it was just fine. The room was well appointed, nothing missing and was smelling very good. I appreciated the free wireless internet access and the complimentary bottled water (supplied each day). I would say the room size is good for a single person or a couple, but not for a family. The bed was very confortable, so were the pillows and the sheets. I have nothing to complain about it. Overall, the room was very clean.The bathroom was small, the shower had rust stains all around and was outdated (tiled floor looking old and used). It was clean however. I felt safe in this hotel and heard no noise from the other guests or from the streets whatsoever. The curtains did not filter light very well. Ventilation made some noise, but I just turned it off, so it didn't bother me much.The lobby was a little disappointing to me. Being a 33 years old women, I felt my place wasn't there. There were lots of seniors, elders, but no young people. The furniture was antique and so is the style of the Lobby, dark and old. If you like it, its fine, but it was not really my thing. Even thought I knew what to expect given my prior research on this hotel, I just didn't feel like it was a cool place to hang out. I however liked the fact that they had free apples on the reception desk. It was a nice touch.Everyone working at this hotel was kind and helpful to me. The waiter at the Blue Bar was especially nice and seemed to enjoy his job. Again, this bar is not frequented by young professionals, but more by older clients. I don't regret my choice, it had a good time at the Algonquin!	
Oct 7 2009 	If you really want a 4 star experience this is not the place to find it!	I booked well in advance through Expedia a king deluxeroom for our anniversary. As everybody in such situation we wished wehad a nice experience. I did not care much about the price of the roomas long as I figured this hotel should stand up to his reputation. Wewere assigned a smaller room and the reception staff did not even havethe courtesy of informing us before hand that the reserved room was notavailable. When we inquired about this they said they can not provide arefund and offered 2 drinks (that were never provided) and a reminderthat we are not understanding customers... The hotel is nice, well kept,maybe not quite a 4 star ( linens were ordinary, rooms are small withfurniture so-so) but the service provided by the staff was only worthyof a by-the-highway 2 star motel.	
Oct 7 2009 	Beautiful Hotel	The hotel is stunning inside and outside.The staff were all very friendly and helpful.The rooms were lovely, clean and comfy.The location is perfect not far from Times Square, a lovely park 'Bryant Park'.I loved the whole New York expercience there was not anything I did not like about it	
Oct 7 2009 	Wonderful old hotel but could use more diligent cleaning crew	The Algonquin takes you back to what New York used to be before all the mega-hotels came to town. It's a small - around 150 rooms - luxury hotel, rich in history, and we were absolutely charmed. The public rooms are open to the lobby (not closed off) but still clubby in feel - comfortable, intimate - and of course the restaurant features the famous round table where various literary lights gathered decades ago. The food was pricey, but excellent. The included continental breakfast was both generous and tasty. Great service all around.Our room was small (to be expected) but comfortable and well-appointed. The bathroom, which had no tub, was just a step above a cubby. That wasn't really a problem. What was disappointing was that it was poorly cleaned. We arrived late on our first of two nights and so didn't notice until the next morning. Then because we had only one more night there and weren't spending much time in our room anyhow, we decided not to make an issue of it.I would still definitely recommend this hotel. I feel sure that with the kind of service they offered, if we'd complained, they would have responded promptly. Do shop around for rates. We got a great deal through Expedia.Business travelers, be aware that their Business Center consists of one computer and one printer that's poorly maintained. You can connect to the internet from your room though.	
Oct 1 2009 	Quiet and Comfortable Beds--Slept Well. Dorothy Parker Luxury Suite!	For the PRICE, in MANHATTAN, and the LOCATION, this was a very nice room, with extremely comfortable beds. It was also quiet, and everyone slept well. The front desk manager on duty when we arrived could not have been more courteous. There is a hotel cat, a mascot, very sweet. There are also free apples in a bowl at the lobby desk-- big apples? The only thing I did not appreciate was the COLD reception with show your room key and the evil eye when the three of us returned after a Broadway Play, and evening out afterwards at a restaurant... a late night, and party dresses and very high heels-- but just a lawyer and her teenager and the teenager's friend here. We weren't greeted like guests upon that entry! The hotel isn't particularly set up for restaurants, although there is one. It was nicer than the Wellington. It wasn't far from Radio City Music Hall or Times Square-- and it only cost $5-8 for cabs to the play, etc. We just tipped, and gave out 10 spots to the cabbies. It cost about $35 from LaGuardia to this hotel for a cab. The hotel had marble steps, and we walked down them for exercise instead of the elevator which was double the French vertical room dimensions. Oh, and we went for my daughters' Sweet 16. The hotel doesn't make a fuss for a guest there for this type of occasion.... well, at least a non-celeb! The other funny thing was that I didn't have change and the Bellman looked disappointed when he received a $20 tip for taking up 3 carry-ons. Where we are from... the mini apple... about $1-$5 is all he would get, or zip! It's not like it was a wooden nickel!	
Sep 28 2009 	Not a pleasant stay not very clean place needs to be updated.	We stayed here in September the rooms were very small, the restrooms were very old place in general needs updating. At night the we could hear everything from the outside. I would not recommend this place. One good thing would be location.	
Sep 27 2009 	Great location noisy air con!	Nice welcome to NY, porters etc very friendly and check-in easy. Room TINY, but fine - n fridge etc but that was OK for us. Bed nice and comfy, but air con so, so noisy. First night it didn't matter so much as we were exhausted, but kept us awake for a bit the second night.Hotel with a lot of charm and location was great, but facilities not quite up there.	
Sep 26 2009 	breakfast nto value for the money	Took my husband for breakfast for his birthday. For what they charged for the food it was highly average, nothing special. The service was non-existent. After the initial ordering our waiter was more concerned with chatting with another couple at another table. Never got our second cup of coffee. When we mentioned it to the Host who sat us on our way out he just smiled and really didn't seem to concerned about our experience. Would not recommend the breakfast at this hotel and I would never consider staying at this hotel based on our experience.	
Sep 25 2009 	cute hotel - buy tiny	Great Hotel, in a fab location, but very very small room. Mindyou it had everything, but no room to move so felt a little claustrophobic. Windows wouldnt open either and air con too noisy. Very clean and bed changed daily so that was a luxury. Very busy street, so very noisey all night, but was so tired from sight seeing that didnt really matter. Breakfast is nice but expensive and we also had to wait over 3/4 for it on our first day, so didnt return to eat at the hotel after that. Their web site says it has a lively bar, which is has, but generally for the older client, as in plus 65, so a little too old for me and hubby. New York is great adn this hotel is good for a short stay	
Sep 12 2009 	average bad nyc hotel	looks old and does not feel clean. rooms can be incredibly noisy. AC did not work properly. would not stay again	
Sep 8 2009 	Excellent location clean great value.	First time to NYC. We loved the hotel. It was very quaint, old fashioned and historic. It has been renovated in the past couple of years and looks beautiful. The rooms were clean and comfortable. Location is very close to many attractions. There are coffee shops, restaurants and shopping very near. Especially liked having Gregory's Coffee shop right across the street. We would definetly stay here again. Look for deals on the travel sites for best prices. Oh yes, the hotel has a cat named Matilda that resides in the lobby. Nice touch.	
Sep 2 2009 	Perfect location for sight-seeing in NYC	Room size was fine for 2 people. It was clean, although the carpets look worn and need to be replaced. The bathroom is oddly shaped and very small. The tub is extremely high and is an annoyance for anyone that is petite. As other people have noted, there are problems with the key card. We had one that stopped working and had to rely on the other. The bed is comfortable as is the room overall. Service was inconsistent and this is where we had issues:The day we checked in to our hotel, the lady at the front desk did not crack a smile. Then she proceeded to ask us if we were only staying for a night. This was a surprise to us as we had booked a few nights package. We were told she needed paper documentation. Although she did “apologize”, there was absolutely no sincerity in her tone. Concierge at the door were very helpful, kind and obviously appear to enjoy interacting with people. The staff in the latter part of the stay was MUCH friendlier than those at the beginning. Our other horrible service encounter was with one of the head staff in the dining room. The first morning we went for our continental breakfast, a gentleman came over to pour coffee and was rudely stopped mid-way &amp; shooed off by whom we assume was the head dining staff. He promptly told us what we will be served for breakfast and that’s it. He did not bother to check on us, refill coffee etc., nor were we asked if we would like to be upgraded to a different breakfast (nominal charge). Overall service here is dependent on the staff shift during your stay. We understand everyone has a bad day, however we were surprised as to how many of the staff had them while we were there. This location was perfect for sight-seeing and getting around on the subway. We had a great package and the stay was good due to the convenience . Notable items:1.The lobby waiting area for an elevator is small and since there are only 2 elevators, at times you need to wait. 2. Verify that your package pays for all possible charges, including occupancy, as we were informed that some packages do not, which is the first we had ever heard.3. DO NOT eat at the Red Flame Diner that is at the corner of the street. The food is horrible and it is a MAJOR tourist trap (TT).	
Sep 1 2009 	oozing charm and character	A great hotel in a fantastic location. So many places within walking distance, Times Square, Rockerfeller Centre. Room size adequate and we had a fridge that we requested also in the room. Great flat screen TV, superbly comfy beds and exquisite fluffy pillows. I dont need silence to sleep and so the air con never bothered me, nor did the taxis and NYFD trucks going past, but if you want silence dont go to NY! The concierge staff were always so welcoming and helpful. Never ate in the hotel so cant comment on that, but did seem a little pricey on food and cocktails! Red Flame diner just next door is an excellent place to grab a bite, good VFM and generous portions. Would definately recommend the Algonquin, but check out the price comparison sites as a real bargain can be found for 4* luxury! Will stay here again if I ever return to NY.	
Aug 25 2009 	great little hotel	Stayed in this hotel for 2 nights and found everything to be excellent. The rooms were small, but very clean, and very well designed. The bed was very comfortable and the rooms very quiet.The location is very central within walking distance of Time Square, 5th ave, Central Park, and Broadway. The staff was very friendly and helpful. The concierge gave very useful suggestions for diner and night life.I would definitely return to this hotel for its charm, location, and friendly staff.This was a very enjoyable stay.	
Aug 24 2009 	excellent location	excellent location, but i did find this hotel to be expensive. i've no major problem as such with the hotel however, the room was tiny and you couldn't turn on the a/c at night because even on the low setting is was ridiculously loud.	
Aug 22 2009 	Clean friendly and perfect location	From the minute we arrived for our 5 night stay the Algonquin staff were extremely helpful. The hotel is in an excellent location, minutes from Times square, 5th Ave, Rockerfella Centre. The room we had was a good size, very clean and well air conditioned. We had an in room safe, flat screen TV with cable and an extremely comfortable bed. The Red Flame diner next door is also excellent for breakfast. I would most definitely return to this hotel again.	
Aug 16 2009 	I'd stay here again and again but I'd do some things differently.	One of the most comfortable beds I have ever slept in -- I never wanted to leave it! Pleasant international staff that accommodates just as much as possible. Food was good. Bar was good -- though a questionable cosmo by one bartender. Bar and food were both expensive, but there's a diner right next door that's decent and reasonably priced and other restaurants within walking distance. Room service came with a surcharge in addition to built-in gratuity which made one $17 martini actually $29. The hotel is just two blocks from either Grand Central Station or Broadway, making it a terrific location for seeing theatre (which is why I chose it). The hotel's history is rich and well-indulged by the staff and the atmosphere is cozy. I had an issue with a meal; it was advertised as peppered ahi tuna with mango chutney but the mango chutney was really pineapple chutney. It tasted great but I'm allergic to fresh pineapple and wouldn't have bitten into it had I known it was there beneath the other ingredients. It took some finagling, but the manager finally got some Benadryl for me from the nearest pharmacy. They gave me my drink for free but not my meal. I probably could have talked them out of it but was just grateful to be alive and didn't think to argue. There was one other issue with someone smoking on my non-smoking floor that the management couldn't clear up... or wouldn't. They couldn't quite tell which room the smoke was coming from and didn't want to go knocking on doors. But that was just one night and it didn't permeate my room, which was lovely. Overall, this was a fabulous stay -- pineapple incident and all.	
Aug 14 2009	Great hotel for the price	I took my mother to NYC for her 70th birthday and we stayed at the Algonquin and loved it. The price was excellent, hotel was incredibly charming, furnishings were new and very clean. The room is small, yes, but what do you expect in NYC? For two of us it was fine. It had an incredibly comfortable king size bed, desk, dresser, flat screen TV and bay window. The bathroom was fine - the tub is European and VERY deep so be careful getting in or out - buy like I said my mom is 70 and she did fine. Location is fantastic, service is superb, we had no complaints. There is a cafe next door for affordable breakfast that you can't beat. We were always greeted and felt very welcome and appreciated by everyone in the lobby - it's a very warm environment.Our room did not have a fridge or coffee if that is important to you (no where to really put this stuff) but the cafe is close. For the price you cannot beat the Algonquin. If you want to pay more for a larger room or additional amenities go right ahead, but don't pass on the Algonquin if you're looking for a great, affordable stay that's convenient to everything. You won't believe how well this hotel is maintained, and will love the traditional charm, marble and brass accents, as well as the wonderful service. They also have free internet in the rooms!	
