	Fantastic hotel in a perfect location	We stayed here for 4 nights over thanksgiving. The hotel is absolutely fantastic- rooms were super clean and spacious and everything was of high quality- the bed was really comfortable and the bedding was nice and soft. Bathroom was also really nice- it was big and the complimentary toiletries were great- they were neutrogena and got replaced every day. The staff were sensational- they knew the answer to any questions we had on how to get places, where the best deals for shopping were, where to stand for the parade etc. They even had flyers for 3 different price options on where to go for a traditional thanksgiving dinner. The only bugbear was that we had someone knocking on our door and attempt to come into our room at 9am on the day we were leaving to ask when we were checking out- this just seems ridiculous and hopefully they will change this for future guests. Will stay here again though without hesitation we had a fantastic time.	
Oct 8 2009 	A notch up and great value	For a hotel in Midtown Manhattan this is superb value. Even though this is the &quot;poor cousin&quot; of the Hilton family, it is still quite a good standard, a notch above what you would expect at this price point (I repeat: in Manhattan).Some reviewers have said it's &quot;off the beaten track&quot;...well, Manhattan is huge so wherever you are, some things will be far away. Three or four blocks from the Empire State Building, Madison Square Garden, Macy's, and walking distance to Times Square does not sound &quot;off the beaten track&quot; to me!I stayed three nights at the end of September 2009. I landed here because of the reviews on TripAdvisor and I don't regret it. I booked directly on HGI website. The price for a high-rise (&quot;city view&quot;) room was initially somewhere around $160-180 I think, already great value. I was ready to book, suddenly I got an even better deal on my screen, I ended up paying little over $110 a night with an advance-purchase, no-refund deal ! Anyway, I think below $180 it would be hard to find something better in Manhattan.Staff was very pleasant and helpful. Breakfast was good (Contrary to other reviewers, I had breakfast in the hotel and would recommend it, it's worth it). The room was a good size, air conditioning a bit noisy and sometimes chilly, so I switched it off. Fantastic Aeron-type chair, flat TV, cable service with HBO. Complimentary internet at reception, wireless in room. Tiny little gym (open 24h, unsupervised) with three or four cardio machines, some weights and Swiss balls. All this at no charge, which I found very pleasant.Yes, you will need a cab or subway ride (key lines at the doorstep) to go to Central Park, Soho, Wall Street, Harlem, or wherever you are headed. But from these places you would need a ride to Times Square, the Empire State building, Macy's or Madison Square garden, which are all near this hotel ! Oh, about the elevators issue that other reviewers mention. It is true. One narrow and tall building, only two elevators: so in the morning at checkout time you may have to wait a good while.	
Oct 6 2009 	Good hotel in Chelsea	We stayed at this hotel for 5 nights. It was a little off the beaten path but close to a couple of subway stations so the location was still ok. We didn't realize that the Empire State Building is visible at the intersection of 28th and 6th Avenue near the hotel until we looked up one evening. Check in was quick and efficient and they stored our luggage until we checked in. The room was clean with a refrigerator and microwave which was very useful for storing fruit and milk and heating up restaurant leftovers. Complimentary computer and internet access was appreciated. For some reason, we didn't receive a complimentary newspaper the last two mornings of our stay. It was nice to have the paper to read at the end of the day.	
Oct 2 2009 	Couldn't be better PERFECT HOTEL	We were in this wonderfull hotel for 4 nights.We were welcomed perfectly, our room was ready 1 hour before check-in time.everybody was friendly!We haven't eat breakfast of lunch in this hotel, so i can't say anything about that.The rooms were not to small, double bed, micro-wave - fidge, flatscreen - etc...The rooms were very clean and beautifull.Wifi didn't always worked on my iphone.You had to reset on your phone some settings time after time and then it worked...Strange, but it worked..New york was great and the hotel was perfect!	
Sep 30 2009 	Pre-Paid and Got Great NYC Value.	Hilton Garden Inn Chelsea did not disappoint. The room was a typical NYC size, but we did not feel cramped. The room was clean and comfy. The shower had strong water pressure, which flet great on my sore muscles. Loved the pillows. The TV was challenging to work - but did not use it much as we were in NYC :) Easy and safe walk to all touristy places and subway stations to go where the locals hang out. The WiFi did not work for us, but we were able to use the Business Center computers to print our boarding passes. Also, do not bring your car - it is a busy area during the day and local transport can get you anywhere you need to go. Overall a great stay at a lower price that other touristy areas. Highly recommend.	
Sep 27 2009 	Just right for our week in NY	This hotel is perfectly located for zipping around Manhattan.We found ourselves able to walk to most parts of town. The area directly around the hotel isn't the prettiest, and there seems to be construction of at least two other hotels along the block in 28th street but it isn't too noisy, and the flower shops that line the street in the daytime are quite charming. Location wise, Times Square is 10 mins walk away, and Greenwich took me 25 mins to walk.The rooms were spotless and quite spacious for NY. You had a mini fridge and microwave and an enormous flatscreen TV. The bathroom had a bath and overhead shower. Neutrogena toiletries were supplied: shampoo, conditioner, body moisturiser and mouthwash. The view from my 19th floor room was great (although there wasn't any landmark to be seen from my particular room). The only noise you hear are the distant sirens of NY city and people coming back to their rooms with the doors being quite noisy/clunky when they shut. You also get a free newspaper delivered to your room every morning.The bar was overpriced with bottled beers costing $9!! The breakfasts were good, but again overpriced at $16.95. There's a Starbucks around the corner and a Whole Foods which had loads of gorgeous foods to take home for dinner or breakfast - so it's simple to eat elsewhere.The staff are great and very professional yet welcoming. The business centre is also good with two computers and a fax and printer.I would definitely stay here again.	
Sep 26 2009 	Great place to stay	I stayed in a room with two queensize beds. It had all the needed amenities (+more!) and it was cleaned superbly every day. Some general stuff from my experience:- Location was great! there is a subway station in the same street. The 28th street is a bit quiter than the ones closer to Times Square, which was really nice not having to dive in the sea of people from the frontdoor of the hotel!- The Business Center with two computers and printers was nice, but it was occupied most the times we went out/came back to the hotel, so if you want to check something online, better do it early in the morning- The elevators were their own story. There were 2 elevators, which were occupied during those morning hours that people usually wake up. We'd have to wait for 5 minutes to get down sometimes (sometimes we just walked the emergency stairs down)- The staff were friendly and helpful (thanks Malcolm!)It was my first trip to NYC, but not the last. I'll definately consider coming to this hotel again!	
Sep 26 2009 	Great value and service in a good location	The hotel was really clean and tidy, with great service from the staff. The breakfast was good and there was always great service from the team who run the dining room.The rates were really good.Located in the Chelsea fringe, in the Flower district, it was really easy to get anywhere we wanted to go wither on foot or by Subway.The internet was free and there was free printing as well - we didn't get this where else we stayed on the East Coast. We would have stayed here again when we returned to new York but they were booked out.	
Sep 23 2009 	A lovely and reliable place to return home to in NYC	Good size room (603) large very comfortable bed. Plenty of side space in bathroom, bath fine, shower fine. View of windows across street but good sun and light blosking blinds. Aircon abit loud but very clean and good tv. Fridge a big plus for cereal! Get cutlery from breakfast buffet- they don't mind. Cleaning staff lovely. Staff great- very helpful and friendly. Computer suite great for printing boarding passes etc. Gym good with towels and water. Reception like an oasis out of the city. Flower district is great for seeing manhatten on foot but subway on the corner. Great place for breakfast (take 2 rights out of hotel and its on the corner- wholefoods and 7 coffees!	
Sep 17 2009 	Great hotel and even better staff !!!!	Recently stayed here for one night and had a great experience. The staff couldn't have been more accomodating. The room was a good size for NYC with a large TV and very comfy bed. The area the hotel is in isn't that great to look at- lots of construction going on outside. The hotel itself was wonderful though and a good price for NY. Will definitely come back here again !!!!	
Sep 11 2009 	Modern new hotel in great location at affordable price	We loved staying at the Hilton Garden Inn for 5 nights on our first trip to New York City. The hotel was easy to find, short stroll from Penn Station, there is also a subway stop a few metres away on corner of 28th and 7th. The location was very convenient as it allowed us to catch the subway uptown or downtown (only 2 stops from Times Square). We also got a taxi cab a couple of times real easy. Its a small hotel, but looks brand new. Very new and clean, and we felt very safe. Check in was easy, and the staff provided advice on what to do and see. There is a small restaurant and bar that we didn't visit but it looked nice. Breakfast can be purchased from here. The style of the hotel is modern and business orientated, with a business centre and there is also internet access in the rooms. The room also had a microwave and a fridge. The room wasn't big but perfect for sleeping! Big kings size bed, lovely bathroom. There was also a fitness centre with free bottled water, The hotel is in a street with wholesale flower shops, so not really much to see there. We didn't walk around to check out the neighbourhood, but there was a mcdonalds on one corner, starbucks on another, and also a convenience store. Both 6th and 7th ave have many cafes,shops and restaurants. We really enjoyed our stay here and would recommend it to others looking for a central location when exploring new york city. we also went on the red double decker buses which was great on the downtown loop.	
Sep 9 2009 	Nice Hotel	We stayed in this hotel for 3 days in the first week of September. Our visit to New York was for leisure with 2 chids with us. It is very well located, close to subway and in a walking distance from Macy's and Empire State building. The rooms are clean but small specially when travelling with kids. Overall I am satisfied and recommend it.	
Sep 9 2009 	Friendly helpful most accommodating staff possible	I cannot say enough about the staff at this hotel. They were NEVER too busy to assist us with our many travel questions, etc. They went out of their way in many ways that a larger hotel would not have even considered. The work-out room was fantastic and the breakfast was delicious and plentiful. The room was adequate, two queen beds, large screen TV, micro, frig, etc. We were in the heart of Manhattan, a subway away from many of the sites and landmarks. Plenty of good restaurants, especially Waldy's Pizza. Phantom of the Opera box seats were only $65 and were terrific - no need to pay $121 for a good seat. We'd see it again. Free WiFi in the room was a bonus.	
Sep 7 2009 	Can't go wrong - don't go cheaper	The good* the staff was very professional (greetings, help and advice, politeness). They had someone on-site that could give hands on directions to most tourist attractions, and to the nearest supermarket to stock your fridge. They sent me to Whole Foods, wich is a real supermarket not a deli, and it sells organic food. They were more professional than any other Hilton I'd stayed at, including the fancy ones with a minibar. The pantry sells soup and such too if you need a latenight hot snack, and there are a lot of deli's and food places (eg mustang sally) near.* the rooms were spotless and clean, soft carpets and well decorated with stylish lights and good atmosphere, and big enough for me and my bags and then some. I wouldn't call it too small for two people, and the bathroom has adequate size too and not at all cramped with a big hollywood mirror all across the room and seperate airing.* the WiFi i never really used: the UTP cable for wired internet at the large desk with comfy chair was plenty and didnt need any passwords or anything, so no fuss at all. It was spotless, responsive and fast enough to use Skype to call home and such at decent call quality.* the location is fabulous: the taxi ride from Kennedy airport wasnt overly long (35-45mins), and as soon as you leave the hotel and turn right you'll find the subway line 1 at the corner of the block. This line takes you through most of the good stuff like Times Square (wich is only 2 stops, so under 5minutes ride). The Empire State building is really really close, although when i got there staff advised me that it was too cloudy to actually see anything from the top. But that means the foggy views from below were all the more spectacular. Its not really in Chelsea but more in the &quot;flower district&quot;, with flower shops all around, right at 'Fashion Avenue'. So it probably is the best smelling area in NYC too.* the TV had way too much channels for me, I guess for TV freaks thats a good thing for me I wouldnt even know wich of the hundreds to choose from.* everything like tub tv shower airco worked perfectly, not a single malfunctioning item* The bed was soft and cleaned well. The cleaning service seemed friendly.* When I got ill the lady at the bar and the guy behind the front desk gave me complimentary drinks to try and help me. They don't try to squeeze your money out of you like so many other places would., and are genuinely concerned for the well-being of their guests.* Their helped set up arrangements with my New York Greeter and made the process swift and troublefree.The bad* Thin walls, especially if theres a party of three crashing next to you you'll hear every word, every laugh and every scream. However, i think this will go for many a new york hotel, and the hotel does seem to try to schedule non-adjoining rooms whenever possible.* If you're on a schedule the elevator can be painfully slow. Again, a general New York hotel problem I figure.* Not all floors have ice machines. Those that do not (eg 10th) do not have directions that the other floors do. The ice machines also offer vendors for nightly soda's and drinks. Some floors do not have those either.* Misunderstanding at checkout. (however nothing to do with billing, i suggest you pre-pay like i did so that the hotel can confirm no charges have to be added to your creditcard if i read some of the reviews.) Basically bring your bags down all at once or you may be accidentally checked out before you realize or said anything about it.Can't comment on* breakfastI would definately stay at this hotel again next time i'm in New York you can get cheaper but you can't get better. The combination is like a luxury motel: the freedom of your own meals and microwave/fridge, none of the pushy-ness of the fancy hotels yet all the help and professionalism you hope to find in these fancy places, and the luxury ranging from the fancy seating in the lobby to a well decorated room. I was told i could also print to the business center for free, but never used it. Highly recommened despite the little annoyances.Tips: * book a few months early and pre-pay. This will save you a lot of hassle and get you a good price. * Don't take the bus at JFK airport, the guy selling it is dishonest and claims you need to buy a return ticket to be allowed on. If he's lying when he's selling the tickets, you can be sure that the transportation is worse. Just bite the bullet and take a cab, its safe and you get some first hand info on nyc while you're driving there, it costs 50$ + tip so theyre happy with 60. Then when you're used to NYC you can consider taking public transportation out if you dont have a lot of bags. Or just take the cab back, you wont be sorry you paid to get there properly and without dropping off a zillion others on your precious time in NY.	
Sep 1 2009 	Be careful	I stayed in this hotel for 1 night. The hotel is really nice - clean and comfortable. Breakfast is delicious! The problem is that they charged me 3 times! per my stay..-sic! I was a little bit angry when I saw it on my credit card history. So, be careful..	
Aug 30 2009 	A great place to come back to after a busy day!	We booked a great deal through travelocity for airfare/hotel from Buffalo to LaGuardia, staying at the Hilton Garden Inn Chelsea. What a great choice that turned out to be. When we booked we took the &quot;room selected at check in&quot; option which I was a little worried about. However, when we arrived about 1:00 p.m. we were greeted by a friendly receptionist who gave us a beautiful room with 2 Queen beds on the 23rd floor. On such a hot day, the cool air conditioned room felt wonderful and we made use of the fridge and microwave during our stay. Everything was spotless and there were lots of towels and toiletries. The beds were so comfortable with lots of pillows. We brought our laptop and the WiFi worked great while we were there - very handy for looking things up in the evening. We had no problems at all with the elevators.The location of this hotel was perfect for us because it was so close to the 6th Ave and Broadway subway lines(which we used the most) as well as the 7th Ave lines. It is also in the middle of all the places we wanted to visit - Uptown (Central Park, Rockefeller Centre, 5th Avenue, Letterman show) and Downtown (Brooklyn Bridge, Southstreet Seaport, Battery Park, Staten Island Ferry, SOHO, Canal Street).For us - a great hotel with everything we needed, away from the craziness of Times Square, but close to everything via subway. Exceeded our expectations. We can't wait to come back to NYC some day!	
Aug 26 2009 	A Great Stay!	From a postive aspect the last thing you want to worry about is the hotel where you are staying while on vacation. Overall this hotel met some of expectations including service, cleanliness, and they have a courteous staff. It was also within walking distance to many NYC attractions. I would stay there again but, here are some minor things you should consider before booking: WiFi was not reliable; elevators are slow during peek checkout times; the bar and the pantry are extremely over priced. $10 for a cocktail and/or $2 for a bag of potato chips; there is a patio but there are no chairs or tables to enjoy it so while at the hotel, you are only able to rest inside. The manager purchased a drink for me as a means to address the issue concerning WiFi.	
Aug 18 2009	Excellent Service and very clean	This was my first time staying in New York so we were not sure about how far we were from everything and how to get around but the staff were so helpful, everything was within walking distance and the subway was right beside the hotel. There was places to eat right across the street. The rooms were very clean and and everyone was so friendly and the breakfast buffet was great for $14.95. Great stay and would go back in a second.	
Aug 13 2009 	Great convenient hotel!!	Just came home today from a 6 night stay with 2 families at the Hilton Garden Inn in Chelsea. Wonderful little boutique hotel, in a great location. One block away in each direction from 2 convenient subway lines. Very clean and quiet hotel. Irene and Mikhail were great, as others had mentioned. Would recommend this to anyone. Much better and quieter than staying in Times Square! This is a pretty new hotel, so facilities were in excellent shape. I had a problem with the showerhead the first night we checked in, but someone came up immediately and fixed it. Toto toilets too, so they flush well... ;-) Very comfortable beds, nice flat screen TVs. One of the things I liked the best about the hotel room was that there was a nice space above the closet/wardrobe where I could stash 2 of our check-in sized bags (26&quot;) while we stayed there. Very handy! The other 2 were able to be stashed under the desk. The free wi-fi was great! Nice not having to pay for that on top of the room stay - worked like a charm, first time out, no problems connecting. Powerful A/C too - it wasn't particularly quiet, but it didn't rattle, so that was ok. Our room faced the front of the hotel, so we looked out onto a construction project across the street, but it wasn't noisy.	
Aug 11 2009 	Great hotel. Well worth a look.	When I came to booking my hotel for my New York trip, I decided to be realistic and spend a bit of cash to get something half decent. Afterall, NYC is exhausting and it's nice to come back to a decent hotel. So I saw this one and of course I checked out the reviews on Tripadvisor which were all pretty decent. And to be fair, I was impressed. The hotel is very central. You can easily walk to the Empire State Building in about five minutes. There are also three different subway stops on the street so getting around the city couldn't be easier. The hotel is on West 28th street which was perfectly safe. I never saw anything or anyone dodgy and I was in and out at all hours. When I arrived around 3pm, the room wasn't ready so they took my bags and I went for a little wander around to get my bearings. When I returned around an hour later, I could get to the room. It was on the 14th floor (Room 1402) and was a nice size. it was also very quiet (I'm an extremely light sleeper and had no problems at all). The aircon worked perfectly. The room also had a fridge (not a minibar, a fridge so there was plenty of room to put stuff in) and a microwave. There was also a coffee maker with coffee packs replenished every day by room service. Probably the best bit though was the TV. It had a really good selection of channels (about two hundred) including quite a few in HD. It was nice after an exhausting day of sightseeing to be able to come back and watch a film or even BBC America. One other thing worth mentioning: the business centre. This was a little room by reception with two PCs and a printer and copier. It was really handy for checking emails, opening times of museums etc and it wasn't particularly busy. Infact one night I wanted to use it at about 1am and the guy on reception was quite happy to open it for me. There was also a fitness centre which I didn't use.	
Aug 10 2009 	Comfortable clean new and nice neighbourhood	This is an excellent hotel for people who want a good standard room and reasonably sized room without paying the top rates that big name hotels charge. Last year I ended up by chance in a Hilton Garden Inn in Yakima, WA and I was pleasantly surprised by the standard of the room and the breakfast. I was wondering if the pleasant experience would be repeated in New York, which I find a difficult city in terms of hotels. The reviews on Tripadvisor were promising, and fortunately they turned out to be accurate. It's a rather new building, so everything looks nice, clean, and is in good shape. Rooms are quite large for NYC standards, beds very comfortable, aircon effective and not too noisy, and shower sufficiently spacious and god temperature and pressure. We had a room on one of the top floors (25th) which gave a nice view towards downtown Manhatten. Hardly any street noise, or noise from neighbours or corridor. In any case there are only 8 rooms on each floor, so the corridor never gets busy.I also had pre-booked breakfast in the hotel (which was delicious in Yakima and which other reviewers also seemed to enjoy in this Chelsea hotel), and again it fully met expectations. Eggs are cooked to order the way you like them, and the chef also did on demand French toast. The pancakes were pre-cooked on most days of my stay which was a pity because they just taste better when they are completely fresh. If I had to make one suggestion about the hotel, this would probably be it.FInally about the elevators, which caused some trouble about other reviewers. During my 3 day stay both elevators were working fine and maybe in total I went up to my room 10 times. Only once did I have to wait a bit too long (5 minutes); all other times the elevator arrived in 1 or 2 minutes. I can see however that this situation will be totally different if one of the elevators should break down, so I trust management will do everything it can to maintain them properly and avoid such trouble.I'll definately stay in this hotel again when I'm next in New York, and will again take the pre-booked breakfast because of it's excellent value for money.	
Aug 4 2009 	Warning--received a terrible rash from mites!	Were supposed to have room with 2 doubles and were given a queen instead so asked for a roll away bed. After one night I was covered with a terrible red rash of small, itchy bites which I showed to management and asked for the extra bed to be removed. It wasn't and the linen was not changed so the second day both myself and my granddaughter were infested with bites. Hotel management ignored our complaint and insist there was no problem although I was treated at ER upon return and physician wrote a letter stating it was a reaction to mites in either the bedding or carpet. Their solution was to offer us two free soft drinks and some trail mix!!	
Jul 31 2009 	A pleasant surprise....	My daughter and I really enjoyed our stay at the Hilton Garden - Chelsea during our whirlwind visit to NYC. It is located in the flower district which is very quiet. The staff, especially Irene and Mikal, were amazing! The rooms are normal sized ( by NYC standards) and very clean. We did have breakfast at the hotel and it was good and included in the price of our room.We liked that the metro was only 1/2 block away so we could get anywhere in Manhattan rather quickly. We will definitely stay there again.	
