	Great hotel great location!	I stayed here for 5 nights with my dad from November 14th-20th. Check in was quick and easy, we were given a room on the 10th floor with a view of the Empire State Building. The rooms were of good size, we had a twin bedroom and were pleased with the size. There was also an electronic safe in the cupboard that was free to use and the rooms were cleaned everyday. Breakfast was fine - we thought we would probably have to go out and buy breakfast as it was only continental but there was plenty of choice and always enough food to go around. It was a buffet style breakfast with muffins, cereal, toast, youghurt, bagels etc and tea and coffee which you could help yourself to throughtout the day and night. The hotel was great location wise - down the road to macy's and empire state and about a 5-10 minute walk to times square. Beware though it IS the city that never sleeps - I don't think I had a night where I slept straight through without being woken up by a binman at 3am or noisy people coming back to their hotels. Our window was also broken the first night which meant the noise was awful but the staff did fix it straight away the next day so I have no complaints with that.The hotel also sell tickets to most attractions for exactly the same price as the attractions themseleves which is handy and means no queuing!! The staff are friendly and are really helpful, they reccommended a boat trip that we didn't even know about and it was fantastic. We did all of the main attractions and walked to most of them. People are quick to tell you to get in a taxi to get everywhere when you can walk it in 10 minutes!! We walked to central park from the hotel and to John Lennon's old house but people couldn't understand why we walked the 20 minutes to get there... The only place we did get the underground to was to Ground Zero and you can walk from there to the Statue of Liberty dock in around ten minutes if that.When you get given the map everything seems really far away... but it's not. Save yourself some money and walk, it really doesn't take that long and there is so much traffic on the roads it's not worth getting in a taxi.The security over there is immense so be prepared to be prodded and poked! It's good considering everything that has happened and makes you think that Britain should be the same. For Top of the Rock, Empire and Statue of Liberty you get searched and go through metal detectors etc before you can go up, understandable and makes you feel more secure plus it doesn't actually take that long.Coming to and from the airport we booked with Supershuttle.com before we went. Excellent service, you can tip when you book (tipping is a huge thing over there and most places if you go out and eat will actually add their own tip on..then ask if you want to leave anymore!!). We shared the ride with about 4 other couples and it did take about an hour to get to the hotel but it gave us time to take in the sights and sounds so we didn't mind at all. Going home we were the last to get picked up and the ride took about 20 mins! It's cheaper than getting a taxi they have a flat rate of about $43 one way. One final thing... I have to reccommend Keen's steak house. It is literally round the block from the hotel and was the best meal I've had!! It was expensive but well worth it. Don't go around 5/6pm though all the businessmen go there for their dinner and it gets stupidly busy. We went on a Sunday and it was quiet. Lovely place, excellent staff and fab food.	
Oct 23 2009 	brilliant hotel great location	stayed 6 nights , upgraded to a two bedroom suite on 10th floor,very clean hotel, very friendly and helpful staff. hotel location perfect two minutes from macys and empire state building. definitly would return.	
Oct 20 2009 	First Time to New YorkGlad I stayed at Hotel Metro	This was a great hotel. I stayed in room 916. Clean room, nice bed,heater and AC worked great. But on this side of the hotel there's no view. And, if I want room service I have to go down stairs to the Metro Grill, place my order, then they brought it up to me. B/C they didnt have Menus in the Room. If you want a croissant for breakfast be careful because they have alot of Garlic!GREAT locations I was able to see Hearld Sq, Macy's, Empire State Building, and Time Square all in the same day!! I also saw Madison Sq garden that was only 2 or 3 blocks away.	
Oct 20 2009 	overpriced and in need of renovation	We chose the hotel for the location, free internet (as we had to be in contact with my office) and complementary breakfast. From the description it looked like a stylish boutique hotel. What we got was a shabby old hotel, in need of renovation. The room size was fine and that was all. In the room I tried to move the chair and the arm-rest came off. The bed had No duvet, just a blanket...Bathroom very small.Internet connection was oh so so slow...3 small lifts but one was out of order, took forever to go down(complementary) breakfast was self-service with plastic cups and plates in a small crowded room where tables and chairs where almost one on the other! - better not to offer it at all!Booked for 3 nights, ended up checking out the first day and went to the Hilton Chelsea Inn and paid less for more! p.s. nobody asked why I checked out early	
Oct 16 2009 	Great base for sightseeing.	We stayed at the Metro for five nights (30th Anniversary) and we loved the location and the hotel itself. Breakfasts were fine, we ate dinner in the Metro Grill twice: the food, wine and service were excellent. The only minor problem was the noise at night from outside (we were at the back of the hotel), but that wasn't enough of a problem to spoil things and anyway it's a city, you get noise.The Metro's in an ideal location for trips and sightseeing, we used the subway to get everywhere and would definitely stay there again. We loved it there.	
Oct 10 2009 	Good for money	Room was a bit small, and we had an interior room (window looking into the alley between bldgs, but for the price and location there is nothing better. Couple blocks from Penn Station, block from Empire, half a block from subway and Herald Square... AND it had a free continental breakfast (unusual for NYC). May not be where you go to lounge in your room, but perfect for an inexpensive on-the-town trip.	
Oct 9 2009 	Fantastic Hotel - Desperate to go back!	Hotel is a fantastic choice. Very clean, great continental breakfast, very helpful and friendly reception staff. The rooms are basic, small, very clean and tidy. The location of this hotel is just amazing. Has a great roof top terrace which you can see from top of empire state building if you're brave enough to go up. Definately recommed this hotel to anyone going to New York.	
Oct 7 2009 	Excellent All Round Hotel	We have just come back from NYC and stayed at the Hotel Metro - we arrived quite early and our room wasn't ready but the hotel were happy to store our luggage while we went out and explored. The rooms were very clean and well decorated - we weren't in that much and only slept and ate breakfast there - there are lots of choices at breakfast and seeing as its complimentary I really can't see why some people on this site are complaining about it, the hotel don't have to provide it!! We would definitely go back there, the location is great with most sites within walking distance and subway about 200 yds away.	
Oct 7 2009 	Great Hotel - Look no further.	We just returned from 5 nights at this hotel which was picked after hours of searching. Decision was made on the location, breakfast being included and the price. We were not disappointed. We were upgraded to a king room without asking and it was great - very clean, comfortable and lots of storage space in the walk in closet.We did not eat at the hotel other than breakfast so cannot comment on that but we would recommend O'Reilly's Off Fifth which is 4 -5 doors down. Great presentation, excellent quality/quantity and very reasonable prices. We had 4 meals there and each time we averaged $65.00 for drinks, appetizer and entree. Pub style downstairs and more intimate upstairs so something for everyone.We would also highly recommend the hop on hop off bus by Grey Lines. We purchased the three day pass and used it for transportation as well as a means of seeing the city. Sit up top but dress for it. It is approximately 15 degrees cooler up there.	
Oct 5 2009 	Excellent value for money	Stayed here for one week in September with my husband and we were very pleased with this hotel. It was our first visit to NYC and we spent ages trawling through reviews trying to pick a nice hotel. Due to our flight we arrived 3 hours early for check in but we were not disappointed as they had a room available for us &amp; we didn't have to wait. Check in took about 5 minutes, staff very polite &amp; friendly. The room was very clean &amp; on the back of the hotel, which did not have a great view but it was good because it was quiet at night &amp; we slept very well as the bed was so comfy too. Also we did not hear any noise from the rooms around us which was good. The room size was good, we could fit in our suitcases and lots of shopping bags quite comfortably. My husband had to ask reception for flatter pillows and these arrived in about 10 minutes. Breakfast was excellent, we went after 9am and never had a problem getting a table. One small problem was that the breakfast plates are so small, we had to make 2 or 3 trips to get what we wanted. The location of the hotel is fantastic, 1 minute to Macy's and five minutes to Times Square. We also used the free internet access which was really useful. We visited the roof top terrace one evening and did not have any problems getting in, you just have to show ID. We also had one meal in the Metro Grill which was very nice. Overall we had a really nice stay here, there are just a couple of little problems like noisy air con and small breakfast plates!! We would definately stay here again, can't wait to go back to NYC, it's amazing!!	
Sep 30 2009 	4 Nights	We were upgraded to a Kingsize room on our arrival, no extra cost.The room was spotlessly clean and maintained that way throughout our stay. It was a spacious room with hair dryer and Iron included. The staff were help full and pleasant, breakfast was plentyful if at times a little crowded. The cutlery and plates were disposable, but not really detramental to the meal.The location was excellent, being at most about 200 metres from Macys. Thers was a subway stop at the end of the street with easy access to everywhere we could think of.	
Sep 29 2009 	Great	The hotel is in a great location, close to Macy's, Empire State Building, and subway stations and is good value for money for New York. The room was clean. The roof terrace is excellent. The staff are friendly and helpful as well. The Breakfast is basic, nothing special. Also we really liked the free internet access and the gym. We would stay there again.	
Sep 16 2009 	Good hotel for location - rooms small	Hotel was in a good location if you want to be in Midtown, only one block from Empire State and short walk to Macy's/Time Square. Rooms were small compared to other New York hotels I've stayed in, but adequately kitted out. Bathroom clean but fittings a bit shabby, toilet kept running when flushed unless you fiddled with flush lever. Continental breakfast good, lots to eat, coffee good. Air con units in room where very noisey, even when I wore wax earplugs which usually block everything out!	
Sep 15 2009 	Great value - a definite re-book	Loved this hotel. Its clean, friendly, and very central. The continental breakfast was excellent, though it was a shame redecoration was making the breakfast room a bit cramped. Rooms were clean, tidy and quiet and we would definitely recommend the food and the cocktails at the Metro Grill. Would have liked the rooftop bar to have been open more though. we will definitely book this hotel next time we are in New York.	
Sep 13 2009 	Great Budget hotel for a short break	The Metro is a great budget hotel and I would stay there again at the drop of a hat. I think if you are a tourist in NYC you will not spend too much time in your room, therefore as long as it is clean and the bed is comfy, what more do you need - the Metro satisfies both. It is a great location easy to walk to most places from there and cabs are so cheap to pretty much anywhere from the metro. As others have said there is a bar on the roof which gives great views of the empire state, I actually think they could do more with the bar, it felt a bit make shift.The staff were great, particularly the door man. It rained when we were there so he sorted us with a couple of umbrellas. Good breakfast, but i think investing in an additional toaster might make a bit of sense. Overall very happy and the money saved on accomodation can easily be spent on some of the amazing NY restaurants,try the boathouse in Central Park	
Sep 13 2009 	Great!	Good hotel in excellent location - very close to Times Square, Empire State Building and Macy's. Subway station only a few yards away so the rest of the city was within easy reach. The staff were very helpful and the room was clean, comfortable and a good size. Complimentary breakfast was a pleasant surprise. Metro Grill next door offers a discount to guests and the food was excellent. Will definitely stay there again.	
Sep 13 2009 	Excellent location very clean hotel	We arrived we were very pleased to find out that we had been upgraged to a Pent House Suite. (I had advised at the time of booking this holiday was a present for my 30th birthday).The room was very spacious and tastefully decorated and very very clean. The room was equiped with an iron and ironing board - usually when we've travelled you have to request these at reception. Breakfast was fine - couldn't complain as it was complimentary - just toast, fruit yoghurts, bagels and muffins etc. The only downside was that they only had plastic plates and cutlery for use, and paper cups for the coffee. However on the plus side, the you just put everything in the bin when you finished so there was never long in waiting for a table to be cleaned away. The dining area was small, but saying that we never struggled for a table (we were down about 7.30 most mornings). Coffee was available 24hrs a day if you wanted it and with it being in cardboards cups there were lids available if you wanted to take out with you. This hotel was a fantastic location. We was in the centre of it all. It's on 35th street just off 5th Avenue. It was the heart of everthing. Getting to times square was only a 15 minutes stroll away. We had a fantastic time and wouln't hesitate in recommending this hotel to family and friends. Staff were very helpfull and as I said before the hotel was spotless.	
Sep 11 2009 	Second Stay and would choose this hotel over and over - fab!	My husband and I stayed at the Metro in Oct 2005 and couldn't believe what an excellent choice we'd made then.My cousin and her husband wanted to go to NYC this year and asked us to go along. She searched many hotels, as I had, but wasn't sure which to choose but as we had nothing but praise for the Metro we decided to book it.If there was once less positive point it was that through contacting the hotel and trying to book directly it would have cost us about £200 more than booking through Trailfinders.This hotel is in the most perfect location - step out and go left then right (1min) and you're at the Empire State building or step out and turn right then left and you're at Macy's (1min) or turn right and then right again and keep going for 10mins and you're in Time Square!We plan to return in 3 years and if we stay in Midtown again I would definitely stay the the Metro again.	
Sep 11 2009 	Mixed Views on this hotel	Just come back from 5 nights there with my mother. I had paid extra for a superior room and had originally suppost to be going there with my fiance so had tried to change it to a twin room instead. When we arrived it was a very small double bedded room. Looking out at a brick wall. Not what i would expect for a superior room. I am aware that rooms in new york are small but it was not worth the extra money. Also the air conditioning didnt work and neither did the safe. After complaining at reception - getting absolutely nowhere with a rather rude women on reception we were told to check first thing the next morning. So after doing that we were told to take our case downstairs and would be moved to another room that day. This time it was a larger room - again a double bed - there were no twin rooms apparently - however at least the air conditioning unit worked and we had kinda a view. The rest of the hotel was ok. The breakfast was ok.Our only other complaint was the gentlemen who was the &quot;bouncer&quot; type on the rooftop garden. He was very rude. Asked me why I wanted to sit there reading my book. Got me into trouble another time for moving a chair from one table to another one. Shouted at my mother for putting her very swollen feet (she is suffering from a illness) on the side of a table. So agree with another person on here and their comments. Not a nice guy!!	
Sep 10 2009 	Beware - You may not get the room type you reserve	We booked a double, checked in early, and were given a twin room, which literally looked like a make-shift room with 2 roll-away beds. When we informed the front desk staff of the errror, they were unable to do anything since the &quot;reservation manager&quot; was off duty until the following morning. When we asked for some kind of compensation, again this had to be handled by the reservations manager. The next morning, we spoke to the reservations manager, who concurred that the hotel was in error but he was unable to help us because the situation needed to be handled to some kind of central reservations department. I was assured that they would call me within the next 24 hours, but, as suspected, we weren't called and were never credited for the lesser-quality room. Although this hotel is in a good location, BEWARE...you may get a lesser-quality room than paid for and the front desk staff is far from adequate at rectifying any problems.	
Sep 3 2009 	In The Middle of It All	This hotel made this trip so much better than it could of been. It was the cheapest hotel that we looked at however from the sounds of things, it is one of the best hotels in New York. For what you pay you really do get a lot. As soon as you walk into the foyer, you're greated by a lovely atmosphere. The receptionist was very helpful, and offered straight away to book tours and trips for us. When we got there at about 1.30pm, only one of rooms was ready, we did know that there was a chance, due to the fact that check in is usually 3 o'clock. We had a Queen Room and a Twin Room. The queen room was a little on the small side, the bed took up most of the room, however it was enough room to put two large suitcases. The twin room was huge, we spent most of our time in this room as it was the bigger of the two. The rooms were very nosy at night, but as I kept on telling the rest of my family, it is New York so it's expected. When my mum complained however, they wern't really willing to move us. The continetal breakfast was amazing, you will find bread, yoghurt, fruit, bagels, crossiants and cereal. If you want anything toasted, then you will have great fun queuing up for the 1 machine in the corner, which toasts or burns your food, it really is a 50/50 chance you will get a burnt crossiant. The rooftop terrace is gorgeous, amazing views, but becareful not to take up any water, we took up a bottle, filled with their own tap water, and they made us put it away because they sold it at the bar. I again remind you that we were in the middle of a heat wave almost, and found this quite rude. We were also told, that because me and my sister were under the age of 21, we couldn't approach the bar. So, we're not allowed to drink our own water, but we're not allowed to approach the bar. We didn't last long up there, other than taking a few pictures. The location is what makes this hotel amazing, when they say the empire state building and Macy's are close buy, they're not lying. Macy's is about half a block to the right, and after shopping you can sit in the lovely Herald Sq Park which is outside of Macys. Empire State is half a block to the left and a few blocks down. I was expecting times square to be a little closer, as we went with a disabled person it did become a little too much for her. We entered the Metro Grill on our last night there, and ended up walking out after 5 minutes, nothing on the menu we would like and the prices were just a little too expensive for us, and considering I had heard they put on a 20% tip on the bill in return for bad service. Subway is across the road however, McDonalds is aroudn the corner, as is this lovely little deli. Overall, a brilliant hotel, one that I would really recommend. The staff were brilliant, other than the man on the rooftop terrace, and the rooms were a good size. I think the shower in the Queen room could have been a bit bigger, I had trouble using the shower, and there was barely any room to move away from the scolding water.	
Sep 1 2009 	Loved this place	cant really say anything more to compliment this hotel than whats allready been said, we found all the staff to be excellent from the cleaners,dining room staff,reception to the doormen, allways was helpful and made our stay there most pleasanteven when i stupidily locked my valuables in the safe without first reading the instructions on how to reset the safe number; when the instructions was clearly on the desk (yes im a man)was no trouble for the staff what so ever (even if they did think what a &quot;@#%!&quot;)happy smiles and says no trouble sirthe rooms are small but cosy, but be honest how long are you going to spend in them anyway with a beautiful roof top terrace to sit i would return to new york and would stay here everytime	
Aug 30 2009 	Two room suite was great for a six day stay	We stayed six nights in a two room suite with our twenty-something daughter and her boyfriend. Rooms were large and very quiet for being in the midst of a busy area. The beds were comfortable and the A/C worked well - blessed relief since it was very hot and muggy during our stay. The breakfast was varied and quick. There was one small bathroom for the two rooms, but there were two sinks, one next to the shower and the other in a dressing area.Staff were exceptionally polite and helpful. The location is near shopping, Times Square and many other places to visit are an easy walk. It is also less than a block from a major subway hub. Taxis were always out front as well. Altogether it was a fine hotel from which to base a visit to New York City. We recommend it highly.	
Aug 30 2009 	A real gem of a hotel	Me and my girlfriend recently stayed at this hotel and we loved it ,the hotel is lovely inside and the room we stayed in was excellent , very nice bathroom and air con etc .The hotel has taken on a 50,s art deco theme we both thought the place was amazing.The hotel is very close to the empire state building and times square ,its right in the middle of manhatton which is a perfect location for sight seeing.The hotel also boasts a rooftop bar which we found excellent with a perfect view of the empire state at night. The staff were very helpful and pointed us in the right direction easily. All in all i would deffinitly stay in this hotel again and we have already planned the next date to stay here.	
Aug 29 2009 	Lovely Hotel	This is our second trip to New York and we chose this hotel for its central location. It is a ten minute walk from Times Square and one block from the Empire State Building. On arrival staff were friendly and efficient. The rooms were big enough and the air con was much needed!! Breakfast had plenty of choice; bagels, muffins, yogurts, cheese etc 24 hour tea and coffee available. Rooms were cleaned to a good standard every day. I would definitely stay here again.	
Aug 24 2009 	Great Location - Good Hotel!	My Fiancée and I stayed here for 4 nights (Jul 2009) as part of a month adventure around the USA.My favourite things about Hotel Metro were: Location and Rooftop Bar. The hotel is situated one block from the Empire State Building and 1 subway stop from Times Square (subway entrance and the end of the street). The roof top bar offers great view of the Empire State Building (day and night) and is a great place to relax after a day in the city. (Although the drinks are a little pricy).We found the room was comfortable and (like in most NYC hotels) quite small. It had everything we needed: Flat Screen TV, Telephone, Cable TV, Air-Con, Safe, etc.... The bed was quite comfortable and the bathroom was nice and clean. Also, the hotel breakfast (included in our rate) was a great way to start the day (as well as save some money). Offering things like: bagels, pastries, cereal, juice, coffee, etc...All in all, a decent place to stay. The only thing I though was weak about the hotel was the Concierge (or lack of) and the local information from the staff.PS: Also had a good fitness centre and free internet access.	
Aug 20 2009 	FANTASTIC HOTEL FANTASTIC LOCATION	What a place!!!! The hotel was excellent, rooms very clean and well decorated, the staff were helpful and unobtrusive, the room service was fantastic, the gym very well equipped and the roof top bar amazing. The location was the best - Macys down the road, times sqaure within walking distance, subway at end of street. Fanastic hotel an an amazing city, will definately stay here on our next trip to New York.	
Aug 11 2009 	Disappointing	We visited New York as a special treat for my mum's 70th birthday. Despite me emailing the hotel in advance to let them know this, and the booking including all of our names, they didn't make any attempt to keep our party together, or to acknowledge the occasion.Our rooms weren't ready when we arrived. They tried to put us on separate floors, and only gave us rooms near each other when we protested.The rooms were small and ours was incredibly noisy.It was extremely cold, too, but we couldn't sleep with the heater on as it was too noisy.We didn't bother trying to get moved as we were on such a tight schedule, we didn't want to waste time hanging around or shifting our stuff.Finally, the hotel was a little out of the way - next time I'll book one closer to Times Square.I picked this hotel because it was supposed to be of 1930s design and I knew my mum would love that. But it wasn't as special as I'd hoped.Disappointing.	
Aug 11 2009 	Nice enough hotel great location	The hotel is in a great location and is fairly good value for money (for New York at least). The rooms are more spacious than in other similarly-priced rooms in NYC, and though they are slightly dated (or retro, depending on your perspective), they are nice enough. The roof terrace is excellent and the bar downstairs is nice too. The staff are friendly and helpful as well. And - for Europeans used to this sort of thing in most hotels - the hotel offers free tea and coffee facilities 24hrs. The continental breakfast is fairly nice too.	
Aug 8 2009 	We'd stay again tomorrow	On arrival our room wasnt ready and the lady at reception was a bit grumpy but offered us free tea and coffee while we waited. We got in our room 20mins later and it was exactly what we expected. Everything we needed for an exhausting holiday in new york (a bed, shower, mini bar, safe and air conditioning)The room was very clean and the maid service was very good! Our room was a bit noisey but nothing that kept us awake after a long hard day of walking the streets of NYC.Breakfast was fab! 10 different choices of bagels, bread for toast, cereal, lots of muffin choices and pastries, philly for your bagels, jam, fruit, orange and apple juice, tea and coffee. It didnt matter what time we went down, early or late, always a seat and lots of breakfast constantly re-stocked! A fantastic bonus!Roof top terrace had some fantastic views but we only spent 20mins up there our whole stay as we didnt have time! The hotel restraunt was a bit expensive but served some good choices, again we only ate there once!We didnt have a credit card so had to leave a 250 dollar deposit for our room but we were prepared for this to happen. The hotel is in a fantastic location and we walked evrywhere in our five days stay! Be prepared for sore feet! I wish i'd have taken trainers (and I never wear trainers!!) Overall desk staff could have been more friendly but we werent there to make friends! Fantastic place to stay and we would stay again tomorrow if we could!	
Aug 2 2009 	Unbeatable location	Excelent hotel, worth the value in every sense: location, service and comfort.	
Aug 1 2009 	Just what we wanted	We stayed for 3 nights in a family room with our teenager. We got exactly what we were hoping for --- a good location close to the action (without being too noisy) and enough lodging space for the 3 of us to comfortably spread out. It was just right! We also got an unexpected bonus of exceptionally helpful staff at registration. We got great advice on NYC activities and had a great time in the city. We would definitely stay here again!	
Aug 1 2009 	great	Perfect location Good size and clean roomMorning staff is incredible. The door man had tons of great tips. Evening staff is typical NY friendly.Will return.	
Jul 27 2009 	The bartender gave herself an extra tip on my credit card.	I stayed in this hotel 9 years ago. The staff was less than friendly then but we wanted to relive the experience so we booked it again. The room was TINY. When we opened the door the bed was immediately infront of us, it took up the entire room. I thought it was a joke because our room before had not been this small. We requested a new room but it was also just as small. The staff was rude. The bartender gave herself an extra tip on our credit card. The location was nice but with so many other hotels in the same area I will not be going back to Hotel Metro.	
Jul 26 2009 	A great place to stay in Manhattan	Our family (2 adults and 2 teenagers) stayed here in early December 08. We had a good-sized apartment - separate bedroom for us and the large living/2nd bedroom, with 2 double beds and a view of the Empire State Building. The bathroom was a decent size and the kitchenette was basic, but fine. Not so keen on the 'mini-bar' situation - as we couldn't put any thing of ours in the fridge without moving things and then setting off the triggers and racking up a bill. However it was almost Winter so not really a problem. We found the staff polite and helpful, and we made good use of the free computer access. Breakfast was basic but good and filling and the Grill made beautiful meals. Loved the location, close to Macy's, Empire State Building, and subway stations - just what we wanted for our first trip to New York - to be right in the middle of Manhattan. I was surprised that I would feel so comfortable in a hotel - I would definitely stay here again.	
