	Trendy modern  not for all tastes	This hotel is best for a romantic getaway type of deal. I'd give this 4 stars were it not for the loud cracking noise from the heating system. The regular rate is $200+ for a petite, which is overpriced unless you can get an upgrade to a queen or larger. If you are into sleek, dark, masculine, and more modern/trendy style it's for you. If you're into classic, warmth, coziness, than you should try something else. It has an excellent location. I got a special deal through hotels.com at the last minute. They upgraded me to a queen room with a terrace, which was awesome, and probably worth the money (~$160). They also let me check in 2 hours early. The look is very dark, masculine, and romantic. Television behind the mirror, nice entertainment system. Nice bath products, and a sexy bathroom set up (dark walls, mirrored walls, etc.) It would not suit all people's tastes, it's very modern and &quot;cold&quot;. The staff is very helpful, but not that friendly. There were loud cracking/drilling noises that I was told was due to the heating generator. I had to turn off the heat to get rid of the noise. I ordered room service for breakfast and it was neither generous nor that tasty. They give you cookies, which is nice. Overall, I'd say good for the younger, trendy set that's looking for a weekend away together. I liked the bathroom. Would not pay more than $200 to stay here - for that price, you could find something nicer.	
Aug 12 2009 	Good Location great service and style	I travel to NY frequently for business. I saw City Club at a good rate online so I booked it as I needed a hotel that was centrally located and had a restaurant onsite for meetings. I was really pleased witht the service. My room was very comfortable- it had a queen sized bed, great bath amenities, fast wireless internet access. The restaurant was very good. The beds were really comfortable and the fresh cookies that greeted me when i got back to my room at night could not be beat. The service was very good- the staff always greeted me when i came in and out and the bellstaff was always there to open the door for me. Will stay here again and have recommended it to my colleagues.	
Jun 16 2009 	Well located good service from young staff	I'm very positive about this hotel mainly because I got a very good deal from Expedia, and then an upgrade when I checked in. So for about $200, I got a spacious (by NYC standards) room in a cool hotel that's perfectly located for sightseeing. You can't beat that!The hotel's location on West 44th St. is great -- near all the action in Times Square but not as hectic. The staff at the front desk looked like they hadn't yet graduated from college but were among the most efficient and professional I've encountered. DB Moderne, one of NY's best mid-priced restaurants, can be reached through the hotel lobby, and you can even put your restaurant tab on your hotel bill (although the two businesses are separate),One amusing thing about the room decor is that it tries to camouflage things. If the front desk neglect to tell you that the TV is behind the painting (or wherever), you'd never find it. I thought at first there was no closet, then realized it had been cleverly hidden with the wallpaper.There were a few things I didn't care for. My room on the second floor faced the street and wasn't soundproof. The shower curtain didn't keep the water from splashing all over the floor.But those are the only negatives I can think of. If you can snag a deal on this hotel, by all means, stay here!	
Jun 12 2009 	very small rooms	We should have read the earlier reviews because like 'Loveslife' (review may 13) we also booked our room through hotwire and expected a nice 4 star hotel room --and yes we also got a deal --but then again when we arrived we learned that the only room we could have was a petite room with a double bed. The room was fine in its furnishings etc but given its size and having only a window to a brick wall it was claustraphobic. Unfortunately unlike 'Loveslife', we were with two persons! So there was no room to move and no space to put our suitcases (in the end we put them on the floor in the shower). Furthermore the room didn't have a fridge or safe. It is indeed likely that the larger rooms are very nice and the location is great. Just know what you are booking and if the price is right and you don't mind being in a closet --even if it is a nice closet -it is worth it . (with many thanks to 'Loveslife')	
May 25 2009 	Just a little more forethought	City Club at 55 West 44th street was a great location, a good deal cost wise, small but sufficient room, exceptionally clean room and building, friendly and knowledgeable front desk teams, confortable bed (as I was lead to expect from other reviews) BUT we ordered breakfast through room service for two the catch being there was only one chair in the room. So someone had to picnic on the bed. In addition we ordered two different kinds of tea but one the insulated carafes had been used for coffee so frequently it was still 'stained' with coffee residue. When we opended that one we thought the order had been misread and then sent one coffee and one tea. It even gave that pot of tea a bit of coffee flavor. These are really picky things I have to admit and they will not discourage me from stayting at City Club again. Over all it was ideal for a night's rest after the theater.	
May 13 2009 	be careful what size room you book	I booked my room through hotwire and expected a nice 4 star hotel room --and yes I got a deal --but then again when i arrived I learned that the only room I could have was a petite room with a double bed. The room was fine in its furnishings etc but given its size and having only a window to a brick wall it was claustraphobic. It was a least good that I was alone. My guess is that the larger rooms are very nice and the location is great . Just know what you are booking and if the price is right and you don't mind being in a closet --even if it is a nice closet -it is worth it .	
Apr 28 2009 	Fantastic Hotel in a Perfect Location!	One of the few places a family of five can stay. It was so clean &amp; the room was large for NYC! The service was great! Everyone was friendly &amp; so helpful! I would highly recommend staying here (I actually already have to some family:)&gt;	
Apr 5 2009 	A little gem in the heart of the city	This was an exceptional place to stay from when we first disembarked our cab upon arrival till they held the door open for us to depart. The service by every member of the staff was so fantastic that in our short stay we ended up on a first name basis with a number of them. Any request was met with politeness and efficiency.Room was a decent size for NYC (esp for the price) and the location could not have been more ideal in terms of its proximity to the subway and numerous sites of interest.Loved that the TV was tucked away and the bed and day sitting area was super comfortable. The bathroom was stocked with fine toiletries and everything was very clean and well appointed.My husband and I had breakfast in the restaurant downstairs and everything was very tasty. Room felt very quiet for the city as it is on a 2 lane street -- some traffic noise but nothing that was prevented a pleasant stay.Would definitely stay here again not only because the room was comfortable and nice but mostly because the service was so outstanding.	
Mar 9 2009 	Exceptional Service	This is an amazing hotel situated in the center of Manhattan. From the moment we stepped into the lobby to the time we checked out, the service and staff were incredible. We stayed in the King Luxe room which was incredibly spacious and very smartly appointed. Our room had a day bed over looking 44th street and a TV behind our full length mirror! Such a creative use of space. My favorite part about our room were the oversized chocolate marble bathrooms. Our rate included complimentary wifi, passes to the New York Sports Club and discounted parking across at the parking garage across the street. And I can not leave out that the hotel's restaurant is one of Daniel Boulud's! We were able to order a fantastic French continental breakfast in the morning followed by our pre-theatre dinner later that night.Over all I had a fantastic experience at City Club! My only regret is that I was unable to stay longer!!	
Mar 8 2009 	Great location and environment	I'm still laughing about the comment below regarding lack of TV in the room. The TV is behind a glass wall - when it's off, it's as if it weren't there. Anyhow, I have stayed numerous times in this hotel since it first opened, and if you're a theatre-goer, this is one of the most amazing locations. The Red Flame diner a few doors down is a gem, plus DB Moderne is one of the best restaurants in NYC. I love staying at this hotel.	
Mar 4 2009 	Beautiful stylish design has best restaurant in Times Square area.	We loved this boutique hotel on one of the best blocks near Times Square. We could easily go to the theater or walk Fifth Avenue to Rockefeller center and shopping. The design was amazing - oversized marble bathrooms and the televisions were ingeniously hidden behind two-way mirrors which were controlled by pointing the remote at the full length mirror. The room service by the Daniel Boulud DB Bistro Restaurant was the perfect french breakfast and we enjoyed their famous (although expensive -$30) foie gras and truffle hamburger.Service was extremely helpful and friendly - Emanuel at the front desk arranged theater tickets for us and dinner reservations at some difficult to get into restaurants. Overall we had a great stay and recommend this hotel!	
Feb 18 2009 	horrible experience we won't be back	This hotel was absolutely terrible!!! We were there for a one night stay over Valentine's day. I had never been to NYC, so I was very excited for our stay. When we got to our queen luxe room I was extremely disappointed. My fiancé opened the window shades and we had a huge brick wall for a view. Then we noticed that there wasn't even a TV in the room even though they say that there are &quot;premium channels in all guest rooms including HBO&quot; and they offer a DVD library to choose from. However, there was a DVD player in our closet (I don't know what we were supposed to watch it on). Anyway, the lack of TV didn't really matter that much to us since we were only there one night and weren't in the room much.It was very hard to sleep that night. You could hear every noise in the hall and other people's rooms and the cover to the heating unit kept falling off of the wall.Then to top off the experience I notice that my credit card had an extra charge of $30.00 on it. I called to the hotel and they told me it was for a bag of potato chips, a small bottle of spirits, and a half a bottle of red wine. I explained to Emanuel that we had never even touched the mini bar. I guess he thought that we ate chips and drank while watching a nonexistent TV and staring at the brick wall. So overall the experience was awful and they tried to rip us off too!!!	
Jan 21 2009 	Perfect Getaway	The City Club provided the perfect setting for our recent romantic getaway to New York.  We were allowed to check in 3 hours early...the staff and service was excellent...there is discounted garage parking across the street...the room was larger than expected for such a boutique hotel...room and bathroom were clean...trendy, modern decor throughout...there is free internet access and a free computer to use on the second floor lounge. the restaurant next door is supposed to be amazing...however we didnt eat there, b/c we wanted to explore other parts of the city.while some might be turned off from the &quot;dark&quot; feel throughout the hotel (dim lighting, dark-earth tones in the bathrooms, etc...) we thought it only added to the experience. the biggest drawback was the view of the brick wall and the bathroom was small but ample. however, we weren't in the room much (its New York after all) so it didn't really bother us at all.by far, the hotel's greatest asset is its location. nestled right between 6th and 5th avenue, and just blocks away from Times Square, Rockefeller Center and the Empire State Building, the only time we had to hop in a cab was to explore greenwhich village and the financial district.we would stay at the City Club again in a heartbeat...	
Dec 5 2008 	What a great experience	I booked this place mainly based on location.Its off the beaten path of Times Square, but still walking distance.Wanted a nice place to help celebrate a dear friends birthday.I arrived early and was checked in, dropped my stuff off. Room wasn't ready. So we went and brunched and were called as soon as a room was available.Upon getting into the room, the room was small. But it was so well laid out, it didn't seem small in the least. What a most effiicient use of space.The upscale bathroom amenties had my friend and I &quot;fighting&quot; over them. But since its his birthday, he got them.Between shows, we were greeted by some amazing tasty cookies waiting for us in the room.After the 2nd Broadway show we saw, went back to the room to freshenup and hit the clubs. But the combination of walking around and the comfy comfy bed, we called it a night.Shame but next time I come back, I am definfately staying a longer time!	
Nov 14 2008 	Nice hotel	We found this hotel thanks to a New York city guide of a Belgian Newspaper. The review on this hotel was really good so we decided to try it out and were not disappointed. All the staff were helpful and very friendly.The room was very nice and big enough and the bathroom large but as already said in previous reviews the closet could be bigger and the AC less noisy(really too noisy to be able to sleep). The location is also perfect. We did all our visiting trips by foot and we were able to find good restaurants at night within walking distance. For this we used the Zagat restaurant guide we found in the room. However the best dinner we had was at the DB Bistro. Service and food were perfect. If we have one negative remark about the hotel it is the absence of a comfortable bar where you can enjoy a drink before or after dinner and relax in a comfortable atmosphere after a long day out. The first night we went to the DB bistro (as suggested on the website )but as from 5pm the place is full of people having dinner. We went elsewhere the other nights.Anyway if you are looking for a comfortable, small hotel with great service, this is the place to be.	
Oct 26 2008 	Great Beds	We booked this hotel through Quickbook at the last minute. We often do quick NYC get-a-ways when we can get reasonable last minute rates. We have stayed at many NYC boutique hotels including 6 Columbus, The Benjamin, Hotel Giraffe, The Muse etc...We will definitely add The City Club to our list. We had booked a queen but because they had availability, they met our request for a quiet room and upgraded us to a king at no additional cost. They also met our request for a later check out at 1. There are many great restaurants near by and we had dinner at Triumph next door at the Iroquois Hotel which was very nice. I'm sure the hotel restaurant is very nice too but quite pricey. The fabulous location enabled us to walk to Central Park one day and we walked home from Soho the night before. Very pleasurable all round experience, can't complain about a thing!	
Jul 14 2008 	Love love love this hotel	This is a wonderful, fantastic place to stay in NYC! It is so friendly, yet professional and the staff goes out of their way to make sure you are happy. The room was fabulous, super comfortable, luxurious and well, just perfect. It's small and intimate and beats the choices in the 50's &amp; Broadway by a mile. All the grace, luxury and class of the chain luxury hotels, with none of the pretense. The location is perfect. Just steps away from the theatres and several amazing bistro/restaurants that feel like neighborhood places, just outside the door. Now I won't stay anywhere else when in the city.	
May 30 2008 	A for effort	City Club is a small boutique hotel in a great central location in midtown Manhattan. Staff was very helpful and accommodating. Rooms are a little on the small side with no view (not surprising in Manhattan). The fabric wallpaper is showing a lilttle wear and tear, but the room was clean. Bathroom was great with good quality soap and shampoo; water pressure in the shower that would blow you down the block! Hotel was quiet and rooms have black-out shades for great sleeping.Turn down service came with killer chocolate chip cookies. Staff recommended the restaurant next door, DB Bistro Moderne, for lunch - which was terrific.There is a large fitness club a few doors down to which guests have complimentary access.Only real complaint about the hotel was that despite the property being a non-smoking hotel, our room reeked of smoke. Suspect that because of fabric wallpaper, the smell is difficult to get out, but it was off-putting.Room rate was competitive with other hotels of it's class. Did get a much better rate off Expedia than I was offered when I called the hotel directly. Overall, would definitely stay there again.	
May 28 2008 	Hip Quiet and Relaxing. Perfect for business.	I travel frequently for business and have stayed in many hotels in NYC. I find myself coming back time and time again. The rooms are quite large by NYC standards, very well appointed, and quiet. The bathrooms are among the best of any hotel I have stayed at. The room service from db Bistro is likely the best you will find at any hotel (albeit a bit pricy). The cleaning staff has never once knocked or intruded while I am there - they seem to have a 6th sense about when to come and clean. One tip is to request a room at the front of the hotel. This will give you better daylight, and a nice view of W. 44th, but it can be at the expense of some traffic noise.	
May 20 2008 	Perfect spot	I booked this hotel as a surprise trip to New York for my boyfriend's 40th birthday. I chose it because of the location and because he's into technology and it looked right up his street, plus the beds looked huge and sumptuous.A nice touch having the tv hidden behind the mirror and a CD player to create some abience.The only downside was the view... there wasn't one. But seeing as we didn't spend too much time in there anyway, we weren't complaining.Great spot to get around Manhatten as it's literally around the corner from Times Square. There's also a great little diner a few doors down which the staff recommended. Can't remember the name but we ate breakfast there each morning - delicious!We had one minor issue whilst staying there, and this was the 24 hour room service. We tried to order food at 2:00 and there were no staff to fulfill it so we went to bed hungry. Plus the juice in the mini fridge was well past it's sell by date. However, when I told them they went out and bought us back a big carton of Tropicana, so we were happy with that.	
May 3 2008	Pleasant botique	Pros: great location for most tourists, parking garage across the street, well-appointed but simple room with big nice bed, moody lighting, black marble bathroom with nice toiletries, turndown service with cookies (a nice touch), complimentary DVDs to borrow, surprisingly good-sized room (by New York standards).Cons: most rooms have a poor view, closet is small (but really not THAT much different from any other hotel), poor writing desk, television not at a great angle (I'm really stretching for negatives here).Would definitely stay again. Very nice gay-friendly hotel.	
Apr 26 2008 	In the middle of a battle-field!	After my terrible stay at this hotel, I wanted to check out the reviews about this hotel written by other users, and I was really surprised about how others had good experiences. How could that be possible???I was in NYC for two days for business and had rather busy schedule. I stayed at City Club for two nights. Not being able to sleep all night on either night ruined my trip.At first, I was impressed by the design of the hotel. My room (#305) was stylish and clean. The real story started after mid-night when the huge AC noise from the next building woke me up. At 2 AM, I thought if I got really tired, I should be able to go to sleep despite the noise. However, I wasn't able to go to sleep by 4 AM. So I called the front desk to ask him to check if the windows were open because the AC noise was huge. He stopped by to check the windows. They were all closed. So he switched me to another room on the 6th floor (# 602). It was a very warm room. There was also the similar kind of AC noise although not as loud as in the previous room. I figured I must turn on the room AC to cool down the air which would create more noise.Therefore, I stopped by the front desk to ask them to switch me to another room. They switched me to room #202 that faced the front street at 4:30 AM. I was able to go to sleep despite the growing traffic noise because it was not nearly as bad as the AC noise.Then I expected the second night to be relatively peaceful. However, I was completely wrong!At 1:30 AM, a working truck stopped in front of the building with engines running and people talking for at least half an hour. It felt like a construction project going on. After the crew left, I felt relieved because I wouldn't have expected another construction project coming back on one night! At 3:30 AM, another working truck stopped in front of the building with engines running and people talking.I called the front desk and asked why there were so many construction projects going on in the middle of the night. The front desk told me they were garbage trucks collecting garbage. The one that showed up at 1:30 AM was to collect trash from the hotel right across the street. The one that showed up at 3:30 AM was to collect trash from this hotel.Reason for my not knowing this the night before was that I moved to this room at 4:30 AM after struggling all night the night before!In summary, if you are able to sleep in a battle field ( for instance, if you were a soldier in Iraq and get used to sleeping during the wars), this hotel is for you. However, if you are as sensitive a human being as myself, you'd better off stay away from this hotel!	
Mar 25 2008 	True definition of a hip boutique hotel wonderful location	If price is not on your mind, this hotel is spectacular! Lots of hotels spend thousands on a snazzy lobby but shabby rooms, but City Club Hotel did something out of the ordinary. It's a very simple and small lobby to check-in, just adjacent to an excellent restaurant, but the rooms are elegant and dramatic! Ipod alarm clocks, marble bathrooms, Hermes bath amenities, extremely comfortable beds and a free business computer on the 2nd floor made my stay very enjoyable!The lobby is light and airy; in contrast, the rooms are quite dark and masculine, but still comfy. I would not recommend to stay here on business, just because they focused on mood lighting, and not desk work stations. If you want your own quiet corner of NYC just steps away from Times Sq, you need to stay here. The staff were accomodating and helpful.	
Feb 2 2008 	Truly lovely small hotel	After hours and hours of searching for a nice, quiet hotelduring the holiday season in NYC, we found the gem inCity Club Hotel. The rooms were perfect, the bathroomsso up-to-date and hip, and the staff was among the bestwe've encountered. The assistant g.m. is so attentive andgenerous with her time, the front desk people are delightful,and the doormen can make your day. The smallest thingscan make a trip worthwhile. They found out that I was acoffee &quot;addict&quot; and made sure I had a new coffeemaker in myroom with supplies. The restaurant attached to the hotel isbeautiful, although we only ate there once during our five days.Order the bagel and lox from the 24hr menu late one night!P.S. Wonderful beds and linens.	
Dec 6 2007 	Great location! otherwise mediocre	Plusses:- excellent location - walk to everything in Midtown- in the same block as the Algonquin Hotel, the Iriquois, the Harvard Club, and the New York Yacht Club- near Times Square if that's what you want- easy to walk to Rockefeller Center- friendly staff calls you by name all the time- superb beds- 2 so-so cookies on your pillow at night- you can open your window if you get a room overlooking 44th street -- to listen to all the Times Square noise- yes, they are wireless -- and they have ONE public computer on the second floorNegatives:- typically they run late when you want to check in. You may have to wait an hour or so on the second floor.- very noisey - jack hammers start nearby at 7am &amp; go all day- clothes closet for bedroom is 2 feet by 2 feet, very small- no coffee maker in room but there's a &quot;diner like&quot; restuarant in the same block, and a McDonalds two blocks away- no ventilation fan in the bathroom. Mirrors steam up.- lighting is tricky. You have to find the dimmer switch. The reading light(s) over the beds are useless.- TV speakers blare in the bedroom AND the bathroom.- Bathroom is a black marble, very masculine.Again, a GREAT LOCATION, within walking distance to everything in Midtown, but otherwise very mediocre.	
Dec 3 2007 	Good and bad points overall could be better..	Just returned after a two night stay at this hotel. We had the Duplex suite which was pretty cool and unique, with the HUGE ceiling to floor window covering two floors, the beautiful ceilings, and a great bathroom.What was strange (and annoying) about this room was the heating, The heater ventilator was very, very loud, and there was no way to turn it down- just off. That meant that the lower level of the Duplex was freezing, but the upper level was usually extremely warm.The entertainment systems in the room were perfectly functional, but worn and outdated.The service at the hotel was fairly good, staff very helpful &amp; willing.The bistro next door had a nice breakfast, worth checking out.Overall it was a fairly good stay, but the hotel could use some refurbishing and attention to detail.	
Nov 29 2007 	Great food not really an hotel	You arrive at a small desk to check in, there is no public area and no hotel atmosphere but the staff is nice and involved.The room was extremely small even for NY, not mint, dated with a view to a wall. You can hear the noise from the corridor only covered by the noise from the street in the morning. There is no reading light. The TV set can only be seen standing! Room service from the DB restaurent is efficient and excellent.The breakfast, its brioche and the whole menu is to die for.Nicely located on 44th street, but prefere the Sofitel next door, better value, better rooms, better atmosphere you can go to DB for breakfast next door.	
Nov 1 2007 	Shame on the City Club Hotel.	In all fairness, the City Club Hotel was, at one time, my favorite place to stay in the city. I was a frequent guest from the time it first opened in 2001 until a year ago.I recently returned for a 3 night business stay and booked a King Deluxe room online using the hotel's website.What a huge disappointment it was compared with my past experiences. Before this one I always enjoyed my stays largely due to the staff and their attention to service. From the onset, the Front Desk staff was aloof and indifferent. When the room type I had reserved was not available, I was put into a smaller room type without warning or explanation.The attitude and overall demeanor of the European woman who checked me in was just plain lousy. Her English was ridiculous and she spoke much too fast which made it even more difficult to understand. Generally, she acted as though she just wanted to get rid of me and did not try to hide it. Shame on her and on the City Club Hotel.The beds are still very comfortable but the rooms showed major signs of wear and tear. Frayed carpeting, overly worn towels, stained and threadbare robes, obsolete entertainment system, scuff marks on walls and doors, loose tiles on walls of bathroom.For the very high prices that the City Club Hotel is charging I could have stayed in a more trendy hotel in a neighborhood that doesn't close down as early as that one does.At least now my colleagues and I know not to return, we shall try one of the newer, better located hotels which charge the same rates.	
Oct 9 2007 	Lovely beds	The standard of this hotel is very high for being New york. Nice beds, great minibar, professional staff. Housekeeping does a great job and will never miss a thing. Turndown service is also a pleasant treat.	
Oct 9 2007 	Cannot beat it!!	Second time ive stayed at this property and it just gets better everytime. The staff are the most helpful and gracious i have ever ecountered in NY. The rooms are spacious and extremeley clean. Beds are out of this world. Great location to everything will always make this my home when in Mahattan Keep it up City Club	
