	Welcoming Staff!	The reception staff was very welcoming and very helpful even in the late hours of night. The hotel is nice, very well located. The room was basic, a bit small with very basic furniture. The bathroom however is really nice with multiple amenities. Breakfast during the week end is really good, on weekdays however there is a limited choice but you can always ask the staff for hot food.The only negative comment is the hours of opening of the bar. It closes on 11 pm on a Sunday.	
Oct 8 2009 	Very Convenient Comfortable Hotel	Attentive staff, very welcoming. Clean rooms, particularly spacious for area. Convenient location - many restaurants within easy walking distance, underground stations, bus stops aplenty.	
Oct 8 2009 	A striking one of the Best trendy HILTON hotels we stayed in...	I guess, we were really lucky that we decided on staying at this Hilton property. Even though, the Trafalgar is part of Hilton family, there is no sign of Hilton you can see on the building. It is located in the heart of London - Trafalgar Square. The reception area is part of a very nice lounge / bar. The lounge serves breakfast in the morning and turns into a place to party at night with a DJ. The hotel has one of very few Rooftop restaurants in the area - with a view of all major London attractions - Trafalgar Square, London Eye, Houses of Parliament, St. Paul Cathedral, etc. The staff is very friendly and will go above and beyond to help you. The rooms and bathrooms were spacious and luxurious. Our teenage kids also loved it. We all enjoyed our stay at this hotel and wished we had few more days to spend there.	
Oct 8 2009 	Trendy modern hotel in a great location	London was a beginning and ending point for our trip. The hotel is very conveniently located. Buckingham palace is a nice stroll away as are Big Ben and Parliment, not to mention Trafalgar square. The tube is very close, walking distance even with luggage. They have a wonderful breakfast spread and the rooftop bar offers wonderful views, especially at night, during the warm season. Other than the fire alarm that went off at 7am and then consiquently having to evacuate the building in our PJ's, it was a wonderful place to stay.	
Oct 6 2009 	Fantastic Location	Partner and I stayed here for three nights at the conclusion of our holiday around France and UK. Of the hotels we stayed at in UK this was by far the best - I just wish the hotels I stay in for work in Australia were this fantastic!The location is central for lots of activities - being right in Trafalgar Square, yet the hotel itself is pleasingly quiet. I had a room facing into a laneway - but I never spend much time in the hotel room, so who cares about the view.The staff were exceedingly helpful and honest. Had a drink at Upper Rockwell on the first evening in London and had intended for dinner at Lower Rockwell. The bar staff recommended dinner in the bar because it is a more relaxed environment.Overall - the rooms are spacious, beds are comfortable, hotel environment is well maintained, and the staff are easy to deal with.	
Oct 1 2009 	Best Hotel in London	My wife and I recently returned from our first trip to London. We are very particualr about hotels and usually lean toward Hiltons because of their service and high standards. The Trafalgar Hotel is a Hilton hotel but it is not marketed as such. The first thing that you will notice upon entering the hotel is the minimalist decor. You enter through a very &quot;hip&quot; bar and at first glance the reception area is not obvious. It is quietly tucked away in a corner with no signage. As you enter your room it is sparkingly clean and crispy decorated. The bathroom is very large by European standards and has a seperate glass enclosed shower and over-sized tub. Our room was on two levels. The first level housed the king-sized bed. Three steps up led to the second level with a television and chaise lounge. The over-sized window looked out to Trafalgar Square. Because of the double-paned window th eroom was absolutely quiet. The service is impeccible. The concierge will take care of your every need from booking trips to making reservations for restuaruants &amp; theatres and confirming transportation bookings. The rooftop bar on the 6th floor offers a commanding view of London. Breathtaking! Walk outside your door and there in front of you is Trafalgar Square, the BEST location in London. This hotel is close to everything: theatres, shopping restaurants, the tube etc. London is fantastic and the Trafalgar Hotel made it that much better! Cheers!	
Sep 30 2009 	Another excellent stay in the heart of London	This has been my 4th stay at The Trafalgar which as the name suggests is at the heart of Trafalgar Square and therefore the heart of London. The hotel continues to have a very professional and friendly feel, it is always nice to receive that &quot;Welcome back&quot; when you check in. We received a complimentary upgarde and our room had the most amazing view of Nelsons column we had been lucky enough to have this room on one other occasion and a better view in London would be hard to find. The rooms are of a modern &quot;business&quot; style and there could certainly be no complaints about the housekeeping, the room and indeed all areas of the hotel are kept spotlessly clean. I would higly recomend this hotel for both business and leisure. It's position within the heart of the city would be hard to beat.	
Sep 29 2009 	Now that's a refreshing change	Stayed with my wife for her birthday and what a fantastic surprise. From the moment we checked in at 9.30 a.m. the team were fantastic and service excellent. Roof terrace for a cool beer and glass of wine, very generous room with a view of Trafalgar Square, and fantastic buffet breakfast the next morning. We'll definitiely return.	
Sep 22 2009 	Don't bother finding another hotel head straight to The Trafalgar Hotel	What a joy after a long trip from Australia to arrive at such a clean, modern, service orientated hotel. Our deluxe room which was very large, minimalist, but extremely tasteful overlooked Trafalgar Square. You are right in the middle of London at this hotel which makes most things accessible by foot.The breakfast is the best in Europe with plenty of friendly staff who remember you and your food/beverage preferences throughout your stay.The only negative was that the roof top garden bar is so popular that unless you get there at the right time, and if there are not any private functions on then you cannot enjoy the most spectacular view of London.Overall this hotel is an absolute gem. Well done Hilton Hotels for this little beauty.	
Sep 20 2009 	Fantastic hotel with an EXCELLENT location	I stayed here for five days in mid-September and had a great time. You cannot ask for a better location. As soon as you step outside, you have London in front of your eyes. Trafalgar Square is where the action is and the &quot;hub&quot; to getting to the major sights. There are a handful of streets that intersect right near the hotel and taking any of them will take you to a major sight. The Charing Cross station entrance is extremely close.I arrived early (around 9am) and was given a room right away so I could catch up on some sleep after a long overnight flight. The concierge, Sam, was extremely helpful and was able to book a tour for me (Windsor, Bath, and Stonehenge - Excellent Tour), answer numerous questions that I had, and helped me book transportation back to Heathrow.The rooms themselves are nice and well appointed; you won't be disappointed with the room and will notice most amenities are present and accounted for. I was offered my choice of a daily paper and the room was cleaned rather quickly when I put out the &quot;Clean My Room&quot; sign.For your convenience there are many coffee shops, an ATM, a Tesco, and a 24 hour store to purchase drinks and sandwiches right near the hotel. There is a bar inside the hotel which was pretty lively when I walked every night. There is also a roof bar, but I didn't go up there.Everyone at this hotel was friendly and the hotel itself in great condition. If you have the budget (I was on a free stay via HHonors Points), I'd strongly recommend staying here. It isn't cheap but the location cannot be beat.Tip: Go to the Tesco and pick up a Cadbury chocolate bar. It tastes a lot different (very tasty; very creamy) compared to chocolate within the United States.	
Sep 18 2009 	Right in the thick of things!	My wife and I spent two nights at the Trafalgar using our points last week. The hotel is a stone's throw away from the Charing Cross station on the Tube. Inside the hotel is a modern lobby with the bar and restaurant all folded right in. We had a room facing Nelson's Column, the Square and the National Gallery. It made for quite the view out of the window. However, with the view came the price: traffic, car horns and the endless police and ambulance sirens throughout the night. Literally, all night. If you are light sleeper, I'd recommend NOT getting a room facing the square.As with most rooms in London, it was somewhat small. However, we just needed a shower and a bed as we were out exploring all day. The bathroom was in need of an update, but again; it served its purpose.The staff was very friendly and helpful. They did get slightly bitter when my wife brought in a sandwich to the bar/lobby area. This was after I bought my 13 pound whiskey. They stated it was against health code or something to that effect. I think they want you to buy the 7pound item off their menu, not the 3 pound sandwich from around the corner. We just packed up our food and drink and went to the room.In all we'd recommend the Hotel. ***Oh, check your email account in the days leading up to your visit. They had sent us a dinner and drink promo, but we didn't learn about it until AFTER our stay!***Cheers!	
Sep 18 2009 	didn't know that there is this much hospitality in London....	Wow, from arrival to departure only kind and informing people to greet you! Have been in many other hotels in London, but if you should/can choose, take this one. (I travel a lot in the far east and am used to the kindness and cooperative people at hotels, have not found that earlier in London, we Europeans are to 'cold') It was a surprise to enter these premises and was overwhelmed with kindness by the staff, from bar-keepers to management. This made my stay a lot better then usual. Next time in London, they can except me back. PS normally I don't write reports, I only read them, but this hotel made me change my mind!	
Sep 5 2009 	Far better than a local thought a London hotel would be!	I stopped here for a night for a change, even though I would normally head home, so I could pretend to be a tourist not a local for once. I had low expectations of a chain hotel off Trafalgar Square, tourist trap, over priced, soulless. Well, what a surprised, it was none of these. I arrived late and the welcome was swift, warm and very professional. The staff were very friendly and the reception layout is very inviting. The hotel is stylish and modern, and you had that grand destination buzz. &lt;The room continued from this great start, being very spacious, huge bed and great bathroom. The bay window with views out to Nelson`s Column was a real treat, even for someone who had seen it so many times. The pillows were not feather, and I fancied some feather ones, so called the reception and a full set of feather ones arrived in 10 minutes. After a night out with a few drinks, the prompt answer by the night staff at the door was welcome. The sleep was excellent, as despite being in the centre of the city, the sound proofing was great and the room very quiet. The breakfast was great, and had I not had a lunch booking, I might have really pigged out. Only downer was that they didn't bring out the pot of tea promised, but I could have prompted them again and didn't, so can't hold it against them. I got a good price by booking in advance, and had worried I would get poor quality due to the lower price (for London!), but I feel that I got one of the best stays possible, and at the price, exceptional value. I sometimes worry these reviews are not genuine, or from people who might not know what the local quality could be. Take it from someone who lives in London, this I would recommend to anyone.	
Sep 1 2009 	First Class - Best Hotel in Town	As a seasoned business traveller I have experienced hotels all over the world and The Trafalgar has to rank as one of my favourite hotels anywhere! I recently stayed here for a special birthday and the staff were wonderful, the room was amazing with great views to nelson's column and the breakfast complete with live music was stunning. I recommend this hotel very highly.	
Aug 31 2009 	Quality trendy hotel	We enjoyed our stay in this very well located hotel and would comment on the excellent soundproofing (considering it's location) spacious comfortable room and bed, excellent service, and good breakfast experience.It is certainly not a typical Hilton, and is not cheap (but what is in London!) but we liked the atmosphere and the ease with which we could walk out to sights, restaurants and theatre. A convenient, but expensive public car park is just behind the hotel.Had a minor plumbing problem in the bathroom which was quickly sorted, and walk-in shower floods the bathroom (triumph of design over practicality) which resulted in some signs of wear, but these were not dealbreakers.Nice linens - but do think that duvet should be a quality natural one in this standard of hotel.Would stay again, and recommend, except perhaps to traditionalists!	
Aug 28 2009 	Great location but room showing wear.	I picked this hotel for the location, which was great for the covent garden restaurants and theatre we were going to. Slight confusion finding it, as no Hilton signs but apparently this is part of a re-branding for this hotel. Also bit bemused by checkin desk, which looks more like a restaurant checkin but quickly given our room, which was ready early as requested. The room (410) didn't quite fit with the rest of the hotel, which is smart and modern. The public areas are well maintained but the room wasn't wearing well and just didn't live up to the rest of the hotel. The bathroom was suffering in the obvious places like grouting peeling away, or going black, as well as a loose control in the shower. Floor tiles also looked a bit shabby, just a bit disappointing for the price. The bed also felt saggy and worn, which I've not found at other Hiltons. Whole room just looked tired and in need of either some very deep cleaning or replacement. Ate lunch on the roof terrace, which was good, although a shame it was closed for a private event in the evening as this had particularly appealed when booking. Staff mentioned it is often closed in the evening for private functions. I was a bit surprised at the lack of information in the room. Although there is a room service menu, there is nothing giving breakfast hours, checkout time etc or any local information. There is a well stocked mini bar but it wins most expensive I've ever seen (more than the Savoy, or the Manhattan Hilton...)It's in a useful spot, but the room just wasn't worth the price. I picked the hotel because it was a Hilton (member of Hilton HHonors), looked modern (thought rooms would be too) and because of the location. Lots of hotels in the area, wouldn't be tempted back unless improvements were made.	
Aug 17 2009	Hilton Trafalgar Square London	Excellent overall experience. Staff was friendly and accommodating. Breakfast was included in our package and was a steal considering London prices. A big breakfast gets you through a lot of sightseeing. Lounge had a definite hipness. Highly recommended.	
Aug 10 2009 	Great location yes but not worth the money we spent.	The hotel is lovely--very modern design with large rooms and bathrooms. The location is wonderful too--right on Trafalgar Square. However, the wi-fi was prohibitively expensive; and breakfast was average with few choices. I expect more from a Hilton hotel--especially since the Hiltons are famous for their breakfast spreads-- and one that charges so much per room. I had asked for a twin room but received a double after being told no twins were available. Was a fine hotel for one night, but would not stay here for longer than that.	
Jul 27 2009 	Service as great as the location!	I have stayed at this hotel probably 5 times in the last year, am a frequent visitor from the US.In short it is an awesome hotel. Got the best combination of location, style and service of any hotel i know of in London.As a Diamond member with Hilton I am frequently upgraded which is always appreciated and to rooms that are very spacious and cool. The showers are also great, an important and rare feature in London.Having been here several times I can say the service is consistently excellent, friendly, efficient and quick to fix things if there is a problem. Highly recommended.	
Jul 25 2009	Great Location Good Hotel	I visited this hotel in December of 2007 on a trip for my mother's 60th birthday. The hotel was kind enough to let us use a room when we got there very early to shower and nap. The hotel is right off Trafalgar Square and is maybe 1/4 mile (.4 km) from Charing Cross rail station and the Embankment tube stop -- meaning that everywhere in London is very accessible. It is also about 1 km/.6 mile from Piccadilly Circus.The accommodations were very good as well. We had very large rooms with plenty of space. The staff were also excellent -- very accommodating and quick to help to make our stay excellent. The downside to all this is price -- it's not a cheap hotel, so don't expect one.	
Jul 20 2009 	Fantastic Experience at Trafalgar Hilton!	We stayed for a full two weeks at the Trafalgar Hilton in June and July, 2009. We have travelled extensively in Europe over the last 20 years and can honestly say that this was the best hotel experience we've had thus far! First of all, the location cannot be beat. It is just off Trafalgar Square, many restaurants, the West End for theaters, and just 2 blocks from the Thames River and all of its activities. It was so easy, on a hot day, to walk down to the river and take a ferry to see the sights and cool off. All of Westminster and Picadilly are within walking distance, as was Buckingham Palace. The subway was just across the street; and buses were just outside the hotel. In addition, the hotel staff--both day and night--were extremely attentive and accommodating to alll of our needs. We were able to communicate with them via email prior to our arrival, so that most of our sightseeing was already booked before we even got to London. It is possible to pay for internet hookup in your room, so we were able to keep in contact w/ our business colleagues while gone. We highly recommend this hotel! It is like a home away from home--everything you need is right there in your room. The hotel has a restaurant, a rooftop bar, and nearby food stores for your snacks. We have vowed to always stay at the Trafalgar Hilton in London!	
Jul 14 2009 	excellent hotel in excellent location	Everything in London is near to this hotel. But the most important thing about is its staff. Really very helpfull, professional, kind and smiling. Got very good room, very big with nice bathroom; CD player was really a top for us - we went to see Priscilla musical and then during three days listened original CD non-stop (when in hotel).Very good breakfast. Perfect choice in London.	
Jul 14 2009 	Perfect location no rooftop bar access..	If you want to be in the middle of everything, this is your hotel. The location is the tops. The staff are very accommodating, friendly and helpful. The room size was average though very clean. We had no view to our dismay. Twin beds were comfortable..though for the price we paid you'd think they would have better duvets. No down duvets, only cotton - cheap..cheap...cheap... We did ask, but noone got back to us. Large t.v. and I believe I saw a hairdryer. Lots of sockets. With two girls...one needs lots of sockets.The bathroom is large with robes and slippers. The shower/tub was a bit awkward getting into as it is high and while there are handles on the opposite side of the tub, they need to put some at the end of the tub to help yourself out safely. Wasn't a fan of the complimentary lotions and gels. Too masculine smelling. One of the reasons we booked this hotel was their rooftop bar. We wanted to unwind before going out with a couple of drinks and for the three days we were there, we were not allowed access because of private parties. We were extremely disappointed. We did manage to get to see what it looked like a half hour before leaving as the manager took us up top for a look see. Too bad we could not utilize it though. The views are amazing from topside. However, the hotel did send us a bottle of wine to help with our disappointment. Everywhere we went we had free WiFi - except this hotel. Which is 15 pounds for 24 hours or 75 pounds for the week. That is astronomical. I've never paid more than $30 for a week somewhere. But, it is London. London is not cheap - but that is a bit overboard in my opinion. However, McDonalds was literally 2 minutes walk right down the street. Free WiFi there and it only cost me a drink. They really should rethink at the very least the cost of it. It should be free - but 15 pounds for a week sounds more reasonable. The breakfast was very good. Had loads of everything..early on...around 10 a.m. it started to get skimpy. Lots of juices, muffins, pastries, meats, cheeses, cereals, full English breakfast, American Breakfast, pankcakes...fruit. Service was wonderful. One gentleman even helped my sister with a concoction to help with her tummy troubles. Very thoughtful.Downstairs lounge was happening at night. Loud...LOUD music. Lots of people - more business than relaxed.. If you stay, ask for an upper floor. I think we stopped at the 3rd floor and could still hear the music. We were on the 6th floor and heard nothing. Oh and only one elevator was working for the whole three days...that was inconvenient. You ended up waiting quite a bit sometimes. I don't know about you, but after walking around London all day, the last thing I want to do is take the stairs. I would stay again, however, only if I got a better price. I gave it 4 points mainly because of the staff and the amazing location.	
Jun 30 2009 	great location friendly staff but view askew	Very nice accommodating staff. Went for the bargain room, saw it was small (no problem) and it came with an unobstructed view of an office building. They kindly changed our room and we then had an upper half window with a view of the Eye as long as you stood in a set position with head back and slightly tilted just so. Be sure to check location of room in hotel before booking.	
Jun 22 2009 	Very hospitable staff wonderful rooms and amenities fabulous location!	First tip for fellow Americans, we as well as our driver were looking for the Trafalgar Hilton...there are no indications the hotel is a Hilton so look for the Trafalgar Hotel on Spring Garden and it is on the corner facing the square. Wonderful location, truly helpful and hospitable staff. Rooms were spacious for Europe and fit a roll away for our child comfortably. We had two rooms with two adults and one child in each. (You may need to speak directly to the hotel for this arrangement) Very delicious and convenient breakfast downstairs, included if you are a gold member or can pay for this separately) Loved our stay and will return when in the area.	
Jun 17 2009 	EXCELLENT STAY	What a great hotel. The location, the staff, the ambiance. You would be hard pressed to find a better hotel in London's west end. It's a Hilton hotel, but you would never know it, other than the high Hilton standards. The roof top bar is the place to be and be seen on a warm sunny afternoon.	
Jun 13 2009 	Great hotel! Good location	I stayed at this hotel after being moved from a very poor hotel the night before. Check in was very friendly and my room was very spacious and clean. Unfortunately it was a bit close to the entrance to the roof garden so a bit noisy but this wasn't too much of a problemIt took me a while to reach room service but once I did my order arrived fairly quickly and the food was good.Breakfast is a very strange set up with a harpist in the corner and low level lighting that makes it feel a bit &quot;cocktail hour&quot;! That said breakfast is very good with a wide selection of food.all in all a good stay. Would stay here again if room rate was competitive however generally the hotel is expensive.	
Jun 11 2009 	Big difference between night and day staff	The hotel is nice enough, but as another reviewer put it, it has no soul. The daytime staff is helpful and nice, however, once they leave all service ends. The night staff makes it very clear that they do not like tourists and want you in your room and out of their hair by 10:30. The rooftop bar seemed to be a marketing ploy only. While the view is beautiful, the area is tiny, it's often closed, it closes early (last call at 10PM??) and the staff is rude. The lounge in the lobby is advertised as being available to residents of the hotel 24/7, however that also seems to be a marketing ploy. The night staff makes up their own rules regarding what they will serve - rules that changed nightly. At 10:30PM we had a bottle of wine from dinner that we wanted to quietly finish in the lounge. However, they brightened the lights, turned off the music, repeatedly bumped our chairs with a vacuum, sprayed cleaner on our table all around our drinks, the wait staff disappeared and the bald bouncer was rude to the point of hostile. He glared at us with his best &quot;kill-face&quot; trying to intimidate us out of his lounge...this was all at 10:30PM. When we refused to leave, the cleaning staff gave up and went to sleep next to us. They actually slept next to us. Hotel Manager, if you happen to read this, stop by your hotel one night after 10:30 and see for yourself. On the positive side, the location is great and the room was clean (although our shower leaked from the bottom and covered the floor with water).Another thing...the internet should be free in a hotel of this calibre. C'mon. It's free in every cafe down the street. Evolve with the times and offer free internet - it's not 1998 anymore.	
Jun 10 2009	What a Hospitality	I spend only three days of that hotel. But it seems like three minutes. I stayed lots of hotel around the world. But in my view The Trafalgar hotel is the best to stay with family and friends. Hotel is not big in size but service is briliant. Thier staff gave me the best service. If I have a opportunity, I will stay there again and again. I never forget their hospitality. Wish them best of Luck. Anisuzzaman Khan	
