	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Sep 4 2009 	dont book here	i took my wife for a weekend break to this htoel, big dissapointment.Staff are ignorant, Rooms are averageLeisure suite was not upgraded when the hotel was taken over by Hysperia, not usuable due to condition and filth of changing rooms and spa.Ive stayed in better 3 star hotels	
Sep 3 2009 	Very brief stay but no complaints	I can't give an in-depth review of the hotel as I arrived at 7:00pm in the evening and left the next morning at 9:00 and did not eat at this location. All I can say is that it was clean, the room spacious and the staff at check-in relatively efficient. It's ideally located, being literally minutes away from Victoria Station and with plenty of good bars and places to eat surrounding the area.For an individual who is looking for a short stay on business in the area it was ideal and I'm guessing will suit any similar visitor. Just be careful as a load of the rooms obviously overlook the station so there is some real potential for noise here although I didn't experience this.	
Sep 2 2009 	Ok but I would stay elsewhere next time."	Stayed at Hesperia London Victoria for 5 nights with my 6 year old. I have been to London before and liked the Victoria Station Area. This hotel was OK but nothing special. Good price on Expedia and fairly modern and well appointed rooms were nice. Service at the front desk was poor (expect for the concierge), room service was dismal, and pool was out of commission (not good with a 6 year old in tow). Overall, this is an OK spot, particiularly if you are going to see Wicked and Billy Elliot (both well worth it!!!!!) or want to walk to Buckingham Palace, or the Westminster Area. But next time I will staying in the theatre district.	
Aug 8 2009 	Great for Billy Elliott 	The location of the Hesperia is good for sightseers and particularly for people going to see &quot;Billy Elliott&quot; or &quot;Wicked&quot;. Victoria Station is a mere 30 metres from the hotel entrance! It is part of the Spanish hotel group and because of that it is a very popular destination for tourists from Spain.The hotel has a range of business facilities and there was evidence that it is a popular place for meetings and conferences. Wi Fi is free but the quality of coverage did not extend to our bedroom, I would suggest that maybe this is something for the hotel to consider improving.I would describe the hotel decor as minimalist and functional.We stayed in a twin room on the 4th floor overlooking the waste compactors on Victoria Station, not the most wonderful of outlooks!The room had a well stocked mini bar, the obligatory tea/coffee/chocolate &amp; mini kettle. An iron and board and hair drier were also in the room. Little touches like a drinks stirrer and bottle opener were thoughtful (and useful) additions! The room has a flat screen LCD TV with a range of terrestrial and satellite channels including a number of European language channels to cater for visiting tourists effectively.The bathroom had an interesting frosted glass door! Decent size with a shower over the bath with plenty of functionality for an aging six footer like me! There was a good range of toiletries that were replenished as used. The only minor gripe with the bathroom is that there was no or a very inefficient air extraction system.The beds were comfortable, the air conditioning efficient if a little on the noisy side and the decor of the room was good, not perfect but good. Some of the rooms have smoking allowed in them. I found this a little surprising. Room cleaning was fantastic!Unfortunately the swimming pool is being refurbished at the moment. It would have been a useful addition! A local health club was being used by residents as well as that was also out of action at the hotel.All of the staff were helpful and courteous in the extreme. There is a small bar area and the hotel has a good and reasonably priced menu available. We took breakfast on both days we stayed and found a very good range of cereals, pastries, juices, cold meats, cheeses, fresh fruit alongside the 'traditional english breakfast'. A range of alternatives such as kippers and poached eggs were available an no additional cost.Check-out is 12 noon and bag storage is well organised. This hotel wouldn't be to everyone's liking - it is a modern, minimalist hotel with a very European feel to it.Some reviewers have mentioned the waste compactors and voice announcements from the station disturbing them. I am astonished at these reviews. Perhaps we were just lucky but we were directly opposite the compactors and they didn't disturb us! ( and no we are not old enough to have become hard of hearing yet either!)We will stay at this hotel the next time we visit London.	
Aug 7 2009 	Unexpectedly Bad!	I had read amazing reviews about the hotel but maybe it has gone down hill lately as I experienced the same awful service as the last reviewer! On arriving at the hotel I was told that they had overbooked. It also happened to other people in front of us, but some guests were being checked in after us, which was odd if they were full! I received a deal on lastminute.com so maybe it's true that they only actually deal with those paying full rate. Really rude receptionist and v patronising manager, as the other person found. The next day we had our taxi re-imbursed to get our car which was parked near the hotel and the lady then was very apologetic but all in all very bad! Also wanted to take advantage of the spa but hotel we were sent to was miles away and had no spa. Wouldn't bother returning as not worth the hassle and stress!	
Aug 5 2009 	Intentionally overbooked and sent us elsewhere. Very Rude	We booked our stay at this hotel months in advance via lastminute.com and got a very good rate. We especially selected the hotel as it was near to the event we were attending and it also claimed to have a fitness centre with a pool. The pool really swung it for us as we wanted to spend some time relaxing in the pool prior to going out.When we arrived at the hotel at about midday (three hours prior to normal check in time) we were told that they were fully booked so we had to go to another hotel. We were very upset as we had discussed with the reception staff that we were going to arrive early so we could enjoy the facilities. The staff didn't care about our plans and said we had to go elsewhere.When questioned, the manager admitted that although the hotel was fully booked, most of the other guests had not yet arrived. Despite this, we still had to leave so they could have their rooms even they had not yet arrived. The manager was rude and kept telling us that we should consider how he was feeling about the situation. Twice I asked him to at least offer us a drink as we had parked at the parking station they recommended which was about a 10 minute walk away and I had carried all of our luggage on a hot day. He did not even provide me with a drink! Eventually we had to leave and he didn't want to tell us where he was sending us and just gave me a card with the postcode of the hotel we had to go to and rushed us out the door into a taxi.The other hotel was OK but not of the same standard as the Hesperia is meant to be. there was no pool and we incurred extra costs because we had to take taxis to and from our event.The location of the hotel is ugly as well as it sits right behind the passport office and Victoria station; busy, dirty and ugly.Do not book to stay in this hotel	
Aug 5 2009 	Very Disappointed	We chose to stay here due to it's location as we had a night out planned with old friends. We confirmed the booking the night before and was told it was all ok. When we arrived we were told that they had overbooked and 6 other couples were also turned away to another hotel. We were supposed to be enjoying the spa but the hotel they sent us to did not have one. Apparantly if you get a good deal on the internet they overbook and turn away those not paying the full rate. Very patronising manager, very unhelpful, very disappointed.	
Jul 22 2009 	Excellent London Hotel	We arrived at the hotel at 11am in the morning, the reception staff checked us in straight away! Excellent. We had an executive room which had a big king size bed, dressing gowns etc. The room was spacious (for London), with every amenity possible. I was on the 3rd floor overlooking Victoria Train Station and slept soundly. Very good hotel and a great rate. Staff where excellent, rooms good quality one tiny problem was that there was no eggs at breakfast as they where so busy, but just a small thing. Would stay here again as its also very well connected, lovely staff and good rooms.	
Jul 16 2009 	Nice hotel shame about the waste compactor	This hotel is very nice but if you want to sleep ask for a room not at the front. Stayed for two nights and each night at about midnight the waste compactor in the station across the road started work. Not much sleep to be had!	
Jul 12 2009 	Location is the best great hotel	For a first time vistor to London, this location was excellent. We took the Gatwick Express Train from the Gatwick Airport to Victoria Station and from one of the station's exits all we simply did was cross the street and there was the hotel! Extremely convenient even with our luggage! At check in the agent was very pleasant and helpful, and actually thru out our 5 night stay every staff member we encountered was great. The conceirge there gladly helped us with booking the hop on hop off tour and show tickets, however there was a mix up on getting us a taxi at 4AM so I would suggest if you did need a taxi throughout your stay , simply cross the street to the Victoria Station where taxis were always readily available at all times.Within walking distance of the hotel was Buckingham Palace, several souvineer shops [we went up and down the street comparing prices!] , great selection of restaurants, also several bus stops which was such a plus since we rode the bus often throughout our stay. Housekeeping never bothered us ,which is something I always pay attention to in hotels, and always had the bed made and our small items organized. The room service we ordered on the first night was pretty bad so I don't recommend it, although it was fairly inexpensive. The bathroom was spacious with large sink area, and shower tub combination, just watch your step when getting out the the tub! Overall fantastic stay, the hotel property and room were both clean and comfortable aqnd with this hotels prime location, it made our first trip to London much less stressful and much more enjoyable.	
Jul 8 2009 	Reception staff could be better	Having stayed at this hotel before a bout 2 years ago I had a fair idea what to expect, although the staff then were a bit more friendlyI was given an excutive room as I have my 11year old son with me and was the only room (other than the suite) that could fit us all, the room itself was nice, slippers, bathrobe, all the usual bits you would expect of a 4* hotel. I seemed to have had a slightly dodgy bath tap (it was turned to the left and not downwards) but as it was only 1 day it didnt really bother me. the breakfast staff were nice with a nice selection of food. The main downside for me was the recetion staff, not only were they not particularly welcoming, or friendly they seemed to do nothing but stare at me and my family whenever we came in and out, Ok to be fair we were dressed to the nines as we were attending a wedding around the corner, but come on, surely they must have seen people dressed up before?!!? The other guests i could understand, but it really was annoying when the recetion staff did it as they all stopped what they were doing and just stared, and really giving me the once over, in some respects we should be flattered, but it did make me feel uncomfortable.Not sure I would stay here again as the room we were in also overlooked the train station, now on this particular occasion it was fine as we were out till 11pm and i didnt hear anything when we got back but when we checked in and put our things down it was quite noisy, so would hate to be there if i was trying to work or catch up on some sleep after a long flight	
Jun 25 2009 	Great location	The best thing about this hotel is location. It is located just behind Victoria Station and great for sightseeing. Our double room wasn't so big, but it was clean and the bed was quite comfortable. Overall, we had a nice stay at this hotel. If you are a vegeterian, like us, you might find dinners average and quite pricey; but this shouldn't be a problem as there are lots of quality restaurants around. On the other hand, breakfast buffet was lovely and room service was good too. The staff were professional and we had no problems. If you are in London for some shopping and sightseeing, then this is the right hotel for you. However if you are looking for a luxury hotel experience, you might be disappointed, because the best word to describe Hesperia London would be &quot;average&quot;.	
Jun 23 2009 	Rude and very unhelpful staff - not worth the rate	I made my reservation through Lastminute.com and got a better rate than was advertised via the hotels website. My Husband and I turned up at 1.30 pm and there was a long line of people waiting to check in, the people in front of us were given there keys and made there way up to their rooms however when we tried to check in we were informed that they couldn't see our booking on the system and would have to ring there reservations dept. The abrupt lady with dark curly hair and glasses who was serving us said she wouldn't call until 2.00pm as this was the official check in time, when I pointed out that others were given there room keys and she basically said it was tough and refused to help. When we returned 30mins later we were finally given the keys to our room. We might of felt differently if they would offered us a complimentary coffee while we waited.The room was shabby, there were dirty stains on the ceiling tiles and the furniture was chipped and badly worn. We were also woken at 8am, and 10am by the cleaning staff banging on the door trying to get in and clean our the room. Overall this is one of the worst experiences I have had at a London hotel and would not recommend this to my enemy!	
Jun 11 2009 	can't beat the location	At first I was concerned about the location - directly across the street from bustling Victoria Station, however it turned out to be this hotel's biggest asset - incredibly convenient. Victoria Station is not only a railroad station but also a major underground tube stop. (It is walking distance to Westminster Abbey and Chelsea.) The concierge was very helpful and the desk staff were friendly and able. The cleaning staff was excellent. We are travelling with our 15 year old son who is 6 feet tall. They brought in an extra bed for him which doesn't handle anyone taller than that - so keep that in mind if you have tall people who might be sleeping in that extra bed. The bathroom was modern, clean and stocked with lots of towels. The internet service was spotty during our week's stay but we were able to take care of business in the end. This hotel seems to cater to business travelers so we appreciated the numerous plugs for our electronic equipment (computers, chargers, etc). There is a bar and a restaurant on the premises although we never ate there.As you probably know, London is quite expensive. We found nice and affordable (NOT cheap, however) restaurants that we all enjoyed in the neighborhood. Among our favorites were Giraffe (&quot;California style&quot; food and a full bar around the corner from the hotel on Wilton Road) and Cyprus Mangal (middle eastern food), also a few blocks from the hotel. A food store - Sainsbury's - is down the street. And there are many coffee shops in the area.We had a bit of a walk to a laundromat (the term is 'lauderette' in England) but just used our carry-on luggage to haul the laundry back and forth. I thought it was quite expensive, by the way - 3 pounds for a normal wash load, 1 pound for the detergent and 1.5 pounds to dry the load. It was in the Pimlico area.Regarding the noise: the front of the hotel is immediately opposite of the Victoria train lines and the recycling area for the station. I would recommend staying in a higher floor and request a room in the back of the hotel. We were on the 7th floor and facing the front. We sleep with the fan on so we had NO problem with noise even though we were facing the station. Overall we recommend this hotel if you don't mind a business ambiance. It is very convenient in a good neighborhood.	
May 31 2009 	Superb friendly staff and excellent accomodation	This hotel was chosen because of its proximity to 'Wicked' and 'Billy Elliot.' This meant a safe and easy stroll from theatre venue to hotel. Upon arrival at the hotel the staff were super friendly and were genuinely welcoming. The rooms were spacious and very clean. Air conditioning was essential on a hot day in May and this was efficient and quiet.The proximity of tube and station opposite facilitates easy access to the whole of London is a hastle free weekend.I was worried about the comments about noise, but have no idea why this complaint was made. The PA system can not be heard during the evening from the station opposite and during the day its barely audible. This was really unfair.	
May 26 2009 	Value for money	stayed 4 nights, great location as beside Vic station. Also pleasant 5 -10min walk to Buckingham Palace &amp; St James Park , could stroll to major sights. Hotel v pleasant, v clean and not at all noisey. Staff friendly &amp; helpful. Great breakfast, great variety fresh fruits as well as usual trad breakfast. would stay again.	
May 25 2009 	Excellent location comfortable stay	Flew into Gatwick airport so was looking for a convenient location to Victoria Station and couldn't have chosen better - the hotel is located across the road from the exit at platform 1. Check-in was reasonably quick. Requested a quiet room and certainly got one - absolutely no noise from inside or outside the hotel. Very comfortable beds. Nice bathroom with ladies only toiletries as we were in a &quot;pink room&quot; specifically for female travellers. Didn't eat at the hotel or use any of the business or leisure facilities so cannot comment.Only minor complaint was at midday checkout on a Sunday there was only one person at reception - avoidable queues.One excellent restaurant nearby is La Poule Au Pot on Ebury street - cosy French restaurant, great food and friendly staffCertainly recommend this hotel and would return if using Gatwick airport.	
May 13 2009 	Very very very noisy	This hotel was selected and pre-paid by my client so I had no choice but to stay here. An entire half of the hotel overlooks Victoria Station! You can hear every announcement over the loud speaker - I am confused as to how no other reviewer mentioned it. Truly atrocious. I asked for a quiet room on the other side of the hotel and this new room is right next to the service elevator with a strange buzzing giant bumble bee sound whenever anyone calls for the elevator - the walls are paper thin. Luckily, I bring sleeping pills when I travel - tonight will be a true test of their potency. I do expect some noise in a busting city but this is over the top. The staff is pleasant and aims to please. The room is freshly decorated and spacious. Breakfast was OK.	
May 12 2009 	very good hotel	The Hesperia London is a beautiful hotel, modern, clean, with spacious rooms and friendly service. The room looked even better than in the website picture, and you know that's quite unusual..The location is very good, just beside Victoria Station, the breakfast served is good. The only downside in my stay was the WIFI, which was not working. I was really satisfied with my stay and will certainly come back and would recommend it. PSA few months ago, I've spent two nights at the Grosvenor Hotel, which is practically in the same location and costs the same price, or maybe more. I ended my review saying that &quot;you probably can get better places at better prices&quot;.. It turned out that I was right.	
Apr 29 2009 	We had to go to Gatwick early so...	...we chose this hotel, to be near Victoria station. In fact, it's a five minute walk from the hotel entrance to the Gatwick express. The staff were very polite, and the room clean and with a view of Victoria station. We couldn't write more, it was just a nice hotel hotel we stayed at for a night. Though, the price was the same with most London hotels (100 euros), as with the much better Millenium in Gloucester, where we had stayed some nights ago.Aris and Alkisti, Athens, Greece	
Apr 29 2009 	Great Location Great Hotel	Booked the room for the London Marathon as it was relatively close to the finish. The staff couldn't have been more helpful, I didn't mind being upsold an upgrade to a superior room, as it was done very well and in fact only cost an extra £10 a night and allowed us to check in at 9.30am. Room was very good and despite having a kingsize bed in wasn't the usual cramped London box. It was very clean and well decorated and I gather that they had recently been refurbished. Equally the corridors and the rest of the hotel were clean and tidy. Couple of points; the water pressure in the shower wasn't that good and the TV stations had been jumbled around which was annoying. I didn't use the breakfast facilities, £30 for 2 I thought it was a tad expensive for a fry up although it was a buffet style. But the bar was pleasant enough. Although not there for the sightseeing it was close (walking distance) to the relevant sites and of course right opposite Victoria Train Station. I didn't use the spa or gym. Would most definitely stay there again, a very affordable bit of 4 Star luxury.	
Apr 22 2009 	Convenient location but not a good value.	The hotel is located just behind the tube/train station at Victora Station. Upon arrival, the bar/restaurant was quite busy with a number of business meetings taking place. Later in our stay we did try the bar and were unimpressed with the reheated appetizers we were presented.We checked in to find an adequate room, much less than I was expecting for the cost. We attempted to use the pool to discover its closed on Fridays, however did try it the next day. The small indoor pool and jacuzzi was set next to the fitness center, which had 3-4 machines. The jacuzzi was luke warm and the showers were cold. We complained and went to our room to shower, only to discover that the water heating issue was affecting the whole hotel. After complaining a second time we were told that the hot water would be available in an hour. Instead of waiting, we checked out and will not return.	
Apr 14 2009 	Convenient Location	The Hotel is very well positioned next to Victoria Station. I followed the directions on the Hotel website and had no problems. There are a couple of steps to go down to the sunken reception which are a bit annoying when carrying luggage. The room was a normal size and I was facing the front which gave an unpleasant view of a recycling, rubbish sorting area. There was a small amount of noise from trucks coming to collect the rubbish and also from the PA system in the train station, but it was infrequent and not too bad. The Hotel seems to be part of a Spainish chain and had Sky TV in order to get some european channels, and had less local channels. It looked like they had BBC1, ITV1 and channel 4. The Adult channel seemed to switch over at night to start showing a montage of scenes from different adult movies as a form was advertising itself. This may offend many people who come in late, start clicking through the channels and wonder what on earth is going on. As additional information, there are 2 West End theatres very close by, lots of food places and a Marks and Spencers store on Bressenden Place across the other side of the Station. Bressenden Place is also a collection point for a budget tour group called Tracks Travel and the Hotel reception had really good brochures for many other tours. There is a local bus called C1 that goes from near the station to Sloan Street close to Harrods. The swimming pool was closed for renovations while I was there.	
Mar 8 2009 	My 18th couldn't have felt any more luxurious!	On the 6th floor. Window overlooked the Victoria overground station, didn't hear a thing. Windows kept the sound out. Black out curtains, great for catching up on sleep during the day! breakfast - incredibly fast service every morning, some things were missing but the waitresses and waiters couldn't wait to help. Rooms in an incredibly clean condition, great comfy bed, sheets and towels changed daily even though we did not ask for that specifically. Entrance to the tube and outdoor station literally just outside the hotel door, Victoria Line is a direct link to Kings Cross and Oxford Street. Close to Billy Elliot and Wicked. Lack of pubs and clubs at night; possibly more to do with our inability to find them if they exist. One thing that I was unhappy with involved the charge for extras before you've even used them. My mother booked two double rooms and per room per night, £40 was charged to her credit card before we even had a say. Why not just fit locks on the mini-bar and charge a deposit for the key? We did not even touch the mini-bar but now have to wait for the refund of £160 to be credited to the credit card. After getting home around 5 hours ago i'm only upset that i'm not still in London! Room service food not too expensive.	
Feb 19 2009 	Great Location beside Victoria Station	My boyfriend had booked this hotel for Valentine's weekend. We arrived at the hotel at about 11pm and were very happy to start off with as it is right beside Victoria train station so it was a 2 min walk after leaving the station having taken the Gatwick express.When we arrived up in the room we were a bit disappointed that the bathrobes that were supposed to be there (my boyfriend had booked a &quot;pink&quot; room which is supposed to include bathrobes and toiletries) were not. When we called reception they just said that they would sort it out the following day. In fairness I probably wouldn't have used it that night anyway but it was more the fact that it was supposed to be there that irritated me.The double bed was very comfortable and the room was clean. The bathroom was quite basic but adequate. I was a bit disappointed that a hotel that claims to be 4 star had 2 showergel/shampoo dispensers (yes, a combined one!) attached to the wall as opposed to separate bottles and to add insult to injury they were completely empty and we had to ask for replacements!.Our room faced out over the train station but we had no problems sleeping although in the morning you could hear that they were making announcements but we couldn't make out what they were saying.The breakfast buffet was excellent and cost £12 +tax but they didn't mention the fact that tax was extra and we only saw that on our bill... a small thing but in fairness tax is usually included in the price in the UK!I thought that staff at reception were fairly efficient about check in and check out.We had no problem leaving our bags in the hotel the day we checked out and collected them in the evening as we had an evening flight back.Overall I would probably recommend this hotel purely on the grounds of its location but was a bit disappointed that it was 3star quality after having expected 4star.	
Feb 18 2009 	nothing special but good location	As advertised looked like new and stylish... nothing like that. Double room small, very hot whith no termostat to regulate the temperature, old bathroom with nothing working properly. Breakfast very average, nothing special. Staff professional, location perfect. Defenitely not good for couples maybe ok for business. Lesson: not trust the pics of the websites.	
Feb 18 2009 	very disappointed	We booked this hotel for our valentines weekend and were extremely disappointed with it. It was our first time in London and the attractions were great but this hotel was appalling.On arrival reception said we had to pay an additional £50 deposit which would be refunded if we didn't use anything in the room but we didn't so the money was refunded. However, they said for breakfast there was a fee yet we had already paid this with a booking agent so we had a dispute over that. They did not look into this and I had to keep chasing for them to do so.The room overlooked the station works which wasn't a great view. The room was very compact. When checking out our invoice stated that it was a double room yet we had ordered a king size room. The air con didn't work. I felt that someone had been in the room when we had gone out in the day - possibly the cleaner but one of the drawers was left open so I didn't feel safe that night.The Reception stated that the pool and sauna was open until 6pm on weekends yet their internet site didn't state that. Their internet site said that after a sightseeing trip day relax in their pool etc. afterwards so if you plan on doing this you need to be back at the hotel before 6.Very disappointed and would never stay here again.	
Jan 15 2009 	Great location	We stayed at this hotel 4 days. We first booked at Victoria Park Plaza, but they canceled our reservation because a group of 30 people came!! They then booked us at Hesperia, and thank god for that. The staff was great; the woman at the reception gave us a room straight away (it was about 9 am when we got there). The room she gave us was great! It was on the 7th floor, with a great view. The bed was soooo comfortable, and it was perfect after long days of walking around in London. The location was perhaps the most perfect thing with this hotel. We were of walking distance to victoria station (took us about a 2 min walk to the train and bus station!!!) Attractions like Big Ben and Buckingham palace were a 15 min walk away :) The breakfast buffet was also great. Especially the ton on fruit :) The only thing was that some of the staff (especially some of the receptionists) didn't talk english very well. But overall, would stay there again every time! :)	
Jan 1 2009	Excellent service	Really enjoyed our stay. Food was excellent , especially the pre theatre dinner which was very good quality , plenty of choice and good value. The staff could not have been more helpful throughout our stay.	
Nov 22 2008 	Okay	I stayed here for business in 2006. The room was very plain and simple.......a modern take on empty I think. The hotel was clean and food was of a good standard, though I only tried the breakfast. The facilities were good. My only problem was there was significant work happening at Victoria station and this made it difficult to sleep. Also MacDonalds unloading thier lorries at 4am was also a disturbance. Apart formthat a good stay.	
