	Will always check here first when staying in London	This was our second stay at the London Elizabeth and we will definitely look into staying again. There is no denying that it is tired and shabby in places but it is only chips and cracks. It is clean and comfortable and has such character. Our first room was quite small but we must have been happy with it as we booked again for our next London trip and our room this last weekend was spacious with two armchairs, fireplace, desk and wardrobe. There was street noise this time but it didn't really bother us. The room was too warm for me but most hotels are (there was air conditioning but we didn't turn it on). There are no tea or coffee facilities so we took our own travel kettle etc, there is no fridge but we found a ledge outside the window to put the milk on. The location is brilliant, (google it, it has street view), bus stop outside, seconds away from Lancaster Gate tube and minutes walk from Kensington Gardens, few more minutes from Hyde Park. We (in our mid fifties) easily walked to and back from the Royal Albert Hall (takes about fifteen - twenty minutes). All staff we met were friendly, check in staff were brilliant and very helpful. There is a lovely pub just around the corner called The Swan. Breakfast comes with the room and on this occasion the bread rolls were stale, but you do have cereals, tinned fruit, yoghurt and fresh blueberry muffins. There were croissants, pastries and some brioche but we didn't have those so can’t comment on the freshness of them. I should add that the breakfast last time (end June) was much better. Both times though, for two of us, with breakfast it didn't cost £80 for everything and at that price (in London) it is a bargain. If you can afford to pay more, maybe you should do so, but if on a budget, I would definitely try this.	
Aug 1 2009 	We loved it.....	Our party of two adults and 2 children stayed at the London Elizabeth for 4 nights. We had reserved a family room and were shown to a very cramped, hot room on the 4th floor that smelled strongly of bug spray. The lift was broken (a condition which continued for 2 days), it was VERY hot in London at that time, and the room had no air conditioning. However upon complaining, the staff couldn't have been nicer. They let us have our choice of family rooms on either the 3rd or 2nd floor; we picked the 3rd because it had more room. Four twin beds with room to walk in between, and an ample bathroom with plenty of hot water. However, the room still was very hot. Not to worry! We were supplied with a portable air conditioner, which cooled things off nicely. The hotel is very charming, rather shabby-chic, and distinctly reminiscent of Fawlty Towers. I half expected John Cleese to come tripping into the reception room at any moment. Thankfully, Sybill was nowhere in sight! We were treated superbly for our entire stay; the desk manager even arranged to have a light breakfast ready for us in the cozy lounge at 4:30 a.m., so that we could have something to eat before our early tunnel train to Paris! And to be honest, none of us minded trudging up the beautiful Victorian staircases for a couple of days until the lift was operational. In fact, the children loved it. (And the rest of us benefited from the exercise.)We have very fond memories of our stay at the London Elizabeth. The location couldn't have been better (tube station literally across the street; bus stop a the front door; wonderful pub food around the corner at The Swan; sundries next door to that.) Delightful!	
Jul 31 2009 	Convenient homely hotel	We booked the “family fun weekend” for us (Mom, Dad) and our two teenage daughters aged 18 and 13. This package included two nights accommodation, tickets to Madam Taussads ( there were other options), champagne cocktails prior to a dinner in the hotel’s restaurant, the Rose Garden, daily newspaper, daily continental breakfast. I had asked the hotel to book tickets for Grease and these were given to us on our arrival at the hotel. Our family room was much more spacious than expected, four single beds were arranged with room to spare, there was a small table with two chairs in one corner and another chair at the dressing table. The bathroom sufficed and warm water was plentiful. The restaurant staff seemed surprised at our arrival and unsure about what we were allowed to order from the menu, the waitress went to check with reception, but was then welcoming. Our waitress struggled with English and although we ordered different soups, we were all served the same. Hiccups like this occurred throughout the meal, one daughter was looking forward to her dessert so was disappointed with what arrived. We realised afterwards that we had waited more than an hour for the first course to arrive, but we were having a good time and weren’t in a rush so the wait didn’t phase us, I think we were the only restaurant patrons that night. The hotel is conveniently located, across the road from Hyde Park/ Kensington Gardens and the Lancaster Gate tube station with a bus stop outside the front door. Traffic noise was very audible from our room on the second floor. Continental breakfasts were adequate, we were only offered toast at the end of our first breakfast. Our request for our Madame Taussads tickets was initially greeted with surprise. Clearly the voucher wasn’t ready and waiting, it took a while to organise, but the staff were very apologetic. The hotel did have a Fawlty Tower feel to it, but the staff were very helpful and good natured. My husband suggested we have dinner at the hotel restaurant again prior to seeing Grease, but given our previous experience, the rest of us declined as we were worried we would miss the show. I wouldn’t choose this hotel for an extended stay, but the two nights were good fun. Wi-fi is free and worked well. The lift is very small and took several trips to transport all our luggage, fortunately the staircase is very gracious and wide.	
Jul 5 2009 	great staff and service	Very kind and helpfull staff, yes the hotel needs some updating but rooms very clean air con great and bathroom was great plenty of hot water , brekfast very good, reception staff very helpfull especialy marcella, will recomend to all friends, good location for tube access we will go back again.	
Jul 2 2009 	probabely better than some 5* hotels	we read the reviews before we booked up this little gem of a hotel.yes, i agree that it could do with a little t.l.c., but it more than makes up for this with superb service, clean rooms, &amp; great value for money.would we stay there again, of cause we would, &amp; we we would tell our friends to book up straight away!!!	
Jun 19 2009 	Too many roses!	Just returned from London having stayed three nights at the London Elizabeth Hotel with family.As everyone else has said, the Hotel is situated in a great location, facing Hyde Park, a few minutes from Tube, pub round the corner and a shop round the corner also. Bus stop out the front of the Hotel.The staff were lovely, especially the girls serving breakfast and the desk staff were very helpful also.This doesnt make up for the shabby, rundown and depressing look of the Hotel however. It really was miserable. The reception area is gloomy and the smell of roses hits you as soon as you walk in. A bit too much and sickening after a while. The furniture in the reception area is very tatty and very dirty looking. The dining room is again an abundance of everything floral from the walls to the table linen.The breakfast is very good with very good service. The cooked breakfast is excellent.I ordered room service once - coffee for one and got a full pot and a slice of cake. All for just over 2 pound. Excellent.The beds are comfortable enough and very clean, as is the bathroom, but the overall appearance of the carpets, furniture etc. is really tired and the hotel could do with a complete refurb. It had the feeling of fustiness and was quite gloomy - especially in the so called rose garden. It is nothing more than a few tables and a path with a border of wait for it more roses. We sat out there a couple of times with a drink and enjoyed the view of the car park and the back of some unslightly flats. I was really disappointed, as I was looking forward to the garden.Back to the rooms, my husband and son shared a twin room on the fourth floor and didnt get more than a few hours sleep each night. The room was like a sauna. No fresh air, the ceiling fan didnt work, the floor actually sloped and so did the beds.I shared a room with my daughter on the first floor with double doors to a balcony which had a table and chairs. Lovely I hear you saying - no. The noise of traffic all day and night was horrendous.Overall the hotel was a bit fawlty towers, but the breakfast was great and the staff were friendly and helpful.Wouldn't stay here however.	
Jun 16 2009 	1st Class Hotel exceptional staff	Well what can I say the staff here are exceptional, from booking I spoke to Anna who was most helpful and polite, she booked our room and our car parking space (that is 1st class as well not much car parking in LONDON!!!) I explained I was competing in a marathon and she said she would see if we could be upgraded on arrival. Wow we were upgraded to the Elizabeth Suite, a four poster bed in a very old world room it was magnificant. Again on booking in the staff went out of their way to help us. Breakfast was superb, we actually paid extra for a full English, although there was no need, fresh fruit, fresh bread and bakes, fruit juice, cereal. The full English was superb though and very much needed after a marathon. Again staff went out of their way. I would most highly recommend this hotel and will most certainly be going back next year. A family run hotel and it shows!!!	
Jun 15 2009 	Great location and great personal service but rooms and equipment is very old.	We spend with my wife 4 days in London. Check in and all service through our stay was great. The room was small, but for two enough, the furniture and equipment was very old. Also the smell of the hotel was typical &quot;old&quot;. The breakfast was for me terrible, there was only some sweet pastry, yoghurt, cereals, fruit and hard boiled eggs. We had also a dinner there, and it wasn't realy good. On the other side, the location is realy great. Few steps from tube, and bus station next to the door of hotel, and across the street is Hyde park. The price of the hotel is also very good. So in fact, we would for next time look for another accomodation, but for the people, who like this style I would recommend it.	
May 31 2009 	Found a gem of a hotel in London -great location service comfortable rooms/beds- my favorite so far!	I have been to London four times and stayed in some very nice hotels. But the best by far was my stay at the London Elizabeth Hotel in Bayswater-looking out on Hyde Park. It is right by the Lancaster Gate tube station so very convenient and in a nice neighborhood. A small local 7-11 grocery type place is nearby to purchase essentials like water. This hotel has a lovely Rose Garden restaurant where breakfast is served each morning with great coffee. My sister and I received excellent service from everyone in the hotel. We had a two week trip around England and this was our favorite place. The hotel seems right out of an Agatha Christie novel- a lobby with cushy chairs and always a fire going. We asked for hot water for our own tea and they brought up a lovely tray with biscuits etc. I would recommend this to my best friend!! I found it on the internet and hit the jackpot. There were many British people staying there so I gathered it was word of mouth. Plus free wifi in room!!!	
May 18 2009 	Great location great people TINY rooms!!	We stayed here in mid-April through the end of the April and it was a very, very tight fit for two people (actually, even 1 person). There isn't any air conditioning in the room, so you are subject to the wind blowing a breeze through your window. This is ok if you do not plan on spending much time in your room except for showering and sleeping. It was smaller than a cruise ship inside bedroom.On the other hand, the staff was amazing and the breakfast was pretty good. Lots of carbs and sugary items. We ended up doing McDonalds to get some 'real' food. I wouldn't stay here again because of how tiny the rooms and elevator are as other places for the same money are very near by and after talking to other tourists, had bigger rooms.	
May 13 2009 	Much more than we expected	We chose the London Elizabeth because it was the only place we could find near the central city that allowed four adult family members in one room (four twin beds). We were willing to put up with almost anything to avoid the expense of a second room. We were delighted, therefore, to find that, in addition to meeting this criteria, the hotel is a nice place to stay. As other reviewers have pointed out, the London Elizabeth is somewhat worn around the edges; however, for our money, this was not an issue. During our ten days there, the staff cheerfully bent over backwards to be helpful, without exception. The free continental breakfast is substantial. Lunch and dinner are reasonably priced and very good. Location is across the street from a Tube (subway) station and beautiful Hyde Park. There's free internet access on the computer near the lobby. The hair dryer works well.Staying at the London Elizabeth contributed a lot towards our enjoyment of the city.We were comfortable, but if one were to stay there during summer months, one might consider an air conditioned room.Miscellaneous: Don't spend big bucks on an international electrical adapter, as we did (and blew out an electrical outlet when we tried it!). Go to a Boots store after you arrive in London and ask for a cheap adapter. Boots stores are everywhere.We bought a London Pass with Travel Card. We used the pass for a few tourist sights, but it didn't pay for itself because we spent most of our time in the national art galleries and museums, which are free. We did use the travel card, though. A better option would have been the Oyster Travelcard. Both the Oyster Card and the London Pass Travel Card give unbeatable, convenient, line-free access to all public transportation in London.	
May 11 2009 	Pleasantly surprised with location service and budget	Had to find a hotel in London for a couple of days business at short notice, and was pleasantly surprised when i arrived at the London Elizabeth. The location is great, a short distance to Oxford Street / Mayfair, and the service is excellent. The hotel itself is a pair of historic converted townhouses, and is a little worn and tired but that is part of its charm. Although there is no fitness centre, there is free internet access, excellent staff and good breakfast service all included in the price. You wont get much better value in central London.	
Apr 17 2009 	Great visit	These reviews are spot on. While the furnishings are in major need of renewal (ex. worn chair beading and water stained wood backsplash), the staff was outstanding, our deluxe room on the first floor was clean, pleasant, and comfortable, and the location across from Hyde Park and the Lancaster Gate tube entrance was great. Additionally, the continental breakfast and dining room were convenient, pleasant, and substantial. I also found the rates fairly reasonable given the above positive features. As long as you understand the hotel is somewhat worn and adjust your expectations accordingly, you'll have an excellent stay.	
Apr 13 2009 	Poor not worth the money	This hotel has friendly staff but is in need of some serious maintenance (paint job, carpets, furnishing, cleaning). I booked a deluxe room for my parents for their anniversary, but I was shocked when I saw the photos of the room. Considering the amount I paid this is NOT worth the money. I wonder what a standard room looks like! Even more shocking is that the hotel does not recognize the situation; it just needs a 'touch-up' is their point of view. A full-blown renovation is probably more accurate.	
Mar 9 2009 	Smashing hotel	This hotel we came across by chance, and it was a great place to stay in. Its handy for anywhere in London, as there is a tube station across the road. If you want to walk, Oxford street shops are only about 10 mins away. The staff are friendly, and very very helpfull. The hotel itself is what you would describe as old-worldy, but saying that, its far nicer than it appears in the photos. It has the feel of a family run hotel, and they go out there way to make you feel comfortable and enjoy your stay with them. If you want 5 star treatment, you should check into the 5 star hotel across the street, but youl not get the service or hospitality that this little hotel delivers. All in all, fantastic, great location, friendly staff, great food in the restaurant, and great rates too! If we ever go back to London, this is the hotel we will be staying at.	
Mar 8 2009 	Location 	As mentioned previously, the location of this hotel is second to none, 2-3 mins from the central line station at Lancaster Gate. As always, the staff throughout are very helpful and provide an excellent service. The hotel is looking tired with both the public rooms and the bedroom (449) needing some work. Due to us having a family room, we always get the rooms at the front of the hotel which are a little noisy, so if just a twin or double room is needed then remember to ask for a room at the rear. But as a base to see the city this hotel has all you need. This is our 4th visit to the London Elizabeth and we would recommend it as a no frills, value for money, room for a few nights.	
Feb 26 2009 	Nice old world charm	Staff helpful , room OK, clean &amp; comfortable. TV did not work too well though. Great location. I would use again, although agree about the lift..	
Feb 23 2009 	Excellent all round	Just come back from a 2 night half-term stay with my 12 year old son. Excellent location, 2 mins from Lancaster Gate Tube Station (Central Line), also a bus stop right outside the hotel. The hotel itself is quite dated but excellent for a nights sleep, our twin room was big enough, it had a hairdryer, trouser press, TV and ceiling fan, which was useful as we found the room really warm. Staff were very friendly and helpful, full english breakfast was excellent - endless cups of coffee if needed. Also a continential breakfast consisting of fruit, yoghurt, cereal, breads and croissants was available - It was quiet when we ate at around 8:00am, would imagine it gets busy around 9:00am. Elevator is really really small - do not go in it if you are claustrophobic. We ate in the Hotel on the first night - it was good and reasonably priced. Small shop round the corner (expensive though). Overall an excellent hotel to stay in and would recommend, especiall for its location for the tube - 1 tube stop along is Marble Arch where there is a McDonalds, KFC and endless places to eat and the start of Oxford Street.My son loved it so much he now wants to live there :-)	
Feb 22 2009 	Great central location value for money friendly staff	When we arrived the receptionist was friendly, helpful and curtious. The room was on the ground floor with four single beds, two of the beds were put me ups for our children ages 9 and 10 years. We all had comfortable nights sleep. The rooms are not modern but have all the amenities you need for a short break - hair dryer, trouser press, safe, no tea &amp; coffee facilities but room service appeared to be inexpensive. Continental breakfast included in the price and for an extra £4.00 you could have a cooked breakfast. The continental breakfast was fine and the staff were attentive and gave many refilles of coffee. They did lots of meal deals but we tended to eat out.The location was fantastic two mintues walk from Lancaster Gate tube and over the road from Hyde park. Our Children loved both the Princesses Diana memorials - the water feature and the pirate ship playground in Hyde park.They also offer free internet access, which was useful as we could checkin online for our return journey to Manchester airport. Although they had parking - £10 per day.	
Feb 3 2009 	Would Definitely Stay Here Again	My wife and I are annual visitors to London, We've stayed in many hotels in the Bayswater area and consider the Elizabeth our favorite. Our room was always clean as was the bathroom. We found the staff to be helpful and friendly. And we look forward to more stays at this property.Some posters have complained about the elevator. Yes, it is small. Do you want them to tear out the center of the hotel and spend a million dollars to replace it or would you rather live with this minor inconvenience?The small elevator and the complaints about the small breakfast area are inconsequential when you consider you are getting such a nice hotel in a fabulous location .	
Feb 3 2009 	Don't go!	The hotel is definitely overpriced for the miserable conditions it offers. The key words are small and tired! The elevator is so small it hardly fits 2 people at a time. The breakfast room cannot accommodate all guests so if you get up at a normal hour you had to wait. The breakfast selection is very limited, with stale breads and no fresh fruit. Basically cereal, toast and coffee. They had some sort of compote which was not edible. If you ask for tea they bring you only one pot. A lady next to us asked for a second pot and after an argument they brought it to her. Her partner came down later and also wanted some tea, the waiter said that he will drink whatever was left of the 2nd pot he has brought. How rude is that?!? The rooms are small, the carpet is stained and the bedspread was once white but now with indefinite color. The service is terrible, especially at breakfast, the personnel hardly spoke any English and it was frustrating at times.The good thing is the location next to a tube station. However, there are lots of hotels next to a tube station.My advice is not to go, you will be disapponted.	
Jan 22 2009 	Unbeatable Location!	The best thing about this hotel is its central location. There's a bus stop right outside the door and the Lancaster Gate Tube station across the road. We were disappointed that on arrival after a long journey, we were told that the hotel did not have our reservation and we were kept waiting while the receptionist confirmed with the booking agent. It was a good thing I had printed out my confirmation voucher. The rooms are quaint and beautifully decorated. Our room (116) had a split level to the bathroom (photo featured on website) but, unfortunately, apart from overlooking the fire escape, it also had two very large air conditioning units right outside the window and these came on with a few loud bangs at around 1.00 a.m. every night for the 3 nights we stayed there. It's also a pity that for the price, which is not cheap, there is no mini bar/fridge in the rooms, let alone tea/coffee making facilities. We went out to the theatre every evening and often returned after midnight - a nice, warming cuppa would have been very welcome. Breakfast was adequate and the staff quite friendly. On the whole, I would still recommend this hotel.	
Jan 21 2009 	Great deal great location great hotel	Location, Location, Location - across the road from hyde park and a central line station lancaster gate (and with the excellent underground system can get anywhere from there) and walking distance to paddington for the heathrow express. Stayed there at the start of the trip and went back there a month later for the end of my trip. Got a good deal on their website (3 nights for the price of 2 winter special) - about 65 pound a night for a twin room and included newspaper and a great breakfast: Continental breakfast AND english breakfast made to order - choice of eggs, mushrooms, sausage, bacon, baked beans, tomato. Most of the time didnt eat much of a lunch as had eaten such a good breakfast . Also had a similar great price on wotif.com and london elizabeth have been on several times when i have checked this site - worth a look as it also included full continental and english breakfast for 65 pound a night (and according to the prices listed in reception at the hotel twin usually 160) The room was clean and comfortable and had all that was needed and while not large was definitely not too small. They also had a computer available to use with free internet. The staff were great and very helpfull.	
Jan 7 2009 	Charming hotel	The London Elizabeth is a quiet, small hotel in a residential area away from the madness of central London. Our double and twin rooms were spacious and nicely decorated. This is not a fancy hotel with a menu of amenities. You feel that you are staying in someone's townhouse. The public areas are cozy. The staff is wonderful and very helpful.The continental breakfast in the Rose Garden Restaurant was more than enough to start the day. It is busiest at 9am and you may have to wait for a table. Skip dinner there; the food is just ok. Take the tube to Queensway and eat at Kam Tong or Mr. Fish, the latter on Porchester Rd, or take the tube to Portobello Rd and have fantastic Thai at the Churchill Arms (make a reservation.)The hotel is conveniently located across the street from the Lancaster Gate Tube. There is a bus stop in front of the hotel and it is a five minute walk to Paddington Station and the Heathrow Express.The Day Travel Card is a great value off-peak for the tube and bus. It can be used an unlimited number of times in one day and was a better value than the Oyster Card.	
Dec 30 2008 	Just OK	We stayed at the London Elizabeth for two nights 28 &amp; 29 November 2008 and found the hotel just OK. We were going to a function at the Royal Lancaster hotel (which is just over the road) and not wanting to pay their prices we booked this hotel. It is a 3* hotel and nothing more, our room (445) was small as was the bathroom. The whole hotel needs a facelift, chairs &amp; carpets are threadbare in places. However the staff are very good &amp; helpful. The breakfast room was small and very busy around 9am, we had to wait about 15 minutes in the reception area for a table.One word of warning . . . . the lift is very very small (about the size of a shower cubicle!) and only takes a maximum of three people. The four of us got in one morning and it stuck between floors. We were stuck in there for about 5 minutes before somebody heard our shouting and the alarm bell. 5 minutes is a long time to be stuck in such a tiny crowded space. It was only afterwards that we noticed that it only takes a maximum of three people ! ! !Would we stay at this hotel again . . . . . not by choice, no.	
Dec 14 2008 	Clean good staff and next to the tube	Hotel was opposite the tube, excellent for travelling, across from Hyde Park, excellent for walking. The room (for 3 women!) was clean, large and the beds really comfortable. The staff were very helpful, the breakfast was excellent, freshly made and as much as you could eat. If you want a reasonably priced hotel for a short break in London then you cannot go wrong with this hotel, ok its not 5* luxury but lets pit things into perspective you only sleep there, the rest of the time you are out enjoying the sights. We are 3 professional women who wanted a reasonably priced 2 night break in London to see the shows, this is what we got and were very pleased.	
Dec 1 2008 	Had a wicked time	Stayed at this hotel for the weekend with my daughter to go and see the musical Wicked - we had a wicked time from when we arrived until when we left - we were upgraded to the Janner Suite and it was wonderful - all the hotel staff very very nice and helpful cannot say a bad thing about any of it - great location - great breakfast - great staff - great room fully recommended	
Nov 19 2008 	great staff at london elizabeth	stayed for a four night christmas shopping/sightseeing break and could not fault this hotel,the room was clean and comfortable, the staff where very helpful and friendly and the location great.	
Nov 16 2008 	never again	did not rate this hotel what so ever first impression was do we have to stay here check in was ok lift was like a coffin ended up walking up 3 floors with heavy cases rather than risk it . the lift first impression of room was a very badly painted brown door room was clean but very basic and old breakfast what a laugh im not a greedy person but you were asked what you would 1 like we asked for full cooked breakfast 1 sausage 1 bacon 1 tomato 1tsp mushrooms 1tsp beans. plus side great pub round the corner (opposite hyde park) the swan good food and entertainment . we were on the the road side which was very busy and noisy all day and night	
Nov 12 2008 	Charming little hotel and wonderful staff	This is a wonderful little hotel with a terrific, young, multinational staff who are friendly, kind and helpful. I had a smaller single room with a bathroom and it was very comfortable and scrupulously clean. The decor is very English with silk and velvet upholstery and chintz curtains and flowered carpets, and the bar has dark panneling and leather sofas: it was like being in an English townhouse. Continental breakfast has generous choices and cooked breakfast and other meals were good and reasonably priced. The location is perfect for walking (Hyde Park, Kensington and Oxford Street to Picadilly Circus and Trafalgar Square) and for access to the underground, buses and Paddington Station, which has an express train to Heathrow. This lovely place would unhesitatingly be my first choice on a return trip to London.	
Oct 6 2008 	Happy to go again	The public rooms were cosy and comfortable;the bar ,though small,was never overcrowded;the restaurant was clean and well lit. The staff were excellent,polite but friendly,and very efficient.The bedroom was a bit on the dark side but clean and tidy as was the bathroom.If I had a complaint it was the traffic noise outside,but it is in London after all.I am happy to give it a second chance(if the price is right!)	
Aug 28 2008	A Very Comfortable Accommodation	In our two-week stay at this hotel (10th to 23rd August, 2008), my wife and I felt very much at home. What, with the very fantastic, friendly, courteous and efficient staff- at the reception, restaurant, kitchen, bar, and the room services (cleaners, room maids and porters). These coupled with the good food and the fantastic location; the bus stop is right at the door steps. We were even very much impressed by the decor of the room and that of the entire property; and their continued efforts to make it even better. Bravo!In fact, with their very efficient services, we award a 5-star rating to both the management and staff of this hotel.Keep it up.	
Aug 7 2008 	Lucked out in London	All accolades to Trish and her staff. They made 13 spoiled Californians very happy &amp; welcome. Of course, the fabulous location across the street from Hyde Park, Lancaster Gate tube station and a bus stop in front helped make our stay so agreeable. Buy a travel pass or Oyster card to take best advantage of the location,We all had very comfortable and clean rooms, high ceilings and big beds even before we took advantage of the fabulous room upgrade we were offered. (I did book 5 rooms for 8 nights.)Breakfast in the Rose room was also a winner, not too heavy but substantial enough to sustain a day's hard sightseeing. This hotel is definitely not a cookie cutter copy of any other hotel in a chain It is rather a good way to feel that you are actually staying in London.But finally the real pleasure was the multinational staff, exceedingly pleasant, knowledgeable and helpful. Whether at the desk, in the bar or the restaurant (&amp; many did double duty) they were always delightful to be around especially Trish who kept it all so warmly together.	
Jul 31 2008	staff friendly and happy to help	I am a single mum with my 12 yr old daughter arriving t the hotel staff were so friendly and helpful. The breakfast was great full cooked or continental you can sit in the rose garden watching squirrels across the road in a small parkland across the road. The staff had local knoledge of the area, the hotel is walking distance to alot of atractions, the bus stopped outside the hotel, local shops near by and pubs too.The hotel is far enough away from the hussle and bussle of crouds, just across the road Hyde Park were you can hire a deck chair and watch the world go past. pack a swimming costume as they have a swimming area in Kensington boating lake very refeshing on a hot day.	
Jul 26 2008 	Badly in Need of a Face-lift	While the location is fantastically convenient, (directly across from the Lancaster gate entrance to Hyde Park) the hotel is badly in need of an interior face-lift. We booked the family room, which was located on the fourth floor facing the street. The room was small, shabby, with paint chipped walls, and dirty carpet. The bathroom with its broken tiles and moldy smell was especially unpleasant. The toilet did not flush consistently, hot water lasted for only a few minutes before turning cold, and the towels were stained and had holes. Unlike the rest of the hotel, the room was not air-conditioned, and we had to open the windows at night to cool the room. This resulted in a couple nights of fitful sleep due to the overwhelming street noise. Thank goodness my husband brought along earplugs!	
