	3 nights...perfect...nowt wrong with this hotel	stayed for our wedding anniversarya great hotel....good bedrooms...great fym /pool...also thy now have a spa...for spa treatments....lifts were ok.......no probs at all........nice walks to primrose hill and regents park canal...nice parks in area for kids....playgrounds and stuff.....all nice and clean .......fresh towels everyday ....staff very good and friendly.....will defo stay again 10/10.....	
Sep 15 2009 	Ordinary hotel with no charme and little out of Central London	My husband and me chose the Marriott Regents Park because we were in London to visit some friends who then got married at Chewton Glen, New Milton (see separate reviw) and they lived nearby, so they suggested us this hotel. We are Marriott Reward members so we were happy to gain some more points.I was little disappointed with this Marriott. Nothing really to complain about, but nothing great to point out.The hotel is pretty old and shows its age expecially from inside. Rooms are quite small – but ok if you consider the standard in London. The bathroom we had was old, small and surely disappointing. It would have needed a massive redecoration. The room overlooked the street and was noisy. Beds were confortable, as always happens at Marriott, and the room was kept enough clean during our stay.The lobby is much nicer than the rooms with a Marriott touch. Associates of this hotel were very kind with us – although we did not have any special needs. The neighborhood is ok, we went out also at night and did not have any kind of problems. The nearest tube station is “Swiss Cottage” which is 5 minutes walk away. The area is “2”, so little outside from Central London. In spite of the name, Regents Park is not too close.We did not try any of the facilities of this hotel but I saw a very nice fitness centre – and an advertisement at Swiss Cottage Tube station claimed that it was open to public for a limited fee. Internet cost a lot.We paid our stay 160 € per night and thought it was not too worth. This hotel is ordinary and shows no personality. I would not be back for such a price.	
Sep 7 2009 	Great Value and Friendly Service	We stayed here overnight when we attended a wedding at the hotel. The staff were very helpful and friendly and breakfast the following morning was substantial. The room was a good size and well appointed. The only criticism was that it was quite noisy. As we had a 5 year old with us, we would have appreciated a quieter spot, especially as we had reserved the room quite some time in advance of our stay. However, that said, I would definitely stay there again and would recommend it.	
Sep 4 2009 	Exceeded my expectations	Apparently it is true that you have to take personal reviews with a grain of salt and realize that it is often those with a negative experience who are the most vocal. I was apprehensive about staying at Marriott Hotel Regents Park based on some of the less positive reviews, but I shouldn't have been. I stayed for 9 nights 2 weeks ago with my dh and 2 children - ages 13 and 9. I had booked the hotel through Orbitz and it worked out to about $160/night which is practically unheard of in an expensive city like London! The staff accommodated ALL of my special requests which included a room with a refrigerator (they brought one to the room free of charge), and a room that was quiet (they gave us a room on the 4th floor which was located on the residential side of the building -- Swiss Cottage is a beautiful residential area to stroll through). As far as slow elevators (lifts) which I have read about here...I have absolutely no idea what they are talking about. We never had to wait for more than a minute for one to arrive.The rooms were standard sized marriott rooms with two double beds, a desk, a tv with a dresser, closet, iron and ironing board, a small table with 2 chairs and a trouser press. The bathroom was a bit smaller than in other Marriott hotels I have stayed in in the US yet clean. My only complaints about the rooms were: 1) a less-than-adequate housekeeping cleaning one day. The following day I wrote a note on the doorknob housekeeping request and after that the room was spotless - the housekeeping manager even stopped by to check that everything was to our satisfaction. 2) the complete lack of towel racks in the bathroom which would have been nice in hanging up our wet towels and bathing suits.Which brings me to the next positive. The pool. The pool was great for a family with kids. It was clean and well kept and provided the perfect respite after a day of sightseeing. It also had a steam room and sauna. I didn't use the fitness center, but from what I could see it was very nice. There is a hair/nail salon as well which I didn't use.  My dh's only complaint is that there wasn't a complimentary newspaper and free brewed coffee at the hotel - they give instant in the rooms, but we ended up getting takeaway coffee across the street at a cafe in the Community Center each morning. There are 2 restaurants in the hotel -- Chats which is a bar/grill and Brasserie Centrale which is a more formal restaurant. We did not eat at either one as they were clearly overpriced. Plus, there are a huge number of other restaurants within a very short walking distance on Finchley Street. We walked up and down Finchley almost every evening finding a new place to eat. The O2 centre is about 12 minutes away by foot and offered many restaurants, a huge bookstore and a Selfriges. There is also a Marks &amp; Spencer and a Waitrose grocery store on Finchley which came in very handy for us to buy breakfast foods and fruit/water/juice for our fridge in the room. In fact we never ate breakfast anywhere else saving both money and time.The hotel is a 5 minute walk from the Swiss Cottage Tube Station. The tube will have you to Baker Street in 5 minutes and central London in no more than 10 minutes. Primrose Hill and the London Zoo (a must for dd) were a 15 minute walk. The Jubilee line was down for maintenance on the weekend, but we just hopped on the buses which stop right before you reach the tube station. So easy and the kids loved riding on top.Mid way through the trip we ran out of clean clothes, so the concierge gave me directions to the nearest laundrette. I did wish that the hotel offered a washer and dryer because there was no way I was going to pay the prices they charged for laundry service. Doing it on my own killed about 2 hours, but dh and the kids went swimming in the pool and everyone was happy.So my overall impression of our stay at this hotel was very positive. If you are looking for a luxury facility where you step out your front door into the heart of London, then this hotel probably isn't for you. But if you are willing to sacrifice 10 minutes a day of travel time to stay in a beautiful neighborhood in a very reasonably priced hotel that is perfect for families, then the Marriott Regent's Park is the place for you	
Sep 3 2009 	Good Value For Money - Ideal for Non-Fussy Business Travellers	Stayed here for a night in August 2009. The hotel exterior as has been said before is bland and thoroughly unimpressive. The lobby area is spacious but a bit cluttered. the rooms are quite spacious (or maybe I just got a family room). Difficult to have any paticularly great views. The staff do their jobs professionally, which is great and ideal for business travellers who want to get in and out as quickly as possible. Taxis readily available on the hotel's doorstep and Swiss Cottage tube station on the Jubilee Line (Zone 2) is a very short walk away. I'd recommend this on value for money basis and also for business travellers who do not want to stay in the heart of the City. For holidaymakers - London has a wider choice to offer, particularly if you are after the whole London experience.	
Aug 31 2009 	Terrible maintenance - good location	This is not an inexpensive hotel. Based on the category and cost, I expected something similar to the Marble Arch or County Hall Marriott's where I've stayed in the past. And I'll say that the Concierge was VERY helpful. (Otherwise I'd have given it a 1 bullet rating.)This hotel is WAY WAY below those hotels in maintenance and customer service. {To some extent it might depend on the room or floor you get. Our friends on a different floor had their rooms made up by early afternoon and they had hot water.} Our room (and other guests in the elevator) had tepid hot water. Our room was never made up before 6pm except one day that my wife called housekeeping steamed about the after-6pm-service the previous day. The room was made up when we returned to the hotel at 4pm that day but only that day.The sink stopper was installed incorrectly in our room and the sink would not drain. I called maintenance twice about this before giving up. Getting on your knees you could push the lever and make it drain slowly. Seeing that they weren't likely to fix it, I asked if we could have another room. No other King rooms available. I offered to take a room with 2 double beds. They had those but they were 'saving them' for guests with larger families.Internet service in the business center was 5 pounds (at this time that's about $8) per 30 minutes. The net access speed was satisfactory. There were 3 internet cafe's within a 15 minute walk but one was never open when I went by, one was down but the computers could be used for editing, and one (the Kodak store) was (according to our friends) incredibly slow. So figure on just paying the $16 per hour.We were booked for 7 days - had it not been for having friends also staying there after I had picked the hotel, I would have been out the 2nd day.This hotel - for this stay for OUR room - was way overpriced. I would rank it as a 2 star hotel. The Conceirge was better than average. Maintenance was well below average. Your experience might be better. Our friends were on the 2nd floor - we were on the 3rd.	
Aug 30 2009 	not bad but room stunk of fags and staff rude	the hotel itself is actually quite nice, we book a no smoking room but were told there were none, but were reassured that it would not smell and if it did just say and they would spray it, any way it stunk so I went baqck to reception and told the guy only for him to be rude, it eventually got done on the forth time of asking. watch what they take off your card they take an extra £50 without asking apparently to save you carrying cash , only if they dont tell you how can you spend it , i was mad when i discovered this , how dare they take cash without permission!. hint if you are there at the weekend pay the £2,50 to get breakfats inyour room the queue was massive , felt sorry for the poor sods, best not to have a first floor room either we enjoyed the music from the wedding below ( not)	
Aug 26 2009 	Excellent family hotel	I always find it hard to get a room in London for 3 adults, the Holiday inn add on £20 - £50 extra per night for a third adult sharing. Our eldest son has autism so he needs to be in the same room as us. This Marriot hotel did not cost any extra for a third adult sharing a room and that was one of the reasons for choosing it.I booked the room for 2 nights 3 months in advance and it included breakfast for 2 people. When we checked in they said that breakfast was not included but I had a copy of my conformation email which stated breakfast included. That was sorted out as they took a copy of my email and added breakfast.We were very pleased with the room as it was a quiet room on the second floor overlooking King Henrys Road. The beds were very soft and comfy and we slept well. The bathroom was on the small side but it had every thing you needed and plenty of towels. I did not care for the smell of the toiletries as the reminded me of citronella smelling candles to keep flies away.There was a good choice at breakfast including full English items and continental pastries, meats, cheese, smoked salmon, fresh fruit, cereals and toast. Drinks included tea, coffee, iced water and a selection of fruit juices.The hotel is in a good area close to Swiss Cottage tube station and the bus stops on Finchley Road for the short bus ride into London. As well as seeing many of the London sights we had a walk around the local area taking in Primrose Hill ( enjoyable larger taken in The Washington on Englands Lane ) Another walk took us along Chalk Farm Road and we ended up at Camden Lock with its many markets. If you go on to Adelaid Road you can get the C bus up to Highate and go onto Hampstead Heath for a picnic as we did or go the other direction to Brent Cross shopping centre. The cost of a Taxi journey to Kings Cross station from the hotel was £10.50 and a Taxi from Green Park Piccadilly to the hotel was £15.00 before tips.We would recommend this hotel and we will be staying again.	
Aug 21 2009 	Great Help from Front Desk and Concierge	I agree that the outside isn't anything to write home about, but the room was fine. The breakfast was great (the scrambled eggs were the best I've ever had). Our room was to include breakfast for 2, but they never charged my daughter for breakfast and said her's was included too. I want to commend the staff at this hotel. Our luggage was lost and the concierge went out of his way to call the airlines to help us locate the luggage. Also, my wallet was stolen out of my purse. Don't know how this happened because I'm always so careful - so please be very diligent in paying attention to your purse. The front desk called the police department for me and also followed up with a phone call to see how everything went. Also, when I checked out, the girl asked me if I had gotten my wallet back. Of course I hadn't.If I ever went back to London, I would definately stay here again.	
Aug 17 2009 	Excellent Hotel no complaints	Stay here for three days, great hotel, large room, clean and quiet. Great pool. Very close to tube station.	
Aug 15 2009 	Very comfortable clean beautiful!	We stayed 3 nights at this hotel with our 13 and 15 year old kids. The hotel was very nice inside with a indoor pool and nice fitness center. Restaurant on site and great breakfast! The rooms were very updated and nice with really comfortable beds. The hotel is very close to the metro station making transportation easier as this hotel is only near the wax museum. We would definitely stay again and again!	
Aug 13 2009 	That 70s Hotel...	Booked their &quot;3 for 2&quot; special and thought I was getting a good deal at about $160 a night after the discount. I have a friend who lives a block away which was great, and Bond St is only a few stops away on the Jubilee line; otherwise the location is unremarkable. The outside of the hotel is quite run down and depressing, with paint peeling off the metalwork and dirty brickwork everywhere. There are several spots under the overhang in front of the building where rainwater leaks from the downspouts. Inside the hotel is very clean but the orange carpet in my relatively large &quot;Deluxe&quot; room was right out of my parent's living room, as was the 19&quot; tube TV. The other annoying detail was that there was only one unused outlet in the room.Having said all that, the most bizarre thing about this stay was they put me in a room right next to the Terrace Suite, and when I got there, the doors between the rooms where open. Naturally I assumed they'd given me the suite (perhaps because of the late booking?) so I spent the next two days taking advantage of all the extra space. The last night I was there I called down for cutlery on the phone in the other room. When told I would have to pay the tray charge of 2.50, I said I would call back and order something. Right away the phone rang and I was politely informed that I was not supposed to be in that room and that someone would be checking in shortly, and could I please vacate the room in the next 10 minutes? This after the cleaning staff had been through twice. Needless to say it was a bit awkward and embarrasing.Service at check-in was fine, and the breakfast was okay.	
Jul 30 2009 	Good value for families. Pool safe neighborhood easy tube access	Overall it's a three star hotel. Nothing fancy, but a good value. Clean rooms, kind staff, safe surroundings and easy tube access. Short walk from Primrose Hill neighborhood and Regent's Park where you can experience a bit of London charm without the shuffle of tourists. Pros: Comfortable beds and linens, pillows nice. Nice and clean pool to unwind kids at end of day of sightseeing, staff is professional and kind, taxis always available out front, easy access to tube, safe location, short walk to park and restaurants, Bar (Chats) is family friendly, menu has items for kids and adults, food was good.Cons: Exterior of hotel needs refurbishing, hotel lobby over perfumed with musk scent, breakfast overpriced and breakfast tastes average. Wait-staff friendly, but slow. For these reasons I give it a 3 star rating, but otherwise the hotel is very good.So, more positives than negatives - would stay again with family because rooms were comfortable and accomodated our 11 &amp; 12 year olds nicely, they enjoyed the pool a lot too.	
Jul 28 2009 	Nice location - big room and good pool	I stayed here for 1 night with my husband and 5 year old twins. It was a little strange as the last time I stayed at this property was 30 years ago as a child visiting London! The hotel was quite nice - our room was very big (for London) and quiet. Kids loved the pool and breakfast was great. I like Swiss Cottage a lot, although it is not the most convenient place to be based if you want to be in central London - esp as the Jubliee line was not working when we were there. And there are not loads of restaurants very close, but enough to survive! There is a great little park behind Swiss Cottage Leisure Centre and Library which was really good for the kids.	
Jul 27 2009 	Excellent Hotel will stay again!	Stayed here as the prices in central London were too high. I couldn't believe it when it was only 15 minutes tube journey from Waterloo! It was quicker than staying at my regular hotel and walking to my meeting! The staff on reception were very friendly and professional. I ordered room service dinner, which was excellent - my Rib Eye Steak was superb. Rooms are a great size, absolutely spotlessly clean. So close to Swiss Cottage Tube - will definitely be staying again!	
Jul 23 2009 	Very badly run poor management...should not be called a Marriott hotel	We arrived at 7pm on a Friday night after an horrific 3 hour trip from Gatwick Airport in the rain to be told by the receptionist that we should have been there at 6pm as they were about to give our room away!! No where on the confirmation/booking does it mention a time limit, except that they charge your credit card for a night if you don't arrive! 1 of the 3 lifts was out of order and stayed that way until we left on the Monday morning; the second lift also had issues with doors getting stuck and not opening. The rooms had all the amenities, but felt dark and daggy. We had booked the room 6 months in advance and of the many rooms in the very big hotel, were given one on the noisy side close to the busy street. On the Saturday night at 1am, the fire alarm went off and after about 5 minutes we looked out to see people were leaving there rooms and going down the fire stairs to the outside. At no stage did we see any staff directing anybody. 1 Fire engine arrived and we were advised that it was a false alarm. There was a sign at the lifts asking guests to note that 9-10.30 was prime time for breakfast and one should try to make breakfast before or after! Breakfast was chaos, staff unfriendly and hygiene very poor....children touching bread, rolls, etc, food uncovered and no staff to supervise. The best was checking out. The location was great ...near the tube, but this hotel is not in Regents Park it is in Swiss Cottage! Maybe Regents Park sounds grander. If you have stayed in a Marriott in the USA then don't stay here...it is not a four star hotel by any stretch of the imagination.	
Jul 22 2009 	mostly nice good amenities	This was a repeat stay, so overall I like the hotel for its location. And I generally like the Marriott hotels. This is a business class hotel, so most amenities are there. Great fitness center and pool. Rooms are comfortable, nicely sized, acceptably clean although not spotless. The location at Swiss Cottage is a lovely section of London and there are plenty of restaurants, pubs, and markets nearby. A nice feature is proximity to Primrose Hill and the park for walks and views. Jubilee tube line is just two blocks away with good bus connections too. The hotel gets crowded with families on weekends.The staff is friendly but reliability here continues to be a problem. Example: My hired car for the early departure did not get scheduled, a room issue took a couple requests; and for a repeat time my bill was neither correct NOR ready at checkout (watch out for bogus minibar charges) and had to be mailed by post. Not disqualifiers but annoying. A few peeves: slow elevator service; mattress was not comfortable; no complimentary bottle of water in room ; internet is 15BP/day. Other: my recent package included breakfast for two but not the three family members scheduled and despite my repeat business (normally I travel alone) they would not add one. I knew this ahead but just bad business relations - walk across the street to the community center restaurant (opens at 7), or others nearby, all quite good (and free wifi). Anyway hotel weekend breakfast not served until 7:30AM (I schedule early business meetings) or 630 weekdays.	
Jul 21 2009 	Great Family Hotel	We just returned from a wonderful trip to London and Paris. We struck gold with both hotels we chose.Since we were staying in London for six nights and our teenaged boys are both 5'10&quot;, we needed an American-sized room with queen-sized beds so they would be comfortable. We all slept incredibly well...very comfortable beds and air conditioned rooms. There was a rare heatwave while we were there, so it was wonderful to come back to the hotel room and cool-down.The bathroom is just like the typical, small American bathroom. There were shelves to organize our toiletries and keep the counter clean. Beware...the shower tub is high and you have to step down when you are getting out - hold onto the bar!!The staff was extremely friendly, helpful and professional.This hotel is in a residential neighborhood so there are no other hotels, very few restaurants; although walk up the main street, Finchley Road, and there are a few banks, grocery stores, etc. You will become very, very good at using the tube. It is an easy 10-20 minute tube ride into town - only inconvenient when the Jubilee lines goes down for service (it was closed the whole weekend we were there) and then you will need to walk up Finchley to the Metropolitan line (10 minute easy walk) or take a bus to that station or take a bus into town, which is slower, but we didn't have any problems reading the bus maps. We had purchased Oyster cards (at the transportation center at Heathrow - they were very helpful) so it was very easy to jump on-and-off the buses and trains as necessary (note: children 14 and under are only 1 GBP a day when traveling on weekends and weekdays after 9:30 am - don't buy them an Oyster card, buy their travelcard each day). Loved the transportation in London - easy, clean and almost entertaining. Paris was much more of a challenge.We did not use the hotel's business center as I knew in advance that it was very expensive. Very close-by is the Swiss Cottage library - you will pass it on your way from the tube to the hotel. I went inside and explained I was staying at the Marriott and asked if was possible to receive a pass to use their computers. They gave me a 3-month membership for free so I could use the computers!We gave up the free breakfasts that many hotels offer in order to get the larger hotel room. We asked for a refrigerator, which was provided at no extra charge! There was a small market that was open 24-hours across from the metro station and we bought milk, juice, etc. and ate in the room - saved us quite a bit of money. There is a safe in the room and a hairdryer - it's in a bureau drawer. We needed to go to St. Pancras to get to the EuroStar. The concierge recommended a taxi, which we thought was going to be very expensive, but it wasn't - about 15 GBP and they were able to fit all four of us with all our luggage. Don't try to save a few bucks by dragging it up and down stairs in the tube - take the taxi. The concierge reserved one for us early in the morning and he was there right on time waiting for us.At St. Pancras, we turned in our Oyster Cards to get our deposit back (3 GBP/card) and transferred the GBPs to Euros so we had some money as soon as we got to Paris. We stopped in at the Marks &amp; Spencer, picked up some very reasonably priced sandwiches, drinks and snacks before getting on the Eurostar.	
Jul 10 2009 	Good Hotel Don't Judge it by its exterior	Good Hotel. Clean Modern Rooms. Close to Underground. Arrived early to the hotel our rooms were not ready but were offered smoking rooms we decided to wait and dropped off our bags and went exploring. The hotel is in a good safe location. We were only staying one night as we were going to a concert. The staff were friendly and helpful. The rooms were clean and modern with a large bathroom.	
Jul 7 2009 	okay for the money	The Regents Park Marriott in London, while not a great hotel, can be a good deal by London standards ($200/night including tax). Be careful on checkout: the hotel tries to get to you to pay in US dollars after adding a large currency exchange surcharge even though they claim otherwise; I gave them only three stars because of their lack of honesty on the exchange rate and because of their poor attitude when I caught them and asked to be billed in pounds. They also charge $2.50/local phone call and $25/day for internet which is more than the Beverly Wilshire charges; this is an inconvenience. I booked the hotel because it is close to Regents Park for running, it is close to Triyoga in Camden, and it has a gym and a pool. The local area is forgettable with poor restaurants, but the tube is close by and the hotel does a great job keeping taxis available. The exterior of the hotel is ugly and rundown; the inside is a bit soulless and generic but in very good condition. The rooms are large by London standards and the marble bathrooms are very nice. The elevators are slow and in poor repair so you want to avoid going to/from your room during when the hotel is busy. The breakfast is very pleasant because the waitresses are cute, friendly, and have very british accents; however, there are enough Russians in London that one could be hired as a consultant to pick out good bread. The pool looks nice but is intensely used by very young children so I skipped it because of questionable hygine (if you know what I mean, and I think you do…). The gym is nice and has large windows and a views of the pool and garden; the cardio equipment is excellent, but there is no bench press. The jogging in Regents park is excellent especially the running along the Regents canal. If you combine the outer path of Primrose Park, the outer loop of Regents Park with a run along the full length of the canal path you do a solid 12-13 miles. I was surprised the Brits are such good runners; perhaps the ban of smoking in pubs has improved their cardio fitness, but still with that British food it is amazing they are reasonably fast.	
Jul 6 2009 	Terribly Managed Hotel	Described as a &quot;luxury hotel&quot; on the Marriott website, this hotel is probably the worst run Marriott I have ever stayed at. I have had to beg for towels almost every day. Some days, we have not been given any hand towels or wash cloths, which is quite ironic since my profile on the Marriott website for Marriott Reward participants spcifically requests EXTRA towels and we couldn't even get the basic allotment! The hotel charges 75 British pounds (about $125.00 U.S. dollars) for a week of room internet service , which is billed as &quot;high speed&quot; but it's so bad that it can take an hour to get onto a website. On one morning of my vacation, I had to spend three hours in my room waiting for the hotel engineer because the hotel's internet system would not allow me to log on. Another day, my friend waited on her laptop for an hour but could not get on to participate in a video conference. A manager on duty earlier in my stay told me that she would &quot;take care&quot; of the internet charges since the service had been so bad. However, when I asked for a printout of my bill two days before leaving, the charges were still there. She had not followed through to refund me for what she had called an &quot;embarassment&quot; for the hotel. I have also had to ask repeatedly for turndown service, certainly a minor thing but asking once should have been enough. One night, they turned down both beds but left a mint on only one of the beds, completely ignoring the other bed in the room.Pretty amazing.Also, the bathroom sink doesn't drain well and backs up. The room is either freezing or stuffy and there's no way to get air circulating without the air being either cold or hot. One afternoon, I asked the concierge for suggestions for a Persian restaurant and he said he would slip a note through the room door before he left fo the day and also ask his replacement when he went off shift to call us. Needless to say, he didn't follow through either. Another day, the cleaning staff left a plastic spray bottle of their cleaner on top of the television set! In addition, the restaurant food was absolutely horrible one morning when I decided to have breakfast here. It wasn't even mediocre but was inedible.This is my 3rd stay here in about two years. The hotel is clean and the rooms are very quiet and large. Staff are very nice. The location is great with access to the restaurants of Hampstead, to Regents Park and to a nearby tube station. But it doesn't seem that anyone is actually managing the hotel, training staff about how to do their jobs or training supervisors about how to monitor staff and hold them accountable. It's too bad because it could be a nice hotel.	
