	Convenient London City Hotel	Well located about 2 minutes walk from the Tower of London and 30 seconds from Tower Hill Underground Station and 1 Minute from the Tower Gate DLR Station. If the Circle Line is in operation, which it hasn't been most weekends, then the hotel is well located for all of London. The room we had overlooked the train line but we never heard anything. My wife is a very light sleeper and she never had an issue. The bed was comfortable, the room was large and so was the bathroom, with a good shower. The staff were helpful enough, but not that friendly, probably owing to their limited grasp of English in some cases.Continental breakfast was included, it was basic but of a good quality. The toast was a bit of a let down, put out in a basket pre-made, so it was a bit cold. Apart from that everything else was good. Didn't eat in the hotel for dinner. There are plenty of other places around including a few nice places at the Marina near Tower Bridge.	
Sep 29 2009 	Fabulous hotel amazing veiws soo quiet.	Had a brilliant nights sleep, shower was amazing. Room service took half an hour to cook a pizza and chips! Upgraded my friends and my bed rooms as it was my 21st birthday. Cannot fault the cleanliness. Reception needs to have more staff on as took 10 mintues to get checked in, and the concierge kept direct people in front of us.	
Sep 27 2009 	Good location but if you want breakfast have a big wallet	This hotel is in a good location near to the Tower of london.The room size was very large but the bed was a pull down and it felt like it was shaped like half a hula hoopa - not a good night's sleep. The temperature control on bath water came off in my hand when I tried to adjust it. There was lots of storage in the room and it was really a nice room but the bed let it down. Also several drawer handles were broken.The rate was room only and if you wanted breakfast it was an astoudning £23.00 per person!!! Fortunately Wetherspoons was a 50 yard walk and we had a lovely breakfast for £3.99. Reception staff were mainly foreign but pleasant enough. Would not stay at this hotel again because of food prices.	
Sep 26 2009 	Service levels I would expect at a 3* hotel not a 5*	Nice enough room and hotel, they have spent a lot of money on creating it, but the design doesn't work.Hotel staff are very friendly, but not experienced at a 5* hotel service. Every request seemed to be answered with a request for bank details or credit card number as it would need to be charged. I left a small camera charger in the room and asked for it to be put in a taxi so I could pay the other end, they wouldn't do that and said they would need my bank details and then they would post it to me.Also phone calls VERY expensive from the room and mobile phone reception was terrible in the hotel so had no choice. About £30 for around 5 mins of local in European calls.	
Sep 24 2009 	Nice hotel very comfy bed tiny bathroom	We booked the hotel on lastminute.com on their 'top secret hotels' deal (&quot;5 Star Hotel near Tower Bridge&quot;) so got a very good price (£230 for a double room for 2 nights, room only). We did end up in a fairly small room (room 111), but then again, you probably get what you pay for, so we didn't mind too much. The bed was extremely comfy (and massive - US style king), had lovely Molton Brown toiletries, and hotel was very nice and located just yards away from Tower Hill tube stop, or 5-10 mins walk away from Aldgate. Our only gripe was that the bathroom was literally tiny - we could barely get in the door! For a short stay, it didn't really bother us massively. Would stay here here again if we got a similar price again.	
Sep 1 2009 	Perfect location- Just loved it! Tube and Tower next door...	We were travelling with our children 17 and 21, who are spoiled with great hotels. But they absolutely loved it. We got two adjecent rooms, lovely decoration, and my daugher and I used the training facilities, very big, but somewhat male oriented. The spa and huge pool gave us a good morning start, as we head of to see London, from the Tower station - right next to the hotel. Breakfastbuffet was the best we have had for long- and not so fattening - If you want that, take the English breakfat instead.We also went to &quot; the the medival Banquet &quot; an event with with costume klad actors and dinner in the London underground- Next to the tower. That was why we took this hotel -Easy to get back after the show. But you have to be in a good mood to join in the party. Only parking was a problem - a few walk minutes to parking house.	
Aug 31 2009 	Great hotel ex service	Just had 2 nights at the Grange hotel with 2 friends. fantastic hotel rooms are clean and in excellent condition. We had a supieror room which also has a small setee and 2 comfortable chairs for entertaining . Staff are superb very friendly and helpfull couldn't do enough for you. The spa etc is very good great service and the full English breakfast is good value. It is in a very convienent position 100m from the tube and just across from the Tower of London. I'v been to lots of good hotels in London but this was one of the best overall. Only thing i can moan about is that they should provide free internet and wirless. WE paid £345 per room for 2 nights inc breakfast and free 30 min masage	
Aug 29 2009 	Loved it!	I went here for 3 nights with my girlfriend to celebrate my 40th. When I booked I requested an upgrade if possible as it was a special occasion. When we arrived the friendly reception staff confirmed I'd been upgraded to an Executive room, which was just great. The room was very spacious with sofas, desks, Bose radio, spacious bed. It was nice and quiet and the hotel location was great for us to go off and explore Butler's Wharf, Surrey Quays etc. The hotel pool was lovely and there was a great jacuzzi, sauna, steam room and aromatherapy room (didn't use the latter) - all very nice to use after long days on our feet. On the last day we even got the red carpet treatment outside the hotel....except it wasn't for us; the England cricket team stayed there after winning the Ashes. Would definitely love to go again.	
Aug 25 2009 	fantastic location	the hotel itself is fantastic,location was great,we booked the room online via grangehotels.com for 92 pounds a night which was great cause the hotel has a swimmingpool,wel when we arrived the front desk staff were very efficient and friendly,were were offered an upgrade to an executive room for £35 by one of the member(abu) looked like he was running a smooth shift,wel we took the upgrade and the was really grateful,the brekfast was nice and healthclub fascilities was fantastic,we had romantic night at this hotel and was very special.i think this is probably the best 5star hotel in central london.	
Aug 24 2009 	Great place to stay for a week-end get away!	We stayed here for the week-end at the start of August as we were attending a family wedding not too far away. We got a great deal on the room and were not disappointed. The room was clean and very comfortable with good facilities. As the hotel is still new the bathroom was great! Although the glass doesn't stretch very far on the bath so after 2 of us showering the floor was soaking...slight oversight on the design there.Only one strange event...we were in our room until about 1.30pm so house keeping couldn't make up the room - no problem there, completely understandable. However, we returned in the early hours of the next morning to find that the bathroom had been semi cleaned and the bedroom not touched at all. The toiletries were half replenished and the towels changed...but there was a cleaners sponge still in the sink! It was very bizarre - maybe the cleaner just got bored half way through and couldn't be bothered with cleaning the rest?!! Anyway it didn't really matter to us and we checked out the next day.There was a slight error on the bill - but this was handled well by reception.Overall we had a great stay and it's in a fantastic location.	
Aug 22 2009 	Nice Hotel	Nice hotel with a grand entrance foyer. The room was nice and there was ample tea/coffee and two double beds that were comfortable. The breakfast was plentiful and very tasty - we had the continental as it was included. The cheapest price was directly with the hotel.Some of the staff were not as friendly as they could have been, and they mistakenly said that I had stayed there before (as a couple), which could have raised some awkward questions from my girlfriend. I thought this was somewhat unproffesional.	
Aug 17 2009 	Stunning hotel good location	We booked this hotel as we were going to see a concert at Wembley and as we both work in the City, it was easy to get to and right next door to Fenchurch Street station (so easy for us to get home the next day). This was booked through LastMinute.com and we only paid £85 for the room. We arrived at the hotel at 1.15pm and the receptionist (a very friendly man called Greg) informed us that not only was our room ready, but that they were upgrading us to a suite. The room was ENORMOUS! Absolutely beautiful decor and even though our room looked out onto offices, it was very peaceful and didn't hear the trains at all at Fenchurch Street. Unfortunately we didn't spend that much time there because we were going to the concert, but I wouldn't hestiate to stay here again as the hotel was amazing. We just had a room only, but be aware that the breakfasts cost £20 each, so we decided to go somewhere cheaper!	
Aug 15 2009 	Great facility run by incompetant people.	This is the email I sent to Grange City Hotels after my stay... &quot;To Whom it may concern,  I wish to write you to tell you about my most recent stay in London June 27th. I usually stay at Le Meridien on Picadilly Circus, but I wanted to be closer to The Tower this time, so I booked a night at The Grange on Cooper's Row. Even before arriving, I was very impressed with the facilities and with the room furnishings, as well as the rates. Neither of these impressions changed when we arrived (my wife and mother were with me).  Over the next 24 hours, a few things happened (or didn't happen) that have soured my opinion, and all but guaranteed that I won't be returning. Here, in no particular order of importance, is my list:  1. We arrived from the airport at about 9 am, far to early to check in (as we expected), but we wanted to drop off our luggage so that we could explore the town. The front desk check in was handled smoothly, efficiently, and professionally. I was very impressed. However, when we went to leave our bags with the porter/concierge, there was a delay. Apparently, it is your procedure to tag each piece of luggage with an identification tag. These tags are hand written. We had 8 bags/items, so it took awhile for this to be completed. Afterwards, I tipped the porter. I was expecting that those bags would be delivered to our room once it was ready, but that did not happen. As a convenience for future patrons, I would consider making this part of the services offered. Also, to speed up the identification process, it would be a lot faster if you had a roll of stickers with two copies of each identification number. This way, the porter could simply apply one of the labels to each bag, and the duplicate label to some sort of receipt that you would give the customer. I believe this would cut a lot of wasted time out of the process. We left to go &quot;see the sights&quot; of London We returned about 4pm.  2. Upon reaching our room on the 4th floor, we noticed that there were only 2 sets of towels (even though we had clearly reserved the room for 3 people). We notified housekeeping and they quickly brought us another set. This might just be an oversight, or there could be a lack of communication between the reservation desk and housekeeping. You might want to check this out.  3. We wanted to get some ice, so we asked the operator if there were any ice machines. She said that there was one on every floor. After vainly searching for 10-15 minutes (including the 3rd floor and 5th floor), we started asking hotel employees and guests that we found in the hallways if they knew where the machines were. No one (including the employees) knew. We finally called down and had a bucket delivered to us. I still don't know (and neither do your employees) whether or not there is an ice machine on the 4th floor, and if there is, where? For the future guests, you need to let your employees know if you have ice machines or not, and if so, where they are located.   4. One of the reading lights by the side of one of the beds did not work (the bulb would flicker on and off, and then go dark). We alerted someone (I don't remember who we called, operator, housekeeping, or someone else), but it was never fixed. (Room 418 if you're interested). Since I don't remember who I called, or what happened after that, I can't make any recommendations on how to prevent the problem from happening again. We left to go see a show We returned late (about 11 pm)  5. Someone had rented the courtyard below our window (as well as a lot of other peoples' windows) for a &quot;Sweet 16&quot; party. As you can imagine, the noise from 25-35 excited 16-year-olds can be quite great. I called the front desk, and they said that the party would be going until Midnight. Let me try to describe how loud it was. With the window open, the excited screams, laughter, and conversation made it difficult to have a normal conversation. With the window closed, you could still clearly hear names of people, some conversation, most laughter, and all screams. With the window closed, the curtains closed, and the air conditioning blasting, you could still hear screams, names of people and laughter. Keep in mind, I am on the fourth floor. I don't even want to imagine what is was like for people below us. If someone had told me as I was booking the room, &quot;Sir, just so you know, dozens of excited teenagers will be partying under your window until at least midnight - precluding you from getting a decent night's sleep before your flight tomorrow&quot; I would have been grateful, and booked elsewhere. Instead, I paid a large amount to be sleep-deprived. If you continue to rent this courtyard out for parties, then future guests should be warned, or a 10pm curfew should be imposed.  6. Room 418 overlooks the courtyard, a section of old city wall, and not much else. Perhaps the higher floors are visible from elsewhere in the city, I don't know. There are several large bright spotlights that are in the courtyard shining on to the side of the hotel. If the hotel is visible from elsewhere, I could understand this, but I don't think it is. The lights illuminate the curtains, making the room &quot;less than dark&quot; throughout the night. For the sake of guests, as well as conserving energy, I would recommend removing the lights, or at least, turning them off after 10pm.   7. Wandering downstairs in a sleep deprived state, looking for breakfast, around 7am the next morning, we entered the Forum Restaurant for the breakfast buffet. Now, it could be entirely my fault, but at no point was I made aware of how much the buffet was going to cost. I did see (on a side menu on our table) that a &quot;full English breakfast&quot; was available for an additional fee of £8.95. Since the majority of the buffet consisted of fruit, toast, croissants, or cereal, I did not think it would cost that much. Certainly not as much as the full English breakfast. You can imagine my surprise when (still in a sleepy state) we went to check out and I found that our buffet was over £21 each. I realize that things are very expensive in London, but if you can buy a full English breakfast for £8.95, than surely, a plate of fruit, a croissant, and some juice should be priced the same or less, right? So, to sum up about the Forum, overpriced, and lacking pricing signage (I think). Also, on the buffet, the butter was molded into a floral pattern and stored on a bed of ice. It was pretty, but have you every tried to spread ice cold butter onto a croissant or piece of toast? You will end up ripping it to shreds.   8. I was told by the front desk, and the porter/concierge, that when we needed a ride to Heathrow, that we should let them &quot;book it&quot; as they can make sure that we get the best rate (a flat rate) of £65. We did so. When we got to the airport, the taxi driver said our bill was £67.95 plus a £2.00 booking fee. I explained to him that I was told it would be a flat fee of £65.00, but that didn't hold much weight. The meter verified his side of the bill, so I am not sure who is in the wrong here. What I do know is that it cost me an extra £2.00 because the hotel called him, rather than me walking out to either of the 3 other taxis waiting out front. What I don't know is whether or not the aforementioned &quot;flat fee of £65 to Heathrow&quot; actually exists, or is merely an unsubstantiated rumor (like the existence of ice machines on the 4th floor). Either way, like the ice machines, the staff needs to be informed as to the actual facts of the situation.  So, in summary, the actual hotel building is amazing and handsome. There are some training issues, and some procedures could be improved. I am getting ready to write a review for your hotel on the website I booked it through (Orbitz I think), and I am having a dilemma. I'm not really sure how to condense all I just wrote about to you into a short review, or whether or not the review will be a good one or not. Right now, I think I will just wait to hear your thoughts, and then write the review.&quot;Their response to my areas of concern were to either defend the policy in question, or to &quot;look into it further&quot;. The lights shining into the room, and the non-disclosed over priced breakfast buffet of fruit and toast for £21 really ticks me off. Booking the area right underneath the bedroom windows for screaming teenagers until midnight is inexcusable in a &quot;high end&quot; hotel.	
Aug 9 2009 	GOOD LOCATION	Very near to the tower of London, Tower bridge etc. The hotel is all you would expect from this standard of hotel. Rooms well furnished with good quality fittings. shower very powerful with lashings of hot water. Staff very helpful and very well trained and polite, checking in and out a doddle.Our double room was a decent size. Our friends family room was very large.Minor gripes over looked train station, air con slightly noisy, boiled eggs at breakfast underdone. None of these points spoilled in any way our stay.Tip for ayone going down the river e.g to the eye try taking the water bus service just down the road from the hotel for a different way to travel. More expensive than the tube but a lot more fun.	
Aug 5 2009 	lovely hotel overlooking the Tower of London	We stayed here for about a week and other than a few problems we were happy with our choice. The beds and baths are great; our room looked out over the Tower and Bridge.As a matter of fact we stayed in the Penthouse for first 2 nights as we were late getting in and our room I guess had been given away.The staff were very nice and professional, however we had a problem with our bill at the end which was a bit unnerving. The Japanese restaurant was not up to snuff as reviews had indicated, but the breakfast buffet was great. They have a nice little pub that serves food til all hours although the food quality tended to go downhill come the wkd. There is a grocery store nearby and local pubs etc although it is a tube ride to the shops etc. Also a great gym but pricey 20 L for a daily visit, also internet was 12L /24 hours	
Aug 3 2009 	Not a 5 star	Well I booked and paid for this hotel for 5 days and regretted that I had done so. I arrived at my room, to find it looked straight into some office windows and no privacy at all. I asked for a better room and was told yes but it would be an extra 30 pounds a night, now I can see the people in the suites below, was told not to worry about it as no-one stayed in the them and the doors were opened by the maids. Funny that I was able to wave to a fellow guest. Some sort of sheer cutaining would solve the problem easily.Just got back to my room, tired and housekeeping had been, the bed was a mess there were bits on floor and the tables had not been cleaned. I called housekeeping and asked them to redo the room, the supervisor came up with the maid and told me that I have to understand the maids are human and maybe are rushed and tired. Call that 5 star. The supervisor made too many excuses about the job not being done. The supervisor had also walked into my room two days prior without knocking, when I questioned her about privacy, she said she knocked. Seems like the guest is wrong in this hotel.On checking in I enquired about internet services as was told that you are charged per day even if logged on or not. So I stayed logged in, only to find out the next day that this is not so and you are charged by usage.The first night I was here the smoke alarms went off twice and the airconditiong turned off and did not resume for hours. I must admit management put a note in the elevator the next morning saying sorry.In the four days I have been here, not once have I been greeted or smiled at by reception staff on my way in or out, just litte things.Room service, limited menu, but must admit the prawn mango salsa is devine, tried the risotto, not worth eating. Not having stayed in a London hotel for a while cant compare this, but after staying in Middle Eastern hotels for years this is not a patch on them.	
Jul 26 2009 	Great hotel!	The Grange City Hotel is a great place to stay London. The hotel is in terrific shape, and the rooms are luxurious and so quiet you'd think you're the only guests staying there. The location was ideal for us - a stone's throw from the Tower of London and just steps from the Tower Hill underground station. The concierge was very helpful, as were all the staff we encountered. We were very pleased with the Grange City and would definitely stay there again.	
Jul 23 2009 	Lovely comforable hotel	Booked for special occasion, so booked executive room and requested a view. Disappointed to be looking down on rooftops/Fenchurch train &amp; office block opposite. Asked reception for possible change, and they were very helpful in assisting. We were given a lovely room which looked over the Tower of London and the Thames. Breakfast is continential with an £8 supplement for full english (which was good). However, the service of restaurant staff at breakfast is not so good. We were stacking plates on the table and they just walked past and ignored. (For this reason we did not book an evening meal in restaurant)Access by tube no problem, but quiet area with not much going on apart from visiting the Tower of London. Takes about 20mins from Euston Square to Tower Hill on 1 direct tube (circular line)Getting back into West End involves a change at the Embankment or Temple (still only about 15-20 mins)Would go back, as hotel was lovely and comfortable. Expensive rates during the week, but they drop at weekends (&amp; weekend includes the price of continental breakfast) whereas weekdays you have to pay for this	
Jul 20 2009 	Luxury at its best	I have stayed here a couple of times and love it. As a surprise to my partner I upgraded to a deluxe room (only £80 more) which was literally the biggest room I have ever stayed in (it was 16 lunges from one side to the other!) Good leisure facilities (didn't get much time to use them) and free access to suite with huge tv, food, drink and PCs. Two minutes walk from Tower Hill station with DLR and Fenchurch Street very close. Absolutely amazing room service (I can personally recommend the club sandwich) and very attentive staff. Great views of the Tower of London if you stay on that side. Sure its a bit pricey, but well worth it. Only bad point is parking - yes there is on-street, but sometimes requires a long walk back to the hotel after you've found a space. Wouldn't hesitate to recommend or stay again - I can't wait!	
Jul 17 2009 	Nice hotel with a few glitches	My son and I stayed here for 5 nights recently. The hotel was lovely and the room clean and comfortable. The bathroom was pretty with a great shower and tub. We had a partial view of the Tower of London from the 6th floor. I booked this hotel because the rates dropped quite low on the weekends so it averaged out to a pretty good value. The pool and spa area were lovely but we didn't use them. The location was good in that it was one block from the Tower Hill tube station. On the other hand, there wasn't that much to do in the neighborhood, especially on the weekend. We had a few glitches in service:- lights in room didn't work the first evening, an electrician came and after an hour the problem was solved (and they gave us a bottle of wine for the inconvenience)- the hair dryer in the room didn't work and a note to housekeeping and a request from one employee did not result in any action. Philippe at the concierge desk got it taken care of right away.- taxi was ordered for our departure. We were told it would be a fixed rate to Heathrow but the cab driver didn't know that.The concierge employees were very friendly and helpful. They asked us how our adventures had been, chatted, etc. They really made the stay worth the money.	
Jul 15 2009 	Not good for special occasions	i stayed here in Feb for there valentines package with my partner, we had stayed here previous in Jan and loved the hotel, especially the gorgeous pool.However, upon return to this hotel we were not overally impressed. They told us we would recieve chocolates and a rose in our room. This was not in our room when we got here, the room itself was nice and the view was stunning.We called down to reception and they said they would bring it up after we had been down for dinner.We did so and enjoyed a nice meal (even if the waiter spilt champagine on my partner and all over the table so she had to move us) They say they are a 5* star hotel and yet they kept coming over to us every 5 mintues asking if the meal was ok and removing the bread or knifes and forks before we had time to finish.Once back up in room we had to ring again for the chocolates and rose by which time we had both lost intrest in. Eventually when it did it arrive it was the smallest box of chocolate and they were the same ones they use on the beds at night just with a heart on.Considering how much we paid for the package for one nights stay we were not impressed by service or what was included in the deal.We will not be returning to this hotel and i do not recommend you stay here for any kind of special occasion.	
Jul 12 2009 	What a fantastic hotel!	We stayed here only one night- but would definitely return! The staff was so helpful and accommodating. When we arrived and were told that our room would not be ready for another 10 minutes, they brought us complimentary lemonade. The concierge was wonderful, arranging transportation and giving recommendations. The room was nice- with a great view of the Tower of London. The pool was wonderful after a long day, and the spa looked nice, though we didn't try it. Breakfast in the morning was lovely- an assortment of yogurts, croissants, tea, fruit, cheese/meat, etc. And, the hotel is located half a block from the metro station.	
Jul 8 2009 	Oh Dear another hooky hotel	I found it quite amazing that a hotel that thinks it is FIVE star can order it's guests a car/limo from a company that has no license to trade. The car that picked up my client was not insured because it's driver and the company from which it was ordered are not PCO approved.Shahi Elite Chauffeur service is acting illegally from the Grange hotel group with the consent of the management.PLEASE MAKE SURE YOUR CAB, CAR OR LIMO HAS THE LICENSE IT SHOULD. IF IN DOUBT INSIST ON A BLACK CAB	
Jul 5 2009 	Great Location and Good Quality Hotel	I have just returned from a Fri - Sun stay at this hotel. It is ideally located as it is right next to Tower Hill Tube. It is within the business area of London therefore on the weekend there didn't appear to be any shops open nearby except those at Tower of London. This was only a pain when wanting late night munchies. We chose to order room service instead, there is a £2.50 tray charge which is not advertised at all. The hotel itself was very clean and comfortable and the rate we got booking direct through hotel web site seemed really competitive. The only issue with the hotel was the fact that not one of the staff spoke English as their first language. This was not an issue when dealing with most things like checking in and out but whenever we went to ask questions about travelling about London or advice on attractions it made for amusing conversation and us usually giving up and working things out ourself !! Breakfast was included and was ok however is a bit basic and they seem to struggle at weekend with the number of guests.	
Jun 22 2009 	Loved the Grange City Hotel	We stayed in a business executive suite with balcony. Balcony views were alright. Quick and easy check in. The room itself was lovely - king bed, sitting area, large bathroom. The staff were lovely. Continental breakfast was included which was delicious - crossiants, toast, cereal, fruit salad, juices, danishes, cold meats and cheeses. Upon check out we stored our bags at the hotel for the whole day which made site seeing much easier. Would happily stay here again. One thing to note - internet access is 5pound an hour or 12pounds for 24 hours.	
Jun 16 2009 	Fantastic weekend	We booked this hotel for our wedding anniversary as we had been here in march this year and had a great time.we were upgraded to a club room which was very spacious and comfortable and had a good view off the tower off london.Breakfast on the two mornings was very good the continental had a large choice off cereals, pastries and cold meats etc.on the sunday we had the english breakfast which was good value for money considering the price some hotels charge for this.I would recommend this hotel.	
Jun 15 2009 	Great Weekend break	After reading some of the reviews I was a little concerned as I had booked the hotel for my Husbands 50th birthday. I needn't have been.We checked in at 11.30 on Friday and didn't expect to be able to go to the room as paperwork stated not before 2pm.However, we were told a room was available and were upgraded to a lovely room with the most comfortable bed ever, and a lovely lounge/office area. The breakfast on saturday was good, we were down by 8am as we had been warned it could get busy at the weekend,but even when we left at around 9pm it was not full. Plenty of choice, cereal, fruit,pastries and croissants also boiled eggs, meats and cheeses. the staff were very polite and pleasant. It was lovely not to rush back home after seeing Billy Elliott,so for a weekend break I would recommend it.	
