	a fine establishment for the fashionably drunk	Our stay was spent in a compact cosy room, slightly warmer than desired but providing an excellent base temperature for spending the evening sweating out. More desirable than the average den, a television was provided but not tested as our entertainment was provided - a rich real-time audio/visual experience of atmosphere beyond the window, a fine example of some of King Cross' finest architecture and social investment programmes. The bathroom provided an array of clean surfaces (without being annoyingly greased like you find in so many public houses), and with tiling throughout and a drain in the corner, allowing us to fully relax through into the night - one oversight by the designers is perhaps the lack of barrier preventing fluids escaping into the bedroom.All in all a pleasant night, the polite and motivated staff having no quibble with us engaging with the local red light culture and activities.	
Jul 4 2009 	Do Not Go!!!!!!	This hotel has to be the worst one that i have ever stayed in!!!!! We had booked in luckerly just for one night before we traveled to brussels the next morning. The location was excellent if you want to be near st pancreas but the room and the staff were awful! The bed was so small that it couldnt fit me and my boyfriend in it, (it was supposed to be a double) are feet dangled off the end and were not big people at all. Also are toilet was leaking all over the bathroom including in to the shower (yuk)!!! We also wasnt able to sleep due to the amount of noise coming from the pub next door and to the worlds smallest and most uncomfortable bed! To top it all off when we went to leave at 5 am in the morning with no sleep the receptionist said that we hadn't paid, even though i had booked it and payed before our stay and phoned to confirm that the payment had gone in. As we had to catch our train we couldnt stay and argue so had to pay twice for the worlds worst hotel!!!! So please do not go to this hotel!!! It is awful!!!	
Jun 29 2009 	Ok but Alhambra is better	This hotel is inexpensive &amp; clean, but the Alhambra hotel just down the road is a much better deal. Wardonia does not have wifi, breakfast, or even a tea kettle in the room. The furniture &amp; interiors all look nice and new/refurbished, but I didn't even have a water glass in the room! It's VERY basic. Alhambra has similar prices, with free breakfast &amp; wifi, and tea &amp; water glasses in the room. Also, at Wardonia you have to leave your key with the front desk when you go out, but Alhambra lets you keep your key and let yourself in.	
Jun 3 2009 	Clean basic friendly cheap no breakfast	Excellent location, just minutes from Kings Cross station, but down a calm, quiet and fairly pleasant street. The staff were helpful and friendly. There is no breakfast, but what do you expect for the price? Just get down to a local cafe in the morning, it still works out cheaper. It's a big old hotel with endless corridors, but was pretty quiet when I was there. Some of the top floor rooms have a great view of St Pancras Station. The room itself was very small! With a tiny bed and bathroom/shower. Also had TV with freeview. Very clean throughout - faultless in fact. Checkout was prompt and easy.	
May 29 2009 	I would never go back	Perfect location (close to St Pancras station and King's Cross) but we left the hotel after one night due to condition of room (room on basement level, window facing the brickwall of basement, window broken, room in direct connection with street outside and no lock or fastening on the door - it was scary). I assume they have better rooms and we were simply unlucky with booking this specific room as the hotel was fully booked.	
May 21 2009 	Ideal location and value for money	I stayed two nights at the Wardonia as I was attending a converence just around the corner. Very short walk from Kings Cross station. I knew from previous reviews that the room would be small and it was but hey, I was only planning on sleeping there - the bed was comfortable, my window opened fully and over looked a quiet residential area (back of hotel rather than front) Appeared to have had new carpets through out the hotel.The bathroom and bedroom were clean and bed was remade the 2nd day which I wasnt expecting at all. Everyoine on reception was very friendly and one of the guys - who must have done something like an 18 hr shift as he was always there, rembered my room number everytime without me asking - gresat service.	
May 5 2009 	Just Perfect	I had done my research so knew what to expect from this hotel. It exceeded my expectations because the location was better than I thought, the hotel was spotlessly clean and the room was actually bigger than I imagined. Yes- it was the smallest room I have ever stayed in but it was just perfect for my stay in London. Kings Cross tube station was a few minutes walk away and I could get to anywhere in London quickly and effortlessly and of course the adjoining St Pancras is brilliant for Eurostar. My window faced St Pancras and one morning I looked at the clock tower, then walked to the station and caught the train to Paris in less than 2 and a half hours, had an amazing day in Paris, caught the train back to London and a few minutes after arriving was back in my room at the Wardonia looking at the clock tower at about 10.45pm questioning whether I had really just been to Paris. Mind boggling!!! I stayed 7 nights but of course was out and about for most of the day sight seeing. The room suited my needs at night with a clean room, comfortable bed and an adequate ensuite. My only issue with my stay- and it might seem a bit picky- was that the staff were so distant and had no interest in their guests. I really wish they had just shown some basic hospitality by asking how my day had been, where I had gone, what I had done etc. As a solo traveller it can be quite lonely at times and I am just so used to having conversatons with hotel staff. Mind you they were all Eastern European so maybe their English wasn't great. Either way, I would recommend taking an interest in their guests just to build good business relationships. I would stay here again and would recommend this place to any other budget travellers. One last thing.... please get wifi even if you have to charge guests for it as it was inconvenient having to go elsewhere just to use my netbook.	
May 4 2009 	Small room - great location for travellers	Stayed at this hotel for 1 night (30 Apr). Rooms are tiny, but that is what you would expect from a budget hotel in this area – I’m 6”4 and I managed just fine..Room and bathroom was very clean. Would think that an extended stay here would not be too great as there is not much space for suitcases or hanging up of clothes.If you are a light sleeper ask for a room away from the entrance – we stayed above the entrance and were disturbed a number of times during the night by people coming / going.We had an early train out of St Pancras so we did not have b’fast at the hotel. It is a 3 – 4 min walk to the station from the hotel so the location was perfect for us.	
Apr 17 2009 	It met our expectations	First of all, the reviewers complaining about the size of the rooms didn't do their research. We booked through the Wardonia website and they have the room sizes listed for everyone to see before booking. Yes the rooms are small, but we wanted somewhere close to the Kings Cross Station. We arrived late in Heathrow and left early the next morning on the Eurostar. The Russian girl who checked us in was helpful but more interested in her TV show. The room and bedding was clean. The bathroom was as described with water everywhere, just be sure to brush your teeth before your shower. :) Overall, it is a no frills hotel but they aren't misrepresenting themselves. We only spent one night here and would recommend it only as a one night stop unless you plan on being gone from the room ALL day.	
Apr 7 2009 	Great location - budget hotel - clean room	Having read mixed reviews, I entered the hotel with some trepidation.Having only paid £45 for the night, I wasn't expecting much. The room was very small, but the bed was comfortable. There was also an en-suite 'wet-room' (which I wasn't expecting as I hadn't paid any extra), also small, but had everything I needed (no hospitality tray, but there is a Burger King on the same street).The hotel itself is about 4 minutes from Kings Cross and the I found the surrounding area surprisingly quiet. Any noise problem came from within the hotel (guests knocking on doors and you could hear people in the room above), but I managed to get a good night's sleep.Excellent value for money, clean and tidy.	
Apr 5 2009 	Really bad hotel experience	Not a good hotel experience at all at the Wardonia. I stayed there for three nights and it was a hotel experience that I wish to forget as soon as possible. I’ve stayed in 100´s of hotels and while this one may not have been the worst, certainly it belongs among the five worst. Really, the only redeeming quality about the Wardonia is it’s location in the lively King’s Cross area, which is not nearly enough.You can really tell the bottom of the barrel establishments such as the Wardonia from the more respectable hotels by the attitude of the staff and management towards the guests. The girls at the reception, who were Russian, were helpful enough. The real problem with the place seems to be with the people who run the place, who I think are Irish. The first shock was the smallness of the room. The room was en suite but you could not open the door to the bathroom properly because the bed was in the way. It was just plain cramped, like living in a closet.The second shock was the bathroom itself which was just tiny and when you took a shower the entire bathroom floor would within minutes become flooded because there was no partition separating the shower area from the rest of the bathroom. It also became quite comical that when I stepped in certain parts of the bathroom floor, simultaneously in other parts water would actually squirt up from the space in between the tiles in the floor, since the adhesive had worn off. The floor needed to be repaired, lol.The hotel was also very noisy. If you stay there, (which I hope you have the good sense not to) you’d better pray that the people in the neighbouring rooms choose to sleep at night, because every activity in one room can be heard by the neighbours because of the thin walls. One day I requested a new soap from the person at the reception (one of the people in management, I think) because the one in my room didn’t look fresh (something that I didn’t say to him). &quot;But you already have a soap, sir.&quot; He responded, and he proceeded to start an argument over a 3 by 5 centimetre bar of soap. Obviously the old adage: &quot;the customer is always right,&quot; meant nothing to him. Eventually, he gave me a new bar of soap and then he came with me into the room, took the old bar of soap from the bathroom and then he stuck it under my nose and said: &quot;this bar has definitely not been used.&quot; I would, needless to say, not recommend the Wardonia to any fellow travellers.	
Apr 2 2009 	Good for the night	Okay this is the smallest room I've ever been in and the bathroom is the shower as well. Okay so it's small but it's cheap and close to the Eurostar so I would stay there again no problem..	
Feb 12 2009 	Always clean and safe	I stay at the Wardonia several times a week while working in London. Have done so for 4 months now. It's convenient for my office, but that is not the only reason for returning again and again. I have stayed in many different rooms there. All have been clean, warm enough, and with a comfortable bed. As I'm on my own and travel light the lack of space is not a problem - feeling comfortable and safe is the priority. Reception is manned by a rota of 4 or 5 friendly staff. A really good value for money, no frills hotel.	
Feb 9 2009 	great location; room so-so	convenience was the sole reason why i chose this hotel. the room was really tiny and the bed was not comfortable and it was questionable as to whether the sheets were even clean - but i didn't expect much as it was only GBP40/night. i must say, the location was great as i had to take 550am eurostar and i wouldn't know how to get the king's cross otherwise.	
Jan 28 2009 	Small but clean and perfectly located	The hotel is perfectly located, a few minutes walking from the Eurostar station and in walking distance from downtown, St. Paul's and the Camden market. Facilities (shower/toilet) were basic, but clean and working well. The rooms are extremely small. No breakfast is available (not a real problem, because there is ample choice nearby). The main problem we had is that the twin bed was far too small. We changed to a room with double beds, then we had a good stay.	
Jan 25 2009 	Don't expect cleanliness here	Aside from being impossibly small (which was expected), the level of cleanliness was far from acceptable. Sheets were covered in hair, as was the mattress when sheet was stripped. New sheets were supplied, but these were stained yellow and had holes. Staff apathetic. Was itchy in the bed, but no sign of bed bugs....Size of bed was not a double. King single at most. My boyfriend's head hit the bed head, and his feet rested squarely on the wall at the foot of the bed. If you are over 6 feet tall, do not stay here - you will not fit!Reception changed 3 times in 2 hours - not sure how they can guarantee security of your belongings when this is their procedure. Needless to say, booked another hotel close by ASAP. Luckily, a good location.	
Jan 23 2009 	Clean basic budget hotel near King's Cross	We stayed for a weekend, and got a good deal through hotels.com @ £25 per person per night - and for that price you can't really expect much in central London. The Wardonia is a stone's throw from King's Cross station, down a quiet street - felt quite safe walking around at night despite King's Cross sometimes dodgy reputation. But for a budget hotel this has got to be one of the best in terms of value for money, getting a clean room with nice clean bed and bedsheets etc.The rooms are small - hence you get what you pay for but for the convient location and if you're on a budget then definitely check this place out. Only thing I would be wary of is, don't accept a basement room - we stayed in room 003 - there was a funky smell in the corridor (kinda like damp) but thankfully it didnt waft into our room. Plus you can hear people above you / doors opening etc. so take note if you're a light sleeper! Bathroom = a wetroom ie. shower ,toilet all in one.. kinda where you might wana take flip flops. Not really sure if there were facilities for breakfast/meals though there is a pub right on the corner and good ol Maccy D's and burger king..and the rest of the fast food/restaurants King's Cross has to offer..All in all, recpetion staff we friendly enough, and I'd say you can't really expect much more if you're on a budget and only staying for a few days, or don't plan on spending much time in your room as a place to dump your stuff! Expect good basic accomodation - no frills!	
Jan 8 2009 	Basic No-Frills Digs	I had an idea of what to expect from the Wardonia before booking it: a modest form of accommodations with few extras in the city center and for a relatively affordable price. Little did I realize that my room would be even more bare bones than I could have imagined.I already expected a desk and a chair to be absent. I also knew there would be no barrier separating the shower stall from the rest of the bathroom. (There was, however, an annoying squealing sound coming from the bathroom, the source of which I couldn't pinpoint, right after I used it. I reported this to one of the clerks on duty, but it didn't appear that anything was done about it.) But I didn't expect there to be no phone in the room (in case I had to contact the front desk). There was also no shampoo in the bathroom (just two bars of soap) and no kettle for boiling water. (The clerk was, however, nice enough to boil it for me with her own kettle.)There was a TV, which was about the only &quot;luxury&quot; in the room. Heat was provided 24 hours a day, which was just as well, since London had been gripped by sub-zero temperatures during my stay there. My bed was good for one person with a nice, big blanket. The room and bathroom were clean, as other guests have commented.The Wardonia is fine for any traveler who plans to spend only one night there and before hopping on a train at nearby King's Cross, St. Pancras, or Euston stations the next day. It is a little less adequate for travelers who plan to stay longer, as I did. The hotel is located on a quiet street that is lined with small hotels, and some of the other hotels provide a complimentary breakfast. I thought I would simply have breakfast at any of the restaurants located on Euston Rd., the main thoroughfare in the neighborhood, but they all served the same greasy slop that one would grow sick of after two tries, and usually at inflated prices.	
Jan 5 2009 	Good for the price and location	We booked the Wardonia as somewhere cheap to stop for New Years Eve. It only cost £60 which is good for London, especially consdering how close it was to Kings Cross Station.As stated in other reviews the rooms are small so probably only suitable it you haven't got much luggage or only staying for a couple of nights. The rooms were clean. There were a couple of bad points which means I would be reluctant to go back there again. Firstly everytime you left the hotel you had to leave the key for your room. When you go back all you have to say is your room number and you are given the key. Therefore anyone could go into your room, so not vey safe at all.Although the hotel is only a few minutes walk away from Kings Cross the street it is on is very quiet and there are some dodgy characters around. It did not feel very safe.Overall rooms are adaquete and clean. However not a very secure hotel and not a great area.	
Dec 13 2008 	OK! :)	new, nice and clean. both room and bathroom seemed recently renewed, so they looked very good and everything was clean, very clean. shower was great, but no space to put anything else than the toothbrush in the bathroom. the room was also small, and the bed, but comfortable. no wardrobe, just a hanger and a very small shelf. which is OK if you go for 1 night or 2.super clean! thats the most imporatnt for me to be comfortable.	
Dec 11 2008 	Keep Looking	This hotel is about a 5 min walk from Kings X, but it's not a nice neighborhood &amp; as a single woman I felt a bit worried.The room was only as big as a single bed. My big issue was my room was in the basement and through a maize to get there! I wondered what would possibly happen if there was a fire.... didn't feel safe.The bed was comfortable &amp; the room was dark. I paid 50pounds a night.I will not stay here again.	
Dec 6 2008 	Good value for a comfortable room	We stayed at the Wardonia for 4 nights, and it was definitely a positive experience overall. The location was very convenient: with King's Cross/St. Pancras station only a few blocks away, getting anywhere in London by tube or to Paris by train was simple. The room was small but clean and comfortable. Our only complaints would be that it was too warm at night, and our neighbours made a lot of noise when they came in from the clubs at 3 am. But overall it was a positive experience, and certainly good value for the money.	
Dec 5 2008 	Tiny Clean good enough	The rooms and bathroom are very small, the stairs and halllway are narrow, but they keep everything clean. When I say its small, I mean your bed is four steps from the door and takes up most of the room (single bed), however twin and double rooms are larger. For the price and location its a decent deal, we stayed for four days and had no complaints, I wouldn't mind staying there again. Btw they have a luggage room but its not locked.	
Nov 19 2008 	very small but spotlessly clean rooms	Cheap price, great location, friendly staff, but very small rooms. No coffee facilities in the room not even a glass to drink your own drinks with. The rooms are basic but not finished off very well, however spotlessly clean, showers hot and lots of power. Bed comfortable, staff friendly and helpful. No breakfast facilities. I would use this hotel again if i could not get in at the other hotel i stayed in during november 2008. as this much better for a fiver more. and i got breakfast	
Nov 2 2008 	Great value great location	We stayed here for 4 nights during our yearly stay in London. We're independent, 'free' travellers who most of the time use hostels, all we need is a comfortable bed, clean sheets and a decent bathroom.And that's what Wardonia hotel is offering, and how! We payed 32 GBP per person per night (you will pay the same price in the youthhostels of London with no comfort at all) and what we got was a small (check the website) but incredibly clean an tidy room, with great beds. Cleaned every day (fresh towels). The bathroom is designed in the 'italian way', meaning that there is no seperate shower cabin, but a hole in the floor to let the water go. Of course there's a shower curtain and (which is the most important), the shower is really good. The location, near the station is brilliant, but you here almost nothing in the streets. Slept as a rose.The room even has a TV (very rare for our way of travelling) with digital channels, so we could watch 'Top gear' all evening long!I really appreciated their website where they are really honest about the kind of hotel they are running: small but clean and comfortable rooms without breakfast. So, if you're looking for a comfortable stay, for a low price on a top location in London, I wouldn't hesitate.	
Oct 24 2008 	A bed 4 walls 	My boyfriend and I needed a place to stay for the two days we were in London. London is an expensive place, so we just wanted a cheap place to stay, but nothing gross &amp; dingy. And that's what we found at the Wardonia Hotel!THE HOTEL:The staff wasn't anything particularly &quot;awesome&quot; or &quot;wow&quot;ish, but they seemed pleasant enough.We never really heard our next door neighbors, but we did hear people walking around in the room above us. Nothing bad, at all.There is not an elevator at this hotel, that we know of.(-)There is no breakfast available, but there is a small convenient store/post office about a block from the hotel, where we bought fruit and croissants.LOCATION:The hotel is a stone's throw from King's Cross/St. Pancras Station. This means it is very close to the underground and train station where the chunnel arrives/departs . I was told that this area isn't the best neighborhood, but I never really felt threatened or uneasy.The hotel is not &quot;centrally located,&quot; but I felt it was near enough to everything we needed to see. Getting to Kensington did take a little while, though.THE ROOM:We were given a small room with a double bed, two towels, and a small TV. The room had a very small bathroom: toilet, sink, shower. We had a very nice, tall, screen-less window, which offered a nice breese when opened. This room might get very hot in the summer, but we were there in September, so it was just fine!There was *just* enough room for the two of us and our two suitcases. This was all we needed, because we were out seeing sights all day, so we were only in our room sleeping at night.In conclusion: This hotel is cheap, clean, small room, but nearby train/underground stations.	
Oct 20 2008 	a good one	we have stayed at the wardonia 3 times over the last year and each time and rooms have been clean and simple. The shower is good and as previous reviews state the rooms are small but comfortable. Would stay there again as you can't beat the location and clean rooms.	
Oct 5 2008	Small Rooms - Good Hotel	I stayed at the Wardonia as its very close to St. Pancras station. There are a lot of substandard hotels I think, but the Wardonia certainly is not.The rooms are very small, but the hotels website shows you exactly what dimensions your room and indeed you bed and bathroom are going to be so nobody should complain about the size.Its clean and in a good location and thats all you really need. Very easy access to anywhere in Greater London due to its proximity to Kings Cross and St. Pancras stations.Its also a lot cheaper than many alternatives for such a central location.	
Sep 17 2008 	NOT a good hotel	I didn't expect much, as I only paid £80. I didn't expect anything other than a small room with no frills. But this is NOT a good hotel.The room was dirty, as were the sheets, as were the towels, and it's TINY. The bathroom was a wet room that didn't drain properly.On the plus side, the location for Eurostar is great, but I would pick a different hotel on this street.	
Aug 27 2008 	Very practical and good value	Since the Regent Palace closed, I have been looking for a centrally located, inexpensive hotel to park myself during my annual visit to London. The Wardonia is literally one block away from the Kings Cross St Pancras station and ideal for hopping onto the Eurostar or the underground. The rooms are very clean. The building itself is old but adequately maintained. There is no air conditioning but good heating. If you have never stayed in Europe, be forewarned that the rooms are tiny! If you have anything larger than a duffel bag or a carry-on rolling luggage you will not be able to keep it lying open in the room because there is not enough space. My friend and I had two rolling carry-on suitcases and we had to keep them closed except to take stuff out of them. This hotel is simply a place to sleep and shower and is ideal if you do not plan to spend a lot of time in your hotel room. If you plan to do lot of shopping or stay in London for a long period of time you may want to consider a larger hotel.	
Aug 19 2008 	Teeny Tiny but clean and functional	I booked our stay at the Wardonia through Venere.com and searched sites until I found a code for a 4% discount. Our rate was 60 GBP a night before the discount. The room was....small. Very small. There was room for the double bed, the TV, the tiny nightstand, our suitcase (squished a bit) and that's it. The bathroom had room for the toilet, sink, and shower...though the shower area was very small (and since there is no difference between the shower floor and the rest of the bathroom floor, everything gets wet anyway. The windows open, but had no screens, so we had a few flies join us every night. We were on the 4th floor, which was a fun hike every night...particularly when carrying luggage. But...the room was clean. Our bed was made daily (though the sheets weren't changed), and we had fresh folded towels every day. There was no phone in the room, but I was able to &quot;borrow&quot; a wireless internet signal by putting my ipod right up against the window...which was good enough to check my email. The bed wasn't the MOST comfortable I ever slept in, but it was good enough for 5 nights. Overall, it was a clean room, but certainly not luxiorious. We found the Kings Cross area to be a great location...not nearly as &quot;dodgy&quot; as others had described. It was very conveniently located, as it is on so many of the Underground's lines.	
Aug 5 2008 	Not the best	The best thing about the Wardonia is that it is only 200m from Kings Cross tube station. The rooms are very small, do not have telephones, there is no lift only narrow staircases, the staff is ok but not as helpful as they should be. One night we had no water but we were still charged the full amount for the room! I was happy to leave. This hotel is over priced!!	
Aug 1 2008 	Tiny but central and cheap!	We wanted:-a cheap clean single room with en-suite bathroom-central location to tubes, without noisy surroundings, in a safe areaWe got:-a cheap clean single room with en-suite bathroom-central location to tubes, without noisy surroundings, in a safe area-friendly staff-maid every day(only a clean towel the days we slept long:-)We just wanted a place to sleep, close to a central tube-station, and we got it.Yes, it's tiny, and yes, it's no breakfast. But it's what we knew when we booked! London is expensive, and most budget hotels is worse than this, I think.I'll go back later for only 40£ per night for a single room (and private tiny bathroom) that we paid! But next time I will use a smaller suitcase:-)	
Jul 18 2008 	just what we expected	good location, near St. Pancras/Kings Cross train stations. Just what we expected: a no frills room. Clean, small, good for the one night we stayed. Web site accurately depicts hotel/rooms. Would advise for a budget hotel for one to two persons. Would be tough with lots of luggage or if traveling with small children, as it is quite small with no elevator.	
Jul 14 2008	Small very small	given the amount we paid (80 pounds per night), i know i shouldn't be expecting much... however, i was a bit disappointed with the hotel.the room was TINY. we had a triple room with private bathroom. we barely had enough room to fit in our luggages. no A/C in the room, which was okay because it was quite cool when we stayed there (but it might be a problem in the summer). no lift so we had to carry our luggages 3 flights of stairs. there was no closet in the room so we had nowhere to hang our clothes. the bathroom was a nightmare! it was small. the worst was there was NOTHING to divide the shower and the rest of the bathroom. so after shower, the entire floor was wet. there was no shelf, no hook, NOTHING, to hang our towels and clothes, which was extremely inconvenient. afterall, the location was convenient - only a 4 min walk to King Cross station.	
Jun 20 2008 	Nice for a cheap weekend break near attractions	We booked this based on reviews from TripAdvisor and were pleased we did. It is more of a glorified youth hostel, in that it doesn't offer breakfast, nor does it have tea &amp; coffee facilities in the room. However, we had a comfy double bed in a triple room (the other bed made a good storage space), and the shower was good, although of course the water dribbled out near the toilet.One thing that other hotels should note: this place had the full Freeview channels, the ones you get on your digibox at home in the UK- so many hotels haven't caught up on this yet.As promised by reviews, the staff were very friendly and helpful, the room was clean, and the location was extremely convenient for many things. They have a luggage storage room which was helpful for our last day as we still had time to do stuff. However, the security didn't seem very London-ready- you just put your stuff in the room and it's not locked.It doesn't say so on their website, but they do offer irons and hairdryers to those who need them. Their website is otherwise great, as it tells you very explicitly what the rooms are like.	
Jun 15 2008 	Excellent value	I stayed 5 nights in June of this yer and found the room to be excellent for the money. The room is small, and so is the bathroom. But the room was always cleaned and fresh towel each day. The location to Kings Cross and the underground was great.The staff were very friendly and helpful. The only thing wrong was the lady who took over from the day male desk clerk could have smiled more, she seemed not to be friendly or cared.I would recommend this hotel.	
Jun 11 2008 	Small but clean	We stayed here for 4 nights, mainly because the hotel is cheap and close to St. Pancras. The rooms are indeed very small, but clean. Don't expect anything fancy: everything is adequate but there's no attention to detail whatsoever (the view from our window was a brick wall, for example). A good choice if you're on a tight budget - I guess it's good value for London. Otherwise not very impressive.	
Jun 8 2008 	Bleh	I understand that this is a very cheap hotel for London standards, but the room was way too small ( I could hardly fit my luggage in and myself), and the bathroom of course, was tiny. There was no phone, no closet, and one day the housemaid left the window open and when I got back I found two pigeons on my bed (I m pigeon-phobic). There is no elevator as well, so I would reccomend this hotel for very short stays and therefore, light luggage.On the good side it is very close to KIngs Cross.	
Jun 4 2008 	Excellent Value for Money	This hotel has everything you could want at a budget price . It's easy to find ( dirrectly opposite St Pancrass st clock tower ) . Clean , comfortalbe , convienient andf cheap . The rooms are small and bathroomstiny ( take a pair of beach flip-flops the floor can be slippery . The staff are helpful and the rooms are spot;ess and fresh towels every day . It has a luggage room when you check out . I would suggest if you are disbaled then try to get ground floor rooms as there is no lift . All in all a real find .	
